[00:00:00.389 --> 00:00:06.753]  Wow!
[00:03:50.859 --> 00:03:55.081]  Kills a few family members, kills his brother, kills some girlfriends.
[00:03:55.081 --> 00:04:00.723]  The little psychopath comes out, and all the other psychopaths in the North Korean regime go, ah!
[00:04:00.723 --> 00:04:01.663]  He's like, yes!
[00:04:02.084 --> 00:04:03.087]  Yeah!
[00:04:03.087 --> 00:04:03.267]  Ah!
[00:04:03.267 --> 00:04:05.233]  Hit the clowns here for real!
[00:04:05.233 --> 00:04:06.598]  Hit the clown with nuclear weapons!
[00:04:08.188 --> 00:04:10.970]  Whatever dark force has crawled into him, it's in control.
[00:04:10.970 --> 00:04:15.594]  Looks like a big, fat, demon-possessed chipmunk to me.
[00:04:15.594 --> 00:04:16.394]  So, here we go.
[00:04:16.394 --> 00:04:18.436]  China strongly condemns North Korean nuclear tests.
[00:04:18.436 --> 00:04:19.176]  Foreign Ministry.
[00:04:19.176 --> 00:04:21.698]  North Korea nuclear bomb test.
[00:04:21.698 --> 00:04:23.700]  South may deploy most powerful U.S.
[00:04:23.700 --> 00:04:24.840]  tactical weapons in response.
[00:04:24.840 --> 00:04:26.201]  That's nuclear weapons.
[00:04:26.201 --> 00:04:28.183]  They've already tested dropping them last week.
[00:04:28.183 --> 00:04:31.846]  Earthquake at North Korea's nuclear test site following hydrogen bomb announcement.
[00:04:31.846 --> 00:04:34.327]  North Korea racist photos reported thermal nuclear weapon.
[00:04:35.248 --> 00:04:36.930]  With the Chopmunk looking at it.
[00:04:36.930 --> 00:04:41.333]  Trump and North Korea's Moon pledge more pressure on North Korea.
[00:04:41.333 --> 00:04:43.575]  Trump to meet security advisors already happened.
[00:04:43.575 --> 00:04:47.438]  North Korea is shaken by strong tremors and likely nuclear tests.
[00:04:47.438 --> 00:04:48.159]  On and on.
[00:04:48.159 --> 00:04:50.281]  Russia evacuates their east.
[00:04:50.281 --> 00:04:53.123]  Says that we're on the verge of massive war.
[00:04:53.123 --> 00:04:56.446]  The big question is, will Russia and China stay out of it?
[00:04:56.446 --> 00:04:57.587]  Let's talk about it straight ahead.
[00:04:59.349 --> 00:05:04.590]  Protect your skin with SPF 30 Sunscreen Lotion by Emrix Essentials.
[00:05:04.590 --> 00:05:11.751]  Perfect for face and body, this natural unscented sunscreen can be worn at all times of the day, whenever you need sun protection.
[00:05:11.751 --> 00:05:17.632]  We source ingredients from nature, producing a product free of harmful chemicals and toxins.
[00:05:17.632 --> 00:05:25.434]  This natural lotion contains 21% zinc oxide, which is the largest particle size used, and we do not use nanoparticles.
[00:05:25.974 --> 00:05:29.495]  The larger the particle, the safer it is for your body.
[00:05:29.495 --> 00:05:33.597]  The organic oils help hydrate the skin, leaving it nice and smooth.
[00:05:33.597 --> 00:05:38.039]  The truly natural fragrance-free sunscreen for the most sensitive skin.
[00:05:38.039 --> 00:05:44.261]  Emerix Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[00:05:44.261 --> 00:05:49.143]  Naturally protect your skin with SPF 30 sunscreen lotion by Emerix Essentials.
[00:05:49.403 --> 00:05:52.709]  Stop exposing yourself and your family to toxic ingredients.
[00:05:52.709 --> 00:05:57.977]  Visit InfoWarsStore.com and learn more about the new SPF 30 sunscreen lotion.
[00:06:04.428 --> 00:06:14.094]  I thought the leaden winter would bring you down forever, but you rode upon a steamer to the violence of the sun.
[00:06:14.094 --> 00:06:16.356]  Broadcasting live from the U.N.
[00:06:16.356 --> 00:06:21.919]  stronghold, Austin, Texas, you're listening to the Alex Jones Show.
[00:06:25.101 --> 00:06:37.007]  Alright, I was planning to host this Sunday's live radio slash TV broadcast from here deep in the heart of Texas, Austin.
[00:06:37.007 --> 00:06:46.152]  I was planning to get into very, very positive things happening with the economy, positive things happening with humanity coming together, with the tragedy of Hurricane Harvey.
[00:06:46.812 --> 00:06:57.495]  I was planning to get into some of the more serious issues of Congress about to vote to turn the roads over to driverless cars and what the ramifications of that were going to be.
[00:06:57.495 --> 00:07:00.315]  Huge new Comey developments as well.
[00:07:00.315 --> 00:07:06.857]  Turns out he'd already cleared the Clintons secretly when he did the fake interviews with them last year.
[00:07:07.977 --> 00:07:09.698]  So, huge scandal.
[00:07:09.698 --> 00:07:15.099]  Comey, Mueller, I mean, they couldn't investigate a stick of bubblegum being stolen.
[00:07:15.099 --> 00:07:18.200]  They are some of the most ruthless mafia show.
[00:07:18.200 --> 00:07:21.501]  Clinton crime family, dirt bags imaginable.
[00:07:21.501 --> 00:07:22.401]  That's coming up.
[00:07:22.401 --> 00:07:27.362]  The EU Commission admits they're trying to open the borders to end white Europe.
[00:07:27.362 --> 00:07:33.864]  Just bizarre globalist obsession with ending any sovereign nations and overriding any culture.
[00:07:35.031 --> 00:07:40.753]  Largest wildlife wildfire in Los Angeles history forces hundreds to evacuate.
[00:07:40.753 --> 00:07:49.077]  We're also going to get into, as I was mentioning earlier, massive censorship via the AI systems.
[00:07:49.077 --> 00:07:52.578]  Putin says leader in artificial intelligence will rule the world.
[00:07:53.882 --> 00:08:06.751]  And now even mainstream news admits criticizing Google will get you banned, including major news publications like Forbes have been threatened not to criticize Google or get banned.
[00:08:06.751 --> 00:08:13.156]  So, the season of censorship is certainly here.
[00:08:13.156 --> 00:08:18.340]  But first, let's get into North Korea.
[00:08:18.340 --> 00:08:22.483]  The big question is, will Russia and will China
[00:08:23.729 --> 00:08:31.475]  Stand down if the United States strikes North Korea.
[00:08:31.475 --> 00:08:34.218]  A lot of folks say, oh, we can take out North Korea, no problem.
[00:08:34.218 --> 00:08:36.579]  Yes, that's true.
[00:08:36.579 --> 00:08:40.703]  If we're willing to hit them extremely hard up front.
[00:08:40.703 --> 00:08:42.624]  I've studied this in depth.
[00:08:42.624 --> 00:08:45.547]  I've had the top experts on.
[00:08:45.547 --> 00:08:46.988]  It's crystal clear what we're facing.
[00:08:51.223 --> 00:09:19.031]  The number one issue is, will China and will Russia stand down if the United States preemptively strikes North Korea that is openly threatening its neighbors and the world, and successfully tested a thermal nuclear hydrogen bomb, the seismographs conclusively show that indeed they do not just have atomic weapons, but now weapons many times stronger.
[00:09:19.031 --> 00:09:19.751]  That's number one.
[00:09:20.919 --> 00:09:28.742]  Number two, if the United States strikes and Russia and China do not intervene, how strong will the U.S.
[00:09:28.742 --> 00:09:29.383]  strike be?
[00:09:29.383 --> 00:09:43.228]  Because they've got a million-person regular army, a five-million-person auxiliary army, a brainwashed cult, basically, of communist fire ants that are willing and ready to die in human wave attacks.
[00:09:43.228 --> 00:09:45.929]  That was documented back in the Korean War, back in the early 1950s.
[00:09:45.929 --> 00:09:49.251]  That still never concluded we're in a ceasefire.
[00:09:51.889 --> 00:10:19.543]  Will there be a total commitment, and I've studied this, and I've had experts on, they've concurred with my own historical research, that you can't beat North Korea with conventional weapons and not have Seoul, South Korea overrun and destroyed, not just by artillery 30 miles away in the DMZ, the militarized zone to the north that marks the demarcation line between the two nations, split by the armistice in 1953.
[00:10:21.735 --> 00:10:29.471]  They're going to be able, with rocket attacks and heavy artillery attacks going in and out of tunnels, to lay waste to much of South Korea.
[00:10:31.141 --> 00:10:33.703]  Killing hundreds of thousands, if not millions of people.
[00:10:33.703 --> 00:10:35.103]  They've got nerve gas.
[00:10:35.103 --> 00:10:36.324]  They've got nuclear weapons.
[00:10:36.324 --> 00:10:47.251]  They've got short-range, medium-range, long-range missiles, ICBMs, all thanks to the Clintons and the globalists and their appeasement in the mid-1990s, which is incontrovertible and not debatable.
[00:10:47.251 --> 00:10:49.692]  So number one, will Russia and China stand down?
[00:10:49.692 --> 00:10:51.894]  That's the big question because if they don't,
[00:10:52.714 --> 00:11:06.105]  Then they'll respond, will respond, it'll escalate to nuclear weapons very quickly, and then all of a sudden the silos and submarines and jets and bombers release their cruise missiles, and it's off to the races.
[00:11:06.105 --> 00:11:14.311]  And then, within about an hour of that happening, most human life on Earth and most other life on Earth is going to be living in a radioactive slag heap.
[00:11:14.311 --> 00:11:18.755]  And if you ain't dead, you'll wish you're dead real quick.
[00:11:18.755 --> 00:11:21.617]  So, number one,
[00:11:22.688 --> 00:11:25.109]  Will China and Russia stand down?
[00:11:25.109 --> 00:11:29.570]  Many indications are they're beginning to realize the US is serious.
[00:11:29.570 --> 00:11:31.191]  This isn't the same old game.
[00:11:31.191 --> 00:11:33.191]  This has come to a head.
[00:11:33.191 --> 00:11:36.112]  And that they need to signal that they're going to stand down.
[00:11:36.112 --> 00:11:37.593]  They've signaled they're going to stand down.
[00:11:37.593 --> 00:11:38.753]  I'll go over those articles.
[00:11:38.753 --> 00:11:39.913]  Does that mean they will?
[00:11:39.913 --> 00:11:40.974]  Remains to be seen.
[00:11:40.974 --> 00:11:42.154]  Let's stop right there.
[00:11:42.154 --> 00:11:43.134]  Go to number two.
[00:11:43.134 --> 00:11:44.155]  Let's say they stand down.
[00:11:44.155 --> 00:11:45.535]  Next big problem.
[00:11:45.535 --> 00:11:47.516]  We just addressed it.
[00:11:47.516 --> 00:11:48.756]  Will Trump hit them?
[00:11:51.431 --> 00:11:57.674]  With the weapons it takes to destroy their main military force that is on the DMZ.
[00:11:57.674 --> 00:11:58.434]  The DMZ.
[00:11:58.434 --> 00:12:15.923]  You'll have to, depending on the type of weapons that are going to be used, tactical nuclear weapons, drop dozens, if not hundreds, if they're smaller, along those lines to cave in all those tunnels and wipe out the foaming at the mouth, bloodthirsty, crazed Stalinist state.
[00:12:17.381 --> 00:12:20.262]  You'll have to hit the major cities command and control.
[00:12:20.262 --> 00:12:23.283]  You're not going to have time to sit there and drop, or do we have the forces?
[00:12:23.283 --> 00:12:27.444]  5,000, 2,000, 10,000 pound bombs on top of those command and controls.
[00:12:27.444 --> 00:12:34.627]  You're going to have to hit them all with tactical nuclear weapons, cruise missile, submarine launch, and drop by fighter bombers and bombers.
[00:12:35.467 --> 00:12:40.009]  You're going to have to hit them in the first five minutes with hundreds of nuclear weapons.
[00:12:40.009 --> 00:12:42.350]  This is what war against nuclear power looks like.
[00:12:42.350 --> 00:12:48.513]  You have to kill, decapitate their entire military in a matter of minutes to ensure complete destruction.
[00:12:48.513 --> 00:12:56.117]  They have suicide subs off their coast that are going to conventionally attack Japan and South Korea and other areas.
[00:12:56.117 --> 00:12:57.077]  Here's the problem.
[00:12:57.077 --> 00:12:57.818]  In a few months,
[00:12:58.982 --> 00:13:08.789]  A few years max, they're already going to have Polaris-copied, sea-launched missiles and cruise missiles, which they already have developed.
[00:13:08.789 --> 00:13:11.251]  That's why this is a problem!
[00:13:11.251 --> 00:13:24.221]  We truly have a maniac, like Hitler, but quite frankly even stupider, who thinks he can actually run around and bluster with everybody.
[00:13:24.221 --> 00:13:25.882]  And it's all coming to a head.
[00:13:25.882 --> 00:13:27.223]  Japan's not going to put up with it.
[00:13:28.567 --> 00:13:30.208]  South Korea's not going to put up with it.
[00:13:30.208 --> 00:13:32.128]  And what triggered this?
[00:13:32.128 --> 00:13:43.653]  They kicked out their hardline leader in South Korea with dug up, made up scandals, like they're trying to do with Trump, and they put in a softie who wanted to appease the North and work on unification.
[00:13:43.653 --> 00:13:46.354]  Didn't that blow up in just three months really nice?
[00:13:46.354 --> 00:13:47.334]  Oh, let us appease you!
[00:13:47.334 --> 00:13:48.274]  Let us work with you!
[00:13:48.274 --> 00:13:54.837]  Just like all the other appeasement did, it's now blown up in South Korea's face, and the appeaser says, okay, we're ready for nuclear war.
[00:14:00.663 --> 00:14:06.486]  The word is China and Russia have signaled in the last few months that if it's not nuclear, they won't get involved.
[00:14:06.486 --> 00:14:18.634]  Well, they know that is something a hundred times worse than Afghanistan and something that will destroy the South and something that we basically will probably lose unless we're willing to lose hundreds of thousands of U.S.
[00:14:18.634 --> 00:14:19.034]  soldiers.
[00:14:19.034 --> 00:14:21.395]  I mean, this will be a big war.
[00:14:21.395 --> 00:14:23.857]  This will be a war against a bunch of brainwashed cult members.
[00:14:24.915 --> 00:14:42.354]  And the word is from all my sources is, and I told you this a week ago before it was on the news last week, they're preparing nuclear weapons, tactical nuclear weapons to be dropped from fighter bombers, bombers, and cruise missiles in a preemptive strike to take out the DMC while simultaneously the Capitol is hit as well.
[00:14:43.809 --> 00:14:45.351]  And their ports.
[00:14:45.351 --> 00:14:48.294]  And we've got submarines and submarine hunters and everything has to be targeted.
[00:14:48.294 --> 00:14:56.042]  You have to be ready and you have to hit them while they're still sitting ducks, not once they're in a combat mode.
[00:14:56.042 --> 00:14:58.484]  So, there you go.
[00:14:58.484 --> 00:15:01.507]  If we don't hit them first, who knows what'll happen.
[00:15:01.507 --> 00:15:05.692]  It'll just continue getting worse with the mental illness and the megalomania.
[00:15:05.692 --> 00:15:06.552]  There is no good choice.
[00:15:07.597 --> 00:15:10.579]  If you hit them conventionally, they're not going to back off.
[00:15:10.579 --> 00:15:11.959]  They're not going to sue for peace.
[00:15:11.959 --> 00:15:19.883]  They're going to attack with everything they've got, Japan and South Korea, and have a bunch of people run to the north as refugees that are already trying to get out.
[00:15:19.883 --> 00:15:21.544]  It's going to be a giant quagmire.
[00:15:21.544 --> 00:15:33.110]  If you hit them with total commitment, you will defeat the communist regime, you'll kill probably a million people, and then you can try to reunify and deprogram the population.
[00:15:34.756 --> 00:15:40.922]  If China and Russia stand down, if China and Russia don't stand down, we go into total worldwide thermonuclear World War III.
[00:15:40.922 --> 00:15:43.084]  This is much worse than the Cuban Missile Crisis.
[00:15:43.084 --> 00:15:57.077]  And it's been on the back burner, moving steadily forward for decades, and now, here it is, strategy of tension, strategy of patience, on a platter, New World Order is giving this to you, and Mattis says, massive military response if they continue even verbal threats.
[00:15:57.904 --> 00:16:02.607]  As most of you already know, I am a voracious consumer of news and information.
[00:16:02.607 --> 00:16:12.892]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases,
[00:16:12.932 --> 00:16:13.152]  This is
[00:16:31.724 --> 00:16:32.424]  We're good.
[00:16:58.894 --> 00:17:03.599]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:17:03.599 --> 00:17:14.029]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:17:14.910 --> 00:17:19.735]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:17:19.735 --> 00:17:28.122]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:17:28.122 --> 00:17:35.849]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:17:35.849 --> 00:17:37.791]  Wake up refreshed and take on the day.
[00:17:38.271 --> 00:17:46.218]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:17:46.218 --> 00:17:49.880]  Get the sleep you deserve and experience the power of knockout.
[00:17:49.880 --> 00:17:54.264]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:17:54.264 --> 00:17:55.705]  That's InfoWarsLife.com
[00:17:59.255 --> 00:18:05.737]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[00:18:05.737 --> 00:18:18.302]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[00:18:18.742 --> 00:18:22.383]  They took the good halogen out and put the deadly halogen in.
[00:18:22.383 --> 00:18:29.364]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
[00:18:29.364 --> 00:18:42.147]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[00:18:42.227 --> 00:18:44.068]  You can pull these studies up for yourself.
[00:18:44.068 --> 00:18:50.472]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[00:18:50.472 --> 00:18:55.395]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[00:18:59.266 --> 00:19:01.147]  It's not just our water we need to filter.
[00:19:01.147 --> 00:19:03.188]  It's not just our food that needs to be cleaned.
[00:19:03.188 --> 00:19:05.970]  It's the air we're breathing, especially for our children.
[00:19:05.970 --> 00:19:12.154]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:19:12.154 --> 00:19:21.339]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[00:19:21.339 --> 00:19:24.621]  Whether it's your home or office, you owe it to yourself, your co-workers,
[00:19:24.861 --> 00:19:28.863]  Your family, your children, do the best job you can to purify your air.
[00:19:28.863 --> 00:19:36.887]  The elite are masters at poisoning our environment, while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[00:19:36.887 --> 00:19:37.988]  The general public doesn't.
[00:19:39.074 --> 00:19:43.016]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[00:19:43.016 --> 00:19:46.577]  One of these systems can keep 800 square feet incredibly clean.
[00:19:46.577 --> 00:19:53.300]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:19:53.300 --> 00:20:02.144]  Find out why this system is so revolutionary today at Infowarsstore.com.
[00:20:02.144 --> 00:20:04.745]  You're listening to the Alex Jones Show.
[00:20:12.080 --> 00:20:18.962]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[00:20:18.962 --> 00:20:21.123]  The war was lost.
[00:20:21.123 --> 00:20:23.444]  The treaty signed.
[00:20:23.444 --> 00:20:25.664]  I was not caught.
[00:20:25.664 --> 00:20:27.905]  I crossed the line.
[00:20:27.905 --> 00:20:32.147]  I was not caught, though many tried.
[00:20:32.147 --> 00:20:34.667]  Alright, we have covered the North Korea situation.
[00:20:34.667 --> 00:20:36.068]  I intend to open the phones up.
[00:20:37.299 --> 00:20:44.364]  Towards the end of the hour, right through into the second hour, covering this issue of North Korea.
[00:20:44.364 --> 00:20:56.774]  But at a gut level, at an intellectual level, at a parental level, at a spiritual level, as an investigative level, at every level of my human repertoire.
[00:20:58.516 --> 00:21:06.339]  At every level of my human gifts that God has given me, I know this North Korea thing is on the edge of all-out war.
[00:21:06.339 --> 00:21:09.941]  And I've talked to my high-level sources.
[00:21:09.941 --> 00:21:17.884]  I've told you they're doing nuclear attack drills, decapitation drills, space-based attack drills, you name it.
[00:21:17.884 --> 00:21:22.286]  And now it's admitted.
[00:21:22.286 --> 00:21:22.846]  This is real.
[00:21:24.241 --> 00:21:30.023]  CENTCOM and SOUTHCOM and NORTHCOM and SPACE COMMAND.
[00:21:30.023 --> 00:21:31.264]  They're all ready.
[00:21:31.264 --> 00:21:32.644]  They're all locked and loaded.
[00:21:32.644 --> 00:21:33.665]  It's no game.
[00:21:33.665 --> 00:21:35.045]  It's no joke.
[00:21:35.045 --> 00:21:40.167]  The designates for the backup government in the last month have been in their bunkers.
[00:21:40.167 --> 00:21:46.650]  That hasn't happened except in drills since 1961 with the Cuban Missile Crisis.
[00:21:46.650 --> 00:21:52.532]  There was one other case in the 80s when they went to one of the highest death cons and
[00:21:54.463 --> 00:21:57.784]  Alexander Haig, when Reagan had been shot, said, I'm in command and all the rest of it.
[00:21:57.784 --> 00:21:59.945]  That was because the president had been shot.
[00:21:59.945 --> 00:22:04.587]  Which, as Colonel Schaefer pointed out last week, very, very dangerous for the globalists.
[00:22:04.587 --> 00:22:07.388]  He'd be trying to talk about killing Trump.
[00:22:07.388 --> 00:22:11.369]  Or having Phil Mudd of the CIA sing, we're gonna kill him in the next two months.
[00:22:11.369 --> 00:22:12.189]  That was a month ago.
[00:22:12.189 --> 00:22:15.451]  It's just a crazy time to be alive.
[00:22:15.451 --> 00:22:18.892]  And then separately, I know inside baseball.
[00:22:20.188 --> 00:22:21.829]  And here's the big news.
[00:22:21.829 --> 00:22:26.071]  I know inside baseball about Donald Trump from folks that have known him for decades.
[00:22:26.071 --> 00:22:31.134]  And I know he's won NAACP awards.
[00:22:31.134 --> 00:22:32.575]  I know that he's gotten awards from
[00:22:35.123 --> 00:22:39.905]  Liberal organizations for his hiring of gay people and putting them in management positions.
[00:22:39.905 --> 00:22:45.128]  And so the Trump we hear about from MSNBC and CNN is a false Trump.
[00:22:45.128 --> 00:22:58.595]  No matter how he decries David Duke, no matter how he calls for unity, they say he's an evil person that endorses white supremacists because he said Antifa is bad too, running around, attacking people, spitting on people, beating people.
[00:23:00.489 --> 00:23:05.330]  Well, now even Nancy Pelosi and the FBI have come out and said it's a terrorist organization.
[00:23:05.330 --> 00:23:07.931]  First, they said it was a criminal organization last week.
[00:23:07.931 --> 00:23:10.312]  It's now in the Associated Press.
[00:23:10.312 --> 00:23:15.713]  They're calling it a group that commits terror acts.
[00:23:15.713 --> 00:23:23.275]  So, the media is in a war against reality, trying to block this out.
[00:23:23.275 --> 00:23:27.576]  That Trump really is trying to unify America.
[00:23:30.168 --> 00:23:31.268]  Now there's Newsweek.
[00:23:31.268 --> 00:23:32.709]  Is Antifa a terrorist?
[00:23:32.709 --> 00:23:37.551]  The Feds have reportedly classified their activities as domestic terrorist violence.
[00:23:37.551 --> 00:23:43.032]  That's out in Newsweek today.
[00:23:43.032 --> 00:23:44.873]  What have you as listeners been calling for for months?
[00:23:44.873 --> 00:23:46.774]  To list them as a terror group?
[00:23:46.774 --> 00:23:49.034]  Going out trying to violate free speech?
[00:23:49.034 --> 00:23:50.035]  Trying to intimidate people?
[00:23:51.138 --> 00:23:54.162]  Carrying out violence for their political demands.
[00:23:54.162 --> 00:24:02.694]  That's the definition of terrorism, is going out and threatening violence or carrying out violence to further your political or economic aim.
[00:24:02.694 --> 00:24:07.300]  That's the Merriam-Webster definition of terrorism.
[00:24:10.663 --> 00:24:13.787]  Now the left's suddenly calling them left-wing malicious.
[00:24:13.787 --> 00:24:25.824]  So they've gone from trying to sell them as their new revolution, just a few weeks ago, and saying Trump was insane to say they're dangerous and bad, to now saying, okay, they are bad, because the independent media, that's you!
[00:24:27.213 --> 00:24:34.895]  Not just me, not just Mark Dice, not just Paul Watson, not just Mike Cernovich, not just Matt Drudge, that's you!
[00:24:34.895 --> 00:24:44.837]  Matt Drudge always says you're just as important as the New York Times, as a blogger, as a poster, as somebody that videotapes something, because you're the eyes and ears on the ground.
[00:24:44.837 --> 00:24:54.720]  And because you showed Antifa beating people up and spitting on people and attacking prayer vigils and throwing feces on folks, because you exposed them, they have been destroyed.
[00:24:56.903 --> 00:25:14.740]  When we come back into the next segment, I'm going to play a video piece that's on InfoWars.com and NewsWars.com that I've tweeted out at RealAlexJones, that's also on our main Facebook, titled, This Viral Video Could Save America.
[00:25:14.740 --> 00:25:16.922]  Now I want to explain something.
[00:25:16.922 --> 00:25:19.044]  We have four videos this week.
[00:25:22.867 --> 00:25:27.048]  That each one of them has over 10 million views.
[00:25:27.048 --> 00:25:35.351]  One of them has 10 million on Facebook and I spent like 15 minutes the other day looking at it on other YouTubes and other Facebooks.
[00:25:35.351 --> 00:25:41.473]  It had 14 million views as of Friday afternoon.
[00:25:41.473 --> 00:25:45.994]  That's Owen Schroer in Austin when Trump came to town the first time last week.
[00:25:47.159 --> 00:25:54.341]  An unedited, raw, 20-minute video of black people being screamed at by white liberals calling them racist names.
[00:25:54.341 --> 00:26:01.562]  It just shows the frothing mental illness, not just of Antifa, but of the mainline left.
[00:26:01.562 --> 00:26:08.484]  These are people that literally believe they're Captain America fighting Hydra, fighting the Nazis.
[00:26:10.484 --> 00:26:20.646]  They are the most ignorant, uneducated, and I'm not doing some white knighting, white ally thing where I say it's mainly white people.
[00:26:20.646 --> 00:26:33.529]  I'm saying it because I'm ashamed, as a human, that 95% of the arrogant, crazy, racist, nutty people are white.
[00:26:33.529 --> 00:26:35.890]  And most of them are women.
[00:26:35.890 --> 00:26:36.610]  And I love women.
[00:26:38.166 --> 00:26:40.127]  And I'm not bashing women.
[00:26:40.127 --> 00:26:42.289]  I'm just telling you it's a fact on the videos.
