[00:00:00.869 --> 00:00:06.991]  I am really honored to have Michael Bagnerik in studio with us for several reasons.
[00:06:18.417 --> 00:06:23.624]  But TxDOT's still moving ahead with this program to turn basically all major roads into toll roads.
[00:06:25.627 --> 00:06:28.190]  I'm also against them.
[00:06:28.190 --> 00:06:32.014]  Libertarians in general would like to privatize issues.
[00:06:32.014 --> 00:06:33.876]  We don't want to eliminate the decision
[00:06:45.229 --> 00:06:56.512]  We just want to move the decision-making process from Washington, or the state government, into the local county governments, or better, for education, back into the individual homes.
[00:06:56.512 --> 00:06:59.353]  But see, they advertise this as privatization, but it's not.
[00:06:59.353 --> 00:07:07.116]  It's like in Russia, when they pay off the president, and then he just gives an industry to some robber baron, or they call them oligarchs over there.
[00:07:07.116 --> 00:07:11.657]  They just, oh, here, you're a foreign Spanish company, we're going to give you our existing roads,
[00:07:12.137 --> 00:07:13.398]  No, I don't see that as privatization.
[00:07:13.398 --> 00:07:17.501]  And what they generally do is they take a word and then change the definition and then feed it back
[00:07:30.951 --> 00:07:40.076]  So would privatization be if a group of investors got together and bought right-of-ways and built their own toll road and said, if you want to use it, pay us 50 cents?
[00:07:40.076 --> 00:07:40.797]  That's right.
[00:07:40.797 --> 00:07:43.298]  You know, it had to be, you know, an investment.
[00:07:43.298 --> 00:07:47.681]  It's not simply the lack of the fact that you've elected any of these people.
[00:07:48.303 --> 00:08:01.690]  You know, these people, if the government is giving this monopoly to a particular company, just because you haven't voted for the corporation heads, that doesn't mean that that's a privatized entity.
[00:08:01.690 --> 00:08:10.294]  Then there's the whole mode of how they're going to tax us with a transponder and they admit that they'll even give you tickets when you speed from radio reader to radio reader.
[00:08:10.294 --> 00:08:13.776]  They admit that they'll be able to track where you're going and what you're doing.
[00:08:13.776 --> 00:08:14.496]  What do you think about that?
[00:08:14.976 --> 00:08:17.897]  I think that's an invasion of our privacy.
[00:08:17.897 --> 00:08:24.318]  It is very much that one world order that you're telling people about.
[00:08:24.318 --> 00:08:33.140]  Well, the good news is the majority of Texas counties have now passed resolutions against it and are moving to file lawsuits and block it, so that's good news.
[00:08:33.140 --> 00:08:41.262]  That is good news and I'm very, very lucky because I think that the toll road is supposed to pass right through District 10.
[00:08:42.322 --> 00:08:42.802]  Yes.
[00:08:42.802 --> 00:08:47.686]  And the government is going to be using eminent domain to abscond with people's property.
[00:08:47.686 --> 00:08:48.847]  And that goes into my next question.
[00:08:48.847 --> 00:08:56.712]  Yes, the main artery, the main central trunk or hub is I-35 from Mexico up into Canada right through Minneapolis-St.
[00:08:56.712 --> 00:08:58.073]  Paul, as you know, Michael.
[00:08:58.653 --> 00:09:04.939]  And yes, they're saying that 10 miles on each side, they can just take it and then not even pay you just compensation.
[00:09:04.939 --> 00:09:06.901]  That's the new spin and the new London thing.
[00:09:06.901 --> 00:09:11.566]  Not just they're saying if some private group wants to pay off a politician to take your land, we can take it.
[00:09:11.566 --> 00:09:14.328]  Now it's that we give you what we say the value is.
[00:09:15.490 --> 00:09:19.115]  And this is one of the things that I debate with people on.
[00:09:19.115 --> 00:09:30.770]  They tell me that the Constitution, specifically the Fifth Amendment, allows eminent domain, but it's the question of, you know, what is just compensation and who decides that?
[00:09:30.770 --> 00:09:32.473]  If you're buying something from me,
[00:09:33.217 --> 00:09:35.379]  You know, I decide what the cost is.
[00:09:35.379 --> 00:09:36.619]  Best use can be demonstrated.
[00:09:36.619 --> 00:09:38.721]  And then you can decide whether you want to pay that.
[00:09:38.721 --> 00:09:39.541]  But they're not even doing that.
[00:09:39.541 --> 00:09:43.324]  They condemn your house and then say, OK, it's only worth the lot value.
[00:09:43.324 --> 00:09:47.887]  Even though you've got a $300,000 house on the books, we're just going to give you lot value.
[00:09:47.887 --> 00:09:57.833]  Within a few weeks of the Supreme Court decision on Kelo versus New London, I got about a dozen anonymous phone calls from across the country.
[00:09:57.833 --> 00:09:59.735]  People know that I'm a constitutional scholar.
[00:09:59.735 --> 00:10:01.556]  And they were calling to ask.
[00:10:01.556 --> 00:10:03.077]  The Supreme Court can't do that.
[00:10:03.277 --> 00:10:04.357]  Can they?
[00:10:04.357 --> 00:10:07.398]  And realistically, these people already know the answer.
[00:10:07.398 --> 00:10:11.139]  They're just calling me so that I would confirm what they already know.
[00:10:11.139 --> 00:10:13.480]  Let's talk about that in detail and get into the Constitution.
[00:10:13.480 --> 00:10:18.862]  I'm going to spend the bulk of our time together, and if you can today, spend a few minutes into the next hour because we've got you started a little bit later.
[00:10:18.862 --> 00:10:21.463]  Setting up some cameras so we can put this on the TV show, Michael.
[00:10:21.463 --> 00:10:28.465]  But I want to specifically, because it's one thing to say the federal government or the state government, if they want to build a hospital or a road, can make you sell.
[00:10:29.546 --> 00:10:33.329]  For a good value of the property.
[00:10:33.329 --> 00:10:36.432]  But what about when private corporations want your land?
[00:10:36.432 --> 00:10:37.373]  We'll be right back.
[00:10:37.373 --> 00:10:37.814]  Stay with us.
[00:10:40.419 --> 00:10:45.141]  If you think your engine is safe by having the oil changed every 3,000 miles, think again.
[00:10:45.141 --> 00:10:48.863]  Every time you start your car, your engine creates friction between the moving parts.
[00:10:48.863 --> 00:10:57.246]  These moving parts wear against each other, and the result is small metal particles circulating through your oil, causing premature wear and damage to your engine.
[00:10:57.246 --> 00:11:02.889]  Oil filters do a good job of trapping the large metal particles, but they will not trap the most harmful tiny particles.
[00:11:03.189 --> 00:11:08.696]  These tiny particles circulate constantly through your oil and over time your engine begins to show signs of wear.
[00:11:08.696 --> 00:11:11.038]  This is why you need the Filter Mag.
[00:11:11.038 --> 00:11:23.193]  The Filter Mag is a powerful magnet that holds itself to the outside of your oil filter, trapping the tiny metal particles to the inside wall of the filter, extending the life of your oil and ultimately extending the life of your engine.
[00:11:23.413 --> 00:11:28.056]  The reusable FilterMag is maintenance-free, installs in two seconds, and lasts forever.
[00:11:28.056 --> 00:11:29.176]  So what are you waiting for?
[00:11:29.176 --> 00:11:30.937]  Go to FilterMag.com.
[00:11:30.937 --> 00:11:32.999]  That's FilterMag.com.
[00:11:32.999 --> 00:11:33.479]  Or call 800-345-8376.
[00:11:33.479 --> 00:11:33.679]  That's 800-345-8376.
[00:11:40.459 --> 00:11:47.143]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[00:11:47.143 --> 00:11:55.249]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:11:55.249 --> 00:12:03.094]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:12:03.414 --> 00:12:08.495]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:12:08.495 --> 00:12:13.716]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:12:13.716 --> 00:12:18.077]  A gripping adventure into the secret world of international banking cartel.
[00:12:18.077 --> 00:12:19.157]  Hi, this is Ted Anderson.
[00:12:19.157 --> 00:12:23.658]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:12:23.658 --> 00:12:28.559]  Call 1-800-686-2237 and order a copy today.
[00:12:28.559 --> 00:12:31.080]  It's critical that the public be made aware of the system.
[00:12:31.541 --> 00:12:33.325]  Call and order your copy today at 1-800-686-2237.
[00:12:33.325 --> 00:12:33.566]  That's 1-800-686-2237.
[00:12:39.915 --> 00:12:48.742]  Berkey Water Filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:12:48.742 --> 00:13:00.251]  The Berkey Light's self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, salt for odors, foul tastes, and much, much more.
[00:13:00.251 --> 00:13:03.234]  Yet, they leave in the nutritional minerals that your body needs.
[00:13:03.234 --> 00:13:07.337]  The Berkey Light has ridges to deflect water if the upper chamber is overfilled,
[00:13:07.537 --> 00:13:09.839]  And it can be used anywhere on a flat surface.
[00:13:09.839 --> 00:13:11.900]  That's because it has an elevated base.
[00:13:11.900 --> 00:13:18.184]  The entire system joins together to make the Berkey Light convenient to transport even while it's filtering water.
[00:13:18.184 --> 00:13:23.768]  Its rechargeable bright white LED lamps allow for optimum use at night or during emergency conditions.
[00:13:24.168 --> 00:13:28.113]  Get the Berkey Light, the ultimate filter for only $259 by calling New Millennium at 888-803-4438.
[00:13:28.113 --> 00:13:28.853]  That's toll-free, 888-803-4438.
[00:13:28.853 --> 00:13:29.835]  Not yet available in Iowa.
[00:13:40.057 --> 00:13:43.679]  Heart disease continues to be the leading cause of death in America.
[00:13:43.679 --> 00:13:44.039]  Why?
[00:13:44.039 --> 00:13:47.060]  Haven't people heard about the positive effects of cardivite?
[00:13:47.060 --> 00:13:52.123]  Cardivite drops and capsules were designed to improve your cardiovascular health and circulatory well-being.
[00:13:52.123 --> 00:14:02.007]  The all-natural ingredients in cardivite begin immediately working to increase metabolism in your heart muscle tissue, mitigating heart rhythm abnormalities, and improving oxygen and blood flow in the heart.
[00:14:02.007 --> 00:14:07.350]  Right now, as a special for GCN listeners, you'll get a four-month supply for only $99 plus shipping.
[00:14:07.350 --> 00:14:09.411]  A 30% savings off the regular price.
[00:14:09.591 --> 00:14:11.612]  This offer is only for a limited time.
[00:14:11.612 --> 00:14:16.416]  So call now 1-877-928-8822.
[00:14:16.416 --> 00:14:21.899]  Cardivite drops and capsules may help improve your circulation and cardiovascular health, but that's up to you.
[00:14:21.899 --> 00:14:23.360]  Take the first step with Cardivite.
[00:14:23.360 --> 00:14:24.121]  Call toll-free 1-877-928-8822.
[00:14:24.121 --> 00:14:24.541]  That's 1-877-928-8822.
[00:14:24.541 --> 00:14:26.362]  Or visit heartdrop.com for more information.
[00:14:26.362 --> 00:14:27.523]  Don't let heart disease beat you.
[00:14:27.523 --> 00:14:29.084]  Beat the odds and do your body right with Cardivite.
[00:14:44.348 --> 00:14:46.651]  Alright, we're back with Michael Bagnerik.
[00:14:46.651 --> 00:14:50.094]  Of course, he was a Libertarian presidential candidate who gave him a good run.
[00:14:50.094 --> 00:14:53.618]  And he's now running for Congress, District 10, right here deep in the heart of Texas.
[00:14:53.618 --> 00:14:58.002]  Imagine having another Ron Paul, both of them from Texas.
[00:14:58.002 --> 00:15:01.225]  Is Paul's district still called 14 after they rewrote it?
[00:15:01.225 --> 00:15:02.627]  As far as I know, yes.
[00:15:02.627 --> 00:15:06.731]  Yeah, it's, boy, I tell you, they really wrote it to beat him, but he's saying it's not going to work.
[00:15:07.535 --> 00:15:08.415]  I mean, his own party.
[00:15:08.415 --> 00:15:14.478]  Imagine Ron Paul's own party, the Republicans, riding the district up to give it to the Democrats over him.
[00:15:14.478 --> 00:15:15.158]  Yeah.
[00:15:15.158 --> 00:15:20.081]  And I think they were a little bit surprised when the Democrats did not run a candidate in 2004.
[00:15:20.081 --> 00:15:24.363]  Ron Paul was unopposed, fortunately.
[00:15:24.363 --> 00:15:30.405]  And so we're a little bit interested to see who's going to be running against him in 2006.
[00:15:30.405 --> 00:15:33.367]  Absolutely.
[00:15:33.367 --> 00:15:34.047]  Who's the Democrat?
[00:15:34.047 --> 00:15:35.308]  Who are they trying to run against, McCaul?
[00:15:37.256 --> 00:15:49.063]  Against McCaul, we have five Democrats that have recently registered, and they're going to have to go through their primary to decide which of their candidates is going to be the nominee.
[00:15:49.063 --> 00:15:50.444]  You know, I mean, this is just my advice.
[00:15:50.444 --> 00:15:52.525]  I know Ron Paul would win in Central Texas.
[00:15:52.525 --> 00:15:55.807]  Isn't there any way you can kind of brand yourself as a Ron Paul libertarian?
[00:15:55.807 --> 00:15:57.247]  I'm certainly hoping to.
[00:15:57.247 --> 00:16:00.549]  I want people to know that I'm a Ron Paul with attitude.
[00:16:00.549 --> 00:16:02.450]  I want to go to Washington, D.C.
[00:16:02.450 --> 00:16:03.791]  and really stir things up.
[00:16:04.782 --> 00:16:05.222]  I love it.
[00:16:05.222 --> 00:16:07.584]  I mean, Michael, you know what?
[00:16:07.584 --> 00:16:09.625]  Nobody needs to be beaten worse than Michael McCaul.
[00:16:09.625 --> 00:16:11.166]  I don't think people really know his record.
[00:16:11.166 --> 00:16:24.494]  Instead of bashing him all day, our listeners know he's bad news, but I mean, Janet Reno's toady on Waco and a bunch of other horrible stuff, Chinagate, protecting the chi-coms, and then now he's this little anti-terror czar up in Congress.
[00:16:24.494 --> 00:16:25.315]  I mean, he's a nightmare.
[00:16:25.635 --> 00:16:28.836]  Well, we're going to be working very, very hard in District 10.
[00:16:28.836 --> 00:16:32.638]  We're beginning a listening tour this month.
[00:16:32.638 --> 00:16:34.979]  We're going to go out and talk to the voters.
[00:16:34.979 --> 00:16:38.440]  We want to know what the voters think about Washington government.
[00:16:38.440 --> 00:16:44.702]  What they think about the Texas corridor and all of the issues here in Central Texas.
[00:16:44.702 --> 00:16:50.164]  Well, I think having a successful presidential candidate, I mean, you were successful, got a lot of attention, got a lot of information out to the people.
[00:16:50.164 --> 00:16:54.106]  I think that really adds an entree to you and plus you're from right here in Austin.
[00:16:54.326 --> 00:16:59.369]  Well, I think what sets me apart is the fact that I am willing to work so hard.
[00:16:59.369 --> 00:17:05.912]  We have an office staff already who we're putting in 10 to 12 hours a day, and this is just the beginning of the campaign.
[00:17:05.912 --> 00:17:11.755]  We have every intention of walking the district, shaking hands, and meeting as many of the constituents as possible.
[00:17:11.755 --> 00:17:12.376]  Well, we know this.
[00:17:12.376 --> 00:17:15.497]  We know the Democrats are all a bunch of pro-war mongering idiots.
[00:17:15.497 --> 00:17:17.738]  We know they're for big government, gun control.
[00:17:17.738 --> 00:17:18.959]  Michael Bagnerik isn't, are you?
[00:17:19.199 --> 00:17:19.700]  No.
[00:17:19.700 --> 00:17:21.123]  No, absolutely.
[00:17:21.123 --> 00:17:24.270]  Again, we want to reduce the size of government.
[00:17:24.270 --> 00:17:30.483]  If we got rid of the IRS and you got to keep your money, you'd probably do something really silly like spend it.
[00:17:31.329 --> 00:17:34.290]  And we'd have small businesses springing up all over the place.
[00:17:34.290 --> 00:17:44.992]  Well, back when this country had a 20% growth rate a year, a hundred and something years ago, we didn't have an income tax and the government had some puny tariffs that were meant just to protect our industries.
[00:17:44.992 --> 00:17:45.473]  That's right.
[00:17:45.473 --> 00:17:46.833]  Why can't we go back to that?
[00:17:46.833 --> 00:17:48.113]  Well, I think that we can.
[00:17:48.113 --> 00:17:51.874]  And that's what I would like to do.
[00:17:51.874 --> 00:17:57.936]  Whatever your job is, you make 100% of your pay and the government takes a certain percentage of it.
[00:17:57.936 --> 00:17:59.456]  And that percentage keeps getting larger.
[00:18:00.413 --> 00:18:04.282]  Well, either you can take your money home or you can give it to the government.
[00:18:04.282 --> 00:18:06.126]  Who spends your money better?
[00:18:06.126 --> 00:18:06.266]  You?
[00:18:07.097 --> 00:18:09.138]  Or the government that's supposed to represent you.
[00:18:09.138 --> 00:18:17.563]  Well, the thing is, the government, even in major studies they've had over the last 30 years, that they really get more into their treasury when they lower taxes.
[00:18:17.563 --> 00:18:18.664]  People go, how does that work?
[00:18:18.664 --> 00:18:20.585]  Because the economy speeds up so fast.
[00:18:20.585 --> 00:18:26.569]  Kennedy cut taxes by 50% and the treasury in one year, the amount of receipts coming in, doubled.
[00:18:26.569 --> 00:18:28.550]  Well, then why do they want to jack them up even more?
[00:18:28.550 --> 00:18:29.771]  It's about control.
[00:18:29.771 --> 00:18:31.652]  They're trying to control the economy.
[00:18:32.032 --> 00:18:37.756]  And if the Federal Reserve can print more money, why do they need to take your taxes if they can just print more?
[00:18:37.756 --> 00:18:38.497]  Well, that's the thing.
[00:18:38.497 --> 00:18:42.239]  The Federal Reserve right now, Michael, is going into overdrive.
[00:18:42.239 --> 00:18:51.586]  The new chairman is saying he's going to print money even faster than Greenspan, and inflation's really at about 10%, but even if it's 5%, like they claim it is,
[00:18:52.306 --> 00:18:57.769]  If growth of the economy is 3.4, over a decade you're losing a lot of money.
[00:18:57.769 --> 00:18:59.650]  That is actually recessionary.
[00:18:59.650 --> 00:19:01.311]  Your comments?
[00:19:01.311 --> 00:19:01.791]  I agree.
[00:19:01.791 --> 00:19:05.894]  I think that people need to understand that a little bit more.
[00:19:05.894 --> 00:19:12.357]  But I think that as soon as you start talking about the Federal Reserve, most people on the sidewalk just kind of their eyes glaze over.
[00:19:12.357 --> 00:19:15.559]  It's a little bit too complicated for them as the first thing to talk about.
[00:19:15.559 --> 00:19:19.661]  Maybe you should just tell them the Federal Reserve doesn't like Vince Young.
[00:19:21.644 --> 00:19:26.370]  Well, I just want to tell them that we're going to let them spend their money.
[00:19:26.370 --> 00:19:30.475]  And, you know, let them decide the best way to improve their life.
[00:19:30.475 --> 00:19:33.478]  We get the economy going again, that's good for everybody.
[00:19:33.478 --> 00:19:38.204]  But I mean, maybe we should just boil it down to, like, ugging and grunting and just say that
[00:19:38.744 --> 00:19:44.973]  Well, I think that the American public is figuring it out, as I said earlier, after the Supreme Court decision on Kelo v. New London.
[00:19:55.367 --> 00:19:59.290]  We were going to talk about that, now we've got a break again, but I want to get into that when we get back.
[00:19:59.290 --> 00:20:02.151]  What are we going to talk about with that, the Kelo?
[00:20:02.151 --> 00:20:10.237]  I was just going to point out that people, that decision brought people into the political arena that had never been concerned about politics before.
[00:20:10.237 --> 00:20:11.418]  Oh, you're saying it was a wake-up call?
[00:20:11.418 --> 00:20:17.902]  It was a wake-up call, absolutely a wake-up call, and I think that in the long run that's going to be very helpful to us.
[00:20:17.902 --> 00:20:20.504]  Well, let's go through just your one-on-one when we get back.
[00:20:20.504 --> 00:20:22.265]  Let's see, you had five, ten minutes with a group of
[00:20:22.945 --> 00:20:25.227]  We're on the march, the empire's on the run.
[00:20:25.227 --> 00:20:27.109]  Alex Jones and the GCN Radio Network.
[00:20:40.696 --> 00:20:43.317]  So what's in your shampoo, bath soap, and dish soap?
[00:20:43.317 --> 00:20:47.458]  Chlorides, dyes, ethanol, sulfates, sodiums, formaldehydes, etc.
[00:20:47.458 --> 00:20:48.718]  Read the labels.
[00:20:48.718 --> 00:20:53.059]  Inhaling exposure can lead to coughing, wheezing, shortness of breath, headache, and nausea.
[00:20:53.059 --> 00:20:57.621]  Also may be irritating the skin and mucous membranes and cause you to seek medical help.
[00:20:57.621 --> 00:21:02.482]  Perfumes, also known as fragrance on a label, can indicate the presence of thousands of separate ingredients.
[00:21:02.882 --> 00:21:06.645]  Now just by one example, here's what's in my CalBen Pure Soap Shampoo.
[00:21:06.645 --> 00:21:12.270]  It's all natural, earth friendly, it contains extra virgin cocoa butter oils and vegetable protein oils.
[00:21:12.270 --> 00:21:15.293]  No harsh chemicals, no animal tallow or testing.
[00:21:15.293 --> 00:21:16.494]  So what are you waiting for?
[00:21:16.494 --> 00:21:27.223]  Call now 1-800-340-7091 and find out how a family of four can save over $1,000 per year on all their cleaning products with CalBen Pure Soaps.
[00:21:27.603 --> 00:21:29.025]  Call CalBenToll Free at 1-800-340-7091.
[00:21:29.025 --> 00:21:30.047]  That's 800-340-7091 or visit CalBenPureSoap.com.
[00:21:40.251 --> 00:21:46.633]  The illuminated Berkey Base allows most gravity filters to be used in the center of a table by raising the spigot level.
[00:21:46.633 --> 00:21:53.075]  Made of durable Lexan polymer, the same material used for bulletproof glass, it has eight LED lamps.
[00:21:53.075 --> 00:22:01.438]  Incredibly, the low-energy LEDs will last for more than 11 years of continuous use and are bright enough to be spotted for over a mile in the dark.
[00:22:01.738 --> 00:22:09.084]  The LED lamps are powered by an AC adapter, and during emergencies, the rechargeable batteries will operate them all night long.
[00:22:09.084 --> 00:22:14.128]  When the LEDs are switched off, the AC adapter automatically recharges the batteries.
[00:22:14.128 --> 00:22:19.873]  The Berkey Base is available in gorgeous cobalt blue or practical bright white LEDs.
[00:22:19.873 --> 00:22:22.895]  Ideal as an emergency light, flashlight, or nightlight.
[00:22:23.275 --> 00:22:31.259]  Get the Illuminated Berkey Bass for only $69 or get both white and blue for only $125 by calling New Millennium at 888-803-4438.
[00:22:31.259 --> 00:22:31.820]  That's toll free, 888-803-4438.
[00:22:40.422 --> 00:22:43.504]  Here's your chance for your business to get discovered free.
