[00:00:13.078 --> 00:00:13.218]  Food.
[00:02:44.963 --> 00:02:54.586]  For example, Iceland, 82% of their new COVID hospitalizations are vaccinated people.
[00:02:54.586 --> 00:02:58.448]  And I could just go on and on with all of that.
[00:02:58.448 --> 00:03:04.850]  But you know, the Democrats have started their January 6
[00:03:06.050 --> 00:03:07.752]  Show hearings.
[00:03:07.752 --> 00:03:09.073]  And you know, I gotta give them credit.
[00:03:09.073 --> 00:03:19.602]  They really know how to go out and source out the biggest liars that they can find to testify for them as witnesses.
[00:03:19.602 --> 00:03:24.366]  And so we've got multiple examples of that.
[00:03:24.366 --> 00:03:28.329]  But again, I don't even know how to handle it at this point.
[00:03:28.329 --> 00:03:29.831]  The Democrat Party is such
[00:03:32.408 --> 00:03:33.529]  It's filled with liars.
[00:03:33.529 --> 00:03:35.169]  I mean, there's no other way to put it.
[00:03:35.169 --> 00:03:37.190]  They can't be honest about anything.
[00:03:37.190 --> 00:03:39.871]  The American media can't be honest about anything.
[00:03:39.871 --> 00:03:41.852]  They lie all day about COVID.
[00:03:41.852 --> 00:03:44.193]  They lie all day about January 6th.
[00:03:44.193 --> 00:03:55.538]  And we all just have to sit here and take it as their lies are used as the excuse to bring in total tyranny and to
[00:03:57.288 --> 00:04:01.091]  Round up and arrest all of their political dissidents.
[00:04:01.091 --> 00:04:11.720]  So whether it's rounding you up and arresting you because you don't want to take a vaccine, or rounding you up and arresting you because you posted something about January 6th, or even God forbid you were in D.C.
[00:04:11.720 --> 00:04:18.365]  on January 6th, this is the new Democrat Party platform.
[00:04:18.365 --> 00:04:26.552]  Everybody has to be afraid of COVID, or you will be arrested, and nobody can ever support Trump
[00:04:27.967 --> 00:04:31.510]  Or you will be arrested.
[00:04:31.510 --> 00:04:38.757]  And once again, the American media goes along with it, doesn't see a problem with it, and placates to it.
[00:04:38.757 --> 00:04:43.521]  So we're going to get into that coming up here on the Alex Jones Show.
[00:04:43.521 --> 00:04:46.743]  He'll be joining us as well in the first hour.
[00:04:46.743 --> 00:04:50.687]  But I just don't even know how to respond to this anymore.
[00:04:50.687 --> 00:04:51.848]  It's getting so redundant.
[00:04:52.916 --> 00:04:57.059]  That, uh, and they're not going to stop lying, so I don't know what to do, folks.
[00:04:57.059 --> 00:04:58.380]  It's out of control.
[00:04:58.380 --> 00:05:06.885]  Ladies and gentlemen, Owen Schroeder here, the host of the InfoWars War Room, and I am very excited about our latest supplement addition to InfoWarsStore.com.
[00:05:06.885 --> 00:05:16.992]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[00:05:17.472 --> 00:05:20.397]  But then I read the ingredients and I was blown away.
[00:05:20.397 --> 00:05:21.579]  Listen to this.
[00:05:21.579 --> 00:05:22.821]  Organic pea fiber.
[00:05:22.821 --> 00:05:24.283]  Organic alfalfa leaf.
[00:05:24.283 --> 00:05:25.725]  Organic wheatgrass leaf.
[00:05:25.725 --> 00:05:27.187]  Organic cilantro leaf.
[00:05:27.187 --> 00:05:28.590]  Organic kale leaf.
[00:05:28.590 --> 00:05:30.152]  Organic flax sprout.
[00:05:30.152 --> 00:05:31.754]  Organic quinoa sprout.
[00:05:31.754 --> 00:05:32.496]  Ladies and gentlemen,
[00:05:33.076 --> 00:05:35.177]  All of these things are so incredible for your health.
[00:05:35.177 --> 00:05:39.019]  Just one of these ingredients can be a life-changing supplement for your health.
[00:05:39.019 --> 00:05:43.781]  And we've packed it all in to fiber green caps at InfoWarsStore.com.
[00:05:43.781 --> 00:05:47.683]  So I'm excited to add this to my supplement routine every day.
[00:05:47.683 --> 00:05:49.844]  I suggest that you do the same thing.
[00:05:49.844 --> 00:05:52.686]  And right now it's at an introductory price of $19.95.
[00:05:52.686 --> 00:05:54.207]  That's 33% off at InfoWarsStore.com.
[00:06:09.746 --> 00:06:10.906]  Big Brother.
[00:06:10.906 --> 00:06:12.687]  Mainstream media.
[00:06:12.687 --> 00:06:14.568]  Government cover-ups.
[00:06:14.568 --> 00:06:16.269]  You want to stop tyranny?
[00:06:16.269 --> 00:06:17.929]  Well, so does he.
[00:06:17.929 --> 00:06:23.051]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:23.051 --> 00:06:29.374]  And now, your host, Owen Schroer.
[00:06:29.374 --> 00:06:30.674]  There's no one in the hospital.
[00:06:30.674 --> 00:06:31.815]  Exactly.
[00:06:31.815 --> 00:06:32.215]  Nobody!
[00:06:33.783 --> 00:06:35.844]  What is going on in this country?
[00:06:35.844 --> 00:06:36.785]  They discharged everybody.
[00:06:36.785 --> 00:06:38.366]  So there's nobody even in there.
[00:06:38.366 --> 00:06:40.907]  Nobody's in the hospital.
[00:06:40.907 --> 00:06:44.149]  How is that possible in a medical pandemic?
[00:06:44.149 --> 00:06:46.570]  That's fake news, that's why.
[00:06:46.570 --> 00:06:47.411]  Fake news?
[00:06:47.411 --> 00:06:48.371]  It's all fake news, isn't it?
[00:06:48.371 --> 00:06:49.192]  There's nobody in there.
[00:06:49.192 --> 00:06:51.493]  Is there anybody in there?
[00:06:51.493 --> 00:06:52.894]  No.
[00:06:52.894 --> 00:06:59.477]  But there's free food.
[00:06:59.477 --> 00:07:01.818]  Ladies and gentlemen, it is Tuesday, July 27th.
[00:07:03.894 --> 00:07:05.295]  2021, this is the Alex Jones Show.
[00:07:05.295 --> 00:07:06.415]  Owen Schroer sitting in.
[00:07:06.415 --> 00:07:10.176]  Alex is going to be joining us in the first hour.
[00:07:10.176 --> 00:07:14.858]  And, you know, I've got plenty of news here I can cover on my desk.
[00:07:14.858 --> 00:07:20.179]  I've got plenty of video clips, much like the one I just played.
[00:07:20.179 --> 00:07:28.982]  And, you know, I can sit here and show you, hey, look, the CDC just said you have to wear a mask all the time now, even if you're vaccinated.
[00:07:28.982 --> 00:07:30.983]  I could sit here and say, look,
[00:07:31.889 --> 00:07:41.534]  The CDC is saying we need to stop people coming in from Israel because they're having a COVID outbreak, but the CDC also says they've done the best job with vaccines.
[00:07:41.534 --> 00:07:43.995]  Huh?
[00:07:43.995 --> 00:07:44.255]  What?
[00:07:44.255 --> 00:07:50.438]  It's a total clown world.
[00:07:50.438 --> 00:07:58.142]  Then I've got, and look, I'm watching all these clips before I come on air of
[00:07:59.105 --> 00:08:06.787]  Just the select liars that the Democrats have chosen for their witnesses for their January 6th show hearings.
[00:08:06.787 --> 00:08:12.589]  And you have police officers saying it's the worst riot they've ever seen.
[00:08:12.589 --> 00:08:14.790]  They've never seen such violence in Washington D.C.
[00:08:14.790 --> 00:08:16.311]  again before.
[00:08:16.311 --> 00:08:20.392]  It's like, oh my gosh, like, I guess they just spawned in January 2021.
[00:08:20.392 --> 00:08:22.312]  They just magically appeared.
[00:08:22.312 --> 00:08:23.233]  They weren't here for 2020 when
[00:08:24.954 --> 00:08:28.156]  The left, the Democrats, were burning Washington D.C.
[00:08:28.156 --> 00:08:34.539]  to the ground, burning, having bonfires in Lafayette Square, burning St.
[00:08:34.539 --> 00:08:37.501]  John's Church, burning buildings, looting buildings.
[00:08:37.501 --> 00:08:49.887]  How about the inauguration in January 2017, when leftists were running around lighting off bombs and fireworks and setting cars on fire and smashing windows and looting and savagely beating people in the streets?
[00:08:49.887 --> 00:08:51.808]  I guess the police weren't around for that, were they?
[00:08:52.515 --> 00:08:54.296]  I guess they must have missed that.
[00:08:54.296 --> 00:08:59.298]  I guess all the witnesses for the Democrat Party weren't even alive in the year 2020.
[00:08:59.298 --> 00:09:05.462]  They magically were born in the year 2021 to say that that was the worst event in American history.
[00:09:05.462 --> 00:09:17.388]  And of course, they get people to go up there and say that Brian Sicknick died because he was bashed over the head with a fire extinguisher, which even the Washington Post had to admit was a lie.
[00:09:17.388 --> 00:09:17.868]  So again,
[00:09:19.284 --> 00:09:29.551]  I could sit here and cover the news and play all the video clips, but I gotta tell you, folks, I just don't even know what to do anymore at this point.
[00:09:29.551 --> 00:09:31.612]  The line's been drawn.
[00:09:31.612 --> 00:09:33.573]  People have already chosen their sides.
[00:09:33.573 --> 00:09:34.734]  There's no more middle ground.
[00:09:34.734 --> 00:09:36.595]  There's no more convincing anybody.
[00:09:36.595 --> 00:09:38.916]  There's no more hedging.
[00:09:38.916 --> 00:09:41.078]  There's no more playing both sides.
[00:09:41.078 --> 00:09:41.418]  It's on.
[00:09:42.885 --> 00:09:55.329]  Either you're fully bought into the anti-American, anti-freedom, Democrat party that lies through its teeth 24-7 with the American media about every event, about everything that ever existed or happened.
[00:09:57.001 --> 00:10:19.197]  Or, you're on the side of America and freedom and truth, you question things you see on TV, you know that the Democrat Party is lying to you, you know that the American media is lying to you, you don't want to live in fear, you don't want fear to take away your freedoms, and you just want to have a normal life again, and you know it's possible, but you know the entity is holding us back from it.
[00:10:19.197 --> 00:10:23.740]  And you know why they're doing it.
[00:10:23.740 --> 00:10:26.262]  So again, I almost can't even cover the news today.
[00:10:31.667 --> 00:10:38.049]  It's so joke level.
[00:10:38.049 --> 00:10:43.151]  Here's a headline from December of 2020.
[00:10:43.151 --> 00:10:47.972]  Joe Biden says COVID vaccinations will not be mandatory in the United States.
[00:10:47.972 --> 00:10:51.133]  Oh, Washington Post today.
[00:10:51.133 --> 00:10:51.853]  Enough already.
[00:10:51.853 --> 00:10:53.534]  It's time for vaccine entry passes.
[00:10:55.425 --> 00:11:00.086]  And the Biden administration by September will announce mandatory vaccines for all Americans.
[00:11:00.086 --> 00:11:03.827]  They already have for the VA.
[00:11:03.827 --> 00:11:08.888]  California has already done it for all their state government workers.
[00:11:08.888 --> 00:11:10.908]  Snopes does a fact check story today.
[00:11:10.908 --> 00:11:18.710]  Did Kamala Harris and Joe Biden doubt the COVID vaccine?
[00:11:18.710 --> 00:11:20.230]  And of course, we've played the clip.
[00:11:21.053 --> 00:11:23.994]  People have put together the supercut.
[00:11:23.994 --> 00:11:25.754]  Even the GOP put together a supercut.
[00:11:25.754 --> 00:11:27.774]  We put our own supercut together.
[00:11:27.774 --> 00:11:29.635]  People run it during ad breaks.
[00:11:29.635 --> 00:11:31.115]  We have it running during our ad breaks.
[00:11:31.115 --> 00:11:37.337]  And it's Kamala Harris and Joe Biden both saying the same thing over and over and over again.
[00:11:37.337 --> 00:11:38.477]  I'm not going to get the vaccine.
[00:11:38.477 --> 00:11:39.517]  I don't trust the vaccine.
[00:11:39.517 --> 00:11:42.358]  I mean, the video's there.
[00:11:42.358 --> 00:11:43.118]  The audio's there.
[00:11:43.118 --> 00:11:43.998]  The clips are there.
[00:11:43.998 --> 00:11:46.659]  And then Snopes just says, nope, they never said it.
[00:11:46.659 --> 00:11:47.839]  It doesn't exist.
[00:11:47.839 --> 00:11:48.639]  It didn't happen.
[00:11:51.630 --> 00:11:53.313]  And again, it's the same thing.
[00:11:53.313 --> 00:11:55.957]  I was alive during the summer of 2020.
[00:11:57.472 --> 00:12:00.214]  I saw the Democrat riots burn down Minneapolis.
[00:12:00.214 --> 00:12:02.875]  I saw the Democrat riots burn down Portland, Oregon.
[00:12:02.875 --> 00:12:06.437]  I saw the Democrat riots destroy Philadelphia, Pennsylvania.
[00:12:06.437 --> 00:12:10.479]  I saw the Democrat riots hospitalize thousands of police officers.
[00:12:10.479 --> 00:12:20.485]  I saw the Democrat riots burn Washington, D.C., burn churches, start fires in Lafayette Square, go building to building, smashing windows and looting.
[00:12:20.485 --> 00:12:21.205]  I saw that.
[00:12:21.205 --> 00:12:21.946]  You saw that.
[00:12:21.946 --> 00:12:23.026]  We all saw that.
[00:12:23.026 --> 00:12:25.628]  But hey, the Democrats have people testifying.
[00:12:26.428 --> 00:12:29.350]  On Capitol Hill today, saying it never happened.
[00:12:29.350 --> 00:12:31.372]  No, it never happened, guys!
[00:12:31.372 --> 00:12:35.315]  No, January 6th is the only riot that's ever happened in the United States of America.
[00:12:35.315 --> 00:12:36.416]  Only riot ever.
[00:12:36.416 --> 00:12:43.461]  In fact, January 6th is the only time humans have ever been violent, ever, in the whole world.
[00:12:43.461 --> 00:12:48.085]  Never in world history have humans ever been violent, except one day.
[00:12:48.085 --> 00:12:53.289]  One fateful day, one dark cloud on the entire existence of humans on planet Earth, and that's January 6th.
[00:12:54.122 --> 00:12:56.203]  There's never been any other riots.
[00:12:56.203 --> 00:12:58.684]  There's never been any other violence.
[00:12:58.684 --> 00:13:00.264]  It's never happened, folks.
[00:13:00.264 --> 00:13:03.245]  It's just never happened.
[00:13:03.245 --> 00:13:04.585]  That's what the American media tells you.
[00:13:04.585 --> 00:13:06.686]  That's what the Democrat Party tells you.
[00:13:06.686 --> 00:13:10.787]  So, I mean, seriously, I can sit here and cover the news all day.
[00:13:10.787 --> 00:13:16.889]  But it's really reaching a point of... You know the truth.
[00:13:16.889 --> 00:13:17.570]  You know the news.
[00:13:17.570 --> 00:13:18.310]  You know what's going on.
[00:13:24.777 --> 00:13:29.081]  So how do you properly respond to this, even?
[00:13:29.081 --> 00:13:34.625]  How do you... How do we move forward with this?
[00:13:34.625 --> 00:13:52.098]  How do we move forward as a country when the American media is completely dishonest, disingenuous, and against us, and an entire political party has committed to fraud and lies and deception and propaganda?
[00:13:53.527 --> 00:13:56.288]  What do you do?
[00:13:56.288 --> 00:14:01.070]  There's no debate.
[00:14:01.070 --> 00:14:02.631]  There's no debate.
[00:14:02.631 --> 00:14:06.392]  You can't debate with these people.
[00:14:06.392 --> 00:14:11.574]  They won't debate, but you can't debate with a liar.
[00:14:11.574 --> 00:14:15.436]  They're still, they have, they have their goons.
[00:14:15.436 --> 00:14:22.619]  The Democrat Party has their goons on Capitol Hill today saying that Officer Brian Sicknick died because he was bashed over the head with a fire extinguisher.
[00:14:23.416 --> 00:14:25.097]  They don't even care it's been debunked!
[00:14:25.097 --> 00:14:27.259]  They don't even care the family came out and said it was a lie!
[00:14:27.259 --> 00:14:33.784]  They don't even care that the hospital records show that Brian Sicknick wasn't even entered into the hospital until days after January 6th!
[00:14:33.784 --> 00:14:40.689]  The truth doesn't matter to these people!
[00:14:40.689 --> 00:14:41.690]  The truth is irrelevant!
[00:14:41.690 --> 00:14:46.813]  Reality is irrelevant!
[00:14:46.813 --> 00:14:52.718]  So, they're lying about COVID, they're lying about the vaccines, they're lying about January 6th, they're lying about the violence.
[00:14:57.643 --> 00:15:08.027]  And again, folks, I could sit here and cover the news, but I'm just at a loss.
[00:15:08.027 --> 00:15:10.768]  And so I'm getting a message from the crew.
[00:15:10.768 --> 00:15:14.570]  Is that next segment, guys?
[00:15:14.570 --> 00:15:19.972]  OK, so we're going to be joined by Alex Jones at eleven thirty.
[00:15:19.972 --> 00:15:26.214]  And maybe I'll ask him the same question, because, look, he puts me in this seat when he leaves town and.
[00:15:29.113 --> 00:15:39.659]  I don't take that lightly, and I want to be the best talk show host when I'm in this chair, but there's just nothing to say about this anymore, folks.
[00:15:39.659 --> 00:15:40.699]  We've said it all.
[00:15:40.699 --> 00:15:42.740]  It's all here.
[00:15:42.740 --> 00:15:45.342]  So, I mean, do we need to have, like, our own hearings?
[00:15:45.342 --> 00:15:49.244]  Do we need to have, like, our own roundtables and our own consortiums to deal with this?
[00:15:49.244 --> 00:15:57.448]  I mean, seriously, how are we, the American people, going to deal with liars and frauds that are totally committed to their propaganda in the face of reality?
[00:16:00.211 --> 00:16:02.293]  Your voice counts.
[00:16:02.293 --> 00:16:07.337]  When you share information, be it over the internet or in person, it changes the world.
[00:16:07.337 --> 00:16:09.940]  The globalists know their agenda is unpopular.
[00:16:09.940 --> 00:16:11.421]  They know you're angry.
[00:16:11.421 --> 00:16:16.846]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[00:16:16.846 --> 00:16:26.054]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and special reports,
[00:16:26.254 --> 00:16:27.554]  And share them with everyone you know.
[00:16:27.554 --> 00:16:31.895]  Take action now by texting the word NEWS to 833-470-0438.
[00:16:31.895 --> 00:16:34.296]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[00:16:34.296 --> 00:16:36.497]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[00:16:36.497 --> 00:16:39.077]  Take action now, create the chain reaction, and tell others to share those texts.
[00:16:39.077 --> 00:16:39.637]  Get news alerts at 833-470-0438.
[00:17:00.598 --> 00:17:05.982]  The globalists are having their revolution, but free humanity has to have its revolution.
[00:17:05.982 --> 00:17:23.336]  We have to first recognize this anti-human takeovers trying to enslave the entire biological processes of humans and turn us into these artificial, corporate, controlled slaves.
[00:17:23.336 --> 00:17:24.157]  Worse than slaves.
[00:17:24.157 --> 00:17:26.959]  It's just property from cradle to grave of the system.
[00:17:28.138 --> 00:17:35.664]  Rendered down to be servile minions of the system in a ritual of dominance and satanic control.
[00:17:35.664 --> 00:17:45.691]  We have to recognize the great reset post-industrial world, which realizes a nightmare dystopia, and we have to promote liberty and freedom that is the opposite of their dystopia.
[00:17:45.691 --> 00:17:49.874]  It's that choice, it's that realization that's going to change the world.
[00:17:49.874 --> 00:17:52.076]  And it's the only choice we've got.
[00:17:52.076 --> 00:17:54.338]  Freedom or slavery, good or evil.
[00:17:54.338 --> 00:17:57.320]  It is a spiritual battle, and M4 is at the tip of the spear fighting it.
[00:17:58.437 --> 00:18:02.120]  As we predicted, the globalists are now launching a new lockdown.
[00:18:02.120 --> 00:18:10.688]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death, and it's caused massive supply chain problems across the western world.
[00:18:11.616 --> 00:18:18.283]  Ladies and gentlemen, now is the time for you to get high-quality, storable food that's ready to ship, while you still can, at 2020 prices.
[00:18:18.283 --> 00:18:21.827]  We have the biggest, best company in the United States as our supplier.
[00:18:21.827 --> 00:18:24.249]  Their entire catalog is at InfoWorksStore.com.
[00:18:24.249 --> 00:18:29.555]  You get an additional 10% off at InfoWorksStore.com, but only for one more week.
[00:18:29.555 --> 00:18:31.497]  They've told us you can extend it one more week, Alex.
[00:18:32.017 --> 00:18:33.038]  But that's it.
[00:18:33.038 --> 00:18:35.440]  They won't do this sale again until November.
[00:18:35.440 --> 00:18:37.641]  And then the food prices go up in 2022.
[00:18:37.641 --> 00:18:39.643]  This is insurance you can eat.
[00:18:39.643 --> 00:18:40.904]  It's the highest quality.
[00:18:40.904 --> 00:18:42.084]  Hundreds of high-quality foods.
[00:18:42.084 --> 00:18:43.786]  Three-month, six-month year supplies.
[00:18:43.786 --> 00:18:50.210]  All ready for you at InfoWarsTore.com or call toll-free, 888-253-3139.
[00:18:50.210 --> 00:18:52.412]  Again, InfoWarsTore.com.
[00:18:52.412 --> 00:18:53.853]  10% off on high-quality, storable food.
[00:18:53.853 --> 00:18:54.653]  Ready to ship.
[00:18:54.653 --> 00:18:56.435]  But it ends in just one week.
[00:18:56.435 --> 00:18:58.116]  So take action now while you still can.
[00:19:01.503 --> 00:19:15.746]  You're listening to The Alex Jones Show.
[00:19:15.746 --> 00:19:24.168]  Discover trends and global developments years before they happen, right here on The Alex Jones Show.
[00:19:44.597 --> 00:19:45.057]  Hello.
[00:19:45.057 --> 00:19:46.058]  Hello.
[00:19:46.058 --> 00:19:48.279]  Have you been vaccinated yet?
[00:19:48.279 --> 00:19:50.340]  I think I'm going to wait a bit longer.
[00:19:50.340 --> 00:19:52.081]  Why do you need to wait?
[00:19:52.081 --> 00:19:53.662]  I'm just not in a rush.
[00:19:53.662 --> 00:19:56.123]  Well, everybody's getting vaccinated.
[00:19:56.123 --> 00:19:57.804]  I've been vaccinated.
[00:19:57.804 --> 00:20:00.185]  Why are you being so selfish?
[00:20:00.185 --> 00:20:01.506]  How am I being selfish?
[00:20:01.506 --> 00:20:05.908]  Because if you get COVID, you could pass it on to me.
[00:20:05.908 --> 00:20:07.349]  But you've been vaccinated.
[00:20:07.349 --> 00:20:10.230]  Yes, yes, but I could still get it.
[00:20:10.230 --> 00:20:12.571]  So if I get vaccinated, I can still get it?
[00:20:12.571 --> 00:20:13.132]  Yeah.
[00:20:13.992 --> 00:20:16.333]  But you should still get the vaccine.
[00:20:16.333 --> 00:20:19.394]  You can catch it off me whether I've been vaccinated or not.
[00:20:19.394 --> 00:20:22.416]  Yes, but you should still get vaccinated.
[00:20:22.416 --> 00:20:22.836]  Why?
[00:20:22.836 --> 00:20:25.317]  Because it's the right thing to do.
[00:20:25.317 --> 00:20:26.277]  Says who?
[00:20:26.277 --> 00:20:27.598]  Says me!
[00:20:27.598 --> 00:20:29.278]  Dr. Fauci!
[00:20:29.278 --> 00:20:32.079]  The guy who created the virus!
[00:20:32.079 --> 00:20:32.940]  Roll up that sleeve!
[00:20:41.485 --> 00:20:45.386]  That's a very loving portrayal of Anthony Fauci, I would say.
[00:20:45.386 --> 00:20:49.007]  I think that's maybe even too nice.
[00:20:49.007 --> 00:20:53.389]  By the way, I've got another clip of Fauci, just, you know, him arguing with himself over masks.
[00:20:53.389 --> 00:20:55.109]  We'll play that coming up.
[00:20:55.109 --> 00:20:58.130]  Alex Jones joins us, as usual.
[00:20:58.130 --> 00:21:01.151]  Can't get away from this on vacation, but I'm glad you do, Alex, because look,
[00:21:02.040 --> 00:21:03.001]  I got all this news.
[00:21:03.001 --> 00:21:04.181]  I can sit here and cover it.
[00:21:04.181 --> 00:21:06.123]  We told you they were going to bring back the masks.
[00:21:06.123 --> 00:21:08.724]  We told you they were going to bring back the lockdowns.
[00:21:08.724 --> 00:21:13.407]  The most vaccinated country on earth is Israel, and now they've issued a travel warning from Israel.
[00:21:13.407 --> 00:21:15.228]  Meanwhile, those southern borders are wide open, though.
[00:21:15.228 --> 00:21:16.389]  Hey, don't worry.
[00:21:16.389 --> 00:21:19.871]  If you want to come in from Israel, just come in over the southern border and you'll be fine.
[00:21:19.871 --> 00:21:23.953]  But Alex, we've really reached a critical mass at this point.
[00:21:23.953 --> 00:21:25.174]  How do you even address
[00:21:25.974 --> 00:21:32.498]  Such bold-faced lies that the American media and the Democrat Party are telling us non-stop around the clock.
[00:21:32.498 --> 00:21:35.260]  It's just all day long, everything they say is a lie.
[00:21:35.260 --> 00:21:37.121]  And it's not even, I mean, it's not even close!
[00:21:37.121 --> 00:21:39.762]  It's just obvious!
[00:21:39.762 --> 00:21:52.270]  Well, Owen, first off, we have to realize that this is all a giant experiment, and that the globalists are behavioral psychologists, and that their whole form of warfare isn't about physical conquering right up front.
[00:21:52.270 --> 00:21:54.151]  They then do physically conquer you.
[00:21:54.924 --> 00:22:02.211]  And they're bringing in this medical tyranny as a new religion because they understand religions are a good way to control people.
[00:22:02.211 --> 00:22:10.178]  That's why they're getting rid of the Christian religion because that is a religion that is against the globalist anti-human system.
[00:22:11.403 --> 00:22:12.303]  That they are setting it up.
[00:22:12.303 --> 00:22:24.429]  You made great points yesterday when you were a co-host of the show here, when you talked about how they use the Black Lives Matter and the Antifa to attack American culture, how they use the lockdowns to shut down the middle class and small businesses.
[00:22:24.429 --> 00:22:25.969]  All of this has been war-gamed out.
[00:22:25.969 --> 00:22:28.170]  All of this is in government documents.
[00:22:28.170 --> 00:22:32.372]  It's in Carnegie and Ford and Rockefeller documents.
[00:22:32.372 --> 00:22:37.274]  The feminization of men, everything you witness is according to a plan.
[00:22:37.274 --> 00:22:39.595]  And I myself get frustrated because there's a paradox.
[00:22:40.908 --> 00:22:41.788]  There's a catch-22.
[00:22:41.788 --> 00:22:48.631]  If we spend all our time just covering what they're doing and the current lies, the new lies for old, we get caught up in that.
[00:22:48.631 --> 00:22:49.711]  It's still interesting.
[00:22:49.711 --> 00:22:50.372]  It's informative.
[00:22:50.372 --> 00:22:51.832]  It's good to know they're liars.
[00:22:51.832 --> 00:22:57.114]  It's good to know that some people still believe these lies because they pretend to be part of the system.
[00:22:57.114 --> 00:23:09.939]  But it's more important, I think, to just talk about who the globalists are and what their real goal is and what they really do during their day and where they're taking our planet and how they're currently in control instead of constantly responding
[00:23:11.508 --> 00:23:13.749]  To the things they throw at us to keep us off balance.
[00:23:13.749 --> 00:23:17.411]  And I myself, of course, try to have that balance.
[00:23:17.411 --> 00:23:19.512]  And life is about a balance.
[00:23:19.512 --> 00:23:20.713]  A lot of times I'm out of balance.
[00:23:20.713 --> 00:23:22.894]  So I'm certainly not preaching at anybody.
[00:23:22.894 --> 00:23:25.295]  But here's what's really going on.
[00:23:25.295 --> 00:23:29.938]  And there's an article that's really finally broken through.
[00:23:29.938 --> 00:23:31.239]  Tomorrow's News Today.
[00:23:31.239 --> 00:23:36.301]  We first reported on this 20 years ago.
[00:23:36.301 --> 00:23:39.103]  And then it hit the major German news two years ago.
[00:23:39.961 --> 00:23:43.543]  And a lot of people got killed, a lot of people got murdered for the truth to come out.
[00:23:43.543 --> 00:23:52.327]  That part was not in DW.com, the largest TV station network in Germany, in Deutschland.
[00:23:52.327 --> 00:23:57.289]  But now it's hit our news, and it's in the New Yorker magazine.
