[00:00:10.659 --> 00:00:12.208]  Hi, Steve Adler.
[00:15:50.451 --> 00:15:52.753]  Chinese troops secretly being brought into Canada.
[00:15:52.753 --> 00:15:54.033]  Those documents.
[00:15:54.033 --> 00:15:55.014]  Ezra Levinsky to join us.
[00:15:55.014 --> 00:15:56.594]  Dr. Steve Pachetnik and so much more.
[00:15:56.594 --> 00:16:00.596]  The globalists are taking control of the entire human genome.
[00:16:00.596 --> 00:16:03.157]  They are forcing mutations.
[00:16:03.157 --> 00:16:06.119]  This is forced evolution, or de-evolution.
[00:16:06.759 --> 00:16:15.284]  When you look at all the major research, all the major progress they're carrying out, they are not to produce people that are smarter, or folks that live longer, or more moral.
[00:16:15.284 --> 00:16:15.925]  No.
[00:16:15.925 --> 00:16:18.446]  It's turning humanity into a commodity.
[00:16:18.446 --> 00:16:26.011]  Now we see some propaganda, like communist China bragging, Hey, we've done mRNA vaccines to make our soldiers supermen.
[00:16:26.011 --> 00:16:29.393]  That's a way to make it sexy that, hey, we're experimenting on our troops.
[00:16:29.973 --> 00:16:36.397]  Well, the same things would happen to our troops if thousands and thousands died each time they tried a new experimental vaccine.
[00:16:36.397 --> 00:16:40.960]  And I've talked to high-level folks inside the federal government and the State of Texas Health Department.
[00:16:40.960 --> 00:16:44.562]  They say, Alex, we know it hurts a lot of people, but it's for a greater good.
[00:16:44.562 --> 00:16:45.663]  But that's not even true.
[00:16:45.663 --> 00:16:50.105]  And it violates the Geneva Convention, the Nuremberg Code, and federal and state law.
[00:16:50.105 --> 00:16:55.489]  This is violence being carried out against us by the military, and we have a right to resist it with any means necessary.
[00:16:56.664 --> 00:17:03.287]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[00:17:03.287 --> 00:17:06.728]  As you age, your body can lose testosterone over time.
[00:17:06.728 --> 00:17:15.632]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:17:15.632 --> 00:17:23.735]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:17:24.395 --> 00:17:29.837]  Perfect by itself or with super male vitality in the true alpha male path.
[00:17:29.837 --> 00:17:37.060]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:17:37.060 --> 00:17:40.741]  Let Alpha Power help bring you to the peak of your optimal health.
[00:17:40.741 --> 00:17:43.782]  Don't fall short on energy in the fight against tyranny.
[00:17:43.782 --> 00:17:47.844]  Show the world what a true alpha male looks like today with Alpha Power.
[00:17:47.844 --> 00:17:50.325]  Head to InfoWarsStore.com today.
[00:17:59.640 --> 00:18:02.265]  You're listening to The Alex Jones Show!
[00:18:23.977 --> 00:18:28.258]  Laying siege to the globalists, exposing their plans.
[00:18:28.258 --> 00:18:33.760]  We are the dreaded enemy of the New World Order, Satan and his minions.
[00:18:33.760 --> 00:18:40.662]  We carry the blessing of God's providence with us and we're very thankful for it.
[00:18:40.662 --> 00:18:42.442]  We are the Infowar.
[00:18:42.442 --> 00:18:48.124]  Thank you so much for joining us on this live Thursday broadcast, December 10th, 2020.
[00:18:50.930 --> 00:18:57.935]  Now next segment, I'm going to show you how the globalists soft kill you and your family.
[00:18:57.935 --> 00:19:04.139]  And this information is the most life-saving, powerful info there is on the planet.
[00:19:04.139 --> 00:19:06.181]  And it's all hiding in plain view.
[00:19:06.181 --> 00:19:11.805]  They get you afraid of something that isn't scary at all if you have the proper nutrition.
[00:19:11.805 --> 00:19:15.347]  While right around you, they're killing everybody you know.
[00:19:15.347 --> 00:19:16.849]  And just normalizing it because you're tough.
[00:19:17.779 --> 00:19:19.419]  When you see everybody else being tough, you're tough.
[00:19:19.419 --> 00:19:21.520]  When you see everybody freaking out, you freak out.
[00:19:21.520 --> 00:19:32.922]  Because in our entire development as humans, normally when the rest of the pack sees a threat from a grizzly bear or a saber-toothed tiger or other humans or a wildfire, somebody runs up and says, hey, a big fire's coming, we gotta go.
[00:19:32.922 --> 00:19:36.043]  Well, that's your cousin, that's your brother, you believe it.
[00:19:36.043 --> 00:19:40.764]  But what happens when people in suits and ties lie to you?
[00:19:40.764 --> 00:19:44.025]  What happens when they break the social contract and engage in fraud?
[00:19:44.025 --> 00:19:44.645]  It's called tyranny.
[00:19:45.663 --> 00:19:48.404]  So next segment, the biggest vaccine news ever.
[00:19:48.404 --> 00:19:54.006]  Of course, the fact that Swallow's Well was penetrated by a Chinese communist sex op.
[00:19:54.006 --> 00:19:56.908]  Of course, I've called Swallow's Well a Chai Com agent.
[00:19:56.908 --> 00:20:00.349]  The entire California group has been completely taken over.
[00:20:00.349 --> 00:20:03.830]  Feinstein, Barbara Boxer was run by it.
[00:20:03.830 --> 00:20:05.051]  The governor's run by it.
[00:20:05.051 --> 00:20:07.352]  I mean, they are Chai Com agents.
[00:20:08.354 --> 00:20:09.794]  One hundred and ten percent.
[00:20:09.794 --> 00:20:13.475]  You make bang bang with Fang Fang.
[00:20:13.475 --> 00:20:14.576]  Me give you money.
[00:20:14.576 --> 00:20:18.837]  Me love you long time.
[00:20:18.837 --> 00:20:20.757]  Swallow's Well.
[00:20:20.757 --> 00:20:22.118]  Swallow's Well likes girls.
[00:20:22.118 --> 00:20:24.879]  That's a little surprising there.
[00:20:24.879 --> 00:20:29.260]  And of course, what's coming out with Hunter and all the rest of it.
[00:20:29.260 --> 00:20:31.440]  But let's get into this.
[00:20:31.440 --> 00:20:33.021]  Let's get into this right now.
[00:20:33.021 --> 00:20:37.402]  Again, the media won't talk about the Texas suit and the 18 states that joined Texas as of this morning.
[00:20:38.612 --> 00:20:43.237]  I think a minute ago they told me another state joined it, maybe it's 20 states now.
[00:20:43.237 --> 00:20:53.788]  But it's strong because states have a higher level of standing than just an individual because they represent a large number of individuals.
[00:20:53.788 --> 00:20:59.553]  And then the Constitution and Federalist Compact, they have basically equal standing with the federal government.
[00:21:02.093 --> 00:21:03.854]  This is a big deal.
[00:21:03.854 --> 00:21:07.517]  And the suit's very well written by Ken Paxton, who's been on the show and who's a listener.
[00:21:07.517 --> 00:21:08.277]  Proud of him.
[00:21:08.277 --> 00:21:11.700]  He's been under a major attack because he has taken action.
[00:21:11.700 --> 00:21:22.947]  That's why they've had a bunch of turncoats in his office claim he's been paid off or, you know, took money or something because they really, you know, look for Paxton, you know, to die in a car wreck or, you know, his plane go down.
[00:21:22.947 --> 00:21:24.028]  And I'm not saying that's going to happen.
[00:21:24.028 --> 00:21:25.649]  I'm just saying don't be surprised.
[00:21:25.649 --> 00:21:26.750]  We're in a war, folks.
[00:21:27.981 --> 00:21:29.503]  So pray for Paxton.
[00:21:29.503 --> 00:21:33.747]  I'm just proud of Texas again, once again trying to save the Republic.
[00:21:33.747 --> 00:21:36.030]  This is one hell of a time to be alive.
[00:21:36.030 --> 00:21:37.111]  And what are they going to do?
[00:21:37.111 --> 00:21:39.694]  The Supreme Court may betray America.
[00:21:39.694 --> 00:21:49.265]  But if we pray and we protest and we take action and we put out millions on the streets so they see politically there's pressure to do the right thing, we can give them the courage they need.
[00:21:51.274 --> 00:22:02.660]  To flat out throw out all the delegates of those states that went to Joe Biden through fraud and then Trump wins in a landslide.
[00:22:02.660 --> 00:22:04.101]  And that's what happens.
[00:22:04.101 --> 00:22:09.104]  And Trump has even said he would go with a new election in those states.
[00:22:09.104 --> 00:22:11.826]  Absolutely.
[00:22:11.826 --> 00:22:12.366]  Absolutely.
[00:22:14.105 --> 00:22:16.646]  And, you know, Trump said he would have the military oversee that.
[00:22:16.646 --> 00:22:18.347]  And some have said, oh, martial law.
[00:22:18.347 --> 00:22:24.031]  No, Trump knows that people trust the military more than the general public and more than the government.
[00:22:24.031 --> 00:22:27.332]  And I really wouldn't because they're commanded by some bad people in many cases.
[00:22:27.332 --> 00:22:29.594]  But still, rank and file, yes.
[00:22:29.594 --> 00:22:31.135]  I don't think they're going to be engaged in election fraud.
[00:22:31.135 --> 00:22:36.177]  It'll be a third party, just like for fires or earthquakes or, you know, wherever we call the military in.
[00:22:38.364 --> 00:22:45.286]  It's a whole other question, but the point is, is that we are in a crisis.
[00:22:45.286 --> 00:22:47.707]  And we've been overrun by globalists.
[00:22:47.707 --> 00:22:50.368]  It's time to overturn what they've done.
[00:22:50.368 --> 00:22:54.489]  And the blue states have already implemented martial law.
[00:22:54.489 --> 00:22:57.750]  And so how do you overthrow a martial law?
[00:22:57.750 --> 00:23:04.732]  Well, you do it with the Declaration of Independence, which then means a declaration of war, which by its very nature is martial.
[00:23:04.732 --> 00:23:06.773]  Martial coming from military.
[00:23:07.529 --> 00:23:09.870]  And so nobody likes a military conflict.
[00:23:09.870 --> 00:23:11.491]  I know President Trump doesn't.
[00:23:11.491 --> 00:23:29.702]  I certainly don't want a military conflict, but if the globalists just run the media and run everything and engage in this fraud and say they're taking over and say they're just going to bankrupt the country no matter what we do, and they are threatening myself and the Trumps and millions of others, poll watchers, the list goes on and on, then at what point do we push back?
[00:23:30.794 --> 00:23:33.195]  Well, we don't want citizens to randomly go do it.
[00:23:33.195 --> 00:23:36.216]  So who would call out the militia under the Constitution?
[00:23:36.216 --> 00:23:42.798]  When many of the civilian governments have been compromised by the Communist Chinese, as you now see all over the news.
[00:23:42.798 --> 00:23:45.419]  Well, how would George Washington counter that?
[00:23:45.419 --> 00:23:47.400]  How would Abraham Lincoln counter that?
[00:23:47.400 --> 00:23:53.722]  How would President Jackson handle it?
[00:23:53.722 --> 00:23:57.063]  President Jackson was the most famous and respected southerner of his day.
[00:23:58.109 --> 00:24:17.925]  And when the South tried to have its first civil war over the North, screwing them over on tariffs, and trying to ship their tobacco and cotton and stuff out to Europe, he said, I will lead an army of 100,000 men to the South, and I will crush you if you want your rebellion to split this country.
[00:24:17.925 --> 00:24:20.066]  He said, the damn British are behind this.
[00:24:20.066 --> 00:24:21.247]  And they were.
[00:24:21.247 --> 00:24:24.530]  Now, after his death later, they were able to launch a civil war.
[00:24:24.530 --> 00:24:25.411]  And both sides were wrong.
[00:24:26.360 --> 00:24:32.804]  But that was him threatening martial law to stop an outside power breaking up the country.
[00:24:32.804 --> 00:24:35.625]  This is real history.
[00:24:35.625 --> 00:24:39.647]  Not the fanciful stuff that people act like they know, but the reality.
[00:24:39.647 --> 00:24:42.569]  So I'm telling you, Trump doesn't have control of the military.
[00:24:42.569 --> 00:24:44.710]  He doesn't have the real military power to do that.
[00:24:44.710 --> 00:24:46.591]  The public's too ignorant to understand it.
[00:24:46.591 --> 00:24:54.215]  The media's already pre-programmed him that, oh, you know, Trump tries to come in and take out some of these Democrat globalists, you know, that they'll call him a dictator.
