[00:00.000 --> 00:15.000]  From the front lines of the Information War, it's Alex Jones.
[08:48.000 --> 08:53.000]  And the fact that they can't get so far federal grand juries to frame me is a good thing.
[08:53.000 --> 08:57.000]  Because we're extremely clean around here and we're not committing any crimes.
[08:57.000 --> 09:04.000]  But you've seen the fraud in the media that I have $18 million, $16 million hidden in a slush fund.
[09:04.000 --> 09:08.000]  And I've got 400 lawsuits against me and the National News said none of that's true.
[09:08.000 --> 09:12.000]  Just total ball face lies at the next level.
[09:12.000 --> 09:18.000]  And that's because they've weaponized the judiciary and the executive and not just the executive branch,
[09:18.000 --> 09:25.000]  but the blue cities are operating as their own little globalist terrorist networks
[09:25.000 --> 09:30.000]  to harass anybody that stands up for the country or for humanity or for common sense.
[09:30.000 --> 09:33.000]  But authoritarians will lose. They always lose.
[09:33.000 --> 09:37.000]  And so I'm glad that when the history books are written, if we survive this,
[09:37.000 --> 09:42.000]  that my name will not be amongst the timid who cowered in their holes,
[09:42.000 --> 09:50.000]  but who was on the very front lines, the very vanguard, the very tip of the spear in the fight.
[09:50.000 --> 09:53.000]  Not because I wanted to fight, not because I wanted to be a hero,
[09:53.000 --> 10:01.000]  but because I can't take authoritarian tyrants enslaving us and turning us into their minions.
[10:01.000 --> 10:06.000]  I will either die on my feet, I'm not going to live on my knees as a slave,
[10:06.000 --> 10:08.000]  and that's really what it comes down to.
[10:08.000 --> 10:12.000]  And you've got to decide whether you want to live on your feet or die on your knees,
[10:12.000 --> 10:14.000]  because you're going to die on your knees anyways.
[10:14.000 --> 10:17.000]  So might as well die on your feet.
[10:17.000 --> 10:19.000]  If you get on your knees, they're going to get you.
[10:19.000 --> 10:21.000]  In fact, you're going to lose more freedom.
[10:21.000 --> 10:23.000]  It's more dangerous to live on your knees,
[10:23.000 --> 10:26.000]  because those that live on their knees are slaves and abused and die.
[10:26.000 --> 10:31.000]  Men and free people and prosperity are by folks standing up for what's right.
[10:31.000 --> 10:36.000]  And we have to start doing that again, so I salute Elon Musk.
[10:36.000 --> 10:38.000]  We'll get to more of that next segment.
[10:38.000 --> 10:44.000]  I want to air a short report on CNN's treason and then come back and get into Musk.
[10:44.000 --> 10:48.000]  We have huge news with the sinking of the Russian battleship in the Black Sea,
[10:48.000 --> 10:52.000]  the battleship Moscow, reportedly with nuclear weapons on board.
[10:52.000 --> 10:54.000]  That is where you keep them.
[10:54.000 --> 10:56.000]  That's a big deal.
[10:56.000 --> 11:00.000]  World Health Organization Chief Tedros says Ukraine panic is racist.
[11:00.000 --> 11:02.000]  Some are more equal than others.
[11:02.000 --> 11:03.000]  We'll lay that out.
[11:03.000 --> 11:05.000]  Huge COVID-19 tyranny news.
[11:05.000 --> 11:08.000]  The Pills Court reinstates Biden's vaccine mandate for federal employees.
[11:08.000 --> 11:12.000]  Main Street News reports on all the big heart attacks of microcarditis and sports figures.
[11:12.000 --> 11:14.000]  Up thousands of percent.
[11:14.000 --> 11:16.000]  We've got a lot of fake climate change news.
[11:16.000 --> 11:20.000]  Ed Buck sentenced to 30 years for torturing Black men to death and satanic ceremonies.
[11:20.000 --> 11:22.000]  He has a Democrat after all, and so much more.
[11:22.000 --> 11:25.000]  But first, here's a very important John Bowne report.
[11:25.000 --> 11:34.000]  For the last two years, Title 42 has allowed U.S. immigration agents to swiftly expel
[11:34.000 --> 11:42.000]  more than 1.7 million migrants to Mexico, including everyone here and this woman from Guatemala.
[11:42.000 --> 11:47.000]  She asked us to call her Sandy and not show her face because she's fleeing violence
[11:47.000 --> 11:50.000]  after two members of her family were killed.
[11:50.000 --> 11:55.000]  Do you want to know a true barometer of America's disdain for the invasion of our southern border?
[11:55.000 --> 12:02.000]  Look no further than the massive failure of the Biden administration's cheerleading squad, CNN.
[12:02.000 --> 12:05.000]  The most treasonous name in news.
[12:05.000 --> 12:08.000]  CNN is an icon of the cable and satellite age.
[12:08.000 --> 12:15.000]  CNN's abysmal failure projected a billion-dollar streaming service that would rival all others.
[12:15.000 --> 12:21.000]  It was expected to bring in a few million viewers an hour to begin with, but only managed to rake in
[12:21.000 --> 12:29.000]  10,000 gullible minions per day, which is likely more like a few hundred after CNN's 4,000 employees
[12:29.000 --> 12:32.000]  and their families dutifully tune in.
[12:32.000 --> 12:34.000]  Now, what about the competitive marketplace, Andrew?
[12:34.000 --> 12:38.000]  Fox News has Fox Nation, which is a lot of entertainment programming on streaming.
[12:38.000 --> 12:42.000]  NBC, ABC, CBS, they all have these free ad-supported streaming services.
[12:42.000 --> 12:44.000]  So we're doing something different, but why?
[12:44.000 --> 12:48.000]  Well, we see a really unique opportunity for us because of what CNN is.
[12:48.000 --> 12:50.000]  So let's start there.
[12:50.000 --> 12:53.000]  CNN is a brand that's known around the world.
[12:53.000 --> 12:57.000]  Aside from the BBC, there really is no other global news organization like CNN.
[12:57.000 --> 13:00.000]  So we see a really substantial market opportunity.
[13:00.000 --> 13:05.000]  If we look at the assets CNN has, global reporting resources, expertise in video,
[13:05.000 --> 13:09.000]  world-class talent and anchors, we see a different opportunity.
[13:09.000 --> 13:15.000]  This catastrophe is more of a measuring of the mind of America than any poll could ever muster.
[13:15.000 --> 13:22.000]  You can't lie to people day after day, get caught week after week, play down a child sex trafficking scandal
[13:22.000 --> 13:27.000]  amongst your employees and expect to rock it in the ratings as the news organization.
[13:27.000 --> 13:34.000]  All the hubris of Chris Wallace and the buffoonery of Brian Stelter can't put Humpty Zucker back together again.
[13:34.000 --> 13:41.000]  So even for anyone on the left with a lick of scents, the blindfold of propaganda is slipping off of the stark reality
[13:41.000 --> 13:47.000]  of the massive, unrelenting national security threat pummeling the United States' southern border every day.
[13:47.000 --> 13:53.000]  A wide open border surging into the United States with the cartel's deadly fentanyl poison.
[13:53.000 --> 14:01.000]  The DEA reported overdose deaths in the U.S. had topped 100,000 for the first time over a 12-month period ending last spring.
[14:01.000 --> 14:08.000]  Last year, fatal overdoses rose by more than 40% across both D.C. and Virginia.
[14:08.000 --> 14:14.000]  In the district, this overdose problem is disproportionately impacting black residents and communities
[14:14.000 --> 14:23.000]  who make up almost 85% of all fatal drug overdoses since 2015, according to the D.C. medical examiner's office.
[14:23.000 --> 14:27.000]  To make matters in Biden's hellscape worse, we cut down all our farms.
[14:27.000 --> 14:30.000]  We're doing fine, guess what? We're part of the reason for the global warming.
[14:30.000 --> 14:36.000]  Texas Governor Greg Abbott is relocating busloads of thousands of undocumented immigrants
[14:36.000 --> 14:42.000]  with zero understanding of our nation's laws and its deadly vices into the district of criminal streets.
[14:42.000 --> 14:50.000]  We implemented what we call enhanced safety inspections of every commercial vehicle coming across the border.
[14:50.000 --> 15:00.000]  It's snarled traffic for miles into Mexico, basically crashing economic conditions in these states as well as in the country of Mexico.
[15:00.000 --> 15:08.000]  And as they beg for relief, we are demanding that they implement security measures that will reduce illegal immigration coming across the border.
[15:08.000 --> 15:13.000]  Have you ever been to Washington lately? They are giving Los Angeles a run at the most homeless.
[15:13.000 --> 15:18.000]  So you have these encampments, which are many cities there. What's going to happen to these people?
[15:18.000 --> 15:22.000]  Well, these are all migrants who have been processed by CBP and are free to travel.
[15:22.000 --> 15:29.000]  So it's nice. The state of Texas is helping them get to their final destination as they await in their outcome of their immigration proceedings.
[15:29.000 --> 15:31.000]  And they're all in immigration proceedings.
[15:31.000 --> 15:36.000]  This is political suicide. What they're doing right now, it's so visible to the public.
[15:36.000 --> 15:40.000]  It doesn't matter what demographic you're a part of, you despise this and you will vote against it.
[15:40.000 --> 15:51.000]  If there are any lawmakers listening, don't stop with Washington, DC. Deliver these hordes to the front steps of CNN, MSNBC and the Mockingbird Media's headquarters.
[15:51.000 --> 16:11.000]  They will welcome them with open arms, I guarantee it. John Bound reporting.
[16:21.000 --> 16:28.000]  Shirts that cost us $15, $20, $25 to produce. We used to sell for $40. We're selling them for $15, selling them for $20.
[16:28.000 --> 16:33.000]  Whatever the shirt costs us, if a shirt costs $5, we're selling it for $5 for us to actually produce.
[16:33.000 --> 16:39.000]  They cost $10 or selling it for $10. And we've got hoodies and we've got long sleeves and we've got short sleeves.
[16:39.000 --> 16:46.000]  We've got them all and we've got to liquidate them all. And they're limited edition because we're never going to make any of these designs again.
[16:46.000 --> 16:51.000]  We are going to come out with some new designs that will be limited and limited edition in the future.
[16:51.000 --> 16:56.000]  We've got to sell this to keep M4 Wars on the air, plus it spreads the word, infowarstore.com.
[16:56.000 --> 17:17.000]  Here is historic apparel now, infowarstore.com.
[17:26.000 --> 17:36.000]  It's a catch-22.
[17:36.000 --> 17:42.000]  M4 Wars and Band-Ought Video have become a mothership promoting the pro-human-liberty movement worldwide.
[17:42.000 --> 17:49.000]  But the expenses in bandwidth alone are millions of dollars a quarter, hundreds and hundreds of thousands of dollars a month.
[17:49.000 --> 17:59.000]  So, the biggest sale in M4 Wars history is going right now, the mega-emergency blowout sale up to 75% off, getting incredible products and keep M4 Wars as strong as ever.
[18:19.000 --> 18:25.000]  The criminal activity they're involved in, it is more important than ever, to take the tools God gave us and supercharge our immune systems.
[18:25.000 --> 18:35.000]  M4 Wars life immune support is a game changer and everyone out there that wants to be healthy and wants to boost your natural defenses should get it today.
[18:35.000 --> 18:44.000]  Out of the gates is 25% off at infowarstore.com, got a lot of other great products to boost your immune system as well, but this one is the very strongest we've got.
[18:44.000 --> 18:50.000]  So, anybody out there that cares about their health and wants to take care of themselves needs to get this product.
[18:50.000 --> 18:54.000]  It's also a great gift for friends and family to boost their immune system as well.
[18:54.000 --> 18:58.000]  Get yours today at infowarstore.com for 25% off.
[18:58.000 --> 19:15.000]  Granny Do Right, Granny Do Right, thanks for holding her on the air, go ahead.
[19:29.000 --> 19:37.000]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do because I just thought it was a hopeless situation.
[19:37.000 --> 19:52.000]  But when I started taking it, I mean, it doesn't happen immediately, but you know, over a period of time, I started noticing, okay, you know, this is a ticket, this is working, this is wonderful, you know, I don't have to put on derma blend anymore, you know.
[19:52.000 --> 19:58.000]  So anyway, it works wonderfully and it really has totally cleared up my skin.
[19:58.000 --> 20:25.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[20:25.000 --> 20:31.000]  I want everybody to listen to me very, very carefully.
[20:31.000 --> 20:49.000]  Everything the New World Order does the powerful central banks with generations and generations of inbred families that are lazy and stupid, who basically inherited their power from their evil conniving but intelligent and hardworking ancestors.
[20:49.000 --> 20:55.000]  Everything they're doing is falling apart, but that makes them only that much more dangerous.
[20:55.000 --> 21:20.000]  I could have told the owners of CNN AT&T that $300, $400 million invested in a CNN subscriber system would fall flat on its face. And I would have guessed that maybe they'd get 10,000 subscribers, 20,000 subscribers.
[21:20.000 --> 21:28.000]  And that's what they've got. They've got 20,000 subscribers and 10,000 people that tune in on a regular basis.
[21:28.000 --> 21:39.000]  Now, why am I harping on this? They have almost 5,000 employees. So for every employee, they have a couple of listeners or viewers.
[21:39.000 --> 21:49.000]  Now, why are they the self-appointed fact checkers? Why are they the self-appointed censors? Because that's what they are, is a ministry of truth, a ministry of propaganda.
[21:49.000 --> 22:03.000]  And their only use now for the establishment is going around and being self-appointed tyrants that when they demand somebody is removed from the platform, they are.
[22:03.000 --> 22:12.000]  They are the most pathetic, ridiculous people you can imagine. What do you think of Chris Wallace? Already had the lowest ratings on Fox.
[22:12.000 --> 22:24.000]  There'd be 4 million viewers before him and 5 million after. There'd be 2 million when he was on. No one wanted to watch him. He was just on in the background.
[22:24.000 --> 22:38.000]  But he arrogantly thought he could go to CNN and on a subscription service have millions of viewers.
[22:38.000 --> 22:48.000]  Joe Rogan has gotten a million subscribers in a year at Spotify. That's 10 times more than anybody else over there.
[22:48.000 --> 22:58.000]  And he still wants a number a lot higher than that. It's hard to get subscribers in a modern age. They have less than 20,000.
[22:58.000 --> 23:05.000]  And no matter how much they advertise or give out free goodies and incentivize, no one's going to want to watch it.
[23:05.000 --> 23:12.000]  So now they're talking about giving the plan away free when you get an AT&T phone. Just like they used to give you HBO when you did.
[23:12.000 --> 23:18.000]  But people really want HBO. It's got some original pretty good shows people want to watch. Even though it's a bunch of leftist crap.
[23:18.000 --> 23:24.000]  So I got all this important news and sinking Russian battleships they think have nukes on board and all this crazy stuff.
[23:24.000 --> 23:38.000]  But it's a lot bigger than just CNN. It's the arrogance of the establishment thinking they can force feed us CNN.
[23:38.000 --> 23:44.000]  And that somehow we will finally go back to being under their control.
[23:44.000 --> 23:55.000]  Once the genie's out of the bottle, once the spell is broken, there's no going back.
[23:55.000 --> 23:59.000]  And the spell has been broken. And so that's what the establishment needs to know.
[23:59.000 --> 24:05.000]  And I could use the CNN example all day, but there's many other examples.
[24:05.000 --> 24:13.000]  Now the power structure thought they just set up lockdowns worldwide, have a post-industrial world and just inject us every few months forever until we all died.
[24:13.000 --> 24:17.000]  But even in China they're rioting and burning down areas and then they're having to back off.
[24:17.000 --> 24:29.000]  Australia, New Zealand, the US, Canada, Europe, they're going to have forced inoculations in Italy and in Austria, but people stood up and now they're backing off.
[24:29.000 --> 24:37.000]  The New World Order is not going so well.
[24:37.000 --> 24:49.000]  And you'd think that more people would be like Elon Musk or Joe Rogan.
[24:49.000 --> 24:58.000]  Because Joe Rogan's a smart guy and knows all the stuff I know, but chose just to not try to be a leader because he was busy and really didn't have a lot of faith in the general public to ever wake up.
[24:58.000 --> 25:06.000]  But once they messed with him and pushed him around and tried to make him their slave, well then they got the response they didn't want.
[25:06.000 --> 25:11.000]  Now Joe's completely in their face on their ass constantly and they're scared.
[25:11.000 --> 25:19.000]  And Elon Musk has gone from doing things that make you ask if he's a good guy or a bad guy to saying we need to have more children and not depopulate.
[25:19.000 --> 25:26.000]  We need a pro-human future. Don't take the vaccine. It doesn't work. It's dangerous.
[25:26.000 --> 25:31.000]  We need to stop censorship and a bunch of other really, really good things.
[25:31.000 --> 25:39.000]  And whether he's an opportunist or not, he knows which way the wind's blowing.
[25:39.000 --> 25:48.000]  And so that's when I want all of our affiliates to know and all of our listeners to know and our viewers and everybody that you did this.
[25:48.000 --> 26:02.000]  If you have to look around the world from Bolsonaro or from Nigel Farage or from Viktor Orban or even the Russian nationalism of Alexander Dugan,
[26:02.000 --> 26:07.000]  all of those people admit that they have been influenced by Info Wars massively.
[26:07.000 --> 26:10.000]  They will tell you it's one of the main influences.
[26:10.000 --> 26:12.000]  Tucker Carlson's told me that face to face.
[26:12.000 --> 26:18.000]  Bolsonaro's son, also in the Parliament of Congress, told me face to face.
[26:18.000 --> 26:20.000]  And I already knew that. Nigel Farage had said it on the show.
[26:20.000 --> 26:25.000]  UKIP didn't explode until they started coming on the broadcast 20 years ago with myself and Paul Watson.
[26:25.000 --> 26:30.000]  And then suddenly people opened the doors and they came to the door and they said, I've seen you on Alex Jones.
[26:30.000 --> 26:33.000]  Because once upon a time before they censored us and shut us down in most areas,
[26:33.000 --> 26:40.000]  we were rated the top 100 websites in the UK and the top 100 here.
[26:40.000 --> 26:45.000]  So it isn't about, oh, look how special we are, how great we are.
[26:45.000 --> 26:52.000]  But historically we need to recognize what you, the listeners and viewers and our sponsors and our affiliates and this crew did.
[26:52.000 --> 27:00.000]  We were the detonator and we were the first to expose their new World Order plan on a mass scale before they launched it.
[27:00.000 --> 27:07.000]  Now they've launched it and people aren't being caught as flat-footed and people now understand who is doing all this and who's cutting their energy off.
[27:07.000 --> 27:19.000]  And when in national polls people blame Putin for the gas prices, 94% say no, we know it's greenhouse gas, go green, build back better,
[27:19.000 --> 27:26.000]  Klaus Schwab, W-E-F. They've got big polls that are people list what they think it is and they know.
[27:26.000 --> 27:32.000]  94% of people don't buy that it's Putin's fault even though he gave speeches again yesterday saying it was.
[27:32.000 --> 27:38.000]  And it's not about protecting Putin, it's about protecting the truth.
[27:38.000 --> 27:43.000]  94% of people know the new World Order is screwing them, not Putin.
[27:43.000 --> 27:47.000]  In national polls, covered it yesterday, some are even higher.
[27:47.000 --> 27:51.000]  No one is buying it anymore.
[27:51.000 --> 27:58.000]  They have censored, they have persecuted people, they have indicted countless patriots, they have put us through hell.
[27:58.000 --> 28:09.000]  But despite that, by the grace of God Almighty, we together aren't just giving them a run for their money, we are kicking their ass intellectually and culturally.
[28:09.000 --> 28:12.000]  But here's the problem when we come back.
[28:12.000 --> 28:17.000]  The globalists control the economy and out of sheer spite and hate, they don't care they're getting caught.
[28:17.000 --> 28:26.000]  They are destroying it worldwide, massive starvation, hundreds of millions on the edge of death, collapsing borders, just destroyed dollars.
[28:26.000 --> 28:33.000]  And this is their answer to us waking up and saying no was, a lockdown to kill the economy and hyperinflation.
[28:33.000 --> 28:38.000]  And we are just going over the edge of this cliff together now.
[28:38.000 --> 28:46.000]  And I look at people that still serve the system and still pretend that they're going along with the New York Times and the Washington Post and CNN
[28:46.000 --> 28:55.000]  and are pretending you're part of the ruling elite when what you are is losers that sold yourself and your family and your culture out, believing you were on the winning team.
[28:55.000 --> 28:59.000]  You are not on the winning team.
[28:59.000 --> 29:03.000]  It was about 25 years ago that I wanted to expand into a war.
[29:03.000 --> 29:08.000]  So I've been on the air a couple of years, but I only had money to finance my own simple little local radio show.
[29:08.000 --> 29:13.000]  I wanted to hire camera people, I wanted to make films, I wanted to really challenge the globalists.
[29:13.000 --> 29:14.000]  And it was a t-shirt I designed.
[29:14.000 --> 29:21.000]  The first one, mass murderers agree gun control works that helped us finance hiring the first two members of my crew.
[29:21.000 --> 29:24.000]  That's our oldest design and we still sell it.
[29:24.000 --> 29:31.000]  We have that design over 100 others that will now all be limited editions because whatever stock we've got in, that's it.
[29:31.000 --> 29:35.000]  We're selling everything out to find the operation to get rid of inventory.
[29:35.000 --> 29:37.000]  We'll still have some teachers in the future.
[29:37.000 --> 29:39.000]  They'll just be limited editions and short runs.
[29:39.000 --> 29:44.000]  So if you want to get any of these historic shirts, this is your last chance on what I almost forgot.
[29:44.000 --> 29:48.000]  We're selling them all at cost at infowarstore.com.
[29:48.000 --> 29:56.000]  Every ball cap, every flag, every hoodie, every long sleeve, every t-shirt, regular shirts, designer shirts, they're all selling at cost.
[29:56.000 --> 29:59.000]  infowarstore.com
[29:59.000 --> 30:08.000]  Ladies and gentlemen, infowarstore.com is offering the biggest sales in its over 20 year history.
[30:08.000 --> 30:20.000]  And that is because the economy is breaking down, inflation is exploding, the supply chains are broken down, and info wars is having serious trouble making its payroll and paying for operations.
[30:20.000 --> 30:25.000]  And I do not want to implode or downsize in the face of the globalists making their main move.
[30:25.000 --> 30:31.000]  Info wars, it's paradoxical, it's more popular than ever, it's reaching more people than ever despite the censorship.
[30:31.000 --> 30:39.000]  But because of cost increasing and having to run our own infrastructure and pay for our own band with everything else, we are running out of money.
[30:39.000 --> 30:48.000]  So listen, up to 75% off at infowarstore.com on things like amazing patriot t-shirts that help spread the word and fund the operation.
[30:48.000 --> 30:57.000]  On supplements, on books, on films, everything is 25 to 75% off right now at the biggest sell in our history at infowarstore.com.
[30:57.000 --> 31:16.000]  Thank you for your support. You know, it's a fact, and I'm not bragging when I say it, it's just true, that info wars is seen by the globalists as the standard of human liberty, as the logo of human populist resistance against their transhumanist anti-human program.
[31:16.000 --> 31:23.000]  And man, our work is really right now hitting the most important aspects of what we've ever done.
[31:23.000 --> 31:33.000]  So I'm asking listeners now to realize we've got great products, thousands of them at infowarstore.com, and we are funded by listeners and viewers like you.
[31:33.000 --> 31:41.000]  And so now we need to support more than ever because this fight has intensified, don't need me to tell you that, at infowarstore.com.
[31:41.000 --> 31:45.000]  We've got 25 to 75% off across the board right now.
[31:45.000 --> 31:54.000]  Things have been sold out for a long time, like info wars life, fizzy magnesium mix that's so amazing, and our new immune support formula that's so critical.
[31:54.000 --> 31:59.000]  They're all available 25 to 75% off at infowarstore.com right now.
[31:59.000 --> 32:04.000]  The newest product from info wars life is now available exclusively at infowarstore.com.
[32:04.000 --> 32:14.000]  It is concentrated known herbs and compounds that will supercharge your body's natural defenses, your immune system, while at the same time, funding the info war.
[32:14.000 --> 32:25.000]  Our immune systems have always been critical, but in this globalist era, with all the criminal activity they're involved in, it is more important than ever to take the tools God gave us and supercharge our immune systems.
[32:25.000 --> 32:35.000]  Info wars life immune support is a game changer, and everyone out there that wants to be healthy and wants to boost your natural defenses should get it today.
[32:35.000 --> 32:50.000]  Out of the gates is 25% off at infowarstore.com, and a lot of other great products to boost your immune system as well, but this one is the very strongest we've got, so anybody out there that cares about their health and wants to take care of themselves needs to get this product.
[32:50.000 --> 32:54.000]  It's also a great gift for friends and family to boost their immune systems as well.
[32:54.000 --> 33:09.000]  Get yours today at infowarstore.com for 25% off.
[33:24.000 --> 33:32.000]  If you are receiving this transmission, you are the resistance.
[33:32.000 --> 33:42.000]  Live from the info wars.com studios, it's Alex Jones.
[33:42.000 --> 33:55.000]  So there is a globalist plan to forcibly cut off the resources and depopulate the planet, and the social engineers say they're doing this because the general public is stupid and has low IQs.
[33:55.000 --> 34:05.000]  At the same time, they dump fluoride in the water to lower IQs, they dumb down the education system to make people as ignorant and servile as possible, and then you study the ruling families of the planet.
[34:05.000 --> 34:20.000]  They are all of them into the occult, most of them into transgenderism for some reason, and are just completely dysfunctional, and Rothschilds, Rockefellers, others, they'll have like five, six kids, three of them commit suicide on average,
