[00:00.000 --> 00:22.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[08:49.000 --> 08:58.000]  There are very effective natural products out there, but unfortunately, we don't get to use many of those like marijuana, medical marijuana,
[08:58.000 --> 09:09.000]  because that's not owned by large pharmaceutical companies who essentially control the FDA, control our government to get the sorts of things pushed through that they want to have through there.
[09:09.000 --> 09:16.000]  Well, now, I want to turn now to the fear mongering that's been happening this last week.
[09:16.000 --> 09:22.000]  You may remember that this all came about last Sunday. We started hearing it was actually going to happen last Sunday.
[09:22.000 --> 09:25.000]  There was going to be some very, very big terrorist event.
[09:25.000 --> 09:30.000]  They started telling us about it on Thursday or Friday, and they were shutting down the embassies all over the world.
[09:30.000 --> 09:37.000]  And it was ridiculed, rightfully so, because A, it didn't happen, B, it was very nonspecific.
[09:37.000 --> 09:42.000]  We were just told it was going to be big, and we were only told that it was going to specifically happen last Sunday.
[09:42.000 --> 09:51.000]  And when it didn't happen last Sunday, they extended it for weeks, and they extended it to the entire world, and they shut down the embassies.
[09:51.000 --> 09:53.000]  But listen to the way they pushed it.
[09:53.000 --> 10:01.000]  On last week's ABC News, the Morning ABC News Show, this week with George Stephanophilus, this is the way this thing started.
[10:01.000 --> 10:09.000]  Now, remember that this is their introduction to the news, and they started out with dramatic, dramatic music and b-rolls of jets flying around
[10:09.000 --> 10:15.000]  and shots of bullseyes and sounds of computers beeping, and that sort of thing, that they're really busy.
[10:15.000 --> 10:18.000]  It's very, very dramatic. And what they said is this.
[10:18.000 --> 10:20.000]  There is a worldwide alert.
[10:20.000 --> 10:27.000]  We have breaking details this morning on that terror threat, new concerns about that risk to the homeland.
[10:27.000 --> 10:34.000]  Plus, the fresh intelligence that has officials so spooked and so convinced Al Qaeda may be poised to strike.
[10:34.000 --> 10:41.000]  Again, our exclusive interview with the president's top military advisor, will Edward Snowden's secrets end up in enemy hands?
[10:41.000 --> 10:43.000]  That's ABC News.
[10:43.000 --> 10:47.000]  I just asked verbatim what they said on their intro to their news last Sunday.
[10:47.000 --> 10:49.000]  Think about this.
[10:49.000 --> 10:55.000]  You know, first of all, whenever they start talking about risks to the homeland, I mean, doesn't that just make you want to gag?
[10:55.000 --> 10:57.000]  I mean, it sounds like the Nazi fatherland.
[10:57.000 --> 11:02.000]  I am so sick of hearing that phrase that George Bush coined.
[11:02.000 --> 11:05.000]  And then they talk about Ed Snowden's secrets.
[11:05.000 --> 11:08.000]  You know what? They're not Ed Snowden's secrets.
[11:08.000 --> 11:10.000]  They're your secrets.
[11:10.000 --> 11:13.000]  They're your secret correspondence, your private papers.
[11:13.000 --> 11:20.000]  Information about your personal business occupation, what you're doing financially.
[11:20.000 --> 11:22.000]  Al Qaeda doesn't want to know that.
[11:22.000 --> 11:27.000]  Al Qaeda doesn't want to know how much money you made, where you made it.
[11:27.000 --> 11:31.000]  Al Qaeda doesn't want to know if there's something in your life where you can be blackmailed with.
[11:31.000 --> 11:36.000]  Al Qaeda is not afraid of the Tea Party movement or the Occupy movement.
[11:36.000 --> 11:38.000]  But Washington is.
[11:38.000 --> 11:41.000]  And that's why they're mining and collecting all of your data.
[11:41.000 --> 11:45.000]  And that's why we've got the situation that we've got here.
[11:45.000 --> 11:49.000]  The government wants to know all of those things about you.
[11:49.000 --> 11:54.000]  And what we want is for the American people, and this is what was valuable about Edward Snowden.
[11:54.000 --> 11:57.000]  He was trying to wake the American people up.
[11:57.000 --> 11:59.000]  He was a whistleblower.
[11:59.000 --> 12:02.000]  And you know, there's nobody listening to the whistles in Washington.
[12:02.000 --> 12:06.000]  But hopefully, some of the people in the public are going to listen to some of those whistles.
[12:06.000 --> 12:09.000]  You know, we had whistleblowers right after 9-11.
[12:09.000 --> 12:11.000]  We had Benny. We had Drake.
[12:11.000 --> 12:18.000]  We had NSA employees who were complaining about the fact that the NSA was violating what was then the law,
[12:18.000 --> 12:21.000]  even though I would say it violated the Constitution.
[12:21.000 --> 12:28.000]  They had a law so they could not listen to domestic conversations unless those Americans were talking to somebody in foreign countries.
[12:28.000 --> 12:32.000]  Well, they went through the whole procedure internally of being whistleblowers.
[12:32.000 --> 12:34.000]  And they were totally ignored.
[12:34.000 --> 12:39.000]  As a matter of fact, they came after Drake, even though he followed all the procedures for whistleblowers.
[12:39.000 --> 12:41.000]  They came after him and tried to put him in jail.
[12:41.000 --> 12:43.000]  He did beat the charges.
[12:43.000 --> 12:44.000]  But nobody heard any of that.
[12:44.000 --> 12:47.000]  People have heard what Edward Snowden is saying.
[12:47.000 --> 12:49.000]  So they're trying to make it about Edward Snowden.
[12:49.000 --> 12:51.000]  So where is Waldo type of thing?
[12:51.000 --> 12:54.000]  They're looking all over the world to see where Edward Snowden is.
[12:54.000 --> 12:58.000]  Is Edward Snowden going to come back to the United States? Is Edward Snowden going to stand trial?
[12:58.000 --> 13:00.000]  Can he get a fair trial? All this sort of thing.
[13:00.000 --> 13:02.000]  Is he a patriot or not?
[13:02.000 --> 13:06.000]  You know, we had Obama say that Ed Snowden was not a patriot.
[13:06.000 --> 13:09.000]  And his father on today's news show fired back and he said,
[13:09.000 --> 13:15.000]  My son has spoken the truth and has sacrificed more than even the President of the United States.
[13:15.000 --> 13:17.000]  That's very true.
[13:17.000 --> 13:20.000]  You know, the President of the United States has not even spoken the truth.
[13:20.000 --> 13:23.000]  And he hasn't sacrificed anything except your liberties.
[13:23.000 --> 13:26.000]  And he's done it in the name of security.
[13:26.000 --> 13:30.000]  You will never, never get liberty by giving up your security.
[13:30.000 --> 13:34.000]  The only way that you're ever going to have any security is when you have personal liberty.
[13:34.000 --> 13:36.000]  Those two cannot be separated.
[13:36.000 --> 13:39.000]  The government can destroy both of those, but they cannot separate those.
[13:39.000 --> 13:43.000]  You can never, it is not a trade off between liberty and security.
[13:43.000 --> 13:47.000]  It is a trade off between liberty and slavery.
[13:47.000 --> 13:50.000]  Slavery masquerading as security.
[13:50.000 --> 13:52.000]  That's what they're offering us.
[13:52.000 --> 13:55.000]  And we've got, I don't think we've got enough time here.
[13:55.000 --> 13:58.000]  Do we have enough time for the, for Leon's report here before the break?
[13:58.000 --> 14:00.000]  I don't think we do.
[14:00.000 --> 14:02.000]  Yeah, we do. Yeah, let's, let's run that.
[14:02.000 --> 14:05.000]  Okay, we're going to, we're going to run that right after we come back.
[14:05.000 --> 14:08.000]  But, you know, McCain is also concerned about this.
[14:08.000 --> 14:13.000]  He says that young Americans are looking at Snowden and they see him like some kind of a Jason Bourne.
[14:13.000 --> 14:19.000]  You know, what do we see John McCain as, you know, kind of a,
[14:19.000 --> 14:24.000]  I see him as kind of like this strange James Bond villain with a sidekick.
[14:24.000 --> 14:29.000]  Lindsey Graham always following along with him like some kind of a simpering sidekick.
[14:29.000 --> 14:35.000]  The two of them never saw any violation of our constitutional rights that they didn't cheerlead.
[14:35.000 --> 14:38.000]  And we've got to worry about the fact, Obama says,
[14:38.000 --> 14:43.000]  you shouldn't be worried about all these powers that we've taken because look, I haven't used them.
[14:43.000 --> 14:44.000]  Well, yes, he has.
[14:44.000 --> 14:47.000]  The truth is he has used these powers.
[14:47.000 --> 14:52.000]  And the truth is, is that they're setting up the perfect legal framework for tyranny,
[14:52.000 --> 14:56.000]  a tyranny that is going to be very horrible to live under.
[14:56.000 --> 14:59.000]  And we need to say that the time for this is over.
[14:59.000 --> 15:00.000]  We need to push back against this.
[15:00.000 --> 15:03.000]  We've got people, both Democrats and Republicans,
[15:03.000 --> 15:07.000]  we've got Jimmy Carter saying that the U.S. is no longer a functioning democracy.
[15:07.000 --> 15:11.000]  We've got a retired New Hampshire senator saying essentially the same thing,
[15:11.000 --> 15:16.000]  writing letters to Ed Snowden saying that he's very concerned that everything is focused on Snowden
[15:16.000 --> 15:20.000]  and nothing has focused on reforming the NSA.
[15:20.000 --> 15:24.000]  And that's exactly what we see from ABC News when they start going through this,
[15:24.000 --> 15:29.000]  when they start talking about Ed Snowden's secrets and will they end up in enemy hands?
[15:29.000 --> 15:36.000]  You know, Al Qaeda and China and Russia have always known that the government is watching the phone lines.
[15:36.000 --> 15:39.000]  The people who don't know about it are the general public.
[15:39.000 --> 15:41.000]  And they're the ones that we need to try to reach,
[15:41.000 --> 15:45.000]  that we need to try to get to understand what a problem this is.
[15:45.000 --> 15:49.000]  We're going to be right back and we're going to take a look at some of the attitudes of those people on the streets of Austin.
[15:49.000 --> 16:18.000]  Stay tuned.
[16:19.000 --> 16:44.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilic acid,
[16:44.000 --> 16:50.000]  the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[16:50.000 --> 16:55.000]  Get your Pro Pure with the new Pro One filters today at infowarstore.com
[16:55.000 --> 17:22.000]  or by calling 888-253-3139.
[17:25.000 --> 17:29.000]  Or get a one to two year supply of soaps for all your cleaning needs.
[17:29.000 --> 17:32.000]  You're getting soap products twice as good as what you're using now.
[17:32.000 --> 17:37.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[17:37.000 --> 17:44.000]  Call 1-800-340-7091 or visit www.5starsoap.com.
[17:44.000 --> 17:49.000]  Alex and his staff have used these earth-friendly Pure Soaps for years.
[17:49.000 --> 17:59.000]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[18:20.000 --> 18:25.000]  Their service also provides firewall protection in order to prevent data mining and unwanted exposure.
[18:25.000 --> 18:27.000]  They keep no records of your web browsing history.
[18:27.000 --> 18:34.000]  PrivateInternetAccess.com is an American company that understands you need to protect your inalienable rights.
[18:34.000 --> 18:37.000]  Private Internet Access does not even log any of your traffic.
[18:37.000 --> 18:40.000]  Period. Privacy is their number one policy.
[18:40.000 --> 18:43.000]  You can use their service anywhere with an internet connection
[18:43.000 --> 18:47.000]  and with one account you can protect up to five devices at the same time.
[18:47.000 --> 18:53.000]  Go to privateinternetaccess.com right now in order to secure the privacy of you and your loved ones.
[18:53.000 --> 18:56.000]  Don't wait and allow you and your family to become victims.
[18:56.000 --> 18:59.000]  Visit privateinternetaccess.com today.
[18:59.000 --> 19:04.000]  Dozens of diseases ranging from the common cold and flu to MRSA and pneumonia
[19:04.000 --> 19:07.000]  are all caused by infectious pathogens.
[19:07.000 --> 19:11.000]  Fortunately, a simple, safe and effective alternative exists.
[19:11.000 --> 19:18.000]  Supernatural Silver is a new and vastly improved type of silver solution that is safe and extremely effective
[19:18.000 --> 19:25.000]  against 143 types of bacteria, both forms of viruses, mold and yeast, and a limited number of parasites.
[19:25.000 --> 19:28.000]  It can even purify water.
[19:28.000 --> 19:33.000]  Supernatural Silver comes in both liquid and gel for internal or external use.
[19:33.000 --> 19:40.000]  With over 180 scientific studies by independent universities, hospitals, research institutions and nursing homes,
[19:40.000 --> 19:45.000]  Supernatural Silver is a powerful weapon in the fight against disease.
[19:45.000 --> 19:51.000]  To see how Supernatural Silver can give you and your loved ones protection and peace of mind,
[19:51.000 --> 19:53.000]  go to supernaturalsilver.com.
[19:53.000 --> 20:14.000]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[20:14.000 --> 20:20.000]  Hello, this is Hank Hill and I'm telling you what you need to listen to Alex Jones.
[20:20.000 --> 20:26.000]  Yeah, yeah, Hank, and forworth.com, yeah.
[20:26.000 --> 20:45.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[20:45.000 --> 20:51.000]  Welcome back to the Alex Jones Show. I'm David Knight filling in for Alex. Alex will be joining us in the second hour.
[20:51.000 --> 20:58.000]  And we're going to be talking about some of the terror alerts that have been happening worldwide and some specific information about Austin.
[20:58.000 --> 21:06.000]  You know, we had, in the middle of the week, it broke that they were going to be running DHS drills throughout Austin for the next several weeks.
[21:06.000 --> 21:20.000]  And then on Thursday, we got a memo that was actually that was released to Info Wars. And it said, this is from the Texas Military Forces and J3 Protection Branch.
[21:20.000 --> 21:29.000]  It said, unconfirmed reporting from the Department of Homeland Security has raised the possibility of random terrorist attacks taking place in Austin, Texas on or about the eighth or ninth of August.
[21:29.000 --> 21:32.000]  That would have been last Thursday, last Friday.
[21:32.000 --> 21:40.000]  According to anonymous reporting, a group of trained terrorists are planning to conduct attacks in Austin, Texas and Pasadena, California at the conclusion of Ramadan.
[21:40.000 --> 21:49.000]  Additionally, the group plans to attack a school and theological seminary in downtown Austin area and complete the attack with operations at the Austin Bergstrom International Airport.
[21:49.000 --> 21:58.000]  The reporting also stated that if eighth through ninth of August was not a viable option, then the group would conduct operations on the 29th of August.
[21:58.000 --> 22:04.000]  So the question was, when we reported this, and of course, we were not going to just set by and not report that.
[22:04.000 --> 22:12.000]  The question was, is this just a document that is fear mongering inside of the police? Or is this something that's like a false flag preparation?
[22:12.000 --> 22:26.000]  Because we know that there are drills going in place. And if you know anything about the history of terrorist events, you know that the big ones have always been accompanied by drills happening at exactly the same time,
[22:26.000 --> 22:30.000]  at exactly the same place, with exactly the same scenario.
[22:30.000 --> 22:38.000]  These are false flag attacks, false flag attacks like September 11th, false flag attacks like the 7-7 bombing.
[22:38.000 --> 22:42.000]  And on and on, we see this pattern repeating over and over again.
[22:42.000 --> 22:49.000]  They keep doing it because people are not waking up to the tactic and they keep doing it because it's a very effective strategy for them.
[22:49.000 --> 22:57.000]  It allows them to essentially have a cover if they're caught. So not everybody in the government is on a false flag terrorist attack.
[22:57.000 --> 23:02.000]  But the few people who are, if they are caught, they can always say that it is part of a drill.
[23:02.000 --> 23:10.000]  Now for more information about this, and also to see what people in Austin thought about this, Leanne McAdoo went to the streets and we have this special report.
[23:10.000 --> 23:24.000]  A force protection alert was released to the media by accident this week. What they didn't want us to know was that they were letting the Texas military forces know that a possible terrorist threat is set to take place this weekend in Austin on 6th Street.
[23:24.000 --> 23:33.000]  It's one of our busiest streets here in the city. They say that it's going to probably coincide with the end of Ramadan and that it'll be backpack style bombs.
[23:33.000 --> 23:42.000]  We all are quite aware of quite a few instances where there have been drills going on at the same time as terrorist activity.
[23:42.000 --> 23:51.000]  So we're going to go check with Austin citizens and see do they think this is a false flag? Is this legit? Are they still going to go out and party? Is Al Qaeda here in Austin? Who knew?
[23:51.000 --> 23:56.000]  What do you think about the possible terror threat that's supposed to happen today on 6th Street?
[23:56.000 --> 23:59.000]  That's a little scary. No concern at all.
[23:59.000 --> 24:00.000]  Why not?
[24:00.000 --> 24:05.000]  Well, we have officials and law enforcement in place to handle that sort of thing.
[24:05.000 --> 24:07.000]  No, I never heard of it first time.
[24:07.000 --> 24:08.000]  That doesn't frighten you?
[24:08.000 --> 24:09.000]  No.
[24:09.000 --> 24:11.000]  Doesn't concern you? Did you hear about it?
[24:11.000 --> 24:13.000]  No.
[24:13.000 --> 24:15.000]  Well, I hope that's not true.
[24:15.000 --> 24:23.000]  Wherever you are nowadays, you have to use some caution and common sense and like they always say, go with your gut feeling and report suspicious activities.
[24:23.000 --> 24:25.000]  So it doesn't concern me as much as it would most people.
[24:25.000 --> 24:31.000]  Did you hear about the Department of Homeland Security is going to be performing a lot of terror drills in the next couple weeks in Austin?
[24:31.000 --> 24:33.000]  Is there going to be increased military presence?
[24:33.000 --> 24:35.000]  No, I did not.
[24:35.000 --> 24:42.000]  They don't want news stations reporting going, look at all the military helicopters and everything so that the news stations know, oh, they're just doing drills.
[24:42.000 --> 24:44.000]  But what if something really does happen?
[24:44.000 --> 24:51.000]  Have you ever heard of the FBI doing false flag attacks to create terror events?
[24:51.000 --> 24:53.000]  No, I have not.
[24:53.000 --> 24:58.000]  Operation Gladio, Golf of Tonkin, we went to war with Vietnam.
[24:58.000 --> 24:59.000]  I did hear about that.
[24:59.000 --> 25:05.000]  And I also heard about it when it happened in London as well, that there was training on that exact same day when the actual event happened.
[25:05.000 --> 25:07.000]  But coincidences happen.
[25:07.000 --> 25:11.000]  So, you know, I think coincidences are coincidences and they happen inevitably.
[25:11.000 --> 25:14.000]  Today we were running an exercise for a company.
[25:14.000 --> 25:19.000]  And the most peculiar thing was we based our scenario on the simultaneous attacks on the underground and mainline station.
[25:19.000 --> 25:24.000]  So we had to suddenly switch an exercise from fictional to real.
[25:24.000 --> 25:31.000]  Just to get this right, you were actually working today on an exercise that envisioned virtually this scenario.
[25:31.000 --> 25:32.000]  Almost precisely.
[25:32.000 --> 25:34.000]  Drills on the same day that 9-11 happened.
[25:34.000 --> 25:37.000]  It was all the planes that were flying.
[25:37.000 --> 25:47.000]  They were doing drills of that exact same scenario of a terror attack taking place by people flying planes into buildings on 9-11.
[25:47.000 --> 25:48.000]  No, I didn't know that.
[25:48.000 --> 25:50.000]  I'm not a real conspiracy theorist.
[25:50.000 --> 25:55.000]  This is an article out of USA Today.
[25:55.000 --> 26:01.000]  And this report came out on April 19th, 2004.
[26:01.000 --> 26:11.000]  NORAD had drills, early like September 11th, Pentagon Trade Center, among imagined targets.
[26:11.000 --> 26:15.000]  They were doing a drill in the exact same area on that day.
[26:15.000 --> 26:16.000]  That's a fact.
[26:16.000 --> 26:17.000]  That's not a theory.
[26:17.000 --> 26:18.000]  Yeah, I know that's a fact.
[26:18.000 --> 26:21.000]  What do you think?
[26:21.000 --> 26:27.000]  Now I'm thinking they're probably trying to say it's a drill so they don't scare the citizens.
[26:27.000 --> 26:29.000]  What was the school shooting recently?
[26:29.000 --> 26:30.000]  Sandy Hook.
[26:30.000 --> 26:32.000]  They were like within 20 miles.
[26:32.000 --> 26:34.000]  Right, they were also doing a drill.
[26:34.000 --> 26:37.000]  Yeah, of a school shooter.
[26:37.000 --> 26:39.000]  Exactly, exactly.
[26:39.000 --> 26:40.000]  That's weird.
[26:40.000 --> 26:47.000]  Well, what would you think if you saw a military helicopter and guys jumping out of planes and got tanks coming with guns?
[26:47.000 --> 26:50.000]  Because that's what is happening here over the next couple of weeks.
[26:50.000 --> 26:52.000]  Yeah, I'd be getting, I'd be running the other way.
[26:52.000 --> 26:54.000]  That's what would scare me.
[26:54.000 --> 26:57.000]  I really don't, it's not my concern.
[26:57.000 --> 26:59.000]  It doesn't bother me.
[26:59.000 --> 27:04.000]  That's how my hands, you know, that's, I leave it to my military or my president, I guess.
[27:04.000 --> 27:09.000]  All right, well it seems like a few people were concerned with the terror threat and the Homeland Security exercises that are going to be taking place
[27:09.000 --> 27:12.000]  in Austin throughout the weekend and over the next couple of weeks.
[27:12.000 --> 27:16.000]  But most people, they're all right with the huge military presence in our town.
[27:16.000 --> 27:19.000]  If it means they're going to be safe.
[27:19.000 --> 27:22.000]  For the Info Wars Nightly News, I'm Leigh Ann McAdoo.
[27:22.000 --> 27:26.000]  Well, it's a great report from our reporter Leigh Ann McAdoo out on the street.
[27:26.000 --> 27:32.000]  Now, you notice that one of the fellows said, yeah, he knew about the fact that they had a drill going on at the same time.
[27:32.000 --> 27:35.000]  And he thought that was an interesting coincidence.
[27:35.000 --> 27:39.000]  But it's a coincidence that keeps happening over and over again.
[27:39.000 --> 27:44.000]  How many times do they have to do the same thing before you think that it's more than just a blind coincidence?
[27:44.000 --> 27:50.000]  It's more than just a blind coincidence that they had people doing exactly the same thing on 7-7
[27:50.000 --> 27:54.000]  and exactly the same scenario with NORAD told to stand down.
[27:54.000 --> 27:59.000]  They have transcripts where they went into NORAD and they were confused.
[27:59.000 --> 28:03.000]  They didn't know if the real events were the drill or if it was real
[28:03.000 --> 28:09.000]  because they had the scenario matched what they had been told was going to be the drill so exactly.
[28:09.000 --> 28:10.000]  And that's part of the effect.
[28:10.000 --> 28:15.000]  It causes the real people, the real responders, people who would really do something to stop it.
[28:15.000 --> 28:17.000]  It causes them to hesitate because they think it's a drill.
[28:17.000 --> 28:20.000]  And it also gives an alibi to them.
[28:20.000 --> 28:24.000]  But there are other incidences like Operation Gladio, Operation Northwoods.
[28:24.000 --> 28:28.000]  If you look that up, these are things that have been out there for decades.
[28:28.000 --> 28:32.000]  Operation Northwoods was proposed back in the 60s.
[28:32.000 --> 28:33.000]  It was classified.
[28:33.000 --> 28:37.000]  It was actually a plot by the American government to fly planes into buildings,
[28:37.000 --> 28:44.000]  to explode bombs in public areas, and then blame it on the enemy at that time, which was Castro.
[28:44.000 --> 28:46.000]  We're going to be right back. Stay tuned.
[28:46.000 --> 28:50.000]  It's something that really needs to be brought to the public's awareness.
[28:50.000 --> 28:53.000]  They need to wake up to this technique.
