[00:00:53.399 --> 00:00:55.080]  Okay.
[00:11:35.785 --> 00:11:40.567]  And so instead of being victims, we're overcomers.
[00:11:40.567 --> 00:11:49.089]  But you have to overcome the enemy by declaring them the enemy and saying to the enemy, I see you.
[00:11:49.089 --> 00:11:51.250]  I know you're bad.
[00:11:51.250 --> 00:11:52.911]  I know you don't have a conscience.
[00:11:52.911 --> 00:11:54.451]  You know I have one.
[00:11:54.451 --> 00:11:56.692]  So you spend all day trying to manipulate me.
[00:11:56.692 --> 00:11:58.672]  Get behind me, Satan.
[00:11:58.672 --> 00:11:59.913]  You're not in my life anymore.
[00:12:00.603 --> 00:12:02.024]  You don't scare me.
[00:12:02.024 --> 00:12:03.344]  You don't bully me.
[00:12:03.344 --> 00:12:05.986]  Your labels, your lies, it means nothing to me.
[00:12:05.986 --> 00:12:08.987]  I'm standing firm against you.
[00:12:08.987 --> 00:12:12.069]  And I'm going to confront you to your face.
[00:12:12.069 --> 00:12:16.611]  It isn't just Alex Jones that has to go to Congress when they have big tech hearings.
[00:12:16.611 --> 00:12:21.514]  I'll be at every one I'm physically able to be at.
[00:12:21.514 --> 00:12:25.276]  The moment you decide to look at your calendar and take your vacation in DC,
[00:12:27.048 --> 00:12:35.550]  To take your children with you and to march in there when you see Sundar Pichai, or you see Oliver Darcy, or you see any of these liars.
[00:12:35.550 --> 00:12:38.971]  And you get in their face, because they're the usurpers.
[00:12:38.971 --> 00:12:41.952]  They're bigger than a government.
[00:12:41.952 --> 00:12:55.715]  And they've set themselves up as our kings now, and induced us through telecommunications to make them the new communications system, where they spy on us and sell our data and lie to us, and then when they get caught, they lie to us again,
[00:12:57.817 --> 00:13:03.380]  And just keep trying this Jedi mind trick of we're a private company, we're a private company.
[00:13:03.380 --> 00:13:06.302]  No, what you are is a trust.
[00:13:06.302 --> 00:13:13.686]  What you are is a criminal combine working with other groups in an oligopoly to control and dominate this nation.
[00:13:13.686 --> 00:13:26.233]  You have disdain for people that don't want to be in Hollywood, that don't want to worship Silicon Valley, and you're taking over every facet of our lives and pumping us full of poison so you can feed on us at your leisure.
[00:13:28.427 --> 00:13:30.969]  And it's coming to an end.
[00:13:30.969 --> 00:13:33.592]  We're going to break up all of these tech monopolies.
[00:13:33.592 --> 00:13:36.294]  We're going to pull the Chi-Com operatives out of our government.
[00:13:36.294 --> 00:13:38.216]  There's going to be thousands of people arrested.
[00:13:38.216 --> 00:13:39.698]  Already hundreds have been.
[00:13:39.698 --> 00:13:48.646]  We're going to roll up Hollywood, and we're going to roll all of you up because you're a cancer, you're an enemy force, and you're working against this nation.
[00:13:48.646 --> 00:13:50.608]  Remember a few months ago?
[00:13:54.059 --> 00:14:01.306]  The Joint Chiefs of Staff got asked in Congress about Google officially working for China and won't even work with our own military.
[00:14:01.306 --> 00:14:02.647]  What does that tell you?
[00:14:02.647 --> 00:14:05.049]  They hate America!
[00:14:05.049 --> 00:14:16.140]  You go to any Democratic Party event, any Silicon Valley event, and you talk about loving America or free market or God, they will groan, they will yell at you, and they will say, get out of here!
[00:14:16.140 --> 00:14:18.963]  They will physically attack you in public spaces!
[00:14:20.967 --> 00:14:22.469]  They are so habituated.
[00:14:22.469 --> 00:14:24.893]  They hate you so much.
[00:14:24.893 --> 00:14:27.277]  They hate Jesus Christ so much.
[00:14:27.277 --> 00:14:35.029]  They hate families so much that they shake with murderous delight.
[00:14:37.845 --> 00:14:43.108]  I mean, I knew they hated America, but the last few years I go out to these events and I say, Hey, America's back.
[00:14:43.108 --> 00:14:48.710]  You know, it's, you know, unemployment's down and, and good things are happening and they start groaning.
[00:14:48.710 --> 00:14:50.731]  And I say, I love America.
[00:14:50.731 --> 00:15:00.596]  And they go, and you're like, so you do it to another group and another group and another group.
[00:15:00.596 --> 00:15:01.436]  And they're all the same.
[00:15:04.622 --> 00:15:07.744]  And it's like, you have to understand, these are really bad people.
[00:15:07.744 --> 00:15:13.589]  And they've converted a large number of our fellow citizens into this now.
[00:15:13.589 --> 00:15:15.210]  They're basically demon possessed.
[00:15:15.210 --> 00:15:16.731]  I don't know what you want to call it.
[00:15:16.731 --> 00:15:18.112]  Mass psychosis.
[00:15:18.112 --> 00:15:19.553]  It's going on.
[00:15:19.553 --> 00:15:20.674]  It's happening.
[00:15:20.674 --> 00:15:21.895]  We've all seen it.
[00:15:21.895 --> 00:15:22.976]  It's like the body snatchers.
[00:15:26.500 --> 00:15:33.384]  And we're going to have to stand against them and stop acquiescing to their bullying, or it's only going to get worse.
[00:15:33.384 --> 00:15:35.945]  And you can see there's no limit to what they'll do.
[00:15:35.945 --> 00:15:47.871]  The good news is there are a bunch of evil people on top, but still a small number, with a lot of victims and mind-controlled, servile, mass brainwashed followers.
[00:15:49.292 --> 00:15:53.361]  But we have to come into that power vacuum and lead and stop all this.
[00:15:53.361 --> 00:15:55.565]  We'll lay the plan out and stop it on the other side.
[00:15:55.565 --> 00:15:57.449]  However you're listening, please spread the word.
[00:15:59.571 --> 00:16:00.792]  Hi, I'm Dan Pilla.
[00:16:00.792 --> 00:16:04.713]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:16:04.713 --> 00:16:06.234]  I sued the IRS and won.
[00:16:06.234 --> 00:16:09.216]  I beat the IRS then, and I've been beating them ever since.
[00:16:09.216 --> 00:16:14.758]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:16:14.758 --> 00:16:15.959]  I can help you, too.
[00:16:15.959 --> 00:16:18.900]  If you owe taxes you can't pay, don't wait another day.
[00:16:18.900 --> 00:16:21.121]  There's no such thing as a hopeless tax case.
[00:16:21.121 --> 00:16:25.563]  Call 800-34-NO-TAX, or go to my website, danpilla.com.
[00:16:25.563 --> 00:16:27.864]  That's danpilla.com, danpilla.com.
[00:16:29.125 --> 00:16:35.469]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:16:35.469 --> 00:16:38.511]  George Washington had warned us against foreign wars.
[00:16:38.511 --> 00:16:44.435]  The United States of Empire shows that World Wars I and II left England broken.
[00:16:44.435 --> 00:16:48.218]  Its former colony, the U.S., had to save the empire.
[00:16:48.218 --> 00:16:49.499]  Was there ever a vote?
[00:16:49.499 --> 00:16:50.840]  Who do we fight for?
[00:16:50.840 --> 00:16:57.044]  The deep state began with World War I. The United States of Empire by James Dunn.
[00:16:57.044 --> 00:16:58.485]  Available at Amazon Books.
[00:16:59.085 --> 00:17:01.726]  Hunters, anglers, campers, and survivalists.
[00:17:01.726 --> 00:17:02.846]  Get back to nature.
[00:17:02.846 --> 00:17:10.128]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:17:10.128 --> 00:17:13.549]  Slingbow products are compact and models start from just $17.98.
[00:17:13.549 --> 00:17:17.130]  They're perfect for your bug out bag or storing in your vehicle.
[00:17:17.130 --> 00:17:21.292]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:17:21.292 --> 00:17:25.853]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:17:25.853 --> 00:17:28.534]  Feel the thrill only at slingbow.com.
[00:17:28.934 --> 00:17:30.835]  Fully cooked, ready-to-eat bacon.
[00:17:30.835 --> 00:17:34.056]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:17:34.056 --> 00:17:35.656]  Savory and delicious.
[00:17:35.656 --> 00:17:38.477]  I buy some, I use some, I store some.
[00:17:38.477 --> 00:17:39.157]  Awesome!
[00:17:39.157 --> 00:17:42.238]  No refrigeration needed with a 10-year shelf life.
[00:17:42.238 --> 00:17:43.799]  NASA PAC Technology.
[00:17:43.799 --> 00:17:44.419]  Bacon.
[00:17:44.419 --> 00:17:48.580]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[00:17:48.580 --> 00:17:50.020]  Or warm and served.
[00:17:50.020 --> 00:17:52.061]  Life-saving, ready-to-eat bacon.
[00:17:52.061 --> 00:17:54.002]  10-year shelf life bacon.
[00:17:54.002 --> 00:17:56.782]  Ships free at FullyCookedBacon.com.
[00:17:56.782 --> 00:17:58.023]  FullyCookedBacon.com.
[00:18:00.228 --> 00:18:03.811]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.811 --> 00:18:05.593]  Introducing Pollen Block.
[00:18:05.593 --> 00:18:16.862]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.643 --> 00:18:26.829]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:26.829 --> 00:18:32.613]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:18:32.613 --> 00:18:37.876]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:37.876 --> 00:18:40.138]  Pollen Block is natural and effective.
[00:18:40.498 --> 00:18:42.199]  It is not an antihistamine.
[00:18:42.199 --> 00:18:52.203]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.203 --> 00:18:54.864]  Go outside and enjoy the air you breathe.
[00:18:54.864 --> 00:18:59.566]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:06.026 --> 00:19:10.429]  Tom in Texas, police officer on the border, talks about MS-13 and more.
[00:19:10.429 --> 00:19:11.409]  Thanks for calling, Tom.
[00:19:11.409 --> 00:19:11.869]  Yes, sir.
[00:19:11.869 --> 00:19:13.170]  Thank you for taking my call.
[00:19:13.170 --> 00:19:15.271]  Just want to thank you for your products.
[00:19:15.271 --> 00:19:21.194]  I have the InfoWard decals on the outside of my cell phone case, my truck, sports shirts, all the equipment.
[00:19:21.194 --> 00:19:23.135]  I find it's the best way to get your word out.
[00:19:23.135 --> 00:19:24.096]  God bless you, brother.
[00:19:24.096 --> 00:19:30.879]  And I have three or four InfoWard bumper stickers in my glove box right now I hand out if I get to talking to somebody, just to help spread that word.
[00:19:31.099 --> 00:19:32.320]  You're our only hope, brother.
[00:19:32.320 --> 00:19:34.522]  I'm telling you, you're more important than I am.
[00:19:34.522 --> 00:19:37.264]  It's people like you on the ground, as you know, that's boots on the ground.
[00:20:03.392 --> 00:20:09.795]  You're listening to the Alex Jones Show.
[00:20:09.795 --> 00:20:16.277]  This program contains language and sequences some viewers may find disturbing.
[00:20:16.277 --> 00:20:19.598]  The nation and all of our freedoms hang by a thread!
[00:20:19.598 --> 00:20:23.019]  And the military apparatus of this country is about to be handed over to scum!
[00:20:23.019 --> 00:20:25.600]  And we're beholden to scum!
[00:20:25.600 --> 00:20:26.301]  Russian scum!
[00:20:34.497 --> 00:20:35.917]  Please, listen.
[00:20:35.917 --> 00:20:44.240]  If you don't, if you won't, if you fail to understand, then the same incredible terror that's menacing me will strike at you!
[00:20:44.240 --> 00:20:48.361]  The function of all life is survival.
[00:20:48.361 --> 00:20:50.361]  Sleep.
[00:20:50.361 --> 00:20:52.302]  Sleep.
[00:20:52.302 --> 00:20:53.802]  Sleep.
[00:20:53.802 --> 00:20:54.622]  Oh my God!
[00:20:54.622 --> 00:20:55.523]  Oh my God!
[00:20:55.523 --> 00:20:55.983]  Oh my God!
[00:20:55.983 --> 00:20:56.523]  Lock the door!
[00:20:56.523 --> 00:20:57.663]  Lock the door!
[00:20:57.663 --> 00:20:59.964]  They're coming!
[00:20:59.964 --> 00:21:00.924]  They're coming!
[00:21:00.924 --> 00:21:01.224]  Help!
[00:21:01.224 --> 00:21:01.404]  Help!
[00:21:01.404 --> 00:21:01.964]  They're coming!
[00:21:01.964 --> 00:21:02.585]  They're coming!
[00:21:02.585 --> 00:21:03.045]  Listen to me!
[00:21:03.045 --> 00:21:03.325]  Listen!
[00:21:03.325 --> 00:21:03.745]  Tell me!
[00:21:05.111 --> 00:21:05.611]  Please!
[00:21:05.611 --> 00:21:06.232]  Please!
[00:21:06.232 --> 00:21:07.633]  Your legs are in danger!
[00:21:07.633 --> 00:21:08.693]  Please, listen to me!
[00:21:08.693 --> 00:21:09.874]  It's something terrible!
[00:21:09.874 --> 00:21:10.754]  Please!
[00:21:10.754 --> 00:21:12.716]  Your legs are in the air!
[00:21:12.716 --> 00:21:15.017]  They're already here!
[00:21:15.017 --> 00:21:15.217]  Help!
[00:21:15.217 --> 00:21:15.597]  Your legs!
[00:21:15.597 --> 00:21:16.098]  They're coming!
[00:21:16.098 --> 00:21:17.539]  They're coming!
[00:21:17.539 --> 00:21:18.379]  Sleep.
[00:21:18.379 --> 00:21:19.520]  The seed is planted.
[00:21:19.520 --> 00:21:21.461]  Sleep.
[00:21:21.461 --> 00:21:22.401]  Sleep.
[00:21:22.401 --> 00:21:23.602]  Terror grows.
[00:21:23.602 --> 00:21:25.723]  Elizabeth, wake up!
[00:21:25.723 --> 00:21:27.625]  We'll get you when you sleep!
[00:21:27.625 --> 00:21:29.005]  Sit up!
[00:21:29.005 --> 00:21:31.147]  Invasion of the Body Snatchers.
[00:21:32.632 --> 00:21:34.854]  All of a sudden they're growing like parasites.
[00:21:34.854 --> 00:21:36.395]  Is it contagious?
[00:21:36.395 --> 00:21:38.176]  It looked right at me.
[00:21:38.176 --> 00:21:39.277]  You need to get out!
[00:21:39.277 --> 00:21:41.599]  You're looking at it as if it was human.
[00:21:41.599 --> 00:21:44.601]  It was not human.
[00:21:44.601 --> 00:21:47.783]  Now, the classic fear begins to grow.
[00:21:47.783 --> 00:21:49.565]  We're being cornered!
[00:21:49.565 --> 00:21:52.707]  In a modern masterpiece of science fiction.
[00:21:52.707 --> 00:21:53.968]  They're barricading us.
[00:22:19.955 --> 00:22:24.958]  If you are receiving this transmission, you are the resistance.
[00:22:24.958 --> 00:22:30.302]  It's Alex Jones.
[00:22:30.302 --> 00:22:35.886]  And we got a giant beachhead two and a half years ago when Trump got elected.
[00:22:35.886 --> 00:22:37.086]  We'd relaunched America.
[00:22:37.086 --> 00:22:40.549]  This audience, you had done it.
[00:22:40.549 --> 00:22:42.050]  1776 had a beachhead.
[00:22:42.050 --> 00:22:45.252]  So the enemy said, okay, shut him down.
[00:22:45.252 --> 00:22:46.813]  We'll call ourselves the resistance.
[00:22:48.823 --> 00:22:53.947]  And we'll try to adopt a lot of Jones's populist tactics, but we'll invert it.
[00:22:53.947 --> 00:22:56.048]  And that's why they want us off the air.
[00:22:56.048 --> 00:22:58.090]  They are now the resistance.
[00:22:58.090 --> 00:23:00.252]  Well, yeah, you're the resistance to America.
[00:23:00.252 --> 00:23:01.032]  You're the globalist.
[00:23:01.032 --> 00:23:02.433]  America was never great.
[00:23:02.433 --> 00:23:05.155]  It'll never be great.
[00:23:05.155 --> 00:23:17.464]  And now President Trump has basically stood down his one biggest failure so far and not defended the First Amendment against the monopoly combine activities
[00:23:18.527 --> 00:23:25.429]  A big tech openly and publicly moving to China just on the national security front.
[00:23:25.429 --> 00:23:31.091]  He's done something on Huawei, he's done something on 5G, and now that's a major national security threat.
[00:23:31.091 --> 00:23:43.295]  But if you don't think every Apple device having its code access based in China on servers that Apple admits are state controlled so Apple can be tax exempt.
[00:23:45.336 --> 00:23:51.501]  And then the Pentagon is like, well, I guess none of you will work with us, Apple or Google or anybody else.
[00:23:51.501 --> 00:23:54.083]  Amazon works for the Pentagon.
[00:23:54.083 --> 00:23:56.025]  I guess that's your right.
[00:23:56.025 --> 00:23:57.906]  But, gee, it's kind of bad.
[00:23:57.906 --> 00:23:59.748]  Your right?
[00:23:59.748 --> 00:24:03.011]  To move to China and let them have all our damn codes?
[00:24:03.011 --> 00:24:04.512]  No, that's not their right.
[00:24:04.512 --> 00:24:07.334]  You're a private company.
[00:24:07.334 --> 00:24:10.076]  The Libertarian Institute said so.
[00:24:10.076 --> 00:24:13.179]  Libertarianism isn't what big corporations say it is.
[00:24:13.179 --> 00:24:14.220]  It isn't slitting your throat.
[00:24:16.960 --> 00:24:22.043]  By our government letting China and the EU write all the regulations.
[00:24:22.043 --> 00:24:27.247]  They've written them now to make big tech move over there and do what they say.
