[00:00.000 --> 00:10.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[04:27.000 --> 04:38.000]  The BATF publicly confirms administration's ammunition import ban plan. We're going to get more into Senator Sessions saying there's a deliberate plan to collapse U.S. law enforcement on the border.
[04:38.000 --> 04:46.000]  We're going to get into Obama now admitting that they're using the heart bleed as an NSA tool. I told you that was the NSA doing that.
[04:46.000 --> 04:58.000]  And that's a no brainer. We're going to explain why it's now admitted five days after I told you that was the case. And then we're going to get into the IRS coming after you for your, well, I'll tell you about it coming up.
[04:58.000 --> 05:05.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[05:05.000 --> 05:13.000]  But it's not just the air outside that's toxic. Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[05:13.000 --> 05:21.000]  Most Americans spend 90% of their time inside using toxic chemicals within their homes. There are more than 42 million smokers in the United States.
[05:21.000 --> 05:30.000]  Well, over a thousand types of mold in mildew linked to numerous conditions. And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[05:30.000 --> 05:40.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[05:40.000 --> 05:51.000]  It's made with organic and wild cultivated herbs and manufactured in the USA. The new Info Wars Life Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[05:51.000 --> 05:58.000]  Now available exclusively at InfoWarsLife.com or by calling toll 3-888-253-3139.
[05:58.000 --> 06:08.000]  USA! USA! USA! USA! USA! USA! USA! USA! USA!
[06:08.000 --> 06:23.000]  If one ant stands up to us, then they all might stand up. Those puny little ants outnumber us a hundred to one. And if they ever figure that out, there goes our way of life.
[06:23.000 --> 06:29.000]  It's not about food. It's about keeping those ants in line.
[06:29.000 --> 06:40.000]  The Alex Jones Show. Because there is a war on for your mind.
[06:40.000 --> 06:48.000]  Ladies and gentlemen, today is Sunday, the 13th day of April, 2014.
[06:48.000 --> 07:09.000]  I'm your host Alex Jones. Yesterday, on April 12, 2014, on that Saturday, we saw one of the most historical events in not just US history, but world history.
[07:09.000 --> 07:22.000]  And it will become a defining moment in the future of this republic and whether this country will write itself or whether we will go down the drain as so many other corrupt empires have.
[07:22.000 --> 07:36.000]  It's the top story, read linked up on InfoWars.com and PrisonPlanet.com. Historic, feds forced to surrender to American citizens.
[07:36.000 --> 07:54.000]  This story that I'm going to get into is so incredibly important and the corporate Decepticon media from CNN to Fox News, I've got to say, did their best to deceive their viewers.
[07:54.000 --> 08:01.000]  MSNBC, of course, was just calling people terrorist outright, so Fox was good compared to them.
[08:01.000 --> 08:08.000]  This is a story about media manipulation. It's a story about land rights. It's a story about courage.
[08:08.000 --> 08:23.000]  It is so Americana what happened. I was watching it live and live video feeds with David Knight and Joshua and jaw reporters in Southern Nevada there at the Bundy 600,000 acre ranch.
[08:23.000 --> 08:52.000]  As I saw more than 200 power military BLM along with state police and others pointing high powered rifles at a crowd of close to 1,000 people saying that if they cross the line on the Bundy's grazing land, which he owns the rights to, owns the surface rights, the water rights, the forage rights,
[08:52.000 --> 09:05.000]  cut and dry. The governor's on record. People are ignorant. The mainstream media plays all these games, tries to say, well, he didn't pay his grazing fee that they announced 10 years ago when he wouldn't sell his property to him.
[09:05.000 --> 09:11.000]  We now learn to build a Chinese government controlled solar farm that Harry Reid and his son make money off of.
[09:11.000 --> 09:27.000]  And by the way, that broke two years ago, but we broke it on Friday that he was connected into it. It was known that was going on. But the fact that now this controversy had blown up with a standoff.
[09:27.000 --> 09:52.000]  No one had pointed this out. Well, we did DrudgeReport.com picked it up and it was rated by Alexa and four other rating services as the number one hands down story on the Internet with tens of millions of people reading that one page alone on info wars.com over 100,000 sites as they have an aggregate system copied our story and posted on theirs.
[09:52.000 --> 09:59.000]  It's unknown how many people saw it. It's still linked up on DrudgeReport.com.
[09:59.000 --> 10:06.000]  Now, if you're a new listener and you say what's going on, let me explain what happened because this is so incredible. I don't have words to even describe it.
[10:06.000 --> 10:23.000]  Then we'll get into the latest in the economy, Ukraine, huge IRS announcements, a 4.9 magazine earthquake, Rattle Central, Idaho, a lot of interesting things that are happening, big anti second amendment news coming up. Can the government seize your tax refund to pay a relative's debt?
[10:23.000 --> 10:38.000]  The courts are saying, yes, CBS News. From 1960, you're going to have to pay your daddy's debt 70 and other 54 years later.
[10:38.000 --> 10:47.000]  So that's all going to be coming up today. Just the bizarre tyranny we're facing. First off, I just want to say this.
[10:47.000 --> 10:54.000]  Upwards of 90% of Nevada is now claimed to be federal. Another 5% state, so 5% is privately owned.
[10:54.000 --> 11:06.000]  The Bundy's are on record and it's filed with the state once it became a state that in 1877 they founded the Bundy Ranch that seven generations had ranched and farmed on.
[11:06.000 --> 11:13.000]  And then 10 years ago, they forced all the other farmers and ranchers to sell 52 families. Bundy would not sell.
[11:13.000 --> 11:18.000]  He has like 18 kids or something. I mean, just a true Americana.
[11:18.000 --> 11:30.000]  And as this built the last few weeks, infowars.com was the first national, international outlet to cover it.
[11:30.000 --> 11:43.000]  Drudge, the largest news aggregator in the world, the powerhouse, because it could set the agenda of what people are looking at and reading. Picked up our story. It became a national story.
[11:43.000 --> 11:53.000]  Fox News, CNN picked it up. All the big national talk show hosts picked it up. And there was a big debate. Some national talk show hosts understood it about grazing rights and common law and all the rest of it.
[11:53.000 --> 12:02.000]  And it was very disappointing to see Fox News and other people that I'm not even going to name. People, folks heard it, you know, saying the Bunnies are stealing from taxpayers.
[12:02.000 --> 12:13.000]  You're supposed to pay grazing rights. No, you're not when you were on the land and built the water pipes and the cisterns and the windmills in the last 100 plus years, last 140 plus years.
[12:13.000 --> 12:19.000]  I mean, my family is in ranching. My family got their land in Mexican land grants in 1829.
[12:19.000 --> 12:29.000]  Other parts of our family land that we still hold on to after Mexico was kicked out of Texas, we just moved in and said it was our farm.
[12:29.000 --> 12:38.000]  That's how that works. And guess what? It's ours today. So I know how this works. When you got a lot of land, you get land disputes and all the rest of it.
[12:38.000 --> 12:45.000]  So we've dealt with this my whole life. Okay. My dad goes to court all the time represents himself and wins dealing with land issues.
[12:45.000 --> 12:53.000]  So I know this whole situation and I went and looked it up and the governor came out and said, no, he's, he's got grazing and service rights and water rights.
[12:53.000 --> 13:00.000]  And the feds played on everyone's ignorance and said, man, you just got some crazy old guy on a cowboy hat out here.
[13:00.000 --> 13:12.000]  You know, mad folks, they had cattle crossing signs on the major state and federal highways out there. They had cattle guards fences. He put up pipes and windmills.
[13:12.000 --> 13:18.000]  His great, great, great granddaddy's put up. Some of those sisters were over a hundred years old rock.
[13:18.000 --> 13:29.000]  Sisters with wells where you see windmills, they pump water up where the wildlife comes to drink. It's an oasis for the turtles, the deer, the antelope, the cougars.
[13:29.000 --> 13:37.000]  This is how humans make the desert better. And it turns out there's natural gas and oil there. We've confirmed that.
[13:37.000 --> 13:48.000]  And we got the federal documents on Friday where Harry Reid and the Chinese backed company, it's a Chinese company, government backed Chinese company,
[13:48.000 --> 14:02.000]  have a deal starting on 129 mile at CBS News from Southern Nevada on his property where he has a service rights all the way up the western part of the state.
[14:02.000 --> 14:07.000]  And they were going to put a solar farm directly on that in the adjacenting ranches they've taken.
[14:07.000 --> 14:15.000]  And Harry Reid, just like Cylindra, all the rest of it, his family was right sitting in the middle of it. The head of the BLM, his former chief of staff.
[14:15.000 --> 14:26.000]  You want me to keep going here? And what really got folks mad was over the week, paramilitary BLM showed up, and if you were anywhere in the county on the side of the road,
[14:26.000 --> 14:35.000]  they would taser you and beat you and attack you, including women, and said no free speech and put a little orange free speech pigpen up,
[14:35.000 --> 14:42.000]  and said that's where you can go. And the governor said take that down. By the way, these are state highway right-of-ways, you can't do that.
[14:42.000 --> 14:48.000]  So the governor did get involved under some pressure, but it really got crazy.
[14:48.000 --> 14:58.000]  And everybody saw those Tiananmen Square style images of the German Shepherds attacking people, and the tasers going into men and women, and all the rest of it.
[14:58.000 --> 15:03.000]  Now, you can see those videos up on infowars.com.
[15:03.000 --> 15:12.000]  Drudge picked all that up while Fox and CNN and MSNBC would not show any of it at first, and would say this crazy old man's in there robbing people,
[15:12.000 --> 15:23.000]  basically stealing a taxpayer money, not paying range fees, which they arbitrarily threw on there, and which they had their corrupt federal courts rule.
[15:23.000 --> 15:31.000]  Well, what do you do when the courts become corrupt? At a certain point, the juries, the grand juries, and the people have to nullify them, and that's what happens.
[15:31.000 --> 15:41.000]  So they were going to march on to the property yesterday morning, and the sheriff backed off, and the BLM backed off, and they said okay.
[15:41.000 --> 15:46.000]  They said we are going to pull out of here and not round up any more of your ainer or head of cattle.
[15:46.000 --> 15:49.000]  But the 300 they had in pens, they weren't going to release.
[15:49.000 --> 15:52.000]  He gave them an ultimatum of one hour, and said we're coming through your line.
[15:52.000 --> 15:58.000]  And folks, the police on loudspeakers said we're going to shoot you, and they still walked past them.
[15:58.000 --> 16:02.000]  Alex Jones here to tell you about how you can help spread liberty worldwide,
[16:02.000 --> 16:08.000]  while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[16:08.000 --> 16:12.000]  More than a decade, my favorite coffee has come from the high mountains of southern Mexico,
[16:12.000 --> 16:16.000]  where the Chiapas farmers grow their unique shade-grown Arabica beans.
[16:16.000 --> 16:21.000]  We have now managed to secure these sought-after beans in a highly customized blend.
[16:21.000 --> 16:28.000]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfowarsLife.com.
[16:28.000 --> 16:35.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[16:35.000 --> 16:42.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[16:42.000 --> 16:46.000]  Dropped by the site today, order a bag or two, and I don't think you're going to be disappointed.
[16:46.000 --> 16:50.000]  Available in original or with our immune support infusion blend.
[16:50.000 --> 16:56.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[16:56.000 --> 16:59.000]  Available at InfowarsLife.com.
[16:59.000 --> 17:06.000]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine,
[17:06.000 --> 17:10.000]  a practice now banned in nations around the world.
[17:10.000 --> 17:12.000]  Guess what else is in the halogen family?
[17:12.000 --> 17:13.000]  Fluoride.
[17:13.000 --> 17:15.000]  Ladies and gentlemen, Alex Jones here.
[17:15.000 --> 17:21.000]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[17:21.000 --> 17:29.000]  It's the good halogen on the periodic table and the results are on record, reports documented, a 15-point IQ increase
[17:29.000 --> 17:32.000]  in areas that had previously been deficient in iodine.
[17:32.000 --> 17:34.000]  Bottom line, iodine is important.
[17:34.000 --> 17:41.000]  Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[17:41.000 --> 17:46.000]  You will find Survival Shield nascent iodine exclusively at InfowarsLife.com.
[17:46.000 --> 17:51.000]  InfowarsLife Survival Shield nascent iodine isn't just for emergencies.
[17:51.000 --> 17:52.000]  I take it every day.
[17:52.000 --> 17:58.000]  That's InfowarsLife.com or call toll-free 888-253-3139.
[17:58.000 --> 18:03.000]  The globalists have controlled the mainstream media for a long time, but now they're expanding,
[18:03.000 --> 18:06.000]  making the weaponization even more vicious and deceptive.
[18:06.000 --> 18:09.000]  All the major networks are state-run.
[18:09.000 --> 18:11.000]  We are partnering this year with the NFL.
[18:11.000 --> 18:16.000]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[18:16.000 --> 18:19.000]  MSNBC tells us that our children belong to the state.
[18:19.000 --> 18:24.000]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families
[18:24.000 --> 18:26.000]  and recognize that kids belong to whole communities.
[18:26.000 --> 18:31.000]  It is more important than ever to realize that we are not the alternative media.
[18:31.000 --> 18:33.000]  We are the true media.
[18:33.000 --> 18:35.000]  The establishment dinosaur press is dying.
[18:35.000 --> 18:39.000]  We are in an information war and we are losing that war.
[18:39.000 --> 18:43.000]  Join us at InfowarsNews.com and PrisonPlanet.tv.
[18:43.000 --> 18:46.000]  Members can share their memberships with up to 11 people.
[18:46.000 --> 18:54.000]  By subscribing, you will literally be buying war bonds in the Infowar to expand our operation in the face of the tyrants.
[18:54.000 --> 18:58.000]  Join us at PrisonPlanet.tv.
[18:58.000 --> 19:02.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[19:02.000 --> 19:07.000]  This year alone, over 300,000 people in West Virginia had their drinking water contaminate.
[19:07.000 --> 19:11.000]  What are the health effects of having these drugs in our drinking water?
[19:11.000 --> 19:14.000]  It's forced medical treatment without the consent of residents.
[19:14.000 --> 19:19.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family
[19:19.000 --> 19:21.000]  from the harmful toxins and heavy metals in your tap water.
[19:21.000 --> 19:25.000]  On average, the county says it sprays with glyphosate at least once a week.
[19:25.000 --> 19:30.000]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[19:30.000 --> 19:36.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[19:36.000 --> 19:40.000]  All right, it is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[19:40.000 --> 19:44.000]  It is our responsibility to protect our families. The establishment's not going to do it.
[19:44.000 --> 19:47.000]  It's time to take action. It's time to filter our water.
[19:47.000 --> 19:54.000]  Visit InfowarsStore.com and use promo code WATER to get 10% off their entire family of incredible products.
[19:54.000 --> 19:59.000]  Or call toll-free 888-253-3139.
[19:59.000 --> 20:03.000]  Coast to coast, direct from Austin.
[20:03.000 --> 20:07.000]  You're listening to the Alex Jones Broadcasting Network.
[20:34.000 --> 20:39.000]  Let's call it Nevada, that's what it is. This happened in 2014.
[20:39.000 --> 20:44.000]  And says, farmers and ranchers that have used this for over 100 years, you can't anymore.
[20:44.000 --> 20:48.000]  Well, they dumped tea in Boston Harbor.
[20:48.000 --> 20:52.000]  They went around and tarred and feathered, quote, government officials.
[20:52.000 --> 20:58.000]  And the red coats marched out and fired the shot heard around the world at Lexington and Concord.
[20:58.000 --> 21:02.000]  And then the rest of the wars followed.
[21:02.000 --> 21:06.000]  And famously, they're at Lexington up on the hill as the red coats marched up saying,
[21:06.000 --> 21:12.000]  turn in your guns to the local militia that was the police of the day, basically, the security of the day.
[21:12.000 --> 21:17.000]  Most of them were veterans. Most of them former red coats themselves.
[21:17.000 --> 21:27.000]  They said, famously, men, don't fire first, but if they fire and want a war to start, let it begin here today.
[21:27.000 --> 21:32.000]  And that actually happened at this event.
[21:32.000 --> 21:39.000]  When I sent David Knight and Josh Owens, two of our great reporters, they're both reporters that Josh ran camera out there.
[21:39.000 --> 21:43.000]  I mean, I knew it was important. I knew that they were fighting to bring attention to land rights.
[21:43.000 --> 21:49.000]  I had no idea that one of the most historical events in my lifetime would have happened,
[21:49.000 --> 21:53.000]  because it's not just about this ranch or these cattle. It's about the feds.
[21:53.000 --> 21:58.000]  We have the loudspeaker audio and video. It's up on infowars.com. You got to see this for yourself.
[21:58.000 --> 22:06.000]  From 300 yards away, bullhorning, we will shoot you. We will kill you if you cross that line.
[22:06.000 --> 22:12.000]  And the people marched slowly up saying, you go ahead and do that. Men, women and children.
[22:12.000 --> 22:16.000]  And walked over the fences.
[22:16.000 --> 22:19.000]  And as they got up to the emplacements, just like at the end of Viva Vendetta,
[22:19.000 --> 22:24.000]  when they're marching on the parliament and the military has been ordered to shoot them and they stand down,
[22:24.000 --> 22:32.000]  that literally happened. And then the BLM runs up and says, OK, stop here and we'll let the cattle out.
[22:32.000 --> 22:37.000]  Don't go all the way down to the pins and let them go. And we won't shoot you.
[22:37.000 --> 22:42.000]  And Bundy was reasonable and said, all right, we'll wait for you to do that.
[22:42.000 --> 22:45.000]  And you got 30 minutes to clear out. This is all on video.
[22:45.000 --> 22:50.000]  This is big paramilitary, former military guys. You can all tell who've been in Fallujah Yunan.
[22:50.000 --> 22:54.000]  Because look at these guys. This is a bunch of military vets ready to attack a bunch of other military vets.
[22:54.000 --> 23:01.000]  I saw some of the militias there. Some were ragtag, you know, country folks. Others, from what I've seen,
[23:01.000 --> 23:04.000]  I just learned to be able to identify it were probably obviously infiltrators. That's going to happen.
[23:04.000 --> 23:10.000]  But most of them, I could tell, were special forces operators. And a lot of them, like they were currently,
[23:10.000 --> 23:15.000]  they look like Navy SEALs, people that were protecting Bundy and stuff when Bundy was given the speech yesterday.
[23:15.000 --> 23:19.000]  And I could look at their faces and the pride and everything else. They were ready to go to war, folks.
[23:19.000 --> 23:23.000]  It was not fake. I've never seen anything like it. It literally brought tears to my eyes.
[23:23.000 --> 23:26.000]  I was at home watching it on infowars.com with the video feed.
[23:26.000 --> 23:32.000]  Roadreport.com had it up there at the top. We had a half million viewers when they cut the data feeds.
[23:32.000 --> 23:35.000]  And almost all the data feeds went down. There were a bunch of streams out there.
[23:35.000 --> 23:38.000]  Imagine a half million viewers on there at one time.
[23:38.000 --> 23:42.000]  And I was watching it myself and couldn't pull myself away from it.
[23:42.000 --> 23:47.000]  Couldn't pull myself away. David Knight was marching at the head with the people.
[23:47.000 --> 23:53.000]  And the first folks that showed up, it was just a few dozen because they, you know, drove in cars
[23:53.000 --> 23:56.000]  and then the cowboys were behind them. But it was over a thousand people total.
[23:56.000 --> 24:00.000]  They blocked the highway.
[24:00.000 --> 24:04.000]  Bundy got up there and gave more. He said, all right, that's it. Blocked the highway.
[24:04.000 --> 24:09.000]  The sheriff's not going to act. This is criminal. We're marching in there. We're getting the cattle back.
[24:09.000 --> 24:17.000]  And they said, go ahead to shoot us. And you've got paramilitary as they're marching up in high death video at infowars.com from 300 yards away.
[24:17.000 --> 24:21.000]  Guys, punch up my computer. I'll show TV viewers that are watching on prisonplanet.tv.
[24:21.000 --> 24:25.000]  Everybody can watch at infowars.com. You've got to see this video.
[24:25.000 --> 24:30.000]  Yeah, punch up this computer over here if you can. It's an infowars.com story.
[24:30.000 --> 24:38.000]  Feds back down in new Bundy standoff agree to release cattle.
[24:38.000 --> 24:43.000]  That's the story up on infowars.com on the front page.
[24:43.000 --> 24:51.000]  And you can see when they first started massing the cowboys and all of the people, you go to featured news.
[24:51.000 --> 24:54.000]  And it's about six stories down in featured news.
[24:54.000 --> 25:00.000]  The headline is feds back down in new Bundy standoff agree to release cattle.
[25:00.000 --> 25:07.000]  Now, this was so incredibly epic to see this unfold.
[25:07.000 --> 25:12.000]  They had armored vehicles. They had helicopters. They had over 200 armed BLM.
[25:12.000 --> 25:15.000]  If you scroll down, you can see armored vehicles.
[25:15.000 --> 25:25.000]  Now, we're going to come back from break and play the six minute video that is the top story on infowars.com.
[25:25.000 --> 25:32.000]  There are videos I shot from home yesterday on my iPhone covering all this that have 200,000 views apiece just from yesterday.
[25:32.000 --> 25:36.000]  They'll get over a million. You think I'd be happy about that? I'm not. That's just my commentary.
[25:36.000 --> 25:43.000]  David Knight's reporting and what Josh Owens put together last night in her hotel room after all this happened from high def
[25:43.000 --> 25:47.000]  is some of the most powerful video you will ever see in your life.
[25:47.000 --> 25:51.000]  And the mainstream media CNN MSNBC would not show this.
[25:51.000 --> 25:56.000]  Fox had a brave cameraman that marched up with David Knight and they threatened to kill him.
[25:56.000 --> 26:01.000]  And he kept marching with his TV camera up to them with us.
[26:01.000 --> 26:07.000]  Then the reporter two miles away up on a hill with the Fox TV truck and David Knight flying back into night.
[26:07.000 --> 26:10.000]  We're going to have this for you tomorrow. David Knight shot on Fox that night.
[26:10.000 --> 26:13.000]  Said, oh, the BLM just decided to go. They'd already got all the cows.
[26:13.000 --> 26:18.000]  They had to stand down. They marched over them while they said they were going to kill the men, women and children.
[26:18.000 --> 26:20.000]  We're going to shoot you. We're going to kill you on loudspeakers.
[26:20.000 --> 26:23.000]  That audio is coming up in the videos on infowars.com.
[26:23.000 --> 26:28.000]  And imagine by the time it hit Fox News, all the BLM just left. They're all happy.
[26:28.000 --> 26:32.000]  They didn't want people to get heat exhaustion out there.
[26:32.000 --> 26:34.000]  This is so incredible.
[26:34.000 --> 26:42.000]  The top story red linked on infowars.com is historic. Feds forced to surrender to American citizens.
[26:42.000 --> 26:49.000]  And you watch the six minute video. It is mind blowing video.
[26:49.000 --> 26:52.000]  And we've got to get it out to everyone we know.
[26:52.000 --> 26:56.000]  I'm going to retweet it at real Alex Jones during the break that's coming up.
[26:56.000 --> 26:59.000]  And I'm going to come back to radio listeners and play the audio.
[26:59.000 --> 27:05.000]  And again, David Knight gets back tonight and by tomorrow he's going to be hosting the show.
[27:05.000 --> 27:07.000]  He's done such a great job and he wants to do it.
[27:07.000 --> 27:10.000]  We're just going to give him and Josh Owens a victory lap.
[27:10.000 --> 27:14.000]  They're going to be hosting the show tomorrow. I'm going to be up here working, get administrative stuff done.
[27:14.000 --> 27:17.000]  But I mean, I'm just going to have him host the show.
[27:17.000 --> 27:23.000]  I mean, imagine my reporters marching up to and a lot of other media that was there was scared and wouldn't do it.
[27:23.000 --> 27:26.000]  They stayed up on the hill and did their live streams and all the rest of it.
[27:26.000 --> 27:33.000]  Our guys marched right up to the police saying the federal paramilitary, we're going to shoot you.
[27:33.000 --> 27:38.000]  We're going to kill you on loudspeakers and they marched right up to them and then went over the fence.
[27:38.000 --> 27:47.000]  It was simply out of the movie V for Vendetta with real cowboys, desert cowboys, toughest cowboys, hardest working cowboys.
[27:47.000 --> 27:55.000]  It's the toughest life for a rancher is in the desert and these guys were not playing games and it was simply incredible.
[27:55.000 --> 28:02.000]  And the feds back down a bunch of guys with their shaved heads and their paramilitary dotes and their felugia tattoos and the rest of it.
[28:02.000 --> 28:09.000]  And again, there were a lot of veterans on the side of the people, including folks that I know special forces when I see them.
[28:09.000 --> 28:15.000]  I mean, the real deal, there were a lot of them, a lot of them in plain clothes carrying guns and they were ready.
[28:15.000 --> 28:20.000]  They said, you want Lushenton, you want Concord, let's do it, get it on, pull the trigger feds.
[28:20.000 --> 28:26.000]  They told them, let's go and marched right up with their guns down. You go ahead and shoot us first.
[28:26.000 --> 28:34.000]  Those are patriots, ranchers, women, children, U.S. military, active duty, you name it, marching up when you want to shoot us.
[28:34.000 --> 28:39.000]  Go ahead, tough guys, you go ahead and kill us and it starts now. This is off the chart history.
[28:39.000 --> 28:44.000]  And by the grace of God and people's prayers, a lot of folks, I can see the comments on Info Wars with our live stream.
[28:44.000 --> 28:50.000]  It was just, I'm praying, I'm praying, I'm praying. And God helps those that helps themselves. People took action.
[28:50.000 --> 28:55.000]  This was incredible. This was so historic. And it shatters the mainstream media. It shatters the government.
[28:55.000 --> 29:18.000]  I'll explain why it's so big, but you know why it's big.
[29:25.000 --> 29:33.000]  This has been engineered by design. We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[29:33.000 --> 29:43.000]  To learn more, visit infowarshealth.com. The site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma.
[29:43.000 --> 29:51.000]  The fight against the New World Order starts with you and you can't stand against the machine of your sick, tired and obese when you visit infowarshealth.com.
[29:51.000 --> 29:58.000]  Be sure and check out the catalog with nearly 400 life-changing products and get free shipping when you sign up for auto-ship.
[29:58.000 --> 30:06.000]  Hi folks, Alex Jones here with some important information. I want to tell you about Matt Redhawk and his team of patriots over at MyPatriot Supply.
[30:06.000 --> 30:14.000]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed, and the charlatans willing to sell us out for a quick buck.
[30:14.000 --> 30:23.000]  Deciding to take action, a company run by patriots for patriots was born. MyPatriot Supply has never taken a loan or accepted outside funding.
[30:23.000 --> 30:29.000]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[30:29.000 --> 30:49.000]  It is rare to find companies who practice what they preach, and that's why I stock MyPantry with high-quality storable foods from MyPatriot Supply. Go to MyPatriotSupply.com for slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[30:49.000 --> 30:58.000]  That's 866-229-0927. Do business with someone who shares your values. ByPatriotsupply.com slash Alex.
[30:58.000 --> 31:10.000]  This is Alex Jones for InfoWarsLife.com. The latest in preparedness is now here, an electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[31:10.000 --> 31:15.000]  Concentrated to 30 parts per million in what has been dubbed the Survival Silver Solution.
[31:15.000 --> 31:25.000]  The new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family, and it's entirely free of toxic artificial additives that are loaded into many products.
[31:25.000 --> 31:33.000]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle, and it's not recommended for extended continual use.
[31:33.000 --> 31:43.000]  This is not a low-grade formula. We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver.
[31:43.000 --> 31:59.000]  Using electrical processes within a base of deionized water for your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com.
