[00:00.000 --> 00:20.000]  It's for Wars, tomorrow's news, today.
[13:45.000 --> 13:57.000]  In April of 75, North Vietnamese troops approached the southern capital of Saigon. President Gerald Ford ordered all U.S. troops and citizens out of the country.
[13:57.000 --> 14:01.000]  To permit the movement of refugees to the area of their choice.
[14:01.000 --> 14:14.000]  In the early hours of April 30, despite multiple flights with hundreds of evacuees and with time running out, Barry uttered three words that meant it was imperative for the U.S. diplomat to leave.
[14:14.000 --> 14:21.000]  So he comes up, gets on, we fly out with the ambassador and you make the call, you know, tiger, tiger, tiger, that means the ambassador's out.
[14:21.000 --> 14:36.000]  I'm embarrassed that the United States of America is being humiliated and is leaving an area that we had come to defend and we've been defeated.
[14:36.000 --> 14:50.000]  As embassy staff are evacuated, the Taliban is setting up an invasion into the capital city that could lapse into a bloodbath. In 2001, the Taliban abandoned Kabul following the U.S. invasion.
[14:50.000 --> 15:08.000]  At that time, Kabul's population was half a million. As the U.S. dug its heels into a two decade occupation, Kabul was transformed into a growing urban middle class center, exponentially skyrocketing into a population of 4.6 million.
[15:08.000 --> 15:23.000]  Meanwhile, Biden's reliance on a massive and highly trained Afghan military has already been defeated from one end of the country to the other, as Mazar Aishareef, the Afghan government's last stronghold, has fallen.
[15:23.000 --> 15:39.000]  Meanwhile, America watches a failing commander in chief in the first year of his presidency, mired in globalist directives, distracted with the targeting of American citizens and foreign policy disasters, vacationing at Camp David.
[15:39.000 --> 15:53.000]  The American knows, whether they want to or not, that a real U.S. president wouldn't be able to sleep or leave the White House under the unprecedented pressure and intense scrutiny threatening their legacy.
[15:53.000 --> 16:18.000]  We'll be right back. Stay with us.
[16:18.000 --> 16:28.000]  Now, Back in Stock just came back in yesterday. Very powerful, pure, tumeric, extract, tincture. Not a sure immune system, but for inflammation and a lot more.
[16:28.000 --> 16:36.000]  And then, sold out for more than six months because of supply chain breakdowns. We finally have the activated charcoal toothpaste with natural peppermint and so much more.
[16:36.000 --> 16:43.000]  Back in stock from Dr. Jones Naturals and the mouthwash with the activated charcoal and essential oils is back in stock.
[16:43.000 --> 16:50.000]  They're great products, they're high quality, and they fund the InfoWars, so thank you all for your support. Check them out today at InfoWarsStore.com.
[16:50.000 --> 17:00.000]  The sale runs for only one week. It is the booster bodies, natural defenses, super sale, and another part of the sale ending is the privacy pouches for your cell phone.
[17:00.000 --> 17:13.000]  Let's go back in time, say, to the mid-1990s. And then imagine a science fiction movie set in the year 2020, where a world government's being established, where members of Congress and former presidents are censured by big tech,
[17:13.000 --> 17:23.000]  and where if you don't take an experimental injection that grows blood plots and prions all over your body, then you're not allowed to fly on an airplane.
[17:23.000 --> 17:32.000]  Think about that, because that's where we are. Imagine just 20, 30 years ago, tell just five years ago, if somebody told you this would be happening.
[17:32.000 --> 17:41.000]  But it is happening now. And then they tell you, oh, sorry, it's not a vaccine, it's a gene therapy, and it doesn't really work, so you've got to take it every few months.
[17:41.000 --> 17:49.000]  And the people that have submitted say, great, I want to take it all the time so I can go outside and not get sick from COVID, even though it gets you sick from COVID.
[17:49.000 --> 17:56.000]  And now there's record numbers of really sick people from the sloughing, the shedding of the virus. And that's in mainline studies.
[17:56.000 --> 18:20.000]  Bill Gates and Fauci did this, need to go to prison for it right now.
[18:27.000 --> 18:36.000]  It's back in stock at infowarstore.com, discounted because of the COVID lockdown, because of the globalist siege on small businesses and companies in America.
[18:36.000 --> 18:47.000]  It's not been available for over six months, but now it's back in stock and it's available in only two places, infowarstore.com and drjonesnaturals.com.
[18:47.000 --> 19:00.000]  It is our activated charcoal toothpaste and mouthwash. So get your activated charcoal toothpaste, activated charcoal mouthwash with central oils and more at infowarstore.com and fund the info war, a true 360 win.
[19:17.000 --> 19:27.000]  And so even though it seems like the globalists are winning, the truth is they've had to come out of the open to attack human freedom because they're actually losing.
[19:27.000 --> 19:36.000]  We have forced them out in the open. So as bad as these times are, and a lot of negative things are about to happen, realize humanity is winning.
[19:36.000 --> 19:46.000]  You've got to trust in the plan of God and trust in the plan of God's justice. That is invincible. That is ethereal, timeless and unstoppable.
[19:46.000 --> 19:56.000]  So don't trust in man, trust in God to lead God and direct your soul and then take action against the globalists and realize you've got my commitment from Alex Jones and my crew to you.
[19:56.000 --> 20:20.000]  We will never back down from the globalists and we will never surrender.
[20:27.000 --> 20:39.000]  Coming to you live from deep in the heart of Texas, broadcasting worldwide, I'm Alex Jones, your host on this August 15 Sunday transmission.
[20:39.000 --> 20:44.000]  Thanks so much for joining us.
[20:44.000 --> 21:04.000]  Okay, let's just plow right into the big story. And it's not the fall of Afghanistan. It's no, it's the fall of Western civilization by design by the globalist part of their post industrial agenda 2030 plan that I've been warning of for decades that we're now in the middle of.
[21:04.000 --> 21:16.000]  So here's the headline. It's on info wars.com. It's an RT article. Biden DHS officially designates anti lockdown protesters as terrorists.
[21:16.000 --> 21:42.000]  You can go read the whole article. Here's NBC News potential terror threats. Number one terror threat to Homeland Security Bulletin opposition to COVID measures claims of election fraud. Believe Trump can be reinstated. And in the RT article, and in the NBC article, they have links to the memos links to all of the information there for you to see that for yourself.
[21:42.000 --> 22:03.000]  Now, here's where it all comes from. Remember, as soon as Biden got his way in through fraud in January of this year, now six and a half months ago, the first press conferences they had with General Milley and with Jen Psaki, and with all these people and the Justice Department was
[22:03.000 --> 22:19.000]  protesting the election is terror. And we're preparing to use the FBI CIA against the new terror threat, which is Trump supporters. And then they started saying about a few weeks later and people that don't like lockdowns that are coming.
[22:19.000 --> 22:34.000]  I said, wow, more lockdowns are coming. We already knew that. But then they started saying it. And then on page 10 of the national strategy for countering domestic terrorism came out two months ago. They made it official policy.
[22:34.000 --> 22:55.000]  They said any narratives of fraud in the recent general election. You put it back on screen for me. Thanks. The emboldening impact of the violent breach of the US Capitol conditions related to the COVID-19 pandemic and conspiracy theories promoting violence will almost certainly spur some one to try to engage in
[22:55.000 --> 23:12.000]  violence. So who tried to engage in violence last year in this year? It was the FBI cooking up terror plots with the Michigan Militia, which they were leading that particular group and it was all a setup. And it's come out in court. The FBI agent didn't just beat up his wife at a
[23:12.000 --> 23:29.000]  swing or sex party bashing her head bloody. He's so psychotic, reportedly, but then he turned over the audio files to the defense where they brag about setting them up and framing them. That's that's in the Michigan news.
[23:29.000 --> 23:47.000]  So there's one plot to kidnap a governor because of the lockdown. And that was the FBI creating the whole thing. And the head of the agent is such a looks like somebody would like rule of penitentiary or something like like the white supremacist wing.
[23:47.000 --> 24:01.000]  Not saying he's a white supremacist, but I mean, if I saw him pumping gas, I'd say that's a hardened con, probably a murderer, probably out after 20 years. And so just remember that's who they're hiring. That's what they're preparing for total war with us, ladies and gentlemen.
[24:01.000 --> 24:19.000]  And the entire leadership of the group was FBI. You can have you want type in Kalamazoo, FBI agent arrested for assaulting wife at sex party. And he's the lead guy. And I'm just pointing out the level of scum we're dealing here with now.
[24:19.000 --> 24:34.000]  I mean, that's who runs your government. That's who's in control of it now just discredited fraudulent garbage. Does that mean every agency's bad or every agent's bad? No, but the people they pick for dirty tricks like this are bad people.
[24:34.000 --> 24:54.000]  And this is a declaration of war against the American people. So clearly they're going to stage very soon. There he is. They're going to stage very soon terror attacks to blame it on us. That's the next card. That's the next move. That's what you should expect.
[24:54.000 --> 25:04.000]  Now, there it is. FBI agent charged with beating wife until she had blood all over her at sex party after sex party. So that's how this dude rolls.
[25:04.000 --> 25:25.000]  And again, evil people are arrogant and full of hutzpah bravada. He sent files before the sex party a week before two weeks before to the defense, admitting the whole setup.
[25:25.000 --> 25:37.000]  I mean, it's the enemy just falls in our hands that way because they're inherently bad people. Just incredible. I'm sorry. I'm digressing.
[25:37.000 --> 25:52.000]  So imagine in the year 2021, the southern border is completely wide open. There are people coming across with bubonic plague cases spreading all over the United States now in four states.
[25:52.000 --> 26:10.000]  They are pouring across with hundreds of tropical diseases that are extremely rare, even in the tropics that are now spreading all over the United States, but they're going to tell you that your five year old needs to wear a mask.
[26:10.000 --> 26:25.000]  That's just the cultic, evil, lazy, leftist teachers union wanting to swing their filthy weight around. And so I'm going to calm down next segment. I'm going to cover all the news.
[26:25.000 --> 26:45.000]  So just I've I've I'm not complaining. I spent my wife spent out of town. So most of my children are gone right now. And so I've been studying 12 hours a day, 12 hours a day.
[26:45.000 --> 26:58.000]  I studied about five hours Friday. I studied about 14 hours yesterday. And I studied about seven hours today. And I'm just too loaded for bear.
[26:58.000 --> 27:06.000]  I mean, let me let me just calm down and I'm going to come back and I'm going to restart the whole broadcast and I'm going to go right into all this.
[27:06.000 --> 27:16.000]  But do you understand what this means? I mean, this is horrible. And let me explain something really important here that I'll get into next segment.
[27:16.000 --> 27:25.000]  Compliance with all this evil is what keeps making it worse. Going along with this is why everything's falling apart.
[27:25.000 --> 27:35.000]  The Taliban are cavemen and they are terrible people and they keep little boys as sex slaves. Something actually the Democratic Party came out internal memos and said is kind of cool.
[27:35.000 --> 27:44.000]  And they let them have kidnapped children as young as three in rape dungeons all over the Afghan stand. I told you about that years ago, but now that's in the news.
[27:44.000 --> 27:57.000]  So they are a caveman pedophilic demon creature. The main line men are. And homosexuality is about 90% in Afghanistan, about 50% in the Middle East.
[27:57.000 --> 28:02.000]  That's why the left loves them. I mean, hell, they got giant grooming gangs in England, 10,000 girls, one town, 5,000 another.
[28:02.000 --> 28:09.000]  They're young as six years old. They complain. They chop them up, put them in meat kabob machines. And again, your new list, you think this sounds crazy.
[28:09.000 --> 28:18.000]  But he takes live babies, keeps them alive, scalps them, puts their brains and their hair on rats. And they chain people up and put maggots inside their brains, eat their brains.
[28:18.000 --> 28:23.000]  And they chain up vehicles and do it. I mean, that's all through. I can pull it all up for you right now.
[28:23.000 --> 28:32.000]  Okay. And the FBI just, you know, beats his wife up at sex parties. I mean, it's just hell upon earth. Do you understand?
[28:32.000 --> 28:44.000]  And then when I come back, I'm going to explain something. At least the Afghans stand up for themselves and don't comply. That's why the biggest, sickest, most evil system in the world can't get control of them because they won't bow.
[28:44.000 --> 28:53.000]  But we do whatever we're told and land in the free home of the brave. And so now the American Medical Association says they're going to take boy and girl off the reverse certificates.
[28:53.000 --> 29:00.000]  And now they're going to teach children as young as four to pick their own sex and sterilize them. That's just now breaking.
[29:00.000 --> 29:07.000]  What are champions made of? Here's a man who can show you.
[29:07.000 --> 29:32.000]  Trouble 8, 253, 33139, Trouble 8, 253, 33139, Trouble 8, 253, 33139 is the info store hotline.
[29:32.000 --> 29:39.000]  Trouble 8, 253, 33139 is the info store hotline. Trouble 8, 253, 3139 is the info store.
[29:39.000 --> 29:45.000]  InfoStore.com is simply the best. InfoStore.com beats out all the rest.
[29:45.000 --> 30:00.000]  Trouble 8, 253, 3139 is the info store hotline. Trouble 8, 253, 3139 is the info store hotline. Trouble 8, 253, 3139 is the info store.
[30:00.000 --> 30:05.400]  for only one week we're running boost your body's natural defenses super sale
[30:05.400 --> 30:10.720]  and we have the vitamin D3 gummies with calcium 50% off so essential for your
[30:10.720 --> 30:17.120]  immune system vitamin C zinc and rose hips very strong formula this is 50% off
[30:17.120 --> 30:21.480]  at infowarsstore.com now back at stock just came back in yesterday very
[30:21.480 --> 30:26.600]  powerful pure tumor extract tincture not as your immune system but for
[30:26.600 --> 30:30.640]  inflammation and a lot more and then sold out for more than six months because of
[30:30.640 --> 30:34.400]  supply chain breakdowns we finally have the activated charcoal toothpaste with
[30:34.400 --> 30:39.480]  natural peppermint and so much more back in stock from Dr. Jones naturals and the
[30:39.480 --> 30:43.040]  mouthwash with the activated charcoal and essential oils is back in stock
[30:43.040 --> 30:46.680]  these are great products they're high quality and they fund the info wars so
[30:46.680 --> 30:50.480]  thank you all for your support check them out today at info warsstore.com
[30:50.480 --> 30:55.480]  the sale runs for only one week it is the boost your body's natural defenses
[30:55.480 --> 30:59.480]  super sale and another part of the sale ending is the privacy pouches for your
[30:59.480 --> 31:03.400]  cell phone I preach about the dangers of cell phones all day long because
[31:03.400 --> 31:07.680]  they're super computers controlled by big tech that are spying on us everywhere
[31:07.680 --> 31:10.960]  we go what we do but because they have great cameras and great recording
[31:10.960 --> 31:15.360]  systems and great ways to communicate I still have one because this Trojan horse
[31:15.360 --> 31:19.200]  this for me the infire has a lot of power but when I'm not using it I lock it
[31:19.200 --> 31:23.800]  up in a high quality Faraday cage a privacy pocket at info wars store.com
[31:23.800 --> 31:28.000]  we finally got them back in stock the highest rated that fit almost all types
[31:28.000 --> 31:35.560]  of androids and iPhones at 50% off $14.95 they sell these babies for $29.95 all
[31:35.560 --> 31:41.920]  day long we've got a private label with info wars on them for $14.95 because I
[31:41.920 --> 31:45.960]  want you to get them and I want you to buy friends and family these systems to
[31:45.960 --> 31:50.240]  educate them about what these quote smartphones really are this is a great
[31:50.240 --> 31:53.400]  way to limit your phone time use it's a great way to spend more time with your
[31:53.400 --> 31:56.760]  family and it's a great way to know you're not being tracked by the criminal
[31:56.760 --> 32:02.280]  global system they're 50% off right now at infowarstore.com you say you want to
[32:02.280 --> 32:06.800]  fight tyranny you say you want to fund the second American Revolution I know
[32:06.800 --> 32:10.360]  you do that's why you're here so I'm encouraging all of you watching and
[32:10.360 --> 32:14.160]  listening right now to understand that there are really two places in the
[32:14.160 --> 32:17.920]  media that don't back down and to tell the truth that have great products that
[32:17.920 --> 32:21.760]  are self-funded and that's infowarstore.com with the supplements the books
[32:21.760 --> 32:26.240]  the films the water filters the air filters all of it and Mike Lindell and
[32:26.240 --> 32:30.840]  mypillow.com when you go to mypillow.com use promo code Alex you get the very
[32:30.840 --> 32:37.960]  best deals he's got 66% off up to that on shoes and beds and sheets and towels
[32:37.960 --> 32:43.960]  and pillows the list goes on and on made right here in America 360 wins so go to
[32:43.960 --> 32:48.640]  mypillow.com promo code Alex the best discounts out there the profit shares
[32:48.640 --> 32:52.600]  with us and helps fund the info war and continue to shop at infowarstore.com
[32:52.600 --> 32:57.360]  because we're sponsored by patriots like you and we're thankful and we will never
[32:57.360 --> 33:02.000]  back down to the globalist so thank you so much for your support
[33:02.000 --> 33:19.000]  you're listening to the Alex Jones show
[33:32.400 --> 33:54.240]  welcome back ladies and gentlemen of this live Sunday transmission I'm gonna be
[33:54.240 --> 33:57.920]  here for another hour and a half got some big special guests joining us I'll
[33:57.920 --> 34:03.640]  tell you about the moment and then one the only my good buddy Owen shroyer will
[34:03.640 --> 34:08.120]  be hosting the third and fourth hour which is called Sunday live this is the
[34:08.120 --> 34:12.880]  ocean show Sunday edition and Sunday live only has six minutes of ads on hour
[34:12.880 --> 34:16.880]  just for local stations we cut the network ads so there's less ads so
[34:16.880 --> 34:25.560]  powerful two hours every Sunday evening let me do this this segment because I am
[34:25.560 --> 34:30.600]  on information overload let me explain why I make such a big deal out of the
[34:30.600 --> 34:35.600]  fact that I'm not the one making these predictions now I am good at reading more
[34:35.600 --> 34:38.720]  globalist documents than pretty much anybody else does probably except their
[34:38.720 --> 34:45.040]  top people everybody's so specialized in business and in life and in media and in
[34:45.040 --> 34:48.640]  culture that somebody knows about golf or they know about rock and roll or they
[34:48.640 --> 34:52.200]  know about insurance policies or they know about race cars or they know about
[34:52.200 --> 34:57.600]  education and they know about their area of education well I'm a generalist and I
[34:57.600 --> 35:04.080]  read at least six seven hours a day and I thought it was a pretty big deal in
[35:04.080 --> 35:10.040]  June when they put out the new official terrorism policy and said we got more
[35:10.040 --> 35:13.360]  lockdowns coming and we're gonna say you're a terrorist if you're against
[35:13.360 --> 35:18.200]  these things and if you even criticize things you're aiding and abetting
[35:18.200 --> 35:21.840]  terrorists and we're gonna use the US Pentagon and military and I say against
[35:21.840 --> 35:26.040]  you I mean that's so illegal on a scale of one to ten ten being total tyranny
[35:26.040 --> 35:33.400]  zero being freedom it's a 9.7 and you know how frustrating it is that when
[35:33.400 --> 35:38.560]  this hit Friday night and Saturday and I trended at the top of Twitter politics
[35:38.560 --> 35:42.600]  and the top of Instagram people sent it to me everyone was marveling and
[35:42.600 --> 35:47.800]  debating how I knew this and playing clips of me saying it and even the clips
[35:47.800 --> 35:55.840]  people put out on the internet didn't have me showing you where see see see it's
[35:55.840 --> 36:00.360]  the frustration that people don't understand the reason I know what's
[36:00.360 --> 36:04.320]  gonna happen is not because I have a 200 IQ which I don't have it's because
[36:04.320 --> 36:11.120]  that's the enemy battle plan I have their damn playbook just like Steve
[36:11.120 --> 36:15.240]  Belichick keeps winning Super Bowl because it's well known he's fricking pays
[36:15.240 --> 36:20.800]  he steals their playbooks they all do it the point is is that we have the damn
[36:20.800 --> 36:25.800]  playbook and so let me explain the playbook to you okay let me explain the
[36:25.800 --> 36:31.560]  playbook to you this is a permanent world government Rockefeller Foundation
[36:31.560 --> 36:36.160]  cooked up plan cooperation lockstep they're never gonna end the lockdowns
[36:36.160 --> 36:39.960]  they're just gonna tighten them down loosen them up some tighten them down
[36:39.960 --> 36:44.120]  more loosen up son through successful approximation until you have a world ID
[36:44.120 --> 36:49.080]  card global carbon tax systems your phone tracking everywhere you go force
[36:49.080 --> 36:53.760]  gene therapies on a monthly basis of whatever the system wants to put into
[36:53.760 --> 36:59.360]  you whenever they want no more FDA process no more nothing just absolute
[36:59.360 --> 37:04.880]  total tyranny and by shutting down the world economy and calling small
[37:04.880 --> 37:09.680]  businesses not essential it will cause a massive collapse in productivity and a
[37:09.680 --> 37:13.440]  global depression which they will then use with their trillions of fiat money
[37:13.440 --> 37:20.920]  to buy up the planet and they've all written books about it Ted Turner Prince
[37:20.920 --> 37:27.080]  Philip David Rockefeller Bill Gates plow Schwab the big to presently I've
[37:27.080 --> 37:36.120]  read all their books I watch 20 hours of UNWHO hearings
[37:36.120 --> 37:46.200]  in December of 2019 and we put out a 30 minute boil down of 20 hours and there
[37:46.200 --> 37:49.320]  they're meeting in Switzerland and they said it's a total emergency everyone's
[37:49.320 --> 37:53.640]  waking up to us we're just given vaccines for the Bill and Melinda Gates
[37:53.640 --> 37:57.000]  Foundation and told to give them to people they're not even studied all of
[37:57.000 --> 38:00.640]  our frontline doctors are about to quit they're getting wobbly we've got to do
