[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[10:42.000 --> 10:47.000]  And then he says to the generals in the full clip, are you going to follow that order and they say, yes, sir.
[10:47.000 --> 10:55.000]  So that's Putin with the gun aimed at us, because the globalists have guns, our guns we've paid for, pointed at them,
[10:55.000 --> 10:58.000]  and nuclear weapons rolled up to their borders as well.
[10:58.000 --> 11:02.000]  He says, fine, we're taking the safety off.
[11:02.000 --> 11:05.000]  They've taken the nuclear safeties off.
[11:05.000 --> 11:10.000]  The keys are in, the codes are in, they're in launch mode.
[11:10.000 --> 11:12.000]  They're not having to put the keys in.
[11:12.000 --> 11:17.000]  One more death gone up, it's nuclear war.
[11:17.000 --> 11:19.000]  So that's where we are.
[11:19.000 --> 11:21.000]  And I'm sure our woke military is really going to scare them.
[11:21.000 --> 11:29.000]  I'm sure, you know, all the female generals and male generals have never even seen combat or actually read a military textbook,
[11:29.000 --> 11:33.000]  but pretend that they're these big heroes.
[11:33.000 --> 11:38.000]  I'm sure that sends major shivers of fear down the spines of the Russians,
[11:38.000 --> 11:42.000]  because let me tell you what Putin just showed the world, and I don't agree with what he did.
[11:42.000 --> 11:44.000]  I think he bit off more than he could chew.
[11:44.000 --> 11:52.000]  But see, when you've got a bunch of nuclear weapons and thousands of delivery systems, you combine off more than you can chew.
[11:52.000 --> 11:54.000]  That's a little secret.
[11:54.000 --> 11:57.000]  But see, the New World Order bit off more than it can chew.
[11:57.000 --> 12:02.000]  It started the fight, it rolled the weapons in, it pushed Russia into a corner,
[12:02.000 --> 12:13.000]  and so now we see people starting to act desperate, because Russia has in its ethos invasions by the Huns for hundreds and hundreds of years,
[12:13.000 --> 12:20.000]  invasions by the Muslims for over a thousand years, and then Napoleon and Hitler,
[12:20.000 --> 12:23.000]  and 20 million Russians died in World War II.
[12:23.000 --> 12:27.000]  Look it up, 22 million Germans died.
[12:27.000 --> 12:32.000]  The Russians killed about 18 million of those.
[12:32.000 --> 12:38.000]  So imagine, it's not just like, okay, we lose 600, 700,000 people in World War II,
[12:38.000 --> 12:42.000]  or 67,000 in Vietnam, and everybody felt it and knows it.
[12:42.000 --> 12:48.000]  That was a real war, but Russia lost 20 million people in World War II,
[12:48.000 --> 12:51.000]  and so it is in the consciousness, and that's what Putin said.
[12:51.000 --> 12:55.000]  He said, people always try to bully us, they always come up on our borders with weapons,
[12:55.000 --> 12:58.000]  and for the first time ever, Russia is not going to wait till you attack,
[12:58.000 --> 13:00.000]  and if you want to have a nuclear war, let's go ahead and have it.
[13:00.000 --> 13:03.000]  He actually says that in a 27-minute address.
[13:03.000 --> 13:09.000]  He also says you want to sexualize our children, you're a bunch of pedophiles, Hollywood's a bunch of devil worshipers,
[13:09.000 --> 13:14.000]  you want to destroy men and women and the family, and we're done, you want a nuclear war, let's just have one.
[13:14.000 --> 13:19.000]  I mean, it's unbelievable.
[13:19.000 --> 13:23.000]  I don't know what we're supposed to say at this point,
[13:23.000 --> 13:30.000]  but the Russians know that Hollywood on the left is not America, it is a disease, it is a cancer,
[13:30.000 --> 13:34.000]  but nevertheless, that cancer hijacked and stole the election,
[13:34.000 --> 13:42.000]  and that cancer has the nuclear weapons and all the space spacecraft, and the Russians aren't stupid.
[13:42.000 --> 13:45.000]  They know they'll only get off a fraction of their nukes in a war,
[13:45.000 --> 13:51.000]  it'll be enough to totally destroy North America.
[13:51.000 --> 13:58.000]  And that's why all the billionaires, all the big insiders have already high-tailed it out of the United States,
[13:58.000 --> 14:01.000]  they're all gone right now, almost all of them.
[14:01.000 --> 14:09.000]  They're in New Zealand, they're in Australia, they're up near the Arctic Circle in different bases in Northern Canada,
[14:09.000 --> 14:14.000]  private airfields, they're underground right now.
[14:14.000 --> 14:19.000]  While we all sit out here and talk about what's going on with college basketball,
[14:19.000 --> 14:23.000]  while we sit around and talk about how our gas prices are too high,
[14:23.000 --> 14:27.000]  and the Russians are, you know, 6,000 miles away,
[14:27.000 --> 14:38.000]  6,000 miles is five minutes away when a submarine's off your coast with a hypersonic missile.
[14:38.000 --> 14:42.000]  So by the time that Putin decided to hit the United States,
[14:42.000 --> 14:47.000]  I live 20 minutes from my house from my four-year-old daughter and my wife are right now.
[14:47.000 --> 14:52.000]  I'm so old now, my other kids are moved out.
[14:52.000 --> 15:00.000]  And by the time I got in my car and drove halfway home, there'd be a big flash in the sky and I'd be dead.
[15:00.000 --> 15:04.000]  That's where we are right now.
[15:04.000 --> 15:10.000]  So pray to God that people wake up and say no to this,
[15:10.000 --> 15:14.000]  because this is a Slavic civil war going on,
[15:14.000 --> 15:17.000]  and I've studied history, I'm addicted to it,
[15:17.000 --> 15:20.000]  and the Slavs just like the Japanese, hate the Chinese and vice versa,
[15:20.000 --> 15:23.000]  and then the Slavs are always killing each other,
[15:23.000 --> 15:27.000]  and they're always doing this, and it's just gone for over a thousand years,
[15:27.000 --> 15:30.000]  and it's a Slavic civil war.
[15:30.000 --> 15:34.000]  Everybody should just stay the hell out of it, ladies and gentlemen.
[15:34.000 --> 15:37.000]  You know when the Crips and Bloods are shooting each other in L.A.,
[15:37.000 --> 15:39.000]  do we send the military in?
[15:39.000 --> 15:41.000]  No, we need to stay out of it.
[15:41.000 --> 15:44.000]  They want to all kill each other, knock yourselves out,
[15:44.000 --> 15:47.000]  but make no mistake, it was George Soros and others,
[15:47.000 --> 15:51.000]  I'll play the clips, we come back, that let this damn fuse,
[15:51.000 --> 15:55.000]  and I hold Soros and the New World Order responsible,
[15:55.000 --> 16:00.000]  besides the ones that released the virus.
[16:00.000 --> 16:03.000]  I've been on air more than 25 years,
[16:03.000 --> 16:08.000]  and long before I started selling high-quality vitamin D3 eight years ago,
[16:08.000 --> 16:13.000]  I've been promoting people taking vitamin D3 because it is essential,
[16:13.000 --> 16:16.000]  and if you're not getting sunshine every single day,
[16:16.000 --> 16:19.000]  whether you're black or white or Hispanic, it doesn't matter,
[16:19.000 --> 16:24.000]  your body will be susceptible and wide open to so many of the threats that are out there.
[16:24.000 --> 16:27.000]  It's just like you need oxygen, you die in four minutes without oxygen,
[16:27.000 --> 16:31.000]  you die in five or six days without water, you die in a month without food.
[16:31.000 --> 16:35.000]  Well, that's because these key minerals and elements and vitamins
[16:35.000 --> 16:39.000]  are in the food that you need, and one of the most important for your immune system
[16:39.000 --> 16:41.000]  and your overall health is vitamin D3.
[16:41.000 --> 16:45.000]  We have the highest quality in winter sun with vitamin K
[16:45.000 --> 16:48.000]  that boosts all your body's offenses available right now
[16:48.000 --> 16:52.000]  for 50% off at infowarstore.com.
[16:52.000 --> 16:56.000]  Everybody, old, young, black, white, you need vitamin D3,
[16:56.000 --> 17:00.000]  this is the best quality out there, and it funds the info war, 50% off.
[17:00.000 --> 17:05.000]  The globalists are bombarding us with propaganda and with spiritual warfare
[17:05.000 --> 17:09.000]  and with poisons and chemicals added to the food, it's all come out.
[17:09.000 --> 17:11.000]  And they're doing that not because we're weak,
[17:11.000 --> 17:16.000]  but because we're made the image of God, the Creator, and we are powerful.
[17:16.000 --> 17:19.000]  And the social engineers fear that so much.
[17:19.000 --> 17:26.000]  So that's why I repeat that famous internet saying that nobody knows who first came up with the boy, is it true?
[17:26.000 --> 17:33.000]  The propaganda would not be necessary if the situation was hopeless.
[17:33.000 --> 17:38.000]  They need all their propaganda and all their lies and all their evil and all their cultural death
[17:38.000 --> 17:42.000]  because they know we are strong.
[17:42.000 --> 17:46.000]  And they know in the end they signed on the God of this world who is a loser.
[17:46.000 --> 17:50.000]  And that's why it's so important that everybody keep info wars in the air now more than ever.
[17:50.000 --> 17:52.000]  Because even if you don't believe in God,
[17:52.000 --> 17:55.000]  what the globalists are manifesting and setting up is Satanic.
[17:55.000 --> 18:00.000]  And we are opposing the one world government and the mark of the beast they just announced.
[18:26.000 --> 18:29.000]  We drive the ambulances. We direct your call.
[18:29.000 --> 18:33.000]  We are cooks and we are taxi drivers and we know everything about you.
[18:33.000 --> 18:37.000]  We process your insurance claims and credit card charges.
[18:37.000 --> 18:39.000]  We control every part of your life.
[18:39.000 --> 18:41.000]  We are the middle children of history,
[18:41.000 --> 18:46.000]  raised by television to believe that someday we'll be millionaires and movie stars.
[18:46.000 --> 18:48.000]  But we won't.
[18:48.000 --> 18:50.000]  And we're just learning this fact.
[18:50.000 --> 18:53.000]  So don't fuck with us.
[18:53.000 --> 18:59.000]  Support independent media at infowarstore.com.
[18:59.000 --> 19:01.000]  Mike in California, thanks for calling.
[19:01.000 --> 19:05.000]  I think we're barking up the wrong tree calling this gain of function research.
[19:05.000 --> 19:08.000]  Now if you read the actual 2014 legislation,
[19:08.000 --> 19:13.000]  the US government gain of function deliberative process and research funding
[19:13.000 --> 19:18.000]  pause on selected gain of function research involving influenza, MERS and ZARS viruses.
[19:18.000 --> 19:21.000]  There's nothing about ZARS-like viruses.
[19:21.000 --> 19:25.000]  And it's a research funding pause. It's not a stop. It's not a prohibition.
[19:25.000 --> 19:28.000]  It's when you come to a four-way intersection, there's the stops sign.
[19:28.000 --> 19:30.000]  You stop. You look both ways and then you proceed.
[19:30.000 --> 19:35.000]  And so it's also, it doesn't pause all gain of function, just selected gain of function.
[19:35.000 --> 19:39.000]  But they'll argue that this is actually characterization and qualification research.
[19:39.000 --> 19:42.000]  So, you know, Rand and others, you know, maybe Fauci was right.
[19:42.000 --> 19:45.000]  They don't quite know what they're talking about calling it gain of function.
[19:45.000 --> 19:47.000]  You know, that's why he didn't perjure himself.
[19:47.000 --> 19:48.000]  That's why he hasn't been arrested.
[19:48.000 --> 19:52.000]  Because they're literally creating new synthetic life forms that mimic what the viruses do.
[19:52.000 --> 19:55.000]  But in the main definition, it's still a gain of function.
[19:55.000 --> 19:58.000]  They're making something deadly that spreads more easily to hurt people.
[19:58.000 --> 20:00.000]  Thank you, Mike. We love you.
[20:00.000 --> 20:27.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[20:27.000 --> 20:32.000]  Welcome back to this live February 27th, Sunday edition of the Alex Jones show.
[20:32.000 --> 20:39.000]  Owen Schreuer is coming up at 6 to 8 p.m. with Sunday live right after me taking your calls.
[20:39.000 --> 20:41.000]  Special guest is so much more.
[20:41.000 --> 20:47.000]  Leo Zagami, who is a real expert on Russia and what's happening and a critic of Putin,
[20:47.000 --> 20:53.000]  is going to be joining us in the last 30 minutes of this hour as we try to show all the different angles of what's going on here.
[20:53.000 --> 20:57.000]  And I want to be very clear, because the left is trying to misrepresent things.
[20:57.000 --> 21:01.000]  I do not support an invasion of Ukraine. I am not happy about this.
[21:01.000 --> 21:06.000]  I have tried to show the Ukrainian concerns, those that are anti-Russian,
[21:06.000 --> 21:09.000]  the Ukrainian concerns of those that are pro-Russian,
[21:09.000 --> 21:14.000]  and the whole Slavic background in history, because it's all fascinating stuff.
[21:14.000 --> 21:17.000]  I mean, Putin tried to give people a history lesson on that,
[21:17.000 --> 21:20.000]  and a lot of folks said, just don't listen what he has to say.
[21:20.000 --> 21:25.000]  That's the stuff of nuclear war and death, to not listen to people.
[21:25.000 --> 21:30.000]  Even if they're your enemy, you should want to know who your adversary is, or your friend,
[21:30.000 --> 21:33.000]  or someone that you could fix things with.
[21:33.000 --> 21:38.000]  Knowledge is power. Knowledge is good in the hands of good people.
[21:38.000 --> 21:43.000]  Anybody that doesn't want you to listen to something, or see something, or read something has got a problem.
[21:43.000 --> 21:47.000]  Now, that's one of my criticisms of Putin in Russia.
[21:47.000 --> 21:51.000]  I think they've got an authoritarian background going back to the Tsars, to the Soviets,
[21:51.000 --> 21:55.000]  and they should more democratize that, but that's their issue.
[21:55.000 --> 21:58.000]  The point is, we're going the way of Russia here with free speech.
[21:58.000 --> 22:02.000]  In fact, in some ways, we've gotten much worse than Russia, so again, it's hypocritical.
[22:02.000 --> 22:06.000]  When I criticize Putin, it doesn't mean that, oh, we're the good guys,
[22:06.000 --> 22:11.000]  because we become just as bad of what we've allowed to rule over us.
[22:11.000 --> 22:15.000]  So here's Biden's thing, if the U.S. has a real shooting war, it can be the result of a cyberattack.
[22:15.000 --> 22:18.000]  Isn't that perfect? That's in Reuters. We have the video.
[22:18.000 --> 22:24.000]  Isn't that perfect way to escalate a war and not have proof of where the attack came from?
[22:24.000 --> 22:30.000]  And I'm not saying Russia might not do that, but with all the globalists and all of the Klaus Schwab's
[22:30.000 --> 22:36.000]  and Bill Gates is saying the next thing is cyberattack and power outages to heal the earth
[22:36.000 --> 22:41.000]  and to have the next level of the Great Reset, and they're the ones that cooked up the virus.
[22:41.000 --> 22:46.000]  They're the ones that released it. They're the ones that use it for their power grab.
[22:46.000 --> 22:49.000]  And now they're telling me Putin's about to do it.
[22:49.000 --> 22:52.000]  I mean, if Putin was running around all day saying what's about to happen,
[22:52.000 --> 22:56.000]  and if Putin stood to gain from it, I might actually look at Putin as the culprit.
[22:56.000 --> 23:03.000]  But no, I'm not looking at Putin, who's like a mile away in the woods like a turtle,
[23:03.000 --> 23:07.000]  and then you've got the fox in the henhouse telling me somebody's about to eat the hens
[23:07.000 --> 23:13.000]  and telling me it's Putin the turtle, when Bill Gates and George Soros is literally the fox
[23:13.000 --> 23:17.000]  with feathers hanging out of his mouth, he's already eaten a bunch of the hens.
[23:17.000 --> 23:23.000]  I mean, it's ridiculous, ladies and gentlemen, but let me digress as I've got so much to hit.
[23:23.000 --> 23:25.000]  I'm just overwhelmed here.
[23:25.000 --> 23:28.000]  Let me show you why the Russians are angry and why the Russians are upset,
[23:28.000 --> 23:36.000]  and then we'll get to Putin's nuclear war threat, which is wild and just everything that's unfolding.
[23:36.000 --> 23:38.000]  I want to know what's really going on here.
[23:38.000 --> 23:45.000]  Let's listen to George Soros seven and a half years ago after the overthrow of Ukraine.
[23:45.000 --> 23:50.000]  He brags that he got five billion estate department money to overthrow the elected government,
[23:50.000 --> 23:56.000]  where they did firebomb and shoot up the buildings and bomb the buildings and kill thousands of troops and all of it.
[23:56.000 --> 24:01.000]  In fact, a lot of the footage you see of, quote, Russians being firebombed and killed now and APCs on fire,
[24:01.000 --> 24:10.000]  that's actually from the government of Ukraine being overthrown by a NATO-backed color revolution eight years ago.
[24:10.000 --> 24:12.000]  Here's Soros.
[24:12.000 --> 24:20.000]  One of the things that many people recognized about you was that you, during the revolutions of 1989,
[24:20.000 --> 24:27.000]  funded a lot of dissident activities, civil society groups in Eastern Europe and Poland, the Czech Republic.
[24:27.000 --> 24:29.000]  Are you doing similar things in Ukraine?
[24:29.000 --> 24:37.000]  Well, I set up a foundation in Ukraine before Ukraine became independent of Russia.
[24:37.000 --> 24:47.000]  And the foundation has been functioning ever since and played an important part in events now.
[24:47.000 --> 24:55.000]  Do you think Ukraine will be able to assert a kind of independence from Russia and an alignment with the West?
[24:55.000 --> 25:02.000]  Not a specific alignment as a NATO, but a kind of orientation toward the West, or will the Russians always stop them?
[25:02.000 --> 25:15.000]  Putin will try to destabilize Ukraine, but the large majority of Ukrainians are determined to be independent of Russia.
[25:15.000 --> 25:31.000]  It won't be easy because Putin has staked his regime on destabilizing Ukraine because it's a threat to his regime in Russia.
[25:31.000 --> 25:43.000]  If you have freedom, free media and so on, and a flourishing economy, that would make his regime unsustainable.
[25:43.000 --> 25:53.000]  Okay, and then a few years later, when he was outgoing out of the Biden administration, he went on C-SPAN at the Council on Foreign Relations,
[25:53.000 --> 26:01.000]  that's British intelligence arm that took over part of our country, with Richard N. Haas and Biden, as the vice president says,
[26:01.000 --> 26:07.000]  that he basically puppet controls the new regime there after they overthrew the elected government.
[26:07.000 --> 26:11.000]  Here he is bragging of the world that they own Ukraine.
[26:11.000 --> 26:19.000]  A concrete example, I was, not I, but it just happened to be that was the estimate I got. I got all the good ones.
[26:19.000 --> 26:30.000]  So I got Ukraine, and I remember going over convincing our team, or others to convincing us that we should be providing for loan guarantees.
[26:30.000 --> 26:41.000]  And I went over, I guess, the 12th, 13th time to Kiev, and I was supposed to announce that there was another billion dollar loan guarantee.
[26:41.000 --> 26:50.000]  And I had gotten a commitment from Poroshenko and from Yatsenyuk that they would take action against a state prosecutor, and they didn't.
[26:50.000 --> 26:57.000]  So they said they were walking out to the press conference, and I said, we're not going to give you the billion dollars.
[26:57.000 --> 27:02.000]  They said, you have no authority. You're not the president. The president said, I said, call him.
[27:02.000 --> 27:07.000]  I said, I'm telling you, you're not getting the billion dollars. I said, you're not getting the billion. I'm going to be leaving here.
[27:07.000 --> 27:13.000]  And I think it was, what, six hours? I looked, I said, I'm leaving in six hours. If the prosecutor's not fired, you're not getting the money.
[27:13.000 --> 27:19.000]  Oh, son of a bitch. Got fired. If the prosecutor's not fired.
[27:19.000 --> 27:33.000]  So they make all these thug claims, act all tough, ship in $10 million of weapons, $5 million last year, attack all these Russian held areas, and the Russians are just like, OK, I guess we'll attack back.
[27:33.000 --> 27:44.000]  Because they created a proxy government, had a guy that was a TV star, that was the president as the TV star host, and then they install him and do all this.
[27:44.000 --> 27:51.000]  And Russia went crazy. Doesn't mean I agree with it. Doesn't mean I like it, but that's the left always doing whatever they want.
[27:51.000 --> 27:59.000]  And now here's Biden just a couple of days ago, not knowing who he is. So then these foreign adversaries see this and this scares them even more that there's such incompetent leaders.
[27:59.000 --> 28:04.000]  And they say, well, screw it. We got to show strength in the face of this. And Putin has said that. Here it is.
[28:04.000 --> 28:14.000]  George Jackson, congratulations. And the podium is yours. Let me pull this out for you. Where is it? There you go.
[28:14.000 --> 28:21.000]  You got it. OK. Say, the president can't do much. Thank you.
[28:21.000 --> 28:25.000]  Thank you.
[28:25.000 --> 28:38.000]  Doesn't know what planet he's on. We come back. I'm going to try to run through a ton of headlines and videos. But there's something else. I've got a bunch of clips that Democrats like Adam Schiff saying, we got to fight Russian Ukraine instead of over here.
[28:38.000 --> 28:50.000]  Send them heavy weapons, crush and kill Russians. And the Russians are watching this while it happens. And they see our major leaders saying crush them, destroy them. What the hell do you think is going to happen here?
[28:50.000 --> 28:57.000]  This is insane. And again, it's not like Russia is communist anymore. We are now.
[29:20.000 --> 29:27.000]  It's going to sell out very, very quickly because everybody needs this old, young, black, white. It doesn't matter. You need what's in winter sun.
[29:27.000 --> 29:39.000]  And then we have brain force ultra super fast acting, amazing, clean, neutropic system that is a compliment to brain force plus and of course, turbo force.
[29:39.000 --> 29:47.000]  All three of these are different formulas, but all three of them take your mind and take your focus and clarity and alertness to the next level.
[29:47.000 --> 29:58.000]  It is 40% off at infowarstore.com for a limited time. Thank you all for your support. If you haven't tried these products, you really need to because they are amazing infowarstore.com.
[30:17.000 --> 30:28.000]  Freedom that so many people fought and died and bled and sweat for. And now we're just throwing it all away.
[30:28.000 --> 30:36.000]  And I see the general public in a medically induced, scientifically induced, behavioral psychologically controlled trance.
[30:36.000 --> 30:52.000]  And I know we're being fed into this global speaker under and it's so incredibly sad. But this is the process of birth and then growth and then falling apart and then degenerating and collapsing and then coming back to life again.
[30:52.000 --> 31:00.000]  It's just the globalist are actively trying to steer and control this process of decimence and collapse to actually end the species as we know it.
[31:00.000 --> 31:07.000]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[31:07.000 --> 31:13.000]  Info wars has made it easier to make sure you're getting enough in your system with a supplement that contains both.
[31:13.000 --> 31:20.000]  This info wars life offering vitamin C plus zinc with rose hips should be your next purchase from the info wars store.
[31:20.000 --> 31:27.000]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[31:27.000 --> 31:38.000]  Natural chemicals found in the hips may even be helpful for a variety of health conditions including those with osteoarthritis and for those with pain after surgery studies have shown.
[31:38.000 --> 31:47.000]  As for vitamin C and zinc themselves you probably already know that they play an important role in nutrition, immune defense and the maintenance of your everyday health.
[31:47.000 --> 31:53.000]  It has been reported that intake of both is often inadequate even in affluent populations like here in America.
[31:53.000 --> 32:00.000]  So next time you visit be sure to check it out at infowarstore.com where we promise our rose hips don't lie.
[32:00.000 --> 32:04.000]  Sold out for months X3 is now back in stock.
