[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[00:05:01.088 --> 00:05:02.028]  Stay with us.
[00:05:02.028 --> 00:05:04.230]  I've always believed in nutrition and herbs.
[00:05:04.230 --> 00:05:12.294]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:05:12.294 --> 00:05:19.398]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:05:19.818 --> 00:05:24.419]  I just received my male vitality about three days ago, and I must say, that is some good stuff.
[00:05:24.419 --> 00:05:35.041]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:05:35.041 --> 00:05:41.523]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:05:41.523 --> 00:05:43.763]  I jump out of bed ready to fight these criminals every day.
[00:05:43.763 --> 00:05:47.724]  I look forward to waking up and taking my super male vitality and get the day started.
[00:05:47.904 --> 00:05:49.864]  It's not just the super male vitality.
[00:05:49.864 --> 00:05:54.025]  All the products in Infowarslife.com are simply amazing.
[00:05:54.025 --> 00:06:02.347]  Visit Infowarslife.com today to secure your super male vitality and other powerful products from Infowarslife.
[00:06:02.347 --> 00:06:08.508]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:06:08.508 --> 00:06:13.069]  Most people know that iodine deficiency has been a crisis around the world.
[00:06:13.069 --> 00:06:17.630]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:06:18.050 --> 00:06:20.972]  I discovered a product being developed by Dr. Group.
[00:06:20.972 --> 00:06:26.416]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:06:26.416 --> 00:06:33.801]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:06:33.801 --> 00:06:37.944]  And the results that I personally have had have been life changing.
[00:06:37.944 --> 00:06:38.625]  Nobody else.
[00:06:39.065 --> 00:06:43.048]  He's got iodine based on these pure crystals, ladies and gentlemen.
[00:06:43.048 --> 00:06:51.676]  This is innovating, and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:06:51.676 --> 00:06:55.939]  For a limited time, experience the ancient power of Survival Shield X2.
[00:06:55.939 --> 00:07:01.144]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[00:07:02.537 --> 00:07:04.839]  Hi, I'm Dr. Edward Group.
[00:07:04.839 --> 00:07:12.263]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:07:12.263 --> 00:07:23.071]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:07:23.071 --> 00:07:32.337]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:07:33.057 --> 00:07:37.118]  It's the strongest nascent iodine on the market today.
[00:07:37.118 --> 00:07:40.879]  It delivers 650 micrograms per drop.
[00:07:40.879 --> 00:07:42.939]  Experience the new formula.
[00:07:42.939 --> 00:07:45.519]  Experience the ancient purity.
[00:07:45.519 --> 00:07:46.840]  Shield your family.
[00:07:46.840 --> 00:07:48.660]  Survival Shield X2.
[00:07:48.660 --> 00:07:51.821]  Available now at Infowarslife.com.
[00:07:51.821 --> 00:07:55.781]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:08:09.569 --> 00:08:12.352]  He aligns himself with the truth.
[00:08:12.352 --> 00:08:14.675]  You're listening to Alex Jones.
[00:08:17.722 --> 00:08:41.302]  Ain't no mountain high Ain't no valley low Ain't no river wide enough, baby If you need me, call me No matter where you are No matter how far Don't worry, baby Just call my name I'll be there in a hurry You don't have to worry Oh, baby, there ain't no mountain high
[00:08:49.508 --> 00:08:54.095]  Boy, it's hard to turn that off, isn't it?
[00:08:54.095 --> 00:08:57.100]  Ladies and gentlemen, we're here.
[00:09:05.373 --> 00:09:07.114]  Monday through Friday from 11 a.m.
[00:09:07.114 --> 00:09:08.714]  until 2 p.m.
[00:09:08.714 --> 00:09:10.775]  Central Standard Time.
[00:09:10.775 --> 00:09:12.856]  Back weeknight, 7 o'clock Central.
[00:09:12.856 --> 00:09:16.137]  InfoWars Nightly News with our great crew.
[00:09:16.137 --> 00:09:20.699]  We appreciate all your support out there, listeners and viewers, and your prayers.
[00:09:20.699 --> 00:09:23.380]  I am your host, Alex Jones, and it is 8-7.
[00:09:23.380 --> 00:09:23.820]  It is August 7, 2014.
[00:09:23.820 --> 00:09:26.561]  We're going to be here for the next three hours.
[00:09:32.924 --> 00:09:36.227]  Again, every day, the news just gets more out of control.
[00:09:36.227 --> 00:09:41.111]  And I look back to 19 and a half years ago, first getting on air, and
[00:09:44.898 --> 00:10:06.243]  Thinking about the time to come when open world government and the planetary, authoritarian, totalitarian, autocratic technocracy would be established because Zbigniew Brzezinski, Carol Quigley, the Rothschilds, the Rockefellers, the UN, UNESCO, the eugenics boards all had told us they were going to do this.
[00:10:07.228 --> 00:10:16.250]  And everything that they'd said 20, 30, 40, 50, 60, 70, 80, 100 years before, they had already completed.
[00:10:16.250 --> 00:10:20.831]  Not always exactly the way they wanted to do it, but they were guiding our world.
[00:10:20.831 --> 00:10:25.031]  They were in control to a great extent.
[00:10:25.031 --> 00:10:32.973]  And being a student of history, just because I found it to be so informative, enlightening, entertaining, riveting, captivating,
[00:10:34.759 --> 00:10:39.341]  I knew that I was basically living in a science fiction movie.
[00:10:39.341 --> 00:10:42.023]  And I've been saying that for 19 years on air.
[00:10:42.023 --> 00:10:43.703]  We were living in a science fiction movie then.
[00:10:43.703 --> 00:10:47.425]  And we're living in even more of one now.
[00:10:47.425 --> 00:10:58.871]  It is fantastical and even more wondrous and even more bizarre because it's real.
[00:10:58.871 --> 00:11:00.872]  That's why I can be walking down the street in Austin
[00:11:03.410 --> 00:11:07.331]  And even see an actor or somebody that I like.
[00:11:07.331 --> 00:11:32.775]  And I don't even say hi to them, because compared to the cosmos, compared to all the incredible wonders in the universe, or bats flying around in my backyard and nesting in the outside fireplace, or my children playing, or the wonders of just life on this planet, it just doesn't even matter.
[00:11:34.622 --> 00:11:59.178]  And then I see the general public totally captivated and narcissistic, artificially conditioned to be so from birth, reading People Magazine and Us Magazine and everyone trying to act cool and strut around with all the trappings of power.
[00:11:59.178 --> 00:12:01.179]  It makes me almost want to just do my show from a
[00:12:03.410 --> 00:12:06.913]  Cabin in the woods or something.
[00:12:06.913 --> 00:12:17.963]  Or to run to the hills and do a one hour briefing once a week from a mountaintop or something.
[00:12:17.963 --> 00:12:21.106]  Because it's just, I need to get out of it.
[00:12:21.106 --> 00:12:22.267]  I need to get away from it.
[00:12:22.267 --> 00:12:24.209]  I need to unplug from it.
[00:12:24.209 --> 00:12:28.153]  Just being around it is so crushing to my spirit.
[00:12:29.755 --> 00:12:38.760]  Not that my spirit's crushed, it's expanding and energized and opening up to the universe and all of God's mysteries and wonders.
[00:12:38.760 --> 00:12:48.746]  It's so amazing to be alive, the gift of consciousness that I can recognize beauty and that you can recognize beauty and that we can share it together.
[00:12:48.746 --> 00:12:52.008]  It's just fantastic!
[00:12:52.008 --> 00:12:55.951]  But then, juxtaposed against all the good in the world,
[00:12:57.975 --> 00:13:02.357]  Is all the twisted lies and fraud.
[00:13:02.357 --> 00:13:05.559]  And the twisted lies and fraud myself.
[00:13:05.559 --> 00:13:14.484]  Just the fact that I have knowledge of good and evil and knowledge of how the globalists operate.
[00:13:14.484 --> 00:13:24.069]  I feel dirty even knowing it.
[00:13:24.069 --> 00:13:27.051]  It's like if you're walking along through a field and
[00:13:27.944 --> 00:13:44.898]  You come across a dead cow that's been dead for about a week, and maggots are literally pouring off of it, and other things like termites.
[00:13:44.898 --> 00:13:51.204]  People are usually mistaking a dead carcass on the side of the road and maggots for termites.
[00:13:51.204 --> 00:13:56.148]  You gotta try working on a ranch and being tasked to drag something like that off of the tractor.
[00:13:57.790 --> 00:14:01.493]  Which any farm boy's done.
[00:14:01.493 --> 00:14:05.756]  And you're not the dead horse or cow.
[00:14:05.756 --> 00:14:08.298]  But just dragging it away, you feel dirty and bad.
[00:14:08.298 --> 00:14:11.021]  You see what I'm saying?
[00:14:11.021 --> 00:14:15.044]  Nietzsche said, do not look into the abyss lest you become the abyss.
[00:14:19.949 --> 00:14:29.246]  And even though I have become informed and enlightened to a high degree, in my view, compared to people that are totally unconscious, that's no trick at all.
[00:14:31.087 --> 00:14:49.893]  Take the blinders off, admit you're being manipulated, admit there's a larger universe around you, admit that we're being bred like cattle and conditioned, and you will immediately jump four or five levels consciously, intellectually, spiritually, where you were previous, buying into the world.
[00:14:49.893 --> 00:14:53.234]  When you say the world, it's the artificial construct
[00:14:54.094 --> 00:15:08.347]  of the political system and the priesthood of the Illuminati that seek to control and shutter consciousness and free will in the name of giving you free will.
[00:15:08.347 --> 00:15:13.492]  They don't want you to have the real free will, the knowledge of good and evil.
[00:15:13.492 --> 00:15:17.276]  It's a riddle because in the garden they had free will
[00:15:18.237 --> 00:15:20.839]  But they didn't have the knowledge of good and evil yet.
[00:15:20.839 --> 00:15:26.022]  They were given the free will to be deceived and take the knowledge of good and evil.
[00:15:26.022 --> 00:15:33.886]  And then it was like a virus of evil understanding and evil technology.
[00:15:33.886 --> 00:15:45.693]  Not the technology's evil itself, the evil technology of mind warfare, of twisted thinking, of disinformation.
[00:15:54.525 --> 00:16:02.547]  And it's a riddle within a riddle.
[00:16:02.547 --> 00:16:06.869]  That we have free will, but then what did we get in the garden?
[00:16:06.869 --> 00:16:11.190]  Even though I don't believe in that and see it as a parable or an allegory, it's very helpful.
[00:16:11.190 --> 00:16:16.392]  To where they had the free will to eat of the fruit, but once they ate of the fruit, they became dead inside.
[00:16:18.766 --> 00:16:26.893]  They obviously weren't completely dead inside, but now they had that aspect to dark knowledge, dark logic, twisted thinking.
[00:16:28.362 --> 00:16:34.984]  And then those paradigms in ancient civilization, as civilization formed, began to spin out from that point.
[00:16:34.984 --> 00:16:50.448]  And then the priest, the early priesthoods across all cultures, would get the knowledge of good and evil, but then return people back to a false garden, where they believe they're innocent and don't really even understand free will.
[00:16:54.147 --> 00:17:07.727]  And then the priests create a world only based on the dark, twisted logic and the dark, twisted algorithms so that the people never even become free and intelligent and awake and open.
[00:17:10.475 --> 00:17:27.007]  So understand, you go from the perfect innocence of the garden, but free will, into the knowledge of good and evil, and then through the knowledge of good and evil, evil is purified, is built up to then invert things and remove the knowledge of good.
[00:17:29.122 --> 00:17:48.745]  Until there is a crystallized form of wickedness that then operates to destroy all life on the planet and rewrite it in a silicon, anti-free will system.
[00:17:48.745 --> 00:17:52.546]  And I'm not trying to lay out sophisticated things here.
[00:17:52.546 --> 00:17:54.606]  If you understand it, it's not sophisticated.
[00:17:54.606 --> 00:17:58.207]  If you don't understand it, it's because you don't have the knowledge of good and evil.
[00:18:00.049 --> 00:18:06.476]  You have it there, but it's never been activated in you.
[00:18:06.476 --> 00:18:14.185]  See, I'm not in the garden, but I'm back at the point of the knowledge of good and evil.
[00:18:14.185 --> 00:18:19.971]  And many people are at the point of the knowledge of good and evil, so that we have the knowledge of good and the knowledge of evil.
[00:18:22.950 --> 00:18:27.393]  See, we always had the free will, but the virus hadn't been injected yet.
[00:18:27.393 --> 00:18:31.796]  The knowledge, the data cube, had not been downloaded yet.
[00:18:31.796 --> 00:18:35.058]  The virus had not been downloaded yet.
[00:18:35.058 --> 00:18:36.979]  Because before, you were just good.
[00:18:36.979 --> 00:18:41.702]  When you get the knowledge of good and evil, you learn you were good, and now there's evil.
[00:18:41.702 --> 00:18:47.086]  So now, you can begin to look into the abyss, and when you dance with the devil, he don't change, baby.
[00:18:47.086 --> 00:18:48.107]  You change.
[00:18:48.107 --> 00:18:49.508]  I change.
[00:18:49.508 --> 00:18:51.469]  And that's why I am of the devil.
[00:18:53.680 --> 00:19:07.548]  This whole world has been already rewritten by the dark knowledge, by the dark matter, by the systems of twisted thinking.
[00:19:07.548 --> 00:19:08.508]  Does this make sense?
[00:19:08.508 --> 00:19:10.189]  Anybody in there?
[00:19:10.189 --> 00:19:11.410]  Total sense.
[00:19:11.410 --> 00:19:12.171]  Thank you.
[00:19:12.171 --> 00:19:12.731]  Yes.
[00:19:12.731 --> 00:19:13.651]  It's like a preacher here.
[00:19:13.651 --> 00:19:16.133]  I'm saying to the crowd out there, amen to that brother!
[00:19:17.469 --> 00:19:18.769]  No, I'm serious!
[00:19:18.769 --> 00:19:26.431]  And so I can sit here and cover all this incredible news, and the big guests we've got coming up today, and all of it.
[00:19:26.431 --> 00:19:36.573]  But in the final equation, the general public is out of their minds, mentally ill, is the word you could use.
[00:19:36.573 --> 00:19:40.094]  I mean, look at what they put up with.
[00:19:40.094 --> 00:19:41.194]  Look at what I put up with.
[00:19:41.194 --> 00:19:42.874]  Look at what you put up with.
[00:19:42.874 --> 00:19:47.135]  And it's when we break with the evil and say, we don't want to be part of this, this is bad.
[00:19:48.968 --> 00:19:51.873]  That we begin to turn the corner.
[00:19:51.873 --> 00:19:56.160]  It's the knowledge of good and evil that make you a choice that I want to be good.
[00:19:56.160 --> 00:19:59.165]  We'll be back with unbelievable news.
[00:19:59.165 --> 00:20:00.187]  I will get to all of it.
[00:20:00.187 --> 00:20:00.548]  Stay with us.
[00:20:01.983 --> 00:20:06.969]  Summer is here and nothing looks better than tan skin and white teeth.
[00:20:06.969 --> 00:20:10.353]  Hi, I'm Jonathan Greenhut, the CEO of Power Swabs.
[00:20:10.353 --> 00:20:15.940]  And if you want to have whiter teeth in 5 minutes, then try clinically proven Power Swabs.
[00:20:15.940 --> 00:20:20.826]  Power Swabs whitens teeth on average 2 shades in 5 minutes and 6 shades in 7 days.
[00:20:21.687 --> 00:20:26.529]  Better yet, it removes stains on natural teeth, as well as caps, crowns, and veneers.
[00:20:26.529 --> 00:20:35.113]  Power Swabs is so effective that thousands of professional dentists have used it nationwide, and now you can try it without paying a visit to the dentist.
[00:20:35.113 --> 00:20:38.494]  Call to whiten your teeth in five minutes, risk-free.
[00:20:38.494 --> 00:20:41.355]  Plus, get free shipping and handling by calling now.
[00:20:41.355 --> 00:20:41.435]  1-800-281-6805.
[00:20:41.435 --> 00:20:41.876]  That's 1-800-281-6805.
[00:20:48.018 --> 00:20:53.345]  I guarantee your friends, family, and co-workers will love your new Summer White Smile.
[00:20:53.345 --> 00:20:54.927]  Get your risk-free order at 1-800-281-6805.
[00:20:54.927 --> 00:20:55.168]  That's 1-800-281-6805.
[00:21:01.693 --> 00:21:05.717]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:21:05.717 --> 00:21:10.061]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:21:10.061 --> 00:21:13.684]  What are the health effects of having these drugs in our drinking water?
[00:21:13.684 --> 00:21:16.706]  It's forced medical treatment without the consent of residents.
[00:21:16.706 --> 00:21:23.973]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:21:24.193 --> 00:21:28.096]  On average, the county says it sprays with the glyphosate at least once a week.
[00:21:28.096 --> 00:21:32.480]  You filters cut out the glyphosate that is found in water supplies worldwide.
[00:21:32.480 --> 00:21:38.384]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:21:38.384 --> 00:21:42.427]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:21:42.427 --> 00:21:45.029]  It is our responsibility to protect our families.
[00:21:45.029 --> 00:21:46.511]  The establishment's not going to do it.
[00:21:46.511 --> 00:21:47.872]  It's time to take action.
[00:21:47.872 --> 00:21:49.533]  It's time to filter our water.
[00:21:49.693 --> 00:21:56.996]  Visit InfoWarsThor.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:21:56.996 --> 00:22:01.337]  Or call toll-free 888-253-3139.
[00:22:01.337 --> 00:22:07.839]  Quantitative easing, unemployment at depression levels, Europe financial system falling apart, China getting out of U.S.
[00:22:07.839 --> 00:22:08.600]  Treasuries.
[00:22:08.600 --> 00:22:14.321]  At the end of 2008, the time of TARP, the national debt was at $11 trillion, gold trading around $850 per ounce.
[00:22:15.962 --> 00:22:22.631]  Close to 2012, the national debt exceeded $16.4 trillion, gold doubled to $1,600 bronze.
[00:22:22.631 --> 00:22:25.876]  The $20 trillion threshold for the national debt is inevitable.
[00:22:25.876 --> 00:22:30.001]  Politicians in Washington have a ferocious appetite for spending and stimulus.
[00:22:30.001 --> 00:22:32.685]  What's worse, a printing press to finance.
[00:22:32.685 --> 00:22:33.486]  A hundred years ago,
[00:22:33.686 --> 00:22:38.449]  We had a gold standard to limit this madness, but now you have to adopt your own gold standard.
[00:22:38.449 --> 00:22:40.251]  Don't be fooled with paper promises.
[00:22:40.251 --> 00:22:46.895]  Get Midas Resources 10 reasons to buy gold free by calling 800-686-2237.
[00:22:46.895 --> 00:22:52.439]  Understanding the gold and silver market may be the only insurance you could have to avoiding the next economic crisis.
[00:22:52.439 --> 00:22:53.800]  Call 1-800-686-2237 and order your free copy.
[00:22:53.800 --> 00:22:54.380]  Again, that's 800-686-2237.
[00:23:00.965 --> 00:23:02.146]  Clean water at home.
[00:23:02.146 --> 00:23:03.566]  Clean water at the office.
[00:23:03.566 --> 00:23:04.887]  Clean water on the go.
[00:23:04.887 --> 00:23:11.130]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:23:11.130 --> 00:23:14.291]  Thousands of satisfied customers can't be wrong.
[00:23:14.291 --> 00:23:18.553]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:23:18.553 --> 00:23:19.033]  That's 877-886-3653.
[00:23:19.033 --> 00:23:20.394]  Helping thousands prepare since 2005.
[00:23:20.394 --> 00:23:20.674]  GoBerkey.com.
[00:23:30.478 --> 00:23:34.221]  Get the most important package of information you'll ever receive in your life for only $10.
[00:23:34.221 --> 00:23:45.149]  The package includes three books and seven DVD programs which cover biblical miracles and prophecy, The Shroud of Turin, The Third Secret of Fatima, What Really Happened to the Catholic Church, and more.
[00:23:45.149 --> 00:23:45.489]  Call 800-513-0029.
[00:23:45.489 --> 00:23:45.709]  That's 800-513-0029.
[00:23:45.709 --> 00:23:46.850]  Or go to VaticanCatholic.com.
[00:23:46.850 --> 00:23:47.671]  That's VaticanCatholic.com.
[00:23:47.671 --> 00:23:47.731]  800-513-0029.
[00:23:47.731 --> 00:23:48.111]  VaticanCatholic.com.
[00:24:13.746 --> 00:24:18.609]  Is it getting better?
[00:24:18.609 --> 00:24:22.192]  Or do you feel the same?
[00:24:22.192 --> 00:24:26.916]  Will it make it easier on you now?
[00:24:26.916 --> 00:24:34.282]  You've got someone to blame You said one love
[00:24:36.668 --> 00:24:53.980]  Your soul leaves you, baby.
[00:24:53.980 --> 00:24:56.962]  You don't care for it.
[00:24:56.962 --> 00:25:01.105]  You become a biological android serving the world system.
[00:25:01.105 --> 00:25:02.746]  Only responding to its stimuli.
[00:25:02.746 --> 00:25:04.467]  Empty.
[00:25:04.467 --> 00:25:05.348]  Beyond a slave.
[00:25:07.833 --> 00:25:16.460]  I want to open the phones up on this Thursday edition for first-time callers yet again on what you think the most important news issues are or any questions or comments you have.
[00:25:16.460 --> 00:25:18.142]  The toll-free number to join us is 800-259-9231.
[00:25:18.142 --> 00:25:18.202]  800-259-9231.
[00:25:18.202 --> 00:25:21.244]  Let me just read headlines and I'll go back into all of it.
[00:25:21.244 --> 00:25:21.665]  Bloomberg.
[00:25:21.665 --> 00:25:27.109]  Ebola cases mixed with malaria amid slow-motion disaster.
[00:25:27.109 --> 00:25:27.209]  Rare
[00:25:37.489 --> 00:25:42.352]  Recess hearing to deal with Ebola threat in Congress.
[00:25:42.352 --> 00:25:44.094]  Ebola spreads to Nigeria.
[00:25:44.094 --> 00:25:46.475]  Government declares emergency.
[00:25:46.475 --> 00:25:47.936]  Washington Post.
[00:25:47.936 --> 00:25:48.917]  AP.
[00:25:48.917 --> 00:25:57.223]  Spain priest with Ebola stable in Madrid hospital.
[00:25:57.223 --> 00:25:57.943]  That's not a typo.
[00:25:57.943 --> 00:26:00.005]  That's the headline from AP.
[00:26:00.005 --> 00:26:01.386]  Spain priest.
[00:26:01.386 --> 00:26:02.086]  Spanish priest.
[00:26:02.086 --> 00:26:03.207]  They said Spain priest.
[00:26:05.418 --> 00:26:06.318]  That's a terrible headline.
[00:26:26.769 --> 00:26:36.675]  What you need to know to survive an Ebola outbreak before the panic could potentially start, an excellent article up on InfoWars.com by Mac Slavo.
[00:26:36.675 --> 00:26:39.116]  I want to get on as a guest sometime.
[00:26:39.116 --> 00:26:42.178]  Another article by Michael Snyder on InfoWars.com.
[00:26:42.178 --> 00:26:47.501]  It is becoming clear we are not prepared for an Ebola pandemic.
[00:26:47.501 --> 00:26:51.323]  Yeah, why are they bringing Ebola patients to Germany, Spain, and the U.S.?
[00:26:51.323 --> 00:26:55.866]  Unprecedented, just absolute recklessness when they can't even contain it at hospitals in Africa.
[00:26:56.311 --> 00:26:57.312]  The truth about Ebola.
[00:26:57.312 --> 00:27:02.034]  Paul Joseph Watson on CBS with Dick Morris.
[00:27:02.034 --> 00:27:06.317]  And he breaks down that propaganda.
[00:27:06.317 --> 00:27:17.483]  Paul Joseph Watson joins Dick Morris on his CBS show to discuss how the feds are handling Ebola and media narratives concerning the crisis.
[00:27:17.483 --> 00:27:20.845]  Interesting headline there.
[00:27:20.845 --> 00:27:23.907]  Continuing, too big to fail has not ended.
[00:27:23.907 --> 00:27:25.168]  It's only gotten worse.
[00:27:26.107 --> 00:27:31.993]  Despite mission accomplished announcement, the big giant banks are worse than ever.
