[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[02:47.000 --> 02:56.000]  They tell us the attacks in Germany and the attacks in France with trucks running over people at Christmas parties and national anthem events isn't as long.
[02:56.000 --> 03:04.000]  They talk to us like we're idiots. But we all know the globalists are against Christmas and against any other system of Western culture.
[03:04.000 --> 03:11.000]  That's why at colleges and high schools and elementary schools across the nation, Christmas has been banned.
[03:11.000 --> 03:20.000]  They're banning the word holiday. They're even telling students they can't pass out Christmas cards. That's your free speech.
[03:20.000 --> 03:26.000]  Separation of church and state means we don't have a state-run religion. Doesn't mean we don't have free speech.
[03:26.000 --> 03:30.000]  But we do have a state-run religion now, and it's called political correctness.
[03:30.000 --> 03:35.000]  And it's a cult that's antithetical to our Western society and culture.
[03:35.000 --> 03:47.000]  Christianity and our Judeo-Christian roots is the heart of common law and the civilization we've built while not perfect is heads above any other system.
[03:47.000 --> 03:56.000]  In the freedom it delivers, in the choice it delivers, in the security it delivers, in the love and compassion it delivers.
[03:56.000 --> 04:02.000]  It's the West in Christianity that ended slavery worldwide. It's the West in Christianity that brought forward women's suffrage.
[04:02.000 --> 04:07.000]  It's the West in Christianity that we have to thank for everything we've got good today.
[04:07.000 --> 04:15.000]  And it's important for us to get on the offensive to the globalist and the fake feminist and the other social engineers that seek to make us weak.
[04:15.000 --> 04:24.000]  It's time to embrace again what made us strong. It's time to realize that we do have destiny. We do have providence.
[04:24.000 --> 04:27.000]  And that's why these snakes of the earth attack that.
[04:27.000 --> 04:35.000]  So for this Christmas season, I want to salute all of you of every race, color, and creed who are of the human race,
[04:35.000 --> 04:43.000]  and invite you to join us in celebration of Christmas, even if you're not a Christian, in defense of free speech,
[04:43.000 --> 04:54.000]  and in defense of Western civilization, in defense of beauty, in defense of families, in defense of free association and free will.
[04:54.000 --> 04:57.000]  Merry Christmas to all.
[04:58.000 --> 05:06.000]  Social media platforms are coming under fire as families of the Orlando nightclub shooting victims are suing Facebook, Twitter, and Google.
[05:06.000 --> 05:12.000]  And the federal complaint argues that these web platforms, quote, provided terrorist group support for ISIS,
[05:12.000 --> 05:15.000]  and the accounts they used to spread extremist propaganda.
[05:15.000 --> 05:22.000]  The families of these victims of the Orlando gay nightclub shooting on Monday this week filed a federal lawsuit against Twitter, Facebook, and Google
[05:22.000 --> 05:28.000]  for allegedly providing, quote, material support to ISIS, and helping them radicalize shooter Omar Mateen.
[05:28.000 --> 05:31.000]  In this complaint, it was filed in the Eastern District of Michigan.
[05:31.000 --> 05:39.000]  The families of Tevin Crosby, Javier George Reyes, and Juan Ray Moguero, they argue that the three web platforms provided the terrorist group ISIS
[05:39.000 --> 05:46.000]  with accounts they used to spread extremist propaganda, raise funds, and attract new recruits like Omar Mateen.
[05:46.000 --> 05:53.000]  Now, we've seen Facebook comment or fire recently for censoring real news, but it looks like they're giving a platform to ISIS,
[05:53.000 --> 05:55.000]  and victims' families are saying no more.
[05:55.000 --> 06:17.000]  For more, I'm Margaret Howe reporting for Infowars.com.
[06:26.000 --> 06:33.000]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[06:33.000 --> 06:38.000]  It pairs two forms of vitamin B12 into one explosive formula.
[06:38.000 --> 06:44.000]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes,
[06:44.000 --> 06:47.000]  but it also assists with many other functions of the body.
[06:47.000 --> 06:50.000]  Electrify your mind and body, and take your health to the next level.
[06:50.000 --> 06:57.000]  Experience the power of Secret 12 at InfowarsLife.com. That's InfowarsLife.com.
[07:21.000 --> 07:27.000]  For more information on the secret 12 by Infowars Life,
[07:27.000 --> 07:52.000]  visit www.infowarslife.com.
[07:52.000 --> 07:59.000]  That's InfowarsLife.com, or call 888-253-3139.
[08:22.000 --> 08:29.000]  We have dealt vicious debt blows to world government and the corporate crime syndicate's plans.
[08:29.000 --> 08:32.000]  Thank you for joining us for this worldwide transmission.
[08:32.000 --> 08:37.000]  Wednesday, the 21st day of December, 2016.
[08:37.000 --> 08:42.000]  I'm your host, Alex Jones, and this is The Infowar.
[08:42.000 --> 08:51.000]  The epic struggle against the New World Order anti-human crime syndicate is now going into high gear.
[08:51.000 --> 08:57.000]  Our attacks against the global escum are only going to intensify.
[08:57.000 --> 09:01.000]  Get ready and get used to victory.
[09:07.000 --> 09:15.000]  The theme of 2016 has been the triumph of individual will coming together for destiny.
[09:15.000 --> 09:24.000]  On our side, on the enemy side, it has been one of abject delusion and arrogance.
[09:24.000 --> 09:34.000]  The enemy's confidence is one of its greatest weaknesses, and they're about to learn that in spades.
[09:34.000 --> 09:37.000]  Where do we begin today? There is so much to cover.
[09:37.000 --> 09:46.000]  Michelle Obama has crawled out from under her White House rock to join Oprah, the poor victim that's made billions in America,
[09:46.000 --> 09:50.000]  embraced by White America, pushing her race-baiting garbage.
[09:50.000 --> 09:55.000]  Michelle Obama compares Americans to toddlers.
[09:55.000 --> 09:59.000]  She says toddlers hit their head, and then you're sad for them.
[09:59.000 --> 10:02.000]  We're going to play that clip coming up that we're dumb.
[10:02.000 --> 10:12.000]  We're like year-and-a-half, two-year-olds or so, 18-month-olds, two-month-olds, stumbling around, falling down when we voted for Trump.
[10:12.000 --> 10:16.000]  I thought the Russians stole the election. I thought the FBI did it.
[10:16.000 --> 10:25.000]  Oh, now we're toddlers, Michelle, and of course Michelle and Obama and the Clintons and others are saying that Trump can't run a government.
[10:25.000 --> 10:29.000]  No, no, he's not a community organizer that never worked today in his life.
[10:29.000 --> 10:38.000]  He's not Michael Moore that kind of hops around and makes some half-ass made-for-TV movies and, you know, has six bodyguards with guns but says we can't have guns.
[10:38.000 --> 10:48.000]  No, no, no, he started his own business as one of the most successful real estate moguls in the world, has absolutely dominated in television, dominated with his books and publications.
[10:48.000 --> 11:05.000]  He's just dominated against the total New World Order media spin machine and both political parties and foreign money flooding into stopping and he's a loser that doesn't know how to captain the republic.
[11:05.000 --> 11:10.000]  And now they're talking about, oh, this venture he did was a failure, that venture.
[11:10.000 --> 11:15.000]  Trump has set up, I looked it up, over 400 corporations in his life.
[11:15.000 --> 11:21.000]  By the way, I've set up more than 30 and of course the public doesn't business thinks that's a dirty word.
[11:21.000 --> 11:25.000]  No, there are some corrupt big out of control globalist corporations funding a takeover.
[11:25.000 --> 11:33.000]  We're fighting them, but a corporation is just a venture so that individuals don't have liability if it falls apart to a certain extent.
[11:33.000 --> 11:38.000]  Every time I made a film, I went out and got insurance on it.
[11:38.000 --> 11:47.000]  Every time I did errors and omissions insurance, every time I would set up a corporation at least once I'd made four or five of them and knew what I was doing,
[11:47.000 --> 11:57.000]  show that I would make the investment on a film that might cost me $300, $400,000 and then if it failed, the rest of my fledgling operation wouldn't go under.
[11:57.000 --> 12:06.000]  And Trump has declared bankruptcy three times out of hundreds and hundreds and hundreds of successful ventures.
[12:06.000 --> 12:12.000]  You know in small businesses roughly 80% fail, you know that right.
[12:12.000 --> 12:22.000]  And the top people in business out there will tell you they have failed over and over and over again coming up short, but finally making it.
[12:22.000 --> 12:24.000]  They might fail three or four times and then make it.
[12:24.000 --> 12:31.000]  They might lose everything and then gain it back in the next venture or maybe five ventures later.
[12:31.000 --> 12:37.000]  I personally have only had a few ventures fail. Most people have had many, but again, they target the public.
[12:37.000 --> 12:39.000]  Most people work for somebody else. They don't know now.
[12:39.000 --> 12:47.000]  They've taken the greatest nation of entrepreneurs and inverted that or a nation of debtors, a nation of people working for other folks.
[12:47.000 --> 12:53.000]  And now they make it some type of weakness that Trump declared bankruptcy three times.
[12:53.000 --> 13:01.000]  No, the venture failed. He would declare bankruptcy on those debts. You can part mentalize your debts. You don't put them all in one basket.
[13:01.000 --> 13:08.000]  Just what Trump wants to do on trade deals, not some mega massive 20,000 page secret agreement that transfers power.
[13:08.000 --> 13:16.000]  We're going to do deals one at a time. One at a time. That's how you get the best deals.
[13:16.000 --> 13:23.000]  You're ever in business. Somebody's got some big, giant, complex deal that's going to be the best thing ever. You better run, not walk.
[13:23.000 --> 13:29.000]  And what has Trump done? Michelle, as you say, he's the biggest booby on the block.
[13:29.000 --> 13:33.000]  By the way, for our Christian conservative audience, that doesn't mean breast.
[13:33.000 --> 13:37.000]  Booby is the name of South China Sea Pirates.
[13:37.000 --> 13:43.000]  That's where we get the term of, you look like a bunch of boobies if you're not dressed conservatively.
[13:43.000 --> 13:59.000]  U.S. economic confidence surges to the highest level that Gallup in a hundred plus years has ever recorded.
[13:59.000 --> 14:01.000]  And they're already announcing they're going to raise interest rates.
[14:01.000 --> 14:04.000]  I've already done it once to try to stall this.
[14:04.000 --> 14:10.000]  I've been critical of the low interest rates because it's impossible to fix things in a non-growth economy with zero interest rates.
[14:10.000 --> 14:14.000]  If you're going to have zero and turn the economy on, it's the way to go for at least three years.
[14:14.000 --> 14:18.000]  Then you better back off because it will blow like a bubble.
[14:18.000 --> 14:23.000]  But to get us out of cardiac arrest, put those affibrillators on us, Trump, zero, zero is what we need.
[14:23.000 --> 14:25.000]  Under old stuff, we needed to raise interest rates.
[14:25.000 --> 14:32.000]  That would at least give investors, small-time investors, a chance to get something going and people that have money, they're saving some type of return.
[14:32.000 --> 14:37.000]  But now, that it's not just globalists going to give themselves all those zero percent money.
[14:37.000 --> 14:41.000]  It's time for the people to get some of that, and Trump wants to keep it low.
[14:41.000 --> 14:44.000]  They say, oh, the economy's overheating.
[14:44.000 --> 14:47.000]  Trump's been president-elect for 40 days.
[14:47.000 --> 14:50.000]  He'll be in at 29, and we can't allow it overheating.
[14:50.000 --> 14:57.000]  So we're just going to have to raise it maybe two or three more times before he gets in, hoping it ends this Trump run.
[14:57.000 --> 15:01.000]  That's not going to work because there's over a trillion dollars conservatively.
[15:01.000 --> 15:11.000]  That's public, a lot more in foreign bank accounts in the Bahamas, in Spain, in Luxembourg, in Monte Carlo, and obviously many other places.
[15:11.000 --> 15:15.000]  But all the public money's over a trill that wants to come back.
[15:15.000 --> 15:21.000]  And as soon as we cut that corporate income tax, which has got to be his number one mission, to the global average,
[15:21.000 --> 15:26.000]  instead of being the highest of any major nation, because, you know, fact check will go, well, there are a few countries that have higher.
[15:26.000 --> 15:32.000]  Yeah, but of big, wealthy nations, we are 15 points above the average.
[15:32.000 --> 15:36.000]  Trump wants to go below, which, by the way, is a trade war.
[15:36.000 --> 15:40.000]  I kind of like that idea. We've been getting screwed by China so long. Let's go ahead. They're getting pushy.
[15:40.000 --> 15:43.000]  They're grabbing our submarines. They're getting their shooting their mouths off.
[15:43.000 --> 15:45.000]  How about we go five points below them?
[15:45.000 --> 15:52.000]  But Congress is ready to vote right now to equalize it. Totally fair.
[15:52.000 --> 15:57.000]  Heritage Foundation says, if we don't have higher taxes than other people, it's not fair.
[15:57.000 --> 16:00.000]  No, no, that's a screw job. In fact, I had a libertarian guy from Vice.
[16:00.000 --> 16:04.000]  Go, you're not being free market wanting to lower the income tax on corporations.
[16:04.000 --> 16:09.000]  And I went, wait a minute. If China's got a 15% higher, how is it not fair to lower it to the same amount?
[16:09.000 --> 16:15.000]  He goes, I guess you got a point. I said, yeah, man, stop spewing Heritage Foundation stuff at me, please, please.
[16:15.000 --> 16:21.000]  Well, it's kind of, you know, crony capitalist to, you know, do deals just for America.
[16:21.000 --> 16:26.000]  We've been having it one sided forever. It's not crony capitalism.
[16:26.000 --> 16:31.000]  Crony capitalism is not letting us compete so we can be controlled. It's ending.
[16:31.000 --> 16:38.000]  That's why they're so mad. The globalists have been selling off this country and talking about what geniuses they are for decades.
[16:38.000 --> 16:48.000]  No, what you are is a bunch of backstabbing traders that sold out the country that had over half the world's wealth till you got control of it.
[16:48.000 --> 16:57.000]  Oh yeah, comprende that. U.S. economic confidence surges to the highest level that Gallup has ever recorded.
[16:57.000 --> 17:06.000]  Infowars.com Michael Schneider article. Gallup's U.S. economic confidence index has never been higher than it is today.
[17:06.000 --> 17:14.000]  That's the Trump euphoria. People always say, oh, Wall Street's pure evil on the left, on the right.
[17:14.000 --> 17:21.000]  Wall Street can do no wrong. No, big mega banks and big brokerage firms that are above the law pushing uncontroll, pushing globalism,
[17:21.000 --> 17:29.000]  pushing, transferring our sovereignty and international bodies, they control, is conquest, is crony capitalism, is wrong.
[17:29.000 --> 17:39.000]  But most of Wall Street is middle and small time firms and even some big ones that are family owned, controlled that do want prosperity and they're doubling down on Trump.
[17:39.000 --> 17:49.000]  They want the prosperity. They want the boom. They want the tax cuts and the word is Trump's going to free spending in the first year just to stabilize things
[17:49.000 --> 17:56.000]  and he is intending by year four to begin cutting. And by the way, what he wants to do, he's going to try. This isn't talk.
[17:56.000 --> 17:59.000]  You're going to see if he gets his way and we get behind him.
[17:59.000 --> 18:09.000]  Cutting, spending moderately, it's not going to be big. Because we're totally, I mean, even Ron Paul says we got to wean off this.
[18:09.000 --> 18:20.000]  Cutting, spending while revenue swells for building projects. And of course, Krugman is flipping out today saying this is an administration of white nationalists
[18:20.000 --> 18:29.000]  and we don't need make work projects and infrastructure because it looks like he's hiring people that are going to privatize.
[18:29.000 --> 18:36.000]  That's what you've been doing, Trump. Giving the contracts to private companies is how we're going to get the jobs going.
[18:36.000 --> 18:46.000]  Not just shipping and overseas or paying off debts that don't exist. All these monolithic fiat derivatives debts that should just be triaged.
[18:46.000 --> 18:57.000]  The U.S. economic confidence surges the highest level that Gallup has ever recorded. Gallup's U.S. economic confidence in sex has never been higher than it is today.
[18:57.000 --> 19:04.000]  And if folks, everything is confidence, we have the economy, we can rebuild it, we can do it, but not if they sabotage it.
[19:04.000 --> 19:12.000]  And if Trump gets sabotaged or they kill him or they bring up more scandals and start an impeachment as the New York Times called for yesterday,
[19:12.000 --> 19:22.000]  the day after he beat them trying to overturn the electors, then we all can look in the mirror for why we didn't turn this country around.
[19:22.000 --> 19:28.000]  Trump euphoria is being called. We're going to come back and break all this down straight ahead. This is exciting.
[19:28.000 --> 19:35.000]  And it's what he and Bannon promised to do. It's Bannon's plan. Trump's plan as well. It's the Americana plan.
[19:35.000 --> 19:41.000]  It always worked. It threatened the whole planet. It was run by dictators and scum because everybody said, hey, can't we be like that?
[19:41.000 --> 19:50.000]  We're about to turn loose the American worker, the American entrepreneur, every race, color and creed who bleed red blood on terra firma.
[19:50.000 --> 20:19.000]  This is a big transmission. I'm wound up and I'm coming out of the gate hot straight ahead. I'm Alex Jones.
[20:20.000 --> 20:36.000]  Attention citizens, this man has received national attention for accurately predicting every major financial trend, including the market crash of 2008.
[20:36.000 --> 20:45.000]  His name is Harry Dent. And in his newly released book, he is making even bigger and bolder predictions that have the potential to devastate the world economy and your personal wealth.
[20:45.000 --> 20:55.000]  You can get a free copy of Harry Dent's bestseller, The Sale of a Lifetime, containing never before published information by simply visiting www.saleofalifetime.com forward slash free book.
[20:55.000 --> 20:59.000]  Again, that's saleofalifetime.com forward slash free book.
[20:59.000 --> 21:16.000]  What would your life be like if you woke up each morning with new vitality, feeling better than you have in years, and you noticed a difference in your sleeping patterns, blood sugar levels, and had a sense of well-being overall? There's something that is changing thousands of people's lives, and you could be one of them. It's called heart and body extract.
[21:16.000 --> 21:22.000]  Sharon Harris, co-creator of heart and body extract, talks about the positive effects of heart and body extract.
[21:22.000 --> 21:32.000]  What happens with the formula heart and body extract is it's giving the body the necessary vitamins, minerals, amino acids, enzymes, and phytonutrients so the body will heal itself.
[21:32.000 --> 21:42.000]  And yes, the body does have the ability to balance blood pressure, balance cholesterol, clean and unclog the arteries. It can also work on balancing the circulation for diabetic stuff.
[21:42.000 --> 21:47.000]  The body is an amazing thing. It simply needs some help so it has the tools to heal itself.
[21:47.000 --> 21:58.000]  Heart and body extract gets results. To order your two month supply, call now toll free at 866-295-5305. Order online at hbextract.com.
[22:18.000 --> 22:36.000]  There is an affordable alternative to the high cost of healthcare that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[22:36.000 --> 22:42.000]  Imagine having access to quality affordable healthcare that allows you the freedom to choose your doctor and hospital.
[22:42.000 --> 22:48.000]  Members can share up to 100% of necessary medical expenses including some alternative treatments.
[22:48.000 --> 22:53.000]  Find out how you and your family can contain healthcare costs without giving up your freedom.
[22:53.000 --> 23:16.000]  Go to libertyoncall.org. That's libertyoncall.org.
[23:23.000 --> 23:28.000]  Call 222-4584-805-222-4584.
[23:53.000 --> 23:59.000]  The Original Diamond Gusset Gene
[24:23.000 --> 24:31.000]  I want to wish you all a wonderful Christmas.
[24:31.000 --> 24:44.000]  I wish all the Christians out there a great holiday as well and hope that you will remember that your establishment run churches are helping subvert this country and keep Christians from actually taking action against evil.
[24:44.000 --> 24:51.000]  If you're in a church, it's actually fighting the new world order and fighting the abortuaries and you're a lucky person, you're blessed.
[24:51.000 --> 24:59.000]  A lot of them are state run now and they should be recognized as the abode of devils that they are in my humble opinion.
[24:59.000 --> 25:06.000]  Behind me if you're watching on television is the image of the Christmas tree down by the state capitol here in Austin, Texas where we originate from.
[25:06.000 --> 25:08.000]  Very, very beautiful.
[25:08.000 --> 25:27.000]  You've got to realize that evil people scum, the fascistic left, the authoritarian control freak oligarchs, the jihadis, the orthodox Islamists all over the world from Syria to Iraq to the United States to Europe are attacking blowing up Christmas trees,
[25:27.000 --> 25:39.000]  stabbing people, running over children with cars and I've got stacks of news and videos here. We're CNN, MS, NBC and everybody else is defending the attacks in Europe,
[25:39.000 --> 25:52.000]  saying that basically the Russian ambassador deserved to die because of Aleppo and that Germany's done bad things to the Muslims so they deserve it and that it's not Muslims.
[25:52.000 --> 26:03.000]  In fact, Chris Hayes and others are saying this is not a jihad attack. MS, NBC's Chris Hayes works double time to make Berlin and Turkey attacks not seem like terrorism.
[26:03.000 --> 26:17.000]  That's coming up. If you go to drudgereport.com you can see the headline Berlin manhunt as killer escapes Europe on Xmas alert and he is a Islamist of course just like the other suspect was and he's trying to flee Europe.
[26:17.000 --> 26:27.000]  They're reporting and they're blurring out his face. The police released and the government released an image of him and the media, I guess, blurred it out.
[26:27.000 --> 26:35.000]  So Paul Watson's been asking on Twitter why they're blurring out his face. We're not blurring out his face. Most wanted. He was the guy that had the truck was the driver.
[26:35.000 --> 26:47.000]  Police revealed they are hunting here. Let's scroll down and read his name. Anas or is that Anas Amir? Anas Amir. Like that is Anas Amir. What a nice name.
[26:47.000 --> 26:56.000]  Anas Amir. That's A-N-I-S. Anas Amir. 23. Just look at that guy. He just looks like he's mentally ill.
[26:56.000 --> 27:06.000]  But he stood up. He stood up to the evil Germans out drinking hot chocolate and eggnog under Christmas trees with their kids. He reportedly allegedly ran over them.
[27:06.000 --> 27:17.000]  He's the guy identified as the person in the truck, had the truck, was the truck driver. So the media seized on with all the police had the wrong guy, refugee there in the country.
[27:17.000 --> 27:28.000]  Oh wait, it's another one. Well, let's just move along. Because we need to have armed guards around Christmas displays around the country.
[27:28.000 --> 27:41.000]  Like the guy that wanted to blow up a Christmas tree in Portland. Then the FBI was ordered not to stop him. But then they basically bucked the orders and did.
[27:41.000 --> 27:47.000]  So that'd be a false flag on top, letting him attack when the FBI actually does their job and stops it. It's no longer a false flag.
[27:47.000 --> 27:57.000]  A lot of the type of false flags. A false flag is not just a pure attack. When our government opens the borders up and lets these people in, unvetted, that is Obama, he is then aiding and abetting in an attack on our country.
[27:57.000 --> 28:04.000]  That is a false flag by the globalist. But it's our own government that is actually at the grassroots level trying to fight it and expose it.
[28:04.000 --> 28:12.000]  When I had advice here yesterday for HBO, they were doing paradoxes. Well, wait, you say that there's Islamic terrorism, but you're then saying the government's behind it.
[28:12.000 --> 28:23.000]  And I'm saying criminals in our government are allied with it. The Pentagon believes that the CIA is a Wahhabist. He certainly lived in Saudi Arabia off and on for two decades.
[28:23.000 --> 28:34.000]  Brennan. And nobody else is saying the Russians were involved in the election, but him and then giving no proof. It's just a little side issue.
[28:34.000 --> 28:43.000]  But before I get into all this and a bunch of clips in the next segment, how big a deal is it that they had all these fake polls, tried to steal the election?
[28:43.000 --> 28:52.000]  Trump still had a big victory. They claim he lost the popular vote, but they admit that they've got illegals voting all over the country and people voting in the name of dead people.
[28:52.000 --> 28:59.000]  Safe to say Trump won that as well. But look at the reality, 30, 40, 50,000 people at crowds, Hillary with 300.
[28:59.000 --> 29:07.000]  And now Trump keeps going up in popularity in Gallup. And you know it's a lot higher than even what they're saying on how they go for demographics.
[29:07.000 --> 29:20.000]  And then now the highest economic outlook, the highest confidence ever. Restaurants have gone from almost closing to saying they're busting at the seams.
[29:20.000 --> 29:32.000]  Suddenly factory orders, all sorts of stuff's happening. 60 billion in jobs already coming back from high tech to oil drilling to steel manufacturing.
[29:32.000 --> 29:42.000]  And just a surge of it's okay to be patriotic again. It's okay to want to buy American again. And I'm telling you, I'm thinking about doing what Salinte was saying.
[29:42.000 --> 29:48.000]  I'm thinking about getting with it and factory here in the U.S. and putting on American made shoes or something. I want to jump on the bandwagon.
[29:48.000 --> 29:58.000]  Because we actually created the bandwagon. You know what I mean? This is exciting. We should all pile on, make America great again. Ha ha ha, yeah.
[30:18.000 --> 30:26.000]  On Monday this week, filed a federal lawsuit against Twitter, Facebook, and Google for allegedly providing, quote, material support to ISIS.
[30:26.000 --> 30:32.000]  And helping them radicalize shooter Omar Mateen in this complaint. It was filed in the Eastern District of Michigan.
[30:32.000 --> 30:36.000]  The families of Tevin Crosby, Javier George Reyes, and Juan Remo Guero.
[30:36.000 --> 30:47.000]  They argue that the three web platforms provided the terrorist group ISIS with accounts they used to spread extremist propaganda, raise funds and attract new recruits like Omar Mateen.
[30:47.000 --> 30:55.000]  Now we've seen Facebook comment or fire recently for censoring real news, but it looks like they're giving a platform to ISIS and victims families are saying no more.
[30:55.000 --> 31:24.000]  I'm Margaret Howell reporting for Infowars.com.
[31:26.000 --> 31:41.000]  Or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work.
[31:41.000 --> 31:51.000]  You need to check out InfowarsTeam.com. Give your body the gift of good nutrition. Head over to InfowarsTeam.com. Your body will be very grateful.
[31:51.000 --> 31:57.000]  On the web at InfowarsTeam.com. That's InfowarsTeam.com.
[32:21.000 --> 32:28.000]  That's InfowarsTeam.com.
[32:51.000 --> 32:58.000]  That's InfowarsTeam.com.
[33:21.000 --> 33:26.000]  That's InfowarsTeam.com.
[33:52.000 --> 34:02.000]  Hard to believe we're about to be in 2017, and the Infowars Anti-Globalist Americana era begins.
[34:02.000 --> 34:08.000]  We're going to have to fight for it. Make no mistake.
[34:08.000 --> 34:15.000]  But hey, Americans love to fight, don't we? And we love to win.
[34:15.000 --> 34:23.000]  And I got to tell you, I'm never going to get sick of winning. I'm never going to get sick of fighting.
[34:23.000 --> 34:33.000]  And I've come here to kick-ass the chew bubblegum and quote the immortal Rowdy Piper, I'm all out of bubblegum.
[34:33.000 --> 34:43.000]  Nothing, except the good Lord above, can stop human ingenuity, human drive, human will, human passion, human love
[34:43.000 --> 34:48.000]  when we have a focus and know it's for our species.
[34:48.000 --> 34:55.000]  And that's why the globalists have done everything they can to demoralize us and make us feel weak.
[34:55.000 --> 35:06.000]  We're breaking their will now, and they can feel it economically, culturally, and spiritually most important.
[35:06.000 --> 35:11.000]  Alright, let me just calm down and get to all this news because it is just over the top important.
[35:11.000 --> 35:16.000]  Let me know where to start.
[35:16.000 --> 35:24.000]  Let me just set the table with how the enemy is trying to break our will and how they're now having to reverse themselves more and more.
[35:24.000 --> 35:36.000]  Chris Hayes has come out and tried to whitewash the Islamic terror, hitting Christmas parties, hitting the Russian ambassador and others in Europe.
[35:36.000 --> 35:49.000]  They're also trying to triple down on the race spading to put minority groups and whites and others into their own little boxes to fear each other
[35:49.000 --> 35:53.000]  and to politically not come together around prosperity and populism.
[35:53.000 --> 35:57.000]  It is a desperate attempt at sabotage, and they admit that it's not working.
[35:57.000 --> 36:21.000]  Yesterday MTV put up a super hardcore racist message that we're going to be playing here today that is resolutions for white guys.
[36:21.000 --> 36:36.000]  Now they've had former videos on this same show where they say, attention white guys, and they say you've caused the murder, you've caused the criminality, you are the bad people in the world.
[36:36.000 --> 36:39.000]  Despite the fact that history doesn't show that.
[36:39.000 --> 36:43.000]  In the sum, it shows the opposite.
[36:43.000 --> 36:46.000]  It's just with modern technology, the death tolls have been higher.
[36:46.000 --> 36:54.000]  The highest death tolls of any population have been committed by the Chinese communists, and throughout history, it's been committed by the Chinese.
[36:54.000 --> 37:00.000]  The Chinese are the all time biggest killers of their own people.
[37:00.000 --> 37:06.000]  It's over 100 million since 1949 when Mao took over all of China.
[37:06.000 --> 37:16.000]  Testimony probably killed about 10 million Chinese before that. We're talking well over 100 million.
[37:16.000 --> 37:26.000]  We'd like me to walk through what's happened in other places where non-Anglos engage in mass murder of their own people or wars, I'd be more than happy to.
[37:26.000 --> 37:40.000]  But MTV publicly shames whites and under psychology, it shows them apologizing for what they've done to America and apologizing for things their ancestors didn't even do.
[37:40.000 --> 37:52.000]  Total mental illness, but now MTV went too far with the weaponization and Sumner Redstone's anti-American operation had to pull back.
[37:52.000 --> 38:05.000]  That's coming up in a moment as well. They have expunged this, but under fair use, under the public's right to know, the weaponized media being targeted, we have the video.
[38:05.000 --> 38:13.000]  We're going to be playing that in a moment, but understand this, we've got 12 dead, 60-plus injured, others may die, unfortunately.
[38:13.000 --> 38:25.000]  In Berlin, we've got 89 dead in Nice, hundreds injured, and we had media back then that for a week wouldn't say it was Islamic attack.
[38:25.000 --> 38:33.000]  They called it a truck attack. Here they had to admit it very, very early because witnesses said they saw Middle Eastern looking guy get out of it and run off.
[38:33.000 --> 38:43.000]  They grabbed another illegal invader, they let him go after 20 hours interrogation, and now they said they have the name of the guy and the identity and the face of who did it.
