[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[30:06.000 --> 30:35.000]  coq 10 oh you probably want to spend some time researching coq 10 and then research dna force plus and the types that we have in here the very best forms of the bqq and coq 10 and then a whole bunch of other natural ingredients for mother nature that are known to supercharge it all this is our best selling overall formula and I've told listeners at the end of last year that we can't sell products
[30:35.000 --> 30:58.000]  at 50% off anymore because there's not enough markup in them to find our operations but because of what's happening and going on in the world right now I really want everybody who hasn't used or tried or enjoyed the benefits of dna force plus to have dna force plus for yourself and your family dna force plus now 50% off
[30:58.000 --> 31:13.000]  it's time to take a new healthier approach to one of your most basic needs the Alexa pure pro water filtration system is the same water filter that Alex and the info wars crew use every day for the purest water possible you can start cleaning the toxins from your water for clean healthy and delicious drinking
[31:13.000 --> 31:28.000]  water perfect for preppers or anyone concerned with the healthier source of water the Alexa pure pro can remove up to 99.9% of impurities this groundbreaking gravity fed water filtration system is like no other make sure your waters up to your standards today with the Alexa pure pro
[31:28.000 --> 31:41.000]  it's no secret that our daily lives are becoming more stressful no matter what side of the political spectrum you're on we're all feeling the strain from rising pressure that's why we worked hard to create a new formula to support your fight against stress and your hectic day
[31:41.000 --> 31:57.000]  chill forces are solution for a true healthy relaxation support formula as the long awaited sister formula to brain force plus this formula includes powerful ingredients and time tested practices to help fight your stress levels it's time to take a breather get chill force today at info wars store
[31:57.000 --> 32:22.000]  store.com I'm always excited about info wars life products they're amazing they're cutting edge you love them I love them and they find the info war in the face of the globalist onslaught but we have come up with a new product over a year in development that is amazing the only organic hand sanitizer on the market with organic essential oils on top of it and there's
[32:22.000 --> 32:42.000]  another innovation it's spray cap it doesn't just pour out a bunch of thick gross goo but it's high quality and aerosolizes it in a really great way I like to put on my hands rub a little my face it's got organic alcohol in it so spray it around your eyes but I just love it personally
[32:42.000 --> 32:57.000]  it's something that's a moisturizer as well show this is a real innovation I don't know why others didn't think of coming out with a hand sanitizer that actually has essential oil in it so it doesn't dry you out smells great it's so refreshing this is a big winner
[33:42.000 --> 33:59.000]  we are broadcasting worldwide I'm your host Alex Jones and I come to you with grave tidings and a desperate warning that you keep my warning or be enslaved impoverished finally starved to death and killed
[33:59.000 --> 34:14.000]  I was thinking just a minute ago before we went live into this segment how I could describe this because it's indescribably horrible but it's the truth and only the truth can save us my people perish for lack of knowledge
[34:14.000 --> 34:33.000]  the articles are on info wars dot com we're going to play the clips right now Bill Gates is planet Earth's first dictator oh and he wants to depopulate the planet oh and he wants to get rid of the middle class on record
[34:33.000 --> 34:54.000]  and he finances major leaders who push anti-white agendas you go why does he want to kill the black people and the white people jack Spratt could eat no fat and his wife could eat no lean so between the two they lick the platter clean
[34:54.000 --> 35:13.000]  he wants us divided against each other he wants us killing each other while he inherits the future learn who he is or be destroyed I personally am facing arrest death right now because I refuse to stop attacking Gates but I will continue because I will not submit to Satan
[35:13.000 --> 35:33.000]  now let's go ahead and go over the facts earlier I read to you out of the financial telegraph major insurance companies in South Africa have openly come out and said that COVID-19 is not causing mass death that the lockdowns dwarf it
[35:33.000 --> 35:57.000]  massively 29 times more destructive than the COVID-19 deaths and that's just getting started so with that said the head of the world food program that will play in a few minutes came out two weeks ago and said 135 million on the verge of starving an extra 30 million are starving right now on top of the
[35:57.000 --> 36:17.000]  10 million that usually starve think about those numbers and those are accurate numbers probably conservative and what happens is you just shrivel up you get sick the bones are sticking out your side and any common colder flu comes by you just die in the night
[36:17.000 --> 36:32.000]  and they just say that oh you died of the flu you're out of the cold but you know you died of starvation malnutrition so here's Bill Gates that's constantly everywhere saying we need to reduce the world population you put the London Guardian Bill Gates is worried about the black population in Africa growing
[36:32.000 --> 36:53.000]  but he wants to give you a shot because he wants you to live GI want you to die please take the shot now let's go ahead and go to this clip Bill Gates the Financial Times of London normalcy only returns when we've largely vaccinated the entire global population
[36:53.000 --> 37:08.000]  remember what he said two weeks ago 700,000 will get sick or die from bad reactions of course that's his number it's not one in 10,000 folks it's like one in 10 that have bad reactions you all know that most of you've had a bad reaction from a vaccine
[37:08.000 --> 37:27.000]  continuing in another clip he says America can't do it perfectly like China so we're gonna have problems with the contact tracing see China's perfect 3 million Muslims in death camps Bill Gates on vaccine the world again this is the first planetary world
[37:27.000 --> 37:45.000]  government through the UN WHO because they've learned like in Rwanda when the UN shows up and encircles a town and then when the animus go in to kill the Christians with machetes anybody that tries to get out the UN machine guns
[37:45.000 --> 38:04.000]  then you hear in the news oh the UN couldn't protect the poor Christian minority in Rwanda no it later came out they ran the extermination but the Africans fight back and a lot of times bare handed defeat the UN and defeat the black tribes they're funding
[38:04.000 --> 38:19.000]  so now they go oh we're coming with shots we're coming to help you and they've learned that people will trust someone in a white lab coat but still now the Africans run so now Bill Gates is coming out with crops that have the vaccine GMO in them
[38:19.000 --> 38:41.000]  I first saw that with prodigy in 25 years ago people didn't believe me not to mainline news that oh you'll soon get vaccines in your banana they can engineer it into the banana so let's go ahead and play Bill Gates normalcy only returns when you take the vaccine then have the ID or the chip to prove it here it is
[38:41.000 --> 38:58.000]  that trade off you just mentioned obviously the economic pain what do you think the right balances between the trade off of protecting people's lives and the economic hit I mean do you see a situation where the global economy could be virtually at a standstill for a year or even more
[38:58.000 --> 39:17.000]  well it won't go to zero but it will shrink global GDP is going to take you know probably the biggest hit ever you know maybe the depression was worse or 1873 I don't know but in my lifetime there this will be the greatest economic
[39:17.000 --> 39:35.000]  hit but you don't have a choice people act like you have a choice people don't feel like going to the stadium when they might get infected you know it's not the government who's saying OK just ignore this disease you know people are deeply affected
[39:35.000 --> 39:53.000]  by seeing these deaths by knowing they could be part of the transmission chain and old people their parents the grandparents could be affected by this and so you don't you know you don't get to say ignore what's going on here
[39:53.000 --> 40:11.000]  there are there will be the ability particularly in rich countries to open up if things are done well over the next few months but for the world at large normalcy only returns when we've largely vaccinated the entire global population
