[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[04:53.000 --> 04:57.000]  It's not about being arrogant. It's about the fact that we're attacked by the globalists.
[04:57.000 --> 05:26.000]  We tell the truth.
[05:28.000 --> 05:31.000]  Back at stock. Massively discounted infowarstore.com.
[05:31.000 --> 05:37.000]  The vitamin C zinc. Again, organic vitamin C 1100% with the rose hips and zinc.
[05:37.000 --> 05:42.000]  This is the Linus Pauling formula. You want it infowarstore.com and the list goes on and on.
[05:42.000 --> 05:47.000]  DNA Force Plus, Brain Force Ultra, Supermell Vitality, Physic Magnesium.
[05:47.000 --> 05:54.000]  All of it from 40 to 60% off when you use promo code 1776 at infowarstore.com.
[05:54.000 --> 05:58.000]  You're insane with all the stuff going on in this world. If you don't boost your immune system,
[05:58.000 --> 06:26.000]  plus it keeps us on air, a win-win.
[06:26.000 --> 06:38.000]  Well, the madman, the literal Nazi leader, Zelensky, lied within minutes of a missile hitting Poland
[06:38.000 --> 06:45.000]  yesterday and blowing up a grain silo and killing two farmers and said Russia had fired a cruise missile.
[06:45.000 --> 06:51.000]  They knew that Russia had done it and that NATO must invoke the particular article
[06:51.000 --> 06:57.000]  and attack Russia, which would lead to a nuclear war. Well, today, NATO and Poland confirmed that the missile
[06:57.000 --> 07:03.000]  was fired at Russian aircraft by Ukraine despite the fact that we're flying along the Polish-Ukrainian border
[07:03.000 --> 07:12.000]  on the western side of Ukraine, knowing their missiles would then rain down if they missed the aircraft on to Poland.
[07:12.000 --> 07:19.000]  Absolutely criminal, incredibly dangerous. Here I am yesterday predicting that it would be an air defense missile
[07:19.000 --> 07:24.000]  because the Russians don't have the motive. We know the Ukrainians are firing air defense missiles all over the place
[07:24.000 --> 07:30.000]  that fall on Ukraine and Russia. I mean, they've gone into Belarus, you name it, and now they've hit Poland
[07:30.000 --> 07:36.000]  and they don't care if they fire one tomorrow when it goes into Poland. They'll still blame Russia and try to get a nuclear war going.
[07:36.000 --> 07:41.000]  Here I am yesterday predicting it was an air defense missile fired by Ukraine now confirmed.
[07:41.000 --> 07:49.000]  Alright, this is about an hour ago, but I wanted to do some more research before we covered it and sure enough, it's what I thought.
[07:49.000 --> 07:57.000]  It was first reported at least two dead after Russian missiles land in NATO state of Poland on Ukraine border.
[07:57.000 --> 08:04.000]  In Poland, two stray rockets fell in a village near the border with Ukraine. They hit grain dryers.
[08:04.000 --> 08:09.000]  Two people were killed. There are a police prosecutor's office and army on site.
[08:09.000 --> 08:17.000]  Now the Pentagon is saying no evidence that Russia fired missiles in looks like it was air missile defense systems being fired at the Russians.
[08:17.000 --> 08:21.000]  But the point is you just can't believe anything when you first hear it.
[08:21.000 --> 08:28.000]  Now, so there you go. I just wanted to point that out and then get to the big election news with Roger Stoner in a moment.
[08:28.000 --> 08:34.000]  Here's Zelensky, literally a half hour after the attack, saying they have confirmed that the Russians did this
[08:34.000 --> 08:42.000]  and that NATO should invoke its articles of war and immediately attack Russia, including he's been saying with nuclear weapons.
[08:42.000 --> 08:47.000]  And then you've got that idiot Sean Penn running around giving him Oscars and things.
[08:47.000 --> 08:50.000]  I'm sure it'll give Zelensky a peace prize next. Here it is.
[08:50.000 --> 08:54.000]  President Zelensky, while we were just in that briefing, Halley has just put out a statement.
[08:54.000 --> 08:59.000]  So he confirms the earlier numbers. He says there were 90 Russian missiles.
[08:59.000 --> 09:04.000]  They targeted power systems, enterprises, residential buildings, including two right here in Kiev.
[09:04.000 --> 09:11.000]  But then he goes on and this is the first statement that we have from the Ukrainian government about this Polish incident.
[09:11.000 --> 09:16.000]  He says terror is not limited to our national borders. Russian missiles hit Poland.
[09:16.000 --> 09:23.000]  He then continues to say to fire missiles at NATO territory. This is a Russian missile attack on collective security.
[09:23.000 --> 09:27.000]  This is a significant escalation. We must act.
[09:27.000 --> 09:36.000]  So Zelensky basically is like a chimpanzee with a flamethrower running around inside a fireworks factory about to burn down our world.
[09:36.000 --> 09:40.000]  Again, I don't support the Russian war. I don't support what happened. I don't support what Putin's doing.
[09:40.000 --> 09:48.000]  I also support not having a nuclear war that Zelensky and his money laundering friends at the FTX and Democratic Party are engaged in.
[09:48.000 --> 09:56.000]  Stop it. Stop it now. We need a peace deal before these maniacs kill everybody.
[09:56.000 --> 10:02.000]  Now that said, the big news and joining us is Roger Stone. I want to play several clips here and then go to Roger.
[10:02.000 --> 10:06.000]  This is Trump last night making the big announcement. He is running for 2024.
[10:06.000 --> 10:14.000]  We told you months ago that he had told people very close to the president and very close to the show that indeed he was running.
[10:14.000 --> 10:18.000]  The only question was when so we are tomorrow's news today yet again.
[10:18.000 --> 10:27.000]  And then Trump says we will take America back and we will put a stop to these electronic systems immediately.
[10:27.000 --> 10:33.000]  Demand voter ID, same day voting and only paper ballots. Here is the president announcing in his key statement.
[10:33.000 --> 10:46.000]  I am tonight announcing my candidacy for president of the United States.
[10:46.000 --> 10:56.000]  I will do whatever it takes to bring back honesty, confidence and trust in our elections.
[10:56.000 --> 11:20.000]  To eliminate cheating, I will immediately demand voter ID, same day voting and only paper ballots.
[11:20.000 --> 11:35.000]  Bravo, bravo to that. He then went on to say we need amnesty for everybody they tried to forcibly inject and that nobody should be forcibly injected and they shouldn't be pushing it on children.
[11:35.000 --> 11:44.000]  So he is now coming along in that fashion more and more and I will say this, I have been on the fence about Trump to say this because I see it as a civil war and a distraction.
[11:44.000 --> 11:54.000]  But seeing all the neocons and the Democrats and the deep state and Ivanka and Jared come out against her own dad really makes me like Trump more.
[11:54.000 --> 12:04.000]  And watching the entire media pile on really makes me like Trump more just reminding me how much the power structure absolutely hates his guts.
[12:04.000 --> 12:14.000]  We're going to talk about all this with Roger Stone, it's now being reported that Republicans have officially taken the House of Representatives, we'll look at some of the major election fraud evidence as well.
[12:14.000 --> 12:20.000]  Here in the next 45 minutes with the one, the only Roger Stone, the guy that encouraged Trump to run, the guy that got him to run.
[12:20.000 --> 12:29.000]  Trump ran for office, never winning, never losing because he never run before. The first time he ran, he won. The second time he ran, they stole it from him.
[12:29.000 --> 12:34.000]  Now it's his third run. Will it be successful? Roger Stone.
[12:34.000 --> 12:44.000]  He's obviously challenging history, Alex, only once in our American history has a president, Grover Cleveland, was elected in 1885.
[12:44.000 --> 12:55.000]  In 1888, it was stolen from him in a disputed election where he clearly, by the way, got a majority, the popular vote, and then he came back in 1893.
[12:55.000 --> 13:07.000]  The energy in the room last night reminded me of 2015 and 2016. It was the old Trump, the old anti-establishment Trump.
[13:07.000 --> 13:16.000]  He was very disciplined, he was very much on message, he did contrast his record with the Biden record.
[13:16.000 --> 13:28.000]  Those who say, oh, you need to lay out your vision. Well, there's our vision. Energy independence, abundant food, zero inflation, 1% under Donald Trump.
[13:28.000 --> 13:41.000]  Close our borders. Stop the flow of fentanyl. Stop shipping billions to this Ukrainian Nazi, as you put it.
[13:41.000 --> 13:50.000]  If you want to see the Trump agenda, it's really not that hard. Look at everything Joe Biden's doing to this country and reverse course.
[13:50.000 --> 13:58.000]  I saw an incredible clip the other day in which Biden has asked about the inflation rate and he says, yeah, but look what we inherited.
[13:58.000 --> 14:05.000]  What you inherited, you inherited the most robust economy and the lowest inflation rates in American history.
[14:05.000 --> 14:13.000]  So I really was pumped up last night. I stayed up a little too late, so I apologize for sounding a little raspy.
[14:13.000 --> 14:19.000]  But it was an exciting moment. It was a recapture of 2015 and you're absolutely right.
[14:19.000 --> 14:27.000]  Look at the interests who are lining up against him. It's Wall Street. It's the corporately owned media.
[14:27.000 --> 14:35.000]  It is the globalists like Ken Griffin and Paul Singer, Rupert Murdoch.
[14:35.000 --> 14:44.000]  They weren't for him in 2016 either. They were either grudgingly for him in 2020 or they were secretly against him.
[14:44.000 --> 14:52.000]  A man is known by his enemies and in this case, Trump has a high mountain to climb.
[14:52.000 --> 15:00.000]  But I think he's the only one with the kind of the courage, the strength, the cojones, if you will, to pull this off.
[15:00.000 --> 15:04.000]  Perfectly said. We're going to go over some of those headlines when we come back.
[15:04.000 --> 15:12.000]  But I saw where Rupert Murdoch reportedly called Trump like he did six, seven years ago and said, if you continue to run, I'm not going to support you.
[15:12.000 --> 15:17.000]  I'm going to support a Democrat. Well, I mean, he did that before and then flip flop back to Trump later.
[15:17.000 --> 15:25.000]  So I see this as a feather in Trump's cap that he's got the establishment lined up against him and not good for DeSantis having them lined up for him.
[15:25.000 --> 15:29.000]  That does not bode well for DeSantis even though I really like DeSantis.
[15:29.000 --> 15:33.000]  We come back and talk about it on the other side. I think Ron's done a good job.
[15:33.000 --> 15:37.000]  But he's 42 years old. He did vote for TPP.
[15:37.000 --> 15:47.000]  You know why he appointed yesterday the father-in-law of Stephanie Murphy, the red Chinese Communist Control Congresswoman from Orlando to a state board?
[15:47.000 --> 15:49.000]  What's that all about?
[15:49.000 --> 15:52.000]  Well, we know as big administrators, people can make a lot of mistakes.
[15:52.000 --> 15:57.000]  My gosh, I've got a decent sized crew and they're great, but we make the bad mistakes here sometimes.
[15:57.000 --> 16:03.000]  But I hope it is just a mistake. We'll be right back.
[16:03.000 --> 16:07.000]  The globalists are in an absolute panic right now.
[16:07.000 --> 16:17.000]  They are attacking and suing and censoring and spying on and engaging in bullying and physical attacks against populist conservatives and Christians.
[16:17.000 --> 16:19.000]  Not just in America, but worldwide.
[16:19.000 --> 16:26.000]  And their number one most hated enemy in the media is info wars because we know the globalist number.
[16:26.000 --> 16:31.000]  We know their operation. We know their modus operandi and we know how to take them down peacefully.
[16:31.000 --> 16:38.000]  We've got great products that fund the operation that also are incredibly powerful and the highest quality for your immune system and more.
[16:38.000 --> 16:40.000]  We have the biggest sale of the year going right now.
[16:40.000 --> 16:50.000]  Black Friday comes early. Use promo code 1776 and get up to 60% off on these best selling products at infowarstore.com.
[16:50.000 --> 16:52.000]  Biggest sale of the year. Promo code 1776.
[16:52.000 --> 17:02.000]  Up to 60% off. Take action now and empower your body.
[17:02.000 --> 17:07.000]  I'm pointing my finger at you and I'm also pointing it right back at myself.
[17:07.000 --> 17:11.000]  You forget to take your multivitamins. You forget to take your vitamin D3.
[17:11.000 --> 17:15.000]  You forget to take your brain force plus. You forget to take DNA force plus.
[17:15.000 --> 17:21.000]  You forget to take DX3 and you know it makes your life better and you know it makes you healthier and you constantly forget.
[17:21.000 --> 17:23.000]  And when you remember to do it, you're a lot healthier.
[17:23.000 --> 17:26.000]  This stuff will blow you away plus it funds our operation.
[17:26.000 --> 17:33.000]  We have the biggest sale of the year going right now at infowarstore.com with promo code 1776.
[17:33.000 --> 17:40.000]  Go to infowarstore.com and use promo code 1776 to get up to 60% off on these best selling products.
[17:40.000 --> 17:42.000]  The lowest deal is 40%.
[17:42.000 --> 17:48.000]  Most of the sales are 60% or 50% when you use promo code 1776.
[17:48.000 --> 17:52.000]  There's too many products to tell you about them all. They're all kick-ass. They keep us on the air.
[17:52.000 --> 17:55.000]  Please continue to support and I love you and I thank you.
[17:55.000 --> 18:18.000]  1776 at infowarstore.com.
[18:25.000 --> 18:34.000]  This is a laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care,
[18:34.000 --> 18:40.000]  but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes,
[18:40.000 --> 18:48.000]  and the array of things that now America has to work through in this new world that we're living in.
[18:48.000 --> 18:55.000]  Go to onlinehealthnow.com and check out the wellness company for a low monthly fee.
[18:55.000 --> 19:21.000]  We'll start it today and on a pathway to better health.
[19:21.000 --> 19:30.000]  Nigel Farage is being the main impetus towards firing up their main base to defeat the new world order.
[19:30.000 --> 19:40.000]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[19:40.000 --> 19:44.000]  I don't take the credit. I give you the credit.
[19:44.000 --> 19:53.000]  And now info wars is facing its darkest hours. It isn't going to give up. Without your support, we can be shut down. Please go to saveinfowars.com today.
[19:53.000 --> 20:00.000]  Saveinfowars.com today and donate for our legal defense fund.
[20:00.000 --> 20:11.000]  Leading a frontal assault on the lies of the new world order, it's Alex Jones.
[20:11.000 --> 20:24.000]  You can feel it. You can taste it. You can see it.
[20:24.000 --> 20:31.000]  Well, the race is on. Things are just getting more and more wild by the day.
[20:31.000 --> 20:41.000]  And President Trump had the election stolen from him and they tried to set us up on January 6th.
[20:41.000 --> 20:44.000]  They've just stolen a major election. All the evidence is overwhelming.
[20:44.000 --> 20:54.000]  And we absolutely must get on the ball, not allowing them to have the new normal of weeks and weeks to decide who the winner is.
[20:54.000 --> 21:04.000]  And in always the same key districts, in Arizona, Nevada, Michigan, Georgia, Pennsylvania, have them steal it the same way over and over again.
[21:04.000 --> 21:08.000]  We're going to look at the House of Representatives, reportedly now going to the Republicans.
[21:08.000 --> 21:09.000]  What's happening with Senate?
[21:09.000 --> 21:16.000]  Roger Stone's predictions on that, what we can do to continue with the small beachhead we have to not give up and push forward,
[21:16.000 --> 21:19.000]  because surrendering means the great reset and our energy being cut off.
[21:19.000 --> 21:24.000]  Borders completely dissolved and things 10 times worse than we're currently living under.
[21:24.000 --> 21:29.000]  But getting back to Trump at his announcement, I've said, look, start coming out more against the shots.
[21:29.000 --> 21:32.000]  Start coming out and saying no mandates, which he's already done.
[21:32.000 --> 21:36.000]  And really hammers stay away from children and now more and more Trump's doing that.
[21:36.000 --> 21:40.000]  So he's moving in the right direction. Here he is last night.
[21:40.000 --> 21:46.000]  I will get Biden's radical left ideology out of our military and I did. I did.
[21:46.000 --> 21:51.000]  And in the first day they put it back. They signed an executive order and they put it back. It was gone.
[21:51.000 --> 22:10.000]  We will abolish every Biden COVID mandate and rehire every patriot who was fired from our military with an apology and full back pay.
[22:10.000 --> 22:12.000]  Thank you.
[22:12.000 --> 22:19.000]  And they deserve an apology and they deserve full back pay and they'll get it.
[22:19.000 --> 22:23.000]  And unlike Biden, possibly getting us.
[22:23.000 --> 22:27.000]  Now, let me have another good point. Trump looks great.
[22:27.000 --> 22:31.000]  Put that photo up from last night with Roger and his wife and Trump.
[22:31.000 --> 22:37.000]  You guys all look great, but man, Trump looks like he's lost 60 pounds or something.
[22:37.000 --> 22:43.000]  I mean, you can't hide that in the face. It seems like he's been energizing himself, Roger.
[22:43.000 --> 22:46.000]  How is the real president doing?
[22:46.000 --> 22:51.000]  You're absolutely right, Alex. He's kind of trimmed down to fighting weight.
[22:51.000 --> 22:56.000]  I mean, I've known him 40 years and he looks terrific.
[22:56.000 --> 22:59.000]  He really, he has been really pushing for this.
[22:59.000 --> 23:04.000]  The truth is he actually wanted to announce his candidacy a bit earlier.
[23:04.000 --> 23:09.000]  A number of advisors talked him out of it. I think that was the right decision.
[23:09.000 --> 23:15.000]  Had he done so before the election, they would have blamed him for what happened in the election.
[23:15.000 --> 23:18.000]  Oh, wait a minute. They did anyway.
[23:18.000 --> 23:22.000]  How come nobody discusses the incredible victory of JD Vance in Ohio?
[23:22.000 --> 23:24.000]  Pick up of a Senate seat.
[23:24.000 --> 23:30.000]  Nobody discusses the reelection of the probably the number one Trump defender in the U.S. Senate.
[23:30.000 --> 23:35.000]  Ron Johnson in Wisconsin, in which he won. Republicans lost every day.
[23:35.000 --> 23:39.000]  Or MTG by 66 percent, 30 plus point win.
[23:39.000 --> 23:44.000]  When they say that all the Trump candidates lost, it's a damn lie.
[23:44.000 --> 23:48.000]  It's a complete lie. If we're going to blame somebody for the loss of the election,
[23:48.000 --> 23:54.000]  let's blame the people who are really responsible, Mitch McConnell and Kevin McCarthy.
[23:54.000 --> 24:01.000]  Why would Mitch McConnell shift $9 million from the Arizona campaign of Blake Masters
[24:01.000 --> 24:06.000]  up to Arizona, up to Alaska to try to bail out Lisa Murkowski,
[24:06.000 --> 24:10.000]  who wasn't even elected to the term she's in now as a Republican,
[24:10.000 --> 24:13.000]  who bolted the party and ran as an independent,
[24:13.000 --> 24:19.000]  but then voted to organize with the Republicans in the Senate.
[24:19.000 --> 24:23.000]  What will be very interesting, Alex, and people don't really understand this,
[24:23.000 --> 24:27.000]  so it's a good opportunity for us to review it for the info warriors.
[24:27.000 --> 24:34.000]  The caucus of vote in which Kevin McCarthy was selected over Andrew Biggs
[24:34.000 --> 24:39.000]  is essentially meaningless. It does not make McCarthy speaker.
[24:39.000 --> 24:46.000]  The only vote that makes him speaker is the vote of the full house in early January.
[24:46.000 --> 24:52.000]  At that juncture, he has to have at least 218 votes to become speaker.
[24:52.000 --> 24:59.000]  Now, Congressman Matt Gaetz has said publicly that he has the votes to block that election.
[24:59.000 --> 25:03.000]  He doesn't need but a handful to block that election,
[25:03.000 --> 25:09.000]  and all eyes are going to be on Matt Gaetz. He's a pretty good politician.
[25:09.000 --> 25:14.000]  No, I mean, I agree. So why is Trump endorsing, and I really didn't like that last night,
[25:14.000 --> 25:17.000]  fawning all over Kevin McCarthy?
[25:17.000 --> 25:23.000]  I find that problematic myself. I've argued against it. Look, I can't explain Trump.
[25:23.000 --> 25:26.000]  He is a force of nature, and sometimes he's wrong.
[25:26.000 --> 25:30.000]  But to go back to the point you made at the very top, and I want to be very clear about this,
[25:30.000 --> 25:36.000]  his position on vaccinations is identical to that of Ron DeSantis.
[25:36.000 --> 25:40.000]  If I need to bring you the video of Ron advocating the shot and saying,
[25:40.000 --> 25:43.000]  it will protect you from infection, I can do that.
[25:43.000 --> 25:50.000]  No, no, I remember Trump and DeSantis being wrong. It's just that DeSantis has been coming out against it more
[25:50.000 --> 25:54.000]  and put in that good surgeon general that I really like trying to save kids.
[25:54.000 --> 25:58.000]  All I've been trying to do is see, I'm not a politician. I'm not trying to be part of a political system.
[25:58.000 --> 26:03.000]  I'm an issue person. And so I want Trump to really hurt these poison shots
[26:03.000 --> 26:06.000]  and save more people, all forgiving for being bamboozled into it.
[26:06.000 --> 26:11.000]  So I'm simply operating on the issues. And I know you do as well, but you operate in a political area.
[26:11.000 --> 26:13.000]  I don't, Roger.
[26:13.000 --> 26:18.000]  All I'm saying is today, both of them oppose mandatory vaccinations.
[26:18.000 --> 26:23.000]  Both of them oppose vaccinations for those in the military.
[26:23.000 --> 26:28.000]  Both of them oppose the masking of our children. Their positions are identical.
[26:28.000 --> 26:33.000]  Rhetorically, you're right. The governor has been more aggressive about it.
[26:33.000 --> 26:36.000]  But at the end of the day, their positions are identical.
[26:36.000 --> 26:43.000]  So if those who are pushing DeSantis towards a candidacy, his wife, the billionaires,
[26:43.000 --> 26:48.000]  Jeb Bush, Meghan McCain, Paul Ryan...
[26:48.000 --> 26:54.000]  It really is troublesome. Very troubling that the Rhino-Republican...
[26:54.000 --> 26:59.000]  If they think that's the wedge issue, I think that they're going to be unsuccessful.
[26:59.000 --> 27:05.000]  I really hope the governor will fulfill the next four years of his term here in Florida
[27:05.000 --> 27:10.000]  and think that this state is still not on the knife edge, just because we want a giant election.
[27:10.000 --> 27:16.000]  The left here is more energized than ever. The Clintons are about to take over the Democratic Party.
[27:16.000 --> 27:22.000]  I want him to continue the job he's doing. As governor, where in the last two years of his term,
[27:22.000 --> 27:26.000]  he's been very strong. He's 42 years old. He's got plenty of time.
[27:26.000 --> 27:31.000]  I say it yet again. If he wants to run, it's his prerogative.
[27:31.000 --> 27:37.000]  I think he clears the field. I'm not sure he can sustain a longer conversation.
[27:37.000 --> 27:44.000]  He's very good in a controlled environment. He's very good when he controls the microphone.
[27:44.000 --> 27:50.000]  But in a wide-open, free-fighting debate with a brawler like Donald Trump,
[27:50.000 --> 27:59.000]  I think Trump has personality. He has presence. He often has a self-deprecating humor.
[27:59.000 --> 28:03.000]  The governor is kind of charmless in that regard.
[28:03.000 --> 28:08.000]  What's really amazing, Alex, the reason I know that we're over the target here,
[28:08.000 --> 28:15.000]  is the invective and hatred raining down on me today on Twitter just warms my heart.
[28:15.000 --> 28:20.000]  It really does warm my heart. When these many leftists attack you on Twitter,
[28:20.000 --> 28:22.000]  well, then you know you're doing something right.
[28:22.000 --> 28:26.000]  Well, I have been going with my gut, and I'm not going to say which man I'm supporting,
[28:26.000 --> 28:30.000]  but I think overall Trump is the better choice. He enrages the system.
[28:30.000 --> 28:34.000]  They're totally scared of him, and seeing the establishment get behind DeSantis
[28:34.000 --> 28:37.000]  makes my skin crawl, but I don't blame DeSantis for that.
[28:37.000 --> 28:40.000]  But I want to shift gears into the other big political battles,
[28:40.000 --> 28:45.000]  what it means when Republicans have the House, how some of these other races are ending up,
[28:45.000 --> 28:48.000]  and more with Roger Stone, looking forward into the future.
[28:48.000 --> 28:52.000]  Infowars.com, tomorrow's news today that I got a bunch of big news
[28:52.000 --> 28:57.000]  we haven't even told you about in the next hours, stay with us.
[29:22.000 --> 29:27.000]  And I can't come to 270 electoral votes without any of those states
[29:27.000 --> 29:33.000]  where I believe there is an America first majority in every single one of them.
[29:33.000 --> 29:37.000]  So we need to keep fighting for reform of the system.
[29:37.000 --> 29:40.000]  Tucker Carlson said this better last night than anything else.
[29:40.000 --> 29:42.000]  Communications are the reason why we did well.
[29:42.000 --> 29:46.000]  That's why Infowars.com is so damn important.
[29:46.000 --> 29:49.000]  That's why they're so desperate to take you off the air, Alex.
[29:49.000 --> 29:52.000]  People need to get behind Infowars.
[29:52.000 --> 29:57.000]  This alternative media that we work so hard to bring you is vitally important.
[29:57.000 --> 30:00.000]  We need more of these communications, not less.
[30:00.000 --> 30:05.000]  In Arizona, I think we watched the election be stolen, slowly stolen,
[30:05.000 --> 30:08.000]  day by day counting these mail-in ballots.
[30:08.000 --> 30:13.000]  And it's absolutely absurd for anyone to take our election seriously
[30:13.000 --> 30:18.000]  when it's election month, Alex. It's not election day.
[30:18.000 --> 30:22.000]  That's the problem. And everything changed after COVID-19.
[30:22.000 --> 30:28.000]  They illegally changed state elections, mailing ballots to anyone and everyone,
[30:28.000 --> 30:31.000]  and sometimes mailing multiple ballots to people.
[30:31.000 --> 30:33.000]  Well, this isn't any way to run an election.
[30:33.000 --> 30:37.000]  We're in a serious country when we have elections that can be stolen like this.
[30:37.000 --> 30:41.000]  And I believe that just like I believe the election was stolen in 2020,
[30:41.000 --> 30:43.000]  and I have no problem saying that,
[30:43.000 --> 30:48.000]  and it is so absurd for the media and the Democrats to attack us
[30:48.000 --> 30:53.000]  that question our election integrity and question the fact that elections
[30:53.000 --> 30:55.000]  shouldn't be run the way they are.
[30:55.000 --> 30:59.000]  We're not election deniers. We're election realists.
[30:59.000 --> 31:05.000]  I am extremely honored to be seen by the globalists as their number one enemy.
[31:05.000 --> 31:09.000]  I am blessed to know that our information is so hardcore
[31:09.000 --> 31:14.000]  that the enemies of humanity are obsessed with silencing us.
[31:14.000 --> 31:18.000]  They know the truth about their globalist operations is exposed.
[31:18.000 --> 31:19.000]  It's game over.
[31:19.000 --> 31:24.000]  And all over the planet, humanity is awakening and peacefully fighting back.
[31:24.000 --> 31:29.000]  And our main tool is free speech and the truth we promote using free speech.
[31:29.000 --> 31:32.000]  That's why when you share articles and videos from man.video
[31:32.000 --> 31:36.000]  or infowars.com or newswars.com, it changes the world.
[31:36.000 --> 31:40.000]  And that's why when you go to infowars.com and get amazing products
[31:40.000 --> 31:44.000]  that empower you and your body and your immune system and that of your family,
[31:44.000 --> 31:48.000]  you're also empowering the tip of the spear in the fight against the globalist.
[31:48.000 --> 31:51.000]  The fight starts at infowars.com.
[31:51.000 --> 31:54.000]  And the support of the fight starts at infowars.com.
[31:54.000 --> 32:07.000]  God bless and thank you all for your support.
[32:54.000 --> 32:59.000]  OnlineHealthNow.com as a conduit to the wellness company.
[33:24.000 --> 33:28.000]  It's Alex Jones.
[33:28.000 --> 33:32.000]  There's a lot of calculus goes into this.
[33:32.000 --> 33:34.000]  But also a lot of discernment.
[33:34.000 --> 33:37.000]  And Trump is far from perfect, none of us are.
[33:37.000 --> 33:42.000]  But I got to tell you, he's got the new world order scared of him.
[33:42.000 --> 33:44.000]  They've been persecuting a little bit hell out of him.
[33:44.000 --> 33:48.000]  And I love it when Jared Kushner, who we know is a villain,
[33:48.000 --> 33:55.000]  in a 666 Fifth Avenue building and Trump's daughter, now that they are openly attacking Trump
[33:55.000 --> 33:57.000]  and distancing themselves.
[33:57.000 --> 34:00.000]  That means the knives are out for Trump and they're coming after him.
[34:00.000 --> 34:04.000]  And so if we don't support Trump now, we don't support free and fair elections.
[34:04.000 --> 34:09.000]  We don't support the president that we voted in and the deep state stole it from us.
[34:09.000 --> 34:14.000]  Donald Trump announced that 2024 pressures will run to make us great and glorious again.
