[00:00.000 --> 00:02.000]  We've got it.
[05:28.000 --> 05:34.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[05:34.000 --> 05:39.000]  Or save big with a one to two year supply of soaps for all your cleaning needs.
[05:39.000 --> 05:41.000]  This is an amazing deal.
[05:41.000 --> 05:46.000]  You can save thousands of dollars and you will love the way real soap makes you feel.
[05:46.000 --> 06:01.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[06:01.000 --> 06:11.000]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[06:11.000 --> 06:24.000]  Thomas Jefferson. It's Alex Jones on the GCN Radio Network.
[06:24.000 --> 06:27.000]  Ladies and gentlemen, we are live.
[06:27.000 --> 06:36.000]  Thank you so much for joining us on this live 10th of March, 2013 worldwide broadcast.
[06:36.000 --> 06:49.000]  I am your host, Alex Jones, and we are here every Sunday 4 to 6 p.m. Central back weekdays, 11 a.m. to 2 p.m. Central.
[06:49.000 --> 06:52.000]  Blasting on over 150 AM and FM affiliates.
[06:52.000 --> 06:55.000]  Time will catch on XM 166 on a weekday show.
[06:55.000 --> 06:57.000]  They have not yet picked up the Sunday.
[06:57.000 --> 06:59.000]  Give them a call. Tell them you want to hear it.
[06:59.000 --> 07:02.000]  OK, ladies and gentlemen, where to start here?
[07:02.000 --> 07:12.000]  I've been gone for the last week, but working a lot from the road, filing video reports and writing news articles for info wars dot com and prison planet dot com.
[07:12.000 --> 07:20.000]  And I was planning to come back this morning to Austin, Texas, but I came back yesterday instead.
[07:20.000 --> 07:29.000]  And the story I'm going to tell a little bit later in the hour is a personal story, but it also affects those of you that support the First Amendment.
[07:29.000 --> 07:48.000]  But it's a window into the mindset of thuggery and bullies and government and oppression and corporate oppression and how laying down to corruption is the road to serfdom, the road to enslavement, the road to feudalism.
[07:48.000 --> 08:01.000]  And just just briefly, I'll tell you, I got a call Friday evening by Max Cabrera who heads up planet info wars dot com, our popular social network for people that love freedom worldwide.
[08:01.000 --> 08:06.000]  From dating to firearms, it's all on their planet info wars dot com.
[08:06.000 --> 08:08.000]  Set up your own profile if you'd like.
[08:08.000 --> 08:13.000]  And he had an idea to hand out 10000 free copies of info wars magazine.
[08:13.000 --> 08:17.000]  During South by Southwest, one of the biggest film interactive deals in the country.
[08:17.000 --> 08:19.000]  And I've been a speaker at South by Southwest.
[08:19.000 --> 08:21.000]  I've been involved with it some.
[08:21.000 --> 08:23.000]  I think overall it's a good event.
[08:23.000 --> 08:28.000]  It's a little bit exploitive of some of the yuppies and want to be stars and media people that are coming.
[08:28.000 --> 08:29.000]  They're actually looking for a job.
[08:29.000 --> 08:34.000]  But the point is, so I mean, nothing against South by Southwest overall.
[08:34.000 --> 08:42.000]  But he called me and said the police are writing us tickets, handing out your magazines on city streets, and they're saying they were ordered to by the conference.
[08:42.000 --> 08:45.000]  And I said, well, the conference isn't God.
[08:45.000 --> 08:48.000]  I mean, they don't own the sidewalks.
[08:48.000 --> 08:51.000]  And then the police started refusing to do it.
[08:51.000 --> 08:54.000]  It actually had a chance to talk to him and talk to local CBS.
[08:54.000 --> 09:04.000]  They interviewed the police who said, yeah, we're not going to follow this directive from the code enforcement who told them don't let info wars hand out magazines when everybody else was handing out stuff.
[09:04.000 --> 09:12.000]  I mean, my God, they have women out there handing out massage parlor cards, basically prostitution cards and stuff or, you know, come to our bar, come to our topless bar or whatever.
[09:12.000 --> 09:16.000]  But but all that was OK, but info wars wasn't OK.
[09:16.000 --> 09:28.000]  And so I went ahead and drove in yesterday morning instead of driving back in from Galveston, where I was telling my family before spring break, I like to take off and everybody else is actually at work so that there's nobody around.
[09:28.000 --> 09:29.000]  That's just how I work.
[09:29.000 --> 09:31.000]  I tend to zig when people zag.
[09:31.000 --> 09:34.000]  So I came back in early and I talked to the code enforcer.
[09:34.000 --> 09:35.000]  People got their name.
[09:35.000 --> 09:42.000]  They said, yeah, we're ordered that you're not even allowed to have info wars bumper stickers on your car and park in a parking meter downtown.
[09:42.000 --> 09:46.000]  I mean, I actually talked to the guy, got his name, followed a report yesterday on it.
[09:46.000 --> 09:47.000]  It was so bizarre.
[09:47.000 --> 09:50.000]  But then when I got down there.
[09:50.000 --> 10:03.000]  It was quite an experience to watch the intimidation fold in on itself, because before I ever came down here within hours of the police first following orders, they revolted and said, we're not going to do this.
[10:03.000 --> 10:04.000]  There's no law.
[10:04.000 --> 10:13.000]  This is a misappropriation of a US Constitution via the state constitution and an awesome municipal code.
[10:13.000 --> 10:18.000]  So I learned from Kay who actually did the interview and had the text of what the cops had said when I pulled up.
[10:18.000 --> 10:20.000]  Kay, I ran over and said, well, it's too late to have you on now.
[10:20.000 --> 10:23.000]  You're supposed to be here 20 minutes ago, but we talked to the cops confirming your story.
[10:23.000 --> 10:27.000]  They've already refused to give tickets or arrest your crew.
[10:27.000 --> 10:30.000]  You have a First Amendment, obviously.
[10:30.000 --> 10:38.000]  As I'm already telling the story, it just shows, though, that I had to say no, the police had to say no, but they didn't stop there.
[10:38.000 --> 10:43.000]  My street team comes back later and says, my gosh, they just sent out bouncers on the street.
[10:43.000 --> 10:45.000]  You know, big guys with shaved heads.
[10:45.000 --> 10:46.000]  I don't think it's people with shaved heads.
[10:46.000 --> 10:49.000]  You know, big guys saying you're not allowed to be out here, watch it.
[10:49.000 --> 10:51.000]  I mean, right out of Goodfellas.
[10:51.000 --> 10:57.000]  So it just shows how anything starts to try to grab power and push people around.
[10:57.000 --> 11:01.000]  So I went down there and had a quick impromptu rally just off the website posting.
[11:01.000 --> 11:04.000]  Over 100 people showed up over the hour and a half.
[11:04.000 --> 11:05.000]  It was really more than that.
[11:05.000 --> 11:09.000]  People would come and go, and people had parking nearby, people at the event.
[11:09.000 --> 11:11.000]  Hundreds came by and voiced their support.
[11:11.000 --> 11:16.000]  I guess I'm already covering this now, so I'll just finish up with the story and then get into all the geopolitical.
[11:16.000 --> 11:24.000]  But it's an example of how, at first, some of the media people, when I was driving back to Austin talking to them, were like, well, what's the big deal?
[11:24.000 --> 11:26.000]  I'm like, what's the big deal?
[11:26.000 --> 11:34.000]  A private group now says they own the city streets of Austin and the sidewalks and that we can't have bumper stickers on our car.
[11:34.000 --> 11:42.000]  I talked to the code enforcers when they were threatening to give tickets, and we didn't follow those, have the police arrest people, until the police said no.
[11:42.000 --> 11:44.000]  And I'm like, well, what's the problem?
[11:44.000 --> 11:45.000]  Well, your car's parked down the street.
[11:45.000 --> 11:48.000]  It's got Infowars bumper stickers on it.
[11:48.000 --> 11:50.000]  And I said, so that's not allowed.
[11:50.000 --> 11:52.000]  And they said, well, yes, that's not allowed.
[11:52.000 --> 11:54.000]  And I said, well, what's the code?
[11:54.000 --> 11:55.000]  Well, it's this code.
[11:55.000 --> 11:56.000]  I looked that code up.
[11:56.000 --> 12:01.000]  That's like hot dog stands blocking a sidewalk.
[12:01.000 --> 12:08.000]  You're using a right-of-way code here that I just can't pull over on the right-of-way on a highway and sell whatever I want.
[12:08.000 --> 12:11.000]  And I said, we're handing out free magazines on the sidewalk.
[12:11.000 --> 12:13.000]  You don't own that sidewalk.
[12:13.000 --> 12:16.000]  And then I talked to some of the police on the phone.
[12:16.000 --> 12:17.000]  They said, we agree.
[12:17.000 --> 12:19.000]  We're going to talk to our superiors.
[12:19.000 --> 12:24.000]  The point is, is that Shot By Southwest ordered code enforcement out there.
[12:24.000 --> 12:26.000]  They then ordered the police to give us tickets.
[12:26.000 --> 12:29.000]  They did give warning tickets and then revolted and said, we're not even going to do that.
[12:29.000 --> 12:34.000]  And by the time I got down there last night, the cops were coming over, getting pictures with me saying, we agree.
[12:34.000 --> 12:36.000]  I asked the cops, do you support the First Amendment?
[12:36.000 --> 12:38.000]  They were putting their thumbs up.
[12:38.000 --> 12:40.000]  And they were laughing at it.
[12:40.000 --> 12:42.000]  But at first it was very serious.
[12:42.000 --> 12:45.000]  Then my crew, as I'm leaving, was down at Sixth Street.
[12:45.000 --> 12:47.000]  I was down at the convention center on First and Second.
[12:47.000 --> 12:53.000]  They run over and they go, oh, my gosh, big muscle guys with shaved heads and came over and said, we better watch it.
[12:53.000 --> 12:55.000]  We're not allowed to be out here.
[12:55.000 --> 12:59.000]  And man, let me tell you, I'm not looking for trouble, but you want to punch my buttons.
[12:59.000 --> 13:02.000]  Have some big thug come over and tell me I can't be on the sidewalk.
[13:02.000 --> 13:08.000]  I mean, I'm not looking for trouble, but you just absolutely punched my buttons right there.
[13:08.000 --> 13:10.000]  And I turned into Yosemite Sam.
[13:10.000 --> 13:14.000]  I mean, I just do not know what to say about this country.
[13:14.000 --> 13:19.000]  But that's what's happened with the free speech zones and the checkpoints and all of it.
[13:19.000 --> 13:21.000]  None of us really want to live under this.
[13:21.000 --> 13:23.000]  Police don't want their kids living under this.
[13:23.000 --> 13:25.000]  You don't want to live under this.
[13:25.000 --> 13:26.000]  The bureaucrats, most of them aren't bad.
[13:26.000 --> 13:27.000]  They don't want to live under it.
[13:27.000 --> 13:29.000]  Citizens don't want to live under it.
[13:29.000 --> 13:38.000]  But a few elitists, the guys with all the private jets paid for with government contracts and all the insiders, they love it.
[13:38.000 --> 13:43.000]  And they use bureaucracy to create monopolies and shut down their competition.
[13:43.000 --> 13:47.000]  And I'd always heard the stories about the Chronicle that runs and owns.
[13:47.000 --> 13:53.000]  Lewis Black started the South by Southwest interactive and music thing 20 something years ago.
[13:53.000 --> 13:55.000]  I'd always heard the stories.
[13:55.000 --> 14:03.000]  Well, I've even seen them in the news where if you try to have in your own parking lot of your bar an event with music during South by Southwest, 20 miles away.
[14:03.000 --> 14:07.000]  I mean, they'll go outside the city to the Round Rock.
[14:07.000 --> 14:14.000]  I've talked to people and show up and say, anybody that sings or plays at this event, you'll never be involved with our event.
[14:14.000 --> 14:17.000]  I mean, that's.
[14:17.000 --> 14:22.000]  That's uncivil and by uncivil, there's serious civil penalties.
[14:22.000 --> 14:26.000]  And I'm thinking about just because I don't like thug ism.
[14:26.000 --> 14:32.000]  You know, some of the cable people and others had to take over access TV, even though I wasn't even doing shows down there anymore.
[14:32.000 --> 14:38.000]  I was there in my radio show on there slash video about six, seven years ago, eight years ago now.
[14:38.000 --> 14:44.000]  And I went to a city council meeting, telecommunications meeting, and they came over and threatened me.
[14:44.000 --> 14:47.000]  In fact, one guy came over and said, I'm a former Marine.
[14:47.000 --> 14:53.000]  When my camera was off, I will kill you if you don't stop trying to stop the shutdown of access TV.
[14:53.000 --> 14:56.000]  And I said, that's it. This is obviously something's going on here.
[14:56.000 --> 15:05.000]  This is obviously criminal. So I hired a private investigator, did some other stuff, went to some meetings, bluff people and said, I know you're stealing money, got them to admit it.
[15:05.000 --> 15:11.000]  And then they only sent the directorate of president to Huntsville, supposed to get like seven years, only spent a few years in jail.
[15:11.000 --> 15:16.000]  And the city shut it down because they were involved higher up. We know, you know, the tip of the iceberg.
[15:16.000 --> 15:19.000]  But I'm not playing games here. I know the law. I know how things work.
[15:19.000 --> 15:25.000]  And I got bigger fish to fry, but I could get together with all the people that have been violated with a class action suit.
[15:25.000 --> 15:31.000]  And see, that's how mafia start. They come in, they get big. Corporations can do it.
[15:31.000 --> 15:36.000]  Government can do it. And that's an example of literally code enforcers, police.
[15:36.000 --> 15:46.000]  And when they wouldn't violate the Constitution, guys coming over, you know, six foot five guys that weigh 300 pounds going better get off the street, ladies, and not hand out those magazines.
[15:46.000 --> 15:53.000]  You're not allowed down here. Watch it, lady. I mean, that is Chicago, New York mafia crap.
[15:53.000 --> 15:57.000]  When you stand up to tyranny, you have liberty. When you bend over, you're a slave.
[15:57.000 --> 16:08.000]  We'll be back with the news. Devastating events like earthquakes, tornadoes, floods, hurricanes or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[16:08.000 --> 16:12.000]  As a result, millions are stockpiling food, gold and weapons.
[16:12.000 --> 16:16.000]  But how will these items help if you or one of your loved ones becomes ill?
[16:16.000 --> 16:21.000]  Supernatural Silver is the ultimate tool to prepare you for a medical emergency.
[16:21.000 --> 16:32.000]  Supernatural Silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles and fungus, and is remarkable for wound care.
[16:32.000 --> 16:37.000]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[16:37.000 --> 16:46.000]  Supernatural Silver has over 500 different uses and a long term shelf life, making it the number one choice of preppers across the country.
[16:46.000 --> 16:53.000]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[16:53.000 --> 16:59.000]  Use the promo code PREPARED for 20% off your entire order and like us on Facebook.
[16:59.000 --> 17:07.000]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good sized meal, that I was still starving.
[17:07.000 --> 17:17.000]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted
[17:17.000 --> 17:25.000]  of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[17:25.000 --> 17:31.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[17:31.000 --> 17:39.000]  The Young Jevity products are designed to give you the real nutrition you need and once you've got that, you don't have to eat as much to be satisfied.
[17:39.000 --> 17:45.000]  I've lost 37 pounds in two months, simply getting the vitamins and minerals I need.
[17:45.000 --> 17:47.000]  Check it out for yourself, it's incredible.
[17:47.000 --> 17:57.000]  Go to InfowarsTeam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[17:57.000 --> 17:59.000]  That's InfowarsTeam.com.
[17:59.000 --> 18:01.000]  Introducing Pro One.
[18:01.000 --> 18:05.000]  All of your filtration in one system, portable, on the go.
[18:05.000 --> 18:09.000]  No more do you have two or three filters to just reduce sodium fluoride.
[18:09.000 --> 18:15.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid.
[18:15.000 --> 18:26.000]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[18:26.000 --> 18:33.000]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[18:33.000 --> 18:50.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosolic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[18:50.000 --> 18:59.000]  Get your Pro Pure with the new Pro One filters today at InfowarsStore.com or by calling 888-253-3139.
[18:59.000 --> 19:02.000]  Alex Jones here with a message to fellow freedom lovers.
[19:02.000 --> 19:07.000]  The prognosis for the entire planetary economic system runs from bad to worse.
[19:07.000 --> 19:14.000]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[19:14.000 --> 19:20.000]  That's why we've assembled the most vital and important preparedness items at InfowarsShop.com.
[19:20.000 --> 19:24.000]  These are items that I did research on that I personally use.
[19:24.000 --> 19:29.000]  We've got the LifeStraw so you can turn fetid water into safe water anywhere you go.
[19:29.000 --> 19:34.000]  The Ktor Hand Crank Generator to charge up key equipment during power outages or out in the field.
[19:34.000 --> 19:44.000]  Strategic Relocation 3rd Edition by Joel Skousen. When Disaster Strikes by Matthew Stein. TheraSafe used by Homeland Security to protect yourself during any radiological event.
[19:44.000 --> 19:52.000]  Hand Crank Shortwave AM-FM radios. Everything that we've researched and found to be the best is available at InfowarsShop.com.
[19:52.000 --> 19:59.000]  And your purchase makes our Infowar possible. We're getting prepared. Are you? InfowarsShop.com.
[19:59.000 --> 20:08.000]  Coast to Coast. Direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:29.000 --> 20:42.000]  Okay, my friends, we are back live. We got ZZ Top, born deep in the heart of Texas, bringing us in.
[20:42.000 --> 20:52.000]  Look, my job is to get you to understand the philosophies used by the corrupt, the oppressive, the monopoly men.
[20:52.000 --> 21:04.000]  So that you can navigate what's happening out there, not just, oh, we're going to vote for Republicans or we're going to vote for libertarians or, you know, we're going to stand up against tyranny.
[21:04.000 --> 21:10.000]  Well, what does that mean? Standing up against tyranny means knowing what tyranny is.
[21:10.000 --> 21:19.000]  Okay, well, you know what basic tyranny is. I know I do. But it takes a lot of studying to know the tricks they play.
[21:19.000 --> 21:29.000]  The manipulations they engage in. And it turns out the establishment thinks you're so stupid. They write books and handbooks and brag.
[21:29.000 --> 21:36.000]  I mean, Karl Rove bragged to The New York Times. Yeah, we lie and make stuff up, but you'll go along with the new reality that we tell you about.
[21:36.000 --> 21:44.000]  And then Gibbs came out a few weeks ago, the former press secretary, said, yeah, we lie to the public about things that publicly publicly exist.
[21:44.000 --> 21:52.000]  It's the Wizard of Oz. And the reporters all laugh with him. Because the public doesn't know he's lying.
[21:52.000 --> 22:02.000]  They just whoever's the fanciest, whoever's wearing the nicest tie, whoever is in the fanciest studio, they must be telling the truth.
[22:02.000 --> 22:10.000]  There's not two billion bullets that have been bought. They're not buying giant armored vehicles for Homeland Security, even though it's all public.
[22:10.000 --> 22:20.000]  All available on the federal websites, the purchases they've made. They'll just have Politico and 15, 16 other publications this week come out and say, I'm a liar.
[22:20.000 --> 22:27.000]  And Sarah Palin is insane because she's quoting me and that there are no bullets and there are no armored vehicles.
[22:27.000 --> 22:33.000]  And we're liars. That's like saying that California doesn't exist or the moon doesn't exist.
[22:33.000 --> 22:42.000]  But let me tell you, for the dumbed down masses of people out there, they sit back and laugh and go. Robert Gibbs came out and said hundreds of times, there are no drones.
[22:42.000 --> 22:48.000]  We're not killing anyone with drones. There is no drone program. I mean, I played it two weeks ago here on the Sunday show.
[22:48.000 --> 22:53.000]  I guess I could play it again. Can you guys queue up, Gibbs? Thanks. And I have like 20 clips. We'll play an old one here.
[22:53.000 --> 22:58.000]  Because people hear that and they go, oh, yeah, right. No, no, no. And they all laugh. See, it's funny to them.
[22:58.000 --> 23:08.000]  See, it's not funny to me. And I get upset when I'm told I can't have an Infowars bumper sticker on my car downtown
[23:08.000 --> 23:18.000]  because a code enforcer says no advertising allowed downtown and uses a code about blocking rightaways and tells cops to enforce a fraudulent code.
[23:18.000 --> 23:23.000]  I get in the car and drive back to town and go down and bullhorn them and dare them to arrest me.
[23:23.000 --> 23:29.000]  But I show up and the cops are like, we already refused. We know they're tyrants. Hey, let me get a photo with you.
[23:29.000 --> 23:36.000]  You see, that's when tyranny fails is when they cannot convince the enforcers to go along with it and when the people don't lay down.
[23:36.000 --> 23:43.000]  Because if we don't see, I later learned the police in Austin. That's why I'm talking about this instead of all this big international national news,
[23:43.000 --> 23:47.000]  because it's a microcosm of everything else.
[23:47.000 --> 23:57.000]  That I sent my crew out with a street team they hired, thousands of dollars, to hand out 10,000 copies of a free magazine.
[23:57.000 --> 24:06.000]  We sell them in bulk at cost at Infowarshop.com. We were handing out 10,000 to all the film people to wake them up about the police state.
[24:06.000 --> 24:16.000]  The cover of the magazine has an American flag on it. And it says inside the mind of the establishment and breaks down all the tyranny and the attack on free speech.
[24:16.000 --> 24:21.000]  Oh, isn't that funny? And how to save America. Boy, that's really evil stuff.
[24:21.000 --> 24:26.000]  So the establishment is so freaked out about that, they order the cops to go give tickets.
[24:26.000 --> 24:30.000]  The cops refuse and give warnings within hours before they even knew I was coming.
[24:30.000 --> 24:34.000]  They started refusing. The code enforcers then refused.
[24:34.000 --> 24:41.000]  So then people claiming that they were with South by Southwest came and confronted by street team big guys and said, you better get off the street.
[24:41.000 --> 24:50.000]  I mean, again, that is a microcosm, a tiny window into the mindset of everything we're facing.
[24:50.000 --> 24:53.000]  And so Robert Gibbs, we have that clip.
[24:53.000 --> 25:01.000]  When I went through the process of becoming press secretary, one of the things, one of the first things they told me was you're not even to acknowledge the drone program.
[25:01.000 --> 25:06.000]  You're not even to discuss that it exists. And so I would get a question like that.
[25:06.000 --> 25:14.000]  And literally, I couldn't tell you what major asked, because once I figured out it was about the drone program, I realized I'm not supposed to talk about it.
[25:14.000 --> 25:18.000]  And but here's what's inherently crazy about that proposition.
[25:18.000 --> 25:24.000]  You're being asked a question based on reporting of a program that exists.
[25:24.000 --> 25:29.000]  Right. So you're the official government spokesperson acting as if the entire program.
[25:29.000 --> 25:32.000]  Pay no attention to the man behind the curtain.
[25:32.000 --> 25:36.000]  So at first, I'm talking to the code enforcer over the phone, driving back to us.
[25:36.000 --> 25:40.000]  He's like, what's the big deal? You know, I've heard your show. Come on, just work with us.
[25:40.000 --> 25:43.000]  And I'm like, you don't want stickers on our car in America.
[25:43.000 --> 25:46.000]  He goes, I'm just following orders. And the cops are there with them.
[25:46.000 --> 25:51.000]  I'm talking to my crew off and on. And I just said, well, you can do whatever you want, crew.
[25:51.000 --> 25:54.000]  But I just keep handing them out and tell them, go ahead and give you tickets.
[25:54.000 --> 25:56.000]  And then finally, the police just said, we're not going to do this.
[25:56.000 --> 26:03.000]  And again, within that little story, if we would have just gone along.
[26:03.000 --> 26:05.000]  And the police would have just gone along.
[26:05.000 --> 26:15.000]  That would have been North Korean level tyranny in the town where I live in Austin, Texas, named after.
[26:15.000 --> 26:21.000]  Stephen F. Austin, one of the founders of this great state, Travis County, named after William Barrett Travis.
[26:21.000 --> 26:29.000]  Can you imagine if you told William Barrett Travis, there'll come a day where you can't hand out pamphlets in Texas.
[26:29.000 --> 26:32.000]  He'd say, oh, is that Santa Ana? Is that the dictator?
[26:32.000 --> 26:36.000]  I mean, only dictators act like this. This is outrageous.
[26:36.000 --> 26:39.000]  And if we just comply and go along, it's over.
[26:39.000 --> 26:43.000]  Take the establishment dinosaur media, and I'm going to come back and get into all the news.
[26:43.000 --> 26:45.000]  And believe me, it's important.
[26:45.000 --> 26:50.000]  Rand Paul gets up on what, Wednesday night, and he filibusters for 13 hours.
[26:50.000 --> 26:52.000]  And the media tried to ignore it.
[26:52.000 --> 26:58.000]  And he had to filibuster because as a senator, in the approval of the new CIA director.
[26:58.000 --> 27:04.000]  Because again, the House and the Senate is the legislative arm.
[27:04.000 --> 27:07.000]  It's actually the boss of the executive. It creates the laws.
[27:07.000 --> 27:12.000]  It confirms the officers and the directors and the cabinet people.
[27:12.000 --> 27:14.000]  The president's not a dictator, at least it's supposed to be.
[27:14.000 --> 27:22.000]  So he's like, I want the details, I want answers on domestic drone programs that you're admittedly launching.
[27:22.000 --> 27:24.000]  Give me the information.
[27:24.000 --> 27:26.000]  And they said, it's classified, you can't have it.
[27:26.000 --> 27:28.000]  It's classified, I'm a US senator.
[27:28.000 --> 27:32.000]  The US Intelligence Committee on the Senate can't get this.
[27:32.000 --> 27:34.000]  We're your boss.
[27:34.000 --> 27:36.000]  Definitely co-equal.
[27:36.000 --> 27:44.000]  But control the laws and the approval of who's in charge so the president can't just put all his people in and take over.
[27:44.000 --> 27:47.000]  So in this area, we're above the president, give me that.
[27:47.000 --> 27:49.000]  And they said, no, we're not.
[27:49.000 --> 27:51.000]  In fact, they wouldn't even respond for several months.
[27:51.000 --> 27:55.000]  So Rand Paul had to go filibuster for 13 hours.
[27:55.000 --> 27:59.000]  And so they released the memos and it said, yes, we can kill Americans.
