[00:00.000 --> 00:11.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[06:46.000 --> 07:06.000]  Again, folks, coming up in the second hour, a real NSA insider, whistleblower, will be joining us, Wayne Madsen.
[07:06.000 --> 07:17.000]  A big cover story in the London Guardian Slash Observer came out yesterday and was denoticed by the British government.
[07:17.000 --> 07:22.000]  They have national security declarations over there where they can shut the press down. Very authoritarian.
[07:22.000 --> 07:37.000]  Under the so-called US government request, they have been slapping down scores of mainstream media reports about illegal spying and how Europe and the UK is working with the criminals that run our government to engage in this type of activity.
[07:37.000 --> 07:54.000]  And Wayne Madsen's story that was up on the Guardian, there was not a retraction, there was not anything. It went out in the print edition of the newspaper nationwide and into Europe. It's one of the biggest English speaking papers in Europe, if not the biggest.
[07:54.000 --> 08:03.000]  It went out, but they removed it off of the online and we have screenshots of it at the bottom of the article on infowars.com.
[08:03.000 --> 08:16.000]  They removed it and now they have removed it from the Google cache system that I've never seen Google remove something from its cache.
[08:16.000 --> 08:28.000]  So that has all been disappeared and we have links to that you can see up on infowars.com and exclusively Wayne Madsen will be joining us.
[08:28.000 --> 08:34.000]  He's talked to the newspaper, it was the government, quote, putting pressure on them to remove it.
[08:34.000 --> 08:48.000]  But as Madsen pointed out over the phone, I said, well, wait, the stuff you talk about, you're smart, like Dr. Bob Bowman, the former head of the Star Wars program, the weaponized space system before that Colonel Bowman in the Air Force.
[08:48.000 --> 08:58.000]  You're smart, like that engineer, nuclear physicist Bob Bowman, he'll come on and talk about space weapons, but only what's been accidentally leaked by other people.
[08:58.000 --> 09:04.000]  Only what's been gotten out by the press in the past, he can come out and say what's accurate and what isn't.
[09:04.000 --> 09:16.000]  And he talked about on C-SPAN debating the current head of the Star Wars program in the late 80s and the guy got real angry with him and started releasing a bunch of classified stuff.
[09:16.000 --> 09:24.000]  And so he was then able to talk about that because his former colleague got angry and was blurting it out.
[09:24.000 --> 09:38.000]  And the truth is, it's like General Petraeus as the head of the CIA last year now defrocked, disgraced, kicked out in one of those interagency wars was at a technology conference put on by Wired Magazine.
[09:38.000 --> 09:48.000]  And he said, look, we got wireless internet looking through your walls. He said, look, all your new appliances have microphones, cameras, your dishwashers watching you.
[09:48.000 --> 09:56.000]  And of course, we're listening to everything you're doing, but it's for your safety.
[09:56.000 --> 10:10.000]  So because he was promoting it from a perspective of this spying illegally is good for you.
[10:10.000 --> 10:20.000]  And to keep you safe from the bad men, like we're two years old and really believe these fairy tales, then you don't go to jail.
[10:20.000 --> 10:28.000]  But if you're Edward Snowden and you come out and you say, hey, they're spying on everybody illegally.
[10:28.000 --> 10:35.000]  These are the programs that are in place. And I think it's terrible and I can't go on living like this anymore.
[10:35.000 --> 10:47.000]  Then they've got to call you a traitor and an enemy and a piece of trash and say you've endangered America and get all sick of panic about national security.
[10:47.000 --> 10:53.000]  When the globalists are the ones destroying our industry, our sovereignty and our security.
[10:53.000 --> 11:10.000]  So I'm going to talk to the people out there like David Gregory of Meet the Press who with extreme salivation had green wall of the Guardian on last Sunday and said, hey, you ought to be arrested.
[11:10.000 --> 11:18.000]  We played the clip last Sunday. You ought to be arrested. You know, maybe you should be arrested. And I mean, this is so outrageous.
[11:18.000 --> 11:25.000]  The spying is illegal on record without warrants.
[11:25.000 --> 11:31.000]  This is part of the war on journalists. They're using the NSA on the Associated Press and on Fox News.
[11:31.000 --> 11:40.000]  They're arresting members of the State Department that talk to Fox News or to this show for that matter.
[11:40.000 --> 11:47.000]  People go to the State Department, to the cafeteria, meet with them and go, what's your view as a top analyst on North Korea?
[11:47.000 --> 11:52.000]  Are they capable of, you think, really launching a nuclear weapon at Japan?
[11:52.000 --> 12:01.000]  Well, yes, we think they're crazy enough. They are unstable enough to do it and we don't think they're planning to, but they are dangerous and we believe they have three weapons.
[12:01.000 --> 12:14.000]  I mean, that's in the newspaper. And they went and arrested that guy and are talking about charging the Fox News head national security reporter.
[12:14.000 --> 12:22.000]  And that was in the news a month ago. And then they take Snowden. There's a bunch of whistleblowers. There's been AT&T NSA whistleblowers.
[12:22.000 --> 12:31.000]  There's been a ton of them. James Bamford interviewed a bunch of whistleblowers and brought out more than Snowden did 12 years ago in Body of Secrets.
[12:31.000 --> 12:43.000]  We interviewed him. And mainly what he did was go and dig through the National Security Archives and then go and talk to retired people about what they could tell them about things in the archives.
[12:43.000 --> 12:59.000]  And mainly it was our so-called government shipping narcotics around the world, our so-called government running sex slavery, white slavery, our so-called government staging terror attacks to blame foreign governments and take American liberty.
[12:59.000 --> 13:08.000]  That came out in ABC News, by the way. James Bamford used to be the producer, the news director of Nightline.
[13:08.000 --> 13:18.000]  Oh, you didn't know they've declassified over 200 instances of the U.S. Army blowing stuff up to blame an enemy.
[13:18.000 --> 13:37.000]  I mean, our military says, well, we do this because other people do. Yeah, I guess other people do. Operation Hemler was more than a dozen stage terror attacks to be blamed on Poland and countries like that to start World War II.
[13:37.000 --> 13:47.000]  I guess Operation Hemler did really work well for a while.
[13:47.000 --> 14:01.000]  So this is the type of stuff I deal with and that we all deal with when we're informed is hearing other talk show hosts literally shallivate on air going Richard Snowden or Edward Snowden, you know, as a trader.
[14:01.000 --> 14:12.000]  And all these people need to be arrested and we need to go after them and and we need to go after people that try to hurt America and all this business.
[14:12.000 --> 14:25.000]  He didn't give out ICBM information. He didn't give out cruise missile information. He didn't give out how many knots an aircraft carrier can move or steam as they call it.
[14:25.000 --> 14:36.000]  Not even though it's nuclear power, they call it steam. I guess they call it cruise now. He didn't give out the classified speed of an Abrams M1A1 tank.
[14:36.000 --> 14:54.000]  They didn't give any of that out. He came out and said, we are spying on everybody in the middle of a huge scandal where they were caught spying on the press and caught spying on the on the House cloakroom and the Senate cloakroom where people go to eat their lunch.
[14:54.000 --> 15:02.000]  The Justice Department has stinking microphones planted in there. Totally illegal. Totally illegal.
[15:02.000 --> 15:10.000]  And all of this comes out, ladies and gentlemen, and we've known this before. MI6 has been caught spying on the British Parliament.
[15:10.000 --> 15:26.000]  The democracies and the special interests that control them are out of control. And that's the big national security threat is the 800 and 60 plus thousand private contractors with top secret and above top secret clearance.
[15:26.000 --> 15:37.000]  Most of them foreign owned companies here in the U.S. who have access to all the NSA data. Snowden worked for a private company.
[15:37.000 --> 15:49.000]  It happened to be American. The point is, these are globalists that have taken over. They're dialed into all this and they're really using it for unfair trade advantage against companies that aren't on the inside scoop.
[15:49.000 --> 16:00.000]  It'd be like having a bug in your competition's office. Okay, we're going to come back and break down the latest on the NSA scandal that a bunch of other news.
[16:00.000 --> 16:10.000]  Oklahoma reminds us there are many kinds of storms in our lives. Nature regularly sends us destructive storms. 24 hours before a storm strikes, people panic.
[16:10.000 --> 16:20.000]  It would be wise to prepare ahead of the panic curve. The food price storm from drought and livestock problems is forecast to hit ridiculous heights by the end of the summer.
[16:20.000 --> 16:34.000]  Wonder if there'll really be a problem? eFoodsDirect has a plan to maximize your food dollar and guarantee you'll be glad you ordered food. Until June 30th, buy three of any food item and receive the fourth one free with free shipping.
[16:34.000 --> 16:52.000]  The guarantee. After September 20th, when you've seen what happened with food prices and shortages, if you're not glad you ordered food, return the food unopened for a full refund. Go to eFoodsDirect.com slash Alex or call 800-409-5633.
[16:52.000 --> 17:00.000]  Your peace of mind guarantee. eFoodsDirect.com slash Alex or 800-409-5633.
[17:00.000 --> 17:10.000]  Now is the perfect time to spring clean your body with supernatural silver, a non-toxic disinfectant for the body that can be used internally or externally.
[17:10.000 --> 17:24.000]  It helps the immune system by killing the bacteria, viruses and mold that cause disease. This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge.
[17:24.000 --> 17:34.000]  Supernatural silver can help combat over 300 different conditions and it has the ability to kill over 143 types of bacteria, viruses, mold and yeast.
[17:34.000 --> 17:47.000]  Supernatural silver's patented technology includes advanced scientific research with over 180 scientific studies conducted at independent universities, hospitals, research institutions and nursing homes.
[17:47.000 --> 17:59.000]  To see how supernatural silver can change your life, go to supernaturalsilver.com. Use the promo code Silver2013 for 20% off and like us on Facebook.
[18:17.000 --> 18:26.000]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[18:26.000 --> 18:33.000]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[18:33.000 --> 18:36.000]  All of this is happening so fast you need to be ahead of the game.
[18:36.000 --> 18:43.000]  Out to engineer the opinion of the American people so that they would not only endorse but demand a war.
[18:43.000 --> 18:48.000]  Out of another one, another plane just passed.
[19:13.000 --> 19:23.000]  Visit www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[19:23.000 --> 19:30.000]  Order the sampler, a one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[19:30.000 --> 19:33.000]  You're getting soap products twice as good as what you're using now.
[19:33.000 --> 19:45.000]  This is an amazing deal and you will love the way real soap makes your skin feel. Call 1-800-340-7091 or visit www.5starsoap.com.
[19:45.000 --> 20:01.000]  Alex and his staff have used these earth friendly pure soaps for years. See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[20:01.000 --> 20:09.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:31.000 --> 20:51.000]  You think you've got private lives folks? Think nothing of the kind. There is no true escape. Big brothers watching all the time.
[20:51.000 --> 21:01.000]  The only escape is not being intimidated by all this and standing up to the criminal interest that have hijacked our nation and restoring our republic.
[21:01.000 --> 21:13.000]  Now I want to get into a bunch of important crime news. The bizarre statements of Alec Baldwin just because it shows the hypocrisy of the authoritarian left as I call them.
[21:13.000 --> 21:25.000]  We're going to get into U.S. military buildups not just in Jordan but also in Israel by Gaza and it's not even really getting any press here in the U.S.
[21:25.000 --> 21:37.000]  I mean it's in Reuters, it's in France 24 on their national TV but I've been monitoring TV and press here. There's very little coverage of it. It's a big deal.
[21:37.000 --> 21:49.000]  Here's the headline. Jordanian suspicious about U.S. military deployment. The government it says is the U.S. had a drill there and then a month ago and then refused to leave.
[21:49.000 --> 21:58.000]  It's pretty bizarre. So we're going to be looking at that. We're going to be again in depth looking at the NSA but here's what I want to get across to everybody.
[21:58.000 --> 22:16.000]  We've all heard stories and seen convictions in news where 20 year old companies, 150 year old companies, 200 year old companies in some cases in Europe or older were the CEO or the CFO or the president of the company
[22:16.000 --> 22:32.000]  or a managing director gets caught doing something illegal with the company robbing thousands of people or overcharging millions or cheating or using company transport to ship in drugs.
[22:32.000 --> 22:37.000]  You've all seen countless articles and stories like that in the press.
[22:37.000 --> 22:52.000]  There's a lot of examples of it. It doesn't mean that everyone in the company is a criminal. It doesn't mean everybody that works for the organization is bad.
[22:52.000 --> 23:03.000]  When you get a bunch of people in a company operating as criminals, then you can call it organized crime.
[23:03.000 --> 23:16.000]  And when you look at our government and many other governments, I mean, most people will say, oh, well, most governments are corrupt in our tyrannies and our oligarchies.
[23:16.000 --> 23:29.000]  Most governments are wildly corrupt and the police are oppressive and there's a surveillance state and there's checkpoints on the road and the police will rob you if they want or take blood from you at checkpoints.
[23:29.000 --> 23:35.000]  Or when you start going down the list, you're like, wow, that's a lot of places in America.
[23:35.000 --> 23:46.000]  And anyone who's honest will tell you America is declining culturally, spiritually, mentally in very, very many ways and it's accelerating.
[23:46.000 --> 23:56.000]  And when you try to stand up against that decline, you get demonized by the mainstream media and you get demonized by a lot of the politicos that are out there.
[23:56.000 --> 24:02.000]  Because they've got a lot riding on America going quietly into the night.
[24:02.000 --> 24:12.000]  They've got a lot riding on the people standing down.
[24:12.000 --> 24:31.000]  And really all the new world order is, is a private, global, corporate takeover. And Zbigniew Brzezinski and Carol Quigley and Rothkopf and Henry Kissinger and countless others have all written books.
[24:31.000 --> 24:42.000]  Helmut Schmidt, the German Chancellor, Men in Powers, a political retrospective, there are countless books I've personally read where they announced their global corporate government.
[24:42.000 --> 25:00.000]  And where they brag for 50, 60 years that they're above the law, they have diplomatic immunity, that the government ships in the narcotics, that the government runs every bad vice and that select corporate individuals make the money off of it.
[25:00.000 --> 25:12.000]  But it's good because they're altruistic and they're only running the criminal enterprises so that bad people don't get control of it.
[25:12.000 --> 25:21.000]  See, they're in control of it because they'll make sure that it doesn't hurt innocent people that didn't ask for it.
[25:21.000 --> 25:26.000]  And what I'm giving you is the secrets of organized crime here.
[25:26.000 --> 25:38.000]  The mindset, the way it works, the way they think, and they all write books bragging how they're doing it and saying, hey, we're in control, we deserve to be in control.
[25:38.000 --> 25:46.000]  I've been approached by some of these guys on record and off record and said, look, the public would tear you limb from limb.
[25:46.000 --> 25:51.000]  They don't want freedom. You ought to join us.
[25:51.000 --> 26:03.000]  Well, I don't believe that. With the culture they sell, the dumbing down, the propaganda, all of that undoubtedly.
[26:03.000 --> 26:11.000]  We have a decadent wicked society and the general public is a howling, dangerous mob of miscreants on average.
[26:11.000 --> 26:26.000]  But there is a large segment of society and I think bordering on a majority that is hardworking, smart, good, decent, but they're overwhelmed by the complexity of the world, overwhelmed by the magnitude of the corruption.
[26:26.000 --> 26:32.000]  And they believe that they'd have to be able to fix the whole world with one magic button or lever they throw.
[26:32.000 --> 26:46.000]  And that's not how the universe works. But simply put, the New World Order is a corporate, hostile takeover of not just the US, but every other country in the world.
[26:46.000 --> 26:55.000]  It is 2,000 major companies. This is all mainstream news now that have access to most of the NSA data.
[26:55.000 --> 27:04.000]  It is the Fortune 100 roughly and Google and Microsoft and Apple and AT&T and Verizon on record that are the NSA.
[27:04.000 --> 27:10.000]  They have the data centers. They administer the government centers, but most of it's in their centers.
[27:10.000 --> 27:15.000]  And I told you this a decade ago. I told you this 17 years ago because it's all public.
[27:15.000 --> 27:22.000]  Wayne Madsen's coming on. He simply pointed to the Guardian. Here's the European Union Commission from a decade ago admitting this.
[27:22.000 --> 27:27.000]  When James Bamford's book came out on the NSA, the former head producer of Nightline.
[27:27.000 --> 27:33.000]  Here's all the documents. Here's the name of the programs. Here's how they do it. Here's how they run it.
[27:33.000 --> 27:40.000]  And they shut that article down after less than 24 hours and even took it off Google Cash, folks.
[27:40.000 --> 27:46.000]  And you know why they did? Because Wayne Madsen just walked out and said the emperor has no clothes.
[27:46.000 --> 27:57.000]  This is all public. This is in the Telecommunications Act of 96 in the US. This is in your Telecommunications Acts of 1997, 2003 in Europe.
[27:57.000 --> 28:05.000]  And they totally freaked out, ladies and gentlemen.
[28:05.000 --> 28:11.000]  You see, they like it when Snowden's running and scared because they can then act like he did something wrong.
[28:11.000 --> 28:16.000]  They can get everybody to buy into it and call the guy a traitor when he is a hero.
[28:16.000 --> 28:20.000]  And they can have others call him a double agent. That guy's not a double agent.
[28:20.000 --> 28:25.000]  He's a double agent of the globalist. He's not like Lee Harvey Oswald. They sent to Russia to defect or something.
[28:25.000 --> 28:28.000]  I've studied it. I know what I've seen every angle.
[28:28.000 --> 28:37.000]  He's one of many people that tried to get away from this evil who they decided to pick as a cut out to then make the double agent
[28:37.000 --> 28:42.000]  out of him and trying to scare everybody. And tell you, yeah, we're listening to you.
[28:42.000 --> 28:47.000]  And yeah, we torture people. And yeah, we ship in the drugs. What you going to do about it?
[28:47.000 --> 28:51.000]  You see? Now, I'm done talking about that to the next hour.
[28:51.000 --> 28:56.000]  Okay, we're live. It's Sunday right now, 30th of June, 2013.
[28:56.000 --> 29:00.000]  When we come back, I'm going to get into a bunch of key news.
[29:00.000 --> 29:10.000]  You prepare by purchasing gold, food and firearms. But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[29:10.000 --> 29:15.000]  When you're sleeping or away from home, who's watching out for intruders? Check out Simply Safe.
[29:15.000 --> 29:20.000]  It's a new do-it-yourself home security system that is completely wireless.
[29:20.000 --> 29:25.000]  Go to GetSimplySafe.com. Simply Safe is independent and off the grid.
[29:25.000 --> 29:30.000]  It runs on battery power, so even if the grid goes down, you're protected.
[29:30.000 --> 29:36.000]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit or shed.
[29:36.000 --> 29:43.000]  GetSimplySafe.com. Simply Safe is also ridiculously easy to install yourself in under 20 minutes.
[29:43.000 --> 29:46.000]  So there's no need to let a stranger into your home.
[29:46.000 --> 29:50.000]  If you move or need to relocate, you can take the system with you wherever you go.
[29:50.000 --> 29:57.000]  You aren't always at home, but Simply Safe will stand guard, protecting your property 24 hours a day, 7 days a week.
[29:57.000 --> 30:00.000]  Again, that's GetSimplySafe.com.
[30:00.000 --> 30:04.000]  You may be arrested and or subject to other police action.
[30:04.000 --> 30:09.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[30:09.000 --> 30:12.000]  It really says that the state is God.
[30:12.000 --> 30:17.000]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[30:17.000 --> 30:24.000]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[30:24.000 --> 30:30.000]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[30:30.000 --> 30:34.000]  Police state 4 chronicles the sickening depths to which our republic has fallen.
[30:34.000 --> 30:38.000]  Prepare to enter the secretive world of emergency dictatorship.
[30:38.000 --> 30:44.000]  Body scanners, sound cameras, citizen spies, staged terror and cameras on every street corner.
[30:44.000 --> 30:48.000]  It's only the beginning of the New World Order's hellish plan.
[30:48.000 --> 30:51.000]  The police state isn't coming. It's here.
[30:51.000 --> 31:00.000]  Secure your copy today at infowars.com or see it online in the highest quality at prismplanet.tv.
[31:00.000 --> 31:07.000]  Oklahoma reminds us there are many kinds of storms in our lives. Nature regularly sends us destructive storms.
[31:07.000 --> 31:14.000]  24 hours before a storm strikes people panic. It would be wise to prepare ahead of the panic curve.
[31:14.000 --> 31:20.000]  The food price stormed from drought and livestock problems is forecast to hit ridiculous heights by the end of the summer.
[31:20.000 --> 31:22.000]  Wonder if there'll really be a problem?
[31:22.000 --> 31:28.000]  eFoods Direct has a plan to maximize your food dollar and guarantee you'll be glad you ordered food.
[31:28.000 --> 31:34.000]  Until June 30, buy three of any food item and receive the fourth one free, with free shipping.
[31:34.000 --> 31:40.000]  The guarantee. After September 20, when you've seen what happened with food prices and shortages,
[31:40.000 --> 31:45.000]  if you're not glad you ordered food, return the food unopened for a full refund.
[31:45.000 --> 31:51.000]  Go to eFoodsDirect.com slash Alex or call 800-409-5633.
[31:51.000 --> 31:59.000]  Your peace of mind guarantee eFoodsDirect.com slash Alex or 800-409-5633.
[31:59.000 --> 32:03.000]  Are we choosing our own destiny or has it been pre-selected for us?
[32:03.000 --> 32:09.000]  As we've moved through history, every great leader has had to understand the potential of information.
[32:09.000 --> 32:17.000]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[32:17.000 --> 32:22.000]  From compulsory state education to the Hollywood media brainwashing machine,
[32:22.000 --> 32:26.000]  we are kept in perpetual bondage to the ideas that shape our actions.
[32:26.000 --> 32:31.000]  When somebody obscures that feedback loop between you observing and testing it out and verifying it,
[32:31.000 --> 32:33.000]  they can take total control of your awareness.
[32:33.000 --> 32:36.000]  All of this is happening so fast, you need to be ahead of the game.
[32:36.000 --> 32:43.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[32:43.000 --> 33:09.000]  Out of another one, another plane to take.
[33:14.000 --> 33:21.000]  We now take you live to the Central Texas Command Center in the heart of The Resistance.
[33:21.000 --> 33:31.000]  You're listening to the Alex Jones show.
[33:31.000 --> 33:36.000]  There is a new scandal involving the ATF that broke via USA Today.
[33:36.000 --> 33:41.000]  We have the background on it at infowars.com right now.
[33:41.000 --> 33:52.000]  ATF arming robbers in hatched plots that they hatch leaving many dead ATF domestic sting operations,
[33:52.000 --> 33:55.000]  eclipse operation, fast and furious.
[33:55.000 --> 34:02.000]  They go out and find people that they pressure to go out and commit crimes with illegal guns.
[34:02.000 --> 34:06.000]  So they can then point at that and call for all of us to lose our guns,
[34:06.000 --> 34:12.000]  as their own internal memos showed on fast and furious, where they ship thousands of guns into Mexico
[34:12.000 --> 34:17.000]  to then blame the Second Amendment when crimes were committed with them.
[34:17.000 --> 34:19.000]  That's called a false flag event.
[34:19.000 --> 34:23.000]  I'll be getting to that more in just a moment and a bunch of other news I haven't covered yet.
[34:23.000 --> 34:27.000]  But first off, the July issue of Info Wars Magazine is in.
[34:27.000 --> 34:33.000]  You can sign up and get a 12 month subscription at infowarsstore.com.
[34:33.000 --> 34:39.000]  It's a great gift subscription, big, color, glossy, 60 page magazine full of political cartoons,
[34:39.000 --> 34:42.000]  documents, articles, posters.
[34:42.000 --> 34:46.000]  You name it, this issue deals with you are the target of government spying
[34:46.000 --> 34:49.000]  and gets into what the NSA is really up to.
[34:49.000 --> 34:50.000]  And I did this a few months ago.
[34:50.000 --> 34:54.000]  This is the last time I'm doing this for the next six months, maybe a year.
[34:54.000 --> 34:59.000]  We publish three big infowars.com bumper stickers in it.
[34:59.000 --> 35:02.000]  Outdoor bumper stickers, the high quality ones.
[35:02.000 --> 35:04.000]  This one has 10 of them in it.
[35:04.000 --> 35:07.000]  Four big ones, six little ones.
[35:07.000 --> 35:11.000]  I mean, the little ones are medium size to put on your own property or legal and awful areas.
[35:11.000 --> 35:15.000]  Talk about an Info Wars bomb in the Info War.
[35:15.000 --> 35:26.000]  Again, it's got six medium size bumper stickers that you can stick wherever you want.
[35:26.000 --> 35:33.000]  And then it's got the four full size ones.
[35:33.000 --> 35:38.000]  America has been occupied by globalist forces infowars.com.
[35:38.000 --> 35:45.000]  And then under here it says listen to Alex Jones infowars.com.
[35:45.000 --> 35:49.000]  And here's another one infowars.com forbidden information.
[35:49.000 --> 35:52.000]  And then listen to Alex Jones at infowars.com.
[35:52.000 --> 35:54.000]  Great way to wake people up.
[35:54.000 --> 35:58.000]  So, ladies and gentlemen, we're talking 10 bumper stickers.
[35:58.000 --> 36:00.000]  What did you guys just do in there?
[36:00.000 --> 36:02.000]  Because my audio suddenly got clear.
[36:02.000 --> 36:05.000]  I was telling you my audio had been kind of low in my earpiece.
[36:05.000 --> 36:08.000]  And it just suddenly clicked in and then I could hear it good.
[36:08.000 --> 36:10.000]  Wow, that was amazing.
[36:10.000 --> 36:12.000]  That was like the sun coming back or something.
[36:12.000 --> 36:15.000]  Wow, it was driving me crazy and I'd be able to hear it barely.
[36:15.000 --> 36:17.000]  That was neat.
[36:17.000 --> 36:20.000]  So again, ladies and gentlemen, infowars.com.
[36:20.000 --> 36:24.000]  Also by the magazines in bulk in groups of 10 up to 100 at cost
[36:24.000 --> 36:28.000]  to wake up friends and family or put them around your dental office,
[36:28.000 --> 36:32.000]  your barber shop, your store, or buy them in bulk at cost and sell them.
[36:32.000 --> 36:38.000]  Looks like the old fashioned Rolling Stone, you know, the big large size magazine.
[36:38.000 --> 36:41.000]  And lastly, that doesn't really support the broadcast.
[36:41.000 --> 36:44.000]  It just supports Liberty in general and wakes people up.
[36:44.000 --> 36:48.000]  Things like pro pure water filtration, stainless steel, the best out there,
[36:48.000 --> 36:52.000]  side by side comparisons at infowarsstore.com.
[36:52.000 --> 36:57.000]  You can get these incredible filtration systems that cut out so much of the garbage that's out there.
[36:57.000 --> 37:00.000]  One of the biggest things you can do for you and your family's health.
[37:00.000 --> 37:02.000]  All the families out there deserve this.
[37:02.000 --> 37:04.000]  Your children deserve this.
[37:04.000 --> 37:11.000]  You can get the pro pure water filtration systems and get 10% off the already lowest price on the internet
[37:11.000 --> 37:17.000]  with the promo code water online at infowarsstore.com on our online shopping cart
[37:17.000 --> 37:23.000]  or when you call 24 hours a day, seven days a week, 888-253-3139.
[37:23.000 --> 37:26.000]  888-253-3139.
[37:26.000 --> 37:30.000]  And your purchase of the pro pure systems and the books, the films,
[37:30.000 --> 37:34.000]  it's a huge online shopping center there at infowarsstore.com.
[37:34.000 --> 37:36.000]  That funds so much of what we're doing here.
[37:36.000 --> 37:41.000]  So I want to thank all of you for shopping with the Patriots, shopping with the good guys.
