[00:00:00.611 --> 00:00:00.871]  SIREN
[00:07:00.942 --> 00:07:09.546]  We have bought a considerable amount of time, according to all the health experts, to deal with the coronavirus here in the United States.
[00:07:09.546 --> 00:07:11.067]  In fact, as I stand before you today,
[00:07:12.448 --> 00:07:21.435]  The risk of contracting the coronavirus to the American public remains low and the risk of serious disease
[00:07:22.763 --> 00:07:26.704]  Uh, among the American public also remains low.
[00:07:26.704 --> 00:07:36.526]  That being said, uh, uh, the president did deploy not just a whole of government approach, uh, but also a, a whole of America approach.
[00:07:36.526 --> 00:07:48.548]  And last week, uh, at the president's direction, we met with leaders in industries from nursing homes to airlines, pharmaceutical companies, uh, commercial labs, and it's had great, great impact.
[00:07:48.548 --> 00:07:50.549]  Pharmaceutical companies are already working.
[00:07:51.570 --> 00:07:52.190]  We're good to go.
[00:08:08.832 --> 00:08:17.175]  Have already brought a test forward and are taking that to market effective today.
[00:08:17.175 --> 00:08:31.340]  This week, the president's direction will be meeting with hospital CEOs, health insurance CEOs and all building on top of what the president will be announcing tomorrow with regard to economic relief for working Americans.
[00:08:32.080 --> 00:08:37.463]  We also met today in a conference call with 47 of America's governors.
[00:08:37.463 --> 00:08:41.864]  We were able to brief them on the latest, the progress that we've made.
[00:08:41.864 --> 00:08:50.808]  We were able to confirm with them that testing is now available in all state labs in every state in the country.
[00:08:50.808 --> 00:08:53.990]  Over a million tests have been distributed before the end of this week.
[00:08:53.990 --> 00:08:56.811]  Another four million tests will be distributed.
[00:08:56.811 --> 00:08:58.072]  But as I said before,
[00:08:58.772 --> 00:09:13.938]  With the deployment of the commercial labs, we literally are going to see a dramatic increase in the availability of testing and that's all a direct result.
[00:09:13.938 --> 00:09:15.678]  Okay, let's stop right there.
[00:09:15.678 --> 00:09:21.321]  I thought we should hear from Tucker Carlson in the first little segment and now from the Vice President.
[00:09:21.321 --> 00:09:26.743]  Tucker Carlson, I'm very tempted to re-air that little three and a half minutes again at the bottom of the hour because
[00:09:27.754 --> 00:09:31.037]  I'm not here in the Tucker Carlson ass-kissing gallery.
[00:09:31.037 --> 00:09:33.419]  I used to not like Tucker Carlson.
[00:09:33.419 --> 00:09:40.045]  Back when he was on CNN, he was more libertarian-esque, not really hardcore, but he's really matured into a thoroughbred.
[00:09:40.045 --> 00:09:45.030]  I know he writes his own stuff for his teleprompter.
[00:09:45.030 --> 00:09:46.011]  I know him in person.
[00:09:46.011 --> 00:09:48.092]  He's that smart in person.
[00:09:48.092 --> 00:09:51.275]  He perfectly summed it up last night.
[00:09:52.216 --> 00:09:53.837]  And it's really hard to top that.
[00:09:53.837 --> 00:09:59.540]  I mean, I can get into all the minutiae, we'll take your calls, we'll bring in a lot of angles, but this is a big deal.
[00:09:59.540 --> 00:10:06.864]  And Communist China supplies the majority of our pharmaceuticals, and most of them are tainted and toxic.
[00:10:06.864 --> 00:10:14.869]  And they also hammer us with enough fentanyl to kill the entire world over and over again with an overdose.
[00:10:14.869 --> 00:10:18.171]  So that's the level of stuff that's going on.
[00:10:18.171 --> 00:10:20.132]  And I'm not just trying to make Communist China the boogeyman.
[00:10:21.138 --> 00:10:26.980]  Communist China in their own admissions has killed over 100 million people.
[00:10:26.980 --> 00:10:31.502]  Communist China has aborted over 400 million babies, most of them little girls.
[00:10:31.502 --> 00:10:46.748]  Communist China is the model of the globalist surveillance grid right now all over the world and is being adopted and is rolling out teams to teach big tech how to surveil better and how to surveil people for coronavirus like they're the savior of the planet.
[00:10:46.748 --> 00:10:47.669]  It's disgusting!
[00:10:49.278 --> 00:10:51.821]  You take a man-made virus that leaks out of Wuhan.
[00:10:51.821 --> 00:10:56.385]  The Senate Intelligence Committee members have come out and said that's what the evidence shows.
[00:10:56.385 --> 00:11:01.170]  And somehow that turns them into the victims.
[00:11:01.170 --> 00:11:06.276]  And turns the chi-coms into the good guys when we just saw something out of a science fiction zombie movie.
[00:11:08.444 --> 00:11:10.546]  With what they did to their own population.
[00:11:10.546 --> 00:11:20.754]  So I'm going to cover all the latest developments on that front, get the number out here in just a moment, and then start taking your calls because it's very informative in all the different angles you come up with any subjects you want to cover.
[00:11:20.754 --> 00:11:27.440]  Long-time listeners, first-time callers, long-time callers, it's a free-for-all on this Tuesday.
[00:11:27.440 --> 00:11:28.741]  Global Transmission 877-789-2539.
[00:11:28.741 --> 00:11:28.781]  877-789-2539.
[00:11:35.595 --> 00:11:38.976]  Something very interesting happened this morning.
[00:11:38.976 --> 00:11:56.362]  I was talking to one of the crew members from another part of the building, and he was like, you know, there's a rumor in the office that you use cocaine because there's no way you can be so tired during a break and then explode, you know, once you come back on air.
[00:11:56.362 --> 00:11:58.603]  Well, that's what I do.
[00:11:58.603 --> 00:12:01.924]  I care passionately about this.
[00:12:01.924 --> 00:12:03.925]  And the reason Infowars has been so successful is
[00:12:05.157 --> 00:12:07.838]  Excitement is contagious.
[00:12:07.838 --> 00:12:14.621]  Adrenaline and endorphins and focused anger is a drug.
[00:12:14.621 --> 00:12:15.702]  It's a drug I use.
[00:12:15.702 --> 00:12:17.023]  It's a drug I'm addicted to.
[00:12:17.023 --> 00:12:20.124]  And it's a drug that I'm trying to get off of.
[00:12:20.124 --> 00:12:24.086]  That's the drug I'm on is hatred of devil worshippers and pedophiles.
[00:12:24.086 --> 00:12:25.106]  And it's an important drug.
[00:12:25.106 --> 00:12:27.167]  It's why God gave it to us.
[00:12:27.167 --> 00:12:30.289]  But at the same time, I've got too much of it.
[00:12:31.417 --> 00:12:32.357]  I've got too much of it.
[00:12:32.357 --> 00:12:34.078]  I don't want to die of a heart attack, you know, at 50.
[00:12:34.078 --> 00:12:38.220]  Because I'm 46, man, and it's, you know, it's in my family's background.
[00:12:38.220 --> 00:12:40.221]  Alpha male, super successful at everything.
[00:12:40.221 --> 00:12:42.382]  Gigantic, spectacular heart attacks at 55.
[00:12:42.382 --> 00:12:43.242]  They're gone.
[00:12:43.242 --> 00:12:44.963]  Then others learn how to chill out before then.
[00:12:44.963 --> 00:12:46.184]  They live to be 90.
[00:12:46.184 --> 00:12:47.944]  I want to be those guys that lived to 90.
[00:12:47.944 --> 00:12:50.105]  Hell, some of them 100.
[00:12:50.105 --> 00:12:51.026]  But it's hard.
[00:12:51.026 --> 00:12:55.948]  But then I see other people that don't care at all.
[00:12:57.446 --> 00:13:03.859]  I see other people that just don't think anything matters and they're dead.
[00:13:03.859 --> 00:13:04.781]  And it's better to...
[00:13:06.516 --> 00:13:13.361]  Be alive and burn twice as bright than to be basically a dim bulb that is never awake, never cares, and never has passions.
[00:13:13.361 --> 00:13:15.223]  And that's why I talk about the man in the arena.
[00:13:15.223 --> 00:13:18.906]  But that's why the left always says, Alex Jones, the coke head.
[00:13:18.906 --> 00:13:20.387]  Alex Jones, the drug addict.
[00:13:20.387 --> 00:13:22.809]  Alex Jones this, Alex Jones that.
[00:13:22.809 --> 00:13:28.073]  And it's because they don't have that type of passion.
[00:13:29.321 --> 00:13:42.835]  They don't have that drive so they can't imagine somebody that can broadcast 10 hours a day if they need to and love it and want to come back at night and do more because they don't have that spark that sets fires in the minds of men and women everywhere.
[00:13:42.835 --> 00:13:48.702]  But I know you have that spark and you have that focus and that's what we need more of.
[00:13:50.171 --> 00:13:51.012]  Turn things around.
[00:13:51.012 --> 00:13:54.555]  You know, that's why last year I was a good boy for, I don't know, over four months.
[00:13:54.555 --> 00:13:55.656]  Didn't have one drink.
[00:13:55.656 --> 00:13:56.997]  Lost a whole bunch of weight.
[00:13:56.997 --> 00:13:57.898]  Exercised better.
[00:13:57.898 --> 00:13:58.719]  Felt so much good.
[00:13:58.719 --> 00:13:59.599]  Then Christmas came around.
[00:13:59.599 --> 00:14:01.461]  Started drinking again a little bit.
[00:14:01.461 --> 00:14:04.063]  And I'm in an endeavor to 100% quit forever.
[00:14:04.063 --> 00:14:06.185]  Just because it takes my focus away.
[00:14:07.811 --> 00:14:09.853]  I take depressants.
[00:14:09.853 --> 00:14:13.116]  I mean, I take natural knockout at night to help sleep.
[00:14:13.116 --> 00:14:14.037]  That's a depressant.
[00:14:14.037 --> 00:14:15.679]  Natural depressant.
[00:14:15.679 --> 00:14:21.524]  I drink alcohol to not, you know, care, because I care too much.
[00:14:21.524 --> 00:14:26.950]  And I take it to take the focus away, to take the clarity away, because I can't handle reality.
[00:14:26.950 --> 00:14:27.430]  But you know what?
[00:14:27.430 --> 00:14:30.994]  That's me being honest about it, that I go and hide in places like that.
[00:14:32.913 --> 00:14:36.997]  Other people, they just don't give a damn, so why does it even matter to them?
[00:14:36.997 --> 00:14:38.379]  But I do care.
[00:14:38.379 --> 00:14:40.721]  And I care about having integrity.
[00:14:40.721 --> 00:14:50.811]  And that's why the system constantly says Alex Jones is a fake, Alex Jones is a phony, Alex Jones doesn't have integrity, Alex Jones' lawyer says that he is an actor.
[00:14:50.811 --> 00:14:51.472]  None of that's true.
[00:14:54.077 --> 00:15:00.383]  They were trying to enter as evidence that I was insane in a Joker makeup saying, put fluoride in the water.
[00:15:00.383 --> 00:15:01.964]  I was doing a satire piece.
[00:15:01.964 --> 00:15:03.646]  I was being an actor there.
[00:15:03.646 --> 00:15:12.614]  But I'm not an actor when I'm on the show being Alex Jones myself as a father and a man and as a Christian and as a human telling the truth.
[00:15:12.614 --> 00:15:16.438]  So the globalists are great at stealing our identity, saying we're racist, saying we're bad.
[00:15:16.438 --> 00:15:17.179]  It's not true.
[00:15:17.179 --> 00:15:18.440]  I care about humanity!
[00:15:20.885 --> 00:15:22.866]  And I will not let them steal my identity.
[00:15:22.866 --> 00:15:27.649]  And that's why it's so important for all of you to be vocal and all of you to be involved, because they want to steal your identity.
[00:15:27.649 --> 00:15:35.814]  And when you don't speak out and when you're not involved, they can lie and take your voice as well.
[00:15:35.814 --> 00:15:42.217]  Don't let Ursula take your voice like she did the Little Mermaid and make you one of those little slaves down in her pit.
[00:15:42.217 --> 00:15:46.260]  Break free and use that voice and empower yourself.
[00:15:47.276 --> 00:15:49.078]  And future generations.
[00:15:49.078 --> 00:15:51.540]  Stay with us at newswars.com, banned on video.
[00:15:51.540 --> 00:15:57.905]  Spread those links if you want to override the globalists and exercise your power.
[00:15:57.905 --> 00:16:04.030]  Get healthy, not high, with 100% pure CBD powerful natural pain relief from Veterans Vitality.
[00:16:04.030 --> 00:16:07.833]  GCN listeners, have you ever thought about how CBD may help you?
[00:16:07.833 --> 00:16:10.455]  I'm sure you've heard about the many benefits of CBD.
[00:16:10.455 --> 00:16:12.897]  Well, here's your opportunity to try before you buy.
[00:16:13.297 --> 00:16:16.418]  Created by veterans and for everyone who deserves better choices.
[00:16:16.418 --> 00:16:20.660]  Our CBD is derived from organic hemp grown in the USA and third party tested.
[00:16:20.660 --> 00:16:29.103]  Veterans Vitality CBD saves you as much as 25 to 50 percent over our competition and a portion of all sales is contributed to veteran nonprofits and events.
[00:16:29.103 --> 00:16:35.145]  Many of our customers have experienced improved quality of life, help with anxiety, PTSD and overall well-being.
[00:16:35.505 --> 00:16:37.667]  Our products do not contain THC.
[00:16:37.667 --> 00:16:41.149]  They are safe, non-addictive, effective, and 100% legal.
[00:16:41.149 --> 00:16:48.774]  GCN listeners, get your free trial bottle of premium CBD by simply paying shipping and handling at GCNFreeCBD.com.
[00:16:48.774 --> 00:16:51.236]  That's GCNFreeCBD.com.
[00:16:51.236 --> 00:16:53.877]  Again, GCNFreeCBD.com.
[00:16:53.877 --> 00:16:56.079]  Offered by Veterans Vitality Premium CBD.
[00:16:57.751 --> 00:16:59.712]  Heart disease is on the rise.
[00:16:59.712 --> 00:17:05.036]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:05.036 --> 00:17:06.618]  But the symptoms are there.
[00:17:06.618 --> 00:17:14.964]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:14.964 --> 00:17:20.668]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:20.848 --> 00:17:22.649]  My blood pressure has normalized.
[00:17:22.649 --> 00:17:24.809]  My diabetes has totally improved.
[00:17:24.809 --> 00:17:29.311]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:29.311 --> 00:17:31.511]  I recommend Heart and Body Extract to everyone.
[00:17:31.511 --> 00:17:39.374]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:39.414 --> 00:17:43.580]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:17:43.580 --> 00:17:47.465]  That's 8 6 6 2 9 5 5 3 0 5.
[00:17:47.465 --> 00:17:52.913]  Or order online HB extract dot com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract dot com.
[00:17:58.795 --> 00:17:59.816]  Everybody's calling me.
[00:17:59.816 --> 00:18:07.141]  I'm getting constant streams of text messages and phone calls and family visiting the house saying, is coronavirus really deadly?
[00:18:07.141 --> 00:18:08.582]  How bad is it really?
[00:18:08.582 --> 00:18:11.283]  So I would encourage listeners, yes, go get high quality, storable foods.
[00:18:11.283 --> 00:18:14.245]  We have the only company, the biggest in the nation, that actually still has food.
[00:18:14.245 --> 00:18:16.967]  It does take five to eight weeks to get it to you because they got to package it.
[00:18:16.967 --> 00:18:17.608]  They got the food.
[00:18:17.608 --> 00:18:21.971]  But I want to encourage listeners to do the most important thing, and that's drink purified water.
[00:18:21.971 --> 00:18:22.691]  That's pray.
[00:18:22.691 --> 00:18:23.431]  That's get focused.
[00:18:23.431 --> 00:18:25.433]  That's not be stressed out because you're prepared.
[00:18:25.433 --> 00:18:27.995]  And that's get DNA Force Plus with PQQ and CoQ10,
[00:18:28.695 --> 00:18:32.817]  It's out for mitochondria and the cells and is the biggest immune booster you can engage in.
[00:18:32.817 --> 00:18:35.178]  The X2, the X3, the foundation, everything.
[00:18:35.178 --> 00:18:36.859]  The Ultra 12 back in stock.
[00:18:36.859 --> 00:18:39.620]  Our Nano Silver, Super Silver, and Super Blue toothpaste.
[00:18:39.620 --> 00:18:40.781]  It's still 50% off.
[00:18:40.781 --> 00:18:45.903]  Turmeric is known for doing a super job when it comes to cleaning out your cells.
[00:18:45.903 --> 00:18:48.664]  We have the strongest turmeric you're going to find out there.
[00:18:48.664 --> 00:18:50.445]  95% humanoid from bodies, ultimate turmeric formula.
[00:18:50.445 --> 00:18:51.386]  That's back in stock.
[00:18:51.386 --> 00:18:54.807]  And purchases at InfoWarstore.com are the highest quality supplements, desirable food.
[00:18:54.807 --> 00:18:57.689]  And you actually get them delivered in stock at InfoWarstore.com.
[00:18:57.689 --> 00:18:58.389]  So get those today.
[00:18:59.235 --> 00:19:00.816]  Hanuman, if I'm pronouncing that right.
[00:19:00.816 --> 00:19:01.936]  What do you think's really going on?
[00:19:01.936 --> 00:19:02.677]  And thanks for calling.
[00:19:02.677 --> 00:19:04.737]  So yes, I was in Costco a couple weeks ago.
[00:19:04.737 --> 00:19:05.418]  I was getting ready.
[00:19:05.418 --> 00:19:09.179]  I went to buy a bunch of toilet paper and some things before crowds really hit.
[00:19:09.179 --> 00:19:13.821]  And I had my phone, I had my show going on, sticking on my pocket so I could hear it.
[00:19:13.821 --> 00:19:14.982]  I wasn't using headphones.
[00:19:14.982 --> 00:19:17.383]  And this lady starts, she says, who are you listening to?
[00:19:17.383 --> 00:19:18.303]  Who's that talking?
[00:19:18.303 --> 00:19:19.604]  I said, this is Alex Jones.
[00:19:19.604 --> 00:19:22.945]  And she just got, her eyes got wide open and she says, really?
[00:19:22.945 --> 00:19:24.046]  I thought he was off the air.
[00:19:24.426 --> 00:19:29.589]  And I said no, and I told her, I explained, you know, the whole situation and told her where to go.
[00:19:29.589 --> 00:19:34.412]  She wrote down, you know, band.video and also infowars.com and just said she's still on.
[00:19:34.412 --> 00:19:40.015]  I run into people at the grocery store, at the mall, on the hike and bike trail, and they go, oh Alex, I used to love you.
[00:19:40.015 --> 00:19:41.136]  I wish you were still on air.
[00:19:41.136 --> 00:19:42.057]  Are you ever going to go back on air?
[00:19:42.057 --> 00:19:42.617]  And I'm like, we're
[00:19:42.637 --> 00:19:45.600]  We're on hundreds of radio stations, over 100 TV stations and cable stations.
[00:19:45.600 --> 00:19:47.882]  We have our own streams at InfoWars.com and Man.TV.
[00:19:47.882 --> 00:19:48.762]  And they go, really?
[00:19:48.762 --> 00:19:53.366]  They said you were off the air because they took the deplatforming as off the air.
[00:19:53.366 --> 00:19:55.028]  No, we have our own platform.
[00:19:55.028 --> 00:19:55.989]  InfoWars!
[00:19:55.989 --> 00:19:56.829]  InfoWars!
[00:19:56.829 --> 00:20:01.894]  InfoWars!
[00:20:01.894 --> 00:20:04.556]  You're listening to the Alex Jones Show.
[00:20:14.002 --> 00:20:16.403]  Waging war on corruption.
[00:20:16.403 --> 00:20:29.910]  It's Alex Jones.
[00:20:29.910 --> 00:20:37.314]  We're on this blue ball, spinning through the galaxy.
[00:20:37.314 --> 00:20:41.036]  And most people never even ask where we came from or who we are.
[00:20:42.481 --> 00:20:44.721]  Who's our daddy?
[00:20:44.721 --> 00:20:46.982]  Well, I'm asking that question.
[00:20:46.982 --> 00:20:51.503]  We're gonna open the phones up and take a ton of your calls today.
[00:20:51.503 --> 00:21:02.885]  From Judy, and Andre, and Roberto, and Hobbs, and Carlos, and John, and Tim, and many, many others.
[00:21:02.885 --> 00:21:05.145]  So that's all coming up.
[00:21:05.145 --> 00:21:09.566]  Okay, let's go ahead and burrow into the facts.
[00:21:11.681 --> 00:21:15.444]  There's a NewNaturalNews.com article up on Infowars.com.
[00:21:15.444 --> 00:21:26.773]  Breaking new analysis reveals President Trump must lock down the USA, just like Italy, in order to break the chain of exponential spread of the coronavirus.
[00:21:26.773 --> 00:21:30.477]  All air traffic and road traffic must be halted.
[00:21:30.477 --> 00:21:33.879]  You know, that is a very extreme statement by Mike Adams.
[00:21:33.879 --> 00:21:38.803]  And he's an engineer, he's a mathematician, he's one of the smartest people I know.
[00:21:38.803 --> 00:21:40.285]  But I've seen the other models.
[00:21:41.892 --> 00:21:50.354]  The virus will still just spread slower, but many models show it'll spread just as much.
[00:21:50.354 --> 00:21:53.655]  And who knows if it'll mutate to be worse or less.
[00:21:53.655 --> 00:21:56.316]  Looks like it's mutating to get worse.
[00:21:56.316 --> 00:22:00.497]  So... And we don't even know it's...
[00:22:01.994 --> 00:22:03.454]  Morbidity rate.
[00:22:03.454 --> 00:22:08.115]  First it was 15, and now it's 2, maybe it's lower.
[00:22:08.115 --> 00:22:10.656]  Again, if it's 1 tenth of 1 percent, it's a serious issue.
[00:22:10.656 --> 00:22:12.596]  But they don't have a vaccine for it.
[00:22:12.596 --> 00:22:13.977]  You don't want a vaccine for it.
[00:22:13.977 --> 00:22:15.417]  It's a mutant virus.
[00:22:15.417 --> 00:22:18.057]  You'll never have a proper vaccine.
[00:22:18.057 --> 00:22:19.258]  It's like the flu is always mutating.
[00:22:19.258 --> 00:22:21.658]  That's why no vaccine for the flu has ever worked.
[00:22:21.658 --> 00:22:24.299]  Because you read the real literature on it, the real white papers, it's a fact.
[00:22:33.453 --> 00:22:52.067]  And in the old days, just a few years ago, everybody knew there were huge crises caused by vaccines and mass deaths and side effects and secret vaccine payout funds.
[00:22:52.067 --> 00:23:01.054]  But now Facebook and Twitter and Google, they say, and Apple, you're not going to say a word about vaccines unless you're a doctor approved by big pharma.
[00:23:01.054 --> 00:23:01.714]  Wow.
[00:23:01.714 --> 00:23:02.515]  So there goes.
[00:23:04.827 --> 00:23:07.629]  The power of consumer reports.
