[00:00:01.050 --> 00:00:03.591]  The Information War continues.
[00:03:45.001 --> 00:03:46.502]  Now we've got the details.
[00:03:46.502 --> 00:03:48.523]  This is stuff that Berg wasn't talking about.
[00:03:48.523 --> 00:03:49.664]  But I mean, let's go over this.
[00:03:49.664 --> 00:03:52.785]  Yeah, well, let me explain what Timothy first told me.
[00:03:52.785 --> 00:04:00.129]  He said that, basically, he was in a military unit in Strasbourg, Germany back in 1976.
[00:04:00.129 --> 00:04:07.033]  And in this unit, and I list the name of the specific unit in the article, in this unit,
[00:04:07.733 --> 00:04:27.086]  Basically, there were some 30 to 40 to 50 people, and one day his lieutenant came in and said that they had been commissioned by Congress to discuss domestic airline security, and to put together their recommendations on how to improve airline security back in 1976.
[00:04:27.086 --> 00:04:36.012]  Well, he said that, you know, a week or two went by, then all of a sudden, his lieutenant, who I mentioned, and now I can't remember his name right now, comes in and tells him that he has been ordered
[00:04:36.607 --> 00:04:49.579]  To use the Twin Towers as examples, and now what they were going to do is to use the Middle East as another example as terrorists and to put together a plan to bring down the Twin Towers.
[00:04:49.579 --> 00:04:58.147]  Now, McVeigh said that the Lieutenant said it was awfully strange, he thought, that he was asked to blow up buildings in his own hometown.
[00:04:58.147 --> 00:04:59.268]  He was from Long Island, New York.
[00:05:00.357 --> 00:05:01.618]  So that was the beginning of it.
[00:05:01.618 --> 00:05:03.558]  You mean McNiven?
[00:05:03.558 --> 00:05:15.043]  Well, the lieutenant told McNiven that he felt it was strange and kind of probably kidding and joking that he now has to blow up his own hometown because he was from New York.
[00:05:15.043 --> 00:05:16.904]  That was the lieutenant.
[00:05:16.904 --> 00:05:17.704]  Well, anyway,
[00:05:18.377 --> 00:05:21.019]  They then sit down and put together this plan.
[00:05:21.019 --> 00:05:24.902]  Timothy came up exactly, he says, came up with the box cutter idea.
[00:05:24.902 --> 00:05:38.033]  And they put together a day-by-day brainstorming, a plan on how to bring down the towers using airliners, terrorists from the Middle East, of course, they were just using mock terrorists, things like that.
[00:05:38.033 --> 00:05:44.518]  And one day Timothy went up to, when they were talking and brainstorming, he went to his lieutenant and said to him,
[00:05:45.168 --> 00:05:46.729]  Well, what if this really happens?
[00:05:46.729 --> 00:05:49.450]  I think I might go and tell somebody what we're doing.
[00:05:49.450 --> 00:05:50.991]  You know, what if this really does happen?
[00:05:50.991 --> 00:05:57.534]  Because you can imagine, if you're in a situation like that, if you ever brainstorm an idea, it becomes real to you.
[00:05:57.534 --> 00:06:01.496]  And so, it isn't far-fetched for him to say something like that to his lieutenant.
[00:06:01.496 --> 00:06:08.179]  His lieutenant then accosted him, along with the sergeant, and told him, bluntly, never to say anything about this report.
[00:06:08.179 --> 00:06:10.380]  Your article says physically assaulted.
[00:06:10.380 --> 00:06:10.900]  Exactly.
[00:06:11.500 --> 00:06:12.501]  What did they do to him?
[00:06:12.501 --> 00:06:17.926]  Well, basically they slapped him around a little bit, took him by the arm.
[00:06:17.926 --> 00:06:20.949]  You might ask Timothy specifically on what happened.
[00:06:20.949 --> 00:06:25.814]  Well, it's funny because when we have the USS Liberty survivors on, the most decorated ship in U.S.
[00:06:25.814 --> 00:06:29.537]  history, when they were finally called on board the ship after the U.S.
[00:06:29.537 --> 00:06:34.182]  and Israel had basically engineered an attack to sink it and blame it on Egypt, but they couldn't sink it.
[00:06:34.722 --> 00:06:42.766]  They called him on board, and they said, we're going to put you in prison for the rest of your life if you tell anybody what you know, or worse.
[00:06:42.766 --> 00:06:43.866]  Exactly.
[00:06:43.866 --> 00:06:46.308]  So they do do this, but go ahead.
[00:06:46.308 --> 00:07:02.035]  Well anyway, a strange turn of events then, about two weeks later, Timothy said that he was approached by the lieutenant, and the name again is in the article, and the lieutenant took him aside and did an about face, and basically said to Timothy, listen,
[00:07:02.535 --> 00:07:05.237]  I'm going to put you under strict orders right now.
[00:07:05.237 --> 00:07:11.901]  If anything is to ever happen like this in the future, you are to go and tell about this report.
[00:07:11.901 --> 00:07:13.902]  And this is Lieutenant Michael Teague.
[00:07:13.902 --> 00:07:14.903]  Exactly.
[00:07:14.903 --> 00:07:18.105]  Teague probably, what Timothy said, has had a change of heart.
[00:07:18.105 --> 00:07:27.551]  He said to keep it quiet, I'm going to put you under direct order for the rest of your life, that if anything ever happens with the Twin Towers, you are to let
[00:07:28.228 --> 00:07:31.149]  The world know about this report.
[00:07:31.149 --> 00:07:38.853]  Now, not only has he said this in federal court, not only is he under lie detector test, you check him out, he's still doing work for the Pentagon.
[00:07:40.050 --> 00:07:44.053]  You know, he was still doing work about a couple of years ago.
[00:07:44.053 --> 00:07:46.595]  Yeah, up until 9-11.
[00:07:46.595 --> 00:07:50.938]  Yeah, he was doing some work in some drug undercover units, things like that.
[00:07:50.938 --> 00:07:53.079]  So he basically was under contract.
[00:07:53.079 --> 00:07:56.182]  Presently, I'm not sure exactly to this date if he's doing anything.
[00:07:56.182 --> 00:08:04.768]  Well, the MO on counter-drug activities as part of these task forces, that's basically military intelligence.
[00:08:04.768 --> 00:08:04.968]  Right.
[00:08:05.929 --> 00:08:18.500]  So, basically what he said is that he still feels obligated to tell his story based on the fact that when he saw the Twin Towers come down, he said, Oh my God, this is exactly what we did in 1976.
[00:08:18.500 --> 00:08:29.610]  And it was funny, he feels that McTeague probably had a change of heart and wondered, and whatever McTeague was told by his superiors, no one knows.
[00:08:29.610 --> 00:08:30.110]  And in fact,
[00:08:31.311 --> 00:08:33.574]  I'm trying to locate McTeague at this point.
[00:08:33.574 --> 00:08:36.118]  You mean Lieutenant Teague?
[00:08:36.118 --> 00:08:37.421]  Yeah, yeah.
[00:08:37.421 --> 00:08:38.502]  Teague, I can't remember.
[00:08:38.502 --> 00:08:40.786]  No, I know you're at court on a cell phone.
[00:08:42.373 --> 00:08:45.156]  Yeah, I don't have all your documents in front of me.
[00:08:45.156 --> 00:08:47.738]  But anyway, I am going to try to locate him.
[00:08:47.738 --> 00:08:54.083]  And he also lists about 40 or 50 other people, by name specifically, that were in his unit that will verify this.
[00:08:54.083 --> 00:08:57.887]  So I, hopefully... And he's done this in sworn testimony in court.
[00:08:57.887 --> 00:08:58.387]  Exactly.
[00:08:58.387 --> 00:09:00.729]  So he's going to jail if this wasn't true, yeah.
[00:09:00.729 --> 00:09:03.932]  Yes, I mean, he is sworn in an affidavit in federal court.
[00:09:04.531 --> 00:09:10.976]  Which was the same veracity as if he was sitting in a courtroom before a federal judge.
[00:09:10.976 --> 00:09:13.218]  Well, let me just stop you right there.
[00:09:13.218 --> 00:09:14.439]  This is the same MO.
[00:09:14.439 --> 00:09:17.061]  We know they were running drills on the morning of 9-11.
[00:09:17.061 --> 00:09:20.584]  We know they were the exact same thing happening that happened.
[00:09:20.584 --> 00:09:25.148]  We know they were running drills two weeks before, six months before, a year and a half before.
[00:09:25.148 --> 00:09:26.389]  We know this.
[00:09:26.389 --> 00:09:33.595]  And they love these drills because then if their people get caught trying to carry them out, they say, oh, it's just a drill.
[00:09:34.455 --> 00:09:46.859]  The Moscow bombings in 99, three apartment buildings get blown up, FSB get caught planting hexogen in the fourth building by Moscow police, and so then they declare, oh, it was just part of a drill.
[00:09:46.859 --> 00:09:47.679]  Right.
[00:09:47.679 --> 00:09:48.580]  Right.
[00:09:48.580 --> 00:09:56.942]  Now, uh, if you talk to, when you talk to Timothy, you'll find that, you know, he's tried his best to tell the truth.
[00:09:56.942 --> 00:09:58.763]  He went to a live detector test.
[00:09:58.763 --> 00:10:02.064]  Of course, he's had no luck with the mainstream media to get his story out.
[00:10:02.769 --> 00:10:10.429]  And in fact, I believe at this particular juncture, my next step is going to be to try to find a few of these other people.
[00:10:11.116 --> 00:10:12.837]  And see if anybody else will talk.
[00:10:12.837 --> 00:10:23.460]  Well, I mean, it was American Free Press that first reported on how rescue workers at the towers said they found three of the four data recorders.
[00:10:23.460 --> 00:10:25.460]  Yeah, that's the story I worked on.
[00:10:25.460 --> 00:10:30.482]  Yeah, and then it was in the Philadelphia Daily News.
[00:10:30.482 --> 00:10:31.662]  They confirmed it.
[00:10:31.662 --> 00:10:31.982]  Right.
[00:10:31.982 --> 00:10:37.724]  So the mainstream media continues to try to ignore the stuff that you and I and many others have been digging up.
[00:10:38.264 --> 00:10:59.001]  Yeah, and you know what, I mean, a story like the black box story, which I talked to both the gentlemen, well one of the gentlemen, one's not really talking, but his name is Mike Pelloni, who was actually there, he told me basically this, that he saw the boxes, he was then told by FBI agents who came up to him later to keep his mouth shut.
[00:10:59.841 --> 00:11:01.943]  And I reported that.
[00:11:01.943 --> 00:11:09.308]  I then called the 9-11 Commission, who said they'd never talked to... well, they said, well, I don't know if we talked to this guy.
[00:11:09.308 --> 00:11:11.949]  Well, Bologna said that the 9-11 Commission never talked to him.
[00:11:11.949 --> 00:11:14.311]  Well, then the Philadelphia Daily News went and did talk to him.
[00:11:14.671 --> 00:11:16.912]  Yeah, and I talked with him too, you know.
[00:11:16.912 --> 00:11:19.633]  And I talked to the guy too, and he told me this exact story.
[00:11:19.633 --> 00:11:34.778]  Well, about a week later, I get a couple phone calls from people saying that I'm wet, you know, and I hadn't written a story yet, and they were, I think they were planted calls, but they were, someone called me and said, you know, he never said that to those agents, and you better not print anything like that.
[00:11:34.778 --> 00:11:35.738]  And I said, you know something?
[00:11:36.420 --> 00:11:40.443]  I am printing it because he told it to me, you know.
[00:11:40.443 --> 00:11:41.584]  Stay there, Greg Siminski.
[00:11:41.584 --> 00:11:42.865]  We're honored to have you.
[00:11:42.865 --> 00:11:44.587]  This is a big story.
[00:11:44.587 --> 00:11:46.468]  We'll be right back on the other side of this.
[00:11:46.468 --> 00:11:49.131]  Quick break and your calls are coming up as well.
[00:11:49.131 --> 00:11:51.432]  PrisonPlanet.tv is just one of the websites.
[00:11:51.432 --> 00:11:51.893]  Check it out.
[00:11:55.808 --> 00:12:01.530]  We've all heard about the benefits of infrared light therapy, but never have we heard of anything as amazing as this.
[00:12:01.530 --> 00:12:09.213]  Diametics, the leading authority on polychromatic infrared diode therapy in the U.S., now offers its patented Paynex 2000 to the public.
[00:12:09.213 --> 00:12:16.015]  The Paynex 2000 uses the same technology NASA uses aboard the space shuttle, and the same technology used by the Navy SEALs.
[00:12:16.015 --> 00:12:17.556]  Now it's available to you.
[00:12:17.556 --> 00:12:24.118]  The Paynex 2000 is FDA cleared for joint aches and pains, increases circulation, and relaxes those achy muscles.
[00:12:24.358 --> 00:12:28.940]  Diametics has literally written the book on polychromatic infrared diotherapy.
[00:12:28.940 --> 00:12:35.323]  Using five different wavelengths in the Paynex 2000 has made it the most advanced infrared light therapy product on the market today.
[00:12:35.323 --> 00:12:39.365]  With over 12 different models to choose from, there's a Paynex 2000 device for everyone.
[00:12:39.625 --> 00:12:41.286]  Visit diametics.com.
[00:12:41.286 --> 00:12:44.787]  That's D-I-O-M-E-D-I-C-S dot com.
[00:12:44.787 --> 00:12:47.509]  Or get your free catalog today by calling toll free 888-972-4699.
[00:12:47.509 --> 00:12:49.089]  Again, your free catalog, toll free 888-972-4699.
[00:12:55.828 --> 00:12:57.569]  Hello folks, Alex Jones here.
[00:12:57.569 --> 00:13:01.812]  You know Berkey water filters have been removing pathogenic bacteria for years.
[00:13:01.812 --> 00:13:04.774]  But what about those unhealthy chemicals and heavy metals in your water?
[00:13:04.774 --> 00:13:11.679]  The powerful black Berkey purification elements fit most gravity filters and dramatically increase their power to extract waterborne contaminants.
[00:13:11.679 --> 00:13:14.881]  Best of all, they filter much faster than ordinary gravity elements.
[00:13:14.881 --> 00:13:17.403]  This means it takes much less time to filter your water.
[00:13:17.403 --> 00:13:25.309]  Black Berkey elements not only remove pathogenic bacteria, cysts and parasites, but also remove trihalomethanes and volatile organic elements such as
[00:13:25.589 --> 00:13:26.549]  We're good to go!
[00:13:56.855 --> 00:13:59.176]  Hi folks, Jack Browner from Midas Resources.
[00:13:59.176 --> 00:14:03.819]  The Real Money Folks.
[00:14:03.819 --> 00:14:06.241]  Let's review a few things from the past year.
[00:14:06.241 --> 00:14:07.301]  November 2003 to November 2004.
[00:14:07.301 --> 00:14:08.622]  The dollars ranged from $9,800 to $10,300.
[00:14:08.622 --> 00:14:09.743]  A 5% increase.
[00:14:09.743 --> 00:14:13.345]  The dollar's value has dropped from $0.96 to $0.70 against the euro.
[00:14:13.345 --> 00:14:15.826]  A 24% decrease in spending power against the gold-backed euro.
[00:14:25.074 --> 00:14:27.436]  Gold has gone from the 390s to the 440s.
[00:14:27.436 --> 00:14:31.318]  A 16% increase in real money.
[00:14:31.318 --> 00:14:34.901]  Precious metals are the safe haven in today's hectic marketplace.
[00:14:34.901 --> 00:14:41.345]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[00:14:41.345 --> 00:14:45.968]  Remember, gold is liquid, private, and portable.
[00:14:45.968 --> 00:14:49.350]  Call now before your buying power shrinks even more dramatically.
[00:14:49.350 --> 00:14:50.751]  That's Midas Resources at 800-686-2237.
[00:14:56.252 --> 00:15:01.937]  JLS Research, founders of a revolutionary new all-natural deodorant, wants to get up close and personal with you.
[00:15:01.937 --> 00:15:03.118]  You wear deodorant, right?
[00:15:03.118 --> 00:15:04.099]  Well, let's hope you do.
[00:15:04.099 --> 00:15:07.122]  You obviously wear it to cover up that embarrassing underarm odor.
[00:15:07.122 --> 00:15:12.266]  Well, why mask the odor when you can completely eliminate the bacteria which causes the odor in the first place?
[00:15:12.266 --> 00:15:13.508]  Check out this new product.
[00:15:13.508 --> 00:15:16.770]  It's called No-B-O, and you won't believe how effectively it works.
[00:15:16.770 --> 00:15:20.434]  I know, you're wondering, how can you trust No-B-O to eliminate your embarrassing body odor?
[00:15:20.674 --> 00:15:23.276]  Look, the creator of No-B-O understands what you're going through.
[00:15:23.276 --> 00:15:28.481]  She knows you want a safe deodorant that contains no aluminum, preservatives, chemicals, or petroleum-based products.
[00:15:28.481 --> 00:15:31.704]  She also knows that while you want it all-natural, you want it very effective.
[00:15:31.704 --> 00:15:37.209]  That's why she had to search 40 years to find this all-natural product that actually soothes the skin while it attacks bacteria.
[00:15:37.209 --> 00:15:38.110]  Try No-B-O.
[00:15:38.110 --> 00:15:39.071]  It comes with a 100% money back guarantee.
[00:15:39.551 --> 00:15:43.612]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:15:43.612 --> 00:15:47.033]  Because there's a war on for your mind.
[00:15:47.033 --> 00:15:48.913]  Alright, we're talking to Greg Skamensky and
[00:16:09.654 --> 00:16:14.559]  He joins us here via cell phone.
[00:16:14.559 --> 00:16:16.501]  We appreciate him spending the time with us.
[00:16:16.501 --> 00:16:22.086]  He's broken a lot of big stories for American Free Press and they've all panned out.
[00:16:22.086 --> 00:16:25.530]  This latest one is right from federal court documents.
[00:16:25.530 --> 00:16:26.210]  The U.S.
[00:16:26.210 --> 00:16:32.977]  government going out and getting these different scenarios, these specific scenarios,
[00:16:34.870 --> 00:16:37.391]  Greg, we see this over and over and over again.
[00:16:37.391 --> 00:16:40.793]  They war game all these different ideas and then they're carried out.
[00:16:40.793 --> 00:16:44.714]  How do you see this coupling with the Northwoods document?
[00:16:44.714 --> 00:16:58.120]  Well, it's basically just more evidence showing that there was knowledge, prior knowledge, and will lend evidence to more specific, more
[00:16:59.753 --> 00:17:03.918]  Evidence that comes up that's more pertinent, more timely in the future.
[00:17:03.918 --> 00:17:10.545]  This is credibility evidence that's going to lay credibility to what specific evidence will be found.
[00:17:11.454 --> 00:17:22.677]  Somewhere, somehow, to prove that some of these people knew about it, or actually were complicit in being involved in it, or did nothing to stop it, is what I'm trying to get at.
[00:17:22.677 --> 00:17:29.879]  And the reason that the Filbert lawsuit's a brilliant idea is that for those of you in the audience who don't understand the legal...
[00:17:30.439 --> 00:17:31.019]  We're good to go.
[00:17:45.754 --> 00:17:49.856]  to implicate mafia members in order to easily prosecute them.
[00:17:49.856 --> 00:17:58.640]  Well now, Berg's turned around and used this against the government, and basically they're acting basically exactly like a mafia attorney would act.
[00:17:58.640 --> 00:18:03.362]  Block everything, but they're using what's called national security to block the discovery.
[00:18:03.362 --> 00:18:13.406]  But the nice thing about it is that Berg's lawsuit can take information from back in 1976 and tie it together to show there is a conspiracy.
[00:18:15.220 --> 00:18:30.444]  One thing, you can go civilly and criminally, and in my experience, over the few years I've done the 9-11 stories and everything, if I was an attorney presented with this information, there's plenty of information to at least go to court with these people.
[00:18:30.444 --> 00:18:41.787]  Well, there is a just huge fixation with hijacking jets and flying them into buildings, not just by this administration, but administration after administration.
[00:18:41.787 --> 00:18:43.488]  We know the FBI cooked the bomb,
[00:18:43.888 --> 00:18:46.849]  I think it's a symbol of our freedom and it's a symbol of our financial rise to power.
[00:18:46.849 --> 00:18:48.590]  If you knock down the trade centers,
[00:19:08.863 --> 00:19:11.724]  It's like cutting off your legs, cutting off America's legs.
[00:19:11.724 --> 00:19:15.065]  It was a good example of frightening the hell out of people.
[00:19:15.065 --> 00:19:16.545]  That's why they hit the Pentagon.
[00:19:16.545 --> 00:19:17.405]  That's a good example.
[00:19:17.405 --> 00:19:19.806]  If they can get to our military, they can get to you.
[00:19:19.806 --> 00:19:23.427]  If they can get to our financial institutions, they can get to you.
[00:19:23.427 --> 00:19:35.029]  Now, the real mistake I think people are making is to think that it's just that these people just all of a sudden came into being in the year 2000 when Bush was appointed, I shouldn't have mentioned, president.
[00:19:35.029 --> 00:19:37.030]  And it's my estimate, it's my feeling that he is not
[00:19:37.600 --> 00:19:39.321]  the real president of this country.
[00:19:39.321 --> 00:19:45.085]  I don't think in this election or the last election he was put in office fairly.
[00:19:45.085 --> 00:19:54.312]  Now, that's aside, but listen, these people have been around a long, long time and they've been fighting since the early seventies to get this movement in.
[00:19:54.312 --> 00:20:02.238]  Bush is just a... Well, I've got congressional hearings from the mid-eighties where they're talking about concentration camps in Congress for the American people.
[00:20:02.238 --> 00:20:02.718]  Yeah, of course.
[00:20:03.018 --> 00:20:15.331]  And if you, and there's one little story that a lot of people, I wrote this story and I have not had any feedback on it, but people have to listen to this one fact about Bush 1, the first Bush president.
[00:20:15.331 --> 00:20:20.957]  He goes on record in 1988 as stating that his first, his first,
[00:20:22.672 --> 00:20:27.594]  Uh, affiliation with the CIA when he was appointed director, I believe, in 74 or 76.
[00:20:27.594 --> 00:20:32.116]  Well, there came out a document, one document that was declassified, whether it was a mistake or not.
[00:20:32.116 --> 00:20:42.360]  It was a letter from J. Edgar Hoover, written in Hoover's hand, to a George H. Bush in 1963, asking him about the Bay of Pigs and how things were going.
[00:20:43.307 --> 00:20:46.348]  Well, it's admitted they have the offshore drilling rigs.
[00:20:46.348 --> 00:20:48.709]  It's admitted he was involved with the CIA.
[00:20:48.709 --> 00:20:51.329]  I mean, that's a public secret.
[00:20:51.329 --> 00:20:51.649]  Right.
[00:20:51.649 --> 00:20:52.950]  Now, here's the deal, though.
[00:20:52.950 --> 00:21:00.712]  The interesting thing is, Bush in 88 went on record, on record, he was asked this question, were you ever in the CIA back in 1963?
[00:21:00.712 --> 00:21:04.653]  His answer was this, it must have been another George H. Bush that he was writing to.
[00:21:04.653 --> 00:21:05.913]  It wasn't me.
[00:21:05.913 --> 00:21:12.255]  So basically, one of the ships that was used in the Bay of Pigs was named the Barbara.
[00:21:13.086 --> 00:21:14.806]  Uh, one of the covert ships.
[00:21:14.806 --> 00:21:19.588]  And he had a history of naming his airplanes Barbara 1 and Barbara 2, of course, after the First Lady.
[00:21:19.588 --> 00:21:21.388]  Uh, so, you know something?
[00:21:21.388 --> 00:21:27.850]  This, uh, what I'm getting at is that there's so much, uh, so much that needs to be investigated.
[00:21:27.850 --> 00:21:36.192]  And I think there needs to be a comment made about the way people look at the mainstream media and the way people look at the alternative media now.
[00:21:36.192 --> 00:21:38.713]  Now, I come from the background of the mainstream media.
[00:21:38.713 --> 00:21:39.953]  Anyway, stay there.
[00:21:39.953 --> 00:21:40.553]  Stay there, Greg.
[00:21:40.553 --> 00:21:41.214]  We'll be right back.
[00:21:41.214 --> 00:21:41.894]  Gotta break it again.
[00:21:41.894 --> 00:21:42.314]  Stay with us.
[00:21:46.323 --> 00:21:47.724]  We're on the march.
[00:21:47.724 --> 00:21:50.246]  The Empire's on the run.
[00:21:50.246 --> 00:21:55.891]  Alex Jones and the GCN Radio Network.
[00:21:55.891 --> 00:22:04.257]  Did you know that sugar, that sweet and simple, inoffensive looking, refined substance you use in your coffee and cupcakes actually reduces your body's ability to protect you?
[00:22:04.257 --> 00:22:05.718]  It suppresses your immune system.
[00:22:05.718 --> 00:22:06.759]  Now check this out.
[00:22:06.759 --> 00:22:10.182]  The average American consumes 2 to 3 pounds of sugar on average each week.
[00:22:10.182 --> 00:22:12.644]  That's about 120 pounds of sugar per year.
[00:22:13.144 --> 00:22:16.067]  Do you know what happens when your immune system is compromised?
[00:22:16.067 --> 00:22:17.108]  Your health suffers.
[00:22:17.108 --> 00:22:18.069]  It's that simple.
[00:22:18.069 --> 00:22:20.030]  Here's how you can help your body win the fight.
[00:22:20.030 --> 00:22:22.473]  With the dietary supplement, Agaricus Bio.
[00:22:22.473 --> 00:22:30.400]  The dietary supplement, Agaricus Bio, was developed so that you could fight back again and again by giving your immune system a chance to be the first line of defense it was meant to be.
[00:22:30.840 --> 00:22:35.281]  For a limited time only, get a Garricus Bio at 20% off the regular retail price.
[00:22:35.281 --> 00:22:37.321]  Call 877-817-9829 to order a Garricus Bio at 20% off.
[00:22:37.321 --> 00:22:38.722]  That's 877-817-9829 or visit www.thepowermall.com.
[00:22:38.722 --> 00:22:39.222]  A Garricus Bio.
[00:22:39.222 --> 00:22:40.442]  Because healthy is what you want to do.
[00:22:40.442 --> 00:22:41.482]  Call 877-817-9829 or visit thepowermall.com.
[00:22:55.717 --> 00:22:57.779]  You've asked for them and now they're here.
[00:22:57.779 --> 00:23:08.867]  Hello folks, Alex Jones introducing you to the new Berkey PF2 Fluoride and Arsenic Reduction Elements for exclusive use with the Berkey Light Black Berkey Purification Elements.
[00:23:08.867 --> 00:23:13.470]  The Berkey's PF2 simply screw onto the stem of the Black Berkey Purification Element.
[00:23:13.470 --> 00:23:24.799]  When used, water flows through the purification elements where pathogenic bacteria, harmful chemicals, radon-222, heavy metals, nitrates, foul taste and odors are separated from the water.
[00:23:25.379 --> 00:23:32.630]  The water then flows through the PF2 elements, where fluoride, arsenic, and other residual heavy metal ions are separated.
[00:23:32.630 --> 00:23:35.254]  Your purified water is now ready!
[00:23:35.254 --> 00:23:40.221]  If you have fluoride or arsenic in your water, you need the Berkey PF2 host filter elements.
[00:23:40.521 --> 00:23:46.902]  Get a set of two for only $49 or get two sets for only $89 by calling New Millennium at 888-803-4438.
[00:23:46.902 --> 00:23:51.303]  And tell them Alex Jones sent you.
[00:23:51.303 --> 00:23:52.243]  That's toll free.
[00:23:52.243 --> 00:23:54.904]  888-803-4438.
[00:23:54.904 --> 00:23:57.324]  Are you losing your hair?
[00:23:57.324 --> 00:23:59.104]  Is that bald spot getting bigger?
[00:23:59.104 --> 00:24:00.765]  Is your hair looking thinner?
[00:24:00.765 --> 00:24:02.645]  Why aren't you using Avocor?
[00:24:02.645 --> 00:24:07.166]  The hair growth treatment that has helped thousands of people just like you regrow their hair.
[00:24:07.586 --> 00:24:10.748]  I've been using Avocore now for four months and it's a great product.
[00:24:10.748 --> 00:24:13.149]  They back everything with a money-back guarantee.
[00:24:13.149 --> 00:24:14.250]  It works.
[00:24:14.250 --> 00:24:16.731]  My hair hasn't looked this good in over 15 years.
[00:24:18.289 --> 00:24:23.311]  If you're losing your hair and haven't tried Avacor yet, how about a free month's supply?
[00:24:23.311 --> 00:24:27.353]  We're giving away a free month of Avacor with all of today's orders.
[00:24:27.353 --> 00:24:32.094]  Avacor is proven to successfully stop hair loss and regrow hair.
[00:24:32.094 --> 00:24:37.537]  Even if hair loss runs in the family, Avacor can help you regrow your own natural hair.
[00:24:37.537 --> 00:24:38.097]  Call 1-800-548-5910.
[00:24:38.097 --> 00:24:38.417]  That's 1-800-548-5910.
[00:24:44.099 --> 00:24:45.600]  Welcome back, folks.
[00:24:45.600 --> 00:24:46.921]  We're about to go back to Greg Szymanski.
[00:25:14.076 --> 00:25:17.960]  Writer for American Free Press does an incredible job.
