[00:00.000 --> 00:01.000]  Nails.
[02:02.320 --> 02:03.960]  I don't have to leave my house.
[02:03.960 --> 02:07.760]  I don't have to pay $3.99 to $4.50 for a gallon of gas.
[02:07.760 --> 02:11.600]  I have a special needs child, and if I need to drop everything and go take care of her,
[02:11.600 --> 02:13.000]  I have that luxury.
[02:13.000 --> 02:16.720]  After five years, the Three-Stip Plant is a proven success story.
[02:16.720 --> 02:21.200]  If you're tired of worrying about money all the time, go to threestepplan.com or call
[02:21.200 --> 02:24.200]  800-480-2102.
[02:24.200 --> 02:26.200]  800-480-2102.
[02:26.200 --> 02:34.040]  President Bush is pressing his Olympic hosts to permit a greater political and religious
[02:34.040 --> 02:35.040]  freedom.
[02:35.040 --> 02:39.800]  Bush worshipped at a Beijing church today, and declared China has nothing to fear from
[02:39.800 --> 02:41.720]  expressions of faith.
[02:41.720 --> 02:46.000]  Later he met with Chinese leaders and again voiced his concerns.
[02:46.000 --> 02:49.120]  He also passed on enjoyment of the opening ceremonies.
[02:49.120 --> 02:51.560]  I congratulate you on the opening ceremonies.
[02:51.560 --> 02:54.560]  The tank was there was I mean it was on the 2-1.
[02:54.560 --> 02:58.200]  I'm not sure what it would look like on TV, but I can tell you what it would look like
[02:58.200 --> 02:59.200]  in person.
[02:59.200 --> 03:00.760]  It was spectacular.
[03:00.760 --> 03:06.640]  In Iraq's foreign minister says negotiations are on the brink of reaching a long-term security
[03:06.640 --> 03:08.640]  pact with the U.S.
[03:08.640 --> 03:09.640]  Here's Robert Reid.
[03:09.640 --> 03:14.840]  The Iraqis are insisting on inclusion of a clear timeline for the withdrawal of American
[03:14.840 --> 03:15.840]  forces.
[03:15.840 --> 03:20.640]  Also, he says the main sticking points have been over the authorization of military operations
[03:20.640 --> 03:23.360]  and sovereignty issues.
[03:23.360 --> 03:29.200]  For more news and analysis, log on to IRN News.com.
[03:29.200 --> 03:30.200]  You're finally there.
[03:30.200 --> 03:33.160]  You've taken your idea and turned it into a reality.
[03:33.160 --> 03:34.160]  You're starting a business.
[03:34.160 --> 03:39.360]  When it comes to setting up your limited liability company, S-Corporation or C-Corporation, make
[03:39.360 --> 03:43.080]  sure you go to people you can trust, inkfile.com.
[03:43.080 --> 03:46.800]  Inkfile has helped more than 30,000 people just like yourself protect their investment
[03:46.800 --> 03:50.440]  with plans starting at just $49 plus state filing fees.
[03:50.440 --> 03:59.560]  For a limited time, use promo code radio and receive a $25 discount only at inkfile.com.
[03:59.560 --> 04:04.240]  With one gold medal already in his possession, Michael Phelps remains on track early in his
[04:04.240 --> 04:10.120]  quest to beat Mark Spitz's record of seven gold medals in what Olympics?
[04:10.120 --> 04:11.120]  Here's Jim Bell.
[04:11.120 --> 04:15.400]  A little more than nine hours after winning gold in the 400-meter individual medley, Michael
[04:15.400 --> 04:20.040]  Phelps was back in the pool at the WaterCube for the preliminaries of the 200-meter freestyle.
[04:20.040 --> 04:24.800]  He never led in his heat, and his time of one minute 46.48 seconds was well off the
[04:24.800 --> 04:27.600]  record he set at last year's World Championships.
[04:27.600 --> 04:31.400]  It was just the fourth fastest time overall, but there's a reason for that.
[04:31.400 --> 04:35.200]  Today was just a race again and tomorrow.
[04:35.200 --> 04:36.200]  That's all I try to do.
[04:36.200 --> 04:37.200]  I just try to conserve everything.
[04:37.200 --> 04:42.760]  Phelps is joined in the semifinals by fellow American Peter Vanderkei, Jim Bell, Beijing.
[04:42.760 --> 04:47.760]  And China has tightened security, and volleyball players have rallied around their coach after
[04:47.760 --> 04:51.480]  the shocking murder of an American in Beijing.
[04:51.480 --> 04:52.960]  Here's Warren Levinson.
[04:52.960 --> 04:57.040]  The day after U.S. men's volleyball coach Huma Cushan's father-in-law Todd Bachman was
[04:57.040 --> 05:01.600]  stabbed to death there, Chinese authorities closed the historic drum tower for the day.
[05:01.600 --> 05:06.200]  Someone left a spray of lilies and chrysanthemums, traditional Chinese flowers of mourning.
[05:06.200 --> 05:10.080]  McCutcheon was not on the bench for the team's opening win against Venezuela, Captain Thomas
[05:10.080 --> 05:11.080]  Hoffs.
[05:11.080 --> 05:15.680]  It's very hard to continue on, but obviously our first and foremost thoughts and prayers
[05:15.680 --> 05:17.640]  are with their family.
[05:17.640 --> 05:21.800]  The coach's mother-in-law, Barbara Bachman, remains in the hospital in critical but stable
[05:21.800 --> 05:22.800]  condition.
[05:22.800 --> 05:23.920]  Warren Levinson, Beijing.
[05:23.920 --> 05:25.320]  I'm Jody Jordan.
[05:25.320 --> 05:29.320]  And that's news from the Information Radio Network.
[05:29.320 --> 05:34.320]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming
[05:34.320 --> 05:36.000]  a third-world nation.
[05:36.000 --> 05:40.240]  It's time to jump on the next wave of free energy and radical, natural, alternative health
[05:40.240 --> 05:41.240]  solutions.
[05:41.240 --> 05:43.320]  Introducing Orgon Products.
[05:43.320 --> 05:47.560]  Orgon is the universal life force, the basic building block of all matter on the material
[05:47.560 --> 05:48.560]  planet.
[05:48.560 --> 05:52.840]  Orgon Electro Medicine is the wave of the future, dating back to the late 1800s.
[05:52.840 --> 05:57.520]  L. Helmreich Orgon used cloudbuster technology that can now be applied in your home for dramatic
[05:57.520 --> 06:00.120]  energy savings of up to 25 percent.
[06:00.120 --> 06:04.160]  The possible uses for this device are only limited by your imagination.
[06:04.160 --> 06:07.800]  For less than the cost of a doctor's visit, you can have a device that could lead to the
[06:07.800 --> 06:09.680]  end of all your problems.
[06:09.680 --> 06:12.320]  Health doesn't need to be expensive or complicated.
[06:12.320 --> 06:16.280]  Simple technology equals profound results at organproducts.org.
[06:16.280 --> 06:19.120]  That's O-R-G-O-N-E, products.org.
[06:19.120 --> 06:22.160]  O-R-G-O-N-E, products.org.
[06:22.160 --> 06:25.560]  Or call 646-498-5309.
[06:25.560 --> 06:28.560]  That's 646-498-5309.
[06:28.560 --> 06:36.840]  Prepare yourself for a toll-created, toll-period, ill-experienced life, no other life, no other
[06:36.840 --> 06:37.840]  life.
[06:37.840 --> 06:39.720]  Just wrap yourselves in, old dog.
[06:39.720 --> 06:42.480]  He stands for truth.
[06:42.480 --> 06:45.640]  He stands for justice.
[06:45.640 --> 06:48.200]  He stands for what's right.
[06:48.200 --> 06:51.480]  This is the Alex Jones Show.
[06:51.480 --> 06:59.800]  Call AlexNOW toll-free at 877-590-5525.
[06:59.800 --> 07:12.280]  Now live from Austin, Texas, here's Alex Jones.
[07:12.280 --> 07:19.040]  It is Sunday, the 10th day of August 2008, and I was going to take off the Sunday show
[07:19.040 --> 07:26.440]  today and have Jason Bermas sit in for me, but I am here live because of pressing world
[07:26.440 --> 07:27.440]  events.
[07:27.440 --> 07:33.160]  But Jason Bermas will be riding shotgun with me here in the next two hours today.
[07:33.160 --> 07:38.800]  We'll be hearing from former Wall Street Journal editor, former head of the Treasury
[07:38.800 --> 07:45.040]  Department, under Paul Craig Roberts, an exclusive message here for us about the situation in
[07:45.040 --> 07:47.440]  Georgia with Russia.
[07:47.440 --> 07:52.160]  So Bob Chapman, who worked in military intelligence against the Russians, will be joining us coming
[07:52.160 --> 07:55.280]  up later in the second hour today.
[07:55.280 --> 08:00.000]  We will not be talking about John Edwards and his girlfriend, and does he have a love
[08:00.000 --> 08:01.000]  child?
[08:01.000 --> 08:05.200]  You will not be discussing a murder at the Olympics.
[08:05.200 --> 08:10.440]  We will not be talking about celebrity hairdos or your favorite color in the next two hours,
[08:10.440 --> 08:11.440]  ladies and gentlemen.
[08:11.440 --> 08:16.040]  We're going to be talking about one of the biggest military developments in the last
[08:16.040 --> 08:25.040]  50 years, taking place late Thursday evening, Russian time into, of course, Friday here
[08:25.040 --> 08:26.640]  in the United States.
[08:26.640 --> 08:35.080]  We are now three days into this conflict and there are a lot of important facets to this.
[08:35.080 --> 08:40.000]  Number one, I have been listening to talk radio, I've been listening to news, I've been reading
[08:40.000 --> 08:42.480]  the newspapers here in the U.S.
[08:42.480 --> 08:46.720]  I have been talking to people when I go into a convenience store to get gas.
[08:46.720 --> 08:51.640]  I've asked four or five people in stores the last day, hey, have you heard about Russia?
[08:51.640 --> 08:54.040]  Most of them haven't, and there's a huge conflict going on there.
[08:54.040 --> 09:01.880]  If they have, they said, yeah, those evil Russians, they have attacked an innocent country.
[09:01.880 --> 09:06.480]  And lo and behold, some message boards and places actually believe that the Russians
[09:06.480 --> 09:09.920]  have attacked Georgia in the south of the United States.
[09:09.920 --> 09:14.760]  On Friday, I joked on my weekday show and said, people are so dumb down here, kind of
[09:14.760 --> 09:20.200]  like Miss South Carolina at the beauty pageant who didn't even know what country she was in.
[09:20.200 --> 09:24.600]  That is a large portion of our population that only invites the type of tyranny we're
[09:24.600 --> 09:25.600]  witnessing.
[09:25.600 --> 09:27.720]  Here is the basic facts.
[09:27.720 --> 09:34.360]  In 1991, the Soviet Union reportedly collapsed Georgia, which was one of its satellite states,
[09:34.360 --> 09:40.040]  where Joseph Stalin and others were from, and been historically part of the mother Russia,
[09:40.040 --> 09:41.760]  broke away from the Soviet Union.
[09:41.760 --> 09:48.320]  They then viciously attacked several enclaves on the Russian proper border, engaging in
[09:48.320 --> 09:53.400]  ethnic cleansing of ethnic Russians.
[09:53.400 --> 10:01.960]  And since then, since 1993, Russian troops have been there with the United Nations in
[10:01.960 --> 10:09.920]  the two breakaway republics of Ossetia and Abkhazia.
[10:09.920 --> 10:18.600]  Late Thursday into early Friday, more than 10,000 Georgian troops backed up by US special
[10:18.600 --> 10:21.560]  forces from the Army and the Marines.
[10:21.560 --> 10:24.240]  This is all over foreign press, Russian, British.
[10:24.240 --> 10:26.640]  You will never hear it here in the US.
[10:26.640 --> 10:34.000]  US troops commanding launched a sneak attack on the breakaway republic of Ossetia that
[10:34.000 --> 10:40.960]  has been in total peace since the early 1990s in a United Nations ceasefire.
[10:40.960 --> 10:48.800]  They massacred thousands of civilians, hundreds of Osseti troops and Russian troops, a huge
[10:48.800 --> 10:53.960]  sneak attack blasting the capital city and taking over every other major city.
[10:53.960 --> 11:02.040]  They moved in with self-propelled rocket launchers.
[11:02.040 --> 11:07.760]  They moved in with over 100 tanks, helicopters and jets and blew the living daylights out
[11:07.760 --> 11:09.160]  of the entire region.
[11:09.160 --> 11:15.600]  Now, I go on air Friday, and it's not in any of our news.
[11:15.600 --> 11:19.880]  I'm scanning newswires all morning, seeing nothing about it for hours getting ready.
[11:19.880 --> 11:23.200]  That's the second big part of the story was the news blackout.
[11:23.200 --> 11:28.840]  Then we start reading the BBC and other reports at about 11 a.m. saying that Russia has attacked
[11:28.840 --> 11:29.840]  Georgia.
[11:29.840 --> 11:35.720]  But then in the bottom of the reports, they all admitted after Georgia snuck attack Russian
[11:35.720 --> 11:37.920]  military bases.
[11:37.920 --> 11:42.800]  On the day the Olympics start, while Putin and Bush are on stage together, a massive
[11:42.800 --> 11:47.600]  US controlled, when I say US, this isn't our government, it's not our military, this
[11:47.600 --> 11:51.280]  is the criminal new world order doing this, this is unprecedented.
[11:51.280 --> 11:54.920]  This isn't some sneak attack on Iraq or some preemptive war strategy.
[11:54.920 --> 12:01.600]  This is preemptive war against Russian forces slaughtering them in cold blood.
[12:01.600 --> 12:06.080]  Our name, if it was mud before, with all the lies and propaganda and premeditated wars
[12:06.080 --> 12:10.760]  and propaganda, now all over the world people are freaking out.
[12:10.760 --> 12:15.840]  Now, for the last two and a half days, since it's been in the press as the third or fourth
[12:15.840 --> 12:22.760]  top story, literally celebrity hairdos and John Edwards are above that, and Will Hillary
[12:22.760 --> 12:28.360]  Clinton be the VP, that's all your top stories that don't matter.
[12:28.360 --> 12:32.000]  While all of this is happening, the media, and I've got stacks of the news headlines
[12:32.000 --> 12:36.640]  that are all deceptive here in the West and the US predominantly, is saying, why won't
[12:36.640 --> 12:38.640]  the Russians stop attacking?
[12:38.640 --> 12:40.000]  Why are the Russians doing this?
[12:40.000 --> 12:41.800]  Why are they so mean?
[12:41.800 --> 12:47.160]  Meanwhile, the Georgian forces are continuing to battle and attack the Russians, and for
[12:47.160 --> 12:52.600]  two and a half days there's been house to house fighting all over northern Georgia,
[12:52.600 --> 12:54.760]  bordering Russia.
[12:54.760 --> 13:00.040]  Now Russian special forces arrive yesterday, more Russian hind helicopters and flogger
[13:00.040 --> 13:06.040]  helicopters and MiGs, they have attacked and blown out the pipeline going out to the Black
[13:06.040 --> 13:14.800]  Sea over to the US ally Turkey, and I've got the press reports here, they're using Muslim
[13:14.800 --> 13:18.840]  fighters against the Russians as usual, just like they did in Serbia, just like they did
[13:18.840 --> 13:28.160]  in Afghanistan, they are using Marines Army, and it's reported that mercenaries, quote,
[13:28.160 --> 13:32.880]  in black uniforms with American insignia are on the ground.
[13:32.880 --> 13:34.960]  Let's go, this is from Russia today.
[13:34.960 --> 13:39.560]  This is the CNN of Russia in English, the biggest international news channel, Russia
[13:39.560 --> 13:40.560]  has, play the short clip.
[13:40.560 --> 13:41.560]  Here it is.
[13:41.560 --> 13:47.480]  President's envoy Dmitry Midov calls Georgia's military actions the ultimate villainy.
[13:47.480 --> 13:52.280]  He says the Georgian army is possibly reinforced by mercenaries, as foreigners have been found
[13:52.280 --> 13:58.080]  among their bodies.
[13:58.080 --> 14:02.920]  The town looks like Stalingrad during World War II, with fallen trees, power lines, burned
[14:02.920 --> 14:07.440]  Georgian tanks all over the street, dead bodies of Georgian soldiers are lying everywhere.
[14:07.440 --> 14:12.040]  We have information that there were mercenaries among the attackers, and yesterday's most
[14:12.040 --> 14:16.160]  recent tank attack, the advancing tanks were supposedly crewed by Ukrainians.
[14:16.160 --> 14:21.440]  Two unidentified bodies found today are said to be black, possibly they are Americans,
[14:21.440 --> 14:23.560]  but we can't say for sure yet.
[14:23.560 --> 14:29.800]  We'll be able to publish the official conclusions after carrying out special tests.
[14:29.800 --> 14:37.520]  Now we've got time for a break, let's play a short clip of witnesses saying yes, black
[14:37.520 --> 14:43.440]  men, US insignias, other reports of men in black uniforms with US insignias, and I have
[14:43.440 --> 14:47.640]  a stack of mainstream reports admitting a thousand US Marines were massing for a war
[14:47.640 --> 14:51.120]  game drill, hundreds of army special forces.
[14:51.120 --> 14:52.120]  Here it is.
[14:52.120 --> 15:04.320]  Of course I am, my son is in Rostov, Russia, I am alone here.
[15:04.320 --> 15:09.400]  My hand hurts a lot after I was shot, but I can't go to hospital because people are
[15:09.400 --> 15:15.720]  shooting outside, there were soldiers and tanks on the streets shooting all night long, I've
[15:15.720 --> 15:22.680]  been hiding 40 people in my bunker, I thought against the Nazis, I was not afraid then,
[15:22.680 --> 15:35.400]  but now I'm very afraid, I have never seen anything like that, we were not prepared.
[15:35.400 --> 15:36.400]  So traumatic situation.
[15:36.400 --> 15:41.040]  All right that's not the clip, we're going to come back and play that after the break
[15:41.040 --> 15:46.040]  because there's hours of this, more on the foreign troops, there is no doubt US troops
[15:46.040 --> 15:50.000]  are at least advising, the reports are dead.
[15:50.000 --> 15:56.480]  Bottom line, headline on PrismPlanet.com and InfoWars.com, the United States has launched
[15:56.480 --> 16:02.840]  a sneak attack against Russia, that's all over the Russian news, US back forces launched
[16:02.840 --> 16:07.640]  sneak attack on Russia, our media thinks we're so down they tell you that Russia attacked
[16:07.640 --> 16:08.640]  Georgia.
[16:08.640 --> 16:13.360]  It's absolutely incredible, we'll continue to cover this and what it's going to mean
[16:13.360 --> 16:15.680]  to the economy and the future of the world.
[16:15.680 --> 16:19.880]  On the other side also, aircraft carriers from the US are steaming towards Iran, preparing
[16:19.880 --> 16:29.320]  to launch attacks there, stay with us.
[16:29.320 --> 16:32.880]  Hello Ted Anderson, listeners of the network are familiar with the Federal Reserve note
[16:32.880 --> 16:37.400]  and understand the risks of deficit spending, therefore with catastrophic events it comes
[16:37.400 --> 16:41.760]  as no surprise that some banks have currently placed limits on the amount of cash depositors
[16:41.760 --> 16:46.080]  can remove from their accounts, a fractional reserve system means only a small portion
[16:46.080 --> 16:50.280]  of your deposit is held in reserve for immediate withdrawal, deficit spending will skyrocket
[16:50.280 --> 16:54.640]  through FDIC if the government is forced to insure deposits during a bank run followed
[16:54.640 --> 16:59.240]  by a depressed economy, a current effort is underway by the Fed along with other central
[16:59.240 --> 17:03.680]  banks to increase liquidity for depositors, however an increase in money supply without
[17:03.680 --> 17:08.120]  equal expansion and productivity can cause inflation, in order to achieve strength and
[17:08.120 --> 17:13.280]  stability I recommend a conservative portion of all investments to be calmly repositioned
[17:13.280 --> 17:18.400]  into gold and silver, while paper investments currently have been driven by debt, gold on
[17:18.400 --> 17:25.240]  its own has held value for over 6,000 years, for more information call 1-800-686-2237,
[17:25.240 --> 17:28.760]  that's 1-800-686-2237.
[17:28.760 --> 17:33.640]  Alabama State Code makes it illegal to drive barefoot, in Downey, California it's illegal
[17:33.640 --> 17:38.120]  to wash your car in the street, in Minnesota you can be fined for displaying that you're
[17:38.120 --> 17:43.080]  vehicle is for sale, these laws are obviously not made to protect us but instead to help
[17:43.080 --> 17:47.520]  states profit, the use of red light cameras is another great example, they intrude on
[17:47.520 --> 17:53.760]  your privacy are unconstitutional and cost you valuable time and money, sprayyourplate.com
[17:53.760 --> 17:57.960]  is a spray on photo blocker that protects against red light cameras, toll cameras and
[17:57.960 --> 18:03.600]  speed cameras, one application lasts a lifetime is undetectable and each can covers up to
[18:03.600 --> 18:08.800]  4 license plates, simply spray it on, let it dry and you're protected, all orders are
[18:08.800 --> 18:13.400]  kept strictly confidential and for the month of August receive free shipping and a $5 bill
[18:13.400 --> 18:23.280]  enclosed with every order, call 1-800-276-9601, that's 1-800-276-9601 or go to sprayyourplate.com
[18:23.280 --> 18:29.880]  that's sprayyourplate.com, don't give your money to the state, spray your plate.
[18:29.880 --> 18:34.960]  Heart disease is on the rise, clogged arteries, high blood pressure and high cholesterol levels
[18:34.960 --> 18:40.520]  may not be fully detected by you but the symptoms are there, loss of energy, blood sugar, spikes
[18:40.520 --> 18:45.080]  and drops, poor circulation and irregular heartbeat are just a few of these that can
[18:45.080 --> 18:50.120]  alert you that something is wrong, hear how heart and body extract is making a difference
[18:50.120 --> 18:53.040]  in thousands of people's lives across America.
[18:53.040 --> 18:56.800]  My blood pressure has normalized, my diabetes has totally improved.
[18:56.800 --> 19:00.480]  Everyone is telling me now how much healthier I look and I'm telling everyone how much
[19:00.480 --> 19:04.160]  healthier I feel, I recommend heart and body extract to everyone.
[19:04.160 --> 19:09.360]  Anybody over 40 in the North American continent should be using this product as a preventive
[19:09.360 --> 19:11.880]  to keep their cardiovascular system healthy.
[19:11.880 --> 19:20.120]  Order your two month supply today by calling 866-295-5305 that's 866-295-5305 or order
[19:20.120 --> 19:29.320]  online hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[19:29.320 --> 19:33.960]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[19:33.960 --> 19:38.840]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[19:38.840 --> 19:40.440]  Hi folks, Alex Jones here.
[19:40.440 --> 19:44.120]  Why not go back to basics and be safe with Calvin Pearsons?
[19:44.120 --> 19:48.440]  They're all natural and you'll save some 85% the money you're spending for your cleaning
[19:48.440 --> 19:49.440]  products now.
[19:49.440 --> 19:55.560]  Marty Schachter founded Calvin's Soap Company in 1947 and provided products for health institutions.
[19:55.560 --> 19:58.120]  Now Calvin's Soaps are available to you and me.
[19:58.120 --> 20:02.120]  Triple concentrated for all your cleaning needs, from bathing and laundry to dishes,
[20:02.120 --> 20:03.120]  hair and more.
[20:03.120 --> 20:05.240]  No harsh chemicals, no animal testing.
[20:05.240 --> 20:10.160]  I use them and love them, knowing they're all natural and safe and I save big time.
[20:10.160 --> 20:19.400]  Call Calvin Pearsop at 1-800-340-7091 that's 1-800-340-7091 or log on to 5starsoap.com
[20:19.400 --> 20:27.280]  now for a free catalog, again that number 1-800-340-7091 or 5starsoap.com for all your
[20:27.280 --> 20:28.280]  cleaning needs.
[20:28.280 --> 20:29.280]  Thank you for listening to GCN.
[20:29.280 --> 20:30.280]  Visit GCNLive.com today.
[20:30.280 --> 20:45.280]  We're going to be taking your calls coming up in the next segment at 877-590-5550.
[20:45.280 --> 20:56.360]  That's 877-590-KLBJ, named after the station we bring this show to you across the country
[20:56.360 --> 21:02.360]  out of here in Austin, Texas.
[21:02.360 --> 21:07.160]  Let me recap the top story here.
[21:07.160 --> 21:15.000]  Not celebrity hairdos, not an American is killed in Beijing, not John Edwards has a
[21:15.000 --> 21:17.320]  girlfriend and might have a baby.
[21:17.320 --> 21:19.280]  That doesn't affect our lives.
[21:19.280 --> 21:26.560]  What does affect our lives is that Georgia is the second largest contingent in Iraq,
[21:26.560 --> 21:33.200]  3,000 Georgians after the British, that's the largest contingent, British again or second,
[21:33.200 --> 21:39.680]  Georgia is number 3, US number 1, contingent of coalition of the willing forces in Iraq
[21:39.680 --> 21:42.080]  are having to evacuate those 3,000 troops.
[21:42.080 --> 21:45.720]  The United States, after the last 10 years, has been building up the Georgians, giving
[21:45.720 --> 21:48.120]  them weapons, giving them training.
[21:48.120 --> 21:54.240]  When we say US, we mean the private, global, corporate, international community, as it's
[21:54.240 --> 21:58.560]  known, that controls our government, taking our liberties, taking our freedoms as well.
[21:58.560 --> 22:02.400]  I'm not defending the Russian government or saying they're great people either.
[22:02.400 --> 22:08.120]  But in the late 90s, they funded Wahhabist, Muslim, slash communist, what a mixture, out
[22:08.120 --> 22:14.360]  of Albania to go into Kosovo and attack police stations, military bases, burned down cities.
[22:14.360 --> 22:18.800]  When the Serbs fought back, the news media, the control corporate press knew the American
[22:18.800 --> 22:22.600]  people were in willful ignorance and totally delusional.
[22:22.600 --> 22:28.560]  So they said Serbia has viciously, premeditatedly attacked the country of Kosovo.
[22:28.560 --> 22:31.840]  That's like saying that the USA has attacked Texas.
[22:31.840 --> 22:36.240]  Now it was part of Serbia, but they lied and said, knowing Americans didn't know about
[22:36.240 --> 22:40.600]  maps of the Balkans or parts of the world and said, Serbia has attacked the sovereign
[22:40.600 --> 22:45.040]  innocent nation of Kosovo and they've murdered innocent people.
[22:45.040 --> 22:48.000]  It was all total lies as usual.
[22:48.000 --> 22:51.680]  And then the bombardment and the attack started.
[22:51.680 --> 23:00.280]  Then a puppet regime was put in and they did break off Serbia and handed over to the Muslims.
[23:00.280 --> 23:01.680]  And it is the same thing here.
[23:01.680 --> 23:07.360]  They have now had the Georgians, the mainline Georgians, who have secret police and secret
[23:07.360 --> 23:08.640]  arrest and everything else.
[23:08.640 --> 23:10.920]  All this talk about democracy is pure bull.
[23:10.920 --> 23:14.840]  They launched a sneak attack Thursday night into Friday morning, attacking all the major
[23:14.840 --> 23:19.040]  towns and the capital city of Ossetia.
[23:19.040 --> 23:27.880]  They've now tried to launch attacks into Abkhazia to the west, right on the Black Sea with a
[23:27.880 --> 23:29.440]  pipeline to Turkey.
[23:29.440 --> 23:34.160]  The Russians fight back and they know the public so dumb they run headlines like AP
[23:34.160 --> 23:35.160]  did.
[23:35.160 --> 23:37.920]  Georgians say Russia attacking.
[23:37.920 --> 23:41.400]  Now that sounds to a layman like Russia has attacked Georgia, but then you read the bottom
[23:41.400 --> 23:45.920]  of the article that says, after Georgians attacked and killed premeditatedly in a sneak
[23:45.920 --> 23:50.320]  attack, Russians and 2,000 civilians, Russia fights back.
[23:50.320 --> 23:55.080]  Then they're firing rockets, helicopter attacks, tank attacks against the Russians, slaughtering
[23:55.080 --> 23:56.600]  them.
[23:56.600 --> 23:58.560]  And the media is saying, how dare Russia fight?
[23:58.560 --> 24:00.240]  How dare Russia not stand down?
[24:00.240 --> 24:04.880]  And Bush and McCain and Obama come out and give statements about how dare Russia premeditatedly
[24:04.880 --> 24:07.080]  attack Georgia.
[24:07.080 --> 24:09.440]  This is how dumb they think you are.
[24:09.440 --> 24:13.240]  And I've got people in the message board in the common area of infowars.com saying we're
[24:13.240 --> 24:18.360]  lying that the U.S. doesn't back Georgia and that Georgia didn't attack even when Georgia
[24:18.360 --> 24:19.480]  admits it.
[24:19.480 --> 24:24.040]  That is the willful delusions that we're dealing with.
[24:24.040 --> 24:28.480]  Now, again, up on infowars.com, up on prismplanet.com, we have British, we have French, we have
[24:28.480 --> 24:29.480]  Georgian.
[24:29.480 --> 24:30.480]  We have Russian.
[24:30.480 --> 24:31.480]  Go watch it all.
[24:31.480 --> 24:32.480]  Go read it all.
[24:32.480 --> 24:33.480]  Go decide for yourself.
[24:33.480 --> 24:34.480]  We put it all up there.
[24:34.480 --> 24:35.480]  Go decide for yourself what's happening.
[24:35.480 --> 24:36.480]  It's very clear.
[24:36.480 --> 24:37.480]  It's admitted what's happening.
[24:37.480 --> 24:38.480]  Here's a short clip.
[24:38.480 --> 24:41.960]  We already played you the official Russian government saying we know there are foreign
[24:41.960 --> 24:42.960]  fighters.
[24:42.960 --> 24:45.680]  Reportedly, there's blacks with American uniforms there.
[24:45.680 --> 24:48.640]  That really stands out dead on the side of the road.
[24:48.640 --> 24:52.560]  We know there's 1,000 Marines, hundreds of Army advisors at least.
[24:52.560 --> 24:55.920]  We know the U.S. has said some of our troops were cut off in there and trying to evacuate
[24:55.920 --> 24:56.920]  them.
[24:56.920 --> 25:00.120]  We know our troops in a criminal attack against the Russians.
[25:00.120 --> 25:04.000]  They got 20,000 nukes, people.
[25:04.000 --> 25:05.640]  They're not trying to start a war with us.
[25:05.640 --> 25:07.200]  This is insanity.
