[00:00:00.149 --> 00:00:02.110]  ...of this Republic.
[00:11:12.384 --> 00:11:16.245]  And they do not admire them anymore because they see that they are useless.
[00:11:16.245 --> 00:11:17.465]  They're parasites.
[00:11:17.465 --> 00:11:20.766]  Also they can undermine and put in another dictator after them.
[00:11:20.766 --> 00:11:21.426]  That's right.
[00:11:21.426 --> 00:11:23.727]  So they want to get rid of those people.
[00:11:23.727 --> 00:11:30.909]  We saw it in Russia, we saw it with Night of the Long Knives, Pol Pot in Cambodia, Mao in China, Fidel Castro in Cuba.
[00:11:30.909 --> 00:11:33.510]  It's the same story over and over again.
[00:11:33.510 --> 00:11:38.871]  If you're going to betray your own people, they fear that you will betray them.
[00:11:38.871 --> 00:11:40.152]  So again, this is why
[00:11:42.443 --> 00:11:46.927]  The useful idiots, if we could use that term, will be the first to go.
[00:11:46.927 --> 00:11:48.648]  Well, I can't believe we've gotten to this point.
[00:11:48.648 --> 00:11:53.072]  You know, a trillion dollars missing from the Pentagon and there's no investigation?
[00:11:53.072 --> 00:11:56.855]  A trillion dollars is missing, Aaron!
[00:11:56.855 --> 00:11:58.477]  Well, maybe they just printed it up, Alex.
[00:12:01.972 --> 00:12:06.015]  Maybe they didn't steal it from the taxpayers this time.
[00:12:06.015 --> 00:12:12.240]  People try to focus everything in on Ashcroft, but obviously Bill Clinton helped set all this up.
[00:12:12.240 --> 00:12:14.342]  So did the President before him.
[00:12:14.342 --> 00:12:15.803]  But now we've got Ashcroft.
[00:12:15.803 --> 00:12:17.745]  He really seems to enjoy what he's doing.
[00:12:17.745 --> 00:12:24.470]  What do you think of Ridge and Ashcroft and the rest of the Herman Goerings and Heinrich Himmlers we've got on the Hill right now?
[00:12:25.658 --> 00:12:32.304]  Well, I think that just, you know, the comment I made before, when governments get scared, they do scary things.
[00:12:32.304 --> 00:12:38.709]  And I think that there's a lot of these folks who are scared, and they're doing scary things.
[00:12:38.709 --> 00:12:42.112]  You know, I agree with you, because I've done 900 interviews.
[00:12:42.112 --> 00:12:44.614]  It's coming up on 900 since 9-1-1.
[00:12:44.614 --> 00:12:49.898]  And Aaron, I go on these shows, and I'll take 30 calls, and nobody disagrees.
[00:12:49.898 --> 00:12:51.240]  I mean big talk shows.
[00:12:51.240 --> 00:12:52.721]  Talk show hosts that disagree with me.
[00:12:53.527 --> 00:12:59.392]  And all I hear is an awakening happening, so we're in a race now, and they know their time is short.
[00:12:59.392 --> 00:13:00.293]  Stay right there, my friend.
[00:13:00.293 --> 00:13:06.238]  We'll come back and talk about the Second Amendment more with Aaron Zellman.
[00:13:06.238 --> 00:13:12.082]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:13:12.082 --> 00:13:14.404]  Because there's a war on for your mind.
[00:13:16.650 --> 00:13:19.273]  I want to hold Aaron Zellman into the next hour if he can do it.
[00:13:19.273 --> 00:13:23.537]  I want to take your calls on the Second Amendment, on the police state, on the New World Order.
[00:13:23.537 --> 00:13:26.260]  The toll-free number to join us on air is 800-259-9231.
[00:13:26.260 --> 00:13:26.320]  800-259-9231.
[00:13:26.320 --> 00:13:32.046]  At the end of the last segment, Aaron, when you sang that there's a massive awakening happening for the corruption government,
[00:13:40.647 --> 00:13:46.033]  Uh, that people see the lives now, and so the globalists are scared, and I second that.
[00:13:46.033 --> 00:13:54.842]  I mean, you know, in our positions where we actually are out there in the public and talk to people and do interviews and see what's happening, we get a grip of things, a grasp of things.
[00:13:54.842 --> 00:14:00.668]  The average person's kind of isolated, alone, and doesn't know that three doors down, there's somebody thinking just like them.
[00:14:00.668 --> 00:14:02.931]  It's great to get out there and network.
[00:14:03.797 --> 00:14:16.860]  What are some of the other solutions you see, and some of the other key areas, the threats to liberty you see, and what are some of the most frightening developments inside this Homeland Security dictatorship that you're concerned about?
[00:14:16.860 --> 00:14:18.740]  Well, I think there's a threat to everything.
[00:14:18.740 --> 00:14:21.801]  In other words, the entire Bill of Rights is under attack.
[00:14:21.801 --> 00:14:25.341]  It's not just the First Amendment or the Second Amendment.
[00:14:25.341 --> 00:14:28.722]  But there is an effort to destroy the entire Bill of Rights.
[00:14:29.651 --> 00:14:39.774]  I think the first thing we have to do is help people understand that the Bill of Rights exists because it's a list of clauses telling the government what it cannot do.
[00:14:39.774 --> 00:14:49.636]  And we really have to, Alex, we really have to reach out to people and get them to understand what the government is doing to them by helping them understand what the government was not supposed to do in the first place.
[00:14:49.636 --> 00:14:54.217]  So that might be a step in the right direction for us to undertake.
[00:14:54.217 --> 00:14:55.898]  You call it the Bill of Rights culture.
[00:14:56.767 --> 00:15:11.578]  Yes, the Bill of Rights culture would be, you know, all the Bill of Rights for all citizens, and that anything that violates the Bill of Rights is prohibited and must cease to exist immediately.
[00:15:11.578 --> 00:15:13.119]  That's a Bill of Rights culture.
[00:15:13.119 --> 00:15:19.143]  There's a zero tolerance for those who violate the Bill of Rights.
[00:15:19.143 --> 00:15:26.148]  Any proposed law, any existing law, any effort to violate the Bill of Rights
[00:15:26.852 --> 00:15:30.774]  Simply must cease to exist.
[00:15:30.774 --> 00:15:32.275]  It's absolutely incredible.
[00:15:32.275 --> 00:15:34.757]  No, that is the only way we're going to save this country.
[00:15:34.757 --> 00:15:38.819]  We're going to have to take that step, which is where we started out from to begin with.
[00:15:38.819 --> 00:15:42.521]  I mean, if we go back to that step, it's full circle.
[00:15:42.521 --> 00:15:47.884]  That's why we had, that's why we told the British to drop dead and shot them.
[00:15:47.884 --> 00:15:51.046]  And so we have to just take this full circle again.
[00:15:52.975 --> 00:16:03.498]  Well, they've been setting up for conflict with the American people for a while because they knew the things they had planned were so horrible, a lot of people would get off the bench.
[00:16:03.498 --> 00:16:09.860]  And we're trying to let them know that our numbers are so great, our resolve is strong enough, so they will back off.
[00:16:09.860 --> 00:16:20.743]  But in their ivory towers, I think they have gotten a bit delusional and are not listening to their social architects and the professors that advise them on how to take over.
[00:16:20.743 --> 00:16:21.763]  Do you agree with that statement?
[00:16:22.583 --> 00:16:26.404]  Oh, I think people in government have always been delusional.
[00:16:26.404 --> 00:16:34.526]  You know, they think that they can bring about a better world if everyone would just listen to them and let them do what they want to do.
[00:16:34.526 --> 00:16:36.446]  Delusional is putting it mildly.
[00:16:36.446 --> 00:16:39.387]  You're being very diplomatic.
[00:16:39.387 --> 00:16:46.548]  I think maybe just crazy, mentally unbalanced, might be a little more appropriate.
[00:16:46.548 --> 00:16:49.369]  Here's a quote by Sarah Brady.
[00:16:49.369 --> 00:16:50.989]  This was published.
[00:16:51.602 --> 00:16:56.868]  The National Educator magazine, she said this on the House floor, Senate floor.
[00:16:56.868 --> 00:17:03.654]  Our task of creating a socialist America can only succeed when those who would resist us have been totally disarmed.
[00:17:03.654 --> 00:17:09.560]  Sarah Brady, Chairman of Handgun Control, Senator Howard Metzenbaum, The National Educator, 94, page 3, January 94, page 3.
[00:17:09.560 --> 00:17:12.183]  Unidyr in 2001 had their July meeting in New York.
[00:17:12.183 --> 00:17:12.483]  They said,
[00:17:16.227 --> 00:17:21.451]  Civilian ownership of firearms threatens a legitimate power monopoly of the state.
[00:17:21.451 --> 00:17:25.994]  Power monopoly of the state is a dictatorship, is it not?
[00:17:25.994 --> 00:17:27.155]  Indeed it is.
[00:17:27.155 --> 00:17:39.284]  And I think that if you study the history of the world and those countries where they've been able to take guns away from people and leave people defenseless, the power of the state has been to murder people.
[00:17:41.152 --> 00:17:48.194]  And now Bush says he'll sign the assault weapons ban with pleasure and add some other goodies to it.
[00:17:48.194 --> 00:17:51.135]  We'll be back with Aaron Zellman, Chief of Preservation of Firearms.
[00:17:51.135 --> 00:17:55.516]  We'll give you the website, the phone number and more when we get back.
[00:17:55.516 --> 00:17:58.978]  What if you could actually save money on everything you ever needed to buy?
[00:17:58.978 --> 00:18:00.398]  Sounds unbelievable.
[00:18:04.810 --> 00:18:11.634]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the honors system.
[00:18:11.634 --> 00:18:13.254]  We ask that you wait.
[00:18:13.254 --> 00:18:19.057]  Don't donate a dime.
[00:18:19.057 --> 00:18:19.778]  Big Brother.
[00:18:19.778 --> 00:18:22.159]  Mainstream media.
[00:18:22.159 --> 00:18:23.920]  Government cover-ups.
[00:18:23.920 --> 00:18:25.481]  You want answers?
[00:18:25.481 --> 00:18:27.061]  Well, so does he.
[00:18:27.061 --> 00:18:31.244]  He's Alex Jones on the GCN Radio Network.
[00:18:31.244 --> 00:18:33.585]  And now, live from Austin, Texas,
[00:18:34.461 --> 00:18:35.402]  Alex Jones.
[00:18:35.402 --> 00:18:40.767]  The government has become illegitimate.
[00:18:40.767 --> 00:18:44.430]  It is destroying the Republic.
[00:18:44.430 --> 00:18:57.863]  And it was one of our more famous presidents that said that when the government becomes destructive of the Ames and tries to overthrow the legitimate government, it is the people's right, their duty,
[00:18:59.023 --> 00:19:04.226]  To remove that government, and most of our founding fathers said that in different ways.
[00:19:04.226 --> 00:19:08.369]  Read the Declaration of Independence and ask yourself, is that not happening today?
[00:19:08.369 --> 00:19:13.732]  Now we have loaded phones with Wesley and Darrell and Brian and Tom and Charles and others.
[00:19:13.732 --> 00:19:24.018]  Your calls are coming up in the next segment, your chance to talk to Aaron Zellman, founder and president of Jews for the Preservation of Firearms and Concerned Citizens Opposed to Police States.
[00:19:25.196 --> 00:19:28.639]  The website is JPFO.org.
[00:19:28.639 --> 00:19:31.362]  We have a link to it on InfoWars.com.
[00:19:31.362 --> 00:19:45.393]  JPFO.org and later we'll give you out a toll free number to join or to get the free email alerts or to get some of the fine publications they put out like Uncle Jack's comic books that teaches kids about corrupt government and what gun control is really all about.
[00:19:45.393 --> 00:19:46.094]  It has a great effect.
[00:19:47.635 --> 00:19:51.964]  But Aaron, I wanted to raise this story and get your response to it during this short segment.
[00:19:51.964 --> 00:19:53.648]  Well, we'll just do it in the next segment.
[00:19:53.648 --> 00:19:57.857]  I'll actually read the article, but it's out of New York Daily News.
[00:19:58.846 --> 00:20:08.772]  And it talks about how the police have been ordered that if you don't put your newspapers out, tied with a proper knot, for recycling, you get a huge fine.
[00:20:08.772 --> 00:20:14.695]  If you park in your own parking lot, there was a city ordinance you couldn't park in your own parking lot, but now they're going ahead and arresting you.
[00:20:14.695 --> 00:20:19.638]  You can't, if you put your books in the seats not occupied on the train, you get a fine.
[00:20:21.070 --> 00:20:34.213]  Now two men that have a barber shop stepped out when they didn't have anybody's hair to cut, smoked a cigarette on their own step, and they were given fines, and the police said, blame it on Bloomberg, we've been ordered to do this.
[00:20:34.213 --> 00:20:47.036]  Government just squeezing, taking women to jail for not wearing a seatbelt a block from their house, driving home, and putting them in jail, and just all of these new incredible charges for petty offenses.
[00:20:47.036 --> 00:20:48.756]  Is this what the police state is all about?
[00:20:50.959 --> 00:20:58.283]  You know, this almost makes me think that New York City is a test case, like a bunch of rats inside a cage.
[00:20:58.283 --> 00:21:00.924]  Let's just see if we can get away with all of these things.
[00:21:00.924 --> 00:21:04.666]  I think that's what the boys are asking themselves.
[00:21:04.666 --> 00:21:10.289]  And, you know, I think Mr. Bloomberg ought to run his business the way he's trying to run New York City.
[00:21:10.289 --> 00:21:13.471]  See if he likes it.
[00:21:13.471 --> 00:21:19.894]  This morning I was talking to somebody who lives in the New York area, and they said that someone was leaning on a fire hydrant the other day.
[00:21:20.931 --> 00:21:24.333]  And they got a ticket for loitering.
[00:21:24.333 --> 00:21:30.336]  I mean, I wasn't there, I didn't see it, but I just have to assume the person is telling me exactly what happened.
[00:21:30.336 --> 00:21:32.478]  But this is almost a situation.
[00:21:32.478 --> 00:21:34.919]  Let's just see how far we can push the envelope.
[00:21:34.919 --> 00:21:36.520]  Aaron, you're accurate.
[00:21:36.520 --> 00:21:38.561]  There's another article on the fire hydrant.
[00:21:38.561 --> 00:21:42.884]  They've given out several thousand tickets for even standing by fire hydrants.
[00:21:45.831 --> 00:21:47.091]  So what is this all about?
[00:21:47.091 --> 00:21:49.012]  Just running around foaming at the mouth?
[00:21:49.012 --> 00:21:57.454]  It sounds just like the Declaration of Independence where the king has erected swarms of officers to go forth and eat out our substance.
[00:21:57.454 --> 00:22:01.835]  But I think in New York City they'll get away with it because I think the majority of people live in New York City.
[00:22:01.835 --> 00:22:11.778]  You want government to do things for them and they have faith in government and you look at the people that they vote for and what else has to be said?
[00:22:11.778 --> 00:22:14.999]  I mean the people in New York City I think in some respects are brain dead.
[00:22:16.974 --> 00:22:21.617]  Well, I agree it's a test case and they're doing it all over the country, but more so in LA and New York.
[00:22:43.940 --> 00:22:54.743]  And when you go ahead and go along with their $100 fines for not putting your newspapers out right, next time it'll be jail time and you'll thank them for it, won't you?
[00:22:54.743 --> 00:22:58.364]  Oh sure, you'll enjoy the food there and also the cockroaches.
[00:22:58.364 --> 00:23:04.225]  And they're going to build a new factory onto the jail so you can do a little work, too.
[00:23:04.225 --> 00:23:06.826]  And then of course that'll take everybody else's job on the outside.
[00:23:06.826 --> 00:23:07.926]  Aaron, stay there.
[00:23:07.926 --> 00:23:11.487]  Let's talk more about this and more about JPFO when we get back and take calls.
[00:23:11.487 --> 00:23:12.227]  Stay with us, folks.
[00:23:17.407 --> 00:23:24.970]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:23:24.970 --> 00:23:33.954]  We're talking to Aaron Zellman today, founder and president of Jews for the Preservation of Firearms.
[00:23:33.954 --> 00:23:35.655]  He's been around for 14 years.
[00:23:37.055 --> 00:23:42.020]  Fighting the criminals who want your guns so they can enslave you and your family.
[00:23:42.020 --> 00:23:43.341]  That's the historical fact.
[00:23:43.341 --> 00:23:50.027]  Slaves are disarmed, whether it was in Rome, or this country, or Nazi Germany, or Stalinist Russia.
[00:23:50.027 --> 00:23:54.110]  And in the last segment, we're about to go straight to your calls, and I appreciate Aaron joining us today.
[00:23:54.110 --> 00:24:02.678]  In the last segment, I mentioned to Aaron about how you don't put your recycling out right, you get a huge fine, you put your books
[00:24:03.739 --> 00:24:06.800]  Next to you in an open seat on the train, you get a huge fine.
[00:24:06.800 --> 00:24:08.741]  He mentioned it and it's in the news.
[00:24:08.741 --> 00:24:10.741]  You lean up against a fire hydrant.
[00:24:10.741 --> 00:24:12.622]  Huge fine.
[00:24:12.622 --> 00:24:13.702]  Don't wear a seatbelt.
[00:24:13.702 --> 00:24:16.463]  Arrested.
[00:24:16.463 --> 00:24:21.005]  And now the police have taken out radio ads, newspaper ads, and they're saying, we're sorry.
[00:24:21.005 --> 00:24:22.786]  Everyone hates us now.
[00:24:22.786 --> 00:24:25.066]  We've been ordered to raid houses without warrants.
[00:24:25.066 --> 00:24:26.827]  We've been ordered to do all this.
[00:24:26.827 --> 00:24:28.387]  We've been ordered to step all this up.
[00:24:28.387 --> 00:24:29.908]  We've been ordered to give you all tickets.
[00:24:30.766 --> 00:24:32.207]  And we're being ordered to do it.
[00:24:32.207 --> 00:24:35.170]  Well, that's just so they don't get resistance.
[00:24:35.170 --> 00:24:36.651]  Mayor Bloomberg wants more money.
[00:24:36.651 --> 00:24:38.132]  Look, that government has plenty of money.
[00:24:38.132 --> 00:24:43.637]  They just raised the property taxes something like 95% last year.
[00:24:43.637 --> 00:24:48.060]  Well, here it is out of the New York Daily News real quick, and we'll get Aaron's take on this and go to some calls.
[00:24:48.060 --> 00:24:53.425]  Two barbers clipped for loitering at work, New York Daily News.
[00:24:53.425 --> 00:24:56.888]  Him pawn and a buddy had stepped out of
[00:24:57.728 --> 00:25:05.335]  Shaw's big time on a Friday night to smoke a butt when a cop slapped him with a pair of summonses.
[00:25:05.335 --> 00:25:06.135]  The charge?
[00:25:06.135 --> 00:25:08.998]  Loitering in front of a business.
[00:25:08.998 --> 00:25:15.623]  But Pond and Bruce Rosaro, 27, were just hanging outside the Bronx barbershop.
[00:25:15.623 --> 00:25:16.464]  They work there.
[00:25:17.176 --> 00:25:19.498]  We can't smoke inside because it's against the law.
[00:25:19.498 --> 00:25:22.880]  Pawn 23 told the Daily News.
[00:25:22.880 --> 00:25:23.961]  What are we supposed to do?
[00:25:23.961 --> 00:25:25.842]  Go home to have a cigarette?
[00:25:25.842 --> 00:25:27.143]  It was 7 p.m.
[00:25:27.143 --> 00:25:34.948]  and Pawn, who had been a barber at Shaw's for two months, still had one more haircut to go before calling it a night.
[00:25:35.549 --> 00:25:48.038]  But before he was able to get back to work, a police wagon turned the corner and slowed to a stop outside the barbershop at 935 North Morris Park Avenue near Flower Avenue.
[00:25:48.038 --> 00:25:49.819]  Let me see some ID!
