[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[00:02:26.810 --> 00:02:32.671]  This is moving towards the computer-driven, government-controlled, driverless cars.
[00:02:32.671 --> 00:02:38.533]  Of course, an essential part of computer-driven cars is going to be vehicle-to-vehicle communication.
[00:02:38.533 --> 00:02:46.515]  If you don't think the government will be listening and working with insurance companies to make driving prohibitively expensive, you're not paying attention.
[00:02:46.515 --> 00:02:48.375]  They won't need cops for that either.
[00:02:48.375 --> 00:02:50.956]  These speeding tickets could be issued automatically.
[00:02:51.576 --> 00:02:54.517]  That's how they're going to force you out of controlling your car.
[00:02:54.517 --> 00:02:59.879]  That's how they're going to control every single aspect of your movement.
[00:02:59.879 --> 00:03:05.861]  But let's look at the effect on the due process and what's happened just this last election in North Carolina.
[00:03:05.861 --> 00:03:10.343]  North Carolina was the last holdout on requiring jury trials for felonies.
[00:03:10.343 --> 00:03:14.745]  It was in the Constitution, but that was just overturned in this last election.
[00:03:15.365 --> 00:03:23.237]  North Carolina became the 50th state, that's right, every one of the states allows a felony defendant to waive a jury trial.
[00:03:23.237 --> 00:03:27.624]  So what's wrong with being able to waive a jury trial if you really want to?
[00:03:27.624 --> 00:03:29.928]  Well, we know how this works in practice.
[00:03:30.729 --> 00:03:35.332]  Trials by jury have essentially disappeared from this country for a couple of reasons.
[00:03:35.332 --> 00:03:45.859]  Number one, there's the plea bargaining aspect, where they pressure the defendant with a lot of trumped-up charges to plea to one of those charges so they can get that without a trial.
[00:03:46.539 --> 00:03:55.605]  The other part of the problem is that since jurors see themselves now as a rubber stamp of the court, you don't have juries really acting independently.
[00:03:55.605 --> 00:03:59.827]  And they certainly don't understand the concept of jury nullification.
[00:03:59.827 --> 00:04:05.851]  That is, they're not there just to judge the facts of the case, they're there to judge how the law is being applied.
[00:04:06.531 --> 00:04:17.004]  I would suggest that if you really want to stand up for individual freedom, instead of wasting your time in elections, demand a jury trial for a minor traffic offense.
[00:04:17.004 --> 00:04:19.868]  If you lose, you'll have to pay the fine that you would have paid anyway.
[00:04:19.868 --> 00:04:24.633]  You're not going to go to jail for decades like you would in a more serious crime.
[00:04:25.134 --> 00:04:39.881]  But it gives you a chance to look the jurors in the eye, explain to them what the circumstances are, and tell them that they can cut their chains, the tyranny that is exercised over them, if just one of them will cut your chains.
[00:04:39.881 --> 00:04:41.902]  For InfoWars Nightly News, I'm David Knight.
[00:04:45.373 --> 00:04:50.517]  We're live on this Thursday, worldwide transmission, the 13th day of November.
[00:04:50.517 --> 00:04:52.479]  I'm Alex Jones, your host.
[00:04:52.479 --> 00:04:54.120]  Big broadcast coming up.
[00:04:54.120 --> 00:04:55.061]  Get ahead.
[00:04:55.061 --> 00:04:58.104]  That was a special report with the amazing David Knight.
[00:04:59.975 --> 00:05:10.517]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:05:10.517 --> 00:05:16.978]  Super Male Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:05:16.978 --> 00:05:19.318]  I jump out of bed ready to fight these criminals every day.
[00:05:19.318 --> 00:05:22.419]  I look forward to waking up and taking my super male vitality.
[00:05:22.419 --> 00:05:29.280]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:05:29.815 --> 00:05:33.477]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:33.477 --> 00:05:37.759]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:37.759 --> 00:05:39.540]  Can you put two and two together?
[00:05:39.540 --> 00:05:47.404]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:47.404 --> 00:05:48.545]  But for how long?
[00:05:48.545 --> 00:05:55.168]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:55.168 --> 00:05:57.990]  Infidel Body Armor just won't quit.
[00:05:59.522 --> 00:06:00.783]  Another major health threat.
[00:06:00.783 --> 00:06:05.765]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:06:05.765 --> 00:06:08.446]  Ohio's governor declaring a state of emergency.
[00:06:08.446 --> 00:06:15.489]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:06:15.489 --> 00:06:18.470]  If there's a water emergency, will you be prepared?
[00:06:18.470 --> 00:06:21.512]  Panicked residents forming long lines throughout the day.
[00:06:21.512 --> 00:06:23.453]  We're here at a supermarket in Toledo.
[00:06:23.453 --> 00:06:26.294]  You can see the shelves empty where water once was.
[00:06:26.374 --> 00:06:32.097]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:06:32.097 --> 00:06:35.599]  Water which will not be available at your local grocery store.
[00:06:35.599 --> 00:06:38.701]  There's a mad dash on right now to stock up on supplies.
[00:06:38.701 --> 00:06:46.025]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:06:46.025 --> 00:06:49.227]  Protect your family's safety during an emergency.
[00:06:49.227 --> 00:06:55.511]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:06:56.972 --> 00:06:59.174]  For a call, 1-888-253-3139.
[00:06:59.174 --> 00:07:05.560]  When I first got online and I seen the price of the X2 and the DNA Force, I was a little hesitant, but I pulled the trigger on it.
[00:07:05.560 --> 00:07:06.561]  It has changed my life.
[00:07:06.561 --> 00:07:10.244]  I've been taking it for about 24 days now, counting the weights, staying in shape.
[00:07:10.244 --> 00:07:12.786]  Infowarslife.com.
[00:07:12.786 --> 00:07:14.227]  You've heard the callers of the show.
[00:07:14.227 --> 00:07:18.271]  Several months back, I started taking your nascent iodine and your super meal.
[00:07:18.271 --> 00:07:20.253]  Prior to this, I was barely walking.
[00:07:20.253 --> 00:07:22.895]  Now, I'm able to function as a human again.
[00:07:22.995 --> 00:07:40.454]  Whether it's survival shield nascent iodine or DNA force, super male vitality, super female vitality, lung cleanse, fluoride shields, oxy powder, I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com.
[00:07:42.657 --> 00:07:46.501]  Just amazing what it's able to do to actually detox the body.
[00:07:46.501 --> 00:07:47.282]  It's great stuff.
[00:07:47.282 --> 00:07:51.386]  If I'm going to promote something, it's got to be something I personally use and that I believe in.
[00:07:51.386 --> 00:07:58.114]  Check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[00:08:09.733 --> 00:08:13.796]  Resistance to tyrants is obedience to God.
[00:08:13.796 --> 00:08:20.062]  It's Alex Jones.
[00:08:20.062 --> 00:08:26.927]  Undoubtedly, today is one of the most heavy, crazy news days I've ever seen.
[00:08:26.927 --> 00:08:32.652]  Going over the hundreds of articles I have in front of me and video clips, my head is spinning.
[00:08:32.652 --> 00:08:36.475]  Extreme weather warning as polar vortex descends on US.
[00:08:36.475 --> 00:08:38.016]  All hell to break loose.
[00:08:38.880 --> 00:08:45.462]  As they prepare for major power outages as ice begins to form on power lines across most of the country.
[00:08:45.462 --> 00:08:51.124]  Obama's secret treaty would be the most important step towards a one-world economic system.
[00:08:51.124 --> 00:08:58.206]  Barack Obama is secretly negotiating the largest international trade agreement in history, selling out U.S.
[00:08:58.206 --> 00:09:01.127]  sovereignty big time.
[00:09:01.127 --> 00:09:04.668]  Study cell phone use triples brain tumor rates.
[00:09:06.221 --> 00:09:09.502]  Another article, iPhones are for amateurs.
[00:09:09.502 --> 00:09:13.504]  With 22 days to go, the Black Friday line has started.
[00:09:13.504 --> 00:09:15.304]  Unbelievable.
[00:09:15.304 --> 00:09:21.326]  Under Texas bill, cops to collect traffic fines on the spot via credit or debit card.
[00:09:21.326 --> 00:09:22.587]  No judge or jury needed.
[00:09:23.769 --> 00:09:32.212]  Proposed federal water rule could put property rights of every American entirely at the mercy of the EPA, says Congress.
[00:09:32.212 --> 00:09:38.894]  Source, Obama to announce 10-point immigration plan via executive action as early as next week.
[00:09:38.894 --> 00:09:45.336]  Fox News, Krauthammer slams constitutionally odious immigration proposal.
[00:09:45.336 --> 00:09:51.038]  Report, immigrants make up to 42% of Obamacare Medicaid expansion.
[00:09:51.038 --> 00:09:51.898]  Did you hear that?
[00:09:52.598 --> 00:09:53.299]  Boom!
[00:09:53.299 --> 00:09:58.083]  Health and Human Services Chief, Obamacare, should be available to DREAMers.
[00:09:58.083 --> 00:10:00.185]  It already is.
[00:10:00.185 --> 00:10:04.488]  Only the illegals get everything free to incentivize them to come in.
[00:10:04.488 --> 00:10:08.532]  Once they're here, they'll of course be taxed to the hilt.
[00:10:08.532 --> 00:10:10.593]  So that's just some of what's coming up.
[00:10:10.593 --> 00:10:13.696]  A nauseating statement by George W. Bush.
[00:10:13.696 --> 00:10:15.538]  George Bush, when Jeb beats Hillary,
[00:10:16.892 --> 00:10:22.733]  And I hate Hillary so much that when I see the name Jeb beside Hillary, I like Jeb.
[00:10:22.733 --> 00:10:24.593]  That is the manipulation they're involved in.
[00:10:24.593 --> 00:10:35.835]  Even my mind detests Hillary Clinton so much that it's like a you-know-what sandwich that's got two pounds of you-know-what in it versus a you-know-what sandwich that has one pound of you-know-what in it.
[00:10:35.835 --> 00:10:37.756]  I don't want to eat either sandwich.
[00:10:37.756 --> 00:10:40.256]  But the force feeding is being prepared.
[00:10:40.256 --> 00:10:43.737]  Sorry about the gross analogy, just there's no other analogy that fits.
[00:10:43.737 --> 00:10:45.997]  And when it fits, wear it, ladies and gentlemen.
[00:10:47.483 --> 00:10:54.170]  We're going to be breaking down what to expect from the lame duck Congress, the Democrats in free fall, and so much more.
[00:10:54.170 --> 00:11:00.176]  GOP's anti-Obamacare push gains new momentum in wake of Gruber video.
[00:11:00.176 --> 00:11:02.999]  Back on Monday when we first started playing this clip.
[00:11:03.854 --> 00:11:11.841]  And we've now found two other clips of him saying, we lie to people, they're stupid, dumb voters, ha ha ha, increase the prices, ha ha ha.
[00:11:11.841 --> 00:11:15.444]  Look at the Washington Post, if you guys can punch up on screen for TV viewers.
[00:11:15.444 --> 00:11:21.590]  Radio listeners can go see the smirk that I've seen in the eyes and on the face
[00:11:22.250 --> 00:11:30.877]  Of these people that poses academics and poses reasonable people and talk like that when they're preying on the population.
[00:11:30.877 --> 00:11:35.161]  And then they want to brag about how they're preying on the population.
[00:11:35.161 --> 00:11:42.387]  Headline, GOP's anti-Obamacare push gains new momentum in wake of Gruber video.
[00:11:42.387 --> 00:11:50.394]  The Republican Party's ardent campaign against President Obama's health care law gained new momentum Wednesday as lawmakers reacted angrily.
[00:11:50.774 --> 00:11:57.287]  To assertions by an architect of the policy that it was crafted in a deliberately deceptive way in order to pass Congress.
[00:11:57.287 --> 00:11:58.971]  Well, of course it was.
[00:11:58.971 --> 00:12:01.195]  And the media, the accomplices, went along with it.
[00:12:02.310 --> 00:12:15.436]  On both sides of the Capitol, leading conservatives said they may call Jonathan Gruber to testify about his remarks, which were made last year and surfaced this week in a video on social media.
[00:12:15.436 --> 00:12:26.441]  In the video, Gruber suggests that the administration's signature health care legislation passed in part because of the, quote, stupidity of the American voter and a lack of transparency over its funding mechanisms.
[00:12:26.441 --> 00:12:29.623]  And he got paid 400 delicious smackers
[00:12:30.864 --> 00:12:42.096]  $400,000 of taxpayer money in just one of his payments to then go out and help fix the numbers, in his words, get it all prepared to deceive Congress.
[00:12:42.096 --> 00:12:47.282]  Of course, Congress helped right the stinking thing with the big foreign banks and insurance companies.
[00:12:47.282 --> 00:12:48.904]  The Republicans went along with it.
[00:12:48.904 --> 00:12:51.006]  The Republican leadership, they know what's in it.
[00:12:51.809 --> 00:13:01.657]  Just like they're going along with Obama on the trade deal that signs over our sovereignty, or shutting off a lot of the power plants, just like they went along with a lot of gun control bills in the past.
[00:13:01.657 --> 00:13:13.066]  But they don't want it known they're doing this, so now they have to, oh my gosh, get upset because this type of arrogance, this type of disgusting arrogance is what will bring them down.
[00:13:13.066 --> 00:13:16.609]  It's like Al Gore is now officially a billionaire.
[00:13:16.609 --> 00:13:18.130]  Officially a billionaire.
[00:13:20.482 --> 00:13:26.068]  And Al Gore is running around saying you shouldn't live in a nice house.
[00:13:26.068 --> 00:13:34.596]  Obama's saying you can't have an air conditioner or a car in Africa while they just live with the carbon footprint of thousands of people, conservatively.
[00:13:39.628 --> 00:13:42.630]  I've never seen someone consume as much as Al Gore.
[00:13:42.630 --> 00:13:46.453]  Last time I saw an article about it, he owns like 15 houses.
[00:13:46.453 --> 00:13:49.175]  Some of them are 14,000 square feet.
[00:13:49.175 --> 00:13:52.717]  He owns villas on the ocean in California that are like 10,000 feet.
[00:13:54.557 --> 00:14:01.445]  Just one of the houses has multiple homes at that property that he said would be underwater by now in 2008.
[00:14:01.445 --> 00:14:03.407]  By 2013 he said it would be underwater.
[00:14:03.407 --> 00:14:06.790]  He said the polar ice caps would entirely melt by 2013.
[00:14:06.790 --> 00:14:09.193]  It was all fraud.
[00:14:09.193 --> 00:14:10.995]  It was all lies.
[00:14:10.995 --> 00:14:15.180]  And they sit there and they laugh at us and say the giant polar vortex.
[00:14:17.435 --> 00:14:22.156]  Heck, let's get that British astrophysicist, top meteorologist on that we get on a few times a year.
[00:14:22.156 --> 00:14:28.657]  He predicted when he was on earlier this year, super cold temperatures and even bigger arctic vortex.
[00:14:28.657 --> 00:14:36.838]  Of course, he said it about 10 years ago too, following sun cycles, that we would be going into a mini ice age basically.
[00:14:36.838 --> 00:14:39.739]  And that's what all the real scientists are saying.
[00:14:39.739 --> 00:14:45.260]  We should thank our lucky stars for the last 12,000 years coming out of the last ice age.
[00:14:46.718 --> 00:14:49.539]  That's why we've been able to colonize much of the planet.
[00:14:49.539 --> 00:14:54.342]  It's why we've been able to have the North crossings in the North Atlantic.
[00:14:54.342 --> 00:14:58.744]  It's why we've been able to have the crops we've had.
[00:14:58.744 --> 00:15:06.427]  That's why we've been able to sustain seven and a half billion people, roughly.
[00:15:06.427 --> 00:15:14.451]  And if we have a mini Ice Age, or we have a few mini ones before you enter a big one, like birthing pains, if we get a big one,
[00:15:16.834 --> 00:15:23.541]  They'll be permafrost in the panhandle of Texas year-round.
[00:15:23.541 --> 00:15:28.866]  Minnesota and Illinois and places like that will be unlivable.
[00:15:28.866 --> 00:15:32.910]  Canada will be unlivable in most areas.
[00:15:32.910 --> 00:15:35.172]  How do you like that?
[00:15:35.172 --> 00:15:36.454]  You have five, six winners.
[00:15:38.291 --> 00:15:41.752]  Like some of the ones we've been having, and it will devastate the North.
[00:15:41.752 --> 00:15:46.434]  Billions and billions a year on infrastructure damaged from the cold.
[00:15:46.434 --> 00:15:55.937]  The Ice Age is what you should be worried about, and it has nothing to do with CO2 coming out of your car, or coming out of your mouth, that plants breathe.
[00:15:55.937 --> 00:15:58.017]  You ever think about that?
[00:15:58.017 --> 00:16:03.119]  You know we exhale what the EPA has listed as the number one toxic waste.
[00:16:04.619 --> 00:16:09.582]  You know the carbon cycle is sunlight, water, carbon dioxide, and oxygen.
[00:16:09.582 --> 00:16:12.864]  You gotta have those four things for life on terra firma.
[00:16:12.864 --> 00:16:15.225]  And they know you know sunshine's good.
[00:16:15.225 --> 00:16:17.286]  They know you know oxygen's not bad.
[00:16:17.286 --> 00:16:19.368]  They know you know water's not bad.
[00:16:19.368 --> 00:16:22.890]  So, but, oh, carbon dioxide sounds scary, like monoxide.
[00:16:22.890 --> 00:16:33.556]  And that's why we can go out in Austin and get nine out of ten people at the University of Texas, or on the hike and bike trail, people with degrees to sign our petition to ban dihydrogen monoxide that's water.
[00:16:34.488 --> 00:16:36.970]  And to ban carbon dioxide.
[00:16:36.970 --> 00:16:38.271]  In fact, we did one two years ago.
[00:16:38.271 --> 00:16:41.774]  I want to go back out and have people call for banning carbon dioxide.
[00:16:41.774 --> 00:16:44.876]  Do you understand that if they ban carbon dioxide, the Earth will die?
[00:16:44.876 --> 00:16:49.880]  I mean, you understand that plants live off of it and they put off oxygen.
[00:16:49.880 --> 00:16:51.121]  That's the carbon cycle.
[00:16:51.121 --> 00:16:52.162]  I know you know that, but...
[00:16:53.339 --> 00:16:55.102]  They want to tax the individual.
[00:16:55.102 --> 00:16:59.629]  If you read the UN documents, they want to tax humans for breathing.
[00:16:59.629 --> 00:17:00.891]  And I said that a decade ago.
[00:17:00.891 --> 00:17:02.714]  A few years ago it was in the New York Times.
[00:17:02.714 --> 00:17:04.637]  A tax on air.
[00:17:04.637 --> 00:17:05.879]  A tax on breathing.
[00:17:05.879 --> 00:17:07.221]  You can pull those headlines up.
[00:17:08.086 --> 00:17:24.232]  They really mean to do it, and that's what Obama is going ahead with with China, saying he'll executively put all this in place, even if Congress, and I'm not lionizing the Republicans, but they're the ones, four years ago, that voted down the carbon tax, and voted down shutting our power plants off.
[00:17:24.232 --> 00:17:25.933]  And guess what Obama did?
[00:17:25.933 --> 00:17:34.936]  He went ahead with the EPA, and the Supreme Court said, you know what, the EPA can act outside of Congress, and basically make law.
[00:17:34.936 --> 00:17:37.297]  But they said Congress can cut off the funding to the EPA.
[00:17:39.864 --> 00:17:41.567]  So see, I tried to go through the articles.
[00:17:41.567 --> 00:17:45.754]  I went through about twelve, fourteen, before I hit one and stopped.
[00:17:45.754 --> 00:17:49.681]  But we have new Jonathan Grubber videos.
[00:17:49.681 --> 00:17:52.206]  And it will be their arrogance that undoes them.
[00:17:53.641 --> 00:18:15.625]  As the president lands with about six support jumbo jets, he lands with Air Force One, red carpet, guards everywhere, helicopters, troops, 300 Secret Service agents, just in his detail, hundreds more in whatever city he's in, just a phalanx of hundreds of aides, thousands of bureaucrats behind him in infrastructure, and he says, you shouldn't be able to have air conditioning.
[00:18:18.578 --> 00:18:20.619]  Because it puts off CO2.
[00:18:20.619 --> 00:18:22.839]  We ought to have incentives for CO2.
[00:18:22.839 --> 00:18:37.084]  Did you know that the CO2, you can look at it in the last thousand years and it goes up and down a little bit, but if you look back into the mud flats and the ice caps, you go back 100,000, 200,000, 300,000, a million years, it's the lowest it's ever been in the last thousand years.
[00:18:37.084 --> 00:18:43.606]  Scientists, real scientists, climatologists, planetologists I would call them, to use a Herbert word,
[00:18:44.730 --> 00:18:45.771]  are totally freaking out.
[00:18:45.771 --> 00:18:49.393]  It appears we're losing our atmosphere right now, like Mars did.
[00:18:49.393 --> 00:18:53.396]  Mars used to have water all over it, boys and girls.
[00:18:53.396 --> 00:19:02.722]  We're losing our atmosphere, and it's like these demons that run things, who've detonated hundreds of hydrogen bombs in the upper atmosphere, admittedly trying to blow holes in it.
[00:19:02.722 --> 00:19:09.486]  That's on the History Channel, Discovery Channel has a show, Trinity and Beyond, narrated by Shatner.
[00:19:09.486 --> 00:19:11.748]  And they just report they were trying to blow holes in the atmosphere.
[00:19:13.092 --> 00:19:22.594]  So the government detonates hydrogen bombs in the atmosphere, but you can't have your car.
[00:19:22.594 --> 00:19:23.494]  You understand that?
[00:19:23.494 --> 00:19:29.815]  They plant GMO everywhere that kills the honeybees and rats and insects that eat it.
[00:19:29.815 --> 00:19:33.396]  But you are supposed to eat it.
[00:19:33.396 --> 00:19:36.656]  When we come back, I'm going to control myself.
[00:19:36.656 --> 00:19:38.357]  I've only gotten about 14 articles.
[00:19:38.357 --> 00:19:38.957]  I'm going to hit
[00:19:39.778 --> 00:19:41.100]  I'm going to go crazy.
[00:19:41.100 --> 00:19:43.082]  I'm going to hit a hundred articles.
[00:19:43.082 --> 00:19:47.627]  Or, somebody's going to come in here and hit me upside the head with a shovel.
[00:19:47.627 --> 00:19:51.491]  That's a figure of speech, I'm not being serious.
[00:19:51.491 --> 00:19:55.756]  PrisonPlanet.tv, InfoWars.com, also on Twitter, real Alex Jones.
[00:19:55.756 --> 00:19:58.119]  If you're listening or watching this transmission, you are the resistance.
[00:20:00.567 --> 00:20:06.711]  Virtually anyone can hack your cell phone and track your calls, your texts, your emails, your every movement.
[00:20:06.711 --> 00:20:08.793]  But only if they can detect a signal.
[00:20:08.793 --> 00:20:12.795]  Stay one step ahead of hackers and Big Brother with a Blockit Pocket.
[00:20:12.795 --> 00:20:18.399]  A custom-made pocket infused with pure silver that creates a complete Faraday enclosure for your cell phone.
[00:20:18.399 --> 00:20:22.262]  For free shipping to the lower 48, visit BlockitPockets.com or call 888-315-9618.
[00:20:22.262 --> 00:20:22.842]  BlockitPockets.com.
[00:20:22.842 --> 00:20:23.763]  Enhancing health and privacy.
[00:20:30.047 --> 00:20:33.128]  In today's unstable environment, self-protection is critical.
[00:20:33.128 --> 00:20:34.909]  Civil unrest, riots, looting.
[00:20:34.909 --> 00:20:37.390]  It's happening now, right here in the United States.
[00:20:37.390 --> 00:20:38.990]  And your rights are at risk.
[00:20:38.990 --> 00:20:43.352]  If passed, HR 5344 would ban Level 3 and above body armor.
[00:20:43.352 --> 00:20:45.513]  KD Armor is standing up for you.
[00:20:45.513 --> 00:20:48.634]  We offer the most affordable Level 3 body armor on the market.
[00:20:48.634 --> 00:20:53.076]  KD Level 3 Armor withstands pistol and rifle hits up to 7.62 NATO.
[00:20:53.076 --> 00:20:54.896]  Get yours at kdarmor.com.
[00:20:54.896 --> 00:20:57.217]  That's kdarmor.com.
[00:20:57.217 --> 00:20:58.018]  KD Armor.
[00:20:58.018 --> 00:20:58.858]  Come and take it.
[00:20:59.458 --> 00:21:01.939]  Don't take a cold or flu lying down.
[00:21:01.939 --> 00:21:04.980]  Stand up and fight back with Supernatural Silver.
[00:21:04.980 --> 00:21:11.603]  Supernatural Silver is a natural immune system booster that is highly effective against viruses, bacteria, and fungus.
[00:21:11.603 --> 00:21:19.005]  Supernatural Silver is perfect for daily use and can be taken orally or used topically to keep you protected from whatever comes your way.
[00:21:19.005 --> 00:21:23.487]  This new technology is hundreds of times more effective than colloidal or ionic silver.
[00:21:23.627 --> 00:21:31.052]  And is supported by extensive research from over 300 clinical studies at universities and independent research facilities across the country.
[00:21:31.052 --> 00:21:37.276]  Supernatural Silver has an exceptionally long storage life and should be an essential part of your emergency preparedness.
[00:21:37.276 --> 00:21:38.777]  Don't be caught off guard.
[00:21:38.777 --> 00:21:43.520]  Give your body the support it needs to fight off deadly pathogens that are lurking everywhere.
[00:21:43.880 --> 00:21:49.108]  Stock up on Supernatural Silver and give yourself and your loved ones a fighting chance.
[00:21:49.108 --> 00:21:54.477]  Go to SupernaturalSilver.com and use the promo code SILVER2014 for 20% off.
[00:21:54.477 --> 00:21:56.660]  That's SupernaturalSilver.com.
[00:21:56.660 --> 00:21:58.383]  SupernaturalSilver.com.
[00:22:00.197 --> 00:22:06.802]  Ladies and gentlemen, America is more dangerous than ever with nine million property crimes last year.
[00:22:06.802 --> 00:22:09.244]  Crimes are happening every day.
[00:22:09.244 --> 00:22:12.266]  Be proactive and protect your home and family.
[00:22:12.266 --> 00:22:17.450]  SimpliSafe home security system helps guard against criminals, thugs, and thieves.
[00:22:17.450 --> 00:22:23.255]  Listen, SimpliSafe is the absolute best alarm system and company in America today.
[00:22:23.255 --> 00:22:24.395]  Here's why.
[00:22:24.395 --> 00:22:26.957]  We offer a 60-day money-back guarantee.
[00:22:26.957 --> 00:22:27.618]  It's affordable.
[00:22:27.998 --> 00:22:32.599]  No contracts to sign and is built with the latest wireless technology.
[00:22:32.599 --> 00:22:38.640]  SimpliSafe protects the ones you love the most, even if a criminal cuts your power and phone lines.
[00:22:38.640 --> 00:22:43.921]  When you order SimpliSafe today, you'll receive a 10% discount along with a free keychain remote.
[00:22:43.921 --> 00:22:44.621]  Don't wait!
[00:22:44.621 --> 00:22:47.081]  This offer is only valid through February 28th.
[00:22:47.081 --> 00:22:50.882]  Take advantage of this special discount offer at GetSimpliSafe.com.
[00:22:50.882 --> 00:22:53.122]  That's GetSimpliSafe.com.
[00:22:53.122 --> 00:22:57.223]  Protect your home and family now at GetSimpliSafe.com.
[00:22:58.689 --> 00:23:03.893]  Do you have relatives and friends that are convinced there's no need ever to prepare for any kind of emergency?
[00:23:03.893 --> 00:23:06.895]  Are these also folks you buy Christmas presents for?
[00:23:06.895 --> 00:23:11.278]  At 30dayfoodsupply.com we can solve both of these problems at the same time.
[00:23:11.278 --> 00:23:16.722]  Go to 30dayfoodsupply.com or call 541-229-0010.
[00:23:16.722 --> 00:23:19.063]  We can ship your Christmas presents directly to them.
[00:23:19.063 --> 00:23:21.285]  Choose from our original 30-day food supply
[00:23:21.585 --> 00:23:22.026]  I think so.
[00:23:49.665 --> 00:23:50.647]  Call 541-229-0010, 30dayfoodsupply.com, 541-229-0010.
[00:24:22.438 --> 00:24:32.803]  This is what you want, this is what you get, this is what you want, this is what you get, get, get.
[00:24:32.803 --> 00:24:39.446]  I think this song, as fittingly as memory serves, called The Order of Death.
[00:24:39.446 --> 00:24:41.367]  Fitting name.
[00:24:41.367 --> 00:24:47.010]  This is what you want, want, want, want.
[00:24:50.379 --> 00:24:55.442]  See, I get up here and the show sounds sensational because it is sensational.
[00:24:55.442 --> 00:24:57.223]  Reality is sensational.
[00:24:57.223 --> 00:25:04.387]  Adolf Hitler killing tens of millions of people and then Germany being crushed and 22 million Germans getting killed is sensational.
[00:25:04.387 --> 00:25:09.550]  20 plus million Russians killed, sensational.
[00:25:09.550 --> 00:25:13.192]  400,000 Americans killed, sensational.
[00:25:13.192 --> 00:25:15.974]  That many Brits killed, sensational.
[00:25:15.974 --> 00:25:18.255]  Millions of Japanese killed, sensational.
[00:25:19.502 --> 00:25:28.048]  Mao Zedong, backed by the CIA and the Ford Foundation running it, gets into power, kills 84 million people according to Chinese numbers.
[00:25:28.048 --> 00:25:30.929]  Sensational!
