[00:00:07.907 --> 00:00:09.648]  Now listen up!
[00:03:56.585 --> 00:03:58.686]  Right now we're putting them in a stockpile.
[00:03:59.486 --> 00:04:03.250]  What am I going to do with 400 ventilators when I need 30,000?
[00:04:10.154 --> 00:04:13.496]  Of course you don't need them today.
[00:04:13.496 --> 00:04:19.038]  You need them when you hit the climb of the apex, which is 30,000.
[00:04:19.038 --> 00:04:19.959]  We're not there yet.
[00:04:19.959 --> 00:04:22.140]  You picked the 26,000 people who are going to die!
[00:04:22.140 --> 00:04:23.661]  Of course you don't need them today.
[00:04:23.661 --> 00:04:28.903]  You need them when you hit the climb of the apex, which is 30,000.
[00:04:28.903 --> 00:04:31.064]  We're not there yet.
[00:04:31.064 --> 00:04:35.987]  We have ventilators in the stockpile, and we didn't send them to the hospitals yet.
[00:04:36.687 --> 00:04:37.687]  Of course we didn't.
[00:04:37.687 --> 00:04:39.228]  That's the whole point.
[00:04:39.228 --> 00:04:43.249]  The hospital... Ladies and gentlemen, we are broadcasting worldwide.
[00:04:43.249 --> 00:04:49.810]  We are live, in defiance of the loveless censors, in defiance of the chi-coms and Bill Gates.
[00:04:49.810 --> 00:04:56.892]  And InfoWars is stronger than ever, thanks to you and your word of mouth that is unstoppable!
[00:04:59.355 --> 00:05:02.880]  I'm here to tell you I don't need you to thank me and tell me I've done a good job.
[00:05:02.880 --> 00:05:05.484]  I've done nothing but my duty!
[00:05:05.484 --> 00:05:07.547]  I discovered a bunch of bloodthirsty scum!
[00:05:17.005 --> 00:05:41.875]  For 24 years, Alex Jones and InfoWars have been sounding the alarm for patriots worldwide, waking people up to the New World Order, Bohemian Grove, the American Deep State, the rise of Communist China, the plan for global depopulation, and global elite pedophiles who prey off of our young.
[00:05:43.177 --> 00:05:49.581]  The enemy has done their best to destroy us, but because of your support, our fight continues.
[00:05:49.581 --> 00:05:50.682]  Join us.
[00:05:50.682 --> 00:05:55.205]  Support the Info War, and together, we will slay the dragon.
[00:05:55.205 --> 00:05:57.106]  Keep fighting Alex, you're the gladiator.
[00:06:16.585 --> 00:06:22.107]  If you are receiving this transmission, you are the resistance.
[00:06:22.107 --> 00:06:31.511]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:31.511 --> 00:06:44.197]  In 2006, there was a big movie that came out.
[00:06:48.345 --> 00:06:54.430]  Titled V for Vendetta.
[00:06:54.430 --> 00:07:12.786]  And in that movie, it's set in a dystopic future in the United Kingdom where a British Chancellor has become dictator by releasing a bioweapon from the government stockpile
[00:07:14.963 --> 00:07:26.271]  Tested on human subjects secretly to then create a martial law clampdown and then they had a vaccine to then be the savior of the population.
[00:07:26.271 --> 00:07:32.356]  Now a lot of folks are making parallels to that today.
[00:07:32.356 --> 00:07:38.841]  But it was in 1993 that the incredibly prescient Simpsons
[00:07:45.069 --> 00:08:01.499]  Released an episode where corporations running the governments, not governments, release a bioweapon to take control of the population.
[00:08:01.499 --> 00:08:10.525]  And when you listen to what they say, it's exactly, word for word, the formula of the fear-mongering they're now engaged in right now.
[00:08:10.525 --> 00:08:12.146]  Now you ask, how do they do that?
[00:08:12.146 --> 00:08:13.267]  I'm gonna play the clip in a moment.
[00:08:16.260 --> 00:08:42.933]  Chris Carter, a year before 9-11, he gave interviews to major publications, and by the way, I've talked to Chris Carter and conferred back and forth, I'm just going to leave it at that, years later, that he was approached by the Central Intelligence Agency
[00:08:44.537 --> 00:08:51.383]  With a plot for the X-Files spinoff, The Lone Gunman, that then aired six months before 9-11.
[00:08:51.383 --> 00:09:08.778]  He was approached one year before with a script of a criminal group in the government hijacking a jet by remote control to fly it into the World Trade Center, but that it would be blamed on Afghanistan
[00:09:09.793 --> 00:09:12.876]  And there would be an invasion of Afghanistan.
[00:09:12.876 --> 00:09:17.660]  Now, Carter doesn't know why the CIA gave him that idea and told him it'd be a good plot.
[00:09:17.660 --> 00:09:21.042]  He did it.
[00:09:21.042 --> 00:09:23.284]  But he's got a good idea now.
[00:09:23.284 --> 00:09:27.348]  So when you ask, how does the Simpsons have this?
[00:09:27.348 --> 00:09:32.692]  I talked years ago in Los Angeles, more than 15 years ago, to some of the writers.
[00:09:32.692 --> 00:09:33.713]  Happened to run into them at a party.
[00:09:36.292 --> 00:09:42.857]  And they said, we're not sure why the government approaches us from time to time with plot lines and things they want.
[00:09:42.857 --> 00:09:52.664]  We don't know if they're warning us of something bad that another group wants to do or if it's predictive programming, but you're dead on.
[00:09:52.664 --> 00:10:03.933]  Some of the same people told me that the rich folks in Hollywood were all leaving for other parts of the world like New Zealand.
[00:10:06.235 --> 00:10:17.562]  So, it's even been in the Wall Street Journal and the New York Times, 13, 14 years ago, that Jeffrey Epstein ran a eugenics operation to depopulate the earth for Bill and Melinda Gates.
[00:10:17.562 --> 00:10:25.146]  Ted Turner, Warren Buffet, and of course, Oprah Winfrey.
[00:10:25.146 --> 00:10:26.967]  Prince Charles is a part of the group as well.
[00:10:28.669 --> 00:10:30.951]  So you cannot make any of this up.
[00:10:30.951 --> 00:10:38.075]  If you're a radio listener and you're going, this sounds fantastical, they're actually putting on screen while I talk the actual Wall Street Journal article about it.
[00:10:38.075 --> 00:10:40.077]  World government.
[00:10:40.077 --> 00:10:48.883]  And they say out of a bioweapon attack, we will accept vaccines that then have sterilants in them or cause sterilization.
[00:10:48.883 --> 00:10:50.283]  What is COVID-19 doing?
[00:10:50.283 --> 00:10:51.624]  Eating the testicles.
[00:10:51.624 --> 00:10:52.385]  That's how they describe it.
[00:10:52.385 --> 00:10:58.489]  They said lacerating it, destroying it, causing most men to be completely infertile and reducing others fertility.
[00:11:01.710 --> 00:11:16.961]  So here is the 1993 Simpsons with the newscasters wearing biohazard suits on TV to scare you.
[00:11:16.961 --> 00:11:21.625]  Exactly what you see happening now with New York with a giant red spinning
[00:11:22.916 --> 00:11:31.298]  Siren to scare everyone into submission to stay in their homes and every media group exacerbating the fear as much as they can.
[00:11:31.298 --> 00:11:38.899]  Find that article at DrudgeReport.com right dead center in the middle of the page.
[00:11:38.899 --> 00:11:43.821]  The eye of Sauron is upon you.
[00:11:43.821 --> 00:11:45.641]  You know of what I speak enough.
[00:11:47.737 --> 00:11:53.359]  An eye, lidless, wreathed in flame.
[00:11:53.359 --> 00:11:56.339]  The eye sees all.
[00:11:56.339 --> 00:12:03.842]  It pierces air, stone, and flesh.
[00:12:03.842 --> 00:12:04.782]  But let's now go to
[00:12:10.728 --> 00:12:28.075]  The predictive programming, so your subconscious mind sees it and accepts it, and then later doesn't remember it, but your subconscious does, and then you accept the fear when you're seeing it, and accept that it's right, because your mind is already familiar with it.
[00:12:28.075 --> 00:12:32.077]  Make a friend of death, you will one day meet it.
[00:12:32.077 --> 00:12:32.417]  Here it is.
[00:12:36.196 --> 00:12:40.260]  I'd like to call to order this secret conclave of America's media empires.
[00:12:40.260 --> 00:12:48.767]  We're here to come up with the next phony baloney crisis to put Americans back where they belong in dark rooms, glued to their televisions, too terrified to skip the commercials.
[00:12:48.767 --> 00:12:53.752]  Well, I think... NBC, you are here to listen and not speak.
[00:12:53.752 --> 00:12:55.914]  I think we should go with the good old-fashioned public health care.
[00:12:55.914 --> 00:12:56.094]  Yeah.
[00:12:57.463 --> 00:12:58.384]  A new disease!
[00:12:58.384 --> 00:12:59.325]  No one's immune!
[00:12:59.325 --> 00:13:02.768]  It's like the summer of the shark, except instead of a shark, it's an epidemic!
[00:13:02.768 --> 00:13:04.689]  And instead of summer, it's all the time!
[00:13:04.689 --> 00:13:09.313]  Now, I hate to be the guy who derails what everybody else loves.
[00:13:09.313 --> 00:13:11.034]  He loves being that guy.
[00:13:11.034 --> 00:13:13.697]  But, Janice, we do have standards.
[00:13:13.697 --> 00:13:15.658]  This can't be a made-up disease.
[00:13:15.658 --> 00:13:20.162]  The only moral thing to do is release a deadly virus into the general public.
[00:13:20.162 --> 00:13:23.925]  We do have something we've been holding on to, but it hasn't been tested.
[00:13:23.925 --> 00:13:24.666]  Get over here, NBC.
[00:13:26.994 --> 00:13:32.857]  Well, we certainly believe in testing, but I... Oh!
[00:13:32.857 --> 00:13:33.818]  Wow!
[00:13:33.818 --> 00:13:34.398]  Wow!
[00:13:34.398 --> 00:13:35.298]  Oh yeah!
[00:13:35.298 --> 00:13:37.440]  So, we've got our deadly disease.
[00:13:37.440 --> 00:13:41.882]  Now we just have to blame it on something that's in every household.
[00:13:41.882 --> 00:13:44.683]  Something that people are a little bit afraid of already.
[00:13:44.683 --> 00:13:47.165]  House Cat Flu is coming, people!
[00:13:47.165 --> 00:13:54.569]  The Center for Disease Disinformation predicts with some degree of probability that the House Cat Flu might spread in the following hypothetical outbreak pattern.
[00:13:56.331 --> 00:13:57.572]  So, Pedder, beware!
[00:13:57.572 --> 00:14:08.396]  That warm body on your lap just might be ready to destroy your tender piddles!
[00:14:08.396 --> 00:14:13.318]  Springfielders are advised to stay tuned for more information if they experience any of the following symptoms.
[00:14:13.318 --> 00:14:17.680]  Mild thirst, occasional hunger, tiredness at night.
[00:14:17.680 --> 00:14:19.380]  So, ladies and gentlemen, 1993.
[00:14:19.380 --> 00:14:23.782]  Now, what's really going on now?
[00:14:26.581 --> 00:14:31.364]  You're seeing the maximum fear be pushed.
[00:14:31.364 --> 00:14:35.007]  And you notice first it's, oh, just bars and restaurants are closed.
[00:14:35.007 --> 00:14:36.768]  Oh, then movie theaters, then bowling alleys.
[00:14:36.768 --> 00:14:39.029]  Then, well, you can go to the park, but stay six feet apart.
[00:14:39.029 --> 00:14:41.671]  Oh, now, now it's eight meters.
[00:14:41.671 --> 00:14:45.974]  It was five meters, now it's eight meters.
[00:14:45.974 --> 00:14:54.560]  So now you're supposed to stay 20 feet away from people, 30 feet away from people.
[00:14:54.560 --> 00:14:55.521]  Eight meters, folks.
[00:14:56.716 --> 00:15:00.517]  Five meters is a long, long way.
[00:15:00.517 --> 00:15:04.298]  What is five meters?
[00:15:04.298 --> 00:15:06.498]  That's basically 15 feet.
[00:15:06.498 --> 00:15:07.738]  That's 20, 22 feet, 23 feet.
[00:15:07.738 --> 00:15:10.679]  I mean, do the math for yourself.
[00:15:10.679 --> 00:15:12.179]  It's all just conditioning you.
[00:15:12.179 --> 00:15:15.220]  And now it's, yeah, don't leave your house at all.
[00:15:15.220 --> 00:15:17.080]  So they're just always expanding, expanding.
[00:15:17.080 --> 00:15:18.241]  It's an exact formula.
[00:15:18.241 --> 00:15:19.301]  Starts in China.
[00:15:19.301 --> 00:15:20.381]  Hell, we got the drones.
[00:15:20.381 --> 00:15:20.941]  We got it all.
[00:15:20.941 --> 00:15:24.802]  Maybe it'll move to welding people into their homes.
[00:15:26.360 --> 00:15:29.004]  Maybe it'll move to shooting women at checkpoints.
[00:15:29.004 --> 00:15:30.586]  There's already been some folks shot at checkpoints.
[00:15:32.500 --> 00:15:39.307]  But the same Democrats always wanted those borders wide open and told Trump, don't you dare block Chinese flying in four or five weeks ago.
[00:15:39.307 --> 00:15:45.753]  And just four and a half weeks ago, Pelosi was still saying, go out, go to Chinatown, go in public, hug Chinese.
[00:15:45.753 --> 00:15:48.596]  They needed to get it to incubate first to rate the fear.
[00:15:48.596 --> 00:15:51.979]  But really, all it is is a very strong form of a cold virus.
[00:15:51.979 --> 00:15:53.381]  That's what corona is.
[00:15:53.381 --> 00:15:54.922]  It's just a common flu.
[00:15:54.922 --> 00:15:56.224]  And it kills a lot of folks every year.
[00:15:58.089 --> 00:16:01.111]  We can all agree these are troubled times, right?
[00:16:01.111 --> 00:16:04.012]  So do you know who's on your wireless network?
[00:16:04.012 --> 00:16:11.236]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
[00:16:11.236 --> 00:16:16.479]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[00:16:16.479 --> 00:16:24.063]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[00:16:24.063 --> 00:16:27.565]  And not just one, but all your devices with one out-of-the-box setup.
[00:16:27.825 --> 00:16:36.989]  Plus, FlashRouters also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[00:16:36.989 --> 00:16:40.531]  Call or click FlashRouters today at 1-866-509-5817 or F-L-A-S-H-R-O-U-T-E-R-S dot com.
[00:16:40.531 --> 00:16:42.852]  That's 1-866-509-5817 or FlashRouters dot com.
[00:16:42.852 --> 00:16:46.294]  Protect your wireless home network today with FlashRouters.
[00:16:57.361 --> 00:17:01.903]  If you're trying to quit drinking or doing too many drugs, listen to me.
[00:17:01.903 --> 00:17:04.004]  You don't know me and we'll never meet.
[00:17:04.004 --> 00:17:05.745]  I had a problem like you once.
[00:17:05.745 --> 00:17:12.288]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[00:17:12.288 --> 00:17:17.370]  I realized I needed help to fix my problem before it totally destroyed me.
[00:17:17.370 --> 00:17:22.072]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[00:17:22.512 --> 00:17:25.614]  You need to call the National Treatment Advisors.
[00:17:25.614 --> 00:17:32.639]  They'll immerse you into a 30 day program to replace your old habits with new habits and totally change your life.
[00:17:32.639 --> 00:17:37.823]  And if you have PPO, private health insurance, the entire program may be covered.
[00:17:37.823 --> 00:17:41.125]  Fix your problem right now before it gets any worse.
[00:17:41.125 --> 00:17:42.066]  Get clean.
[00:17:42.066 --> 00:17:43.907]  Call now and learn more.
[00:17:43.907 --> 00:17:43.947]  800-506-6740.
[00:17:47.910 --> 00:17:48.170]  800-506-6740.
[00:17:48.170 --> 00:17:48.510]  That's 800-506-6740.
[00:17:48.510 --> 00:17:49.631]  There is a paradox.
[00:18:01.164 --> 00:18:04.747]  Yes, this virus is deadly and does kill people.
[00:18:04.747 --> 00:18:11.794]  And so do many other countless viruses that have already existed, that do exist, and will exist.
[00:18:11.794 --> 00:18:22.824]  But when Trump says the cure is worse than disease, he's talking about the media hype creating hysteria and trying to create uncertainty.
[00:18:22.824 --> 00:18:24.845]  And it is that that I oppose.
[00:18:25.646 --> 00:18:44.229]  It is not the American way to cower and live in fear and to follow the edicts and precedents set by Communist China and hyper-authoritarian Singapore, where you're now being given six months in jail if you don't stand at least six feet away from someone.
[00:18:44.990 --> 00:18:55.635]  This is being used by social engineers, and they admit that they are trying to transform our world forever into something unrecognizable from what it's been.
[00:18:55.635 --> 00:18:58.937]  We are not slaves, and we must not act like it.
[00:18:58.937 --> 00:19:06.440]  One of our best-selling products is Living Defense, and it's been sold out for over four months because it's hard to source the ingredients that are organic.
[00:19:06.440 --> 00:19:12.623]  We've got a limited supply right now, but it's selling out fast, and I want those of you that haven't experienced Living Defense to get it for yourself.
[00:19:12.623 --> 00:19:14.024]  Here's just part of one testimony.
[00:19:14.304 --> 00:19:16.947]  Look, in January 2016, I went in a hospital.
[00:19:16.947 --> 00:19:20.471]  I went in a VA hospital out here in Boise, and I was in there until June.
[00:19:20.471 --> 00:19:29.741]  And one of the only things that got me through that ordeal was listening to InfoWars three hours a day, and I kept hearing Dr. Group and all you guys talking about living defense.
[00:19:29.741 --> 00:19:30.702]  Let me tell you something, man.
[00:19:30.782 --> 00:19:37.587]  I had an internal digestive problem and I suffered with it for about five or six years and the doctors, they tried every test.
[00:19:37.587 --> 00:19:39.068]  Nobody could figure out what it is.
[00:19:39.068 --> 00:19:43.071]  And then every day when I kept hearing you and Dr. Group and those commercials, I said, you know what?
[00:19:43.071 --> 00:19:45.253]  I'm going to get me some of that freaking Living Defense.
[00:19:45.253 --> 00:19:48.275]  Now, I wasn't supposed to have any nutritionals because they don't want you to have that stuff.
[00:19:48.275 --> 00:19:50.137]  But I ordered it, had it shipped to me.
[00:19:50.137 --> 00:19:50.677]  I got it.
[00:19:50.677 --> 00:19:51.918]  I hid it from the nurses.
[00:19:51.918 --> 00:19:52.959]  I started taking it.
[00:19:52.959 --> 00:19:55.000]  Man, that stuff changed my life.
[00:19:55.000 --> 00:19:55.941]  It saved my life.
[00:19:55.941 --> 00:19:58.643]  Alex Jones and InfoWars saved my life.
[00:20:01.818 --> 00:20:16.383]  You're listening to The Alex Jones Show!
[00:20:16.383 --> 00:20:20.424]  Come on, baby!
[00:20:20.424 --> 00:20:21.245]  Come on, baby!
[00:20:21.245 --> 00:20:24.806]  Gotta play with me!
[00:20:24.806 --> 00:20:26.866]  Well, I'm your live wire!
[00:20:34.068 --> 00:20:37.689]  We are on the prowl tonight!
[00:20:37.689 --> 00:20:41.670]  Today, broadcasting worldwide in defense of liberty.
[00:20:41.670 --> 00:20:44.290]  We are live, live wire.
[00:20:44.290 --> 00:20:47.911]  Transmitting on a planetary scale.
[00:20:47.911 --> 00:20:49.412]  Infowars.com.
[00:20:49.412 --> 00:20:50.352]  Newswars.com.
[00:20:50.352 --> 00:20:54.153]  And other great sites we support like Summit.News.
[00:20:54.153 --> 00:20:56.993]  Growing stronger in the face of tyranny.
[00:20:56.993 --> 00:20:58.274]  Not weaker.
[00:20:58.274 --> 00:20:58.974]  Not submitted.
[00:20:59.878 --> 00:21:06.120]  But overcoming with the good grace of God.
[00:21:06.120 --> 00:21:11.802]  All right, ladies and gentlemen, let me lay out some of what's coming up today.
[00:21:11.802 --> 00:21:13.842]  Let me let me break it down.
[00:21:13.842 --> 00:21:24.146]  If you ask, how could the Simpsons and how could V for Vendetta and how could all these Hollywood TV shows and movies predict exactly what's going on?
[00:21:24.146 --> 00:21:25.526]  How do they do it over and over again?
[00:21:27.947 --> 00:21:48.560]  Well, they're able to do it because this is what the Rockefeller Foundation and the Bill and Melinda Gates Foundation, in major public studies by the Club of Rome in the 60s, in the 1980s and 1990s, plans like State Department Memorandum 200.
[00:21:48.560 --> 00:21:49.321]  Go read it!
[00:21:55.888 --> 00:22:09.630]  And then the secret biological and chemical and radiological testing on Americans, black, white, old, young, Native American, Hispanic, Asians, all over the world by these scientific cults, not the full government.
[00:22:09.630 --> 00:22:22.693]  These compartmentalized mad scientist groups that have had projects bigger than Manhattan Project engaged in lethal testing on the population, treating us like guinea pigs.
[00:22:22.693 --> 00:22:23.973]  Secret.
[00:22:23.973 --> 00:22:24.373]  Illegal.
[00:22:26.192 --> 00:22:30.174]  Testing.
[00:22:30.174 --> 00:22:33.656]  And then admitting it to you.
[00:22:33.656 --> 00:22:36.077]  In your face.
[00:22:36.077 --> 00:22:37.738]  What they are indeed doing.
[00:22:37.738 --> 00:22:42.881]  In operations like Lockstep by the Rockefeller Foundation, published 2010.
[00:22:42.881 --> 00:22:53.287]  About how a bio-release of something like a flu or corona or other virus will be used for a planetary dictatorship.
[00:22:57.287 --> 00:22:58.768]  And now you see it.
[00:22:58.768 --> 00:23:00.489]  And this is something that does kill people.
[00:23:00.489 --> 00:23:02.131]  It's a souped-up common cold.
[00:23:02.131 --> 00:23:04.212]  Man-made, engineered.
[00:23:04.212 --> 00:23:05.173]  Does reoccur.
[00:23:05.173 --> 00:23:07.415]  Does have HIV delivery system.
[00:23:07.415 --> 00:23:09.957]  Again, doesn't give you HIV.
[00:23:09.957 --> 00:23:14.820]  Has the HIV delivery system cut off of HIV and put on it.
[00:23:14.820 --> 00:23:15.841]  It's airborne.
[00:23:15.841 --> 00:23:19.784]  It's nasty.
[00:23:19.784 --> 00:23:21.225]  So it's extremely important.
[00:23:22.944 --> 00:23:26.005]  That everyone understand this is not a game.
[00:23:26.005 --> 00:23:27.465]  This is not a joke.
[00:23:27.465 --> 00:23:37.528]  And they're just throwing it in your face because the writers of these shows are told to throw it in everyone's face.
[00:23:37.528 --> 00:23:39.328]  And they don't even know why.
[00:23:39.328 --> 00:23:49.211]  And they end up contacting me to ask, what do you think's happening?
[00:23:50.908 --> 00:24:04.177]  I can't tell you the high-level research scientists that I've gone on, you know, camp outs on their ranches and, you know, flown on people's private jets and helicopters to their redoubts over a decade ago.
[00:24:04.177 --> 00:24:05.418]  These were liberals.
[00:24:05.418 --> 00:24:10.081]  These were leftists that woke up and saw what was happening and who would ask me, well, what should happen?
[00:24:10.081 --> 00:24:11.141]  What should we do?
[00:24:11.141 --> 00:24:12.842]  Because they were being told any time
[00:24:13.803 --> 00:24:16.885]  That Bush or Obama was going to release the bioweapons.
[00:24:16.885 --> 00:24:19.627]  And they knew about this and were let in on this.
[00:24:19.627 --> 00:24:21.668]  And they were quitting their jobs.
[00:24:21.668 --> 00:24:22.668]  Many of them had patents.
[00:24:22.668 --> 00:24:25.350]  Many of them had made $10 million, $100 million, $200 million.
[00:24:25.350 --> 00:24:30.553]  A lot of these research scientists are very wealthy, but they're not psychotics.
[00:24:30.553 --> 00:24:35.416]  And they were anti-human and pro-depopulation and in college and thought it was all cute.
[00:24:35.416 --> 00:24:38.858]  Then suddenly, they're in boardrooms with serious hombres.
[00:24:40.680 --> 00:24:58.033]  Having the open discussions about how to roll out a low-level plague that is a drill here by lockdown, that if we behave in a lockdown, pass the test, then they release a stronger bioweapon that kills a couple hundred million, not a couple million.
[00:24:58.033 --> 00:25:09.601]  And then if we behave under that and the lockdown is successful, then ladies and gentlemen, they are able to release the super weapon.
[00:25:11.229 --> 00:25:13.251]  That kills billions.
[00:25:13.251 --> 00:25:15.454]  And the governments, and the drones, and the A.I.'
[00:25:15.434 --> 00:25:21.100]  's able to lock it down, control the spread, where it's at, pose as the savior, the whole time they're directing it.
[00:25:21.100 --> 00:25:24.163]  And then, in the final equation...
[00:25:26.556 --> 00:25:43.181]  Everyone is in bubble cities run by Apple, Google, Twitter, Amazon, and a few other major combines that are all 5, 6, 7G, forced inoculations, robot control, bio scans to get in, total complete domination.
[00:25:43.181 --> 00:25:48.382]  And within those martial law city states, all of the establishment worker bees will be.
[00:25:48.382 --> 00:25:54.844]  The actual establishment will be in armored fortresses in Northern Canada, in Kauai, Hawaii,
[00:25:55.947 --> 00:26:02.973]  Where another Cheyenne Mountain NORAD type facility is, really the most important one.
[00:26:02.973 --> 00:26:08.298]  And in Tasmania, in Australia, and in New Zealand.
[00:26:10.299 --> 00:26:13.721]  But they got a bunch of them in Northern Canada, just so you know they're secret.
[00:26:13.721 --> 00:26:16.784]  I'm blowing their operations here for you, because they need to be exposed.
[00:26:16.784 --> 00:26:27.271]  So, you need to understand that as soon as the robots are in place, and this is the rollout, that'll follow the orders indiscriminately and autonomously control you.
[00:26:27.271 --> 00:26:33.175]  When they've got an airborne Ebola that they're planning to release that kills 90 plus percent, they'll be the ones spraying it.
[00:26:33.175 --> 00:26:34.036]  The shadow government will.
[00:26:34.966 --> 00:26:51.609]  The public is going to see hundreds of millions dying in Africa, hundreds of millions dying in other areas, and they're going to say, I want people killed that don't have the embedded chip that tracks whether they have it or not that Gates has come out with, the biochip that's actually sewn into your cells at nanotech level.
[00:26:52.802 --> 00:26:56.408]  And then people will say, kill everyone that tries to leave their house!
[00:26:56.408 --> 00:26:58.211]  Kill everyone that doesn't do what we say!
[00:26:58.211 --> 00:27:01.536]  And then they'll stop that mass plague, probably in airborne Ebola.
[00:27:01.536 --> 00:27:04.061]  That's what they fetishize and talk about most.
[00:27:04.061 --> 00:27:05.243]  And psychos like to tell you what they're gonna do.
[00:27:06.698 --> 00:27:10.881]  Then that'll kill 100 million, 300 million, maybe half a billion.
[00:27:10.881 --> 00:27:17.644]  And then they'll all give you vaccines that soft kill you, sterilize you, dumb you down to soften you up.
[00:27:17.644 --> 00:27:21.006]  You'll live in the bubble cities where they can slowly poison you and test on you.
