[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[05:05.300 --> 05:12.300]  I called Paul this morning and I said, Paul, did you forget dig two months ago banned us for a time until protest?
[05:12.300 --> 05:16.300]  Our stories were banned by the dig bigwigs.
[05:16.300 --> 05:19.300]  Well, you get one of the biggest websites out there in the top 50.
[05:19.300 --> 05:25.300]  And it's because we go on their main page and we become the number one story and we wake the people up.
[05:25.300 --> 05:31.300]  And that place has spooked central folks. In fact, that's now been discovered and documented.
[05:31.300 --> 05:38.300]  And we have them.
[05:38.300 --> 05:42.300]  It's here after a year in production and traveling the distant lands.
[05:42.300 --> 05:44.300]  My new film terror storm is complete.
[05:44.300 --> 05:52.300]  Shocking, declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[05:52.300 --> 06:00.300]  Terror storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[06:00.300 --> 06:12.300]  Terror storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spy, secret police torture, the latest 9-11 information, and much, much more.
[06:12.300 --> 06:18.300]  Terror storm is the definitive guide to the history of government sponsored terrorism. It's an anthology of government crimes.
[06:18.300 --> 06:22.300]  Terror storm is a film that everyone who wants to be truly informed must see.
[06:22.300 --> 06:35.300]  Get your copy today on Infowars.com or PrisonPlanet.com or by calling toll-free 1-888-2533139 or watch it right now online at PrisonPlanet.tv.
[06:35.300 --> 06:43.300]  Do you know where the 78 potentially active volcanoes in U.S. are located? And do you know the locations of the top 300 prime terrorist targets?
[06:43.300 --> 06:53.300]  You can find these answers and more in the new interactive CD book, Bruton Places USA. With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas,
[06:53.300 --> 06:59.300]  brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[06:59.300 --> 07:14.300]  Complete with 3 gigabytes of detailed information on each of 3,000-plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[07:14.300 --> 07:19.300]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[07:19.300 --> 07:34.300]  Get Bruton Places USA for only $29 plus shipping by calling new millennium at 888-803-4438. That's 888-803-4438 to order on the web or at BerkeyWater.com.
[07:34.300 --> 07:38.300]  Government is best, which governs least. Wake up and smell the fascism.
[07:38.300 --> 07:41.300]  Being in government means never having to say you're sorry.
[07:41.300 --> 07:44.300]  What part of unconstitutional do not understand, George?
[07:44.300 --> 07:51.300]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[07:51.300 --> 08:00.300]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers from humorous to serious at LibertyStickers.com.
[08:00.300 --> 08:07.300]  LibertyStickers.com can even customize your own bumper stickers. It's time to stand up for what you believe.
[08:07.300 --> 08:13.300]  Invest in your freedom. Get your stickers at LibertyStickers.com for your family, friends, and community.
[08:13.300 --> 08:25.300]  Go to LibertyStickers.com or call 877-873-9626. That's 877-873-9626 and express your freedom of speech today.
[08:25.300 --> 08:33.300]  Call 877-873-9626. That's 877-873-9626.
[08:33.300 --> 08:42.300]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[08:42.300 --> 08:46.300]  It's Alex Jones and the GCN Radio Network.
[08:51.300 --> 09:01.300]  Texas Independence Day rally tomorrow, kicking off right here in Austin, Texas, starting where Congress meets the river.
[09:01.300 --> 09:07.300]  About 600-yard march down to the Capitol. Try to get down there about one o'clock.
[09:07.300 --> 09:16.300]  The march starts at two. There'll be three hours of speeches, including myself, Jimmy Vaughn, Hank Gilbert, and many, many others.
[09:16.300 --> 09:22.300]  Ron Paul's Chief of Staff is going to be there. And this is the kind of Texas Independence Day rally we need.
[09:22.300 --> 09:31.300]  Not one where people literally go out and get drunk and wave Texas flags, having no idea what the Lone Star State even means.
[09:31.300 --> 09:37.300]  Well, coming up in a few minutes, I'm going to play a Johnny Cash song.
[09:37.300 --> 09:41.300]  And of course, that is Remember the Alamo.
[09:41.300 --> 09:49.300]  That is coming up and we'll break down more details of why you need to come to the rally no matter where you live in surrounding states.
[09:49.300 --> 09:55.300]  I want to see you there tomorrow because we're fighting the Trans-Texas Corridor, the NAFTA Superhighway,
[09:55.300 --> 10:07.300]  which will be the taxing, one of the main taxing mechanisms for the North American Union, the National Animal Identification System, and much, much more.
[10:07.300 --> 10:11.300]  Right now, let me get into the top stories.
[10:11.300 --> 10:24.300]  A few days ago, Alan Greenspan, what on Monday, came out and said, as part of an international conference in Hong Kong,
[10:24.300 --> 10:33.300]  and said that we're probably going to enter a recession. He said, we're probably going to enter a recession, if not later this year, early 2008.
[10:33.300 --> 10:40.300]  Now, if you really look at all the economic indicators and the real numbers, this country's been in a recession for decades.
[10:40.300 --> 10:49.300]  In the past, the United States enjoyed 8% to 10% growth rates right up until the 1970s, and they've been in around 3% a year ever since,
[10:49.300 --> 10:56.300]  not even catching up with real inflation, not the cooked 3% on average that we've seen.
[10:56.300 --> 11:00.300]  There's been 20% inflation in the last five years.
[11:00.300 --> 11:07.300]  The dollar's been devalued against the pound by half, year half against the euro,
[11:07.300 --> 11:11.300]  and that plunge is only accelerating.
[11:11.300 --> 11:20.300]  And Greenspan knew exactly what he was doing when he said that in the conference via satellite connection from New York.
[11:20.300 --> 11:28.300]  But then they always hedge their bets to then not get blamed when they want to manipulate, when they want to drive down markets in speculation profit-taking
[11:28.300 --> 11:38.300]  by the globalists who are the insiders, who then get to always basically cheat the system to always get ahead of others because they have the inside information.
[11:38.300 --> 11:46.300]  Then he comes out and says, oh no, I'm saying that recessions possible, not probable.
[11:46.300 --> 11:58.300]  This out of Bloomberg Financial, former Federal Reserve Chairman Alan Greenspan said a recession in the U.S. is possible, though not probable this year,
[11:58.300 --> 12:07.300]  as excess inventory is being reduced quickly according to people attending a CLSA Japan forum in Tokyo today.
[12:07.300 --> 12:10.300]  So he's saying probably not this year, but next year.
[12:10.300 --> 12:12.300]  He's really saying the same thing again just differently.
[12:12.300 --> 12:18.300]  By the end of this year, there is the possibility, but not the probability of a U.S. moving into recession, Greenspan said,
[12:18.300 --> 12:26.300]  according to notes taken by Bernard Key, a former economics professor at Tammy University in Tokyo, who attended the event.
[12:26.300 --> 12:38.300]  So on Monday it was Greenspan popping in via the big screen, via SAT in Hong Kong, and then now he's popped into Tokyo yesterday and said this.
[12:38.300 --> 12:44.300]  But it's the same thing he said on Monday, he said it probably won't be this year, but it's probably going to happen next year.
[12:44.300 --> 12:52.300]  So the media, Bloomberg is just spinning this, and the original statement is a hedge bet by Greenspan.
[12:52.300 --> 12:58.300]  Meanwhile, the new Fed Chairman Alan for a year, Edward Bernanke, has made the M3 money supply secret,
[12:58.300 --> 13:11.300]  and they'd already doubled the money supply from 2000 to 2006, and now Bernanke, before he made the M3 money supply secret, announced that they would double it in the next two years.
[13:11.300 --> 13:17.300]  So folks, this is 1929 type stuff we're witnessing.
[13:17.300 --> 13:23.300]  It took over 20 years for the Federal Reserve to double the money supply up until 2000.
[13:23.300 --> 13:32.300]  Then they doubled it from 2000 to 2006, the beginning of 2006. Bernanke came in in February, and Heaven helped us.
[13:32.300 --> 13:43.300]  No one even knows what they're doing now, but it's clear that they're just printing at an insane rate, and not just printing, because you've only got about 1.5%.
[13:43.300 --> 13:49.300]  Everybody keeps using the old 3%. That's an old number. 1.5 or lower.
[13:49.300 --> 13:58.300]  That's as of the doubling by 2006. 1.5 actual paper currency, or cotton, I always say paper, it's really cotton.
[13:58.300 --> 14:16.300]  1.5% actual greenbacks in global circulation versus the digital records of Federal Reserve issuance of credit and notes money.
[14:16.300 --> 14:23.300]  The currency consisting of 98 plus percent.
[14:23.300 --> 14:35.300]  If there is any attempt, any attempt for people to get their cash out of the banks, you will see total runs and an implosion of the economy.
[14:35.300 --> 14:45.300]  I don't like to report this. I'm so busy, the little bit of money I've got in the bank is just sitting there, because I don't have the time to go figure out what to do with my children's little college funds.
[14:45.300 --> 15:01.300]  It's just horrible, and it's all been done by design, and when they do it, when they drop the hammer on us, they will stand up on television and pose as our saviors, and the general public will do exactly what they say and thank them for the crash.
[15:01.300 --> 15:11.300]  The very central banks that have set up this climate. Let me just go back before I get into the global economic news and go back to 1929.
[15:11.300 --> 15:18.300]  Let me just go back and briefly describe this.
[15:18.300 --> 15:27.300]  You had the Federal Reserve take over the banking system and the regulatory system of the entire banking system.
[15:27.300 --> 15:38.300]  Again, when you think about the banking system, most of the banking system is not part of a Federal Reserve shareholding bank.
[15:38.300 --> 15:47.300]  They're just under the Federal Reserve FDIC regulatory umbrella.
[15:47.300 --> 16:03.300]  And there had been little runs on banks, small problems, but it wasn't centralized, so the economy grew around until 1913 and around 10% and it slowed about 6% again into the 70s, so things did slow once they got control.
[16:03.300 --> 16:13.300]  And they promised, the central bank promised that if you'll just give us a Federal Reserve, no more booms, no more bust, just study growth, no more runs, no more problems.
[16:13.300 --> 16:23.300]  They took over in 1913, and in 1929 there was the biggest depression this country had ever seen. In fact, the first depression this nation had ever had.
[16:23.300 --> 16:37.300]  And what they did was they cranked up the presses and printed masses of money and they took the fractional reserve banking from around 4 to 1 to 10 to 1 and then to 15 to 1.
[16:37.300 --> 16:46.300]  And that means that if a bank has $1 of your deposit, now this is the non-Federal Reserve banks, but the Federal Reserve banks do it as well.
[16:46.300 --> 16:55.300]  If they have $1 of your deposit, they loan out 10 times. That's the general rule, they keep it about 10 times. Sometimes it goes higher, sometimes lower.
[16:55.300 --> 17:06.300]  The Federal Reserve sets all this policy. That bank can then, just on a ballot sheet, just on a record sheet, loan out 10 times for any deposits it has.
[17:06.300 --> 17:12.300]  They can also use assets the bank holds and then leverage those 10 times.
[17:12.300 --> 17:25.300]  Well, it was simple. They cranked up the printing presses, opened up the lending, and then the newspapers advertised how the stock market was a win-win, you could not lose.
[17:25.300 --> 17:39.300]  The stock market was making 25-30% profits a year and growing. There was a basic hysteria going, and then they crashed the stock market and the newspapers all reported it was a huge crash and hyped it.
[17:39.300 --> 17:45.300]  The big Hurstone and other key newspapers, they wanted to bankrupt all their competition.
[17:45.300 --> 17:58.300]  And then for the next 10 years, there was a massive monetary restriction on lending and the physical money supply.
[17:58.300 --> 18:15.300]  People ran to the banks to get their cash because they were solvent even if they weren't heavily into the markets and they couldn't physically pay them back. Then the banks called in the farm and ranch and home and factory and business and merchant loans.
[18:15.300 --> 18:34.300]  That's right. That's coming up. Thanks for reminding me, John. We'll play that at the bottom of the hour. I told John to come in with that then and I'm busy ranting about the market. We'll play it later.
[18:34.300 --> 18:48.300]  Going back here. And so they restricted the physical money supply. There were runs on banks. You couldn't get your money out of banks. And I remember in the 80s and 90s, here in the Yuppies, these dumb old people, they don't trust banks.
[18:48.300 --> 19:02.300]  Ha ha! Grandma doesn't trust a bank. Grandma's got gold buried in the backyard. Well, that's because grandma was a young lady and watched her daddy and mommy lose everything they had.
[19:02.300 --> 19:09.300]  Oh, but that wasn't enough. They knew the old timers didn't trust the banks to begin with, so they had gold.
[19:09.300 --> 19:21.300]  So after four years of depression, Roosevelt comes in, declares martial law with the War Powers Act. You want to go read it. It was issued nationwide, hung up on all the courthouses, and the state police were set up.
[19:21.300 --> 19:32.300]  They've always been federal. Federally chartered, police were set up. And the federal government declared martial law and a private corporation, the Bank of England, took the country into total receivership.
[19:32.300 --> 19:39.300]  This is in the mainstream history books if you just know where to look. It's just hidden in plain view. And the country went into its first wave of receivership.
[19:39.300 --> 19:48.300]  But there was still tons of private property and liberty in the spirit of freedom, so it took them decades to get us to what we are now, land of the cowards, home of the slaves.
[19:48.300 --> 19:54.300]  Land of the obese, stupid, dumb-down, foaming-at-the-mouth sports fans.
[19:54.300 --> 20:00.300]  From the land of people known worldwide, if you wanted to fight, come pick one, and you'd certainly get your clock clean.
[20:00.300 --> 20:07.300]  And people who were into liberty and freedom and a dynamo of the planet.
[20:07.300 --> 20:12.300]  And so they orchestrated the whole thing and said, by law, you must turn in all your gold.
[20:12.300 --> 20:20.300]  And they sent police to people's houses. They had tattletales and they had rewards. Is somebody paying in gold? Have you seen gold?
[20:20.300 --> 20:28.300]  They sent in the regulators. What's the BATF today? They went into farms and ranches, gunned people down with Tommy guns. Got the gold.
[20:28.300 --> 20:32.300]  We'll be back and tell you more about it. Don't worry, they'll do it again.
[20:32.300 --> 20:40.300]  The War on Terrorism. Will it be fought overseas or will it affect us here at home?
[20:40.300 --> 20:46.300]  If you are like most folks, you want to be prepared, but can't afford an underground shelter. So what do you do?
[20:46.300 --> 20:51.300]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[20:51.300 --> 20:54.300]  With a little know-how, it's not that difficult.
[20:54.300 --> 21:01.300]  Sheltering in place, surviving acts of terrorism from biological, chemical and radioactive fallout, developed by Wayne LaBaron,
[21:01.300 --> 21:06.300]  a health physicist who has served as a specialist in environmental health, communicable diseases,
[21:06.300 --> 21:12.300]  and has worked as a nuclear specialist for the U.S. government, gives you easy to follow video instructions,
[21:12.300 --> 21:16.300]  and walks you step by step through the process of preparing your home as a shelter.
[21:16.300 --> 21:21.300]  Get this critical video every American needs for only $29 plus shipping.
[21:21.300 --> 21:26.300]  Order by calling new millennium today at 888-803-4438.
[21:26.300 --> 21:33.300]  That's 888-803-4438, or order on the web at burkeawater.com.
[21:40.300 --> 21:44.300]  Currency devaluation, inflation, one and the same.
[21:44.300 --> 21:54.300]  If you had deposited $100,000 in a bank at 1%, in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[21:54.300 --> 21:58.300]  The dollar lost 33% of its value in that time frame.
[21:58.300 --> 22:04.300]  The bank paid you 1%, your $100,000 now has a net purchasing power of $68,000.
[22:04.300 --> 22:10.300]  Here is reality. The devaluation of currency equals real inflation.
[22:10.300 --> 22:14.300]  Keep in mind how the value of your paper assets are measured in dollars.
[22:14.300 --> 22:18.300]  Gold in the same time frame increased 35% in value.
[22:18.300 --> 22:22.300]  Learn how to protect and profit in this truly unstable world economy.
[22:22.300 --> 22:27.300]  Call Midas Resources at 1-800-686-2237.
[22:27.300 --> 22:31.300]  That's 1-800-686-2237.
[22:35.300 --> 22:38.300]  David J. Smith for NewsWatch Magazine.
[22:38.300 --> 22:47.300]  Has anyone told you how the Patriot Pax No. 1 and 2 is the groundwork to eliminate all of our freedoms guaranteed to us by the Bill of Rights?
[22:47.300 --> 22:53.300]  Have you been told that they infringe upon the 1st, 2nd, 4th, 5th and 14th Amendment?
[22:53.300 --> 22:57.300]  This is minimum infringement. There may be more.
[22:57.300 --> 23:05.300]  Is your guaranteed right to freedom of speech, assembly, religion, privacy, and to own a gun important to you?
[23:05.300 --> 23:13.300]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to NewsWatch Magazine.
[23:13.300 --> 23:21.300]  Just call our toll-free number 1-800-516-8736.
[23:21.300 --> 23:27.300]  That's 1-800-516-8736.
[23:27.300 --> 23:32.300]  Call now. Our operators are standing by to take your order.
[23:34.300 --> 23:41.300]  I love the new sandals styles, but before I discovered non-ex-nail gel, I was too embarrassed about my toenails to wear them.
[23:41.300 --> 23:45.300]  If your nails look dark or discolored, now there's a solution besides hiding them.
[23:45.300 --> 23:55.300]  It's a patented nail gel called non-ex. All natural non-ex clears out the source of the problem, the dark or yellow material that builds up under nails called keratin debris.
[23:55.300 --> 24:02.300]  Non-ex-nail gel is absolutely amazing. My toenails now look clear and I'm not embarrassed to wear sandals anymore.
[24:02.300 --> 24:12.300]  Non-ex-nail gel removes yellowing keratin debris, is podiatrist recommended, and has been clinically shown to improve nail clarity. It's also money-back guaranteed.
[24:12.300 --> 24:27.300]  You'll find non-ex gel spelled N-O-N-Y-X in the foot care section at Rite Aid, Walgreens, Longs, Brooks, Dwayne-Reed, and Independent Pharmacies nationwide, or online at drugstore.com.
[24:27.300 --> 24:34.300]  Non-ex-nail gel for clearer nails and feet that look great in sandals.
[24:57.300 --> 25:08.300]  I was out of touch, but it wasn't because I didn't know enough. I just knew too much.
[25:08.300 --> 25:10.300]  Does that make us crazy?
[25:10.300 --> 25:13.300]  Because that makes me crazy.
[25:13.300 --> 25:20.300]  Welcome back. Your calls will be in the next segment. Ed, and John, and Rita, and Logan, and Jimmy, and others.
[25:20.300 --> 25:33.300]  This whole free number to join us, 800-259-9231. Just finishing up, so in 1933 they made all privately held gold as an investment or currency illegal.
[25:33.300 --> 25:41.300]  Even gold chains they tried to confiscate. Most of the population dutifully trusting their government went and turned them in for paper notes.
[25:41.300 --> 25:47.300]  Now remember, they wouldn't give your money out of the bank and they said, that's all right, bring your gold in and we'll give it to you.
[25:47.300 --> 26:00.300]  One year after the gold was confiscated, they doubled the price of gold, and the gold was publicly transferred to Europe, and it was still illegal for many years to buy gold as an investment.
[26:00.300 --> 26:06.300]  The Firestone family, some of them got arrested for setting up dummy corporations in Europe trying to buy gold.
[26:06.300 --> 26:15.300]  So don't think it can happen here. Okay, don't think they won't do it. They've done it before, and they engineered the crash of 1929.
[26:15.300 --> 26:22.300]  I don't think that's what's happening right now, but we've gotten way more extended than we were in 1929.
[26:22.300 --> 26:30.300]  In fact, last year we crossed the Rubicon to the highest private debt ratio in U.S. history.
[26:30.300 --> 26:39.300]  Higher, and we are in overall a debtor nation, we have a negative balance of accounts privately.
[26:39.300 --> 26:45.300]  We passed that number last year to have a higher debt ratio of private citizens.
[26:45.300 --> 26:54.300]  We are in debt more than in late 1933, which is the marker for the depth of the Great Depression.
[26:54.300 --> 27:08.300]  The depth of the Great Depression, and they tell you, measure your wealth by how much debt you're in, and how many mortgages you have, and just keep living on credit.
[27:08.300 --> 27:15.300]  If you decide to then start restricting the money supply, it will be physically impossible.
[27:15.300 --> 27:25.300]  Physically impossible for you to pay off debts, because they will tell you that the banks have gone under.
[27:25.300 --> 27:31.300]  It'll take three, four, five years unless you're a big corporation to have the FDIC reimburse you.
[27:31.300 --> 27:40.300]  During that period, they're going to take your house, your car, your business, but don't worry, they've got all the big FEMA camps they've built where they'll have soup and beds,
[27:40.300 --> 27:44.300]  but because of crime at the facilities, they'll have to split your families up.
[27:44.300 --> 27:52.300]  This has all been announced, and your children, of course, will have to, in some cases, go to other facilities, just like you saw with Katrina,
[27:52.300 --> 27:58.300]  and they'll be nice men in black masks ready to gun you down to keep order and save the nation.
[27:58.300 --> 28:01.300]  And of course, they'll lose their pensions, too, but they won't care.
[28:01.300 --> 28:11.300]  It's just the power they enjoy, and they'll still be getting their basic paycheck, and they'll be more taken care of than the general public.
[28:11.300 --> 28:18.300]  And while you're busy worrying about this, they'll go ahead and fully announce the North American Union, claiming that by merging the nation's economies,
[28:18.300 --> 28:29.300]  that will save us, and then they'll bring us out of the Depression in five to ten years, and then give the credit to the North American Union, and then start the money Ponzi scheme all over again,
[28:29.300 --> 28:34.300]  and the general public will thank the central banks that did it for saving us.
[28:34.300 --> 28:36.300]  That's always the great part about this.
[28:36.300 --> 28:45.300]  They bankrupt economies, destroy Third World Nations, start wars, finance terrorist, and then we get to see them up on TV posing as our saviors.
[28:45.300 --> 28:53.300]  And I was walking the dog late last night, and I was just walking down the street and back to the house,
[28:53.300 --> 29:03.300]  and I just, it was about, I don't know, it was about 12.30 at night, and a lot of the houses still had their televisions on.
[29:03.300 --> 29:07.300]  I could see in their front windows, just most of my neighbors, just the glowing blue.
[29:07.300 --> 29:16.300]  The glowing blue of the television set, and it's their friend, and it'll take good care of them, and tell them everything they need to know, and why listen to people like me?
[29:16.300 --> 29:21.300]  I mean, you know, we're just cooks, folks. We don't know anything. We just, you know, make it all up. The government loves you.
[29:21.300 --> 29:26.300]  The Federal Reserve's governmental, it's not private. Everything's fine.
[29:26.300 --> 29:29.300]  When we get back, we will go to your calls.
[29:29.300 --> 29:33.300]  I'm going to start the segment with Johnny Cash, and remember the Alamobe.
[29:33.300 --> 29:38.300]  Donovan and many others did great renditions of it, but I think Cash is the best.
[29:38.300 --> 29:44.300]  And while there's still time, I do want to tell you that David Gergen, I can't skip the show today to do this,
[29:44.300 --> 29:47.300]  so I'll be taking off part of the show tomorrow to go down to the rally.
[29:47.300 --> 29:57.300]  But David Gergen, the Carl Rowe of at least four administrations, the Bilderberg CFR, trilateral Bohemian Rowe member, who I confronted in 2004,
[29:57.300 --> 30:07.300]  will be at the LBJ Library Building, and he's going to be there giving a speech.
[30:07.300 --> 30:19.300]  It's open to the public, and that starts in 40 minutes, so I suggest anybody listening right now locally make their way down to that.
[30:19.300 --> 30:25.300]  It'll be at the Center for Ethical Leadership inside the LBJ Presidential Library and Museum.
[30:25.300 --> 30:35.300]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:35.300 --> 30:38.300]  Hey Jane, how's it going?
[30:38.300 --> 30:44.300]  Gosh, I'm not doing so well. Even though I'm doing everything I'm supposed to do, my blood sugar is way out of control.
[30:44.300 --> 30:46.300]  Oh, Jane, I'm sorry to hear that.
[30:46.300 --> 30:54.300]  I have to monitor my blood sugar again if there was only something natural I could take that would help control my blood sugar that really works.
[30:54.300 --> 30:56.300]  Have you tried sucrablast?
[30:56.300 --> 31:02.300]  For millions of Americans who can't keep their high blood sugar levels off their minds, there's sucrablast.
[31:02.300 --> 31:07.300]  Sucrablast is the all-natural way to help keep your high blood sugar levels under control.
[31:07.300 --> 31:11.300]  For a limited time, you can get a free consultation from a sucrablast specialist.
[31:11.300 --> 31:17.300]  Call 1-800-99-HEALTHY. That's 1-800-99-HEALTHY.
[31:17.300 --> 31:24.300]  Or visit them on the web at MyBloodSugarBreakthrough.com. That's MyBloodSugarBreakthrough.com.
[31:24.300 --> 31:26.300]  So, Jane, what do you think?
[31:26.300 --> 31:30.300]  I'm going to call sucrablast to set up a free consultation right now.
[31:30.300 --> 31:33.300]  Excellent, Jane. You'll be glad you did.
[31:35.300 --> 31:36.300]  Shall I? You look ex-
[31:36.300 --> 31:38.300]  Oh, wait. Why did you turn that down?
[31:38.300 --> 31:44.300]  I get so tired of that girl's squeaky voice. I'm sure the bed fan works, but that's squeaky voice.
[31:44.300 --> 31:46.300]  Well, what's the bed fan?
[31:46.300 --> 31:48.300]  The bed fan that helps hot sleepers stay cool at night.
[31:48.300 --> 31:52.300]  I could use something like that. This menopause thing is really getting to me at night,
[31:52.300 --> 31:55.300]  and you know how I am about doing that hormone therapy thing.
[31:55.300 --> 31:59.300]  Besides, you're a hot sleeper yourself. You're always throwing the covers off in the middle of the night.
[31:59.300 --> 32:03.300]  I guess you're right. Why don't we try it? Just think how nice it'll be to sleep through the night.
[32:03.300 --> 32:08.300]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[32:08.300 --> 32:10.300]  I know where we can get some more information.
[32:10.300 --> 32:14.300]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[32:14.300 --> 32:21.300]  The bed fan will keep you cool and give you the restful sleep you deserve, with our 30-day 100% guarantee you risk nothing.
[32:21.300 --> 32:25.300]  Are you a hot sleeper? Is your partner a hot sleeper? The bed fan is the answer.
[32:25.300 --> 32:32.300]  Visit us today at www.bedfan.com. That's www.bedfan.com.
[32:32.300 --> 32:35.300]  That's bedfan.com.
[32:35.300 --> 32:37.300]  Hey, Emily. Wow, you look great.
[32:37.300 --> 32:40.300]  I feel great. I've been using MediClean's colon cleanse.
[32:40.300 --> 32:42.300]  Really? What is it? How does it work?
[32:42.300 --> 32:48.300]  Well, MediClean's is a natural fiber therapy with ground flaxseed, psyllium, and bentonite clay that eliminates toxins from the body.
[32:48.300 --> 32:51.300]  MediClean's is easy to use without being intrusive.
[32:51.300 --> 32:56.300]  You take two tablespoons of MediClean's powder mixed with water or juice, drink, and it does all the work for you.
