whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:54.760 --> 00:01:59.400]   Atlanta. One's up in Nebraska. So they're importing this stuff everywhere just as
[00:01:59.400 --> 00:02:03.560]   Alex Jones predicted. They're gonna be importing Ebola all into the United
[00:02:03.560 --> 00:02:07.240]   States and they're literally flushing the waste down the toilet into the
[00:02:07.240 --> 00:02:11.360]   public sewer system. We're gonna be going over that. In addition to ISIS we've got
[00:02:11.360 --> 00:02:19.600]   a little bit of NFL news I might cover. We've got both sides of the aisle coming
[00:02:19.600 --> 00:02:24.160]   back with ISIS saying we got to attack. We got to attack. So this is both sides
[00:02:24.160 --> 00:02:29.360]   ramping up for war. You've got it in Britain. People who were normally for
[00:02:29.360 --> 00:02:33.760]   individual sovereignty and freedom. People like Nigel Farage are now saying
[00:02:33.760 --> 00:02:38.480]   we have to give up our liberty for security and that's gonna be the call as
[00:02:38.480 --> 00:02:43.040]   we march towards this global new world order. Like I said I'm Rob Dues. This is my
[00:02:43.040 --> 00:02:47.160]   first time to be hosting the show like this. I'm very honored to be doing it.
[00:02:47.160 --> 00:02:52.240]   Just a quick quick bio about myself. I've always been a person that's like to look
[00:02:52.240 --> 00:02:57.280]   behind the curtain. And back when I was in college I picked up these two books
[00:02:57.280 --> 00:03:02.960]   here. One's None Dare Call a Conspiracy by Gary Allen and the other one is Who
[00:03:02.960 --> 00:03:08.480]   Runs Congress and that was from the Ralph Nader Congress project. Both books
[00:03:08.480 --> 00:03:13.160]   were instrumental in my waking up to what's really going on. Not the left
[00:03:13.160 --> 00:03:17.120]   right paradigm that most people are caught in but to the global crime
[00:03:17.120 --> 00:03:21.320]   syndicate and how it operates here in America and how it operates worldwide.
[00:03:21.320 --> 00:03:25.800]   It's not just here that it's operating it's going all over the place. We're
[00:03:25.800 --> 00:03:28.480]   gonna have quite a show for you today. Like I said Paul Watson is gonna be
[00:03:28.480 --> 00:03:33.440]   coming up in the next hour and if anybody knows about Ebola and where it's
[00:03:33.440 --> 00:03:38.360]   going it's Paul Watson. He's been on this since the beginning. We've been writing
[00:03:38.360 --> 00:03:44.120]   articles about Ebola for a long time here at InfoWars.com trying to show the
[00:03:44.120 --> 00:03:48.200]   progression of this. And one thing I want to I want to go to here in a second is
[00:03:48.200 --> 00:03:53.600]   this video model that has been coming out that came out on the 10th of
[00:03:53.600 --> 00:03:58.040]   September. There's a video model showing how it would spread and now they're
[00:03:58.040 --> 00:04:01.760]   saying it's gonna kill about 5 million people. Well in this model and you guys
[00:04:01.760 --> 00:04:05.920]   can bring it up anytime if you're watching on Prison Planet TV TV you can
[00:04:05.920 --> 00:04:12.280]   see it it starts in Africa. When it comes over to the to our hemisphere it starts
[00:04:12.280 --> 00:04:15.840]   in Cuba and it's interesting that Cuba has just sent a bunch of doctors to go
[00:04:15.840 --> 00:04:20.640]   help and then it moves into Florida and then into the United States through
[00:04:20.640 --> 00:04:25.280]   Miami. So that's very interesting how this model took into account all this
[00:04:25.280 --> 00:04:30.360]   stuff and and it's really looking at it's pretty scary how this stuff is all
[00:04:30.360 --> 00:04:35.200]   gonna spread. And we're gonna be right back one minute break I'm your host Rob
[00:04:35.200 --> 00:04:38.800]   Doo we're gonna be back with Paul Joseph Watson talking about Ebola and a whole
[00:04:38.800 --> 00:04:42.520]   host of issues that you should be concerned about. So call your friends get
[00:04:42.520 --> 00:04:48.120]   ready strap yourselves in it's gonna be two more hours we'll be right back.
[00:04:48.120 --> 00:05:03.320]   From the water table to our soils to the atmosphere itself our world is becoming
[00:05:03.320 --> 00:05:07.240]   more and more toxic each and every day. But it's not just the air outside that's
[00:05:07.240 --> 00:05:11.400]   toxic. Indoor air has been shown to have two to five times higher concentrations
[00:05:11.400 --> 00:05:15.440]   of pollutants than even outdoor air. And most Americans spend 90% of their time
[00:05:15.440 --> 00:05:19.520]   inside using toxic chemicals within their homes. There are more than 42
[00:05:19.520 --> 00:05:23.600]   million smokers in the United States. Well over a thousand types of mold and
[00:05:23.600 --> 00:05:27.600]   mildew linked to numerous conditions. And don't forget the fact that 6 million
[00:05:27.600 --> 00:05:30.760]   Americans live with pets they're allergic to as well. When I began to
[00:05:30.760 --> 00:05:34.840]   research these statistics it was clear to me it was time to start cleansing my
[00:05:34.840 --> 00:05:39.000]   lungs in order to combat the toxic environment that we cannot escape but
[00:05:39.000 --> 00:05:43.040]   we can fight back against. Made with organic and wild cultivated herbs and
[00:05:43.040 --> 00:05:47.440]   manufactured in the USA. The new InfoWars Life Lung Cleanse is here in a
[00:05:47.440 --> 00:05:50.640]   convenient spray bottle that can be brought with you throughout any toxic
[00:05:50.640 --> 00:05:54.880]   environment. Now available exclusively at InfoWarsLife.com or by calling toll
[00:05:54.880 --> 00:05:59.440]   free 888-253-3139.
[00:06:03.040 --> 00:06:11.440]   Live from Austin Texas broadcasting worldwide it's Alex Jones.
[00:06:27.760 --> 00:06:33.560]   We're back live on the Alex Jones show. We're gonna be here till 4 p.m. Central. You can
[00:06:33.560 --> 00:06:37.680]   find us at InfoWars.com, PrisonPlanet.tv, InfoWars.com/show
[00:06:37.680 --> 00:06:41.120]   if you want to watch our free live video feed. We're gonna have some video
[00:06:41.120 --> 00:06:45.360]   clips here that you are gonna want to see if you are near a computer. Call your
[00:06:45.360 --> 00:06:51.120]   friends let them know to tune in. And we have on the line via Skype over across
[00:06:51.120 --> 00:06:55.920]   in England it's Paul Joseph Watson writer of PrisonPlanet.com, InfoWars.com
[00:06:55.920 --> 00:07:01.920]   and somewhat of a video star now. He's making his own videos putting them out
[00:07:01.920 --> 00:07:07.840]   there putting the information out there and let me tell you if the future is if
[00:07:07.840 --> 00:07:12.480]   I can gain anything from watching my children they love to watch little
[00:07:12.480 --> 00:07:16.680]   videos on YouTube. That is the way we're going to wake up a lot of people and my
[00:07:16.680 --> 00:07:19.760]   kids bring me stuff all the time and show it to me because once you've been
[00:07:19.760 --> 00:07:24.960]   planted the seeds of freedom and liberty there's no stopping it. That's all we
[00:07:24.960 --> 00:07:28.480]   have to do is plant a seed that's our job here and that's what we do here. Paul
[00:07:28.480 --> 00:07:33.000]   how you doing today? Good Rob good to be on the air with you today. All right well
[00:07:33.000 --> 00:07:38.000]   let's get right into Ebola. We've got four doctors now killed in Sierra Leone
[00:07:38.000 --> 00:07:43.200]   we've got four doctors that we brought here into the United States. Where's all
[00:07:43.200 --> 00:07:49.040]   this going? Well it's it's going towards hopefully answering the question which
[00:07:49.040 --> 00:07:53.280]   I've had since the very beginning when this started and when I started writing
[00:07:53.280 --> 00:07:56.960]   articles and making videos about it which is why are all these health
[00:07:56.960 --> 00:08:01.920]   workers being infected with Ebola? Of course we're told that this strain which
[00:08:01.920 --> 00:08:08.240]   is a new strain of the virus can only be contracted by exchanging bodily fluids
[00:08:08.240 --> 00:08:12.880]   so the health work is actually touching the bodily fluids of the Ebola victims.
[00:08:12.880 --> 00:08:16.960]   Now you've seen the hazmat suits that they wear the precautions that they take
[00:08:16.960 --> 00:08:21.480]   obviously they go to extreme measures to prevent that from happening not just the
[00:08:21.480 --> 00:08:25.000]   doctors in Africa but the American doctors who have taken the same
[00:08:25.000 --> 00:08:30.920]   precautions and still caught the virus. So now the WHO for example reports today
[00:08:30.920 --> 00:08:35.560]   or a couple of days ago unprecedented number of medical staff infected with
[00:08:35.560 --> 00:08:40.200]   Ebola. The outbreak of Ebola virus disease in West Africa is unprecedented
[00:08:40.200 --> 00:08:43.400]   in many ways including the high proportion of doctors, nurses and other
[00:08:43.400 --> 00:08:48.320]   health workers who have been infected. So 240 health workers in these West
[00:08:48.320 --> 00:08:53.320]   African countries Guinea, Liberia, Nigeria, Sierra Leone have been infected with
[00:08:53.320 --> 00:08:58.080]   Ebola more than 120 have died. So again this raises the question if they're
[00:08:58.080 --> 00:09:02.320]   taking all these precautions to prevent the exchange of bodily fluids to catch
[00:09:02.320 --> 00:09:07.880]   the virus then why are they contracting Ebola unless this new strain of Ebola
[00:09:07.880 --> 00:09:13.120]   may at least to a limited extent have gone airborne because we know
[00:09:13.120 --> 00:09:19.400]   the 2012 study which we cited many times from Canada they took pigs who were
[00:09:19.400 --> 00:09:25.480]   infected with Ebola put them in a pen with monkeys that was separated by a
[00:09:25.480 --> 00:09:30.520]   wire fence so no direct contact between the two species and basically what
[00:09:30.520 --> 00:09:34.720]   happened most of the monkeys contracted Ebola via the respiratory system and
[00:09:34.720 --> 00:09:40.800]   died from it and that was back in 2012 so they proved back then that Ebola had
[00:09:40.800 --> 00:09:47.240]   gone airborne between these two species at least to a limited degree. So now as
[00:09:47.240 --> 00:09:51.160]   far back as six weeks ago we were asking the same question we were called
[00:09:51.160 --> 00:09:56.880]   conspiracy theorists for doing so. I appeared on CBS radio with Dick Morris
[00:09:56.880 --> 00:10:03.960]   on August 6 last month and then a couple of days after that CBS local news came
[00:10:03.960 --> 00:10:08.200]   out with a story saying conspiracy theorists claims Ebola may be airborne
[00:10:08.200 --> 00:10:13.800]   which is interesting because as of two days ago Michael Osterholm who is
[00:10:13.800 --> 00:10:17.280]   director of the Center for Infectious Disease Research and Policy at the
[00:10:17.280 --> 00:10:21.880]   University of Minnesota wrote this big op-ed in the New York Times in which he
[00:10:21.880 --> 00:10:27.120]   said that basically health workers and experts are loath to consider they fear
[00:10:27.120 --> 00:10:31.360]   even considering the fact that quote Ebola virus could mutate to become
[00:10:31.360 --> 00:10:36.200]   transmissible through the air so now six weeks after we first talked about it
[00:10:36.200 --> 00:10:40.280]   we're getting top experts saying the same thing we were called conspiracy
[00:10:40.280 --> 00:10:44.800]   theorists at the time for saying this now top experts doctors medical
[00:10:44.800 --> 00:10:48.440]   professionals are starting to ask the same question which is has this new
[00:10:48.440 --> 00:10:53.240]   strain of Ebola gone airborne because it's unprecedented in the amount of
[00:10:53.240 --> 00:10:58.840]   people that it has infected in fact Michael Osterholm said that quote the
[00:10:58.840 --> 00:11:02.840]   current Ebola virus is hyper evolution is unprecedented there has been more
[00:11:02.840 --> 00:11:06.680]   human to human transmission in the past four months than likely occurred in the
[00:11:06.680 --> 00:11:11.720]   last 500 to 1,000 years each new infection represents trillions of
[00:11:11.720 --> 00:11:16.280]   throws of the genetic dice so this is completely unprecedented which is why
[00:11:16.280 --> 00:11:20.480]   we're asking the question has it gone airborne at least to a limited extent
[00:11:20.480 --> 00:11:25.320]   well Paul before you go any farther we've got a video clip that I found over
[00:11:25.320 --> 00:11:29.680]   the weekend one of our excellent tipsters and we got so many tipsters out
[00:11:29.680 --> 00:11:33.440]   there that just send us tip after tip after tip this one is from a Nova
[00:11:33.440 --> 00:11:38.440]   program that aired in the mid 90s but it talks about an incident that happened in
[00:11:38.440 --> 00:11:45.440]   1989 here in Virginia and it's between air air transmission of Ebola between
[00:11:45.440 --> 00:11:52.080]   monkeys and you guys got that clip let's roll it in 1989 Ebola made its way to
[00:11:52.080 --> 00:11:57.680]   the US residents of this Washington DC suburb had no idea that one of the
[00:11:57.680 --> 00:12:02.880]   world's deadliest viruses had emerged in their midst
[00:12:02.880 --> 00:12:12.760]   in a primate quarantine unit in Reston Virginia monkeys and one of the holding
[00:12:12.760 --> 00:12:19.560]   rooms suddenly began to die secretly a military team entered the quarantine
[00:12:19.560 --> 00:12:25.080]   unit and killed all 60 monkeys in the infected room
[00:12:25.600 --> 00:12:28.680]   [Music]
[00:12:28.680 --> 00:12:39.400]   the crisis heightened as monkeys began to die in a different room it appeared
[00:12:39.400 --> 00:12:44.880]   that the virus was moving through the ventilating system in response the
[00:12:44.880 --> 00:12:52.000]   military killed all 400 monkeys ending the outbreak this new strain of Ebola
[00:12:52.000 --> 00:12:56.320]   had shown the potential to spread through the air had it been lethal in
[00:12:56.320 --> 00:13:02.440]   humans it could have been catastrophic there you go Paul so they've been this
[00:13:02.440 --> 00:13:07.280]   has been on the radar since 1989 at least with the military secretly because
[00:13:07.280 --> 00:13:12.280]   no one else knew about it and what do you have to say about that well that's
[00:13:12.280 --> 00:13:16.000]   amazing of course because I mean we had the Canadian study but that was only
[00:13:16.000 --> 00:13:21.160]   from two years ago so to hear that it's you know at least one strain between two
[00:13:21.160 --> 00:13:26.600]   species of monkeys has been airborne since 1989 is again is shocking and this
[00:13:26.600 --> 00:13:30.000]   is what I've said over and over again you know I can talk about this until I'm
[00:13:30.000 --> 00:13:33.280]   blue in the face I'm just the journalist I'm just writing about it I'm not an
[00:13:33.280 --> 00:13:37.880]   expert on it we need actual experts and infectious disease specialists to be
[00:13:37.880 --> 00:13:42.120]   looking into this possibility because it seems like it it could be a good
[00:13:42.120 --> 00:13:45.880]   explanation for the for the aggressiveness of how this virus has
[00:13:45.880 --> 00:13:50.720]   spread but as Osterholm said in the New York Times the other day they're kind of
[00:13:50.720 --> 00:13:55.160]   scared of yelling fire in a crowded theater because they think that it's
[00:13:55.160 --> 00:13:59.640]   gonna it's gonna cause hysteria and mass panic which is interesting because you
[00:13:59.640 --> 00:14:04.080]   know the pharmaceutical industry normally loves hysteria and mass panic
[00:14:04.080 --> 00:14:08.400]   because it sells drugs and it sells vaccines which is what we saw in 2009
[00:14:08.400 --> 00:14:13.120]   with the swine flu outbreak which was very different of course because they
[00:14:13.120 --> 00:14:18.400]   already had the vaccine lined up and they created a huge huge scare I mean at
[00:14:18.400 --> 00:14:22.600]   the time that there was talk of troops on the streets and martial law and this
[00:14:22.600 --> 00:14:27.200]   was in the newspapers every day and they had the vaccine lined up probably
[00:14:27.200 --> 00:14:31.600]   millions of people globally took the vaccine which was completely unnecessary
[00:14:31.600 --> 00:14:36.680]   swine flu was only really a danger to sick people young people and the elderly
[00:14:36.680 --> 00:14:41.000]   so that the majority of the global population was under no risk whatsoever
[00:14:41.000 --> 00:14:46.520]   but they sold this drug in huge quantities and it was engendered off the
[00:14:46.520 --> 00:14:50.600]   back of hysteria created by governments and the pharmaceutical industry which
[00:14:50.600 --> 00:14:55.880]   we're not seeing in this case because they've been very slow to develop a
[00:14:55.880 --> 00:15:01.040]   vaccine or a drug to treat Ebola which many people have suggested is because
[00:15:01.040 --> 00:15:06.280]   you know basically people don't give a damn about black people in Africa dying
[00:15:06.280 --> 00:15:11.040]   from this and it's kind of there's no profit in it in fact we've seen top
[00:15:11.040 --> 00:15:16.200]   experts come out and admit dr. Ben Newman said I think it was to Bloomberg
[00:15:16.200 --> 00:15:20.360]   quote there isn't enough panic to justify a cure so there's not enough
[00:15:20.360 --> 00:15:25.480]   money in it to justify intense research into vaccines and drugs so basically
[00:15:25.480 --> 00:15:29.360]   they're just gonna let it proliferate and now we've got other experts as I
[00:15:29.360 --> 00:15:33.640]   reported on Friday and this was quite a bizarre story because they changed the
[00:15:33.640 --> 00:15:38.720]   story after we reported it this was Yona Schmidt Channes it of the Bernard
[00:15:38.720 --> 00:15:43.760]   Knocht Institute for tropical medicine in Hamburg he told he told Deutsch well
[00:15:43.760 --> 00:15:46.840]   that it would kill five million people and we can get into that after the break
[00:15:46.840 --> 00:15:50.120]   that's right we'll get right back to that and we do have somebody developing
[00:15:50.120 --> 00:15:52.880]   a vaccine with the help of the Gates Foundation don't worry they're gonna
[00:15:52.880 --> 00:15:56.040]   come save us now we're gonna have all that right after the break it's info
[00:15:56.040 --> 00:16:00.680]   words calm the Alex Jones show we'll be right back the government's Department
[00:16:00.680 --> 00:16:04.360]   of Homeland Security is buying up loads of ammo at the same time they're
[00:16:04.360 --> 00:16:08.560]   restricting civilians rights to own and purchase firearms can you put two and
[00:16:08.560 --> 00:16:13.200]   two together infidel body armor can stop every round including hollow points in
[00:16:13.200 --> 00:16:18.560]   308 sniper rounds is reasonably priced and fully legal but for how long go to
[00:16:18.560 --> 00:16:26.200]   infidel body armor comm spelled I n F ID EL body armor comm infidel body armor
[00:16:26.200 --> 00:16:31.880]   just won't quit tell folks how you got introduced to super male and then when
[00:16:31.880 --> 00:16:35.640]   super female came out tell us what happened after I saw such a huge
[00:16:35.640 --> 00:16:39.600]   positive change in my husband I had to try it for myself talk about the effects
[00:16:39.600 --> 00:16:43.320]   I feel great when I wake up in the morning I have drive to go to the gym I
[00:16:43.320 --> 00:16:48.320]   feel like I look better I feel better I feel sexier I love it even if you don't
[00:16:48.320 --> 00:16:51.720]   believe in supplements take the challenge get a bottle of super male a
[00:16:51.720 --> 00:16:55.720]   bottle of super female check it out for yourself consult your physician visit
[00:16:55.720 --> 00:17:00.240]   info wars at life at calm today this is life-changing another major health
[00:17:00.240 --> 00:17:03.960]   threat this one in Toledo Ohio where everybody in the entire city has been
[00:17:03.960 --> 00:17:08.080]   told not to drink the waters Ohio's governor declaring a state of emergency
[00:17:08.080 --> 00:17:13.080]   did you know that the average person uses about 80 to 100 gallons of water at
[00:17:13.080 --> 00:17:18.560]   home every single day if there's a water emergency will you be prepared panicked
[00:17:18.560 --> 00:17:22.720]   residents forming long lines throughout the day we're here at a supermarket in
[00:17:22.720 --> 00:17:27.040]   Toledo you can see the shelves empty where water once was to stay safe and
[00:17:27.040 --> 00:17:32.400]   healthy during a crisis you must have access to safe clean water water which
[00:17:32.400 --> 00:17:36.600]   will not be available at your local grocery store there's a mad dash on
[00:17:36.600 --> 00:17:41.280]   right now to stock up on supplies the pro pure pro 1g 2.0 water filtration
[00:17:41.280 --> 00:17:46.200]   system is a must-have for every modern independently minded household protect
[00:17:46.200 --> 00:17:51.160]   your family's safety during an emergency go to info war store comm today to
[00:17:51.160 --> 00:17:58.320]   purchase your pro pure pro 1g 2.0 water filtration system or call 1-882-533-139
[00:17:58.320 --> 00:18:02.360]   you've heard about the essential qualities of iodine when it comes to
[00:18:02.360 --> 00:18:05.960]   your well-being and you've read the opinions of top experts regarding this
[00:18:05.960 --> 00:18:10.600]   good member of the halogen family still reports indicate that iodine is absent
[00:18:10.600 --> 00:18:14.480]   in sufficient amounts from the daily lives of countless people worldwide now
[00:18:14.480 --> 00:18:19.640]   our extra strength new nascent iodine formula is here survival shield x2
[00:18:19.640 --> 00:18:23.880]   leading the way into the next generation of super high quality nascent iodine
[00:18:23.880 --> 00:18:28.680]   info wars life survival shield x2 is derived from 200 plus million year old
[00:18:28.680 --> 00:18:33.320]   salt solutions found more than 7,000 feet below the earth's surface the result
[00:18:33.320 --> 00:18:37.360]   is a unique nascent iodine that is both concentrated and free of unwanted
[00:18:37.360 --> 00:18:41.280]   additives genetically modified ingredients and completely vegan we even
[00:18:41.280 --> 00:18:46.240]   pre screen our survival shield x2 iodine for radiation pure clean and sourced
[00:18:46.240 --> 00:18:50.760]   from deep within the earth x2 nascent iodine is available exclusively at info
[00:18:50.760 --> 00:19:00.760]   wars life comm info war store comm or call 1-888-253-3139 in the near future
[00:19:00.760 --> 00:19:06.920]   when you realize how fake it all is the football the basketball security alert
[00:19:06.920 --> 00:19:12.200]   this is homeland security analysis info wars building independent media
[00:19:12.200 --> 00:19:16.320]   operation but the worst people get controlled and tell us that we are the
[00:19:16.320 --> 00:19:21.520]   ones responsible prime directive discredit Alex Jones Jones is the wildly
[00:19:21.520 --> 00:19:25.960]   popular conspiracy theory a popular conspiracy theory talk show called info
[00:19:25.960 --> 00:19:30.840]   wars Alex Jones is now in an Austin jail these people are assaulting targeting of
[00:19:30.840 --> 00:19:36.400]   patriots engaged they are never going to stop they're never going to deviate from
[00:19:36.400 --> 00:19:42.880]   their program until we stop them block free iPhone app at info wars.com block
[00:19:42.880 --> 00:19:48.640]   free podcast and video feed imperative
[00:19:48.640 --> 00:19:53.400]   you gotta set your eye on the enemy not worry about what propaganda they put out
[00:19:53.400 --> 00:19:57.840]   intellectually it's begun and you can feel it
[00:19:57.840 --> 00:20:05.800]   coast to coast direct from Austin you're listening to the Alex Jones
[00:20:05.800 --> 00:20:09.160]   broadcasting network
[00:20:09.600 --> 00:20:14.600]   [music]
[00:20:14.600 --> 00:20:20.200]   he aligns himself with the truth and it's time for you to choose a side
[00:20:20.200 --> 00:20:24.400]   you're listening to Alex Jones
[00:20:24.400 --> 00:20:29.400]   [music]
[00:20:29.400 --> 00:20:34.680]   a leading German virologist claims it's too late Ebola's gonna kill 5 million people
[00:20:34.680 --> 00:20:42.160]   at least West African health centers cannot keep up with the Ebola outbreak
[00:20:42.160 --> 00:20:50.000]   Ebola out places global response World Health Organization says but don't worry
[00:20:50.000 --> 00:20:54.240]   we've got Bill Gates coming to the rescue he's gonna give 50 million
[00:20:54.240 --> 00:21:00.680]   dollars to fight Ebola then we have Glaxo Smith Klein who has a vaccine
[00:21:00.680 --> 00:21:06.800]   that's been fast-tracked for clinical trials Glaxo Smith Klein these are the
[00:21:06.800 --> 00:21:16.800]   same people that in 2012 were fined only 400,000 pesos for killing 14 babies in
[00:21:16.800 --> 00:21:22.280]   Argentina for tests they did on an ammonia vaccine so I guess we can all be
[00:21:22.280 --> 00:21:26.920]   assured that since it's Glaxo Smith Klein they're gonna do good at making
[00:21:26.920 --> 00:21:35.000]   this Ebola vaccine and one more thing Paul do you did you see this over the
[00:21:35.000 --> 00:21:39.520]   weekend this is published on September 12th Lakeland Industries announces
[00:21:39.520 --> 00:21:45.640]   global availability of hazmat suits for Ebola and the president and chief CEO
[00:21:45.640 --> 00:21:49.000]   the CEO of Lakeland Industries came out and said that the State Department had
[00:21:49.000 --> 00:21:53.280]   put in a bid for a hundred and sixty thousand suits the State Department is
[00:21:53.280 --> 00:21:57.800]   getting a hundred sixty thousand hazmat suits to protect from something that now
[00:21:57.800 --> 00:22:03.560]   might even be going airborne Paul what do you make of all this madness well
[00:22:03.560 --> 00:22:07.440]   it's interesting isn't it I mean a hundred and sixty thousand suits and
[00:22:07.440 --> 00:22:10.960]   it's the State Department that's making the purchase you would think that it
[00:22:10.960 --> 00:22:15.800]   would be the CDC but that suggests it's some kind of national security issue or
[00:22:15.800 --> 00:22:19.600]   a health aid organization that's gonna send people to Africa no it's this is
[00:22:19.600 --> 00:22:23.920]   the State Department exactly I mean that's that's concerning and it ties
[00:22:23.920 --> 00:22:28.080]   into what we've reported before which of course probably about six weeks ago
[00:22:28.080 --> 00:22:32.080]   Obama signed this amendment to an executive order which was originally
[00:22:32.080 --> 00:22:37.760]   signed by Bush to deal with SARS to detain forcibly detain Americans who
[00:22:37.760 --> 00:22:42.320]   show signs of respiratory illness merely signs of respiratory illness and then we
[00:22:42.320 --> 00:22:46.680]   already had the CDC measures which were in place before that which allowed for
[00:22:46.680 --> 00:22:51.960]   the quarantine of quote well persons who quote do not show symptoms of the disease
[00:22:51.960 --> 00:22:57.320]   so again it's this medical martial law scenario you've also got the model state
[00:22:57.320 --> 00:23:01.640]   emergency health powers act which the Association of American Physicians and
[00:23:01.640 --> 00:23:06.720]   Surgeons one could turn governors into dictators that's another quote so you've
[00:23:06.720 --> 00:23:10.640]   got this system that's already in in built and ingrained ready to be turned
[00:23:10.640 --> 00:23:16.760]   on in the case of a pandemic of this nature and yeah that's of concern at the
[00:23:16.760 --> 00:23:20.960]   State Department buying a hundred and sixty thousand hazmat suits with this
[00:23:20.960 --> 00:23:26.120]   Ebola virus raging with speculation that it may have gone airborne so it's it's
[00:23:26.120 --> 00:23:30.640]   of extreme concern and then you mentioned Bill Gates which reminded me
[00:23:30.640 --> 00:23:35.640]   of the whole eugenics angle dr. Charles onsen head of the biodesign Institute
[00:23:35.640 --> 00:23:40.560]   for infectious diseases and vaccinology and he was one of the guys who worked on
[00:23:40.560 --> 00:23:44.520]   the experimental Ebola treatment which the two Americans who flew into Atlanta
[00:23:44.520 --> 00:23:49.920]   received he jokes at a conference I believe it was a couple of years ago the
[00:23:49.920 --> 00:23:55.120]   the the key to solving overpopulation was to create a genetically engineered
[00:23:55.120 --> 00:23:59.760]   virus that could kill two billion people and these are the people that are
[00:23:59.760 --> 00:24:04.280]   creating the very vaccines which are going to be doled out to people if this
[00:24:04.280 --> 00:24:08.520]   hysteria gets any bigger and he's joking about oh we need a genetically engineered
[00:24:08.520 --> 00:24:13.640]   virus to kill two billion people to solve overpopulation which we know is a
[00:24:13.640 --> 00:24:18.080]   complete statistical lie if you actually delve down into the figures right go
[00:24:18.080 --> 00:24:22.680]   population is going to keep going Bill Gates has gone on television with Ted TV
[00:24:22.680 --> 00:24:26.200]   putting his little equation up there this is one of these things has to go to
[00:24:26.200 --> 00:24:30.960]   zero and it's people that are gonna go to zero that's what he wants to see I
[00:24:30.960 --> 00:24:36.280]   mean it's that's it I mean Bill Gates is a eugenicist his dad was part of
[00:24:36.280 --> 00:24:41.000]   Planned Parenthood and the apple doesn't fall far from the tree it would seem but
[00:24:41.000 --> 00:24:44.080]   here's another interesting fact that these patients were bringing in to the
