[00:00:09.864 --> 00:00:11.726]  Riding on the highway!
[00:13:36.570 --> 00:13:40.771]  Because France is not French, it's Islamic.
[00:13:40.771 --> 00:13:44.892]  And the Pope and the rest of the establishment are backing the radical Islamicists.
[00:13:44.892 --> 00:13:48.313]  The Pope's also calling for carbon taxes and world government.
[00:13:48.313 --> 00:13:49.973]  Here's the epic moment we've reached.
[00:13:51.957 --> 00:13:56.041]  The legendary moment, the historical moment, the moment of decision.
[00:13:56.041 --> 00:14:00.486]  The collectivists, the globalists, the financial interests are making their move.
[00:14:00.486 --> 00:14:02.428]  World War III has begun.
[00:14:02.428 --> 00:14:04.190]  It's cultural.
[00:14:04.190 --> 00:14:05.711]  It's economic.
[00:14:05.711 --> 00:14:08.414]  It's medical.
[00:14:08.414 --> 00:14:10.216]  It's spiritual.
[00:14:10.216 --> 00:14:11.057]  It's a new kind of war.
[00:14:12.133 --> 00:14:13.073]  And it's on.
[00:14:13.073 --> 00:14:33.137]  Whether you are in Europe, or the United States, or Canada, the borders are wide open, the illegals are pouring in, they're being given the driver's licenses, they're allowed to vote, they're getting freebies from the government, they're voting 90 plus percent socialist, Bernie Sanders leads Hillary in New Hampshire by nine points, this is the endgame.
[00:14:33.137 --> 00:14:36.458]  You wanted to see the fall of America, the fall of Europe, you're gonna see it now.
[00:14:37.799 --> 00:14:47.462]  And the globalists are going to sit in their billion-dollar palaces above the law with their jet copters and their private jets as the rest of us live in absolute squalor.
[00:14:47.462 --> 00:14:50.062]  They're flooding the lifeboats that were Western Europe.
[00:14:50.062 --> 00:14:52.683]  They're flooding the lifeboats that was America.
[00:14:52.683 --> 00:14:54.924]  They took down Gaddafi that was building up Africa.
[00:14:54.924 --> 00:14:57.424]  They took down South Africa that was building up Africa.
[00:14:57.424 --> 00:15:00.265]  The globalists don't want prosperity.
[00:15:00.265 --> 00:15:03.006]  They want cloward and pivot on steroids.
[00:15:03.006 --> 00:15:04.606]  They want world government.
[00:15:04.606 --> 00:15:06.507]  They want Agenda 21.
[00:15:06.507 --> 00:15:07.147]  And they're getting it.
[00:15:08.976 --> 00:15:29.804]  And it hit me like a laser beam, like a diamond bullet, to quote Colonel Kurtz from Apocalypse Now, last night, after I put my children to bed at about 9.30, after we had family over and barbecued, it hit me like a diamond bullet.
[00:15:29.804 --> 00:15:32.825]  And when we come back, I'll tell you what hit me.
[00:15:32.825 --> 00:15:33.346]  Straight ahead.
[00:15:35.586 --> 00:15:39.992]  You're not going to have to wait for world government and tyranny and depression anymore.
[00:15:39.992 --> 00:15:41.874]  This is the beginning.
[00:15:41.874 --> 00:15:44.918]  If we wake up to it and say no to it, it'll dissipate.
[00:15:44.918 --> 00:15:46.480]  It'll lessen.
[00:15:46.480 --> 00:15:53.088]  But if we bow down to this political correctness and all the rest of it, we are captured.
[00:15:53.088 --> 00:15:54.249]  It's so outrageous.
[00:15:55.390 --> 00:15:58.272]  I'm Alex Jones, InfoWars.com's the site.
[00:15:58.272 --> 00:16:03.396]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:16:03.396 --> 00:16:09.520]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:16:09.520 --> 00:16:12.162]  Methylcobalamin, the same kind used in B12 injections.
[00:16:12.882 --> 00:16:13.682]  We're good to go.
[00:16:28.227 --> 00:16:32.591]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:16:32.591 --> 00:16:36.734]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:16:36.734 --> 00:16:41.698]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:16:41.698 --> 00:16:46.341]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:16:46.341 --> 00:16:49.824]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:16:49.824 --> 00:16:53.287]  Now available in our limited first run at Infowarslife.com.
[00:16:53.287 --> 00:16:55.128]  That's Infowarslife.com or call 888-253-3139.
[00:16:57.950 --> 00:17:05.152]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:17:05.152 --> 00:17:14.834]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:17:14.834 --> 00:17:20.555]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxin.
[00:17:20.555 --> 00:17:20.975]  We're good to go.
[00:17:46.226 --> 00:17:49.231]  Exclusively available at InfoWarsLife.com.
[00:17:49.231 --> 00:17:53.558]  Secure your Silver Bullet today at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:17:58.823 --> 00:18:02.904]  Alex Jones here with a very important news alert for InfoWars listeners.
[00:18:02.904 --> 00:18:13.367]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[00:18:13.367 --> 00:18:16.288]  So prices are going up and it's very hard to secure it.
[00:18:16.408 --> 00:18:25.254]  We have been able to secure a limited supply of the Pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[00:18:25.254 --> 00:18:27.095]  This is the good halogen.
[00:18:27.095 --> 00:18:30.157]  This is the opposite of the bad halogens like fluoride.
[00:18:30.157 --> 00:18:42.165]  Now we at Infowarslife.com are bringing you the only source of clean, pure, 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[00:18:42.165 --> 00:18:43.426]  Watch the informational videos
[00:18:43.646 --> 00:18:49.875]  At Infowarslife.com, discover how transformational pure iodine can be for you and your family.
[00:18:58.593 --> 00:19:08.698]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:19:08.698 --> 00:19:14.840]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:19:14.840 --> 00:19:17.161]  They call it their low-profile platform.
[00:19:17.161 --> 00:19:20.423]  PVX muzzle brakes, proven to help control muzzle rise.
[00:19:21.744 --> 00:19:24.546]  6061 billet material with type 3 hard coating.
[00:19:24.546 --> 00:19:28.168]  Bolt carrier group for .308 and .556 ARs.
[00:19:28.168 --> 00:19:29.729]  Custom Kydex holsters.
[00:19:29.729 --> 00:19:34.593]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:19:34.593 --> 00:19:37.075]  Most competitors material use .060.
[00:19:37.075 --> 00:19:40.477]  Configure yours today at HDfirearms.com.
[00:19:40.477 --> 00:19:42.538]  And my favorite, single stage trigger.
[00:19:42.538 --> 00:19:45.921]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:19:46.161 --> 00:19:49.722]  Find out more at HDFirearms.com today or call 770-485-7015.
[00:19:49.722 --> 00:19:50.883]  That's HDFirearms.com or call 770-485-7015.
[00:19:50.883 --> 00:19:54.064]  You're listening to the Alex Jones Show!
[00:20:18.414 --> 00:20:19.755]  You want answers?
[00:20:19.755 --> 00:20:21.515]  Well, so does he.
[00:20:21.515 --> 00:20:23.316]  It's Alex Jones.
[00:20:39.255 --> 00:20:44.817]  I've talked about the basic problems that face humanity and none of this is new.
[00:20:44.817 --> 00:20:46.578]  Everybody knows this deep down.
[00:20:46.578 --> 00:20:49.920]  I'm just speaking truth that everyone already knows.
[00:20:49.920 --> 00:20:52.441]  But truth they don't put out on the news.
[00:20:52.441 --> 00:20:58.603]  Or truth when they put it out is only limited to direct you towards an establishment goal.
[00:20:58.603 --> 00:21:03.045]  They'll speak the truth occasionally but only to sell you on their agenda.
[00:21:03.045 --> 00:21:07.187]  So the end of what they do doesn't basically manifest
[00:21:08.117 --> 00:21:11.920]  What the ultimate goal should be.
[00:21:11.920 --> 00:21:14.162]  We don't have empathy.
[00:21:14.162 --> 00:21:19.266]  We don't have a sense of a great human continuum and living on through our progeny.
[00:21:19.266 --> 00:21:20.947]  That's been stolen from us.
[00:21:20.947 --> 00:21:23.969]  We've had our cultures taken from us.
[00:21:23.969 --> 00:21:27.452]  We've been raised by television.
[00:21:27.452 --> 00:21:30.815]  But last night at about 9.30 after I put my children to sleep,
[00:21:34.955 --> 00:21:39.777]  I sat back out there on the porch, looking out into the stars.
[00:21:39.777 --> 00:21:47.700]  It was a very clear night, I could see the Milky Way galaxy.
[00:21:47.700 --> 00:21:49.461]  And it hit me.
[00:21:49.461 --> 00:22:00.445]  All the studies, all the research, all the admissions, the globalists like Bertrand Russell bragging in the 30s about how they would use vaccines to brain damage the public and make us servile.
[00:22:01.479 --> 00:22:04.561]  And now we've gone from 1 in 25,000 with autism to 1 in 58.
[00:22:04.561 --> 00:22:10.545]  It'll soon be 1 in 3, CDC admits.
[00:22:10.545 --> 00:22:16.930]  And I thought about the cold-blooded will to hurt children.
[00:22:16.930 --> 00:22:24.835]  Because last night we were digging through some old trunks that were 5, 6, 7 years old with my children.
[00:22:24.835 --> 00:22:27.237]  And I sat there and I looked at art they'd done.
[00:22:29.909 --> 00:22:32.290]  When they were 2, 3, 4, 5 years old.
[00:22:32.290 --> 00:22:36.271]  Because they're 12, 11, and 7 now.
[00:22:36.271 --> 00:22:44.413]  And I looked at those sweet little images of teddy bears they'd drawn, and houses, and pretty yellow suns, and flowers.
[00:22:44.413 --> 00:22:46.794]  Those beautiful souls.
[00:22:46.794 --> 00:22:51.075]  And I thought about the will to know you're putting cancer viruses in a vaccine.
[00:22:51.075 --> 00:22:54.696]  To know you're giving a child a hepatitis shot that destroys their liver.
[00:22:55.808 --> 00:23:04.254]  To know you're giving them a tetanus shot with hormones in it to sterilize them once their female organs begin releasing key hormones.
[00:23:04.254 --> 00:23:07.357]  I have all the documents.
[00:23:07.357 --> 00:23:09.138]  The Gardashil shots, all of it.
[00:23:09.138 --> 00:23:11.220]  And it just was so overwhelming.
[00:23:11.220 --> 00:23:13.481]  My God!
[00:23:13.481 --> 00:23:15.843]  We're really facing pure evil.
[00:23:15.843 --> 00:23:17.665]  And I know I say that every day, but
[00:23:18.661 --> 00:23:30.173]  It just hit me so strong that I was a piece of filth, that I was a scumbag, that I was a sellout, that I wasn't doing enough to expose these people.
[00:23:30.173 --> 00:23:34.438]  I should be on the air every day with the vaccine inserts.
[00:23:35.959 --> 00:23:45.564]  That it can give you type 1 diabetes, it can cause Guillain-Barre's and neurological disorders and genetic disorders and trigger autoimmune disorders.
[00:23:45.564 --> 00:23:46.885]  I mean, it's all there.
[00:23:46.885 --> 00:23:53.148]  They even tell you, in a mesophysical rule, they've got to tell you what they're about to do to you.
[00:23:53.148 --> 00:23:55.869]  Who are these people?
[00:23:55.869 --> 00:23:57.550]  But more importantly, who are we?
[00:24:03.717 --> 00:24:10.943]  Because if we don't stand up to this, if we don't say no, we're aiding and abetting it.
[00:24:10.943 --> 00:24:13.465]  You know, I shot, only a couple hundred people have it.
[00:24:13.465 --> 00:24:14.906]  It's bizarre we got it.
[00:24:14.906 --> 00:24:16.528]  A bunch of listeners requested it.
