[00:00:00.209 --> 00:00:01.169]  ...and so on.
[00:05:27.692 --> 00:05:34.914]  And I'm going to tell you right now, it hit me like a ton of bricks last night, they are going to stage terror attacks in this country.
[00:05:34.914 --> 00:05:37.674]  They are going to do it, and I'll tell you why when we get back.
[00:05:37.674 --> 00:05:43.216]  So you get ready folks, and they are going to try to bring in hard martial law.
[00:05:43.216 --> 00:05:46.017]  They're going to try to arrest me, and a lot of other people.
[00:05:47.560 --> 00:05:59.867]  It's a guarantee they're going to move with physical force against the American people unless we bust our butts to expose the terrorist program now!
[00:06:01.095 --> 00:06:04.618]  More than 700 chemicals have been found in our drinking water.
[00:06:04.618 --> 00:06:10.021]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:06:10.021 --> 00:06:15.185]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:06:15.185 --> 00:06:26.293]  The KDF Dual Media Shower Filter works with both hot and cold water, and is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:06:26.693 --> 00:06:32.477]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or 1 year whichever comes first.
[00:06:32.477 --> 00:06:38.740]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[00:06:38.740 --> 00:06:39.781]  What about you?
[00:06:39.781 --> 00:06:41.702]  Order your KDF Shower Filter normally.
[00:06:41.702 --> 00:06:46.205]  $49 for a special price of only $39.99 with free shipping.
[00:06:46.205 --> 00:06:48.346]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:06:51.704 --> 00:06:55.485]  That's 1-877-886-3653.
[00:06:55.485 --> 00:07:01.127]  Or simply click on the banner at GCNlive.com to order online now.
[00:07:01.127 --> 00:07:07.169]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:07:07.169 --> 00:07:12.451]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:07:13.032 --> 00:07:19.534]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:07:19.534 --> 00:07:21.494]  Well, Obama's already fudging.
[00:07:21.494 --> 00:07:23.955]  He's fudged since day one in this election.
[00:07:23.955 --> 00:07:34.857]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:07:37.165 --> 00:07:38.825]  It's not about left or right.
[00:07:38.825 --> 00:07:40.686]  It's about a one world government.
[00:07:40.686 --> 00:07:47.587]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:07:47.587 --> 00:07:55.849]  Get your copy of The Obama Deception today at Infowars.com or download it in super high quality at PrisonPlanet.tv.
[00:07:55.849 --> 00:07:57.429]  The Obama Deception.
[00:07:57.429 --> 00:08:04.591]  The people strike back.
[00:08:04.591 --> 00:08:05.771]  Let's go to the heart of the matter.
[00:08:06.161 --> 00:08:11.103]  Life Change Tea has had some commercials that are not appealing to those who live in denial.
[00:08:11.103 --> 00:08:17.326]  Maybe we are to believe there are no parasites in the world, and that having a clogged colon is good for you.
[00:08:17.326 --> 00:08:19.987]  That being overweight is absolutely healthy.
[00:08:19.987 --> 00:08:22.949]  That there are no unhealthy chemicals in the air.
[00:08:22.949 --> 00:08:26.630]  And last but not least, fluoride in your water is good for you.
[00:08:26.630 --> 00:08:26.690]  Not.
[00:08:28.522 --> 00:08:33.303]  Get the T. Change your body and life from unhealthy to healthy.
[00:08:33.303 --> 00:08:35.664]  Order online at GetTheT.com.
[00:08:35.664 --> 00:08:37.904]  That's GetTheT.com.
[00:08:37.904 --> 00:08:38.865]  Or you can call us at 928-308-0408.
[00:08:38.865 --> 00:08:39.205]  That's 928-308-0408.
[00:08:39.205 --> 00:08:40.425]  Or order online at GetTheT.com.
[00:08:40.425 --> 00:08:41.385]  That's GetTheT.com.
[00:08:41.385 --> 00:08:43.626]  Life Change T. The T that changes how you feel.
[00:09:00.918 --> 00:09:03.681]  He's the T-Rex of political talk.
[00:09:03.681 --> 00:09:06.464]  Alex Jones on the GCN Radio Network.
[00:09:24.742 --> 00:09:39.643]  I know that the private banking group that has hijacked this nation and almost every other country in the world is going to stage huge terror attacks on a planetary scale in Europe, in the Middle East, in Israel, in the United States, in North America, in Asia.
[00:09:41.755 --> 00:09:58.943]  When enough pieces of information converge together, understanding the enemy's past, human history, their operations, their goals, the pathology they follow of problem, reaction, solution, create the crisis, hype up fear, the public says, what are they going to do about it?
[00:09:58.943 --> 00:10:04.746]  And they say, okay, we have a solution, which is more power, more control for the elite, more tyranny.
[00:10:06.260 --> 00:10:07.241]  And it's very simple.
[00:10:07.241 --> 00:10:11.484]  The New World Order, I've analyzed it from every angle.
[00:10:11.484 --> 00:10:16.228]  I've analyzed every facet of it.
[00:10:16.228 --> 00:10:21.293]  They are not going to be able to get away with getting the New World Order off the ground.
[00:10:21.293 --> 00:10:32.942]  There is no way that they are going to be able to set up this open world government, openly ruled by a private banking cartel, that taxes and regulates every facet of our lives without
[00:10:34.008 --> 00:10:39.233]  Staging terror or a huge war.
[00:10:39.233 --> 00:10:40.855]  Period.
[00:10:40.855 --> 00:10:44.078]  And again, thousands of pieces of data and research going on.
[00:10:44.078 --> 00:10:45.700]  People ask me, well how do you know this?
[00:10:45.700 --> 00:10:49.724]  How do you understand this?
[00:10:49.724 --> 00:10:52.567]  You just have to have your head in the game 15, 16, 17, 18 hours a day studying the enemy
[00:10:57.301 --> 00:11:11.768]  to be able to understand the basics, or many of you that have been listening to the show for many years, or who have worked in government, or who are historians in your own right, who have been doing some of the same research, you understand why.
[00:11:11.768 --> 00:11:20.693]  And, you know, I can oversimplify all of it, but there's just so many nuances that add into the total.
[00:11:20.693 --> 00:11:24.114]  But it's very simple.
[00:11:24.114 --> 00:11:25.055]  The globalist
[00:11:26.514 --> 00:11:45.549]  Even with the most ignorant, dumbed down, unfocused people, you know, that are watching American Idol, the globalists know that the people are aware of the fact that it's the private banks and the private banking cartels that have engineered the economic crises.
[00:11:45.549 --> 00:11:47.770]  They know that.
[00:11:47.770 --> 00:11:48.691]  They understand that.
[00:11:55.990 --> 00:12:10.057]  And so how are they going to pose as our saviors and set up this open world government system and get the people to go along with it?
[00:12:10.057 --> 00:12:12.398]  You see, one crisis won't work.
[00:12:12.398 --> 00:12:23.084]  They can't just engineer the financial collapse and then honcho the whole thing and as things get worse and worse, because that's their plan, their stated plan, have the public go along with it.
[00:12:23.084 --> 00:12:24.684]  They can get the power.
[00:12:24.684 --> 00:12:25.505]  They've got the power.
[00:12:27.076 --> 00:12:30.858]  But how are they going to sell the public on doing it?
[00:12:30.858 --> 00:12:37.742]  Well, they're going to let the economy get worse and worse and worse, and then every month say, give us even more power and we can fix it.
[00:12:37.742 --> 00:12:39.463]  And the public says, no, you're criminals.
[00:12:39.463 --> 00:12:43.246]  And they say, okay, the economy just got worse.
[00:12:43.246 --> 00:12:49.850]  700 and something thousand people lost their job in March.
[00:12:49.850 --> 00:12:55.653]  And then, oh, we know what's good for you, even though in the polls 98% of you don't want this, we're going to go ahead and do it.
[00:12:55.653 --> 00:12:56.594]  And then things get worse.
[00:12:59.005 --> 00:13:02.208]  But you have to understand, from their perspective, things are getting better.
[00:13:02.208 --> 00:13:10.955]  Consolidation of power, vertical integration of wealth, surveillance and control of society.
[00:13:10.955 --> 00:13:18.462]  And the New World Order, again, has written hundreds of books and white papers bragging the head of the CFR in 92 for the Club of Rome
[00:13:20.089 --> 00:13:39.174]  As one of their officers writes, as one of their corporate officers writes a huge white paper, republished last year by the Council on Foreign Relations, stating, we use staged fake terror as one of the pincers to enslave the public and bring in world government, and we use phony environmentalism and carbon tax as the other pincer.
[00:13:40.365 --> 00:13:41.386]  A pincer.
[00:13:41.386 --> 00:13:42.727]  You know those big beetles?
[00:13:42.727 --> 00:13:43.928]  The pincer beetle?
[00:13:43.928 --> 00:13:47.130]  Has the big jaws and goes and grabs a bug it's going to eat?
[00:13:47.130 --> 00:13:49.352]  That's what a pincer attack is.
[00:13:49.352 --> 00:13:51.173]  It's where they grab you.
[00:13:51.173 --> 00:14:00.260]  If you run up and grab somebody with both your arms and tackle them, roll them up in a tackle and slam them down on the ground, that's a pincer attack.
[00:14:00.260 --> 00:14:06.725]  So they got the phony war on terror as one arm, and they got their phony environmental land grabbing and the rest of it as the other.
[00:14:08.476 --> 00:14:13.579]  And you bring those two things together, you've got total control over society.
[00:14:13.579 --> 00:14:19.803]  And they're brainwashing the children to spy on their parents, and brainwashing the children that taking a shower is bad, or taking a bath is bad.
[00:14:19.803 --> 00:14:27.788]  I mean, it's in the New York Times, where it shows kids bossing their parents around, and the parents are saying, thank God my kids bossed me around, oh, they're so environmentally sensitive.
[00:14:27.788 --> 00:14:28.068]  No!
[00:14:28.068 --> 00:14:35.052]  That's just a way to get you to acquiesce to having your kids being little secret police thugs right out of the Soviet Union, or in fiction land, 1984.
[00:14:39.321 --> 00:14:41.062]  Let me just try to simplify it.
[00:14:41.062 --> 00:14:48.205]  And it's not that the general audience doesn't get it, or that most of the audience is smarter than I am, because that's a fact.
[00:14:48.205 --> 00:14:59.510]  It's that there's a lot of new listeners every single day, a lot of new stations carrying the show, and I want this message to get through them loud and clear.
[00:14:59.510 --> 00:15:08.775]  The globalists, the private banking cartels that own Europe and the United States and dominate most of the planet, outside of the West, are stalling.
[00:15:09.892 --> 00:15:12.753]  They're in the mud, up to their axles.
[00:15:12.753 --> 00:15:14.714]  Europe is in rebellion.
[00:15:14.714 --> 00:15:18.216]  The original 15 members of the European Union all want out.
[00:15:18.216 --> 00:15:26.600]  The few countries where they've somehow gotten a vote, it's been widely rejected.
[00:15:26.600 --> 00:15:30.162]  France, and most recently Ireland and a few other nations.
[00:15:30.162 --> 00:15:38.886]  When they had a 50th anniversary for the Euro march, I keep talking about this because it's so key, I watched it on foreign television on satellite,
[00:15:40.746 --> 00:15:49.937]  Literally no one came out for EU-funded, multi-million dollar parades in every capital.
[00:15:49.937 --> 00:15:57.906]  It was the jugglers and the floats and the ballerinas and then police lining, cordons, and no one was there.
[00:15:57.906 --> 00:15:58.347]  No one.
[00:16:01.618 --> 00:16:15.027]  Now, how are you going to sell a system where everybody hates it, nobody likes it, you're not allowed to vote, you're not allowed to have your sovereignty?
[00:16:15.027 --> 00:16:15.987]  How are you going to get away with that?
[00:16:15.987 --> 00:16:17.909]  How are you going to get away with the North American Union?
[00:16:17.909 --> 00:16:23.232]  You know, again, they claim they founded the European Union nine years ago.
[00:16:23.232 --> 00:16:27.215]  That was the public launch of it, but they had the 50th anniversary two years ago.
[00:16:27.215 --> 00:16:27.475]  From 57 to 2007.
[00:16:31.715 --> 00:16:38.300]  The European Union was set up, the treaties were signed, the agreements were done in 1957, the Treaty of Rome.
[00:16:38.300 --> 00:16:46.727]  You can go read the thousand page thing if you want.
[00:16:46.727 --> 00:16:48.328]  Think about that.
[00:16:48.328 --> 00:16:48.989]  It's the same thing.
[00:16:48.989 --> 00:16:56.855]  We've been in the North American Union since, what, March 24th, 25th when they signed it at Baylor University in Waco, Texas.
[00:16:56.855 --> 00:16:57.996]  Vicente Fox and
[00:16:59.172 --> 00:17:03.914]  Paul Martin and George W. Bush.
[00:17:03.914 --> 00:17:06.375]  We even got the agreements, got the documents.
[00:17:06.375 --> 00:17:09.656]  And the first thing it says is, keep it secret from the public.
[00:17:09.656 --> 00:17:14.638]  I mean, these are treasonous traitors, destroying our country, ending it!
[00:17:14.638 --> 00:17:16.699]  We are in the North American Union!
[00:17:19.502 --> 00:17:34.886]  And I've got to watch jackasses on CNN and Fox tell me I'm a kook and I'm making it up when I have the official, stamped, release-through-foyer lawsuits documents.
[00:17:34.886 --> 00:17:35.826]  And I said I'd simplify it.
[00:17:35.826 --> 00:17:38.086]  I don't want to go to your calls and cover a ton of important news.
[00:17:38.086 --> 00:17:42.367]  It's just... That's only one facet of it.
[00:17:42.367 --> 00:17:48.509]  How are they going to force everybody into this when they don't want it?
[00:17:49.557 --> 00:17:53.100]  How are they going to force an attack on Iran when nobody wants it?
[00:17:53.100 --> 00:18:11.856]  How are the New World Order criminals going to get the American people to go along with basically having their taxes massively increased at every level via the income tax, only one area, with the public gutting of the Internal Revenue Code and all of the write-offs?
[00:18:11.856 --> 00:18:16.720]  Education, housing, capital improvements, I mean, it's all over!
[00:18:20.944 --> 00:18:23.385]  If he's able to do this.
[00:18:23.385 --> 00:18:40.213]  The OECD, who's running the G20 meeting right now, that's the big corporation that set up the bankruptcy of Europe after World War II, you know it as the Marshall Plan, but it's really the OECD, private corporation, a receivership arm, is saying the U.S.
[00:18:40.213 --> 00:18:42.414]  and Europe is going into receivership.
[00:18:42.414 --> 00:18:44.475]  To the very bankers that were bailing out,
[00:18:45.811 --> 00:18:47.151]  Because you're not bailing them out.
[00:18:47.151 --> 00:18:48.372]  They shut off the currency.
[00:18:48.372 --> 00:18:49.652]  They shut off the credit.
[00:18:49.652 --> 00:18:50.892]  Everything shuts down.
[00:18:50.892 --> 00:18:54.694]  And they say, okay, give us $12.8 trillion of U.S.
[00:18:54.694 --> 00:18:55.314]  money alone.
[00:18:55.314 --> 00:18:58.675]  It's over $10 trillion in Europe and the rest of the world, all the money they've given.
[00:18:58.675 --> 00:19:01.756]  So that's $20-something trillion right now.
[00:19:01.756 --> 00:19:02.916]  And that's in six months!
[00:19:04.468 --> 00:19:12.877]  Bloomberg yesterday, $12.8 trillion, $200 billion short of the gross domestic product of the United States.
[00:19:12.877 --> 00:19:14.519]  I mean, they are going for broke.
[00:19:14.519 --> 00:19:17.582]  They are bankrupting and looting everything.
[00:19:17.582 --> 00:19:19.064]  And they know they're going for broke.
[00:19:19.064 --> 00:19:20.746]  They know it's unpopular what they're doing.
[00:19:20.746 --> 00:19:22.628]  They know it's criminal what they're doing.
[00:19:22.628 --> 00:19:25.431]  They know it is the biggest heist in human history.
[00:19:28.550 --> 00:19:30.891]  And that's why you got NORTHCOM standing by with the troops.
[00:19:30.891 --> 00:19:38.333]  That's why they're openly announcing martial law is a good thing on the news everywhere and pushing it in movies and sitcoms and dramas and fiction and non-fiction.
[00:19:38.333 --> 00:19:40.554]  That's why they're militarizing police.
[00:19:40.554 --> 00:19:46.055]  That's why they're increasing the number of police every year by hundreds of thousands and millions total in the last decade.
[00:19:46.055 --> 00:19:47.456]  That's why all this is happening.
[00:19:47.456 --> 00:19:48.616]  They're building more prisons.
[00:19:50.148 --> 00:19:53.652]  Because they are conquering this country.
[00:19:53.652 --> 00:20:08.127]  And when the bankers conquered the former Tsarist Russia with their hired thugs, the Bolsheviks, openly funded by the Bank of England and the Federal Reserve, publicly, that's mainline history, they killed 40-something million people just during the takeover.
[00:20:10.540 --> 00:20:12.782]  So let me explain something to you, folks.
[00:20:12.782 --> 00:20:15.184]  They are going for broke.
[00:20:15.184 --> 00:20:16.345]  Point of no return.
[00:20:16.345 --> 00:20:17.767]  They've dropped the hammer.
[00:20:17.767 --> 00:20:18.327]  Okay?
[00:20:18.327 --> 00:20:20.169]  There's no going back in this.
[00:20:20.169 --> 00:20:21.410]  The fight is on.
[00:20:21.410 --> 00:20:27.696]  And I just want that to be clear for everybody out there.
[00:20:27.696 --> 00:20:31.960]  They are going all out, 110% against humanity.
[00:20:31.960 --> 00:20:35.143]  It is worse than I can even articulate or explain here on air.
[00:20:36.513 --> 00:20:45.058]  So when we get back, I'm going to break down why they have to stage a terror attack and or a giant war.
[00:20:45.058 --> 00:20:48.820]  Now they could wild card a bio attack in there and claim it was naturally occurring.
[00:20:48.820 --> 00:20:53.303]  They'll probably blame it on some guy with a beard in a cave somewhere.
[00:20:53.303 --> 00:20:55.664]  So we're going to break down the future.
[00:20:55.664 --> 00:20:58.226]  I'm projecting the lines into the future.
[00:20:58.226 --> 00:20:59.967]  We will tell you what's coming when we get back.
[00:21:01.840 --> 00:21:07.362]  With our economy spiraling out of control, living in the soup kitchens may be right around the corner.
[00:21:07.362 --> 00:21:10.363]  No one saw the financial collapse of 1929.
[00:21:10.363 --> 00:21:15.964]  Many didn't make it, and millions ended up in soup lines, becoming vagrants, begging for food.
[00:21:15.964 --> 00:21:20.246]  Unlike 1929, we can see this collapse coming.
[00:21:20.246 --> 00:21:21.526]  We have been warned.
[00:21:21.526 --> 00:21:27.668]  And right now, we have a very small window of opportunity to get food storage into our homes before it's too late.
[00:21:28.547 --> 00:21:31.728]  Why is the Canadian government telling their citizens to stock up?
[00:21:31.728 --> 00:21:32.168]  Why?
[00:21:32.168 --> 00:21:36.169]  And why are soldiers calling home telling their families to get food storage?
[00:21:36.169 --> 00:21:37.730]  Supplies are running low.
[00:21:37.730 --> 00:21:44.212]  Having food storage today may be just as important to your family's survival as boarding the Ark was in the days of Noah.
[00:21:44.212 --> 00:21:48.133]  Order right now and receive free shipping on all one-year supplies.
[00:21:48.133 --> 00:21:50.593]  Go to yourfoodstorage.com.
[00:21:50.593 --> 00:21:52.374]  That's yourfoodstorage.com.
[00:21:52.374 --> 00:21:53.134]  Or call 877-482-FOOD.
[00:21:56.075 --> 00:22:02.118]  That's 877-482-FOOD today!
[00:22:02.118 --> 00:22:04.459]  Are you wondering about your retirement portfolio?
[00:22:04.459 --> 00:22:10.701]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:22:10.701 --> 00:22:14.843]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:22:14.843 --> 00:22:21.666]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:22:22.006 --> 00:22:27.909]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:22:27.909 --> 00:22:34.512]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:22:38.815 --> 00:22:42.536]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:23:06.718 --> 00:23:14.283]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:23:14.283 --> 00:23:20.868]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:20.868 --> 00:23:22.849]  Well, Obama's already fudging.
[00:23:22.849 --> 00:23:25.351]  He's fudged since day one in this election.
[00:23:25.351 --> 00:23:36.299]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:23:36.923 --> 00:23:38.584]  It's not about left or right.
[00:23:38.584 --> 00:23:40.445]  It's about a one world government.
[00:23:40.445 --> 00:23:47.369]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:23:47.369 --> 00:23:55.613]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:23:55.613 --> 00:23:57.194]  The Obama Deception.
[00:23:57.194 --> 00:23:58.395]  The people strike back.
[00:24:00.287 --> 00:24:01.588]  Hi, this is Alex Jones.
[00:24:01.588 --> 00:24:07.171]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:24:07.171 --> 00:24:12.195]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:24:12.195 --> 00:24:17.778]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:24:17.778 --> 00:24:23.002]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:24:23.002 --> 00:24:24.863]  They call it a survival seed bank.
[00:24:25.290 --> 00:24:30.093]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:24:30.093 --> 00:24:31.214]  And here's the best part.
[00:24:31.214 --> 00:24:34.296]  These seeds have not been genetically modified in any way.
[00:24:34.296 --> 00:24:37.919]  And you actually get enough seeds to plant a full acre crisis garden.
[00:24:37.919 --> 00:24:41.101]  So visit them today at survivalseedbank.com.
[00:24:41.101 --> 00:24:43.323]  That's survivalseedbank.com.
[00:24:43.323 --> 00:24:44.263]  Or give them a call at 877-327-0365.
[00:24:44.263 --> 00:24:44.463]  That's 877-327-0365.
[00:24:44.463 --> 00:24:45.584]  Remember, in a real crisis,
[00:24:54.403 --> 00:24:56.944]  Non-hybrid seeds are the ultimate barter item.
[00:24:56.944 --> 00:25:05.088]  This is Alex Jones for SurvivalSeedBank.com.
[00:25:05.088 --> 00:25:08.770]  From Nazareth they came.
[00:25:08.770 --> 00:25:12.892]  They railed against the crown.
[00:25:12.892 --> 00:25:16.233]  Another ragtag band.
[00:25:16.233 --> 00:25:18.654]  Declaring independence.
[00:25:22.501 --> 00:25:26.205]  I'm gonna get Steve Voss on this show.
[00:25:26.205 --> 00:25:28.427]  What an amazing artist.
[00:25:28.427 --> 00:25:30.029]  Thanks to the Renegades.
[00:25:30.029 --> 00:25:30.589]  We're free today!
[00:25:30.589 --> 00:25:31.470]  We're free today.
[00:25:31.470 --> 00:25:31.810]  Thank God!
[00:25:56.067 --> 00:26:03.910]  If it wasn't for all those fighting tyranny, Lord knows where.
[00:26:03.910 --> 00:26:08.831]  When it comes to heroes, renegades are mine.
[00:26:08.831 --> 00:26:12.292]  Now, your calls are coming up.
[00:26:12.292 --> 00:26:15.213]  We got Brendan in New Jersey saying troops outside Burger King.
[00:26:15.213 --> 00:26:16.994]  Yeah, they're just making their presence known everywhere.
[00:26:16.994 --> 00:26:21.215]  DWI checkpoints, mass shootings, everything just to condition you.
[00:26:21.215 --> 00:26:23.836]  That's coming up in your calls.
[00:26:23.836 --> 00:26:25.277]  And a ton of important news today.
[00:26:26.752 --> 00:26:28.973]  Look, it's very simple.
[00:26:28.973 --> 00:26:31.115]  Everything the Globalist is doing is unpopular.
[00:26:31.115 --> 00:26:40.240]  It's designed to implode the economy, to make you dependent on the system, so they can then force one-child policies on you, constrict the economy because we're, quote, producing too much.
[00:26:40.240 --> 00:26:49.445]  This is what the Club of Rome, UN, all of them have bragged about for years, how they would engineer this crisis to bankrupt the middle class so no one can resist the elite.
[00:26:49.445 --> 00:26:52.027]  They use poverty as a tool of control.
[00:26:52.907 --> 00:26:57.250]  And then every time you try to resist or protest, they hire provocateurs.
