[00:00.000 --> 00:13.160]  You're listening to the Alex Jones show
[06:49.400 --> 06:54.520]  In syria at least 52 times u n report says new york times
[06:54.520 --> 07:03.720]  Now remember they're telling you unanimously on cnn and fox news that Assad used chemicals with no proof
[07:05.480 --> 07:09.080]  Now this is just out today by zero hedge linking to the website
[07:10.360 --> 07:14.280]  Of the opc w the western u.s european backed
[07:15.080 --> 07:17.320]  prohibition of chemical weapons organization
[07:18.680 --> 07:20.680]  The organization of prohibition of chemical weapons
[07:20.680 --> 07:24.920]  They said that they were blocked by rebel shooting at them not the russians that invited them in
[07:25.720 --> 07:31.400]  And that they are correlating data to see who launched the chemical attack and in previous reports just like the u n
[07:32.200 --> 07:35.240]  They have said that it was the rebels launching the chemical attacks not Assad
[07:35.800 --> 07:40.840]  Yeah, you can look at motive Assad's one the russians are pulling out the u.s. Is pulling out. Why would you?
[07:41.560 --> 07:43.560]  nerve gas 50 civilians
[07:45.320 --> 07:46.920]  It's amazing
[07:46.920 --> 07:51.400]  So we're gonna look at that noon as says dnc lawsuit is a scam
[07:52.040 --> 07:56.600]  Just like all these lawsuits, but they've still got to be fought, but they're total frauds on their face
[07:58.280 --> 08:04.760]  Oh and meanwhile germany's largest public tv news broadcaster says syria chemical attack most likely staged
[08:05.240 --> 08:06.520]  after they went
[08:06.520 --> 08:10.360]  To duma and also interviewed experts on the ground in syria
[08:10.360 --> 08:18.280]  And of course we have videos of people in the hospital that day saying no they came and grabbed us said you want free food
[08:18.520 --> 08:25.080]  We're gonna dump water on your head and interview kids that are on tv supposedly dead days later without the makeup on without the green makeup
[08:25.560 --> 08:31.720]  Saying no no they gave me they gave me candy bars. They gave me dates. They gave me food and said I had to be part of this
[08:31.720 --> 08:39.640]  So there you go ladies and gentlemen that is huge on that front. We're gonna be breaking that down that the whole
[08:41.160 --> 08:46.040]  Latest syria chemical attack is going like all the others to be proven to be staged
[08:47.560 --> 08:52.360]  Just like history shows just like motive shows just like fact show
[08:53.080 --> 08:59.240]  But meanwhile isis threatens satanic singing in the federal reserve universal studios
[08:59.240 --> 09:01.240]  And nasa
[09:02.600 --> 09:07.160]  So now when there's attacks you see on hollywood and the rest of it. Oh see
[09:08.040 --> 09:10.840]  hollywood are good guys people always ask why don't the terrorists
[09:11.320 --> 09:15.320]  Why don't they always target some random federal building or always target some christian church?
[09:15.320 --> 09:17.320]  Why don't they ever target the federal reserve or un?
[09:18.200 --> 09:21.160]  Well now we've got big colored photos put out by
[09:21.160 --> 09:31.720]  But put up by isis showing them shooting at cnn even though cnn backed the arab spring
[09:32.200 --> 09:36.040]  They backed the isis attacks. They they've backed the whole takeover
[09:36.680 --> 09:43.640]  Obama backed isis invading and stood down and funded them hillary did but now you see they're fighting them for tv viewers
[09:43.640 --> 09:47.240]  Let's do a document cam shot and I can show folks the entire shot. There it is
[09:47.240 --> 09:52.600]  With a so-called isis fighter with a heavy machine gun shooting at the federal reserve
[09:54.120 --> 09:58.120]  And cnn so now you see them lining up the false flags
[09:59.000 --> 10:05.480]  Against those groups to make them victims just like the feds bombed oklahoma city in 1995
[10:05.480 --> 10:08.840]  I've interviewed the witnesses the police officers everybody involved
[10:09.160 --> 10:11.960]  We know exactly how they did it and I stand by that
[10:11.960 --> 10:17.960]  But the media never challenges me on saying Oklahoma City was a false flag because they know they know who was involved
[10:18.280 --> 10:21.320]  They know who covered it up. They know exactly what happened
[10:22.040 --> 10:24.040]  So we've got that information
[10:26.600 --> 10:34.040]  Continuing worried about facebook having too much data about you google has enough to make seven foot
[10:34.680 --> 10:37.720]  Nine inch pile of paper every two weeks
[10:38.280 --> 10:40.680]  Which they then sell to the highest bidder
[10:40.680 --> 10:43.480]  Their main job is data mining
[10:44.920 --> 10:48.200]  And by the media the mainstream legacy corporate media
[10:49.240 --> 10:52.200]  By the dinosaur media focusing foolishly
[10:53.640 --> 10:55.240]  on
[10:55.240 --> 10:57.240]  Cambridge Analytica and its primitive
[10:57.800 --> 11:03.800]  Data mining just for names of conservatives to mail them letters to get them mobilized from public data mining
[11:05.160 --> 11:07.160]  The internal data mining of google
[11:07.160 --> 11:13.640]  Facebook twitter and down the line in some cases is estimated to dwarf the nsa and they
[11:14.200 --> 11:16.200]  Sell it to whoever wants it
[11:18.040 --> 11:20.760]  Isn't that just darling isn't that just sweet?
[11:22.760 --> 11:26.520]  And now it's all coming out
[11:28.120 --> 11:30.120]  For the world and everybody else
[11:31.080 --> 11:33.960]  To see I kind of like how you put the documents behind me. That's what the
[11:33.960 --> 11:40.840]  Video walls for that whenever you want just to the crew in there getting radio listeners are getting the kind of one-dimensional thing
[11:40.840 --> 11:44.760]  That's kind of more relaxing. You get to just hear the info kind of imagine it for yourself
[11:44.840 --> 11:49.160]  But if you go to info wars.com ports last show or different tv stations around the country
[11:49.400 --> 11:54.760]  You can actually see what we're talking about here on there not just believe that I'm saying it because
[11:55.320 --> 12:01.000]  I've claimed 20 years ago on radio that I had a news article saying something and people wouldn't believe me
[12:01.000 --> 12:08.360]  But nowadays well, they can all get forced to face it for themselves
[12:09.560 --> 12:13.560]  Which again really really really upsets them now. Let's move on to this piece of news
[12:14.440 --> 12:18.600]  This is the headline from the conservative tribune. I saw this on info wars.com
[12:20.360 --> 12:24.360]  And I said to myself, this is so incredible. I got to check this for myself
[12:24.360 --> 12:28.360]  This is so incredible. I got to check this for myself
[12:29.800 --> 12:31.800]  And sure enough
[12:33.880 --> 12:35.880]  Ladies and gentlemen, it was true
[12:37.640 --> 12:39.640]  It was true
[12:40.040 --> 12:41.640]  I went to
[12:41.640 --> 12:47.640]  Where they linked to in the article that's linked on info wars.com and I got the western journal
[12:47.640 --> 12:55.880]  And then it linked through to the la times assembly bill 2943 with a straight
[12:56.840 --> 12:58.840]  face
[13:01.080 --> 13:02.440]  It says
[13:02.440 --> 13:07.320]  Well, you know, we've banned using the word he or she or mother or father from government documents
[13:07.480 --> 13:11.880]  Because it might hurt someone if they have a mother or father or didn't have a mother or father
[13:11.880 --> 13:19.000]  There aren't a he or a she's got to use these weird new new science fictions sounding pronouns gz
[13:19.560 --> 13:21.560]  All the stuff that sounds like chinese
[13:22.520 --> 13:26.280]  Well, now they're saying any books that say mean things about
[13:27.160 --> 13:30.120]  Alternative lifestyles that are the now the dominant lifestyles, I guess
[13:31.160 --> 13:39.000]  Are gonna be banned just like canada's arrested hundreds of preachers that repasses out of the bible, uh, you know speaking out against homosexuality
[13:39.000 --> 13:41.000]  So again
[13:41.240 --> 13:47.240]  Islam can do it all day, but if christians do they're going to get arrested when you think about the censorship and outright banning of books and opinions
[13:47.560 --> 13:50.760]  Do you imagine the united states of america or more likely those the kind of
[13:51.480 --> 13:56.600]  Suppression strikes you as the tactics of communists or fascists that america has frequently fought against
[13:57.720 --> 14:00.280]  If a liberal lawmaker in california gets their way
[14:00.760 --> 14:05.960]  The west coast state may be one step closer and it's always like one person, but then a few years later, it's law
[14:05.960 --> 14:11.720]  One step closer to being unrecognizable as part of the united states a bill currently pending
[14:12.120 --> 14:18.120]  In the legislature would essentially ban the sale of books that include traditional christian views on marriage and sexuality
[14:18.440 --> 14:21.800]  And I've looked at the bill shockingly the proposed law would be
[14:22.680 --> 14:27.960]  Strude to make it illegal to sell bibles since they include verses that far left finds
[14:28.600 --> 14:31.560]  Unacceptable. Let's look at the actual text of the bill
[14:32.520 --> 14:34.520]  assembly bill
[14:34.520 --> 14:42.520]  Assembly bill 2943 would make it an unlawful business practice to engage in a transaction intended to result
[14:43.000 --> 14:50.280]  Or the results in the sale that leads to goods or services to a consumer that advertises offers or engages in or do engage in
[14:50.680 --> 14:52.280]  sexual orientation
[14:52.280 --> 14:53.800]  change efforts
[14:53.800 --> 14:55.480]  with an individual
[14:55.480 --> 14:57.480]  explained the national review
[14:58.600 --> 15:00.600]  And it goes into how that what that
[15:00.600 --> 15:03.720]  What language means but but let's explain this
[15:05.400 --> 15:08.200]  It's just like all the lawsuits going on
[15:09.480 --> 15:11.480]  in the country because
[15:11.720 --> 15:13.720]  a hotel won't let
[15:13.960 --> 15:15.720]  people have a
[15:15.720 --> 15:17.160]  Gay orgy
[15:17.160 --> 15:21.320]  Now the very same hotel won't let there be a heterosexual orgy too. They find out
[15:21.320 --> 15:26.280]  There's swinger parties going on the 10th floor every saturday night. You see that the news all time. It's banned
[15:26.280 --> 15:31.720]  But when there's a gay orgy, oh, you got to keep it or you don't bake a gay couple's cake five hundred thousand dollars
[15:32.040 --> 15:34.440]  But if you're a christian or conservative, you can be banned off the web
[15:34.440 --> 15:40.040]  That's what this is and it deals with literature and that if oh somebody sold literature
[15:40.040 --> 15:42.040]  Well, the lawyers just buy the literature
[15:42.280 --> 15:46.280]  Then they follow suit on you under the law and take you before a judge and a jury
[15:46.280 --> 15:50.120]  That's how they want to ban the bible and the sale of the bible in california
[15:50.120 --> 15:55.000]  It's already happening in europe when we come back ladies and gentlemen get ready for the next piece
[15:55.000 --> 15:57.000]  of news
[15:57.000 --> 15:59.000]  vitamin mineral fusion
[15:59.000 --> 16:01.000]  Visit m4slife.com to secure your chemistry
[16:01.000 --> 16:09.000]  We have worked for years with our chemists and scientists to create the most powerful and affordable great tasting multivitamin formula available
[16:09.000 --> 16:19.000]  Vitamin mineral fusion drink mix at m4slife.com is loaded with a full month supply of essential vitamins minerals and amino acids that your body absolutely needs
[16:19.000 --> 16:21.000]  In the history of m4s life
[16:21.000 --> 16:25.000]  We've brought out a lot of amazing products like survival shield x2
[16:25.000 --> 16:31.000]  Super mail vitality and so many others with its unique delivery system and proprietary manufacturing process
[16:31.000 --> 16:33.000]  Designed for maximized effects
[16:33.000 --> 16:39.000]  This formula is the platinum standard of multivitamin mineral products and this part is most important
[16:39.000 --> 16:47.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard
[16:47.000 --> 16:53.000]  That means it's clean that means it's pure and red secured you're finding the tip of the spear in the info war
[16:53.000 --> 16:57.000]  That's infowarslife.com and vitamin mineral fusion take action now before we sell out
[16:57.000 --> 17:01.000]  They use their media to assassinate real news
[17:01.000 --> 17:05.000]  They use their schools to teach children that their president is another hitler
[17:05.000 --> 17:13.000]  They use their movie stars and singers and comedy shows and award shows to repeat their narrative over and over again
[17:13.000 --> 17:19.000]  They use their ex-president to endorse the resistance all to make them march make them protest
[17:19.000 --> 17:28.000]  Make them scream racism and sexism and xenophobia and homophobia to smash windows burn cars shut down interstates and airports
[17:28.000 --> 17:36.000]  Bullying terrorize the law abiding until the only option left is for the police to do their jobs and stop the madness
[17:36.000 --> 17:40.000]  And when that happens they'll use it as an excuse for their outrage
[17:40.000 --> 17:51.000]  The only way we stop this the only way we save our country and our freedom is to fight this violence of lies with a clenched fist of truth
[17:51.000 --> 18:11.000]  I'm the National Rifle Association of America and I'm freedom's safest place
[18:21.000 --> 18:27.000]  Perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals
[18:27.000 --> 18:33.000]  Woo that's what I'm talking about and when compared to traditional methods of preservation like canning or dehydrating
[18:33.000 --> 18:37.000]  You know like what you get at the grocery store there is no comparison
[18:37.000 --> 18:47.000]  Harvest right freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years
[18:47.000 --> 18:51.000]  Now that's what I call the miracle of food preservation
[18:51.000 --> 18:55.000]  Harvest right is truly the world's best most affordable freeze dryer
[18:55.000 --> 19:18.000]  Check it out right now at InfoWarsStore.com
[19:18.000 --> 19:25.000]  I have a noticeable difference I don't feel good the nascent iodine is one of the ones that was life changing for me
[19:25.000 --> 19:31.000]  Yeah I've actually have just run out of my superfemale I had a few bottles at my house and I've been taking it again
[19:31.000 --> 19:40.000]  Hitting the gym once again very exciting feeling great looking good and I know my hair is luxurious once again
[19:40.000 --> 19:43.000]  So obviously the superfemale is amazing I love it
[19:43.000 --> 19:50.000]  Nascent iodine is essential survival shield X2 if there's one product that I would say is life changing that I would suggest
[19:50.000 --> 20:02.000]  It's nascent iodine survival shield X2 it's got a five star rating it's a win-win InfoWarsLive.com
[20:02.000 --> 20:12.000]  You're listening to the Alex Jones show
[20:12.000 --> 20:25.000]  We are on the march the empire is on the run Alex Jones and the GCN Radio Network
[20:25.000 --> 20:33.000]  It's called lying by omission it's how you distort the facts it's how you create false illusions
[20:33.000 --> 20:40.000]  And there's an InfoWars.com article that's dead center right in the middle of the site right now I'm going to cover in a moment
[20:40.000 --> 20:53.000]  OOP pushes gun control in national survey and they gave you choices on the type of gun control you'd like instead of no gun control
[20:53.000 --> 21:01.000]  I guess you could kind of call that a push pull but it's beyond that where you don't have any choice but to basically act like people want gun control
[21:01.000 --> 21:07.000]  There's no pro-second amendment box you can check and that's how this works
[21:07.000 --> 21:13.000]  Now coming up in the last segment of this hour
[21:13.000 --> 21:25.000]  I remember reading in the Baltimore Sun 1617 years ago an article that I couldn't believe was in the mainstream news
[21:25.000 --> 21:38.000]  About the CIA and DARPA admitting a plan to use shell towers and cell phones to broadcast a certain wavelength to put people into a trance state
[21:38.000 --> 21:46.000]  And right around that time I remember hearing Dr. Nick Baggich on coast to coast AM when Art Bell God rest his soul just died last week
[21:46.000 --> 21:57.000]  He was a broadcaster, he'd mixed them with UFOs and funny stuff but I remember Nick Baggich, Dabba was a congressman, brother, senator but later
[21:57.000 --> 22:06.000]  But he was covering patents and the internet was around then I would go look up the patent and see that it was true for cell phones and cell towers
[22:06.000 --> 22:14.000]  With patented tests where they could put you into a trance state, make you more aggressive can basically just influence you
[22:14.000 --> 22:17.000]  They admit solar waves can do it but to a limited extent
[22:17.000 --> 22:25.000]  But cell phones powerfully, well it turns out popular mechanics and others on Friday came out and reported on all this
[22:25.000 --> 22:32.000]  The US government classifies remote mind control using cell towers and cell phones
[22:32.000 --> 22:41.000]  Very, very interesting article, government releases documents, they're now saying accidentally, on psychoelectric weapons
[22:41.000 --> 22:46.000]  Including cell phones, so we're going to get into those documents the last second of the summer
[22:46.000 --> 22:54.000]  And for us here this is old news but that's why they hate info war so much
[22:54.000 --> 23:03.000]  Because this was in the patent office and Dabba admitted they were doing all this earlier
[23:03.000 --> 23:09.000]  How do we focus that bad boy, he used to focus, again if you're on TV I'm directing the show
[23:09.000 --> 23:15.000]  I wonder why I won't do that, getting closer it will, I guess that's the answer, here we go
[23:15.000 --> 23:19.000]  But look at this article from a month ago, I pulled this because it ties into it
[23:19.000 --> 23:30.000]  AI will be billions of times smarter than humans and we need to merge with it says expert at World Government Summit in Dubai
[23:30.000 --> 23:35.000]  Now they've been having world government summits for at least 30 years I know of with world leaders
[23:35.000 --> 23:42.000]  But no one will cover it, my sin, the reason they're trying to destroy me all over the media
[23:42.000 --> 23:50.000]  Misrepresenting what I say and do is because they know I'm covering topics that they want to bring out later
[23:50.000 --> 23:58.000]  Once they've spun it and once it's ubiquitous, once it's already in place, once it can't be challenged or not as easily challenged
[23:58.000 --> 24:06.000]  So they're really really upset, the good news is despite all the disinfo campaigns they're running against me
[24:06.000 --> 24:14.000]  I'm only second to Trump, people come up to me all over the street and they say listen we know mainstream media lies
[24:14.000 --> 24:19.000]  We know it's out of context what they do, we understand, we appreciate you, keep at it
[24:19.000 --> 24:26.000]  Well I'm going to keep at it regardless because I know how bad the globalist are but that really actually takes it from a duty to something that's a pleasure
[24:26.000 --> 24:31.000]  So thank you all for understanding that we are under attack
[24:31.000 --> 24:40.000]  I know we can win the war against the globalist, individually who knows what will happen with us, here at InfoWars down the road
[24:40.000 --> 24:46.000]  But if we lose this fight we lose everything, so I'm going to lose my family, my children, everything
[24:46.000 --> 24:51.000]  I've already tried to take my kids away, you've seen the demonization campaigns, you've seen the media, all of it
[24:51.000 --> 24:57.000]  You've seen the lies but I understand that if we don't get out of here together we don't get out
[24:57.000 --> 25:07.000]  So it's not heroics, I don't say it to be self deprecating, if it was heroics it would be easy because it's just one person could do it or a few people
[25:07.000 --> 25:15.000]  It's a cultural issue and the globalists have got a bunch of yes men and women
[25:15.000 --> 25:20.000]  They've got a bunch of cowards and people that roll over
[25:20.000 --> 25:28.000]  And I'm not going to roll over, so in the last segment of this hour I'm going to get into what they tell you in Hollywood movies like the Kingsman
[25:28.000 --> 25:39.000]  Like they send a wavelength out on the cell phones that first hypnotizes you with the screen wavelength, the flicker rate and a digital feedback
[25:39.000 --> 25:44.000]  And then when they've got you under hypnosis then they can program you to kill each other
[25:44.000 --> 25:50.000]  And that's a metaphor of how cell phones make you more lonely, more depressed, lower your brain waves but also make you more aggressive
[25:50.000 --> 25:56.000]  But now in declassified DARPA documents
[25:56.000 --> 26:03.000]  They talk about data over power lines, they can broadcast from those, they're just big antennas to make you do it
[26:03.000 --> 26:11.000]  So cell phones just kind of dial you in and get you hypnotized so the big transmitters can get you
[26:11.000 --> 26:20.000]  And that's interviewing top scientists, top scientists
[26:20.000 --> 26:23.000]  So that's coming up, since I mentioned this so let me get to it right now
[26:23.000 --> 26:29.000]  GOP pushes gun control in National Survey, infowars.com story
[26:29.000 --> 26:32.000]  This is not how to win a conservative over the sub headline says
[26:32.000 --> 26:37.000]  A National Survey commissioned by the Republican Party asks what issues are most important to Americans
[26:37.000 --> 26:43.000]  And includes two boxes that say gun control and zero boxes that say Second Amendment
[26:43.000 --> 26:50.000]  And that way when they bring back 20-30% as we know conservatives say that oh they want more gun control
[26:50.000 --> 26:54.000]  They don't even say oh but 90% say they don't want it, see how that works?
[26:54.000 --> 26:56.000]  They lie by omission
[26:56.000 --> 27:00.000]  A survey from Pennsylvania's 7th District shows a series of questions asking citizens
[27:00.000 --> 27:08.000]  What the most important issue is for them for President Trump to address including secure our nation's border and address national opioid crisis
[27:08.000 --> 27:11.000]  See they're going to bring this to them, nothing about Second Amendment because it's not there
[27:11.000 --> 27:15.000]  They'll say sir 30% of your constituents want more gun control
[27:15.000 --> 27:18.000]  It's all how the questions ask
[27:18.000 --> 27:23.000]  But the next session asks what issues are most important to you
[27:23.000 --> 27:30.000]  Which includes two gun control tally boxes and zero boxes for the Second Amendment
[27:30.000 --> 27:36.000]  And you can see it right there in the document cam shot for everyone
[27:36.000 --> 27:43.000]  So again ladies and gentlemen this is how dumb they think you are
[27:43.000 --> 27:48.000]  But this is the nature of it, it's kind of like they send these polls out and say
[27:48.000 --> 27:51.000]  Do you support keeping children safe?
[27:51.000 --> 27:53.000]  Like 20 questions
[27:53.000 --> 27:57.000]  You say yes yes yes at the end it says do you support more gun control
[27:57.000 --> 28:01.000]  They'll call it a gun control poll
[28:01.000 --> 28:06.000]  It'll be conducted by a gun control group through a polling agency
[28:06.000 --> 28:11.000]  But because they put one gun control question in there it doesn't matter how they ask
[28:11.000 --> 28:14.000]  The question it doesn't matter how you answered it
[28:14.000 --> 28:17.000]  It's just they call it a gun control poll
[28:17.000 --> 28:22.000]  And so they'll say 95% of people are concerned with children's safety
[28:22.000 --> 28:26.000]  They don't tell you the 20th question or the 19th question was about gun control
[28:26.000 --> 28:29.000]  So the people said well I do care about kids safety, I do care about the education
[28:29.000 --> 28:31.000]  I do care about them not being hurt, I do care
[28:31.000 --> 28:35.000]  Oh here's question 19
[28:35.000 --> 28:39.000]  Do you support restricting the Second Amendment or do you restrict taking high capacity magazines
[28:39.000 --> 28:42.000]  And then 80% say no it doesn't matter
[28:42.000 --> 28:48.000]  Still they can say in a gun control poll 90% agree we should keep kids safer
[28:48.000 --> 28:50.000]  That's all about deception
[28:50.000 --> 28:54.000]  The big question is why are the Republicans sending out this type of crap
[28:54.000 --> 28:58.000]  And the answer is we got Democrat moles
[28:58.000 --> 29:04.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium
[29:04.000 --> 29:09.000]  This powerful combo is perfect for supporting your thyroid and health
[29:09.000 --> 29:16.000]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed
[29:16.000 --> 29:25.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals
[29:25.000 --> 29:29.000]  This essential mineral is necessary in order to produce thyroid hormones
[29:29.000 --> 29:33.000]  Which influence every cell, tissue and organ in the body
[29:33.000 --> 29:40.000]  With adequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog
[29:40.000 --> 29:46.000]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body
[29:46.000 --> 29:50.000]  Take control of your chemistry today with this super combo
[29:50.000 --> 29:59.000]  Discover the power of Survival Shield X2 and Biotru Selenium at InfowarsLife.com
[29:59.000 --> 30:05.000]  If I try to sit here and tell you about the 60 plus products we have in InfowarsLife, it takes hours
[30:05.000 --> 30:11.000]  Michael ZX Plus now has a lower price, it's stronger, it's the other equation in probiotics
[30:11.000 --> 30:15.000]  It knocks out the yeast, the mold, the candida, it's back in stock
[30:15.000 --> 30:18.000]  The real red pill, it's been sold out for months
[30:18.000 --> 30:22.000]  It's got the preglinone that's the precursor to all the natural hormones in your body
[30:22.000 --> 30:25.000]  Then it's got all the minerals and the vitamins, the amino acids
[30:25.000 --> 30:32.000]  So you can upload it, and our latest product that goes great with the super blue colloidal silver and iodine 4-5 toothpaste
[30:32.000 --> 30:37.000]  Is super blue silver immune gargle, that's a spray you do, you can also swallow it
[30:37.000 --> 30:43.000]  It's a supplement with iodine, super high quality silver and a lot more
[30:43.000 --> 30:48.000]  Without you, we couldn't do it, so thank you all for remembering InfowarsStore.com
[30:48.000 --> 30:52.000]  And remembering that it's not just you that's already awake, but it's other people that aren't awake
[30:52.000 --> 30:57.000]  And it's so essential to spread the word. Again, thank you so much for being part of the Second American Revolution
[31:22.000 --> 31:26.000]  From using this myself the last few months, and from seeing my friends and family use it
[31:26.000 --> 31:31.000]  That this new product is going to end up being the number one best selling product at InfowarsLife.com
[31:31.000 --> 31:34.000]  Because it works so well. This is a gift you want to give yourself
[31:34.000 --> 31:40.000]  And the rest assured, you're finding the Infowar, so it's a total absolute sure win, no lose equation
[31:40.000 --> 31:45.000]  Try Alpha Power, exclusively available at InfowarsLife.com for yourself
[31:45.000 --> 31:50.000]  Ladies and gentlemen, it's non-GMO, it's for your brain, it's for sports, it's for activities
[31:50.000 --> 31:54.000]  Made in the USA, get your Alpha Power today at InfowarsLife.com
[31:54.000 --> 32:20.000]  Everybody needs to try Alpha Power today
