[00:00:15.644 --> 00:00:16.994]  Alex Jones
[00:11:02.603 --> 00:11:18.838]  They are all, in many cases, Sunni invaders out of Saudi Arabia and Iraq that came in to take land and take farms and take homes in Syria and murder Christians and murder Shiites and murder other minority groups on record.
[00:11:18.838 --> 00:11:20.740]  And now the Russians have kicked their butts.
[00:11:21.792 --> 00:11:26.636]  And so they're running into Turkey and Turkey is taking them and bringing them into Europe.
[00:11:26.636 --> 00:11:32.480]  They're a member of the EU and then they're flying here to the United States or they're flying to Mexico and walking across the border.
[00:11:32.480 --> 00:11:34.302]  And I have the head of Southcom admitting it.
[00:11:34.302 --> 00:11:35.783]  I have video of that.
[00:11:35.783 --> 00:11:38.525]  I have it all.
[00:11:38.525 --> 00:11:41.067]  But it doesn't matter when our government brings in foreigners.
[00:11:41.067 --> 00:11:43.329]  This woman only been here a few months from Saudi Arabia.
[00:11:44.892 --> 00:11:46.513]  The leader of the attack.
[00:11:46.513 --> 00:11:47.933]  Let's put her on screen.
[00:11:47.933 --> 00:11:52.594]  Let's put, for TV viewers, for radio slash TV, Tashin Malik.
[00:11:52.594 --> 00:11:56.376]  Let's put her up there.
[00:11:56.376 --> 00:12:01.917]  And she came to America and she led the attack and killed 14 people and then threw pipe bombs at police.
[00:12:01.917 --> 00:12:09.540]  And for two and a half days, the controlled corporate media of CNN and MSNBC said, conspiracy theorists says it's Islamic.
[00:12:09.540 --> 00:12:13.681]  Conspiracy theorists say it's, no, you mean people that actually sent reporters to California?
[00:12:14.534 --> 00:12:16.395]  You mean folks that actually did the research?
[00:12:16.395 --> 00:12:33.985]  We were reporting first, the day it happened, that he had a Middle Easterner surname and had been connected to Facebook posts and things pledging allegiance to ISIS.
[00:12:33.985 --> 00:12:37.587]  So think about that, and think about that long and hard.
[00:12:38.595 --> 00:12:43.118]  And then it turns out, I'm not saying it's a total false flag, but let me tell you, it's getting suspicious.
[00:12:43.118 --> 00:12:48.642]  They had an anti-terror shooting drill going on at the exact same time it happened.
[00:12:48.642 --> 00:12:50.563]  That's the Associated Press.
[00:12:50.563 --> 00:12:59.069]  And the guns, a bunch of the guns they got were legally bought through a background check from a private seller, but were police issued.
[00:12:59.069 --> 00:13:01.031]  That is confirmed.
[00:13:01.031 --> 00:13:02.472]  That's been on NBC News as well.
[00:13:03.723 --> 00:13:23.216]  So it looks like everything was done to open the door to let these people do it because common sense is suspended and they'll now blame the Second Amendment and American gun owners in general and blame us when the answer to this type of terrorism is more guns to protect ourselves and that's the head of the Interpol two years ago.
[00:13:23.216 --> 00:13:24.797]  Two years ago.
[00:13:27.110 --> 00:13:37.919]  When there were attacks on Kenyan shopping malls and he said the answer is what Texas does, arm the citizens and you won't have hundreds killed.
[00:13:37.919 --> 00:13:40.301]  So get ready for it.
[00:13:40.301 --> 00:13:50.330]  And get ready for Obama to say our history of compassion says we've got to bring in Wahhabist Sunni invaders that have invaded Libya.
[00:13:50.330 --> 00:13:52.592]  That have invaded Egypt.
[00:13:53.444 --> 00:13:58.325]  that have invaded country after country like Syria and been funded by our government.
[00:13:58.325 --> 00:14:07.047]  The Russians have released the satellite videos and the satellite photos showing the oil being sold to Turkey, our ally.
[00:14:07.047 --> 00:14:15.488]  They've released the evidence that our government isn't really bombing ISIS and is supporting them.
[00:14:15.488 --> 00:14:20.349]  So, this happened Wednesday the 2nd and it took them over two days to admit it was Islamic terror.
[00:14:21.650 --> 00:14:27.195]  Now we've got Liberty University president arming students, or saying students should be armed, and that's the answer.
[00:14:27.195 --> 00:14:28.055]  It is!
[00:14:28.055 --> 00:14:39.885]  Because criminals are going to march into a school, or a Army, Navy, Marine Corps recruiting center, or a military base, or a Garland, Texas,
[00:14:41.158 --> 00:14:43.379]  community center and they're going to attack.
[00:14:43.379 --> 00:14:52.045]  If they're willing to kill people in cold blood and get people on their knees and ask if they're Jewish or Christian and blow their heads off, do you think they're going to follow a gun law?
[00:14:52.045 --> 00:14:54.126]  And obviously they aren't.
[00:14:54.126 --> 00:15:00.690]  But this whole war on the Second Amendment is about the suspension of common sense and the suspension of reality.
[00:15:00.690 --> 00:15:01.811]  It is outrageous.
[00:15:01.811 --> 00:15:03.912]  We're going to go to break.
[00:15:03.912 --> 00:15:04.593]  And when we return,
[00:15:05.666 --> 00:15:18.436]  The White House, the Attorney General have all come out and said the address tonight is going to come after your guns and we're going to play a clip of Rahm Emanuel during the first campaign of Obama in 2007.
[00:15:18.436 --> 00:15:26.662]  Later to become White House Chief of Staff, later to become the Mafia Don of Chicago, the boss.
[00:15:28.539 --> 00:15:32.742]  Saying, we're going to put you on a no-fly list and then we're going to put you on a no-gun-buy list.
[00:15:32.742 --> 00:15:34.744]  No judge, no jury, you can't have one.
[00:15:34.744 --> 00:15:38.047]  But people from Saudi Arabia, we pledge allegiance to ISIS.
[00:15:38.047 --> 00:15:40.629]  You can come here, get welfare, get a government job.
[00:15:40.629 --> 00:15:41.670]  We want you.
[00:15:41.670 --> 00:15:48.455]  And by the way, just so long as you find a Jew or a Christian and get them on their knees and blow their brains out all over a Christmas tree, everything's going to be just fine.
[00:15:48.455 --> 00:15:56.522]  You see our story on that at DrudgeReport.com, how he said that they were hunting down Jews and Christians and said that Islam will rule the world.
[00:15:57.182 --> 00:15:58.122]  Alex Jones here.
[00:15:58.122 --> 00:16:14.785]  InfowarsStore.com is now partnering with the top-of-the-line storable food company, My Patriot Supply, to bring you the highest quality, freshest, longest-lasting, most affordable storable foods, private-labeled, from InfowarsSelect.com, at the lowest price you're gonna find anywhere.
[00:16:14.785 --> 00:16:16.526]  The globalists want us dependent.
[00:16:16.526 --> 00:16:18.126]  We need to be self-sufficient.
[00:16:18.126 --> 00:16:23.287]  And if you don't have high-quality, long-lasting, storable foods, I believe you're making a huge mistake.
[00:16:23.487 --> 00:16:26.170]  My goal is to find the best deals and bring it to you.
[00:16:26.170 --> 00:16:31.394]  Now is the time to take action and to secure your pantry for any emergency.
[00:16:31.394 --> 00:16:35.218]  You can buy all the great MyPatriotSupply products at InfoWarsTore.com.
[00:16:35.218 --> 00:16:38.761]  They're the exact same products inside InfoWarsSelect.com.
[00:16:38.761 --> 00:16:42.525]  Visit InfoWarsSelect.com or InfoWarsTore.com today.
[00:16:42.785 --> 00:16:45.770]  To check out the amazing deals for yourself.
[00:16:45.770 --> 00:16:51.618]  Secure you and your family's needs today at InfoWarsStore.com with InfoWars Select.
[00:16:51.618 --> 00:16:52.960]  That's InfoWarsSelect.com or 888-253-3139.
[00:16:52.960 --> 00:16:53.942]  Clean, pure drinking water.
[00:16:58.809 --> 00:17:00.291]  You can't survive without it.
[00:17:00.291 --> 00:17:01.492]  But where do you get it?
[00:17:01.492 --> 00:17:07.479]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:17:07.479 --> 00:17:13.225]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:17:13.746 --> 00:17:30.263]  Using the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:17:30.643 --> 00:17:33.144]  Filter capacity up to 5,000 gallons.
[00:17:33.144 --> 00:17:34.605]  Stainless steel construction.
[00:17:34.605 --> 00:17:35.646]  Easy assembly.
[00:17:35.646 --> 00:17:36.566]  Low maintenance.
[00:17:36.566 --> 00:17:38.647]  Replacement filters are simple to install.
[00:17:38.647 --> 00:17:45.931]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:17:45.931 --> 00:17:51.134]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:17:51.134 --> 00:17:53.695]  Go to InfowarsStore.com or call 888-253-3139.
[00:17:58.445 --> 00:17:59.446]  I want my candy!
[00:17:59.446 --> 00:18:00.146]  I want my baby again!
[00:18:00.146 --> 00:18:00.707]  Mine!
[00:18:00.707 --> 00:18:01.567]  Mine!
[00:18:01.567 --> 00:18:01.647]  Mine!
[00:18:28.305 --> 00:18:29.165]  That's right.
[00:18:57.935 --> 00:19:01.458]  When cells become toxic, they die early and aging sets in.
[00:19:01.458 --> 00:19:09.704]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:19:09.704 --> 00:19:15.128]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:19:15.128 --> 00:19:17.650]  You want the best that's out there at the lowest price anywhere?
[00:19:17.650 --> 00:19:19.751]  We now have the synergistic solution.
[00:19:19.751 --> 00:19:23.954]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:19:27.825 --> 00:19:28.925]  BrainForce is here.
[00:19:28.925 --> 00:19:31.126]  Ladies and gentlemen, I've been on this the last few months.
[00:19:31.126 --> 00:19:36.128]  You probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[00:19:36.128 --> 00:19:39.409]  There's always hidden additives in your food, even organic food has hidden additives.
[00:19:39.409 --> 00:19:42.890]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:19:42.890 --> 00:19:44.871]  Ultimately, we've all been dumbed down to some degree.
[00:19:44.871 --> 00:19:48.992]  It doesn't have stimulants, it doesn't have garbage in it, it has natural things that do it clean.
[00:19:48.992 --> 00:19:54.574]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:20:01.744 --> 00:20:09.306]  You're listening to the Alex Jones Show.
[00:20:09.306 --> 00:20:20.628]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:20.628 --> 00:20:24.489]  We're going to San Bernardino, California, where our reporters are on the ground.
[00:20:26.058 --> 00:20:36.181]  At the scene of an Islamic Jihad terror attack that the media tried to cover up and have now failed to cover up, another example of how their fraud is coming crashing down.
[00:20:36.181 --> 00:20:47.485]  But first, here is a clip from eight years ago, right before Obama got elected, Rahm Emanuel saying, we're going to just put you on a no-fly list because maybe we think you're a terrorist, and then you can't own a gun.
[00:20:47.485 --> 00:20:50.086]  And the larger plan is to then come confiscate them.
[00:20:50.086 --> 00:20:53.847]  Obama, the Attorney General announced on Meet the Press this morning,
[00:20:54.878 --> 00:20:57.239]  The video's on Infowars.com.
[00:20:57.239 --> 00:21:05.004]  Obama is set to announce this tonight that no judge, no jury, I have no criminal record, you have no criminal record.
[00:21:05.004 --> 00:21:07.065]  Same thing they've been doing to veterans and others.
[00:21:07.065 --> 00:21:11.248]  You just suddenly can't buy a gun and the police come to your house to confiscate them.
[00:21:11.248 --> 00:21:18.112]  They've been beta testing this in New York, Connecticut, California, and other Democratic-run cesspools.
[00:21:18.112 --> 00:21:19.213]  Let's go ahead and go to this clip.
[00:21:20.080 --> 00:21:25.104]  We've got to make this a number one issue, as a test vote, and then take it into the election.
[00:21:25.104 --> 00:21:35.772]  That is, if you are on the no-fly list, because you are known as maybe a possible terrorist, you cannot buy a handgun in America.
[00:21:35.772 --> 00:21:38.074]  Because we put you on the magic list, but let terrorists in.
[00:21:42.077 --> 00:21:50.641]  And I have not won far from liking the mixing of politics and policy, but as my old boss used to say, give me that vote and throw me into that fryer.
[00:21:50.641 --> 00:21:53.242]  That was Mayor Daley, the mob boss?
[00:21:53.242 --> 00:21:54.362]  That's enough from the gangster.
[00:21:54.362 --> 00:21:57.024]  The mafia that wants your guns, they can have their way with you.
[00:21:57.024 --> 00:22:00.125]  Now here's Obama just three days ago, saying the same thing.
[00:22:00.125 --> 00:22:02.086]  I can't believe you're on a terror watch list.
[00:22:03.590 --> 00:22:06.173]  Anybody named John Smith is Obama, and you know it.
[00:22:06.173 --> 00:22:11.720]  Any common name, a bunch of innocent people, they admittedly throw their political enemies on the list.
[00:22:11.720 --> 00:22:14.583]  And so now, this is what they're going to announce.
[00:22:14.583 --> 00:22:19.890]  Plus, banning private sale, which is registration, and so much more.
[00:22:19.890 --> 00:22:20.971]  Get ready, folks.
[00:22:20.971 --> 00:22:21.612]  Here is the clip.
[00:22:22.540 --> 00:22:29.883]  More broadly, this tragedy reminds us of our obligation to do everything in our power together to keep our communities safe.
[00:22:29.883 --> 00:22:37.466]  We know that the killers in San Bernardino used military-style assault weapons, weapons of war, to kill as many people as they could.
[00:22:37.466 --> 00:22:43.989]  It's another tragic reminder that here in America, it's way too easy for dangerous people to get their hands on a gun.
[00:22:45.475 --> 00:22:52.081]  For example, right now people on the no-fly list can walk into a store and buy a gun.
[00:22:52.081 --> 00:22:54.143]  That's insane.
[00:22:54.143 --> 00:22:59.408]  If you're too dangerous to board a plane, you're too dangerous by definition to buy a gun.
[00:22:59.408 --> 00:23:00.890]  This is how dumb he thinks the public is.
[00:23:00.890 --> 00:23:03.392]  So I'm calling on Congress to close this loophole now.
[00:23:03.392 --> 00:23:04.493]  Stop.
[00:23:04.493 --> 00:23:07.956]  He means close the loophole on due process.
[00:23:07.956 --> 00:23:10.559]  Over two million people plus on the secret of no-fly list
[00:23:12.418 --> 00:23:15.080]  They bring in the terrorists, they protect them.
[00:23:15.080 --> 00:23:18.944]  It turns out she used fake names, fake addresses to get her visa.
[00:23:18.944 --> 00:23:20.325]  They didn't care.
[00:23:20.325 --> 00:23:23.148]  So they bring the people in.
[00:23:23.148 --> 00:23:27.932]  They open the southern borders up, but then, oh, we want to put you on a secret magic list.
[00:23:27.932 --> 00:23:30.074]  The loophole is due process in the courts.
[00:23:30.074 --> 00:23:30.735]  He wants to close.
[00:23:32.594 --> 00:23:38.780]  Incredible, and giving them the power to extrajudicially, key term, take your guns.
[00:23:38.780 --> 00:23:44.925]  Joining us is former Army Staff Sergeant Combat Vet of Iraq and Afghanistan, because he can speak to what's happening currently.
[00:23:44.925 --> 00:23:46.427]  They've got a big problem on their hands.
[00:23:46.427 --> 00:23:56.256]  Even NBC News, as you have reported, even before it was in NBC News, it was in local news, says they got these guns from someone who got them from the police legally, and then they got them legally.
[00:23:56.256 --> 00:23:57.297]  But Obama is still
[00:23:57.657 --> 00:24:12.361]  Blaming even the current process that we believe is true draconian, and then now he's set to come out for the Second Amendment at an unprecedented level tonight, Joe Biggs, and then blame patriots for terrorists he literally brought in, Joe Biggs.
[00:24:12.361 --> 00:24:16.962]  Exactly, and also today the father of the ISIS killer, Saeed Farooq.
[00:24:17.264 --> 00:24:17.604]  I think?
[00:24:34.446 --> 00:24:35.307]  No one else saw it.
[00:24:35.307 --> 00:24:36.667]  They all ignored it earlier today.
[00:24:36.667 --> 00:24:44.052]  I had an opportunity to interview three men who actually attend the exact same mosque that Saeed Farooq did.
[00:24:44.052 --> 00:24:46.874]  And that video is up at Infowars.com right now.
[00:24:46.874 --> 00:24:51.216]  Also, the name of the guy that they got the guns from is Enrique Marquez.
[00:24:51.216 --> 00:24:57.600]  He was the one who bought the two or two of the four weapons used in Wednesday's massacre.
[00:24:57.600 --> 00:25:02.423]  Now they say that the local authorities have been trying to contact him.
[00:25:02.958 --> 00:25:10.342]  And to get an interview with him, to ask him what happened, and apparently he checked himself into a mental institute right after the massacre.
[00:25:10.342 --> 00:25:12.203]  Sounds like a lawyer would have pulled.
[00:25:12.203 --> 00:25:13.084]  Isn't that convenient?
[00:25:13.084 --> 00:25:15.485]  But look, the media obsesses over where they got guns.
[00:25:15.485 --> 00:25:16.686]  People are gonna get guns.
[00:25:16.686 --> 00:25:18.787]  Mexico has a total gun ban, Joe, as you know.
[00:25:18.787 --> 00:25:22.529]  They have the highest crime rate in the world, over 100,000 dead in the last nine years.
[00:25:22.529 --> 00:25:25.831]  The answer is let good people have guns, and then we can deal with criminals.
[00:25:26.471 --> 00:25:28.732]  And more and more police chiefs and others are saying that.
[00:25:28.732 --> 00:25:30.073]  So the common sense is getting out.
[00:25:30.073 --> 00:25:32.614]  I know you've got a lot of locals there that want to talk to us as well.
[00:25:32.614 --> 00:25:36.776]  We'll have you for several segments, Joe Biggs.
[00:25:36.776 --> 00:25:40.118]  But first off, other things that you've noticed since you've been in San Bernardino?
[00:25:40.118 --> 00:25:45.940]  I mean, as you can see, we're standing in front of the memorial right down the street from the Inland Regional Center.
[00:25:45.940 --> 00:25:47.181]  And a lot of people have come out here.
[00:25:47.181 --> 00:25:49.482]  They're talking about what's going on, opening up dialogue.
[00:25:49.881 --> 00:25:55.245]  This is where we actually spoke to the three men who attended the, uh, the mosque that, uh, Farouk also.
[00:25:55.245 --> 00:26:00.790]  And like I said, there's quite a few people here that want to voice how they feel about what's going on with these attacks.
[00:26:00.790 --> 00:26:01.691]  Let's talk to some of them, Joe.
[00:26:01.691 --> 00:26:03.512]  All right, sir.
[00:26:03.512 --> 00:26:04.613]  So what's your name, sir?
[00:26:04.613 --> 00:26:07.695]  My name is, uh, Charles Edward Alwyn.
[00:26:07.695 --> 00:26:12.519]  So what do you think about a lot of these people coming out and saying that this is due to mental illness?
[00:26:12.519 --> 00:26:14.241]  I think it's a fallacy.
[00:26:14.241 --> 00:26:15.942]  There's no mental illness going here.
[00:26:15.942 --> 00:26:19.285]  These people are programmed.
[00:26:20.932 --> 00:26:26.795]  Uh, back in their their countries, uh, what do they call it when they program somebody?
[00:26:26.795 --> 00:26:28.716]  Brainwashed.
[00:26:28.716 --> 00:26:30.277]  Well, not brainwashed.
[00:26:30.277 --> 00:26:32.239]  Conditioned.
[00:26:32.239 --> 00:26:34.380]  Well, they did the same thing with Patty Hearst.
[00:26:34.380 --> 00:26:44.446]  When they grabbed her up, if anybody remembers back in the 70s, they indoctrinated them into believing how they should react and act.
[00:26:44.446 --> 00:26:45.967]  It's not mental illness.
[00:26:45.967 --> 00:26:49.049]  We got at least two million people back in
[00:26:49.508 --> 00:26:53.798]  Saudi Arabia, back in Syria, Iraq.
[00:26:53.798 --> 00:26:56.304]  I don't think there's 2 million people with mental illness.
[00:26:56.304 --> 00:26:59.411]  They're indoctrinated to come in, infiltrate.
[00:27:00.362 --> 00:27:10.106]  The world and the United States is one of their last holding places and our competent President Obama says, don't worry, we got everything under control.
[00:27:10.106 --> 00:27:12.686]  Yeah, we got everything under control.
[00:27:12.686 --> 00:27:13.867]  Tell this fellow I have a question.
