[00:00:20.808 --> 00:00:22.209]  Hello, ladies and gentlemen.
[00:08:14.899 --> 00:08:23.227]  We got rid of candy machines, soda machines, brought in bottled water and it was just a situation where we saw a major change in the kids.
[00:08:24.045 --> 00:08:29.312]  You know, if you walk through these halls and you're here, these do not look like at-risk, out-of-control kids.
[00:08:29.312 --> 00:08:31.815]  Their behaviors are better.
[00:08:31.815 --> 00:08:34.318]  They seem to be more focused.
[00:08:34.318 --> 00:08:36.982]  Teachers will tell you that they get more out of them in the class.
[00:08:37.634 --> 00:08:40.495]  Keep in mind, this is not a private school.
[00:08:40.495 --> 00:08:46.418]  These are the quote unquote troubled kids of the public school system in Appleton, Wisconsin that are eating so well.
[00:08:46.418 --> 00:08:50.260]  And it costs about the same as any other school lunch program.
[00:08:50.260 --> 00:08:53.481]  So my question is, why isn't everyone doing this?
[00:08:53.481 --> 00:08:55.542]  There's an awful lot of resistance.
[00:08:56.420 --> 00:09:03.842]  From the junk food companies that make huge profits off the schools at the present time, they don't want to get kicked out of the school system.
[00:09:03.842 --> 00:09:06.863]  They want to be there to addict the children for life.
[00:09:06.863 --> 00:09:11.685]  The soft drink companies especially boast about how they're contributing to America's education.
[00:09:12.385 --> 00:09:21.409]  But in fact, what they're doing is they're draining money from the community rather than contributing money to the community because the soft drink companies aren't pumping those dollars into the machines.
[00:09:21.409 --> 00:09:25.011]  It's the children in the community who are getting the money from their parents.
[00:09:25.011 --> 00:09:32.334]  And instead of that money going directly to education, the soft drink companies are taking a cut of it and, you know, walking away rich as a consequence.
[00:09:32.334 --> 00:09:35.475]  We just banned soda in our school district.
[00:09:35.475 --> 00:09:41.638]  And this sugar here shows you how much sugar a student will drink in a week of just soda.
[00:09:49.586 --> 00:09:49.666]  Oh!
[00:09:49.666 --> 00:09:51.168]  The McDonald's Texas Homestyle Burger Meal.
[00:10:05.839 --> 00:10:08.901]  That's a, uh, that's a local specialty.
[00:10:08.901 --> 00:10:13.044]  So it's kind of like a Big N' Tasty, but only... Except the Big N' Tasty comes with a man.
[00:10:13.044 --> 00:10:13.565]  Comes with man?
[00:10:13.565 --> 00:10:15.066]  Oh, then you know what?
[00:10:15.066 --> 00:10:20.150]  I need the, uh, McDonald's Texas Homestyle Burger Meal, please.
[00:10:20.150 --> 00:10:21.631]  Would you like to supersize it tonight?
[00:10:21.631 --> 00:10:23.672]  Oh, yes I would.
[00:10:23.672 --> 00:10:26.074]  Do a lot of people supersize it?
[00:10:26.074 --> 00:10:29.616]  Yeah, like say you ask five people, how many of those five do it?
[00:10:29.616 --> 00:10:31.878]  Actually, I get the, like, I get mostly all of them.
[00:10:31.878 --> 00:10:32.659]  Oh, mostly all of them?
[00:10:32.659 --> 00:10:33.739]  So you say you're batting about 100%?
[00:10:36.096 --> 00:10:37.938]  Yeah.
[00:10:37.938 --> 00:10:38.559]  She's that good.
[00:10:38.559 --> 00:10:39.961]  Debra's that good.
[00:10:39.961 --> 00:10:44.105]  So, first meal inside the restaurant that I went in to get, and they asked me to supersize it.
[00:10:44.105 --> 00:10:46.668]  We're gonna keep the little tabs.
[00:10:46.668 --> 00:10:48.991]  See how many times they asked me to supersize it here in Texas.
[00:10:48.991 --> 00:10:49.992]  Texas?
[00:10:49.992 --> 00:10:53.856]  Texas, out of the top 15 fattest cities in America, Texas has five.
[00:11:06.906 --> 00:11:07.368]  Here we are.
[00:11:07.368 --> 00:11:08.472]  Houston, Texas.
[00:11:08.472 --> 00:11:10.819]  Fattest city in America.
[00:11:10.819 --> 00:11:12.284]  Gettin' my first breakfast.
[00:11:18.061 --> 00:11:24.104]  When it comes to the topic of obesity, many people are quick to point the finger at various foods and food companies.
[00:11:24.104 --> 00:11:40.013]  But the Grocery Manufacturers of America, a Washington, D.C.-based lobby group whose mission is to advance the interests of the food, beverage, and consumer products industry, are quick to shift the focus away from the companies they represent and to remind everyone that there's more at work here than just eating poorly.
[00:11:40.658 --> 00:11:49.386]  We believe very strongly in our industry and in other industries I think you'll find there's a growing consensus that the solution lies in good education.
[00:11:49.386 --> 00:11:58.315]  We have to get good information to parents so that they can teach their children better exercise and nutrition habits and so that they can lead the healthy lifestyles.
[00:11:58.315 --> 00:12:01.378]  We don't teach physical education in schools anymore.
[00:12:01.818 --> 00:12:06.861]  In the U.S., only one state requires mandatory physical education for grades K through 12.
[00:12:06.861 --> 00:12:11.764]  It's also one of the fattest, Illinois.
[00:12:11.764 --> 00:12:22.351]  Phil Lawler is the phys ed teacher at Madison Junior High School, home of the Soaring Warhawks, the snack-ridden school lunches we saw earlier, and one of the most well-executed physical education programs in the country.
[00:12:23.567 --> 00:12:31.200]  Supported mostly by fundraising and parent involvement, Lawler has created a role model for instructors and school districts nationwide.
[00:12:31.200 --> 00:12:34.626]  When's the last time you've ever heard of a science class fundraising to get their labs?
[00:12:35.715 --> 00:12:39.777]  Eventually, society has to step up to the plate and say, this is important.
[00:12:39.777 --> 00:12:43.580]  We should have daily physical education and equip it properly.
[00:12:43.580 --> 00:12:46.581]  We have to say our greatest strength is the resource of our young people.
[00:12:46.581 --> 00:12:48.482]  That's our future.
[00:12:48.482 --> 00:12:54.906]  And boy, the way we're treating our resources right now, we're running into some serious problems with that.
[00:12:54.906 --> 00:12:57.808]  See, I've always said we've never had health care in this country.
[00:12:57.808 --> 00:12:59.429]  We've only had sick care.
[00:12:59.429 --> 00:13:02.991]  I think daily physical education is the only place out there that's really offering a solution.
[00:13:05.928 --> 00:13:11.612]  When I start the music, you are going to begin traveling through general space.
[00:13:11.612 --> 00:13:23.381]  You will go back to your spot, and I will tell you what body shape... Hello again.
[00:13:23.381 --> 00:13:27.284]  It is October 20th, 2004, and I'm your host, Alex Jones.
[00:13:27.284 --> 00:13:32.888]  I'll be taking your calls a little bit later in the show.
[00:13:32.888 --> 00:13:33.629]  I've got a few other
[00:13:34.414 --> 00:13:42.319]  Clips that I want to play, but this is the new documentary that's out, Super Size Me.
[00:13:42.319 --> 00:13:54.486]  And it shows how they got the Coke machines, the candy bar machines, nothing but pizza and chocolate ice cream, basically, and some salad this big at the schools, and we're all in denial.
[00:13:54.486 --> 00:14:03.871]  And then the children are all hyper and bouncing off the walls, and they say, oh, they're hyper, let's put them on Ritalin, which is the equivalent of pharmacological methamphetamine.
[00:14:04.511 --> 00:14:12.494]  And the studies have shown you stop letting them drink two Cokes, eat two candy bars on average per day.
[00:14:12.494 --> 00:14:14.455]  Texas is even worse.
[00:14:14.455 --> 00:14:16.776]  And they'll stop acting like this.
[00:14:16.776 --> 00:14:17.216]  Wow!
[00:14:17.216 --> 00:14:17.836]  Common sense!
[00:14:17.836 --> 00:14:22.678]  I mean, imagine if you fed your puppy two Cokes and three candy bars.
[00:14:22.678 --> 00:14:23.958]  What would your puppy do?
[00:14:23.958 --> 00:14:26.499]  It would act totally insane.
[00:14:26.499 --> 00:14:27.740]  And they know what this is doing.
[00:14:27.740 --> 00:14:29.900]  They're not stupid.
[00:14:29.900 --> 00:14:31.401]  This is all part of a larger program.
[00:14:33.159 --> 00:14:40.843]  But to me, it's a bigger example of the denial that all of us, including myself, are in.
[00:14:40.843 --> 00:14:50.349]  How we become so weak and so decadent, it's really a systemic indicator or an example of our society in general.
[00:14:50.349 --> 00:15:00.736]  A few months ago, that 600-pound woman, who for almost six years had been stuck to her couch, living in her own feces, having her welfare food delivered to her,
[00:15:01.443 --> 00:15:03.244]  Her family knew about it, didn't help her.
[00:15:03.244 --> 00:15:06.026]  That's how incremental denial happens.
[00:15:06.026 --> 00:15:14.991]  And our society has an 8-ton elephant living in our living room, the globalist, the corruption.
[00:15:14.991 --> 00:15:16.292]  And we just keep denying it.
[00:15:16.292 --> 00:15:22.136]  We keep denying it, and denying it, and denying it, and denying it.
[00:15:22.136 --> 00:15:24.437]  And it's now time to stop denying it.
[00:15:25.251 --> 00:15:50.480]  Again, it is Wednesday night, the 20th day of October 2004, and if you want to call into this live broadcast, it's 477-2288, and I'm inviting our internet viewers who watch this show taped days after it airs live to start calling in at 512-477-2288, and we will throw that number up on the screen for you and take your calls here in just a few minutes.
[00:15:51.047 --> 00:15:58.450]  You know, shifting gears, they say a picture tells a thousand words, and I would have to agree.
[00:15:58.450 --> 00:16:02.032]  This photo does tell a thousand words.
[00:16:02.032 --> 00:16:19.160]  It's from one of the latest issues of Time Magazine, and it shows our new trained Iraqi police force, and they're out wearing black ski masks under their Kevlar helmets.
[00:16:20.811 --> 00:16:21.972]  Now think about this.
[00:16:21.972 --> 00:16:26.576]  Just 10, 15 years ago, we knew that the bad guys wore masks.
[00:16:26.576 --> 00:16:28.377]  The Inquisitors wore masks.
[00:16:28.377 --> 00:16:35.704]  The torturers of old in the dungeons wore masks.
[00:16:35.704 --> 00:16:49.055]  But now the oppressive force that's been put in place in Iraq that abducts thousands, tortures thousands, that has set up a total police state to parasitically feed off of the nation of Iraq,
[00:16:49.855 --> 00:16:54.517]  The so-called saviors wear black ski masks.
[00:16:54.517 --> 00:16:56.498]  And why do they wear black ski masks?
[00:16:56.498 --> 00:16:58.618]  Well, to protect their identities.
[00:16:58.618 --> 00:17:00.939]  Because they're ashamed of what they're doing.
[00:17:00.939 --> 00:17:02.660]  And to spread fear and terror.
[00:17:02.660 --> 00:17:05.461]  And to do what they do through total anonymity.
[00:17:05.461 --> 00:17:08.722]  This is the very definition.
[00:17:08.722 --> 00:17:16.445]  This is the very nature of having a secret police.
[00:17:16.445 --> 00:17:19.266]  And it's in the current, well, current last week,
[00:17:19.784 --> 00:17:22.465]  Issue of Time Magazine.
[00:17:22.465 --> 00:17:29.169]  So, this is the type of evil we have hidden in plain view.
[00:17:29.169 --> 00:17:38.914]  Where your house gets robbed, your car gets stolen, and the police come out and laugh at you and say there's nothing they can do, and less than one crime out of 20 actually gets solved.
[00:17:38.914 --> 00:17:44.097]  Whereas 50 years ago, 50-50, crimes got solved.
[00:17:44.097 --> 00:17:48.139]  How have we gone from half of the crimes being solved to
[00:17:49.665 --> 00:17:51.626]  Very few of the crimes being solved.
[00:17:51.626 --> 00:17:53.788]  Well, because the police job isn't to protect you.
[00:17:53.788 --> 00:18:02.393]  It's to write tickets and check your inspection sticker and run checkpoints and train you how to be a good little slave.
[00:18:02.393 --> 00:18:11.439]  And now they're wearing black ski masks and driving armored vehicles and getting in your face because we're keeping you safe because of the threat of terror.
[00:18:11.439 --> 00:18:17.303]  A threat of terror manufactured by the globalists to help bring in this new world order.
[00:18:18.743 --> 00:18:23.184]  I want to air a couple clips, and then we're going to go to your calls.
[00:18:23.184 --> 00:18:25.724]  And then, of course, I'll get to this news.
[00:18:25.724 --> 00:18:30.425]  Dick Cheney in the Associated Press.
[00:18:30.425 --> 00:18:33.105]  And please don't send me emails that it says Guardian.
[00:18:33.105 --> 00:18:38.166]  It's the Guardian newspaper carrying an AP article.
[00:18:38.166 --> 00:18:40.067]  I'm not trying to be sardonic or elitist.
[00:18:40.067 --> 00:18:42.107]  I just get these weird emails.
[00:18:42.107 --> 00:18:43.587]  This is the Associated Press.
[00:18:43.587 --> 00:18:46.928]  Cheney, terrorists may bomb U.S.
[00:18:46.928 --> 00:18:47.308]  cities.
[00:18:48.067 --> 00:18:49.988]  And he does this every few weeks.
[00:18:49.988 --> 00:18:53.029]  Give up all your rights to us or the terrorists are going to get you.
[00:18:53.029 --> 00:18:58.272]  Meanwhile, they criticize Senator Dayton of Minnesota for evacuating the Capitol.
[00:18:58.272 --> 00:19:02.874]  He was given a terror briefing a month ago where they said the Capitol will be attacked.
[00:19:02.874 --> 00:19:04.495]  So he said, OK, I'm pulling out.
[00:19:04.495 --> 00:19:06.176]  My staff's pulling out.
[00:19:06.176 --> 00:19:08.337]  Other senators have pulled out quietly.
[00:19:08.337 --> 00:19:10.838]  They attack him and say, no one said there's a threat.
[00:19:10.838 --> 00:19:13.619]  No, Cheney's just saying we'll probably have a nuke go off.
[00:19:13.619 --> 00:19:14.520]  I'm not saying that.
[00:19:14.520 --> 00:19:15.680]  I hope it doesn't happen.
[00:19:15.680 --> 00:19:17.101]  Dick Cheney is saying that.
[00:19:18.473 --> 00:19:20.774]  There's another article out of the Associated Press.
[00:19:20.774 --> 00:19:23.274]  Feds mum on pre-election terror threat.
[00:19:23.274 --> 00:19:26.315]  They say they don't know where the rumors are coming of terror attacks.
[00:19:26.315 --> 00:19:27.335]  Why, they're not political.
[00:19:27.335 --> 00:19:28.436]  They never said that.
[00:19:28.436 --> 00:19:33.097]  No, they just said it all over TV the last six months.
[00:19:33.097 --> 00:19:36.418]  So this is just some of the news that we have in front of us.
[00:19:36.418 --> 00:19:42.780]  This next clip is Bush last weekend in Florida.
[00:19:42.780 --> 00:19:46.281]  This particular clip's from the Daily Show.
[00:19:46.281 --> 00:19:47.681]  He gets up there, you know, he says,
[00:19:49.244 --> 00:19:51.585]  We are here to attack and abuse the American people.
[00:19:51.585 --> 00:19:53.586]  I mean, Al Qaeda is.
[00:19:53.586 --> 00:19:56.487]  He says, wait a minute, this press conference is scripted.
[00:19:56.487 --> 00:19:58.948]  No questions, and I haven't gotten pre-screened.
[00:19:58.948 --> 00:20:01.229]  These are the type of foibles.
[00:20:01.229 --> 00:20:04.230]  Nigeria is a very important continent.
[00:20:04.230 --> 00:20:05.610]  Is our children learning?
[00:20:05.610 --> 00:20:10.052]  Need to put food on your family?
[00:20:10.052 --> 00:20:14.294]  When the earpiece isn't working, Bush really can't operate our little puppet president.
[00:20:14.294 --> 00:20:17.135]  But his cousin, Kerry, isn't going to save us either.
[00:20:18.945 --> 00:20:28.071]  But this next clip is Bush in Florida where he has a Freudian slip and talks about the national draft.
[00:20:28.071 --> 00:20:30.752]  So we'll go ahead and play this clip now.
[00:20:30.752 --> 00:20:36.756]  Then we'll come back after this clip where Bush had a Freudian slip and had to be helped out by the crowd.
[00:20:36.756 --> 00:20:38.197]  And so stay with us.
[00:20:38.197 --> 00:20:45.981]  Here's that clip.
[00:20:45.981 --> 00:20:46.802]  Everyone hates us.
[00:20:47.944 --> 00:20:50.185]  Now here it is, your moment of Zion.
[00:20:50.185 --> 00:20:56.968]  After standing on the stage, after the debates, I made it very plain.
[00:20:56.968 --> 00:21:01.430]  We will not have an all-volunteer army.
[00:21:01.430 --> 00:21:11.274]  And yet this week, we will have an all-volunteer army.
[00:21:11.274 --> 00:21:14.395]  Let me restate that.
[00:21:14.395 --> 00:21:15.616]  We will not have a draft.
[00:21:18.823 --> 00:21:26.084]  Let's all go and not drink today, because... All right.
[00:21:26.084 --> 00:21:28.205]  I mean, you just gotta love it.
[00:21:28.205 --> 00:21:32.825]  So they cheer when he can actually get a sentence out.
[00:21:32.825 --> 00:21:36.966]  But, uh, let me just briefly talk about the draft again.
[00:21:36.966 --> 00:21:40.547]  There are twelve different bills introduced.
[00:21:40.547 --> 00:21:41.887]  Don't have that many fingers.
[00:21:41.887 --> 00:21:47.368]  There are twelve, twelve, twelve different bills.
[00:21:48.462 --> 00:21:51.925]  It's been all over the newspapers for two years.
[00:21:51.925 --> 00:21:55.507]  The Selective Service has set up draft boards again.
[00:21:55.507 --> 00:21:57.889]  They have doubled the Selective Service's funding.
[00:21:57.889 --> 00:22:02.072]  The Pentagon's put out documents saying they need a draft.
[00:22:02.072 --> 00:22:09.017]  They want to invade Iran and Syria after the globals blow something else up.
[00:22:09.017 --> 00:22:14.862]  And meanwhile they say it's a conspiracy theory started on college campuses.
[00:22:15.817 --> 00:22:17.779]  It's just made up.
[00:22:17.779 --> 00:22:24.084]  There's no plan for a draft.
[00:22:24.084 --> 00:22:28.587]  It just doesn't exist.
[00:22:28.587 --> 00:22:34.071]  Kind of like the Patriot Act didn't exist months after it was officially introduced.
[00:22:34.071 --> 00:22:38.315]  But they know most of you don't know how to go look up bills at the Library of Congress website.
[00:22:38.315 --> 00:22:38.975]  They're arrogant.
[00:22:38.975 --> 00:22:41.237]  They're counting on you not checking out what they're doing.
[00:22:42.387 --> 00:23:02.235]  A year and a half ago, there was a Houston Chronicle article saying, firemen, police, medical workers, engineers, computer programmers, a large portion of the population, they have prepared an emergency draft for all of you.
[00:23:02.235 --> 00:23:08.057]  And the New York Times, yesterday, came out, U.S.
[00:23:08.057 --> 00:23:11.919]  has contingency plans for a draft of medical workers.
[00:23:12.984 --> 00:23:24.348]  And it says, the Selective Service has been updating its contingency plans for a draft of doctors, nurses, and other health care workers in case of a national emergency that overwhelms the military's medical corps.
[00:23:24.348 --> 00:23:35.152]  In a confidential report this summer, the agency described how such a draft might work, how to secure compliance, and how to mold public opinion and communicate with the health care professionals.
[00:23:35.152 --> 00:23:38.073]  An individual's lives could be disrupted.
[00:23:38.073 --> 00:23:41.754]  So, all I go off of is the bills.
[00:23:42.521 --> 00:23:50.609]  And two weeks ago, they voted down a bill in 400 to 2, 400 and something to 2, and said, see, no draft, no draft.
[00:23:50.609 --> 00:23:56.094]  Well, how'd you vote a draft down if a bill didn't exist?
[00:23:56.094 --> 00:24:07.445]  We've always said it'll come after the election, six months, a year, two years from now, when they light up Chicago or Denver like a Christmas tree with a CIA nuke and blame it on some Arab group.
[00:24:10.160 --> 00:24:12.001]  They want to re-engineer society.
[00:24:12.001 --> 00:24:23.109]  They want to capture America and the population, to use us as their imperial Hessian mercs, mercenaries, to invade the world.
[00:24:23.109 --> 00:24:29.394]  Now, we'll go to your calls here in a second, but this next clip I've only played once here on the TV show, a couple months ago.
[00:24:29.394 --> 00:24:33.777]  We've had a lot of requests for it, and so we're going to play it here in just a minute.
