[00:00.000 --> 00:01.500]  We've got a gun.
[18:31.500 --> 18:36.500]  Be prepared before you need it with nutrient-dense food you can store for up to 25 years.
[18:36.500 --> 18:43.500]  You can hope for the best, but hope won't feed you. Do what I've done and get your own supply of the best durable foods out there from e Foods Direct.
[18:43.500 --> 18:49.500]  Call 800-409-5633 or visit them on the web at efoodsdirect.com.
[18:49.500 --> 18:57.500]  And check out their spring specials. Again, that number is 800-409-5633 or on the web at efoodsdirect.com.
[18:57.500 --> 19:00.500]  You can bet your life on e Foods Direct.
[19:00.500 --> 19:06.500]  I had tried everything. I'd cut back the amount of food I was eating, I was lifting weights and jogging, but nothing was working.
[19:06.500 --> 19:11.500]  My body was literally starving for minerals and trace elements, as well as key vitamins.
[19:11.500 --> 19:18.500]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[19:18.500 --> 19:29.500]  Now, there are hundreds of great products at infowarseteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[19:29.500 --> 19:34.500]  Products like Beyond Tangy Tangerine, Holland Burst, and Rebound.
[19:34.500 --> 19:40.500]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[19:40.500 --> 19:48.500]  Now that's results. I want to challenge my listeners to go to infowarseteam.com and to order just three of their products.
[19:48.500 --> 19:54.500]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[19:54.500 --> 20:00.500]  Start your journey to health and wellness today. Infowarseteam.com.
[20:00.500 --> 20:09.500]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:09.500 --> 20:27.500]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[20:27.500 --> 20:34.500]  You see, evil throughout history has had a leg up on good people because good people are naive.
[20:34.500 --> 20:43.500]  They don't believe that other people have bad will or are involved in wicked conspiracies to feed on the general public.
[20:43.500 --> 20:55.500]  But if you study history, it is replete, it is littered, it is a minefield of corruption and out of control evil because evil wants to be in power.
[20:55.500 --> 20:59.500]  In fact, when can you say we had free societies in history?
[20:59.500 --> 21:06.500]  Very, very rarely. You can count instances on one hand.
[21:06.500 --> 21:14.500]  Let's get right into the news and then I'm going to commit a crime on air coming up in the next segment.
[21:14.500 --> 21:19.500]  For radio listeners, I will be narrating and describing this evil crime I'm going to commit.
[21:19.500 --> 21:36.500]  And then for TV viewers, you can simply go to Infowars.com forward slash show to find all the free iPhone apps and droid apps and the podcast and the free video feed if you want to go over and actually follow along and watch the show Infowars.com forward slash show.
[21:36.500 --> 21:50.500]  I will commit a crime on air in the next segment, not an on-air crime. I'm not going to say, you know, poo-poo or anything like that.
[21:50.500 --> 21:52.500]  I don't need to use words like that to describe what I'm doing.
[21:52.500 --> 22:15.500]  No, no, no. I'm going to commit a crime in Florida coming up in the next segment to illustrate how we become slaves, how criminals throughout history, tyrants, try to create laws so broad and so out of control that they're designed to ensnare the general population.
[22:15.500 --> 22:20.500]  And then the tyrants themselves are exempt from those laws.
[22:20.500 --> 22:28.500]  And I'm going to commit a crime that the head of Pacific Forces committed, Douglas MacArthur in World War II.
[22:28.500 --> 22:34.500]  I'm going to commit a crime that J.R.R. Tolkien committed if he lived in Florida now.
[22:34.500 --> 22:44.500]  So that crime on air will be committed coming up in the next segment, ladies and gentlemen, because I'm going to illustrate in this country.
[22:44.500 --> 22:51.500]  No, no, it's not putting an NRA shirt on. People are getting arrested and indicted for that. I'm not kidding.
[22:51.500 --> 22:56.500]  That's coming up. It's even worse, worse than that.
[22:56.500 --> 23:05.500]  It's even worse than trying to go out and protest the closing of the last park in Istanbul and then the police viciously attacking everybody.
[23:05.500 --> 23:09.500]  So now they've had weeks of protesting. So that's all coming up.
[23:09.500 --> 23:25.500]  But right now, let's get serious and cover the NSA. Now, if you're a new listener, I would just tell you to go to a search engine and type in Infowars.com NSA or Infowars.com Big Brother.
[23:25.500 --> 23:38.500]  And you will find articles from 1996, 97, 98 right through now describing exactly what is going on from public documents, from studying the congressional record, but also sources.
[23:38.500 --> 23:50.500]  Now, I want to just give you the big enchilada here right now. The NSA is made up of over 100 private companies that lobbied to set this up in the last 30 years or so.
[23:50.500 --> 23:56.500]  The NSA was around before that, but it really got bad since the early 1980s, 25, 30 years or so.
[23:56.500 --> 24:07.500]  Google was founded by the CIA and NSA on record 14 years ago. Apple is really a CIA front.
[24:07.500 --> 24:13.500]  Microsoft is pre-CIA. It's an IBM front that actually created the CIA. You might want to look into that.
[24:13.500 --> 24:20.500]  Who set up IBM? What its goal was. World domination, master race, eugenics.
[24:20.500 --> 24:26.500]  IBM was probably the main funder of Hitler. If you're a new listener, that sounds crazy. Just please look it up.
[24:26.500 --> 24:32.500]  IBM would sue me if that wasn't true. IBM set up Microsoft. It's a front company to get around trust laws.
[24:32.500 --> 24:41.500]  Now, let me just segue, though, here for you, because the entire civilization is built to do what we're now entering.
[24:41.500 --> 24:46.500]  They're done dumbing people down, growing the government, getting the police state in place.
[24:46.500 --> 24:53.500]  Now they're moving into the age of controlled bioweapons releases that they'll say terrorists did to reduce population.
[24:53.500 --> 24:58.500]  Then they'll take more rights and pose as the saviors, and then a worse attack comes.
[24:58.500 --> 25:05.500]  This is the plan, and they're almost there. I mean, if they'll nerve gas 200,000 U.S. troops and not give them treatment
[25:05.500 --> 25:11.500]  and watch 50-something thousand of them die from it so far, believe me, they want to spike you as well.
[25:11.500 --> 25:19.500]  They don't want to just spike those weapons that have now been used. They've got computers and robots and autonomous drones now.
[25:19.500 --> 25:25.500]  If they're telling you about autonomous drones in 2013, they had them 30 years ago, and by the way, they did.
[25:25.500 --> 25:30.500]  Okay, pre-programmed, that is. Now they're actually somewhat AI.
[25:30.500 --> 25:39.500]  So just understand, the NSA is a private collection of companies, Fortune 100, and their tech fronts,
[25:39.500 --> 25:46.500]  that integrate everything you're doing into a over-the-horizon crystal ball.
[25:46.500 --> 25:55.500]  And I was told by an NSA whistleblower in person about nine years ago, and then before that about 15 years ago, another one,
[25:55.500 --> 26:04.500]  in a parking lot, not a parking garage, in a parking lot, that they called it the crystal ball.
[26:04.500 --> 26:10.500]  Now, you think prism? Prism is just a small tentacle. They call it the crystal ball.
[26:10.500 --> 26:18.500]  And I've actually said this before, I've called it a crystal ball. I didn't tell you, the name of at least one major program in this is crystal ball.
[26:18.500 --> 26:29.500]  Crystal ball. And it is a over-the-horizon or future predicting system, not mumbo-jumbo, not going out into the ether.
[26:29.500 --> 26:34.500]  They can take enough data and human activity and predict, since then they've bragged about this,
[26:34.500 --> 26:40.500]  what you're doing over 93% of the time and what mass movements are going to do 98% of the time.
[26:40.500 --> 26:47.500]  They can also use that to try to, I know if you're an old listener, you're like, Alex, I've heard this for 15 years, please stop.
[26:47.500 --> 26:51.500]  Hey, people are only ready to listen now, okay, so I gotta repeat all this.
[26:51.500 --> 27:00.500]  Okay, now the crystal ball system is able to see into the future, but more importantly, they can put stimulus out and program the future.
[27:00.500 --> 27:08.500]  So it's not just about seeing the future. I think they put a movie out with Ben Affleck called Paycheck, it's actually pretty good,
[27:08.500 --> 27:20.500]  where they create, but this is a lens that sees through the time-space continuum in a speed of light quantum mechanics.
[27:20.500 --> 27:25.500]  That's not what it is. They just did that for the childlike brain of the public.
[27:25.500 --> 27:32.500]  It's actually the brainchild of the Fabian Socialists in around 1900, you find the first writings of this,
[27:32.500 --> 27:40.500]  why the British crown funded IBM, Watson here in the US, why they did all this, why they funded the Hollerith machines,
[27:40.500 --> 27:48.500]  why they funded finding about genetics and the eugenics, IG Farben and the Cold Springs Harbor
[27:48.500 --> 27:53.500]  and the Kaiser Wilhelm Institute said we must find how the cells work
[27:53.500 --> 27:59.500]  because we're gonna be able to program immortality for ourselves, but also find systems to wipe out the general public.
[27:59.500 --> 28:03.500]  It's Brave New World, basically, which Huxley later admitted was actually a future projection.
[28:03.500 --> 28:10.500]  But I'm digressing, what did I mean to get into just now? Crystal ball.
[28:10.500 --> 28:17.500]  But then you see Isaac Asimov and his Foundation series, what is that from the 40s? Let's look that up.
[28:17.500 --> 28:23.500]  And if you want to understand this, read the three Foundation series because that was then passed along
[28:23.500 --> 28:32.500]  through the predictive programming in OSS, CIA, MI6, by the way, this is declassified part of this,
[28:32.500 --> 28:39.500]  to program and prepare the public. But in the Foundation series, they use computers to predict the future.
[28:39.500 --> 28:44.500]  And that's basically what it is. They now have them. They now have them.
[28:44.500 --> 28:48.500]  But they're not just predicting the future, they're programming the future, okay?
[28:48.500 --> 28:55.500]  This is a weapon to consolidate the economy in the hands of homicidal genetic warfare makers.
[28:55.500 --> 28:59.500]  Might as well be General Zod, to use the popular parallel.
[28:59.500 --> 29:05.500]  Introducing Pro One. All of your filtration in one system, portable, on the go.
[29:05.500 --> 29:09.500]  No more do you have two or three filters to just reduce sodium fluoride.
[29:09.500 --> 29:15.500]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid.
[29:15.500 --> 29:22.500]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media
[29:22.500 --> 29:26.500]  for removal of fluoride and other heavy metals, all in one filter element.
[29:26.500 --> 29:33.500]  It is the only one that does it. And out of the gates, we have it discounted at 10% off with promo code WATER.
[29:33.500 --> 29:42.500]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine,
[29:42.500 --> 29:50.500]  hydrofluorosolic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[29:50.500 --> 29:59.500]  Get your Pro Pure with the new Pro One filters today at infowarskstore.com or by calling 888-253-3139.
[29:59.500 --> 30:09.500]  Now is the perfect time to spring clean your body with Supernatural Silver, a non-toxic disinfectant for the body that can be used internally or externally.
[30:09.500 --> 30:15.500]  It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[30:15.500 --> 30:23.500]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge.
[30:23.500 --> 30:34.500]  Supernatural Silver can help combat over 300 different conditions and it has the ability to kill over 143 types of bacteria, viruses, mold and yeast.
[30:34.500 --> 30:41.500]  Supernatural Silver's patented technology includes advanced scientific research with over 180 scientific studies
[30:41.500 --> 30:46.500]  conducted at independent universities, hospitals, research institutions and nursing homes.
[30:46.500 --> 30:58.500]  To see how Supernatural Silver can change your life, go to SupernaturalSilver.com, use the promo code Silver2013 for 20% off and like us on Facebook.
[30:58.500 --> 31:07.500]  Cal Bend Soap Company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated
[31:07.500 --> 31:10.500]  and made from the highest quality vegetable and coconut oils.
[31:10.500 --> 31:22.500]  See them on the web at www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[31:22.500 --> 31:29.500]  Order the sampler, a one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[31:29.500 --> 31:32.500]  You're getting soap products twice as good as what you're using now.
[31:32.500 --> 31:37.500]  This is an amazing deal and you will love the way real soap makes your skin feel.
[31:37.500 --> 31:44.500]  Call 1-800-340-7091 or visit www.5starsoap.com.
[31:44.500 --> 31:49.500]  Alex and his staff have used these earth friendly pure soaps for years.
[31:49.500 --> 31:59.500]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[31:59.500 --> 32:03.500]  You prepare by purchasing gold, food and firearms.
[32:03.500 --> 32:09.500]  But if you don't have a home security system then you're missing a critical weapon in your arsenal for home protection.
[32:09.500 --> 32:13.500]  When you're sleeping or away from home who's watching out for intruders?
[32:13.500 --> 32:19.500]  Check out SimpliSafe. It's a new do it yourself home security system that is completely wireless.
[32:19.500 --> 32:22.500]  Go to www.getsimplisafe.com.
[32:22.500 --> 32:24.500]  SimpliSafe is independent and off the grid.
[32:24.500 --> 32:29.500]  It runs on battery power so even if the grid goes down you're protected.
[32:29.500 --> 32:35.500]  It's completely customizable so you can use it in your home, business, boat, trailer, storage unit or shed.
[32:35.500 --> 32:38.500]  www.getsimplisafe.com.
[32:38.500 --> 32:42.500]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes.
[32:42.500 --> 32:45.500]  So there's no need to let a stranger into your home.
[32:45.500 --> 32:49.500]  If you move or need to relocate you can take the system with you wherever you go.
[32:49.500 --> 32:56.500]  You aren't always at home but SimpliSafe will stand guard protecting your property 24 hours a day, 7 days a week.
[32:56.500 --> 33:00.500]  Again, that's www.getsimplisafe.com.
[33:00.500 --> 33:04.500]  Coast to coast, direct from Austin.
[33:04.500 --> 33:08.500]  You're listening to the Alex Jones Broadcasting Network.
[33:16.500 --> 33:25.500]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[33:25.500 --> 33:28.500]  Rallying patriots worldwide.
[33:31.500 --> 33:35.500]  You're listening to the Alex Jones Show.
[33:37.500 --> 33:43.500]  And you are listening to the Sunday Transmission, 4 to 6 p.m. Central every Sunday.
[33:43.500 --> 33:45.500]  We're back weekdays, 11 a.m. Central.
[33:45.500 --> 33:49.500]  And again, the websites are infoawards.com, infoawardsnews.com.
[33:49.500 --> 33:53.500]  We stream video as well as prisonplanet.tv.
[33:53.500 --> 33:56.500]  All right, let me just run through the headlines or I'll never get to them all.
[33:56.500 --> 34:09.500]  But while we're at it, they did punch up the encyclopedia breakdown of the foundation series that was started in 1942, written by Isaac Asimov, one of the greatest science fiction writers ever.
[34:09.500 --> 34:16.500]  But if you take people like Arthur C. Clarke, he was a member of the OSS, the inventor of the telecommunications satellite.
[34:16.500 --> 34:20.500]  They actually used these guys as fronts to put a lot of these ideas out.
[34:20.500 --> 34:27.500]  Because I actually read about this same premise really in articles by the Fabian socialist out of England in about 1900.
[34:27.500 --> 34:41.500]  The foundation series, the premise of the series is the mathematical mathematician Harry Sheldon spent his life developing a branch of mathematics known as psychohistory, a concept of mathematical sociology.
[34:41.500 --> 34:49.500]  Analogous to mathematical physics, using the laws of mass action, it can predict the future, but only on a large scale.
[34:49.500 --> 34:52.500]  It is error-prone on a small scale. They've now gone past that.
[34:52.500 --> 34:59.500]  It works on the principle that that behavior of a mass of people is predictable and the quantity of the mass is very large.
