[00:00.000 --> 00:21.000]  If you are receiving this transmission, you are the resistance.
[04:22.000 --> 04:29.000]  He can tell you also he's joining us again today. This has already been going on. And they know that it does kill some people.
[04:29.000 --> 04:35.000]  So why are they now hyping it all up? It's hurting the economy. And that's what this is really about.
[04:35.000 --> 04:41.000]  And it's going to standardize control at a globalist level so they need global government to respond to a crisis like this.
[04:41.000 --> 04:49.000]  So we know this is contrived. We know it's a real virus. How deadly we're not sure. We know it's spreading. We know they're covering that up.
[04:49.000 --> 05:06.000]  We're going to work through it all today and break it down. This is a vital transmission. Please spread the live links to the show and tell everyone.
[05:19.000 --> 05:28.000]  You asked, we deliver. This easy option gives you the means to donate directly to the cause. Remember, we're all part of the fight. Infowars brought to you by you.
[05:28.000 --> 05:37.000]  Since the beginning, Secret 12 has been one of our most popular formulas. Now we're bringing you an all new version of your favorite formula to help you reach your energy peak.
[05:37.000 --> 05:53.000]  Ultra 12 from Infowars Life takes advantage of the most effective and expensive form of B12 available, Methylkevolumin, to provide you with twice the B12. Ultra 12 can help make DNA, support the body's energy production, and help produce healthy blood cells while assisting proper nervous system function.
[05:53.000 --> 06:21.000]  Help support your energy levels and take advantage of the superior form of B12 today with Ultra 12.
[06:21.000 --> 06:34.000]  It's January 29th, 2020 on this live Wednesday edition. I am your host, Alex Jones.
[06:34.000 --> 06:45.000]  And we didn't just start playing air raid sirens as the panic over the coronavirus expanded. We've been playing it for the last six months every day.
[06:45.000 --> 06:58.000]  2020 hits, everything's going to change. You're going to see incredibly good things. You're going to see incredibly bad things. Newtonian physics, metaphysics, the Bible, history, common sense.
[06:58.000 --> 07:09.000]  For every action, there's an opposite and equal reaction. And energy is not destroyed. It could just simply be put into another form.
[07:09.000 --> 07:21.000]  And evil's making its move against humanity right now. But humanity is awakening and responding. And you see everything the Bible talked about in times of great political and cultural change.
[07:21.000 --> 07:34.000]  When evil's been making its move, the earthquakes, the volcanoes, the swarms of locusts increasing, all of this is part of what's always happening on our planet, change.
[07:34.000 --> 07:44.000]  But historians in Rome and historians, Jewish historians, Chinese historians pointed out, even the legalists that didn't even really believe in God in China, they said,
[07:44.000 --> 07:55.000]  we notice when there's big political change, there's also earthquakes and volcanoes and storms and tsunamis. And in every case in history, people notice that it always lines up.
[07:55.000 --> 08:06.000]  Well, 2020 is just a number man has created. Okay, but it's all based on the earth orbiting the sun and ties into the basic mathematics of the universe.
[08:06.000 --> 08:14.000]  But here we are in 2020 and no one can doubt 29 days in. All hell is breaking loose.
[08:14.000 --> 08:22.000]  And China is on lockdown. Flights from around the world are being restricted or totally canceled.
[08:22.000 --> 08:28.000]  They are either hyping this as the hoax of all hoaxes to plunge the world economy.
[08:28.000 --> 08:35.000]  And to establish world government is the answer to the crisis, which the UN and Bill Gates are admitting they plan to do.
[08:35.000 --> 08:42.000]  Or it's far more deadly than they're saying with the response we've seen. And we do know a lot of people died from it.
[08:42.000 --> 08:47.000]  We do know the numbers are much higher than they've been saying. And we do know there have been cases here in the United States for months.
[08:47.000 --> 08:54.000]  And now the number of dead and dying is so high in China that their own people say you're covering it up.
[08:54.000 --> 09:05.000]  It's not 6,000 that are infected. It's not a couple hundred, 132 that are dead with the Wuhan coronavirus.
[09:05.000 --> 09:12.000]  It's much, much, much bigger. And now they're projecting a 5% negative growth rate for China.
[09:12.000 --> 09:25.000]  China on average has about a 10% growth rate. If China has a negative growth rate, that will take the world into a major recession to put it lightly.
[09:25.000 --> 09:31.000]  And the globalist said, if you ever try to pull out of our world government, there will be biological crises that will make you stay in it.
[09:31.000 --> 09:36.000]  You can pull that up. We've written articles about it. They constantly run their mouths.
[09:36.000 --> 09:46.000]  That migration crises, economic collapse, and biological weapons and other diseases will be the reason they bring in world government.
[09:46.000 --> 09:52.000]  Coronavirus. China has quarantined 50 million people. Experts worry that might backfire.
[09:52.000 --> 09:54.000]  That's NBC News.
[09:54.000 --> 10:00.000]  Plane carrying U.S. evacuees from China amid coronavirus outbreak diverted to California airbase.
[10:00.000 --> 10:08.000]  We'll play part of that Fox News report. Next segment, virus cases in China. Again, surging coronavirus evacuation flight lands in Alaska.
[10:08.000 --> 10:12.000]  Other evacuation flights land around the world.
[10:12.000 --> 10:17.000]  Countries evaluate evacuation of citizens from the virus epicenter completely.
[10:17.000 --> 10:22.000]  State Department orders U.S. employees in Wuhan to evacuate due to coronavirus.
[10:22.000 --> 10:32.000]  And they have the genome of this thing. Bill and Melinda Gates have patented it two years ago, a whole group of different sequences, a different variety of this virus.
[10:32.000 --> 10:42.000]  But for some reason, that's not being transmitted into the databases so when the virologists test this at hospitals and research labs, they don't even know how to identify it.
[10:42.000 --> 10:48.000]  And that's being done on purpose. And lab owners and others have been speaking out about this, including Mike Adams, but not just Mike Adams.
[10:48.000 --> 10:52.000]  And he's done an incredible job so far on being restrained but accurate.
[10:52.000 --> 11:00.000]  It's crystal ball level, but he speaks fluent Chinese and has businesses over there and his wife's from Taiwan. He's a great American.
[11:00.000 --> 11:06.000]  But he'll be hosting the fourth hour today. Dr. Steve Pacenna is going to be back on with us.
[11:06.000 --> 11:12.000]  We're going to be laying all of this out. But here's the bottom line.
[11:12.000 --> 11:21.000]  This is not the only crisis that we're going to face this year. We're going to face economic problems that come from this and uncertainty.
[11:21.000 --> 11:25.000]  We're going to face military crises and we're going to face cultural and spiritual crises.
[11:25.000 --> 11:40.000]  We're going to see the U.N. further throw third world populations at borders of the West and attempt to break the West in a massive clowered and pivot maneuver to then bring in a worldwide call for a planetary Marshall plan.
[11:40.000 --> 11:46.000]  Remember that. I said they'd call for a Marshall plan in Ukraine, a Marshall plan in Iraq.
[11:46.000 --> 11:58.000]  It's the term they always use, a corporate global takeover. You're going to be hearing for a worldwide Marshall plan six months from now.
[11:58.000 --> 12:03.000]  And so this is how the globalists are going to counter nationalists. This is how they're going to counter patriots.
[12:03.000 --> 12:07.000]  Now I'm going to stop right there.
[12:07.000 --> 12:15.000]  I've been playing air raid sirens every day on air for three, four, five, six months.
[12:15.000 --> 12:25.000]  And I said on air, I'm doing that to note to everyone that the times have changed. We've gone into a red level crisis because humanity is awakening to the threat because the enemy is going to strike back.
[12:25.000 --> 12:27.000]  We're in the fight now.
[12:27.000 --> 12:41.000]  And so it's critical that patriots be self sufficient and it's critical that patriots be aware of what's going on. So you notice I didn't just start selling.
[12:41.000 --> 12:44.000]  Storeable foods.
[12:44.000 --> 12:46.000]  This week during this crisis.
[12:46.000 --> 12:50.000]  I've always been selling storeable food because it's insurance you can eat.
[12:50.000 --> 12:58.000]  And it's because I believe in it and I believe we should be self sufficient. It's the grasshopper that dies during the winter.
[12:58.000 --> 13:04.000]  It's the ants that go on and live into the future. So I'm sitting here last week.
[13:04.000 --> 13:13.000]  Ordering my family more storeable food so I can take care of people around me and and and ordering even more storeable food here to the office.
[13:13.000 --> 13:20.000]  I've had enough storeable food for several hundred people for six months here at the office in a warehouse.
[13:20.000 --> 13:26.000]  About five years ago, some of them about two years ago. It's all there. I just bought more.
[13:26.000 --> 13:33.000]  So in case we have to shelter in place and stay on air during a crisis. And I thought, wait a minute, if I'm buying food.
[13:33.000 --> 13:39.000]  I better call our main supplier, who is the best highest quality in the country.
[13:39.000 --> 13:44.000]  I'm going to give it to them every day. You go to have the line when you do it with us where they're biggest seller.
[13:44.000 --> 13:52.000]  My Patriots supply and they're ready our infowars line that is their highest quality, best and lowest price.
[13:52.000 --> 13:59.000]  And they said, we're surprised you hadn't called us. We're seeing record sales and institutional groups are trying to buy it.
[13:59.000 --> 14:03.000]  And FEMA just tried to buy from them again.
[14:03.000 --> 14:10.000]  They got their federal office call up and try to get them to give them everything.
[14:10.000 --> 14:18.000]  And they've got Matt Redhawk, the founder and owner, flying all over the country right now, trying to secure even more food.
[14:18.000 --> 14:22.000]  And I'll just tell you, at current sales rates, they've got two weeks of food.
[14:22.000 --> 14:28.000]  Everyone else they know is sold out, all the other big suppliers, but the others, most of them are not reputable.
[14:28.000 --> 14:32.000]  They will tell you they've got the food and then they will sit there on your money.
[14:32.000 --> 14:38.000]  They're in seven to 10 days, not because they don't have the food, but because they have to package it and they're running 24 hours a day.
[14:38.000 --> 14:48.000]  They've got food coming in 18 wheelers for the two week mark, but they're not counting that as if they have the food until it's in their facilities in Utah and three other states.
[14:48.000 --> 14:52.000]  So these guys are Patriots. They've been our big sponsor. They're 12 years old.
[14:52.000 --> 14:59.000]  They've been with us for 12 years because I knew they were about the lowest prices, high quality and having food when they say they do.
[14:59.000 --> 15:14.000]  M4warstore.com, you need to get your orders in now so that in case things do get bad, you get the food delivered to you because this coronavirus won't peak in China for two to three months.
[15:14.000 --> 15:18.000]  And then if it is going to peak here, it'll peak in the middle of the summer.
[15:18.000 --> 15:28.000]  So I'm just telling listeners, ladies and gentlemen, I believe in having firearms and water filtration and knowing how to kick somebody's ass if I need to.
[15:28.000 --> 15:34.000]  I also believe in having storable food for my family and having the guns to protect it.
[15:34.000 --> 15:38.000]  And I'm just telling you right now, not just for this, but everything.
[15:38.000 --> 15:43.000]  I always go with what I do. So I'm ordering food. That's my marketing plan. It's just what I'm doing.
[15:43.000 --> 15:46.000]  Time for me to tell people about food. I'm buying it. See how that works?
[15:46.000 --> 15:52.000]  I'm not sitting there going, oh, coronavirus, better get this. I'm buying food and going, there's trucks pulling up at the office with food.
[15:52.000 --> 15:58.000]  Why the hell am I telling the audience to buy it? Which you are doing infowarstore.com.
[15:58.000 --> 16:03.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[16:03.000 --> 16:07.000]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[16:07.000 --> 16:13.000]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[16:13.000 --> 16:17.000]  I can help you too. If you owe taxes, you can't pay. Don't wait another day.
[16:17.000 --> 16:24.000]  There's no such thing as a hopeless tax case. Call 800-34-NO-TAX or go to my website, danpilla.com.
[16:24.000 --> 16:27.000]  That's danpilla.com, danpilla.com.
[16:27.000 --> 16:36.000]  I'm here with Scott Yousiam, founder of OMG Tax. Tell us how your company helps our listeners out there who have a problem with the IRS.
[16:36.000 --> 16:42.000]  My team of lawyers, enrolled agents, and licensed tax experts remove wage garnish funds sometimes in the same day.
[16:42.000 --> 16:48.000]  We even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[16:48.000 --> 16:50.000]  Can you give us an example of somebody you help?
[16:50.000 --> 17:03.000]  Oh, can I ever? We have taken a $500,000 liability with the IRS. Guess what? The client didn't pay a dime through the representation known as non-collectible status with the government.
[17:03.000 --> 17:13.000]  You owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[17:13.000 --> 17:27.000]  Call 800-486-8112-800-486-8112-800-486-8112. That's 800-486-8112.
[17:27.000 --> 17:38.000]  Hunters, anglers, campers, and survivalists, get back to nature, expand your horizons with the highest quality, most versatile, unique slingshots and slingbos on the market at Slingbo.com.
[17:38.000 --> 17:45.000]  Slingbo products are compact and models start from just 1798. They're perfect for your bug out bag or storing in your vehicle.
[17:45.000 --> 17:49.000]  Give yourself and your loved ones the excitement and tradition of Slingbo.
[17:49.000 --> 17:58.000]  A new frontier in archery and truly modern twist on this primitive survival tool. Feel the thrill only at Slingbo.com.
[18:20.000 --> 18:29.000]  And folks, I'm telling you, you can see the difference in me, my energy, my focus. I've lost almost 40 pounds in less than four months. It's incredible.
[18:29.000 --> 18:36.000]  So do yourself a favor. Try out the products if you've been on the fence. You can't lose, except if you don't take action.
[18:36.000 --> 18:43.000]  Because when you buy the products, you're funding the operation that is always delivering thanks to your support and God's grace in our action.
[18:43.000 --> 18:52.000]  But you need these products. That's the real reason you want to get them is because they're amazing. And then when you get great results, please tell others about it word of mouth.
[18:52.000 --> 18:59.000]  That's how we expand in the face of the NWO instead of imploding. We're fighting to win, and we are winning. Thanks to you.
[18:59.000 --> 19:07.000]  This should really be easier than it is. I'm not here giving you a sales pitch. I'm pointing out the way forward.
[19:07.000 --> 19:16.000]  Things that I've discovered that I absolutely know work that if you listen to me and try them out for yourself, you will see how amazing it is.
[19:16.000 --> 19:24.000]  And then your support of the product we're selling will help you and will help us. And it's symbiotic.
[19:24.000 --> 19:31.000]  My friends, I harp and harp and harp about iodine because it's the good halogen, fluoride's the bad halogen.
[19:31.000 --> 19:39.000]  And people told me about it for years, and I didn't listen. And I'm so thankful that finally I listened to Dr. Group like eight years ago,
[19:39.000 --> 19:49.000]  and started taking true iodine, atomic iodine. We've got it back in StockX2, 40% off right now at infowarstore.com.
[19:49.000 --> 20:01.000]  I'm telling you, folks, get it. It's amazing. Discover the benefits, and it funds the infowar, a 360 win. You can't lose unless you don't take action.
[20:01.000 --> 20:22.000]  You're listening to the Alex Jones Show.
[20:22.000 --> 20:35.000]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing. If you are receiving this transmission, you are the resistance.
[20:35.000 --> 20:46.000]  We now take you live to the Central Texas Command Center. It's Alex Jones.
[20:46.000 --> 20:54.000]  You're a very good observer, Cole. We have a very advanced program, something very different. An opportunity to reduce your sentence considerably.
[20:54.000 --> 21:02.000]  And possibly play an important role in returning the human race to the surface of the Earth.
[21:02.000 --> 21:09.000]  No license, no prints, no warrants. But he took on five times like he was destined to the eyeballs.
[21:09.000 --> 21:12.000]  What year is this? What year do you think it is?
[21:12.000 --> 21:17.000]  1996. That's the future, James. Do you think you're living in the future?
[21:17.000 --> 21:23.000]  I'm simply trying to gather information to help the people in the present trace the path of the virus.
[21:23.000 --> 21:26.000]  We're not in the present now.
[21:26.000 --> 21:28.000]  This is a place for crazy people.
[21:28.000 --> 21:33.000]  I'm not saying you're not mentally ill. I know you're crazy as a loon.
[21:33.000 --> 21:35.000]  The army of the 12 monkeys are the ones that spread the virus.
[21:35.000 --> 21:36.000]  Monkeys.
[21:36.000 --> 21:43.000]  You've been living in a meticulously constructed fantasy world and that world is starting to disintegrate.
[21:43.000 --> 21:45.000]  You haven't become addicted to that dying world?
[21:45.000 --> 21:46.000]  No, sir.
[21:46.000 --> 21:47.000]  He needs help.
[21:47.000 --> 21:50.000]  I think I'm crazy when people start dying next month.
[21:50.000 --> 21:51.000]  I don't belong here.
[21:51.000 --> 21:52.000]  You're here because of the system.
[21:52.000 --> 21:54.000]  I know some things that you don't know.
[21:54.000 --> 21:56.000]  Yes, my son.
[21:56.000 --> 21:57.000]  You sent me to the wrong year.
[21:57.000 --> 21:58.000]  You're certain of that?
[21:58.000 --> 22:01.000]  Science ain't an exact science.
[22:01.000 --> 22:05.000]  You had a bullet from World War I in your leg, James. How did it get there?
[22:05.000 --> 22:06.000]  The answers.
[22:06.000 --> 22:09.000]  You know the difference between what's real and what's not.
[22:09.000 --> 22:11.000]  You said that I had delusions. You said you could explain.
[22:11.000 --> 22:12.000]  I'm trying to.
[22:12.000 --> 22:14.000]  I want the future to be unknown.
[22:14.000 --> 22:16.000]  I can help you.
[22:16.000 --> 22:17.000]  Get you out.
[22:19.000 --> 22:23.000]  You can't hide from them. Don't even try.
[22:23.000 --> 22:25.000]  We're all monkeys.
[22:25.000 --> 22:27.000]  They mutate. We live on your planet.
[22:27.000 --> 22:29.000]  They're watching you.
[22:29.000 --> 22:34.000]  I just want to do my part to get us back on top and charge the planet.
[22:34.000 --> 22:46.000]  World War I, World War I.
[22:46.000 --> 22:56.000]  World War I, World War I.
[22:56.000 --> 23:03.000]  The lights out in China only had a few days of food supplies in Wuhan.
[23:03.000 --> 23:05.000]  Maybe a few weeks in other areas.
[23:05.000 --> 23:11.000]  And all the flights in a few days out of China will be ceased.
[23:11.000 --> 23:16.000]  And many other airlines are 100% ceasing flights.
[23:16.000 --> 23:22.000]  But American airlines are just cutting back most of them as not to create a panic.
[23:22.000 --> 23:27.000]  And so I had an idea a few days ago, and I really appreciate the lead producer, Daria,
[23:27.000 --> 23:32.000]  having the same idea because I tend to forget things that I want to do on the show.
[23:32.000 --> 23:40.000]  And that's open the phones up so it's not just old Alex Jones up here flapping his lips
[23:40.000 --> 23:42.000]  at people inside China.
[23:42.000 --> 23:44.000]  Americans, Chinese, I don't care.
[23:44.000 --> 23:51.000]  Hong Kong, Taiwan, South Korea, Russian border with China, Japanese.
[23:51.000 --> 23:54.000]  I think you all got skin in the game more than the rest of us.
[23:54.000 --> 23:57.000]  I'd like to get your take on this.
[23:57.000 --> 24:01.000]  Merchant Marines, people that are going to the South China Sea.
[24:01.000 --> 24:03.000]  People that have family over there.
[24:03.000 --> 24:07.000]  That's who I want to open the phones up for the first round to make sure you can get in.
[24:07.000 --> 24:12.000]  Then once we get those calls, we got to be disciplined listeners so this won't work.
[24:12.000 --> 24:13.000]  Everybody calls in.
[24:13.000 --> 24:15.000]  We won't be able to get to the people to call.
[24:15.000 --> 24:20.000]  If you live in China or you live in the surrounding area and you have critical intel on this or you want to comment on what you're seeing,
[24:20.000 --> 24:25.000]  we're getting a lot of emails from folks that are in China as well that want to come on the show.
[24:25.000 --> 24:26.000]  So you'll see that here.
[24:26.000 --> 24:27.000]  You'll see that on the war room.
[24:27.000 --> 24:34.000]  I'm undoubtedly going to be up here this week at night doing special live reports with witnesses inside China.
[24:34.000 --> 24:37.000]  People on the ground, that's all being lined up right now.
[24:37.000 --> 24:42.000]  So we get the intel on what's really happening because it is people inside China.
[24:42.000 --> 24:46.000]  Americans, Brits, Chinese, you name it, that are getting out the video showing.
[24:46.000 --> 24:48.000]  It's far worse than they're saying.
[24:48.000 --> 24:51.000]  There's way more sick people and way more dead people.
[24:51.000 --> 24:53.000]  And of course we know that.
[24:53.000 --> 25:00.000]  The response to SARS with the hysteria in the media was much bigger than this.
[25:00.000 --> 25:09.000]  There's not the hysteria in the media, but there's the clamp down going on and the cover up of how much of this is already in the United States.
[25:09.000 --> 25:17.000]  And again, you get to a point where you learn information and then it's not that it's too dangerous to put it out.
[25:17.000 --> 25:20.000]  It's not that I want to be proven right later.
[25:20.000 --> 25:21.000]  It is.
[25:21.000 --> 25:29.000]  It does get to the point of maybe Trump's right not to tell people how bad this is right now because of some timeline and they don't want hysteria to set in.
[25:29.000 --> 25:35.000]  And you just want people to incrementally get ready to have a lot of dead people around because we don't want to crash the stock market.
[25:35.000 --> 25:38.000]  But then you want to warn people at the same time as well.
[25:38.000 --> 25:41.000]  But I look, I'm going to think about it some more.
[25:41.000 --> 25:43.000]  And this is not a cliffhanger thing.
[25:43.000 --> 25:53.000]  I just I just I'm usually very decisive and I don't know what to do because I've got a lot of sources that are very, very good.
[25:53.000 --> 25:59.000]  And they know that it's broken containment on the West Coast.
[25:59.000 --> 26:03.000]  And because they never had containment up when this has already been going on in China for months.
[26:03.000 --> 26:05.000]  This has been incrementally building for months.
[26:05.000 --> 26:07.000]  It's far bigger exponentially than they say.
[26:07.000 --> 26:09.000]  The virus has been out longer.
[26:09.000 --> 26:13.000]  It is strengthening in its mutation as G.G.P. has said.
[26:13.000 --> 26:15.000]  And this just looks really, really bad.
[26:15.000 --> 26:26.000]  OK, and I can tell you that the Pentagon is mobilizing and that they're already getting set up to identify the cases as they come into hospitals.
[26:26.000 --> 26:30.000]  And in most cases, you're not going to be told that this is what's going on.
[26:30.000 --> 26:37.000]  That's why they're not putting forward the gene sequencing to the labs so they can even be able to identify it.
[26:37.000 --> 26:45.000]  And I think the right thing to do is tell people now before it really starts spreading and killing a bunch of people so people know what to expect.
[26:45.000 --> 26:48.000]  I always tell my crew, give me the bad news right now.
[26:48.000 --> 26:49.000]  I want the bad news.
[26:49.000 --> 26:51.000]  I can't stand people that hide bad news.
[26:51.000 --> 26:53.000]  I want to get out in front of things.
[26:53.000 --> 26:54.000]  I want to know.
[26:54.000 --> 26:56.000]  I want to know now.
[26:56.000 --> 27:01.000]  Every time we lose, it's when I didn't get the information soon enough.
[27:01.000 --> 27:04.000]  And usually it's because we're just so busy and so much info is coming in.
[27:04.000 --> 27:12.000]  But I want to open the phones up for people in China or surrounding areas.
[27:12.000 --> 27:14.000]  I'm going to give the number out.
[27:14.000 --> 27:21.000]  It's 877-789-2539-877-789-2539.
[27:21.000 --> 27:48.000]  International dollar country code 1512-646-1776 or 877-789-Alex in 877-789-2539 or U.S. country code 1512-646-1776.
[27:48.000 --> 27:52.000]  And I'll go right to your phone calls from China or surrounding areas.
[27:52.000 --> 27:57.000]  And police listeners, we can only do this when you don't call in, which you've done a great job.
[27:57.000 --> 28:03.000]  It's how we're able to say, hey, we need law enforcement in Virginia.
[28:03.000 --> 28:10.000]  And then boom, we get like, you know, 10 calls from Virginia state police, local police get incredibly accurate information.
[28:10.000 --> 28:14.000]  And got a sense that almost all the police were totally upset and didn't like what was happening.
[28:14.000 --> 28:15.000]  And we're with the people.
[28:15.000 --> 28:17.000]  And I got there and met them and they loved us.
[28:17.000 --> 28:20.000]  It was good to not let the system blame the police.
[28:20.000 --> 28:22.000]  It's not about kissing the police's ass.
[28:22.000 --> 28:30.000]  It's that they are being ordered to do this by the system and the system is trying to set it up where we have a clash in the future with the police.
[28:30.000 --> 28:34.000]  Instead of there's any clashes, which I hope there aren't, it's with globalists.
[28:34.000 --> 28:41.000]  Kingfiends, not the police that are fellow citizens, stuck in the middle of this BS.
[28:41.000 --> 28:50.000]  But that's just an example that I was talking about 877-789-2539, infowars.com, newswars.com, band.video.
[28:50.000 --> 28:51.000]  Share those links.
[28:51.000 --> 28:52.000]  People are ready to hear the truth.
[28:52.000 --> 29:21.000]  We're analyzing this crisis like no other organization.
[29:21.000 --> 29:23.000]  My blood pressure has normalized.
[29:23.000 --> 29:25.000]  My diabetes has totally improved.
[29:25.000 --> 29:29.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[29:29.000 --> 29:32.000]  I recommend heart and body extract to everyone.
[29:32.000 --> 29:40.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[29:40.000 --> 30:03.000]  I would thank you for everything you've done for the Info War, but I know you're like me.
[30:03.000 --> 30:05.000]  You don't want my thanks.
[30:05.000 --> 30:11.000]  You want victory over the globalists and these devil worship and child molesters, and you want them off your back and off your children's back.
[30:11.000 --> 30:12.000]  You know what?
[30:12.000 --> 30:15.000]  I'm the same way, and that's why we're on the same damn team.
[30:15.000 --> 30:24.000]  And it's why Info Wars has been delivering time and time again when it's clutch time to focus the people on taking action against the globalist.
[30:24.000 --> 30:30.000]  Because I'm committed to a future for humanity, and I know you are as well.
[30:30.000 --> 30:38.000]  I want to thank you in 2019 for standing with us because you are the Info War, and I want to thank you for committing to stand with us in 2020 however you can.
[30:38.000 --> 30:47.000]  For the bottom of my heart, for my family, and for the great crew at Info Wars, I want to thank you all because you are the Info War, and you know that's not just words, that's reality.
[30:47.000 --> 30:49.000]  You have made history.
[30:49.000 --> 30:51.000]  We have made history together.
[30:51.000 --> 30:58.000]  InfoWars.com only has power because of you, and I suggest you use it.
[30:58.000 --> 31:07.000]  This time of year, I'm always promoting Winter Sun, our high quality, organic vitamin D3, vitamin K combo.
[31:07.000 --> 31:16.000]  Because it's in the fall, it's in the winter, it's in the spring, that people aren't getting sunlight so your body can't produce the vitamin D it needs,
[31:16.000 --> 31:24.000]  and then that's the main reason people succumb to things like influenza and other deadly viruses that are wreaking havoc out there.
[31:24.000 --> 31:30.000]  It's on record that you've got to have this to live, not just to defend against these viruses.
[31:30.000 --> 31:37.000]  So right now, we have Winter Sun still available, even though we always order only so much for sale during the fall, winter and spring.
[31:37.000 --> 31:50.000]  I'm going to let it sell out at the sales price of 40% off $23, despite the fact that I could sell it at full price because I want you to get it and I want to incentivize you protecting yourself and your family.
[31:50.000 --> 31:58.000]  So Winter Sun, taken out of the tongue, super high quality, 40% off, available now at InfowarsStore.com.
[31:58.000 --> 32:08.000]  It is I, the leader of Cobra here for a message to President Trump, the American people, and Alex Jones of Infowars.
[32:08.000 --> 32:19.000]  Our operation for our partners, the Communist Chinese, have bought control of your media, but it's true, your people are beginning to awaken.
[32:19.000 --> 32:31.000]  That's why Cobra is launching operations to trigger race war, mass shootings and bombings, which will be blamed on those loyal to America.
[32:31.000 --> 32:40.000]  Anyone once we stage these attacks that does not blame it on Trump will also be targeted by Cobra in the future.
