[00:00.000 --> 00:02.000]  We've got it
[10:35.500 --> 10:40.500]  What's going on, ISIS says we're going to invade you with giant immigrant flows as a weapon
[10:40.500 --> 10:49.500]  Ergun of Turkey says we're going to use open borders as a weapon, let us politically rally in your countries, let us take your countries over
[10:49.500 --> 10:55.500]  Or we'll flood you with even more, that's right, give in to our Islamic terror or we'll flood you with even more
[10:55.500 --> 10:59.500]  Oh here, let us capitulate, let us do whatever you want
[10:59.500 --> 11:07.500]  And now, German official wants 53 million fines for social media hate post
[11:07.500 --> 11:13.500]  That's right, German official wants 53 million fines for social media hate post
[11:13.500 --> 11:18.500]  Every time they say, oh but they go on to say and fake news
[11:18.500 --> 11:25.500]  Which is defined as anything criticizing the dying dinosaur media or the corrupt governments that are being thrown out
[11:25.500 --> 11:34.500]  And the EU of course says if you try to leave the EU, they've told a bunch of countries, our new EU army will invade you
[11:34.500 --> 11:41.500]  That's not authoritarian, Germany plans to find social media sites over hate speech and fake news
[11:41.500 --> 11:45.500]  We're going to be getting into that, isn't that just precious
[11:45.500 --> 11:55.500]  Meanwhile, you have the real hate being spewed by so-called entertainment shows like SNL and Homeland, NBC and CBS respectively
[11:55.500 --> 12:01.500]  Where they have the person playing the president, Alec Baldwin, a top tier actor
[12:01.500 --> 12:08.500]  Posing as the president, stealing his identity and then saying, Alec Jones told me black people aren't human
[12:08.500 --> 12:15.500]  No context, no reality, no nothing, just pure cut to the black people looking angry and going, oh I get it, you're racist
[12:15.500 --> 12:20.500]  People say, oh that's just entertainment, just like when Colbert attacked me two weeks ago
[12:20.500 --> 12:25.500]  You work for Alec Jones, don't you?
[12:25.500 --> 12:32.500]  Yes, well the two of you were renting this house together, but his name, your roommate's name is on the lease
[12:32.500 --> 12:35.500]  I see you get out right now, I'm throwing him out, I'm going to start eviction
[12:35.500 --> 12:38.500]  Hey listen, blah blah blah
[12:38.500 --> 12:44.500]  And these folks are what I call classical liberals, nice folks, not right wing in any respect
[12:44.500 --> 12:49.500]  And you and your little puppy, your little doxin get out of here and moved in with his girlfriend
[12:49.500 --> 12:57.500]  Oh but it's just entertainment, I saw he hates gay people on Colbert and I'm gay, get out of here
[12:57.500 --> 13:04.500]  I'm a lesbian, you work for Alec Jones, get out of here
[13:04.500 --> 13:11.500]  Because Colbert took a clip of me saying, they say I'm anti-gay, I'm not anti-gay
[13:11.500 --> 13:15.500]  But regardless, you're thrown out of your house, these are fascist folks
[13:15.500 --> 13:22.500]  They sit there and they lie with their fake niche, so they have all their actors posing as reporters like Colbert
[13:22.500 --> 13:29.500]  Or posing as the president like Baldwin, and then I say, you know, I'd like to have for charity a million dollars
[13:29.500 --> 13:34.500]  Whoever loses the charity of their choice, to bare knuckles box, because Baldwin's known for beating up little guys
[13:34.500 --> 13:39.500]  And camera people and they're acting tough and stuff, I mean, give me a break
[13:39.500 --> 13:42.500]  But I realize he's older than me, so I would take on him and O'Reilly
[13:42.500 --> 13:45.500]  Because O'Reilly is also slandered in the fame, I'll take both, I'm serious
[13:45.500 --> 13:50.500]  I'll take both of you on in the ring and I will beat both your asses into a pulp
[13:50.500 --> 13:55.500]  Guaranteed, guaranteed, guaranteed, I want to do it
[13:55.500 --> 14:00.500]  And after I kick both your asses in the ring, it's going to show all these pansies and all these wimps
[14:00.500 --> 14:02.500]  That run their mouths how the real world works, okay?
[14:02.500 --> 14:06.500]  Just like politically, we are mopping the floor with you
[14:06.500 --> 14:09.500]  Not only probably breaking my hands on you
[14:09.500 --> 14:16.500]  And so, did they tell you why I'm angry at them? No
[14:16.500 --> 14:22.500]  Bill O'Reilly said, tonight we'll look at sexual predators online and then cut to a clip of me yelling and screaming
[14:22.500 --> 14:28.500]  Strangely enough about corrupt policing
[14:28.500 --> 14:32.500]  That's the greatest form of defamation you can engage in
[14:32.500 --> 14:36.500]  No one's ever said I'm a sexual predator, I have no criminal record, it just goes on and on
[14:36.500 --> 14:40.500]  But he just says it so it's okay, see, it becomes reality for the delusionoids
[14:40.500 --> 14:44.500]  The delusionals that just believe mainstream television
[14:44.500 --> 14:46.500]  And then what does Alec Baldwin do?
[14:46.500 --> 14:52.500]  He says, Alex Jones of him, Alex Jones of him Four Wars, very credible, a talk show host
[14:52.500 --> 14:58.500]  Told me that black people aren't humans
[14:58.500 --> 15:03.500]  This is the baseness and then they've got the nerve to start blocking us on Facebook, Google
[15:03.500 --> 15:06.500]  They're letting us advertise on Google saying we're fake news
[15:06.500 --> 15:09.500]  We're the opposite and everybody knows that
[15:09.500 --> 15:12.500]  That's why our audience is exploding
[15:12.500 --> 15:17.500]  And that's why there's this dwindling, you know, Michael Savage had four books ago
[15:17.500 --> 15:21.500]  He's a multiple New York Times number one best-selling author
[15:21.500 --> 15:24.500]  Over 40 years, he's got like six or seven number ones
[15:24.500 --> 15:30.500]  He's been on the chart like 50 times, oh yeah, he's written almost 50 books that I know of just on herbs
[15:30.500 --> 15:34.500]  Got an actual medical degree in it, but the point is he's coming on next hour
[15:34.500 --> 15:38.500]  Michael Savage, his new book, Trump's War, His Battle for America
[15:38.500 --> 15:42.500]  His book, Exposing China as the main threat three years ago, was sold nowhere
[15:42.500 --> 15:45.500]  No one would carry it in stores, the publisher got threatened
[15:45.500 --> 15:49.500]  And they just told him, sorry, we'll let you have your advance
[15:49.500 --> 15:52.500]  But no one's gonna buy your book, in fact we're not gonna even ship it
[15:52.500 --> 15:55.500]  We couldn't even get them to ship it to us, we'd already bought thousands
[15:55.500 --> 15:58.500]  They wouldn't even ship them to us
[15:58.500 --> 16:04.500]  I'm not kidding, they wouldn't deliver the book because the Communist Chinese said you don't do it
[16:04.500 --> 16:07.500]  Of course back there's like, oh the Chinese are involved in controlling America, I mean come on
[16:07.500 --> 16:10.500]  Now they're in the news, Chinese buying up all six production studios
[16:10.500 --> 16:13.500]  Chinese Communists dictating what Washington does
[16:13.500 --> 16:16.500]  Communist Chinese, 10,000 plus front companies
[16:16.500 --> 16:18.500]  Communist Chinese telling Hollywood what scripts they can have
[16:18.500 --> 16:22.500]  Communist Chinese producing a whole bunch of movies where Donald Trump's a terrorist
[16:22.500 --> 16:27.500]  Taken out by US Special Forces, one of them directed by Michael Bay
[16:27.500 --> 16:31.500]  Communist Chinese helping Facebook, Google and Twitter
[16:31.500 --> 16:36.500]  Sensor fake news, thank God Communist Chinese, that is so big
[16:36.500 --> 16:39.500]  But we're just conditioned to it, be walked on by everybody
[16:39.500 --> 16:43.500]  Hey, I just landed from China or Mexico, I'm gonna have my baby for free
[16:43.500 --> 16:47.500]  And it's gonna be a citizen and you're gonna pay me $30,000 a year for my baby
[16:47.500 --> 16:52.500]  Racist, oh yes, oh we're the Communist Chinese, the biggest mass murderers in the world
[16:52.500 --> 16:56.500]  Oppressing our own people, we have the moral high ground with our suicide nets and mobile execution fans
[16:56.500 --> 17:01.500]  We're ordering you to do what we say and censor your nationalist news
[17:01.500 --> 17:05.500]  Davos, the Chinese President, they'll tell you he's a dictator
[17:05.500 --> 17:08.500]  Met and assured world leaders that globalism will survive
[17:08.500 --> 17:13.500]  And that they will force America and Trump to accept the global order
[17:13.500 --> 17:17.500]  Every American should say, wow, the Communist Chinese
[17:17.500 --> 17:28.500]  Meeting with world corporate leaders about how they're gonna run our lives and tell us what to do
[17:28.500 --> 17:33.500]  I was told five years ago by one of the biggest reality TV show production companies
[17:33.500 --> 17:35.500]  They were trying to get me to take over this big show
[17:35.500 --> 17:40.500]  I mean, we had Jesse James in here last week, he talked about how he gets like two offers a week
[17:40.500 --> 17:42.500]  I get like two a month, not anymore
[17:42.500 --> 17:44.500]  For stupid reality shows
[17:44.500 --> 17:48.500]  But when they're half decent, like a shooting show or something that's Americana
[17:48.500 --> 17:52.500]  Then the work comes out, actually there's investors in the networks now
[17:52.500 --> 17:54.500]  And they just say you're presiding on ground, I go, that's fine
[17:54.500 --> 17:56.500]  Why do you keep wanting to have these meetings with me? I don't want to do it
[17:56.500 --> 17:59.500]  Like, oh well, I know, it's just the Chinese government's so invested now
[17:59.500 --> 18:01.500]  And I'm like, really, the Chinese, yeah
[18:01.500 --> 18:04.500]  And then they couldn't put out red dawn part two
[18:04.500 --> 18:07.500]  Because the Chinese said no, remember all that?
[18:07.500 --> 18:10.500]  So that's how I learned about this, was actually being out in Hollywood
[18:10.500 --> 18:13.500]  They're like, listen, the Chinese run things now, okay?
[18:13.500 --> 18:18.500]  So that's what it is to be, I guess a globalist minion
[18:18.500 --> 18:20.500]  I'm gonna skip the break
[18:20.500 --> 18:24.500]  Is to live under this, so that's all coming up today
[18:24.500 --> 18:29.500]  We've got the economic news, we've got Democrats announced a bill to revoke Trump's extreme vetting order
[18:29.500 --> 18:34.500]  Just seven countries that basically don't even have governments that are collapsed like Somalia, Sudan and Libya
[18:34.500 --> 18:40.500]  Oh, here, let's just let people fly in unvetted with passports they can get off the crackerjack box
[18:40.500 --> 18:44.500]  Or the back of a cereal box, I mean, totally fake
[18:44.500 --> 18:48.500]  The governments announced through it war with us that they hate America
[18:48.500 --> 18:52.500]  But we're gonna accept their paperwork because this snake woman, let me just look at her
[18:52.500 --> 18:56.500]  These mummies that run our lives, like Frankenstein with a wig on
[19:01.500 --> 19:04.500]  Talk about a blockhead, but you know, she rules you
[19:04.500 --> 19:09.500]  And you know what, she's got a will to rule you and your family and sees you as prey
[19:09.500 --> 19:14.500]  And so you know what, I guess you are, because we're putting up with this witch
[19:14.500 --> 19:16.500]  Aren't we?
[19:19.500 --> 19:24.500]  I'm gonna go to a Paul Joseph Watson report that's very important and informative
[19:24.500 --> 19:31.500]  In a moment, and then I'm gonna come back and get into cobear mox conway by replacing show's cameras with microphones
[19:31.500 --> 19:35.500]  With microwaves, see I had a Freudian slip, I just can't lie
[19:35.500 --> 19:41.500]  So their headlines are deception in the hill, and so my brain converted it to the truth
[19:41.500 --> 19:47.500]  Cobear mox conway by replacing show's cameras with microwaves, joking that she said appliances can spy on you
[19:47.500 --> 19:51.500]  Really, we have that from the CIA director in Wired Magazine
[19:51.500 --> 19:56.500]  Will spy on you through your dishwasher, and it's in all the vaults, seven news, and everywhere
[19:56.500 --> 20:01.500]  But it's okay, because cobear, he's snotty, he makes fun
[20:01.500 --> 20:08.500]  You know, folks talking about death panels in the Obamacare, which were there, or how it ripped people off
[20:08.500 --> 20:12.500]  Because you know, like Rubber said, thank God you're such dumb efforts
[20:12.500 --> 20:16.500]  So that's all coming up as well
[20:16.500 --> 20:23.500]  Ken Langwin, Trump could turn out to be one of the best presidents if we all just get behind him
[20:23.500 --> 20:27.500]  That is absolutely right, he talks about we have a limited window though
[20:27.500 --> 20:33.500]  I have some criticisms of the president and this Paul Ryan bill, I'm going to do that at the bottom of the hour
[20:33.500 --> 20:37.500]  I've just analyzed the bill, it's better than Obamacare
[20:37.500 --> 20:45.500]  And quite frankly, the country is so shot, and healthcare is so shot that it'll all collapse if they don't do this
[20:45.500 --> 20:52.500]  If you look at the Republican establishment worldview of keeping things going the same way, it's still untenable
[20:52.500 --> 20:59.500]  It's going to collapse just down the road, even if you rob the middle class and double charge people that are healthy
[20:59.500 --> 21:07.500]  And charge old people more that are healthy, and then give a bunch of young people who are young and need to learn to work
[21:07.500 --> 21:10.500]  People didn't get free healthcare 20 years ago, 50 years ago
[21:10.500 --> 21:17.500]  All these so-called charity hospitals that you see everywhere that run for profit now, but are, quote, charities
[21:17.500 --> 21:20.500]  By the Catholic Church and all the rest of it
[21:20.500 --> 21:25.500]  Ladies and gentlemen, doctors are supposed to work a third of the time for charity
[21:25.500 --> 21:30.500]  The hospitlers started modern medical systems, that was a Catholic order
[21:30.500 --> 21:35.500]  Hospitlers, they started it all
[21:35.500 --> 21:40.500]  We had the best healthcare in the world 50 years ago, and the lowest cost as well
[21:40.500 --> 21:44.500]  With royalty from England and the Netherlands all came to Houston to have their heart surgeries done
[21:44.500 --> 21:47.500]  They went to DC and New York for cancer treatment
[21:47.500 --> 21:53.500]  And now, it was just a joke, we're falling apart because we're ripped off by big corporations and the big banks
[21:53.500 --> 21:59.500]  That wrote Obamacare, the Republicans wrote 80% of Obamacare
[21:59.500 --> 22:05.500]  The horrible blank checks to loot things and super scams and the rest was added on by Obama
[22:05.500 --> 22:11.500]  To totally bankrupt it even quicker and go to socialism right away, which is even worse obviously
[22:11.500 --> 22:15.500]  So this is a looting program that is better than Obamacare
[22:15.500 --> 22:19.500]  And I told you, Trump is very liberal in a lot of ways, folks
[22:19.500 --> 22:22.500]  But see, he's cutting taxes, he's getting factories in
[22:22.500 --> 22:26.500]  It's very liberal to put $25 million of the college endowment money
[22:26.500 --> 22:31.500]  That's close to 25% of what he's got budgeted the next four years to the black colleges
[22:31.500 --> 22:34.500]  I mean, that's true affirmative action, but directly to it
[22:34.500 --> 22:38.500]  And it's not to prove points, it's an attempt to shore up a collapsing civilization
[22:38.500 --> 22:43.500]  With the infrastructure programs, the military rebuilding, all of it is a plan to save the country
[22:43.500 --> 22:46.500]  And we're so socialist and domesticated, it kind of capitulates
[22:46.500 --> 22:49.500]  Like Ron Paul said, we're so socialist now
[22:49.500 --> 22:53.500]  How do you wean folks off? Well, I like Rand Paul's plan
[22:53.500 --> 22:56.500]  If I can get the senator back on, if we can
[22:56.500 --> 23:01.500]  He wanted to come on last week, I wanted to respond to this because he ran through a laundry list of how this is a bad bill
[23:01.500 --> 23:04.500]  Maybe we should queue that up later and play it again
[23:04.500 --> 23:08.500]  It was at the very start of the interview, maybe we'll play that next segment
[23:08.500 --> 23:12.500]  And it's all true, I mean it's got bigger penalties, but it's privately done
[23:12.500 --> 23:16.500]  If you've been out of the healthcare system for 63 days
[23:16.500 --> 23:20.500]  It's a corporate tax to these groups and it has the idea that
[23:20.500 --> 23:24.500]  We shouldn't have to take care of people that aren't insured, make them get insured
[23:24.500 --> 23:29.500]  Well, because of the wages and the taxes and the regulations, people can't afford it most folks
[23:29.500 --> 23:33.500]  And so they're supposed to be able to go to get emergency care, charity care
[23:33.500 --> 23:36.500]  Which is still there, but being phased out
[23:36.500 --> 23:43.500]  I know a lot of people that have, quote, you know, super serious diseases that are going to cost millions of dollars to treat over the decades
[23:43.500 --> 23:46.500]  And they make good money, but they're uninsurable
[23:46.500 --> 23:49.500]  Even if they have a good job, it's hard to get insured
[23:49.500 --> 23:53.500]  And I explained to them, you can go have this charity by charity care
[23:53.500 --> 23:56.500]  They didn't believe me, they made phone calls, they called back with their folks who live in New York
[23:56.500 --> 23:59.500]  For Crohn's disease operation, removed some intestine
[23:59.500 --> 24:01.500]  This is like 10 years ago
[24:01.500 --> 24:07.500]  They brought him in, saw what they were doing, saw that they had been uninsured, saw that the drugs had cost too much
[24:07.500 --> 24:12.500]  And the top Crohn's doctor in the country did his surgery and he's been like 90% better
[24:12.500 --> 24:17.500]  Well, I was telling him all this, because it was just a video editor that wasn't my employee, it was a contractor at the time
[24:17.500 --> 24:20.500]  And I was explaining all this to him
[24:20.500 --> 24:27.500]  And that even when he had insurance, he'd go to places here and they'd just give him more remicade and all these drugs that didn't work
[24:27.500 --> 24:33.500]  And he looked at me, he said, there's no such thing, and he would go to Austin hospitals, they'd lie and say, there's no such thing
[24:33.500 --> 24:37.500]  Yes, there's such a thing, it's still law, but people don't know this
[24:37.500 --> 24:44.500]  See, my dad managed medical centers, not just dental centers, been a lobbyist at the state house, all of it
[24:44.500 --> 24:50.500]  Done lobbying work, and he knows all about it, I know all about it, I grew up all around it
[24:50.500 --> 24:55.500]  When I was like 20 years old or younger, but I had owned part of a hospital in Dallas
[24:55.500 --> 24:59.500]  Believe me, I know the ins and outs of medical stuff
[24:59.500 --> 25:05.500]  And I didn't used to believe my dad when I was 16 or 15 when he got my driver's license, he said, don't sign the organ donor card, son
[25:05.500 --> 25:12.500]  And I said, why don't you go, some hospitals will kill you, if you come in in a car wreck, hurt, your brain will be fine, they'll kill you, they'll take the organs on the spot
[25:12.500 --> 25:17.500]  But I did what he told me, and then about, like I said, five years later, I'm full of story many times, 60 minutes
[25:17.500 --> 25:26.500]  That a report on Dallas and Chicago hospitals killing people for their organs, and Austin's been caught doing it too
[25:26.500 --> 25:30.500]  Oh yeah, some of the most wicked bandits out there folks are in the medical care
[25:30.500 --> 25:37.500]  Anyways, let me just digress, because I got off subject there, when we come back, I'll play Paul Watson's report
[25:37.500 --> 25:44.500]  And then we will get into all the other news that I'm going to be breaking down here
[25:44.500 --> 25:51.500]  But Trump has done the first thing here in real policy, not just in rhetoric
[25:51.500 --> 25:58.500]  Because the torture stuff I thought was wrong, and some of his understanding of how the spy grid works was incorrect with the iPhone
[25:58.500 --> 26:06.500]  And I'm not going to make excuses for what Trump's doing, I know he wants to get some victories done, he wants to fix Obamacare
[26:06.500 --> 26:12.500]  Which is meant to wreck the whole medical system and will do it the next 12 months, not just the two years, he's absolutely right about that
[26:12.500 --> 26:19.500]  And I see his reasoning, I understand what the president is talking about
[26:19.500 --> 26:27.500]  But you've got to just repeal it and then be honest and make charity care come back and just point out that it's up to folks to get their own insurance
[26:27.500 --> 26:35.500]  And really start moving to turn the economy back on so that people can afford it
[26:35.500 --> 26:44.500]  And then push for companies that are successful enough to offer it, but most companies are hanging on by their toenails, folks
[26:44.500 --> 26:49.500]  Hanging upside down, and it's just meant to bankrupt all the small businesses
[26:49.500 --> 26:56.500]  The big mega corporations have actuated all in, they're the ones lobbying for all the regulations, all the controls, because it'll bankrupt everything here
[26:56.500 --> 27:03.500]  And then they'll just go to China that has no healthcare, no childcare, no environmental systems, 18 hour work days, hell on earth
[27:03.500 --> 27:14.500]  I saw some disinfo article on vice about how the US only has 4% higher wages than China
[27:14.500 --> 27:18.500]  China has the most manipulated financial numbers on earth, that's admitted
[27:18.500 --> 27:27.500]  China has people working in their skilled factories for less than a dollar an hour
[27:27.500 --> 27:35.500]  But you just read something like that in vice and it's such fake news
[27:35.500 --> 27:41.500]  Speaking of fake news
[27:41.500 --> 27:50.500]  Snoop Dogg says he's anti-gun, but he has all these rap videos about shooting and killing people, his latest rap videos about killing cops
[27:50.500 --> 27:59.500]  They're spraying cops with bullets and they have a Donald Trump character dressed up like a clown who they kill, who they shoot
[27:59.500 --> 28:04.500]  And he calls for basically killing the president
[28:04.500 --> 28:19.500]  And I just think about how it's so punk, and I mean punk like a punk in prison, it's so sick that Snoop Dogg knows fully well he's priming young people to be prepared for prison
[28:19.500 --> 28:28.500]  That he's getting them into a culture that's meant to destroy them and that they have what, 4,000 shootings a year in Chicago?
[28:28.500 --> 28:35.500]  3,000 plus of them black, 2,000 deaths, that's the last numbers I saw, and it's almost all black on black
[28:35.500 --> 28:43.500]  And it's the gangster culture that the CIA admittedly created in the 80s and 90s and deployed us destroying communities everywhere
[28:43.500 --> 28:49.500]  And then Snoop Dogg sits there and makes it all about white versus black
