[00:00.000 --> 00:08.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[06:16.000 --> 06:26.000]  doing 10-15 media events a day, writing books, running campaign for liberty, supporting Rand Paul with incredible realignment.
[06:26.000 --> 06:36.000]  We're seeing politically, but he does it. And God bless him. He's Congressman Ron Paul. I want to talk about Iran, North Korea, the economy, the border situation.
[06:36.000 --> 06:43.000]  I want to talk about so many issues with Ron Paul, but a congressman from Texas joining us today.
[06:43.000 --> 06:56.000]  Congressman, first off, the political realignment. Every incumbent, whether it's Specter, a Democrat, or whether it's a Republican for the first time in 20 years, winning in Hawaii for the Congress to your son,
[06:56.000 --> 07:03.000]  Rand Paul, the 30-point defeat of the establishment Republican. Have you ever seen a realignment like this?
[07:03.000 --> 07:15.000]  Because generally, it's one political party or the other that is seeing massive losses. But what I'm seeing is across the board, incumbents and establishment candidates are being annihilated.
[07:15.000 --> 07:25.000]  I think that's absolutely right. This is different. I think there's been periods of time when people get very frustrated like you indicate they might shift back and forth from one party to the other.
[07:25.000 --> 07:40.000]  But right now, they're unhappy with both parties. But the real tragedy is that we don't have a good, and I say this word cautiously, a democratic process, a democratic election, the ability of parties to compete.
[07:40.000 --> 07:52.000]  There's a monopoly controlled by the Republicans and the Democrats. And since philosophically, they're not too far apart, they sort of gang up on anybody who wants to offer an alternative.
[07:52.000 --> 08:02.000]  So if we had had a very strong third party, so here all the way people talk about the Tea Party as if it's a party, but it really isn't a party, it's an alternative.
[08:02.000 --> 08:12.000]  And that's why the mixture comes up because sometimes Democrats are in trouble, sometimes Republicans are in trouble, but there's no one party to fulfill the role that is necessary.
[08:12.000 --> 08:23.000]  And I don't think that's going to happen soon because the laws make it very difficult to get on ballots and the media doesn't allow people to get into the debates and this sort of thing.
[08:23.000 --> 08:35.000]  So they're very, very handicapped. And I just think that we're going to see this messy situation, but I think it's just great that people are unhappy.
[08:35.000 --> 08:45.000]  They're very active, they want changes and they're picking and choosing and they're sending a loud message and both parties are getting a little bit upset.
[08:45.000 --> 08:52.000]  I mean, the Republicans, you know, in one sense they say, well, these Tea Party people are a little bit nuts, we can't deal with them.
[08:52.000 --> 09:00.000]  But then when they find out the Tea Party is a political force, they say, oh, I guess we better deal with them. So they're in a dilemma too.
[09:00.000 --> 09:08.000]  But I think it'll work out as long as the people who are unhappy stick to their guns and saying and trying to agree on some basic principles.
[09:08.000 --> 09:14.000]  We either have too much government or too little government. We either spend too much money or too little bit of spending money.
[09:14.000 --> 09:27.000]  We either have a lousy foreign policy or we don't have it. So I think those are the kind of things that we have to stick to our guns and be as consistent as possible and to see what we can do to contribute to a positive change in this country.
[09:27.000 --> 09:41.000]  There's no doubt, Congressman, I want to get your breakdown on this, that the establishment is scared, though, and they're going to pull out all the stops to try to demonize any type of true grassroots constitutionalist candidate.
[09:41.000 --> 09:45.000]  I mean, we're seeing them say, if you're against the health care bill, you must be a racist.
[09:45.000 --> 09:50.000]  But I think they've overplayed their hand by running around like chickens with their heads cut off.
[09:50.000 --> 09:57.000]  Yeah, and that's been around, but it's around right now a whole lot because the Tea Party movement is so much bigger.
[09:57.000 --> 10:05.000]  But I can remember in 1996, and I don't know exactly what you were doing in 1996, but when I was trying to get back into Congress,
[10:05.000 --> 10:21.000]  well, the Republicans and Democrats said, well, this guy's crazy. He's even critical of the federal war on drugs. Anybody who's critical on the war on drugs must mean he wants to give drugs to kids. That sort of thing.
[10:21.000 --> 10:25.000]  So they tried really hard to demonize me then, but I came back with honest answers that now the war on drugs doesn't work.
[10:25.000 --> 10:31.000]  I don't want to use drugs. I don't want to use drugs on my kids. I take care of women delivering babies.
[10:31.000 --> 10:36.000]  They emphasize the evil and the harm of drugs. You know, we won that argument.
[10:36.000 --> 10:45.000]  So they will always try to demonize individuals, but more so today than ever before because, like you say, they were trying to turn it around.
[10:45.000 --> 10:55.000]  Just because we oppose something Obama proposes, oh, you must be a racist. You know, it's a demagogues. It's the demagogues that really fucked me.
[10:55.000 --> 11:01.000]  But well, in 96, I was interviewing you when you were getting back into office, and I do remember that.
[11:01.000 --> 11:07.000]  And they, a few years ago, had your head floating around out in space, always trying to make you look like the outsider.
[11:07.000 --> 11:18.000]  But as many newspapers have reported, your views, the Constitution, my views, are now the majority view and the establishment is desperate and is very, very afraid.
[11:18.000 --> 11:23.000]  What else do you see them from your years of research and experiencing this in Congress?
[11:23.000 --> 11:29.000]  What else do you think the big central banks and others are going to do to try to keep control of the people?
[11:29.000 --> 11:43.000]  Well, I think whatever they think is necessary, and I had some information passed on to me sort of inside information of somebody who knew somebody that was well-tuned to the people at the Federal Reserve,
[11:43.000 --> 11:49.000]  and they said they are really, really concerned about our movement to expose the fed for what they're doing.
[11:49.000 --> 11:55.000]  Not so much that they think tomorrow we're going to have a victory and have a thorough audit, and the fed is going to end.
[11:55.000 --> 12:07.000]  But what they're upset or worried about is the fact that more and more people are aware of the Federal Reserve now, like never before, and exposure is the most important thing.
[12:07.000 --> 12:12.000]  Then the changes will come and the reforms will come. So they know exactly what we've been talking about.
[12:12.000 --> 12:22.000]  That's where we've had such a tremendous success in the freedom movement in the last decade or so, is that people have become aware of the power of the Federal Reserve.
[12:22.000 --> 12:28.000]  Well, I'm so delighted when I go to the universities and the next generation will know about the Federal Reserve.
[12:28.000 --> 12:31.000]  The Federal Reserve was something you never even learned about in college.
[12:31.000 --> 12:37.000]  I mean, they just fluffed over this. It was important. They took care of it. They knew how to run the economy.
[12:37.000 --> 12:43.000]  That has ended, and I think even those who defend the fed are very frightened about it.
[12:43.000 --> 12:47.000]  Did you have a chance to see the Big Nebrisinski speech to the CFR last week?
[12:47.000 --> 12:54.000]  Because he said, for the first time in world history, the planet is awake to us and our move for global government.
[12:54.000 --> 12:57.000]  And he basically said we are in trouble.
[12:57.000 --> 13:09.000]  I didn't see that, but I hope he has some real reasons to be worried about that. But was it Biden that said something the other day that Brussels should be the capital for the free world or something like that?
[13:09.000 --> 13:13.000]  Yeah, they're really coming out in the open with their world government because we've exposed it.
[13:13.000 --> 13:16.000]  I want to run rapid fire now through a bunch of different issues.
[13:16.000 --> 13:23.000]  While we have you, we're very honored to have Congresswoman Ron Paul with us today live on the 26th day of May 2010.
[13:23.000 --> 13:30.000]  You mentioned the war on drugs. I saw an interview with you back in the late 1980s.
[13:30.000 --> 13:35.000]  And you were talking about the CIA who had been caught chipping in heroin then.
[13:35.000 --> 13:42.000]  And a few months ago you gave a speech and said there's been a CIA coup in America since then.
[13:42.000 --> 13:49.000]  It's been in the New York Times, the Washington Post, AFP, French news agency, and even Geraldo Rivera on Fox.
[13:49.000 --> 13:56.000]  So yes, our troops are helping grow the opium for the farmers because if they don't, Al Qaeda will get it and sell it.
[13:56.000 --> 14:04.000]  What an amazing move to go from denying that they're producing it and shipping a lot of it in to saying, oh yes, we have to or Al Qaeda would get it.
[14:04.000 --> 14:12.000]  Well, if you just decriminalized it, that would take the money out and then Al Qaeda, as they call it, wouldn't, I mean, that was the excuse on the crack cocaine.
[14:12.000 --> 14:18.000]  Well, we've got to ship the cocaine in or the communists, you know, will get the money. Can you speak to that, sir?
[14:18.000 --> 14:27.000]  Well, I don't have the absolute proof of it, but my suspicion is, and just because of the stories you hear, I think they really want drugs to be illegal
[14:27.000 --> 14:35.000]  because I think that's the way they raise money for their governments is off the books. You know, they own banks.
[14:35.000 --> 14:44.000]  They can get involved in enterprise and they have to get their cash and it never comes through, well, not all of it.
[14:44.000 --> 14:51.000]  Some of it will come through appropriations and legally, even though we don't know where it goes and who controls it, but they even need even more money
[14:51.000 --> 14:55.000]  because they're doing so much, there's so much activity going on.
[14:55.000 --> 15:02.000]  So, in many ways, they are very, very powerful and they, it is in their interest to keep the drug war going.
[15:02.000 --> 15:12.000]  So, it's a bit of an irony that some very, very sincere church-believing people who want to take care of the kids believe that, you know,
[15:12.000 --> 15:22.000]  they have to keep this war going at the same time they're allies, inadvertently allies with the drug dealers who want the drugs to be kept illegal.
[15:22.000 --> 15:46.000]  And you point out, well, that the government and the CIA is involved as well.
[15:52.000 --> 16:02.000]  They help to create a new world order.
[16:02.000 --> 16:08.000]  We are part of a new world order, a new world order based upon collective action.
[16:08.000 --> 16:13.000]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[16:13.000 --> 16:17.000]  The new world order really is a tool for addressing a new world of possibilities.
[16:17.000 --> 16:20.000]  It means all the world under their control.
[16:20.000 --> 16:26.000]  The United Nations would take over America. The Tri-Lateral Commission would control the world.
[16:26.000 --> 16:34.000]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[16:34.000 --> 16:39.000]  I believe, first of all, that we now need nothing short of a world constitution for the global financial system.
[16:39.000 --> 16:42.000]  Global governance with the establishment of the G20.
[16:42.000 --> 16:48.000]  So, it's going to be an inner ruling elite and then everyone else. And I got news for you. You're everyone else.
[16:48.000 --> 17:00.000]  Invisible Empire, secure your copy today at infowars.com or prisonplanet.com or watch it online in the highest quality at prisonplanet.tv.
[17:00.000 --> 17:04.000]  Hello, this is Alex Jones with some important questions.
[17:04.000 --> 17:09.000]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[17:09.000 --> 17:11.000]  My answer would be all I can get.
[17:11.000 --> 17:16.000]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[17:16.000 --> 17:21.000]  How much do you want? When do you want it? Now or after the battle starts? When will you need it?
[17:21.000 --> 17:26.000]  Can you buy it without proper identification? Will there be any food? Will it make your children sick?
[17:26.000 --> 17:31.000]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[17:31.000 --> 17:35.000]  You wipe out all these problems if you have a good food supply.
[17:35.000 --> 17:41.000]  Food is your ammunition to fight for your freedom and your life. How much will you need? We don't know.
[17:41.000 --> 17:44.000]  How much do you want? All you can get. I'm Alex Jones.
[17:44.000 --> 17:55.000]  I want all of you good guys to live to fight another day. Call 1-800-409-5633 or check it out on the web at eFoodsDirect.com.
[17:55.000 --> 17:59.000]  Again, that number, 1-800-409-5633.
[17:59.000 --> 18:05.000]  The question is, where should the American people draw their line in the sand?
[18:05.000 --> 18:08.000]  What have we got? A republic or a monarchy?
[18:08.000 --> 18:12.000]  A republic is based on a constitution which protects minority rights.
[18:12.000 --> 18:16.000]  Not democracy, not mob rule, two wolves and a sheep voting on what's for dinner.
[18:16.000 --> 18:22.000]  So they think they own our land, they think they own our water, children, our education, our money.
[18:22.000 --> 18:26.000]  We have to define who we are and what we will tolerate.
[18:26.000 --> 18:30.000]  Somebody's going to ask you what you did during the Patriot uprising.
[18:30.000 --> 18:35.000]  We have the facts, we have the constitution, we have the Bill of Rights, we have common law.
[18:35.000 --> 18:39.000]  Knowledge is power, ladies and gentlemen, and I'm so excited to be able to offer you.
[18:39.000 --> 18:42.000]  Don't tread on me, rise the republic, tyranny is upon us,
[18:42.000 --> 18:46.000]  but liberty and the sleeping giant that is the American people is rising.
[18:46.000 --> 18:51.000]  A new tool in the info war, don't tread on me, order it at infowars.com
[18:51.000 --> 18:56.000]  or prisonplanet.com or call toll free 888-253-3139
[18:56.000 --> 19:00.000]  and support independent patriotic liberty films.
[19:00.000 --> 19:07.000]  The fall of America and the western world is an all new 10 hour documentary and survival guide rolled into one.
[19:07.000 --> 19:12.000]  In this film you will see the reasons why our government is failing and what you can do to prepare.
[19:12.000 --> 19:20.000]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Ike, Naomi Wolf, G. Edward Griffin, Doug McIntyre,
[19:20.000 --> 19:27.000]  Mark Crispin-Miller, Mickey Z, Doug Casey, David McElvaney, and myself, Alex Jones.
[19:27.000 --> 19:32.000]  Protect yourself and get the tools you need to protect your family from these difficult times.
[19:32.000 --> 19:38.000]  The fall of America and the western world at www.thefallofamerica.net
[19:38.000 --> 19:42.000]  or click on the banners at infowars.com and prisonplanet.com.
[19:42.000 --> 19:51.000]  Again that websites www.thefallofamerica.net or call 800-655-1577
[19:51.000 --> 20:02.000]  Prepare yourself and the ones you love today, fallofamerica.net
[20:02.000 --> 20:10.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:10.000 --> 20:17.000]  Well Congressman, I know you're super busy and none of us can be on top of everything,
[20:17.000 --> 20:22.000]  but would you like us to send you a packet of mainstream news where they just calmly admit
[20:22.000 --> 20:27.000]  that okay, our troops, I mean they had a Roldo Rivera with a Marine Corps commander,
[20:27.000 --> 20:32.000]  with the troops explaining why they helped the farmers grow the opium.
[20:32.000 --> 20:36.000]  I mean they're now basically bringing this out and hiding it in plain view.
[20:36.000 --> 20:42.000]  Yeah, well I've seen some of that but I can always look at more material when it's available.
[20:42.000 --> 20:44.000]  Well here's one more issue on that subject.
[20:44.000 --> 20:51.000]  Did you see the Washington Post two days ago, CIA units wacky idea depict Saddam as gay?
[20:51.000 --> 20:58.000]  And then in the article it quotes them as admitting that the CIA put out at least one fake Osama bin Laden video.
[20:58.000 --> 21:01.000]  That sounds like that should be a congressional investigation.
[21:01.000 --> 21:11.000]  Yeah, there's so many things that should be congressional investigations that sometimes though it becomes difficult if you hear of a real problem.
[21:11.000 --> 21:17.000]  Well I guess I ought to report this, where should I go, the FBI and the CIA that investigated for me?
[21:17.000 --> 21:19.000]  Who's going to investigate the investigators?
[21:19.000 --> 21:29.000]  And that's our job and that's what our responsibility is to hopefully wake up enough people to find out who to believe and who not to believe.
[21:29.000 --> 21:39.000]  Congressman, getting into what's happening on the economic front, we read your quotes a few weeks ago about Bernie Sanders
[21:39.000 --> 21:46.000]  paraphrasing basically he sold out or he flip-flopped and then Grayson running around saying we beat the Fed.
[21:46.000 --> 21:52.000]  I mean you're the real expert in Congress recognized on this with the Fed. What really happened?
[21:52.000 --> 21:59.000]  Well we got 1207 passed into the House Reform Bill and that bill passed on the House floor.
[21:59.000 --> 22:04.000]  The big vote was in the committee so that's in there even though it's in a very bad bill.
[22:04.000 --> 22:12.000]  When it got to the Senate, Bernie Sanders was the one that introduced 1207 and 604 I believe into the Senate and at the last minute
[22:12.000 --> 22:19.000]  he changed his mind and took what the establishment agreed to another severely watered down version of it.
[22:19.000 --> 22:25.000]  It wasn't really an audit, it was just a glimpse of what's been going on for the past two years which it had already agreed to.
[22:25.000 --> 22:36.000]  But it passed like I think 96 to 0 and the administration agreed to, Obama said he signed it and Democratic and Republican leadership
[22:36.000 --> 22:47.000]  agreed to that and then the 1207 version was brought up by Vitter and when that got to the Senate floor we only got 37 votes.
[22:47.000 --> 23:00.000]  So I think people should pay attention to those who did not vote for the real audit language in the Senate and this to me is a bailout for the system and for the Federal Reserve.
[23:00.000 --> 23:12.000]  But now they have finally passed that version in the Senate and it's going to conference so I'm trying to keep an eye on that very closely and see if we can influence the conference.
[23:12.000 --> 23:29.000]  I just don't know whether we get that modified or what will happen but I think right now the cars are stacked against us but we're going to keep fighting because the more attention we get and the more the people know
[23:29.000 --> 23:36.000]  I think we can be proud of how far we've gotten already and how much people know about it.
[23:36.000 --> 23:43.000]  That's right Congressman, 25 years ago you didn't get one cosponsor when you were first in Congress, now you passed it in the House and went to the Senate.
[23:43.000 --> 23:51.000]  I saw a headline where you were saying that those that voted against your audit the Fed bill will be held accountable though by the voters.
[23:51.000 --> 24:10.000]  They should be and every time you think of the Republicans will retaliate against Republicans. We saw that in Utah so these votes are very important and the bailout vote was crucial in a lot of this stimulus for the party movement.
[24:10.000 --> 24:16.000]  So this is just another vote that we can use and help alert the people.
[24:16.000 --> 24:27.000]  We've only got about six minutes left with Congressman Ron Paul. His time is so precious. We're going to give you some websites before he leaves so you can get involved in the campaign for Liberty or Rand Paul's campaign which is so important.
[24:27.000 --> 24:38.000]  But looking at the border situation, the deputy homeland security director said last Friday that they may not process illegals referred to them from Arizona.
[24:38.000 --> 24:47.000]  I've already seen previous reports of where sheriffs and others release illegals for serious crimes out of jail and the feds won't pick them up.
[24:47.000 --> 24:54.000]  I mean is this not serious dereliction of duty or treason by homeland security?
[24:54.000 --> 25:08.000]  So much can be solved with our use of our constitution and the principle of private property. If you have somebody walking your house and they're trespassing and they might not have even committed a crime.
[25:08.000 --> 25:15.000]  They might not have shot anybody or stolen anything yet. They trespass, just trespass and they walk in your house and they have no right to be there.
[25:15.000 --> 25:25.000]  We call the police and the police call them and they prosecute them. But they don't apply that to people who walk across this land and walk across these branches.
[25:25.000 --> 25:33.000]  Matter of fact, even if you do anything to stop trespassers, you can get into trouble. You're taking the law into your own hands. The states aren't allowed to do what they should do.
[25:33.000 --> 25:48.000]  And when the states finally get totally frustrated, they have to pass the law that is argued about. I have some reservations about that law, but not about the intent and what they're trying to do and the dereliction of duty of the federal government.
[25:48.000 --> 26:05.000]  I would like to see more approach to this. If you can't get them at the border and stop the influx, then as soon as they apply for benefits, then that's when we should deal with it.
[26:05.000 --> 26:21.000]  I agree. Deny them the welfare benefits and that will stop. But the government, again, wants this dependent group. Were you in the chamber when Calderon lectured and said, repass the assault weapons ban, effectively taking semi-automatics from American people?
[26:21.000 --> 26:34.000]  No, I wasn't there and that's a personal thing with me. There's a limit to what I can actually tolerate someday. So I did listen to it on TV and all, but I didn't feel like I should be present there.
[26:34.000 --> 26:36.000]  Did that discuss you?
[26:36.000 --> 26:51.000]  Yeah, it discussed me, but I knew what he was going to say and why do we give. A couple years ago, they had Karzai down there. Karzai is just our henchman that we have, a hired gun.
[26:51.000 --> 26:59.000]  And to have him down there as a head of the state and talking to a joint session of Congress, that's more than I need.
[26:59.000 --> 27:04.000]  Well, his brother is admittedly, even in the New York Times, the top opium king.
[27:04.000 --> 27:19.000]  Yeah. And at one of these days, we'll depose him. If something will happen, he'll be gone. The big thing over there right now is this battle is about to start in Afghanistan.
[27:19.000 --> 27:36.000]  And there's no guarantees that even with all our military might that we're going to have a military victory there. We will not have a political victory. It'll be a political defeat because it'll just further stimulate hatred and all the other problems that you get by occupation of foreign countries.
[27:36.000 --> 27:41.000]  But militarily, whether this battle can be won is the real question.
[27:41.000 --> 27:50.000]  Specifically, with the entire geopolitical situation, North Korea on a war footing, the Pentagon saying they're ready for war.
[27:50.000 --> 27:55.000]  Meanwhile, our own government helped give the reactors to North Korea, as you know.
[27:55.000 --> 28:02.000]  You've got the Israel saying they may strike Iran. Obama saying he would support them if they did.
[28:02.000 --> 28:13.000]  You've got the predator drones, a thousand of them now going in to Pakistan, which many experts say is an act of war. You've said the Iran sanctions are an act of war.
[28:13.000 --> 28:21.000]  I mean, it looks like the buildup to World War I or World War II. Can you speak to the overall atmosphere?
[28:21.000 --> 28:32.000]  Well, you know, it sort of blows my mind when I think about our financial crisis and not only the meltdown of the European nations, but ours as well.
[28:32.000 --> 28:42.000]  And that they hardly blink an eye that they can talk about spreading this war in the Middle East into Iran to continue the civilian CIA bombing of these various countries.
[28:42.000 --> 28:51.000]  But this thing in Korea, it's way out of proportion to what we should be doing.
[29:12.000 --> 29:19.000]  Staff, friends, and radio listeners are constantly telling me how much they love these products for bath, air, laundry, and dishes.
[29:19.000 --> 29:28.000]  There is nothing like these factory direct, big money saving triple concentrated soaps anywhere. Get a free, detailed catalog by calling 800-340-7091,
[29:28.000 --> 29:36.000]  or see them online at 5starsoap.com or infowars.com. Let's talk to the owner of 5star soap, Marty Schachter, and see what he has to say.
[29:36.000 --> 29:43.000]  As founder and owner for over 63 years, people keep asking me, how's business?
[29:43.000 --> 29:52.000]  I'm happy to say our business is going down the drain. Call us at 1-800-340-7091,
[29:52.000 --> 30:00.000]  or visit our website 5starsoap.com for buying a one to two month soap sampler. Thank you.
[30:00.000 --> 30:06.000]  Hi folks, this is Alex Jones, and I want to tell you about the Silver Lungs Generator.
[30:06.000 --> 30:15.000]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[30:15.000 --> 30:19.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[30:19.000 --> 30:31.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[30:31.000 --> 30:40.000]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[30:40.000 --> 30:53.000]  Very easy to follow step-by-step instructions are provided, making production fast and simple. Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[30:53.000 --> 31:14.000]  That's www.silverlungs.com. This is Alex Jones with five good reasons you should consider buying a solar power generator. Number one, new climate legislation could easily double or triple your electric bill. Number two, our new energy czar wants to control how much power your electric company allows you to have.
[31:14.000 --> 31:24.000]  It's true. Total government control of electricity in the name of smart grid technology is coming. Number three, in some areas of the country, the power grid is dangerously overloaded.
[31:24.000 --> 31:35.000]  And now, new socialist legislation is only compounding the problem. Number four, dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather-related onages.
[31:35.000 --> 31:45.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[31:45.000 --> 31:59.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[31:59.000 --> 32:05.000]  You may be arrested and or subject to other police action.
[32:05.000 --> 32:09.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[32:09.000 --> 32:11.000]  It really says that the state is God.
[32:11.000 --> 32:17.000]  The United States is now recognized globally as one of the most impressive police states on Earth.
[32:17.000 --> 32:30.000]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide. This documentary exposes how the continuity of government program has established an old powerful shadow state.
[32:30.000 --> 32:48.000]  Police State 4 chronicles the sickening depths to which our republic has fallen. Prepare to enter the secretive world of emergency dictatorship, body scammers, sound cameras, citizen spies, staged terror and cameras on every street corner. It's only the beginning of the New World Order's hellish plan.
[32:48.000 --> 33:01.000]  The police state isn't coming. It's here. Secure your copy today at infowars.com or see it online in the highest quality at prismplanet.tv.
[33:01.000 --> 33:22.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[33:22.000 --> 33:34.000]  All right, I'm going to get more into the oil spill disaster and evidence that it's more and more looks like a false flag coming up in the next hour. We'll get into the economy and a lot more.
