[00:00.000 --> 00:18.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the Info War.
[10:49.000 --> 11:01.000]  And is only now able to come on the show. I mean, it was a total freak out when he came on and said what he said. And what did he say? He's thinking missiles were transferred out of three giant warehouses.
[11:01.000 --> 11:08.000]  You can look at the Google Maps of this that were controlled by that building behind it, filled with all of these heavy, medium and light weapons.
[11:08.000 --> 11:25.000]  We're talking thousands of over 10,000 heat seeking missiles missing in Libya, several thousand. I also talked off record to an Air Force Colonel to an Air Force Colonel here in Austin, Texas.
[11:25.000 --> 11:38.000]  I'll just leave it at that. I talked to an Air Force Colonel in person that said yes, they got most of the 10,000 heat seeking missiles, and there were thousands in that building alone.
[11:38.000 --> 11:48.000]  And you had the Turkish ambassador, the foreign minister there meeting hours before my guest broke that months and months before it was in the news.
[11:48.000 --> 11:57.000]  And if you just tuned in, what am I getting at here? CNN Thursday night came out and we're going to play clubs of this after the break.
[11:57.000 --> 12:11.000]  CNN came out and said, oh, we're breaking that there were 35 CIA operatives in warehouses behind the building.
[12:11.000 --> 12:18.000]  And that there were missiles and heat seeking missiles in there. Now we broke this here, okay? And I don't want the credit.
[12:18.000 --> 12:34.000]  I just want people to understand we don't make stuff up. I told you a year and a half ago, right after the Navy Seals, 20 plus was a 23 Navy Seals blew up on a Chinook aircraft in a fake mission and then were attacked once they hit the ground.
[12:34.000 --> 12:44.000]  That I talked to a Navy SEAL who's a friend of the family for one of my dad's friends, his friends with his father, we've known him for over a decade, you know, enough to come over, you know, with barbecues at my parents' house.
[12:44.000 --> 12:54.000]  And they said, no, no, he's in another SEAL team. I'm going to say the SEAL team, but everybody that they talked to in SEAL Team 6 knows there was a bomb on the helicopter, and it was a setup.
[12:54.000 --> 13:05.000]  Well, I told you that over a year ago, now that's Fox News, that's Associated Press, since Michael Savage had some of the families on saying it two weeks ago, and then that forced them to cover it.
[13:05.000 --> 13:18.000]  And we're in contact with the families as well. They've been scared to come on so far. These are actual families that lost family, not the SEAL I knew, an active duty who has friends in SEAL Team 6.
[13:18.000 --> 13:30.000]  I don't make stuff up, you understand? And I know real information when I get it. We broke the Homeland Security documents saying veterans and gun owners and Tea Party people are the main terror threat.
[13:30.000 --> 13:38.000]  Remember that four years ago? People didn't believe it at first. We just continue to break bombshell after bombshell.
[13:38.000 --> 13:50.000]  You understand? I'm working seven days a week. I'll be honest, I can't even be home now with my wife and children. They're so innocent. They're so good. I just think, my God, they're not safe if I don't go fight this.
[13:50.000 --> 14:00.000]  I cannot. I don't even go home, basically, anymore. Because when I'm there, all I'm thinking about is this, and fighting it. That's how real this is, ladies and gentlemen.
[14:00.000 --> 14:08.000]  That's how in the game for this Republic and freedom I am. And I don't know where the other talk show hosts and people are. You think you're just going to play games with the New World Order?
[14:08.000 --> 14:18.000]  You're going to play games with the corrupt corporate mafias that have taken over our government? You think any of you are going to have a future? You think your bank accounts, your pension funds, your jobs are safe?
[14:18.000 --> 14:35.000]  Nobody's safe until we wake up as a country and get our nation back on track. We've never been perfect, folks, but we've never been this corrupt and this overrun by special interests and corrupt forces have never, never gotten away with things at this magnitude.
[14:35.000 --> 14:43.000]  You think I'm happy that we were all proven right from ten months ago, nine and a half months ago?
[14:43.000 --> 14:51.000]  I guess it was about nine months, nine and a half months ago. We broke this. And I sat there on Thursday and Friday going, didn't we report this first?
[14:51.000 --> 15:00.000]  I went and looked at it Friday and I looked at it and said, I'm like, infowars.com and my contacts and who we had on the air, we broke that.
[15:00.000 --> 15:11.000]  And then we're so forward looking, fighting the next globalist threat, the next authoritarian wave, that we weren't even going to report on the fact that we broke all this.
[15:11.000 --> 15:21.000]  And then weeks after we broke all this credit where it's due, the Kudlow report, that I've got to be honest, that show continues to actually tell the truth on so many issues.
[15:21.000 --> 15:31.000]  Like when the foreign banks brag they've conquered us, they show the headline. Or when they admit that foreign banks are stealing trillions, they report on it, they report it.
[15:31.000 --> 15:39.000]  We're going to play that clip that it was an arms deal. But the whole issue here is, there's no debate there was a standout.
[15:39.000 --> 15:45.000]  The only question is that they go, oh, it's embarrassing that our Al Qaeda buddies are killing people. Let's just say it was from a movie.
[15:45.000 --> 15:53.000]  And whitewash it or did they send them in to kill them so that there's dead men tell no tales of why Al Qaeda was given thousands of missiles,
[15:53.000 --> 15:59.000]  which the system is going to use then as a threat against the West to take all of our liberties. We'll be right back.
[15:59.000 --> 16:10.000]  There's a false sense of security that the greatest economic crash since the Great Depression is over. But unemployment is still at a 20 year high and until Americans are working again, the economy has not recovered.
[16:10.000 --> 16:20.000]  What is the smartest investment you can make? It's food. Having a supply of e-foods direct 25 year shelf life food is your best investment for the trouble times today and the future.
[16:20.000 --> 16:31.000]  For 32 years, the folks at e-foods direct have helped thousands take the trouble out of trouble times. So to celebrate our 32 year anniversary, get the best insurance possible with a special one time offer.
[16:31.000 --> 16:41.000]  A two month food supply for only $320 and free shipping. That's 352 servings of our newest and most popular award winning recipes at less than a dollar per serving.
[16:41.000 --> 16:51.000]  The 25 year shelf life allows you to lock your food cost against inflation. Call 800-409-5633 or go to efoodsdirect.com slash alex.
[16:51.000 --> 17:14.000]  The two month supply is only available for a limited time. Call 800-409-5633 or go to efoodsdirect.com slash alex.
[17:21.000 --> 17:31.000]  Our water is filled with toxic poisons and big pharma runoff. All of this has been engineered by design. We can turn the tide against the eugenicist.
[17:31.000 --> 17:44.000]  By giving ourselves the nutrients our body desperately needs. To learn more visit infowarshealth.com. The site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma.
[17:44.000 --> 17:52.000]  The fight against the new world order starts with you and you can't stand against the machine of your sick tired and obese when you visit infowarshealth.com.
[17:52.000 --> 17:59.000]  Be sure and check out the catalog with nearly 400 life changing products and get free shipping when you sign up for auto ship.
[17:59.000 --> 18:03.000]  Are we choosing our own destiny or has it been pre selected for us?
[18:03.000 --> 18:09.000]  As we've moved through history, every great leader has had to understand the potential of information.
[18:09.000 --> 18:17.000]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[18:17.000 --> 18:26.000]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[18:26.000 --> 18:33.000]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[18:33.000 --> 18:36.000]  All of this is happening so fast you need to be ahead of the game.
[18:36.000 --> 18:43.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[18:43.000 --> 18:45.000]  Out of another one, another plane just crashed.
[18:45.000 --> 18:49.000]  State of mind because there's a war on for your mind.
[18:49.000 --> 18:59.000]  Get your copy of state of mind the movie at infowars.com and remember every order at infowarsstore.com receives a free citizen rule book.
[18:59.000 --> 19:10.000]  Now is the perfect time to spring clean your body with supernatural silver, a non-toxic disinfectant for the body that can be used internally or externally.
[19:10.000 --> 19:16.000]  It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[19:16.000 --> 19:24.000]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge.
[19:24.000 --> 19:34.000]  Supernatural silver can help combat over 300 different conditions and it has the ability to kill over 143 types of bacteria, viruses, mold and yeast.
[19:34.000 --> 19:47.000]  Supernatural silver's patented technology includes advanced scientific research with over 180 scientific studies conducted at independent universities, hospitals, research institutions and nursing homes.
[19:47.000 --> 19:59.000]  To see how supernatural silver can change your life, go to supernaturalsilver.com. Use the promo code Silver2013 for 20% off and like us on Facebook.
[20:18.000 --> 20:33.000]  That's right my friends and you are tuned in to the Sunday live edition. We're also here weekdays noon to 3pm eastern 11am to 2pm central.
[20:33.000 --> 20:37.000]  The websites are infowars.com and prisonplanet.com.
[20:37.000 --> 20:53.000]  So here's the issue. You can go up to infowars.com and see our article with the YouTube stamped uploads from a week after September 11th attack in Benghazi last year.
[20:53.000 --> 20:57.000]  Two weeks after, three weeks after, a month after, two months after.
[20:57.000 --> 21:04.000]  Laying it out first, everything that happened in Benghazi and why is that important?
[21:04.000 --> 21:13.000]  Well, the next media outlet that I saw to tell the truth from their sources was the November 11th program on CNBC.
[21:13.000 --> 21:19.000]  The Kudlow report with John Batchelor, who I continue to see tell the truth.
[21:19.000 --> 21:25.000]  I mean, he got to give credit where credit's due and he made, I can't vouch for him on every subject. I don't watch it routinely.
[21:25.000 --> 21:28.000]  I just continue to see clubs where that guy, you know, was getting accurate information.
[21:28.000 --> 21:34.000]  And I wish this wasn't true. I wish it was just a group of out of control jihadis that went and killed some people.
[21:34.000 --> 21:39.000]  I wouldn't be happy about that, but it's a lot less scary than, well, wait a minute.
[21:39.000 --> 21:53.000]  My sources said that they hired several hundred local al-Qaeda militia, the same ones that they put in charge in Benghazi when they used that as a base of operations against Qaddafi, NATO, Obama, the globalist.
[21:53.000 --> 21:58.000]  And Congress had some issues with that, obviously, arming al-Qaeda there.
[21:58.000 --> 22:09.000]  And then they were using it to arm out of Libya, the weapons left over from that war, and Qaddafi stockpiles that were pretty high tech, including British, U.S. and French-made missiles, heat sinkers,
[22:09.000 --> 22:18.000]  to then give those to al-Qaeda, that is the main force, attacking Assad in Syria, to then turn that country over to al-Qaeda.
[22:18.000 --> 22:29.000]  And again, I've been telling you this for over two years. Now it's mainstream news that, yes, al-Qaeda makes up over 60% of the main fighters against Assad.
[22:29.000 --> 22:36.000]  Again, showing that our so-called government is using these people to destabilize the world and as a pretext to take our liberties.
[22:36.000 --> 22:39.000]  And I'm going to explain how this works in a moment.
[22:39.000 --> 22:48.000]  But this is a big deal that this has now been confirmed because you have Colonel Schaefer and Wayne Madsen coming up in the next segment.
[22:48.000 --> 22:58.000]  And Dr. Pachinnick and all these government sources we have, and an Air Force Colonel separately that I talked to off record, just a month after it happened,
[22:58.000 --> 23:05.000]  all confirmed what is just widely known. The Air Force Colonel said it is widely known.
[23:05.000 --> 23:15.000]  Anybody with an intelligence clearance knows it because it was in situation rooms in the Pentagon, situation rooms in Lainley, Virginia at the CIA, the NSA,
[23:15.000 --> 23:25.000]  on the aircraft carriers, the Mediterranean, at the NATO headquarters. They all had feeds of it happening in high death from the predators.
[23:25.000 --> 23:32.000]  And he said, he talked to people that were on duty and witnessed it. And people sat there as it played out hour after hour.
[23:32.000 --> 23:38.000]  It's one thing if you drop a missile and then a kid walks outside the hut, you go, oh my gosh, we killed a kid.
[23:38.000 --> 23:48.000]  It's another thing to sit there and watch people killed and fighting back hour after hour and being ordered to stand down.
[23:48.000 --> 23:56.000]  And then to see it all lied about in the media. That's why Benghazi is so dangerous for the Obamanoids.
[23:56.000 --> 24:03.000]  And so there was a stand down, the security that they hired to run Benghazi was the group.
[24:03.000 --> 24:08.000]  We have their name, the list, all of it that went and did the killing.
[24:08.000 --> 24:15.000]  But they had inside knowledge of how to attack a facility. That's now come out. Everything we were told came out later to be confirmed.
[24:15.000 --> 24:22.000]  And now CNN and the London Telegraph and AP and others are saying, yes, we've talked to CIA people.
[24:22.000 --> 24:29.000]  They're being given monthly polygraphs, something that's usually done every two years to find out if they're talking to the media, to cover up what's happening.
[24:29.000 --> 24:36.000]  And these people are so mad about what happened, they tell us it was an arms deal and it was missiles and heat seeking missiles.
[24:36.000 --> 24:40.000]  I mean, boom, that's Jack Tapper reporting that.
[24:40.000 --> 24:45.000]  So let's go to a small clip from that full report that we have linked up on infowars.com.
[24:45.000 --> 24:52.000]  Nine plus months after we told you first, again, we know what we're talking about. This has now come out.
[24:52.000 --> 25:00.000]  And the bigger issue is, if we know, if Alex Jones knows, if my guests know, the whole system knows, okay?
[25:00.000 --> 25:06.000]  So this is not a mystery to people in government. This is not a mystery to the media horse. Let's go to this clip.
[25:06.000 --> 25:13.000]  Lawmakers want to know about what happened with the terrorist attacks. There's this question of the weapons in Libya that were there and what happened to that.
[25:13.000 --> 25:23.000]  Yeah, the speculation on Capitol Hill has included that, Jake, the possibility that the U.S. agencies operating in Benghazi were actually secretly helping to move specifically
[25:23.000 --> 25:29.000]  service-to-air missiles out of Libya through Turkey and into the hands of Syrian rebels.
[25:29.000 --> 25:35.000]  We know two U.S. agencies operating in Benghazi. One was the State Department and the other was the CIA.
[25:35.000 --> 25:45.000]  The State Department told us they were only helping the new Libyan government destroy weapons that were deemed damaged, aged or too unsafe to retain,
[25:45.000 --> 25:50.000]  and that the State Department was not involved in any transfer of weapons to other countries.
[25:50.000 --> 25:56.000]  But the State Department, Jake, clearly told us they can't speak for any other agencies, meaning the CIA.
[25:56.000 --> 26:01.000]  And when you start talking about missions, the CIA just flatly would not go on record.
[26:01.000 --> 26:11.000]  All right. Now, ladies and gentlemen, we know they're the warehouses. We were told by just, I mean, the guy that co-wrote Tom Clancy's books for heaven's sakes.
[26:11.000 --> 26:19.000]  That's how high up Dr. Pachanik is. Former head of Black Ops, psych warfare, basically for the whole government, that that happened within weeks of it going on.
[26:19.000 --> 26:23.000]  Actually, it was on days after that I had him on earlier this year.
[26:23.000 --> 26:30.000]  Then we, again, had all these other witnesses on Colonel Schaefer, Wayne Madson, who's coming up in the next segment.
[26:30.000 --> 26:33.000]  Now, let's get credit where credit's due.
[26:33.000 --> 26:40.000]  Weeks after we break this, CNBC, Benghazi is not about Libya.
[26:40.000 --> 26:54.000]  It's about the NSC operation, exactly what Pachanik said, moving weapons into Turkey to al-Qaeda out of Libya.
[26:54.000 --> 26:57.000]  Here is that clip from nine months ago.
[26:57.000 --> 27:08.000]  Benghazi is not about Libya. Benghazi is about the policy of the Obama administration to involve the United States without clarity to the American people.
[27:08.000 --> 27:13.000]  Not only in Libya, but throughout the whole of the Arab world, now in turmoil.
[27:13.000 --> 27:28.000]  Benghazi is about the NSC directing an operation that is perhaps shadowy, perhaps has a presidential finding, perhaps doesn't, that takes arms and men and puts them into Syria in the guise of the Free Syrian Army.
[27:28.000 --> 27:32.000]  This is a very large story, Larry, and it's right in front of us for the second term.
[27:32.000 --> 27:35.000]  Boy, this thing's going to unravel like crazy. It's going to unravel like crazy.
[27:35.000 --> 27:37.000]  Alright, let's stop right there.
[27:37.000 --> 27:40.000]  Absolutely, it's going to unravel like crazy.
[27:40.000 --> 27:44.000]  And when we were covering this ten months ago, nine months ago, we were the conspiracy theorist.
[27:44.000 --> 27:50.000]  And these are real guests, real people that have proven accurate over and over and over again.
[27:50.000 --> 27:54.000]  The mainstream media, most of the time, is trying to lie to you and keep you in the dark, folks.
[27:54.000 --> 27:57.000]  Everybody knows the truth who isn't completely stupid.
[27:57.000 --> 28:01.000]  Just most people in the system play along with the lie.
[28:01.000 --> 28:09.000]  I want to play Representative Anne Wagner, who was also an ambassador just a few months ago, saying only Obama could give the stand down order as we go out to break.
[28:09.000 --> 28:13.000]  And last quick question I have for you, Congresswoman.
[28:13.000 --> 28:23.000]  Because you have been an ambassador, you have been overseas with similar responsibilities and similar missions, who gives such an order to stand down?
[28:23.000 --> 28:25.000]  Where does that come from?
[28:25.000 --> 28:27.000]  The President of the United States.
[28:27.000 --> 28:30.000]  The President of the United States.
[28:30.000 --> 28:33.000]  Alright, when we come back, we're going to get Wayne Madsen.
[28:33.000 --> 28:37.000]  He formerly worked in one of the security details over the NSA.
[28:37.000 --> 28:40.000]  Now known as the Q Group.
[28:40.000 --> 28:43.000]  That's the people that keep the secret secret.
[28:43.000 --> 28:50.000]  He's going to be coming on with us to break down now nine months after he broke all this here.
[28:50.000 --> 28:55.000]  Any other details we have and ask, what does it mean that all this is now beginning to come out?
[28:55.000 --> 29:08.000]  Is it damn broke on Benghazi? Will it bring down Obama?
[29:25.000 --> 29:33.000]  You're getting soap products twice as good as what you're using now.
[29:33.000 --> 29:38.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[29:38.000 --> 29:45.000]  Call 1-800-340-7091 or visit www.5-star-soap.com.
[29:45.000 --> 29:50.000]  Alex and his staff have used these earth-friendly pure soaps for years.
[29:50.000 --> 30:00.000]  You can see them on the web www.5-star-soap.com or call 1-800-340-7091 for a catalog.
[30:20.000 --> 30:23.000]  You can trust SimplySafe to protect your family.
[30:23.000 --> 30:27.000]  SimplySafe was created by a Harvard Business School engineer and it's revolutionary.
[30:27.000 --> 30:31.000]  You'll get 24-hour protection for just $14.99 a month.
[30:31.000 --> 30:34.000]  There are no hidden fees and no contracts.
[30:34.000 --> 30:38.000]  You'll save thousands, plus you're protected by their 100% money-back guarantee.
[30:38.000 --> 30:42.000]  Protect yourself against home invasions and break-ins.
[30:42.000 --> 30:48.000]  Order your SimplySafe system now and receive a wireless keychain remote, a $25 gift, free.
[30:48.000 --> 30:51.000]  So don't waste your time dealing with scum.
[30:51.000 --> 30:54.000]  Visit GetSimplySafe.com.
[30:54.000 --> 30:56.000]  GetSimplySafe.com.
[30:56.000 --> 31:19.000]  GetSimplySafe.com.
[31:27.000 --> 31:29.000]  GetSimplySafe.com.
[31:29.000 --> 31:58.000]  GetSimplySafe.com.
[31:59.000 --> 32:13.000]  With over 3,000 years of historic use, pure silver continues to be one of nature's most reliable and effective agents against fighting viruses, mold, fungus, bacteria, pathogens and parasites.
[32:13.000 --> 32:24.000]  At Silver Lungs, we have developed a reliable and easy to use full production system for creating endless pure nano-silver solutions right from the convenience and comfort of your home.
[32:24.000 --> 32:29.000]  Your self-produced nano-silver solutions can be applied topically to the skin.
[32:29.000 --> 32:46.000]  For many who are new to silver that wish to try silver for the first time, we offer a full line of consumables and cosmetics, such as our 2-ounce nano-silver nasal sprays, our nano-silver soap and our most popular product, the all-natural nano-silver gel.
[32:46.000 --> 32:58.000]  Visit www.silverlungs.com to learn more about the industry-leading technology of the Silver Lungs system. That's www.silverlungs.com.
[33:16.000 --> 33:21.000]  Part of the Resistance. You're listening to the Alex Jones Show.
[33:21.000 --> 33:46.000]  Again, thank you for joining us on this live Sunday edition. We've been talking about Benghazi and what it means. I mean, why would they want to order a stand-down and let people be killed?
[33:46.000 --> 33:57.000]  Bare minimum they order a stand-down. That's come out. There was a stand-down. They're threatening everybody. They're acting totally paranoid. They've been caught lying. We know there were arms being transferred.
[33:57.000 --> 34:04.000]  But did they go in there to get rid of the State Department because the State Department wouldn't transfer the heat-seeking missiles to Al-Qaeda?
[34:04.000 --> 34:15.000]  That's now being discussed on CNN. That's now what the CIA whistleblowers are telling CNN and Reuters and AP.
[34:15.000 --> 34:24.000]  This is so big. We're going to get to that with Wayne Madsen, NSA whistleblower in his own right, who's testified to Congress, the EU, you name it.
[34:24.000 --> 34:34.000]  Ladies and gentlemen, first off, I want to tell you about infowarshealth.com. Whatever I promote, it's the very best out there at the lowest price.
[34:34.000 --> 34:46.000]  I go out and find the best products, whether it's pure water filters with 10% off of promo code water, the best gravity-fed filters, stainless steel, portable, you name it.
[34:46.000 --> 34:54.000]  And they've got some new systems as well, like they're Nomad at infowarshealth.com. I go out and find the very best products.
[34:54.000 --> 35:06.000]  And I went and did a year of research until we found the very best clean, brown seaweed with all of its amazing health effects for the thyroid and the blood, according to all the medical doctors we've interviewed,
[35:06.000 --> 35:11.000]  with the Modifylon available at infowarshealth.com.
[35:11.000 --> 35:28.000]  But separately, we have close to 400, it may be over 400 products at infowarshealth.com, like Beyond Tany Tangerine 2.0, citrus peach fusion, the ultimate multivitamin mineral complex superdrink that has whole foods, trace minerals, antioxidants,
[35:28.000 --> 35:33.000]  probiotics, prebiotics, amino acids, essential cofactors, and more.
[35:33.000 --> 35:44.000]  Go to infowarshealth.com to get the lowest price anywhere on Beyond Tany Tangerine, the original and 2.0, totally organic, certified non-GMO, organic.
[35:44.000 --> 35:51.000]  Nobody else can say that with the superdrinks that are out there. It's got everything, every mineral, trace element, you name it, it is simply amazing.
[35:51.000 --> 36:03.000]  Beyond Tany Tangerine 2.0, the osteo FX, the CEM plus, you name it, it is all available at infowarsstore.com or infowarshealth.com.
[36:03.000 --> 36:12.000]  And you can also call to ask any questions or order 888-789-9277, 888-789-9277.
[36:12.000 --> 36:17.000]  The great InfoWars team is there 24 hours a day, 7 days a week to answer your questions.
[36:17.000 --> 36:23.000]  They can help you sign up online if you need help. It's pretty simple, but if you need any help, they can also help you sign up to get free shipping and other discounts.
[36:23.000 --> 36:31.000]  You can become a distributor or signing up for $10 and get big discounts or just buy right off the shopping cart at infowarshealth.com.
[36:31.000 --> 36:39.000]  And by shopping with the good guys, we're not funded by taxpayer money like NPR or MSNBC that gets bailout money and stimulus money.
[36:39.000 --> 36:44.000]  We're funded by like-minded people that vote with their dollars in the free market, free association.
[36:44.000 --> 36:56.000]  So if you like the hardcore journalism that's pro-America, pro-liberty, not left or right, but just hardcore truth, then support us at infowarsstore.com and infowarshealth.com today.
[36:56.000 --> 37:06.000]  All right. Going to Wayne Madsen of WayneMadsenReport.com, he is a syndicated columnist written for some of the biggest papers in the country.
[37:06.000 --> 37:16.000]  Reported on, broke major national news stories on national security, helped found what the Electronic Frontier Foundation and other groups has testified to the EU, the Congress.
