[00:00:05.495 --> 00:00:06.215]  We're live.
[00:07:40.779 --> 00:07:42.679]  Open world government.
[00:07:42.679 --> 00:07:45.639]  Incredible microchips to buy and sell.
[00:07:45.639 --> 00:07:47.920]  Forced inoculations are now
[00:07:49.429 --> 00:07:55.890]  Not a thing of the misty future and of the Bible.
[00:07:55.890 --> 00:08:02.391]  Not something of preachers discussing in their churches.
[00:08:02.391 --> 00:08:07.732]  No, now prophecy is fulfilled.
[00:08:07.732 --> 00:08:13.253]  And they demand you turn your children over them for sterilization.
[00:08:13.253 --> 00:08:16.194]  They demand you worship the world government and the market of the beef.
[00:08:16.980 --> 00:08:32.550]  They demand that you take vaccines into your body that have engineered live viruses that literally eat parts of your brain associated with religious and high brainwave events.
[00:08:32.550 --> 00:08:38.994]  Yes, ladies and gentlemen, that's what's going to be in Bill and Melinda Gates' vaccine.
[00:08:38.994 --> 00:08:40.135]  I meant a huge deal about this.
[00:08:41.825 --> 00:08:50.470]  15 years ago, the videos have all been taken down off of YouTube, but you can still find them here and there on other platforms.
[00:08:50.470 --> 00:08:54.012]  Alex Jones brain-eating vaccines.
[00:08:54.012 --> 00:09:06.319]  And then I show all these mainline articles, all these studies, all these documents, where the Pentagon was testing an anti-depression or anti-PTSD vaccine.
[00:09:06.319 --> 00:09:08.540]  The vaccine is just something they're injecting into your body.
[00:09:10.165 --> 00:09:12.266]  Not just to quote, learn immunity.
[00:09:12.266 --> 00:09:13.806]  But it could be to reprogram the body.
[00:09:13.806 --> 00:09:14.947]  It could be nanotech now.
[00:09:14.947 --> 00:09:21.089]  And you see the headlines, an anti-stress vaccine is being tested.
[00:09:21.089 --> 00:09:25.290]  You see other headlines going back 20 years.
[00:09:25.290 --> 00:09:26.211]  Dealing with this.
[00:09:26.211 --> 00:09:30.112]  Oh, they have new vaccines that cure people who are addicted to cigarettes.
[00:09:30.112 --> 00:09:32.973]  They have a new vaccine that cures people addicted to cocaine.
[00:09:32.973 --> 00:09:39.095]  They have a new vaccine that cures people addicted to opium.
[00:09:40.765 --> 00:09:43.306]  And then you read the patents.
[00:09:43.306 --> 00:09:58.149]  It's live viruses that go in to the receptor sites where you would receive those endorphin simulators and it destroys those.
[00:09:58.149 --> 00:10:07.091]  So it's a microscopic targeted lobotomy that cuts out higher emotions and spiritual
[00:10:08.504 --> 00:10:09.084]  Emotions.
[00:10:09.084 --> 00:10:11.485]  Things associated with ecstasy.
[00:10:11.485 --> 00:10:13.986]  Things associated with victory.
[00:10:13.986 --> 00:10:18.248]  Things associated with exuberance.
[00:10:18.248 --> 00:10:21.589]  The psychotics don't have those receptors, ladies and gentlemen.
[00:10:21.589 --> 00:10:22.590]  Or they don't have as many.
[00:10:22.590 --> 00:10:25.291]  And they don't want you to have them.
[00:10:25.291 --> 00:10:26.972]  They don't want you to be happy.
[00:10:26.972 --> 00:10:30.173]  You know, in the old parable of sleeping beauty.
[00:10:33.018 --> 00:10:34.998]  Why is the witch mad?
[00:10:34.998 --> 00:10:36.619]  Well, the king and queen are happy.
[00:10:36.619 --> 00:10:37.899]  He's handsome, she's beautiful.
[00:10:37.899 --> 00:10:39.119]  They have a happy kingdom.
[00:10:39.119 --> 00:10:43.160]  They have a beautiful daughter that's born.
[00:10:43.160 --> 00:10:46.461]  And she comes and puts a curse on her because the witch wasn't invited to the party.
[00:10:46.461 --> 00:10:55.622]  And she says, before her 16th birthday, she will prick her finger on the spinning wheel and die.
[00:10:55.622 --> 00:10:59.623]  But then the good fairies can't take the magic away, but they can change it and they say,
[00:11:01.249 --> 00:11:06.752]  She will fall into a deep sleep and then only a kiss of true love can change it.
[00:11:06.752 --> 00:11:09.633]  Well, why do we have all those archetypes in every culture?
[00:11:09.633 --> 00:11:12.614]  It's telling you only love can overpower this evil.
[00:11:12.614 --> 00:11:15.536]  And the evil doesn't want you to have a happy kingdom.
[00:11:15.536 --> 00:11:21.118]  Doesn't want men and women to be together and have families and have the reward of good wholesome societies.
[00:11:21.118 --> 00:11:26.241]  They want degradation and collapse because they don't have it.
[00:11:27.571 --> 00:11:39.295]  They're miserable, horrible, evil, grasping people who are communing with evil spirits, evil entities in the universe that seek to destroy the planet.
[00:11:39.295 --> 00:11:49.959]  They've made an alliance for evil knowledge to do horrible things and all they build is death and destruction.
[00:11:53.991 --> 00:12:01.261]  Publicly, the very groups that engineered COVID-19 and launched it and created the hysteria and now demand the lockdown.
[00:12:02.768 --> 00:12:29.322]  Are the groups that have the vaccines already prepared, the virus is already patented, the under-the-skin inoculations with the vaccine to track that you've had the vaccine that'll then be used as a digital system for a digital currency with all 7 million people forcibly inoculated with Bill and Melinda Gates's worldwide computer operating system under the skin so you're allowed to buy and sell and at the same time it is the currency.
[00:12:29.322 --> 00:12:31.343]  It's all been announced in
[00:12:33.134 --> 00:12:40.400]  Patent 2020-06-06-06.
[00:12:40.400 --> 00:12:44.143]  You cannot make that up.
[00:12:44.143 --> 00:12:45.084]  The barcode 666.
[00:12:45.084 --> 00:12:47.046]  You go, why is it all 666?
[00:12:47.046 --> 00:12:49.448]  Because they're telling you.
[00:12:49.448 --> 00:12:50.949]  It's the number of a man.
[00:12:50.949 --> 00:12:52.851]  It's your number.
[00:12:52.851 --> 00:12:55.113]  And the prefix is 666.
[00:12:59.591 --> 00:13:00.752]  And who brought you this?
[00:13:00.752 --> 00:13:03.573]  IBM with the prototype 666.
[00:13:03.573 --> 00:13:05.054]  Who brought you Microsoft?
[00:13:05.054 --> 00:13:07.014]  Who brings you 666?
[00:13:07.014 --> 00:13:15.938]  And IBM that ran the death camps with their barcodes that they had then did the code just like the Egyptians in their sun room.
[00:13:15.938 --> 00:13:21.321]  The secret code was 666 for a secret mathematical equation they believe the sun god gave them.
[00:13:22.352 --> 00:13:33.845]  And if you do 33 pi 666, talk to mathematicians, it does build in some secret combination into some secret number that is the highest secret of the Illuminati.
[00:13:33.845 --> 00:13:40.773]  And that they want implanted in us as part of a ritual to have us merge under that system and then be directed
[00:13:41.932 --> 00:13:44.574]  As the Egyptians believed by the Sun God.
[00:13:44.574 --> 00:13:50.458]  But instead it'll be satellites and 5G directing and controlling your every movement in the patent.
[00:13:50.458 --> 00:14:02.366]  And if you don't move like a video game, exactly as the 5G and the satellites say, you are turned off and no money is given to you.
[00:14:02.366 --> 00:14:06.629]  This is all being publicly announced.
[00:14:06.629 --> 00:14:07.029]  W-O 2020.
[00:14:11.459 --> 00:14:12.660]  0-6-0-6-0-6.
[00:14:12.660 --> 00:14:16.584]  Cryptocurrency system using body activity data.
[00:14:16.584 --> 00:14:23.089]  And then that ties to his patent for the ink that goes under the skin in the vaccine to prove you've had it.
[00:14:23.089 --> 00:14:25.672]  Nanotech in your body.
[00:14:25.672 --> 00:14:27.954]  And the patent is in the wrist.
[00:14:29.960 --> 00:14:31.362]  They start you with a drill.
[00:14:31.362 --> 00:14:33.204]  Oh, first you wear the mask.
[00:14:33.204 --> 00:14:35.326]  Then you social distance.
[00:14:35.326 --> 00:14:37.448]  Now you wear a bracelet.
[00:14:37.448 --> 00:14:40.952]  Then you get an implantable chip.
[00:14:40.952 --> 00:14:43.074]  And those that get the chips are going to be rewarded.
[00:14:43.074 --> 00:14:45.036]  They already are.
[00:14:45.036 --> 00:14:49.661]  When they beta tested this 15 years ago in Florida and in Spain of all places,
[00:14:50.925 --> 00:15:01.091]  The UN paid to have it where, to get in the VIP club with the topless dancers who would then have, you know, obviously service you, if they felt like it, the champagne rooms.
[00:15:01.091 --> 00:15:06.214]  You would take a microchip to get in, but it'd be free, you just had to get the microchip.
[00:15:06.214 --> 00:15:08.416]  That was a sponsored program.
[00:15:08.416 --> 00:15:11.177]  Let me tell you, six months ago, we confirmed it.
[00:15:11.177 --> 00:15:17.261]  The official UN group subcontract had put microchips in homeless people in Central and South America.
[00:15:17.261 --> 00:15:19.042]  They were doing it to Austin homeless.
[00:15:19.042 --> 00:15:20.303]  It was confirmed, had the documents.
[00:15:22.173 --> 00:15:25.198]  That's the population they're hitting first with it.
[00:15:25.198 --> 00:15:27.242]  Then their money is put onto the chip.
[00:15:27.242 --> 00:15:29.926]  And it's put on by a UN body.
[00:15:31.513 --> 00:15:33.734]  That's already taking over the U.S.
[00:15:33.734 --> 00:15:34.855]  government and all other governments.
[00:15:34.855 --> 00:15:38.396]  And you notice the WHO is running everything now and telling us what to do.
[00:15:38.396 --> 00:15:40.037]  And what is Trump doing?
[00:15:40.037 --> 00:15:41.598]  He's fighting it.
[00:15:41.598 --> 00:15:44.740]  And he's saying, no, the WHO is not in charge.
[00:15:44.740 --> 00:15:46.580]  In fact, they covered up the Wuhan lab.
[00:15:46.580 --> 00:15:47.661]  Well, of course they did.
[00:15:47.661 --> 00:15:48.662]  They had to release it.
[00:15:48.662 --> 00:15:51.883]  But then the virus is deadly, but not that deadly.
[00:15:51.883 --> 00:15:53.364]  Well, then why is it man-made?
[00:15:53.364 --> 00:15:55.205]  Because Bill and Melinda Gates are going to own it.
[00:15:55.785 --> 00:15:57.667]  They're going to own it and own the testing.
[00:15:57.667 --> 00:16:03.772]  Get healthy, not high, with 100% pure CBD powerful natural pain relief from Veterans Vitality.
[00:16:03.772 --> 00:16:07.576]  GCN listeners, have you ever thought about how CBD may help you?
[00:16:07.576 --> 00:16:10.198]  I'm sure you've heard about the many benefits of CBD.
[00:16:10.198 --> 00:16:12.661]  Well, here's your opportunity to try before you buy.
[00:16:12.981 --> 00:16:16.162]  It's made by veterans, created by veterans and for everyone who deserves better choices.
[00:16:16.162 --> 00:16:20.404]  Our CBD is derived from organic hemp, grown in the USA and third party tested.
[00:16:20.404 --> 00:16:28.847]  Veterans Vitality CBD saves you as much as 25 to 50 percent over our competition and a portion of all sales is contributed to veteran nonprofits and events.
[00:16:28.847 --> 00:16:34.909]  Many of our customers have experienced improved quality of life, help with anxiety, PTSD and overall well-being.
[00:16:35.249 --> 00:16:37.431]  Our products do not contain THC.
[00:16:37.431 --> 00:16:40.893]  They are safe, non-addictive, effective, and 100% legal.
[00:16:40.893 --> 00:16:48.519]  GCN listeners, get your free trial bottle of Premium CBD by simply paying, shipping, and handling at GCNFreeCBD.com.
[00:16:48.519 --> 00:16:51.001]  That's GCNFreeCBD.com.
[00:16:51.001 --> 00:16:53.623]  Again, GCNFreeCBD.com.
[00:16:53.623 --> 00:16:55.685]  Offered by Veterans Vitality Premium CBD.
[00:16:57.375 --> 00:17:00.816]  Attention all radio listeners who still need food supplies.
[00:17:00.816 --> 00:17:10.179]  If you've thought about the implication of food-related supply chain disruptions and are concerned about the coming quarantines, this will be the most important message you will ever hear.
[00:17:10.179 --> 00:17:11.099]  Here's why.
[00:17:11.099 --> 00:17:15.180]  In the next few days, all Americans will face extremely hard choices.
[00:17:15.180 --> 00:17:23.282]  If we've learned anything from China and Italy, it's that quarantines and enforced lockdowns are just a few days away here in the U.S.
[00:17:23.282 --> 00:17:25.943]  Listen, while dehydrated food is becoming scarce,
[00:17:26.303 --> 00:17:31.469]  You can still get enough open pollinated heirloom seeds to grow a one acre crisis garden.
[00:17:31.469 --> 00:17:38.237]  The truth is, growing nutrient-dense vegetables in the days ahead may actually be the single most important thing you do.
[00:17:38.237 --> 00:17:43.643]  Go to survivalseabank.com and watch the new video to understand the nature of the threat.
[00:17:43.643 --> 00:17:44.925]  This could be life-saving!
[00:17:45.305 --> 00:17:48.167]  Lockdowns can last from six to eight weeks.
[00:17:48.167 --> 00:17:49.768]  Get free bonus seeds.
[00:17:49.768 --> 00:17:51.670]  Special quarantine reports, too.
[00:17:51.670 --> 00:17:53.971]  Go to survivalseedbank.com.
[00:17:53.971 --> 00:17:55.793]  That's survivalseedbank.com.
[00:17:59.935 --> 00:18:06.080]  Well, Communist China wouldn't sign on to the carbon taxes that would cut their energy use by half.
[00:18:06.080 --> 00:18:08.341]  And the United States wouldn't sign on to it.
[00:18:08.341 --> 00:18:09.482]  So guess what happened?
[00:18:09.482 --> 00:18:16.568]  Along came COVID-19, and Bill Gates is celebrating, saying it's already cut your carbon footprint by half.
[00:18:16.568 --> 00:18:19.950]  And that means you're gonna be poor now, and under his control.
[00:18:19.950 --> 00:18:27.436]  And of course, with the medical tyranny comes the forced inoculations, a EEC microchip that comes with the vaccine, and so much more.
[00:18:27.896 --> 00:18:32.901]  And Bill Gates admits that 700,000 people will get sick and die from it.
[00:18:32.901 --> 00:18:37.805]  So remember folks, they're coming to hurt you and your family and destroy your basic rights.
[00:18:37.805 --> 00:18:45.673]  The same left that says kill babies all day long, women own their bodies, now say you don't own your body and they're coming to forcibly inoculate you.
[00:18:46.013 --> 00:18:48.636]  If you don't submit, you can't buy or sell or leave your home.
[00:18:48.636 --> 00:18:49.518]  Mark of the Beast.
[00:18:49.518 --> 00:18:50.899]  Oh, and guess what?
[00:18:50.899 --> 00:18:57.167]  Jeffrey Epstein and all these people hang out together with Bill Gates and are a bunch of dirty devil worshippers in your face.
[00:18:57.167 --> 00:18:58.329]  They hate you and your family.
[00:18:59.659 --> 00:19:03.962]  Getting your protein has never been easier with InfoWars Life Protein Bars.
[00:19:03.962 --> 00:19:11.208]  Available in delicious chocolate peanut butter and vanilla coconut flavors, these protein bars are the perfect answer for a snack on the go.
[00:19:11.208 --> 00:19:17.773]  InfoWars Life Protein Bars are nutrient-packed, portable protein bars for an easy-to-eat and great-tasting meal.
[00:19:17.773 --> 00:19:20.175]  Pre- or post-workout fuel alternative.
[00:19:20.555 --> 00:19:30.943]  At just 240 calories per bar and 15 grams of protein each, these bars will be your favorite at-hand snack for at home, in the car, at work, or on the go.
[00:19:30.943 --> 00:19:32.524]  For getting nutrients easily.
[00:19:32.524 --> 00:19:40.530]  High in fiber and nutrients with wholesome ingredients for high-level performance with great taste, such as whey protein and chocolate compounds.
[00:19:40.530 --> 00:19:44.533]  These protein bars can help you with the boost you need to reach your goals.
[00:19:44.873 --> 00:19:47.794]  Protein packed and full of fiber and healthy ingredients.
[00:19:47.794 --> 00:19:53.577]  Info Wars Life Protein Bars are a can't miss snack for any Info Warrior serious about their energy.
[00:19:53.577 --> 00:20:01.761]  Try both flavors today at InfoWarsStore.com.
[00:20:01.761 --> 00:20:04.463]  You're listening to the Alex Jones Show!
[00:20:37.531 --> 00:20:43.794]  Can a microscopic tag be implanted in a person's body to track his every movement?
[00:20:43.794 --> 00:20:45.915]  There's actual discussion about that.
[00:20:45.915 --> 00:20:50.697]  You will rule on that, mark my words, before your tenure is over.
[00:20:50.697 --> 00:20:56.820]  Can brain scans be used to determine whether a person is inclined toward criminality or violent behavior?
[00:20:56.820 --> 00:20:58.881]  You will rule on that.
[00:21:00.034 --> 00:21:16.387]  And Judge, I need to know whether you will be a justice who believes that the constitutional journey must continue to speak to these consequential decisions, or that we've gone far enough in protecting against government intrusion into our autonomy, into the most personal decisions we make.
[00:21:16.387 --> 00:21:18.869]  Judge, that's why this is a critical moment.
[00:21:18.869 --> 00:21:20.751]  There are elected officials in this government
[00:21:21.502 --> 00:21:39.176]  Such as Mr. DeLay, a fine, honorable, patriotic man, and others, who have been unsuccessful of implementing their agenda in the elected branches, so they've now poured their energies, as the left would if it were different, they've now poured their energies and resources into trying to change the court's view of the Constitution.
[00:21:40.117 --> 00:21:42.699]  And now they have a once-in-a-lifetime opportunity.
[00:21:42.699 --> 00:21:47.983]  Can a microscopic tag be implanted in a person's body to track his every movement?
[00:21:47.983 --> 00:21:50.145]  There's actual discussion about that.
[00:21:50.145 --> 00:21:51.466]  You will rule on that.
[00:21:51.466 --> 00:21:55.068]  Mark my words before your tenure is over.
[00:21:55.068 --> 00:21:57.770]  Because that's the plan, ladies and gentlemen.
[00:21:57.770 --> 00:22:02.634]  That was back when Joe Biden could still talk.
[00:22:02.634 --> 00:22:08.238]  That was back when Joe Biden wasn't a walking corpse.
[00:22:08.238 --> 00:22:09.299]  And there is Joe Biden.
[00:22:11.155 --> 00:22:18.778]  Talking about trying to get agendas done outside of the law.
[00:22:18.778 --> 00:22:25.041]  Well, hell, now we just have the World Health Organization financed by the big robber baron trust headed up by Bill Gates.
[00:22:25.041 --> 00:22:38.227]  He's just the front man of all that old robber baron money, all the big foundations, eugenics organizations, world government groups, 2A organization, Carnegie, Ford, Rockefeller, IBM, Bill and Melinda Gates.
[00:22:41.323 --> 00:22:43.384]  Openly funding Cold Springs Harbor.
[00:22:43.384 --> 00:22:45.786]  Openly funding Kaiser Wilhelm Institute.
[00:22:45.786 --> 00:22:48.328]  Openly funding Hitler.
[00:22:48.328 --> 00:22:56.233]  Head of Cold Springs Harbor, before he had to step down seven years ago, said minorities aren't people.
[00:22:56.233 --> 00:22:59.375]  You think he headed up the Human Genome Project?
[00:22:59.375 --> 00:23:00.496]  And that was just an accident?
[00:23:00.496 --> 00:23:06.000]  They removed him because he opened his mouth up in public!
[00:23:06.000 --> 00:23:10.783]  And Bill Gates says he wants to really help all the third world people with special shots.
[00:23:12.059 --> 00:23:28.572]  And he's gonna help you too with a chip under your skin or digital ink where you can't buy or sell without following every task he says, because you're part of the internet of things now.
[00:23:28.572 --> 00:23:32.916]  Remember folks were worried about RFID chips 20 years ago?
[00:23:32.916 --> 00:23:36.919]  Well, now you're the RFID chip and they're admitting it.
[00:23:39.175 --> 00:23:41.316]  David Icke, always informative, always thought-provoking.
[00:23:41.316 --> 00:23:44.678]  He's going to join us in the third hour today.
[00:23:44.678 --> 00:23:50.840]  And videos of him on YouTube are now being taken down when he criticizes 5G and says it has a health risk.
[00:23:50.840 --> 00:23:54.042]  Doesn't matter if all the studies say that.
[00:23:54.042 --> 00:23:57.784]  See, suddenly it's whatever big tech says, you can't talk about it.
[00:23:57.784 --> 00:24:00.565]  And coming up next segment, we have the video.
[00:24:00.565 --> 00:24:06.648]  Joy Behar came out on The View today.
[00:24:08.103 --> 00:24:10.764]  And said that I'm a terrorist.
[00:24:10.764 --> 00:24:12.205]  By name.
[00:24:12.205 --> 00:24:15.507]  And that you're a terrorist too.
[00:24:15.507 --> 00:24:19.669]  Because you went out to rallies and said you are essential.
[00:24:19.669 --> 00:24:20.910]  You don't want to be locked down.
[00:24:20.910 --> 00:24:22.851]  Now if you listen to one thing I've said today.
[00:24:23.919 --> 00:24:38.391]  That's just as important as the world government plan for the implantable microchip and the forced inoculations that actually go in and reprogram your brain by destroying certain neuron receptor sites that the viruses are tailor-made to only eat those areas of the brain.
[00:24:38.391 --> 00:24:42.655]  It's like COVID-19 is meant to eat your testicles, again, to lower your fertility.
[00:24:42.655 --> 00:24:47.639]  Another little gift out of the Wuhan Bill Gates Lab.
[00:24:47.639 --> 00:24:50.562]  And it's that the term non-essential
[00:24:53.223 --> 00:25:01.128]  That's a game they play under Bill and Melinda Gates Foundation funding in public and private schools called Lifeboat or Spaceship.
[00:25:01.128 --> 00:25:03.809]  And they say, we're a spaceship going to this star.
[00:25:03.809 --> 00:25:06.691]  We have a malfunction, there's not enough food.
[00:25:06.691 --> 00:25:09.052]  We have to get rid of a third of the crew.
[00:25:09.052 --> 00:25:09.893]  Who is essential?
[00:25:10.933 --> 00:25:11.994]  Well, we need the captain.
[00:25:11.994 --> 00:25:13.014]  Well, we need the scientists.
[00:25:13.014 --> 00:25:16.637]  Well, we need the farmers for once we get there.
[00:25:16.637 --> 00:25:20.179]  The machines, though, are able to run the engines.
[00:25:20.179 --> 00:25:21.981]  We don't need the engineer.
[00:25:21.981 --> 00:25:26.363]  Engineer, volunteer for us to blow you out the airlock.
[00:25:26.363 --> 00:25:27.224]  I volunteer.
[00:25:27.224 --> 00:25:28.285]  I'm not essential.
[00:25:28.285 --> 00:25:29.346]  Same thing with lifeboats.
[00:25:29.346 --> 00:25:31.527]  There's only so much food in a lifeboat.
[00:25:31.527 --> 00:25:34.029]  We're not going to get to the island for about six months.
[00:25:34.029 --> 00:25:35.730]  We're all going to starve to death.
[00:25:37.816 --> 00:25:39.577]  Unless somebody dies.
[00:25:39.577 --> 00:25:42.919]  Then you see Spock in Wrath of Khan, you know, where you have a big example.
[00:25:42.919 --> 00:25:46.861]  That's where somebody chooses to die, knowing the whole ship's going to die if he doesn't die.
[00:25:46.861 --> 00:25:49.082]  So they make it very noble to do that.
[00:25:49.082 --> 00:25:52.704]  But see, the globalists are saying no humans are essential.
[00:25:52.704 --> 00:25:54.084]  They want a post-human world.
[00:25:54.084 --> 00:25:57.366]  This is a wild cult.
[00:25:57.366 --> 00:26:00.468]  And I would tell you that 25 years ago, people thought this is crazy.
[00:26:00.468 --> 00:26:02.589]  I was reading their own statements in white papers.
[00:26:02.589 --> 00:26:04.750]  Now they've externalized the hierarchy.
[00:26:06.536 --> 00:26:17.921]  And it's all out in the open, publicly, in the face of you and your family.
[00:26:17.921 --> 00:26:19.722]  Think about that.
[00:26:19.722 --> 00:26:23.664]  You are non-essential, which means you're worthless.
[00:26:23.664 --> 00:26:27.106]  Now you see, if they said old people were worthless, we'd get up in arms.
[00:26:27.106 --> 00:26:30.587]  Though they do now say they're non-essential, so we've now accepted to get rid of them.
[00:26:30.587 --> 00:26:31.708]  One of Bill Gates' favorite things.
[00:26:33.456 --> 00:26:36.777]  We get ahead by killing people, but it's really meant to kill everybody.
[00:26:36.777 --> 00:26:39.477]  But you don't get ahead by killing Graham.
[00:26:39.477 --> 00:26:44.199]  The places that take care of people build complex societies full of service.
[00:26:44.199 --> 00:26:47.159]  But see, they tell us services are not essential now, too.
[00:26:47.159 --> 00:26:51.100]  First they told you you can't be a farmer, you can't be a welder.
[00:26:51.100 --> 00:26:52.221]  Industry isn't in America.
[00:26:52.221 --> 00:26:52.761]  It's bad.
[00:26:52.761 --> 00:26:54.281]  It's not cool.
[00:26:54.281 --> 00:26:56.102]  Service is what you'll do.
[00:26:56.102 --> 00:26:57.222]  Oh, but now that's not essential.
[00:26:58.462 --> 00:27:07.865]  This whole trap is about domesticating you, not so you can sit out on the back 40 and be a cute little horsey, but so you can be phased out, and that's their own admission.
