[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[00:02:18.660 --> 00:02:25.623]  Epps is the man you've seen in multiple videos encouraging the crowd to storm the Capitol, but somehow has never been charged himself.
[00:02:25.623 --> 00:02:26.384]  Here's that exchange.
[00:02:27.455 --> 00:02:34.421]  Okay, so this is, it gets back to what I meant earlier about asking if you're prepared for this hearing.
[00:02:34.421 --> 00:02:36.883]  You're the Assistant Attorney General for National Security.
[00:02:36.883 --> 00:02:38.485]  You run the National Security Division.
[00:02:38.485 --> 00:02:44.089]  The Department has said that these January 6th prosecutions are one of their highest priorities.
[00:02:44.089 --> 00:02:49.554]  This is a man who was on the Most Wanted page for six months.
[00:02:49.554 --> 00:02:54.959]  Do you really, do you really expect us to believe that you've never heard of the name Ray Epps, you don't know anything about him?
[00:02:58.129 --> 00:03:01.750]  I simply don't have any information at all, Senator, about that individual.
[00:03:14.437 --> 00:03:30.575]  That's absurdly false, and as if to underscore how absurdly false it is, within a short time, Democrats on the January 6th committee released a statement claiming that actually, they'd already interviewed Ray Epps, and anyone who still has questions about his behavior on January 5th or 6th is a dangerous conspiracy theorist.
[00:03:31.636 --> 00:03:48.989]  Mr. Epps informed us, the committee said in a statement today, that he was not working with, employed by, or acting at the direction of any law enforcement agency on January 5th or 6th, or at any other time, and that he has never been an informant for the FBI or any other law enforcement agency, end quote.
[00:03:48.989 --> 00:03:49.729]  Wow!
[00:03:49.729 --> 00:03:50.249]  Bombshell!
[00:03:50.249 --> 00:03:51.570]  Looks like case closed.
[00:03:51.570 --> 00:03:54.072]  We can forget about Ray Epps and move on.
[00:03:54.072 --> 00:03:54.973]  Sorry we asked.
[00:03:56.365 --> 00:03:57.945]  Oh, but wait a second.
[00:03:57.945 --> 00:04:02.926]  When exactly, and under what circumstances, did the committee talk to Ray Epps?
[00:04:02.926 --> 00:04:06.127]  Supposedly, this interview was conducted in secret last November.
[00:04:06.127 --> 00:04:13.949]  If that is true, we don't know that it is, but let's say it is, then why did the committee wait months to tell us today in a tweet?
[00:04:13.949 --> 00:04:20.550]  When the committee got its hands on Mark Meadows' text messages, we seem to remember they leaked those to the media within hours.
[00:04:20.550 --> 00:04:23.391]  And by the way, was this Ray Epps interview conducted under oath?
[00:04:24.212 --> 00:04:29.113]  Did Democrats subpoena his electronic communications as they did with Meadows and so many others?
[00:04:29.113 --> 00:04:36.055]  Will the information Epps revealed to the committee be available to the many January 6th defendants who are now awaiting trial?
[00:04:36.055 --> 00:04:39.536]  Can their lawyers see a transcript of this interview?
[00:04:39.536 --> 00:04:42.777]  Can we see a transcript of this interview?
[00:04:42.777 --> 00:04:43.997]  If not, why not?
[00:04:44.983 --> 00:04:47.605]  And while we're at it, here's something else that's confusing.
[00:04:47.605 --> 00:04:49.986]  Epps is a long-time right-wing activist.
[00:04:49.986 --> 00:04:52.427]  As you know, he urged... Alright, folks.
[00:04:52.427 --> 00:04:53.168]  We'll be right back.
[00:04:53.168 --> 00:04:55.049]  Of course, he doesn't work for the feds.
[00:04:55.049 --> 00:04:56.330]  He works for the Southern Poverty Law Center.
[00:05:01.127 --> 00:05:08.294]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[00:05:08.294 --> 00:05:09.996]  This is their big offensive.
[00:05:09.996 --> 00:05:11.477]  This is their takeover.
[00:05:11.477 --> 00:05:15.481]  And this is the point that they're at their very weakest because now they've revealed themselves.
[00:05:15.481 --> 00:05:20.446]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[00:05:20.446 --> 00:05:22.628]  Their depopulation agenda has been exposed.
[00:05:23.689 --> 00:05:29.293]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[00:05:29.293 --> 00:05:34.717]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[00:05:34.717 --> 00:05:38.400]  And when you buy products at InfoWarsTore.com, you keep us on air.
[00:05:38.400 --> 00:05:45.465]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[00:05:45.465 --> 00:05:47.546]  Both of these are in our top five best sellers.
[00:05:47.546 --> 00:05:48.727]  They are so good for your body.
[00:05:48.727 --> 00:05:50.509]  And if there's two things you do for your body,
[00:05:51.169 --> 00:05:52.270]  It's these two products.
[00:05:52.270 --> 00:05:55.352]  They're all back in stock at m4wrestore.com.
[00:05:55.352 --> 00:05:56.853]  50% off and it keeps us on the air.
[00:05:56.853 --> 00:06:07.301]  Only way we fail is if you don't take action.
[00:06:07.301 --> 00:06:13.805]  If you're receiving this transmission... If you are receiving this transmission, you are the resistance.
[00:06:13.805 --> 00:06:18.809]  Live from Austin, Texas, you're listening to the Alex Jones Show.
[00:06:20.848 --> 00:06:31.691]  You know, I could cover these hundreds of incredible reports, and I will today, but we need to get that 35,000 foot view and talk about what's really happening.
[00:06:31.691 --> 00:06:43.155]  America has been captured by very evil, multinational, corporate crime syndicate run out of the Bilderberg Group and its public arm, the Dabos Group.
[00:06:43.155 --> 00:06:43.275]  And
[00:06:44.665 --> 00:06:52.312]  They are not intending to allow the population of the planet to continue on as it is, to say the least.
[00:06:52.312 --> 00:07:02.461]  And depopulation is what's being carried out through covert means through the so-called vaccine program, and that's now coming out and mounting.
[00:07:02.461 --> 00:07:10.428]  And then you ask the logical question, how did the technocracy engage in this mass murder that's now unfolding?
[00:07:11.462 --> 00:07:14.986]  With these slow kill, soft kill weapons, how will they get away with that?
[00:07:14.986 --> 00:07:19.011]  And the answer is further destabilization.
[00:07:19.011 --> 00:07:27.542]  So horrible that you forget the last major insult to the human ecosystem.
[00:07:27.542 --> 00:07:30.426]  So we are being treated as a disease, as a cancer to be cut out.
[00:07:31.741 --> 00:07:45.425]  And the big lie is people working for the system believe that they are positioning themselves with the winning team and that they are going to be taken care of because they are going to execute this operation.
[00:07:45.425 --> 00:07:54.467]  When you read deeper into leaked documents out of the Davos Group and Bilderberg Group that we and others got at great danger to ourselves, I should add, a lot of people actually died with this information.
[00:07:56.550 --> 00:08:12.355]  You will then discover that they plan to implode all the Western governments and then even have show trials of the bureaucracies that are going to engage in the initiation of the civil war that has already begun and not just here but other parts of the world.
[00:08:12.355 --> 00:08:19.258]  So all the ministers in Australia and ministers in the Netherlands and the UK and the US that are doing all of this
[00:08:20.805 --> 00:08:29.189]  Really believe their position, because they went to the Davos Group School, they went to the Bilderberg School, they have a school, and that they're on the winning team.
[00:08:29.189 --> 00:08:35.571]  But if you actually read some of the deeper stuff that they're not given, no, they're going to all be wiped out as well.
[00:08:35.571 --> 00:08:43.114]  So I have prepared myself, and I know what this means for me.
[00:08:43.114 --> 00:08:44.435]  We are the tip of the spear.
[00:08:45.956 --> 00:09:02.599]  The number one organization exposed to all this, and I have a sense of satisfaction, and I have a sense of being able to look myself in the mirror, and a sense of that I'm starting to measure up to my ancestors that were pretty amazing people, and that I didn't join these scum.
[00:09:02.599 --> 00:09:06.200]  But that means I will be set up and put in prison or killed very soon.
[00:09:06.200 --> 00:09:08.900]  And let's just get down to being honest about this with you, okay?
[00:09:08.900 --> 00:09:11.401]  I don't tell you this to be dramatic, we're at the end of the road here, okay?
[00:09:13.068 --> 00:09:14.470]  It's 298 days out from the election.
[00:09:14.470 --> 00:09:16.271]  They're never going to let us have a free or fair one again.
[00:09:16.271 --> 00:09:18.613]  And they're going to devalue the dollar.
[00:09:18.613 --> 00:09:19.914]  They're going to gut the country.
[00:09:19.914 --> 00:09:25.559]  And you just need to get right with God and realize we're being judged for abortion.
[00:09:25.559 --> 00:09:31.645]  I also want to say that I am not offensively, as I've told you, going to be involved in any type of military operations.
[00:09:33.524 --> 00:09:36.145]  You're going to obviously hear that when they stage terror attacks.
[00:09:36.145 --> 00:09:48.709]  They're already blaming myself and Rush Limbaugh posthumously, in his case, for the January 6th fiasco and the provocateur false flag extravaganza.
[00:09:48.709 --> 00:09:54.551]  And so I just I have to really just get down to brass tacks with you and say this is the end of the line.
[00:09:54.551 --> 00:09:54.671]  OK?
[00:09:55.922 --> 00:10:00.805]  And hey, those babies didn't get any protection when they got chopped up in the womb or had acid sprayed on them.
[00:10:00.805 --> 00:10:03.867]  So let's just realize that we're being judged.
[00:10:03.867 --> 00:10:05.968]  And we deserve what we get.
[00:10:05.968 --> 00:10:15.813]  And so do I. And the people carrying out the evil, they are just instruments of the system that themselves will be absolutely destroyed.
[00:10:15.813 --> 00:10:17.934]  It's very, very sad for everybody.
[00:10:17.934 --> 00:10:20.476]  But this is what happens when you become a decadent, satanic society.
[00:10:21.897 --> 00:10:33.822]  Speaking of that, I've got three articles today that really illustrate the little secret ingredient, secret flavor that's not secret anymore of Satanism in this whole thing.
[00:10:33.822 --> 00:10:35.483]  This is a mainstream news article.
[00:10:35.483 --> 00:10:36.283]  We have it linked here.
[00:10:36.283 --> 00:10:38.824]  It's on ABC News reporting it with a straight face.
[00:10:38.824 --> 00:10:39.664]  So is NBC News.
[00:10:39.664 --> 00:10:40.284]  It's all over the news.
[00:10:40.284 --> 00:10:41.485]  You've seen it.
[00:10:41.485 --> 00:10:42.705]  Probably seen it.
[00:10:42.705 --> 00:10:48.848]  Parents horrified as school host Satan Club for children.
[00:10:55.180 --> 00:11:06.408]  So, parents in Illinois were shocked to discover that their children's school approved an event for children organized by the Satanic Temple.
[00:11:06.408 --> 00:11:18.838]  The event, titled Satan Club, held at the Jane Addams Elementary School, vowed to introduce children to a scientific, rationalist, non-superstitious worldview.
[00:11:20.114 --> 00:11:29.744]  And when you see these Satanists, and I've seen their film they put out that got all the praise for Hollywood, I mean, you talk about losers, what my dad calls glow-in-the-dark people.
[00:11:29.744 --> 00:11:35.589]  I don't care if they're black or white, they've got like green colored skin, and they're translucent.
[00:11:35.589 --> 00:11:37.291]  And they don't look too happy, do they?
[00:11:37.291 --> 00:11:41.655]  These are the slaves of the slaves.
[00:11:41.655 --> 00:11:41.996]  These are the
[00:11:44.172 --> 00:11:58.641]  They're not even cockroaches of the spiritual world, they're just losers that turned into the energy, put into the energy of Satan, and never felt anything like it in their lives, never had a connection to God, and just never knew what hit them.
[00:11:58.641 --> 00:12:01.503]  I mean, basically they're not even human anymore, they're just demons.
[00:12:01.503 --> 00:12:04.025]  They're not basically demons, they are demons.
[00:12:04.025 --> 00:12:09.468]  And they've never even imagined what they could have had if they would have had communion with the
[00:12:11.309 --> 00:12:15.231]  Real God, but that's again a great failure of ours, isn't it?
[00:12:15.231 --> 00:12:16.372]  So here we are.
[00:12:16.372 --> 00:12:19.534]  So we have that little tidbit for you.
[00:12:19.534 --> 00:12:28.819]  And then we have another Tucker Carlson clip I'm going to play, because he's just knocking out of the park every day, last night.
[00:12:28.819 --> 00:12:30.179]  And he just has a way of doing things.
[00:12:30.179 --> 00:12:38.084]  It's confirmed now that the Justice Department through the White House went to the Broward County School in
[00:12:39.229 --> 00:13:05.267]  Florida and went to the one up in Virginia and a bunch of other schools now we're learning, not just one, and said, send letters in through the National Education Association, National Association of School Districts, all of them, send letters in that you're scared of the parents and they're terrorists and they're bad, and give us some bad examples of them, and then we're going to call in the Justice Department to come in and have the FBI land in helicopters in the case of Virginia.
[00:13:06.235 --> 00:13:08.416]  And walk in with earpieces and stare at the parents.
[00:13:08.416 --> 00:13:09.896]  I mean, this is just unbelievable.
[00:13:09.896 --> 00:13:12.137]  And you're like, why are they doing that?
[00:13:12.137 --> 00:13:13.797]  Well, because the enemy is the parents.
[00:13:13.797 --> 00:13:15.818]  The system wants the children.
[00:13:15.818 --> 00:13:21.600]  Every authoritarian state comes in and takes over the children.
[00:13:21.600 --> 00:13:25.661]  Every single authoritarian state does this throughout history.
[00:13:25.661 --> 00:13:26.921]  And it's their prize.
[00:13:26.921 --> 00:13:29.842]  And it's not just because authoritarians want to brainwash the next generation.
[00:13:29.842 --> 00:13:34.984]  They spiritually want the children because they are energetically draining them.
[00:13:35.626 --> 00:13:47.894]  In all the different things, the pedophilia, the abuse, and the brainwashing, and manipulating them through trauma-based systems to join evil because they believe evil will make them strong.
[00:13:47.894 --> 00:13:51.297]  It's about their souls.
[00:13:51.297 --> 00:13:54.459]  And that's where we are.
[00:13:54.459 --> 00:13:59.102]  So, of course, the Justice Department planned the rollout.
[00:13:59.102 --> 00:14:04.105]  I mean, you know, they tried to go to Waco, but they couldn't have arrested Koresh in town at any time.
[00:14:04.105 --> 00:14:04.906]  He had a business in town.
[00:14:06.164 --> 00:14:07.246]  Jogged off the property.
[00:14:07.246 --> 00:14:09.509]  He was a marathon runner, basically, every day.
[00:14:09.509 --> 00:14:10.230]  But they didn't want that.
[00:14:10.230 --> 00:14:14.737]  They wanted to go shoot up the building and burn up the kids and, you know, do all the rest of it to start their war on cults.
[00:14:15.816 --> 00:14:23.082]  By picking a weird group that was, you know, didn't need to be investigated by CPS, I think, and didn't need to have, you know, but you don't come burn them down for that.
[00:14:23.082 --> 00:14:28.826]  No, no, no, they picked that, they admitted in documents and video to get funding and to start a war with the American people.
[00:14:28.826 --> 00:14:37.733]  So pick a group that's weird and that we don't agree with, that's got problems, and then once you don't stand up for them, well, nobody's going to stand up for you.
[00:14:37.733 --> 00:14:41.956]  And so you saw that, and then now they've moved on from
[00:14:43.528 --> 00:14:50.268]  A splinter group of the Seventh-Day Adventists apocalyptically living out on the plains of North Central Texas.
[00:14:51.385 --> 00:14:55.146]  And now they've moved on to, oh, you don't like drag queen story time?
[00:14:55.146 --> 00:14:57.087]  You don't like Satan time?
[00:14:57.087 --> 00:15:04.269]  You don't like the local high priest, Satan, coming to your school and teaching how Jesus is not real?
[00:15:04.269 --> 00:15:05.289]  And the devil's not real?
[00:15:05.289 --> 00:15:08.530]  Remember the devil's biggest trick is telling your kids the devil ain't real.
[00:15:08.530 --> 00:15:13.191]  That's why I'm here talking to you about how there's no God and you're all alone with me.
[00:15:13.191 --> 00:15:17.412]  Because you dial into God, now you can go through anything they're going to throw at you.
[00:15:17.412 --> 00:15:19.393]  They don't want you to know you've got that spiritual antenna
[00:15:20.492 --> 00:15:23.734]  That you're with the Holy Spirit anytime you ask it in.
[00:15:23.734 --> 00:15:26.655]  But you deny it, and you persecute children.
[00:15:26.655 --> 00:15:31.538]  God will close the door and remove the Holy Spirit and damn you while you're alive.
[00:15:31.538 --> 00:15:37.341]  And once the door is closed... See, I felt the door closing when I was about 17.
[00:15:37.341 --> 00:15:42.624]  And... Oh, thank God, right as it almost closed, I just got the channel.
[00:15:42.624 --> 00:15:44.205]  And that's everything to me.
[00:15:44.205 --> 00:15:45.286]  That's the most important thing.
[00:15:45.286 --> 00:15:46.867]  You want that connection to God.
[00:15:47.517 --> 00:15:54.883]  We're going to come back and talk more about the Satanists and how your children are basically the gas for their engines.
[00:15:54.883 --> 00:15:56.504]  Your children are everything to them.
[00:15:56.504 --> 00:15:57.365]  Destroying your children.
[00:15:59.991 --> 00:16:15.516]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[00:16:15.516 --> 00:16:20.998]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[00:16:21.698 --> 00:16:27.999]  Winner's sum, the highest quality vitamin D3, taken under the tongue for higher absorption, is back in stock.
[00:16:27.999 --> 00:16:31.460]  Despite the fact it's been sold out for months, it is 50% off.
[00:16:31.460 --> 00:16:44.763]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[00:16:44.763 --> 00:16:46.263]  So that's the New Year's special.
[00:16:46.783 --> 00:16:50.045]  And that's Christmas comes early in 2022, ladies and gentlemen.
[00:16:50.045 --> 00:16:56.949]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarestore.com.
[00:16:56.949 --> 00:16:58.810]  50% off for a limited time.
[00:16:58.810 --> 00:17:00.071]  Thanks for keeping us on the air.
[00:17:00.071 --> 00:17:03.152]  Three very important life-saving words.
[00:17:04.193 --> 00:17:04.653]  We're good to go!
[00:17:21.684 --> 00:17:22.465]  We're good to go!
[00:17:44.764 --> 00:17:46.447]  We are going to be selling out of this product.
[00:17:46.447 --> 00:17:52.917]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[00:17:52.917 --> 00:17:56.803]  Get your Vitamin Mineral Fusion now and support the InfoWar 360 win at InfoWarStore.com
[00:18:02.233 --> 00:18:04.354]  Get our great...got a bag of it here.
[00:18:04.354 --> 00:18:08.955]  I mean, this is from...people say, why is it from Chiapas, Mexico, and the communists?
[00:18:08.955 --> 00:18:21.580]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee, and yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune, and whatever.
[00:18:21.580 --> 00:18:30.643]  The point is, is that it's good coffee, and we've got it, and the farmers don't let the Mexican government take over, so I actually buy this from the Mexican rebels, and I've been buying it for, what, 14 years, and the price has never gone up.
[00:18:31.323 --> 00:18:33.984]  It's InfowarsStore.com and that's how we fund this operation.
[00:18:33.984 --> 00:18:36.244]  And if you don't fund us and don't want us here, that's fine.
[00:19:04.062 --> 00:19:05.243]  Granny Do-Right.
[00:19:05.243 --> 00:19:06.043]  Granny Do-Right.
[00:19:06.043 --> 00:19:07.243]  Thanks for holding her on the air.
[00:19:07.243 --> 00:19:07.704]  Go ahead.
[00:19:07.704 --> 00:19:08.224]  Hi, Alex.
[00:19:08.224 --> 00:19:10.845]  First of all, let me say I love your products.
[00:19:10.845 --> 00:19:21.549]  I am a granny, and for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots, or age spots, as they're lovingly called.
[00:19:21.549 --> 00:19:27.552]  But since taking Urex 2 for the last couple of years, my skin is just really gorgeous, actually.
[00:19:27.552 --> 00:19:28.532]  People think I'm 55 years old.
[00:19:30.593 --> 00:19:38.560]  Yeah, and I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[00:19:38.560 --> 00:19:47.307]  But when I started taking it, I mean, it doesn't happen immediately, but, you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[00:19:47.307 --> 00:19:48.148]  This is working.
[00:19:48.148 --> 00:19:49.149]  This is wonderful.
[00:19:49.149 --> 00:19:53.673]  You know, I don't have to put on Dermablend anymore, you know.
[00:19:53.673 --> 00:19:58.337]  So, anyway, it worked wonderfully, and it really has totally cleared up my skin.
[00:20:01.590 --> 00:20:21.607]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:21.607 --> 00:20:24.129]  So, the mission has been carried out.
[00:20:24.129 --> 00:20:27.552]  My operations against the Globalists have been executed.
[00:20:29.111 --> 00:20:34.995]  And now, it's time to take it like a man.
[00:20:34.995 --> 00:20:37.116]  But know this, evildoers.
[00:20:37.116 --> 00:20:39.777]  God will punish you.
[00:20:39.777 --> 00:20:41.438]  God's real.
[00:20:41.438 --> 00:20:44.840]  You will stare into God's face.
[00:20:44.840 --> 00:20:47.522]  You are damned to hell forever.
[00:20:47.522 --> 00:20:49.863]  Not me.
[00:20:49.863 --> 00:20:50.744]  I'm going to the next level.
[00:20:50.744 --> 00:20:56.327]  Alright, here we are, ladies and gentlemen.
[00:20:56.327 --> 00:20:57.428]  I'm gonna air it next segment.
[00:20:59.185 --> 00:21:14.709]  Because it's so true, and it's in the news, it's not Tucker Carlson's opinion, that the Justice Department went around to the different, not just in Virginia, all over, and told them, tell us the public are terrorists, and called them terrorists in the letters.
[00:21:14.709 --> 00:21:24.991]  I mean, if you ever wanted to know how evil this government is, and that it's run by very sick people that want your children, that's their mission, these Pied Pipers.
[00:21:24.991 --> 00:21:25.591]  That's what they're doing.
[00:21:25.591 --> 00:21:27.772]  And when you look at who they are, Jeffrey Epstein,
[00:21:30.560 --> 00:21:31.921]  The Clintons!
[00:21:31.921 --> 00:21:36.825]  Your children are the currency!
[00:21:36.825 --> 00:21:39.006]  Now, I killed my children.
[00:21:39.006 --> 00:21:41.468]  And I say that, I'm ashamed of that.
[00:21:41.468 --> 00:21:45.371]  But I'm proud of the fact I'll be honest with you.
[00:21:45.371 --> 00:21:47.612]  And as I said, they weren't people.
[00:21:47.612 --> 00:21:52.196]  But God touched my heart.
[00:21:52.196 --> 00:21:58.860]  And said, I've got a mission for you, and you're gonna carry this out, and you'll be reprieved.
[00:21:58.860 --> 00:21:59.541]  But if you don't,
[00:22:01.897 --> 00:22:03.918]  The door is shut.
[00:22:03.918 --> 00:22:20.708]  And I want to encourage people that have served the dark side or been evil or had a experience with the dark side to understand that if you can still feel any connection of guilt or any connection to God, you can still be saved.
[00:22:20.708 --> 00:22:26.231]  Before we cover all this temporal news that's happening in the world, you got to understand you are an eternal being of light.
[00:22:28.015 --> 00:22:32.402]  That is energized by God's spirit and God's creation around you.
[00:22:32.402 --> 00:22:35.046]  It's like I put an iPhone on a little invisible charging station.
[00:22:35.046 --> 00:22:37.170]  You can't see it, but it's beaming it in.
[00:22:37.170 --> 00:22:37.971]  That's the analogy.
[00:22:41.724 --> 00:22:47.566]  Satan is going to send his transmission and his wavelength at you, whether you want the transmission or not.
[00:22:47.566 --> 00:23:00.690]  God is not going to hit you with the real transmission, the master transmission, the prime transmission, unless you're open for that transmission.
[00:23:00.690 --> 00:23:05.951]  And sin, going against God's program, blocks that.
[00:23:05.951 --> 00:23:07.072]  It's like a Faraday cage.
[00:23:08.120 --> 00:23:22.268]  But still part of it gets through, and then as you cut away the sin, the bad you're doing, and get aligned with that energy coming to you, even if it's a tiny beam of the Holy Spirit that makes it through, within that is the seed of God's larger plan.
[00:23:22.268 --> 00:23:32.594]  You can take that and then plant it in yourself, and it grows and gets bigger, and then it becomes more and more and just expands like an explosion.
[00:23:32.594 --> 00:23:34.896]  And it's that explosion that the Satanists hate,
[00:23:36.181 --> 00:23:41.585]  It's that explosion of our will and our psychic energy and our connection to God that they don't like.
[00:23:41.585 --> 00:23:45.568]  They want that transmission cut off.
[00:23:45.568 --> 00:23:49.571]  That's what the higher orders of the satanic system want.
[00:23:49.571 --> 00:23:57.276]  And this is completely energetic.
[00:23:57.276 --> 00:23:59.978]  This whole thing is about energy.
[00:23:59.978 --> 00:24:01.099]  And you don't just think some old
[00:24:02.595 --> 00:24:04.115]  Oil on the ground can create energy.
[00:24:04.115 --> 00:24:06.036]  You don't just think the sun up in the sky can create energy.
[00:24:06.036 --> 00:24:10.657]  Because as amazing as the sun is, it's not alive.
[00:24:10.657 --> 00:24:14.898]  It's an ongoing giant thermonuclear explosion.
[00:24:14.898 --> 00:24:18.019]  But you can contemplate that in the entire universe.
[00:24:18.019 --> 00:24:19.660]  And you can contemplate God.
[00:24:19.660 --> 00:24:22.341]  And you can interface with God.
[00:24:22.341 --> 00:24:24.221]  You can commune with God.
[00:24:24.221 --> 00:24:29.262]  And be lifted up by God in that worship.
[00:24:29.262 --> 00:24:31.063]  And they don't want you to have any contact with that.
[00:24:32.011 --> 00:24:33.632]  They don't want you to have any connection to that.
[00:24:33.632 --> 00:24:34.833]  They don't want you to know that's there.
[00:24:34.833 --> 00:24:37.695]  They want you in the darkness.
[00:24:37.695 --> 00:24:39.976]  In fact, I was telling them, come in with one song.
[00:24:39.976 --> 00:24:43.839]  Come in with, uh, I'm Gonna Live Forever by the High Woman.
[00:24:43.839 --> 00:24:47.502]  We should play that song when we come back.
[00:24:47.502 --> 00:24:50.464]  Don't let the darkness take them.
[00:24:50.464 --> 00:24:53.286]  Don't let them be forsaken.
[00:24:53.286 --> 00:24:57.689]  Just lead them safely to the light.
[00:24:57.689 --> 00:24:59.550]  When this whole world's blown asunder,
[00:25:02.520 --> 00:25:05.601]  And all the stars fall from the sky.
[00:25:05.601 --> 00:25:08.942]  Know there is someone who really loves you.
[00:25:08.942 --> 00:25:14.544]  We'll live forever, you and I. I'm gonna live forever.
[00:25:14.544 --> 00:25:18.126]  I'm gonna cross that river.
[00:25:18.126 --> 00:25:20.607]  I'm going to reach tomorrow now.
[00:25:20.607 --> 00:25:22.267]  Yeah, let's go ahead and play the song right now.
[00:25:22.267 --> 00:25:25.908]  Go ahead and play it now.
[00:25:25.908 --> 00:25:29.890]  You're gonna wanna hold me just like I always told you.
[00:25:32.688 --> 00:25:57.607]  I'm gonna live forever I'm gonna cross that river I'm gonna catch tomorrow now You're gonna wanna hold me Just like I always told you You're gonna miss me when I'm gone Nobody here will ever find me But I will always be around
[00:25:59.929 --> 00:26:24.764]  Just like the songs I leave behind me I'm gonna live forever now You fathers and you mothers Be good to one another Please try to raise your children
[00:26:27.068 --> 00:26:51.731]  Don't let the darkness take him Don't make him feel forsaken Just lead him safely to the light When this whole world is blown asunder And all the stars fall from the sky Remember someone really loves you We'll live forever, you and I
