[00:00.000 --> 00:07.000]  And now, without a heart to call my own, I've been a happiness I've never known
[05:49.000 --> 05:55.000]  We're ready to rock and the people are waking up, because some of us are willing to spill our blood with a sacrifice
[05:55.000 --> 05:58.000]  You hear me, scum? We're coming for you
[05:58.000 --> 06:04.000]  The Bohemian Club have written to us, refuting Alex Jones' allegations as false
[06:04.000 --> 06:29.000]  This is what they said
[06:29.000 --> 06:38.000]  So that's the end of the Secret Rulers of the World, the five-part mini-series, and they used a lot of my footage for, I guess, three of the five hours
[06:38.000 --> 06:46.000]  And the whole time the British media followed me around for a year off and on, they just kept saying, what about Jews? What about Jews?
[06:46.000 --> 06:53.000]  Don't you think it's the Jews? Could it be the Jews? No, I don't think it's the Jews, no, I'm not against the Jews, no, I'm not against the white people, the black people
[06:53.000 --> 06:57.000]  Are they the Nuits or the porcupine possums?
[06:57.000 --> 07:08.000]  I'm not, but you notice, so they didn't have any video of that, but, well, Harry Shearer is a Hollywood Jew, they secretly might think it's the Jews
[07:08.000 --> 07:13.000]  You know, you think there's a world government, oh that's code for, you know, for racism
[07:13.000 --> 07:19.000]  The Supreme Court says they're following the orders of the UN now, USA Today
[07:19.000 --> 07:24.000]  They're getting rid of our borders, they're destroying our liberties and our freedoms, it's out of control
[07:24.000 --> 07:35.000]  You know, understand skull and bones
[07:35.000 --> 07:41.000]  What is skull and bones? You know, it's not a satanic ritual, it's a skull and bones members go to the grove
[07:41.000 --> 07:46.000]  They lie in coffins, they do these rituals, they worship Lucifer, that's all admitted now, mainstream
[07:46.000 --> 07:51.000]  But oh, it's just for fun
[07:51.000 --> 07:54.000]  It's not just for fun, it's very, very serious
[07:54.000 --> 08:00.000]  I'm sure you heard two weeks ago, Long Island, New York, the big Masonic lives, they blow somebody's head off
[08:00.000 --> 08:05.000]  They found guillotines, black altars with skulls, coffins
[08:05.000 --> 08:11.000]  If anybody else was doing this in some basement, the police would raid it and they should
[08:11.000 --> 08:15.000]  But it's an old respected organization, so we're going to let it continue
[08:15.000 --> 08:21.000]  And we find that the Masons accidentally blow people's heads off in rituals on a routine basis around the world
[08:21.000 --> 08:28.000]  And the police who were Masons, in many cases, show up and say, it was an accident within hours
[08:28.000 --> 08:33.000]  You didn't hear about that? I'm not saying all Masons are bad, I've had a lot of family that were Masons
[08:33.000 --> 08:36.000]  A lot of our founding fathers were Masons, it's the higher levels of it
[08:36.000 --> 08:42.000]  And it's perfect for the globalists to take it over and use it for what Masons call black lodges
[08:42.000 --> 08:47.000]  Or black magic lodges, this is just ancient religion
[08:47.000 --> 08:51.000]  And the elite is obsessed with it and we have documented it
[08:51.000 --> 08:57.000]  Francois Mitterrand, the French president before Jacques Chirac, he died of prostate cancer
[08:57.000 --> 09:02.000]  He was in office for over a decade, he publicly said he thought he was a pharaoh
[09:02.000 --> 09:09.000]  The French call him the Sphinx, he erected pyramids and obelisk all over, thought he'd live forever
[09:09.000 --> 09:18.000]  And he commissioned this giant gold pyramid to be built outside of the Louvre
[09:18.000 --> 09:28.000]  And he demanded that the American Chinese architect have 666 pieces of gold glass in its face
[09:28.000 --> 09:35.000]  I'm not the one that used the all seeing eye pyramid as the total information awareness network symbol
[09:35.000 --> 09:39.000]  I'm not the one with Time Warner with the triple six and the all seeing eye
[09:39.000 --> 09:45.000]  Or CBS, they're obsessed with it
[09:45.000 --> 09:51.000]  Remember I'm the cuckoo who talked about skull and bones for all those years, it didn't exist and now it's all over the news
[09:51.000 --> 09:56.000]  The two cousins running against each other in this staged election
[09:56.000 --> 10:02.000]  Alright, we got a big show lined up for you in the next 50 minutes, 30 seconds
[10:02.000 --> 10:08.000]  The last 10 minutes or so I'll take calls, but I've never aired this on the cable show
[10:08.000 --> 10:13.000]  I've only aired it once on the radio show, there are hundreds of these clips
[10:13.000 --> 10:20.000]  And I have a reason for airing this, I have a reason for putting this on
[10:20.000 --> 10:28.000]  George Bush I wouldn't say is stupid, but he is a spoiled brat
[10:28.000 --> 10:33.000]  I've seen him give speeches when it's not a staged event, he gives decent speeches
[10:33.000 --> 10:40.000]  But everything he says is so staged and so crafted that he's a stumbling, bumbling fool
[10:40.000 --> 10:47.000]  He can't remember his lines, he doesn't study his lines, and so he sounds like an ignoramus
[10:47.000 --> 10:50.000]  And the Democrats have made great hay over this
[10:50.000 --> 10:55.000]  Look, forget John Kerry, forget George Bush, forget Al Gore, forget Hillary Clinton, forget Chuck E. Schumer
[10:55.000 --> 10:59.000]  All puppets, they're all new World Order minions
[10:59.000 --> 11:06.000]  But, just like in North Korea, Gatti gives his son Kim Jong-il power
[11:06.000 --> 11:10.000]  Or in Syria, Assad gets power from his daddy
[11:10.000 --> 11:18.000]  It's not a good sign when the son of the leader becomes the leader, that's not freedom
[11:18.000 --> 11:28.000]  And before 9-11, Bush's bumbling and stumbling got pointed out, but then it became taboo afterwards
[11:28.000 --> 11:36.000]  And it's worth a good laugh, so here's nine clips, nine clips, these are unedited, these are what he said
[11:36.000 --> 11:43.000]  Here are nine clips, so make sure you got it piped in here guys so I can hear it
[11:43.000 --> 11:49.000]  And we'll just go through these clips, I'll comment on them briefly, then we'll get into some really serious news
[11:49.000 --> 11:52.000]  And then your calls, but go ahead, go ahead and start them
[11:52.000 --> 12:01.000]  And so, in my state of the Union, or my speech to the nation, whatever you want to call it, speech to the nation
[12:01.000 --> 12:22.000]  I asked Americans to give 4,000 years, 4,000 hours over the next, or the rest of your life, of service to America
[12:22.000 --> 12:26.000]  That's what I asked, I said, 4,000 hours
[12:26.000 --> 12:40.000]  There's an old saying in Tennessee, I know it can catch you, probably in Tennessee, it says, fool me once, shame on you
[12:40.000 --> 12:43.000]  It fooled me, it can't get fooled again
[12:43.000 --> 12:53.000]  I was sitting outside the classroom waiting to go in, and I saw an airplane hit the tower, TV was obviously on
[12:53.000 --> 12:58.000]  And I used to fly myself, and I said, there's one terrible pilot
[12:58.000 --> 13:05.000]  I think the intelligence I get is darn good intelligence
[13:05.000 --> 13:16.000]  You're free, and freedom is beautiful, and it'll take time to restore chaos and order, but we will
[13:16.000 --> 13:23.000]  There was a honest difference of opinion as to how to account for a complicated transaction
[13:23.000 --> 13:42.000]  I want to remind you all that I, in order to fight and win the war, it requires a expenditure of money that is commiserate with keeping a promise to our troops to make sure that they're well-paid, well-trained, well-equipped
[13:42.000 --> 13:44.000]  Commiserate
[13:44.000 --> 13:51.000]  You're working hard to put food on your family
[13:51.000 --> 14:01.000]  It's in the interest of a long-term peace in the world that we work for a free and secure and peaceful Iraq
[14:01.000 --> 14:08.000]  A peace, free and secure Iraq in the midst of the Middle East will have enormous historical impact
[14:08.000 --> 14:15.000]  Against France, and of course he says the continent of Nigeria is very important
[14:15.000 --> 14:25.000]  There's countless of these quotes, but he does have the eggheads working for them, the really smart control freaks
[14:25.000 --> 14:36.000]  And my wife, yesterday I was watching C-Span and the whitewash hearings, and Richard Armitage was up there because Rice refuses to go because she's a really bad liar
[14:36.000 --> 14:44.000]  Here's this arrogant Dr. Evil type, my wife walks by and goes, my God, it's the kingpin
[14:44.000 --> 14:54.000]  You know, you can put his picture next to Dr. Evil, they're identical, or take head of the CIA tenant and put him next to John Gotti
[14:54.000 --> 14:58.000]  I mean, he's ready to go walk on the set of Sopranos
[14:58.000 --> 15:02.000]  And he wouldn't miss a beat
[15:02.000 --> 15:10.000]  And yeah, Kevin just ran out here and wanted to point out that Mr. Armitage is a long history with the CIA of bringing in some goodies that
[15:10.000 --> 15:13.000]  Well, end up putting your daughters out in the street corners
[15:13.000 --> 15:21.000]  But got a lot of really serious, serious news here that I want to go over
[15:21.000 --> 15:26.000]  Just a few of them here
[15:26.000 --> 15:34.000]  There is plenty of oil, the oil companies are posting record profits, it's all in plain view
[15:34.000 --> 15:41.000]  And they're getting ready to train you to accept $2 a gallon for gas and it'll go up from there if you'll accept that
[15:41.000 --> 15:44.000]  This is the age of tyranny
[15:44.000 --> 15:48.000]  And prices are now at record highs
[15:48.000 --> 15:53.000]  Despite the fact that they've grabbed record oil supplies all over the planet
[15:53.000 --> 15:57.000]  They said before Congress two days ago, we're not going to get into the strategic oil supplies
[15:57.000 --> 16:02.000]  We're not going to ask the Arabs to lower prices, just get used to it
[16:02.000 --> 16:10.000]  So that's what Spencer Abraham, Newell Lord Minion had to say for you on that situation
[16:10.000 --> 16:17.000]  Now, some of the other articles I have here are of extreme importance
[16:17.000 --> 16:27.000]  UNICEF Nigerian polio vaccine contaminated with sterilizing agents, scientists finds
[16:27.000 --> 16:34.000]  And it says this is not the first time that UNICEF has been embroiled in a controversy over sterilizing agents and vaccines
[16:34.000 --> 16:43.000]  And it says the world news reported that in 95, the Catholic Women's League of the Philippines won a court order halting a UNICEF anti-Tetanus program
[16:43.000 --> 16:53.000]  Because the vaccine had been laced with B-HCG, which when given in a vaccine permanently causes women to be unable to sustain a pregnancy
[16:53.000 --> 17:01.000]  The Supreme Court of the Philippines found the surreptitious sterilization program had already victimized 3 million women in the Philippines alone
[17:01.000 --> 17:12.000]  Ages 12 to 45, B-HCG, laced vaccine was found in many other developing countries under UN programs made by different manufacturers
[17:12.000 --> 17:20.000]  Because then the body creates an autoimmune response to the expensive vaccine
[17:20.000 --> 17:29.000]  And then the UN said it was a big accident, we really apologize, we don't know how this got in all the vaccines, different manufacturers, never happened before
[17:29.000 --> 17:40.000]  And people went, wait a minute, this vaccine program for feminist reasons was so liberal, was only for women
[17:40.000 --> 17:49.000]  Men didn't get to have the shots, it was a program for women, they're disadvantaged, they deserve it, because it wouldn't hurt a man
[17:49.000 --> 17:54.000]  But it hurts a woman, and so this was done
[17:54.000 --> 18:14.000]  And in the newest thing, a big top Indian scientist in a major Indian laboratory in India did radio, immuno, analysis, and gas chromatography and others
[18:14.000 --> 18:27.000]  And found very advanced synthetic sterilization agents that sterilize all those given, just magically added in Africa, they took vaccines from Africa, they also found in India
[18:27.000 --> 18:33.000]  That's from live site, and they source the mainstream news articles
[18:33.000 --> 18:48.000]  But again, so maybe you guys can zoom in on this a little bit, but this is pretty important, this is on infowars.com and prisonplanet.com
[18:48.000 --> 18:58.000]  Or you can also, if you'd like, just go directly to their website
[18:58.000 --> 19:11.000]  And they asked the top doctor who did the studies, you know, why they're doing this, and they brought up the point that it's part of a world population reduction program
[19:11.000 --> 19:20.000]  By the way, this just doesn't sterilize the women, then the gland that creates the hormone needed to carry a pregnancy to term, they have miscarriages or miscarriages, cannot have a child
[19:20.000 --> 19:35.000]  It develops tumors, because the body continually attacks it, so the body starts eating itself, it also reduces their lives, but sitting around at UT as professors, we've got to do something about population
[19:35.000 --> 19:44.000]  That's the big trendy discussion with the Sierra Club, the Nature Conservancy, and all you guys funded by your big banker masters
[19:44.000 --> 19:57.000]  So pretty serious news, this is a story about global research, they did some great work up in Canada, and we see these type of photos every week
[19:57.000 --> 20:16.000]  I don't know, perhaps you guys could turn the iris up in there on this camera, but there we go, but there's the military officer, we can't criticize him or we're against the troops
[20:16.000 --> 20:28.000]  And he's sitting over his thumbs up, it's a big joke, these young Iraqi children standing there, and we've seen the 666 on the side of the helicopters and human skulls on the fronts of tanks
[20:28.000 --> 20:34.000]  And the new Marine Corps chance about killing children, how good it is, just Jim Jones brainwashing
[20:34.000 --> 20:53.000]  Lieutenant Corporal Boulderette killed my dad, then he knocked up my sister, is what the sign says, this photo is disturbing, it certainly reflects the military training and indoctrination of our troops, which encouraged them to kill civilians indiscriminately, as confirmed in numerous reports
[20:53.000 --> 21:04.000]  It also confirms the crudest form of war crimes committed by an occupation army, murder and rape, the two smiling children on the picture do not know what is written on the cardboard poster
[21:04.000 --> 21:18.000]  So it's a funny joke, our troops didn't really act like this in the past, but it's widespread now, we're a sick society, threat matrix and 24 on TV, every episode is torturing, people is good, secret arrest is good, everything is terrorism
[21:18.000 --> 21:27.000]  And the government's paying for all of it, this is admitted, fake newscast, everything, it's all mainstream and how good it is, it's part of the freedom
[21:27.000 --> 21:44.000]  So I thought you'd want to know about that, my friends, oh by the way, in case you were doubting that the government's running the mainstream media, and again not all of it, but the key big productions
[21:44.000 --> 21:54.000]  And then the other media, establishment media comes out and well, it's interesting, let's move on, this is the Chicago Sun Times
[21:54.000 --> 22:03.000]  And it's a glowing article, they tell the truth, but it's so good
[22:03.000 --> 22:16.000]  And they've got Ridge in here saying that we've got to keep Hollywood in line and they've been meeting with for years with Hollywood and helping write the scripts and funding them and running things, Chicago, Sun Times
[22:16.000 --> 22:32.000]  I coined the term propaganda placement, it's not product placement, it's propaganda placement, maybe you heard two weeks ago about the 70 million dollars the White House spent to have local news agencies
[22:32.000 --> 22:43.000]  The New York Times said that they spent 70 million to produce it, they're paying cable systems and broadcast systems to air it
[22:43.000 --> 22:58.000]  We already knew all about it, see, we've been trying to warn you for a while, that's just one program, 70 million dollars, that's almost as much as they spend in a major presidential campaign
[22:58.000 --> 23:09.000]  Just one little caveat or derv, entree, portion, you know, one doblet on the plate
[23:09.000 --> 23:20.000]  But protecting America's terrorism attacks and other disasters requires strong interagency communication and superior intelligence gathering, oh, and a little help from Hollywood
[23:20.000 --> 23:30.000]  And so when you watch 24 and Threat Matrix or NYPD Blue and they're torturing somebody or, you know, answer the questions, I don't want to torture you, I'm the good guy, you're bad, you made me do it
[23:30.000 --> 23:43.000]  Well, that's, we've got to do that for the homeland and the shows are drug dealings terror and bedruggings terror and all these regular crimes now, oh, I see we're all terrorists
[23:43.000 --> 23:55.000]  Of course, how about terrorists sterilize women through vaccines admitted by the UN, official government programs, official Henry Kissinger documents, all on the website, Library of Congress
[23:55.000 --> 24:04.000]  CDC documents got released a month ago, ABC had a small blurb, oh, they admit it's brain damage millions of children and they're not going to stop
[24:04.000 --> 24:16.000]  So, but hey, good business for the fertility doctors, good business for the doctors that treat, you know, the autistic children, I mean, it's a boon
[24:16.000 --> 24:25.000]  Hey, antidepressants like Prozac, the psychotropic type, massively increased suicide, gobble away, they knew that in trials in 83
[24:25.000 --> 24:38.000]  I don't know how long I told you that, but, you know, so, so that's just some of the news, I've got some big brother news, biometrics, a needed weapon in the battle against new threats
[24:38.000 --> 24:50.000]  And the government here from the Star Tribune is lobbying to make you thumb scan at grocery stores to get into Sea World or Disney World or into your business or into the public school or to get your school lunch or to use a payphone
[24:50.000 --> 25:00.000]  And it's going in all over the globe now to be mainstream in just a few years and it's to tax you as well, I warned you, but here's the Star Tribune business section
[25:00.000 --> 25:14.000]  Against threats, against the terrorist, license checkpoints springing up, first this was just to stop the drunk drivers, you know, we got to do something
[25:14.000 --> 25:25.000]  Oh, it is a federally funded program to search your vehicle and check your, see your papers, but the border stays wide open and will accept all the matricula cards now from 83 countries
[25:25.000 --> 25:39.000]  And, well, you know how it is, nothing to do with terrorism, training you how to be a slave, license checkpoints spring up, spring
[25:39.000 --> 25:53.000]  Here's the New York Daily Record, officials advocate DNA database, you know, they're about to pass a law that even if you're arrested for parking tickets, they take your DNA and put it in database
[25:53.000 --> 26:06.000]  Of course, that doesn't really matter because if you're under 34, they took your DNA at birth and that blood test, now officially admitted, I've told you for eight years, but now officially admitted
[26:06.000 --> 26:14.000]  It goes into a federal DNA database, of course, so does England, New Zealand, Australia and Canada, everyone is in it, oh yes
[26:14.000 --> 26:20.000]  And they advocate, Congress is advocating, making everyone do it, of course, you know, good, it's 100%, it'll catch crime
[26:20.000 --> 26:28.000]  The FBI crime lab head admits that they framed a bunch of people, I interviewed him six years ago, totally quite heard, I mean, the Houston crime lab for any people
[26:28.000 --> 26:35.000]  Dallas cops throwing bags of chalk in random cars, taking homes and houses, the crime lab in Dallas certifies as cocaine
[26:35.000 --> 26:51.000]  Puts you in prison, Tulia, Texas, just in one bus, grab 56, 58 people, 20 to 90 years in prison, no drugs, no paraphernalia found, later the cop admits, I lied, I got $1,000 per conviction, just random, just massive
[26:51.000 --> 26:56.000]  It's the slave ships pulling up, grabbing slaves, I mean, it's the same thing
[26:56.000 --> 27:07.000]  There are more people in the state of Texas prisons than there are in Japan, England, Germany and France combined
[27:07.000 --> 27:15.000]  There are more people in Ohio prisons than in multiple European countries combined, we have more than anybody
[27:15.000 --> 27:37.000]  Well good, we're stopping criminals, the private prisons are the criminals owned by the military industrial complex that ships the heroin and the cocaine in, and then they randomly capture, like whale hunters, their slaves, harpoon them and drag them into build widgets, working for 20 cents an hour, taking your jobs, make them criminals work
[27:37.000 --> 27:41.000]  Yeah, taking your jobs
[27:41.000 --> 27:54.000]  9-11 whitewash commissions, I mean, my God, they tried to have Henry Kissinger be the last chairman of it, I mean, do I have to describe how staged, how two of the commissioners, quote, have secretly testified, because they were involved in covering up 9-11 documents
[27:54.000 --> 28:10.000]  Right after 9-11, before the commission was even formed, how they're in business with Bush, I mean, do I have to get into this? Clark is a shill, we really screwed up and Bush is bad, and I'm a Democrat, and let's have a partisan fight, and Republicans know Bill Clinton protected El Qaeda
[28:10.000 --> 28:21.000]  You all did, it's the globalist policy, he's your boy, to say they had prior knowledge is a diversion, they did it
[28:21.000 --> 28:48.000]  477-2288, 477-2288, it is Thursday, the 25th of March, 2004, we got a lot of tape shows in there, I got like 50 tape shows, a live shows I haven't turned in, I got to turn them in, I mean, all these great shows, we've done all the great video, we've done great work, the crew's done, and we just have been putting it out, but I'm going to sometime get some time to put those in down here
[28:48.000 --> 29:12.000]  Before I go to calls, also, I've made 10 documentary films, I've written a book on 9-11, two of the films of 9-11, we have shown those videos here, we fight hard, I do my syndicated broadcast from 11-2 live during the day, 11-2 central, and then it's reared from 9 to midnight, and great shows every day
[29:12.000 --> 29:33.000]  So 9 to midnight tonight at infowars.com, prisonplans.com, you can hear the show, let's go ahead and take some calls, we've got plenty of calls, we'll go ahead and take the number down, 477-2288, and again the websites are infowars.com and prisonplanet.com
[29:33.000 --> 29:52.000]  We have these sites daily, we put a lot of work into this, and these websites are a testament to what you as an average person can do, getting outside the box, getting outside the paradigm, standing up, confronting evil, confronting tyranny
[29:52.000 --> 30:08.000]  When I started my website in the late 90s, it got 4,000 hits the first day I was ecstatic, both my sites combined get 20 million individual users a month now, granted last month's our biggest month ever, normally it was 8 million, it just geometrically jumps
[30:08.000 --> 30:23.000]  And there are hundreds of sites bigger than mine that are patriotic, not left to right, but pro-human being, pro-freedom, pro-sovereignty of the human spirit against the neo-feudal lords of surf system global
[30:23.000 --> 30:39.000]  And I'm not bragging, ooh 20 million people, I mean 20 million people, we dwarf the major newspapers of Texas combined, and again that's not hype, you can go to the ratings services like alexa.com and look at it
[30:39.000 --> 30:54.000]  Oh my God, thank God, I mean I've never seen such an awakening taking place, and I'm just one guy in this fight in the fight for 9 years, let's go to calls, hello caller
[30:54.000 --> 30:56.000]  How are you doing Alex? Good
[30:56.000 --> 31:02.000]  I just want to make a comment the other day when Israel bombed the Hamas spiritual leader
[31:02.000 --> 31:08.000]  They admit that that emboldened Hamas that was founded by Israel
[31:08.000 --> 31:10.000]  Yeah, basically I just wanted to
[31:10.000 --> 31:13.000]  Did you know Israel founded Hamas?
[31:13.000 --> 31:16.000]  Yeah, I've been taking a look at your website
[31:16.000 --> 31:30.000]  Harats, UPI, Jerusalem Post, right before they killed, Yishak Rabini went public and apologized for it, why? Because they don't want peace, either side doesn't want peace
[31:30.000 --> 31:36.000]  That's why the Israelis kill the moderates, this is a change to kill one of the radicals, go ahead, I'll shut up
[31:36.000 --> 31:49.000]  It's alright Alex, but basically I was watching BBC and I saw that a lot of different countries came out against the killing and I noticed that none of the US media said anything about the other countries
[31:49.000 --> 32:01.000]  But for these weak fat-bellied yuppies who've never been punched in the mouth, never rolled a car, you know, never had anything happen to them in their cushy little lives, never been in war
[32:01.000 --> 32:09.000]  They go good, kill them, kill people, assassinations good, kill, kill, I watch Threat Matrix, we torture people on the show every night
[32:09.000 --> 32:20.000]  And I psychologically identify with the feds and torture is good, I'm having my mind bathed in wickedness, I love it, I love it, I love it
[32:20.000 --> 32:22.000]  Yeah, it's crazy man
[32:22.000 --> 32:27.000]  You realize how evil it is for these federally funded TV shows, are training us that torture is good?
[32:27.000 --> 32:29.000]  Yeah, it's crazy
[32:29.000 --> 32:34.000]  Joseph Mingale is good
[32:34.000 --> 32:38.000]  Do you think they carry bin and offers will slow down any other processes?
[32:38.000 --> 32:39.000]  No
[32:39.000 --> 32:42.000]  They're cousins, did you know that?
[32:42.000 --> 32:46.000]  I thought that they both were in secret society at what the yellow
[32:46.000 --> 32:51.000]  We knew they were related years ago, it's in Bloodlines Illuminati, very closely related
[32:51.000 --> 32:55.000]  Reuters says third cousins, AP says ninth
[32:55.000 --> 33:00.000]  They say they're both cousins with Hugh Hefner, they have little parties together
[33:00.000 --> 33:05.000]  But the reality is it's a staged event, it's theater, it's pro wrestling
[33:05.000 --> 33:14.000]  Yeah, it's crazy, I just want to thank you for putting the information out there for myself and all of your viewers
[33:14.000 --> 33:16.000]  Good to hear from you, I appreciate you
[33:16.000 --> 33:21.000]  And for those that can't grasp this, the Romans knew that their enemies weren't reading Roman
[33:21.000 --> 33:26.000]  Even if it was advanced enemies like the Persians or others
[33:26.000 --> 33:31.000]  But especially the Gauls, the French today, the Visigoths, the Vandals, the Germans today
[33:31.000 --> 33:38.000]  I mean Caesar would write, I manipulate them, I get them to give up their weapons and I enslave them and kill them in
[33:38.000 --> 33:41.000]  And they're such idiots, ha ha ha
[33:41.000 --> 33:47.000]  And I'll send in one ruler to dominate them and then chastise them and then withdraw them and bring in a new ruler
[33:47.000 --> 33:52.000]  The Romans wrote handbooks on how to enslave people, the Romans invented feminism
[33:52.000 --> 33:57.000]  I've got this Roman slave handbook, it's widely published, I ought to bring it on TV and show it to you
[33:57.000 --> 34:02.000]  It's like a 2200 year old slave handbook
[34:02.000 --> 34:08.000]  And it talks about how they bring the slaves in off the wagons or off the ships and they beat the men in front of the women
[34:08.000 --> 34:16.000]  Then they tell the women, you must keep them under control and you must help us not educate your men and keep them dumb
[34:16.000 --> 34:19.000]  Or we're going to have to crucify and kill some more of them
[34:19.000 --> 34:23.000]  And so the women would then oppress the men and be in the house
[34:23.000 --> 34:32.000]  And you saw this with black people in America and the plantation owners republished the Roman slave books that had been perfected
[34:32.000 --> 34:42.000]  In the sugarcane plantations by a particular Frenchman who expanded on the Roman doctrines and then republished it
[34:42.000 --> 34:47.000]  And they would pull the coffinship in that half the people died on
[34:47.000 --> 34:54.000]  And they would take the leader, the biggest, strongest, smartest black male and they beat him over the head almost an inch of his life
[34:54.000 --> 35:00.000]  They tell the women, now you keep them in line and you work for us and it's their fault if they try to resist
[35:00.000 --> 35:09.000]  And so the women would then be brought into the house and be the oppressors of the men and the sub-viceroys for the elites
[35:09.000 --> 35:16.000]  And so that's what feminism is today. Gloria Steinem admits she was a CIA officer in one of her own books
[35:16.000 --> 35:20.000]  Miss Magazine was a CIA publication
[35:20.000 --> 35:25.000]  A strong woman empowers her man against the government and against the slave master
[35:25.000 --> 35:30.000]  She doesn't take money to break up the family and to be part of this sick system
[35:30.000 --> 35:33.000]  I just felt led to tell you that
[35:33.000 --> 35:39.000]  But anyways, there's handbooks on fake elections, handbooks on
