[00:00:08.629 --> 00:00:10.510]  It's Sunday, August 1st.
[00:06:50.811 --> 00:06:58.354]  That order's much bigger than anyone in their history, obviously, because they know what they've already done to you.
[00:06:58.354 --> 00:07:02.596]  Antibody-dependent enhancement.
[00:07:02.596 --> 00:07:04.377]  Suddenly, they're even talking about it on CNN!
[00:07:08.175 --> 00:07:34.950]  And that's just one of the things in hundreds of studies, many of which were conducted by Dr. Fauci, we discover that almost all of the different types of mammals that they injected with similar vaccines that target spike proteins on coronaviruses, that in almost every case the animals die.
[00:07:36.044 --> 00:07:41.228]  Within a few months of being given the injection.
[00:07:41.228 --> 00:07:46.151]  And it can be extrapolated out that humans in the physiological differences would die in a few years.
[00:07:46.151 --> 00:08:03.643]  That's how Dr. Sherry Tenpenny and so many other respected medical doctors came on this show and said you will see antibody dependent enhancement by the first fall and winter after the injections and now it's already beginning.
[00:08:06.377 --> 00:08:07.938]  All right, I'm Alex Jones, your host.
[00:08:07.938 --> 00:08:12.960]  This is a live Sunday, August 1st, 2021 transmission.
[00:08:12.960 --> 00:08:16.802]  And let me just start right here with the big announcement.
[00:08:16.802 --> 00:08:19.724]  It is not debated by the CDC.
[00:08:19.724 --> 00:08:23.526]  It is not debated by the NIH, National Institute of Health.
[00:08:23.526 --> 00:08:33.751]  It is not debated by the NIH or the British National Health Service or any of the major governments in the world.
[00:08:35.177 --> 00:08:58.264]  That the so-called COVID-19 vaccinations, whether they be a virus vector from Johnson & Johnson or AstraZeneca, or whether they be an mRNA from Moderna or Pfizer, all of them make you get COVID and make you shed COVID and make you create deadly variants and doesn't work.
[00:08:59.541 --> 00:09:01.882]  It doesn't lessen how bad your sickness is.
[00:09:01.882 --> 00:09:03.003]  All of it was a lie.
[00:09:03.003 --> 00:09:10.226]  And it turns out they knew from hundreds of prestigious studies and government initiatives.
[00:09:10.226 --> 00:09:12.107]  The University of Texas wasn't studies.
[00:09:12.107 --> 00:09:25.634]  It was a four-year initiative of seven universities led by the University of Texas, where they gave all sorts of spike protein vaccines for coronaviruses to rats, ferrets, other animals.
[00:09:25.634 --> 00:09:26.954]  And some rats lived.
[00:09:26.954 --> 00:09:27.815]  None of the ferrets lived.
[00:09:32.452 --> 00:09:34.212]  This is all a test to see what they can do to you.
[00:09:34.212 --> 00:09:39.474]  Just like they said six months ago, oh, it's a rare heart condition, a rare blood clot in the brain, a rare stroke.
[00:09:39.474 --> 00:09:42.034]  No, it's in the majority of people.
[00:09:42.034 --> 00:09:44.695]  Because it starts growing protein crystals.
[00:09:44.695 --> 00:09:56.798]  You don't have a virus, you get given protein crystals, that's what the spike protein is, and your body starts growing it.
[00:09:56.798 --> 00:10:00.159]  And in every case they've done this, it kills the lab animals, the vast majority.
[00:10:00.974 --> 00:10:02.035]  They knew what they did.
[00:10:02.035 --> 00:10:08.039]  Like if you poured a gallon of gasoline on yourself, let it soak in and then struck a match, what's going to happen?
[00:10:08.039 --> 00:10:10.100]  You're going to burn to death.
[00:10:10.100 --> 00:10:17.185]  Or if you took a shotgun and put it in your mouth and pull the trigger, you're going to blow your head off.
[00:10:17.185 --> 00:10:18.786]  See?
[00:10:18.786 --> 00:10:27.072]  And that's why I'm so shocked is, this is 100% known, like eating a teaspoon of cyanide with your iced tea, you're going to be dead in two minutes.
[00:10:30.186 --> 00:10:37.130]  Or if I laid my hand out on this table and took a hatchet right to my fingers, it's going to cut them off.
[00:10:37.130 --> 00:10:39.131]  So I've got the actual CDC study here.
[00:10:39.131 --> 00:10:41.472]  I'm not going to just show you articles at InfoWars.com.
[00:10:41.472 --> 00:10:43.053]  I'm going to show you the actual study.
[00:10:43.053 --> 00:10:44.834]  Overhead shot, please.
[00:10:44.834 --> 00:10:49.437]  CDC released a study showing three-fourths of Delta cases are among the vaccinated.
[00:10:49.437 --> 00:10:50.678]  Says mask are the answer.
[00:10:50.678 --> 00:10:53.019]  More lies from the same people.
[00:10:53.019 --> 00:10:54.440]  It goes on to say 74% of the individuals
[00:10:57.978 --> 00:11:10.044]  That have tested positive, took the vaccine, and it goes on into all the different sloughing off of new, more deadly variants of the virus, which all these top scientists warn would be the case.
[00:11:10.044 --> 00:11:10.524]  Here's another one.
[00:11:10.524 --> 00:11:16.888]  CDC study admits 74% of COVID sufferers in Massachusetts outbreak were fully vaccinated.
[00:11:16.888 --> 00:11:18.869]  But let's look at some other countries, see what they found.
[00:11:18.869 --> 00:11:20.410]  Because I don't just believe the CDC.
[00:11:20.410 --> 00:11:22.411]  Look at this.
[00:11:22.411 --> 00:11:24.272]  Andrew Bosman, MDMS.
[00:11:24.272 --> 00:11:27.033]  A link through right to the government of Finland.
[00:11:27.927 --> 00:11:29.929]  Finnish Hospital, just one example.
[00:11:29.929 --> 00:11:32.390]  C19 Delta Variant Outbreak.
[00:11:32.390 --> 00:11:38.775]  103 infections among HCW's inpatients and 18 elderly inpatient deaths.
[00:11:38.775 --> 00:11:50.784]  Two-thirds of infections, 66% and 67% occurred in those partially or fully vaccinated with mRNA vax.
[00:11:50.784 --> 00:11:52.064]  And I got stacks of these.
[00:11:52.064 --> 00:11:56.848]  76% of the infections among the patients occurred with those fully or partially vaccinated.
[00:11:58.502 --> 00:11:59.283]  That's in 44 to 58.
[00:11:59.283 --> 00:12:03.145]  And it goes on.
[00:12:03.145 --> 00:12:04.306]  Here's another one out of Israel.
[00:12:04.306 --> 00:12:07.088]  This is with 6 million people participating.
[00:12:07.088 --> 00:12:10.150]  The biggest test in history of a coronavirus.
[00:12:10.150 --> 00:12:16.174]  And the vast majority, again over 70%, were inoculated.
[00:12:16.174 --> 00:12:18.856]  Think about that.
[00:12:18.856 --> 00:12:20.237]  Can I have an overhead shot, guys, please?
[00:12:20.237 --> 00:12:21.658]  Thanks.
[00:12:21.658 --> 00:12:26.402]  So just look at this here for yourself.
[00:12:27.719 --> 00:12:29.560]  Yeah, we got a frozen camera.
[00:12:29.560 --> 00:12:35.365]  Anyways, we'll post all these up on InfoWars.com and NewsWars.com.
[00:12:35.365 --> 00:12:36.245]  You can find any of this.
[00:12:36.245 --> 00:12:36.926]  It's all over the news.
[00:12:36.926 --> 00:12:40.969]  I mean, none of this is even debated.
[00:12:40.969 --> 00:12:43.251]  Oh, and then meanwhile, what else is going on?
[00:12:43.251 --> 00:12:50.736]  Miracle Drug is lifesaving against COVID and will stop sufferers needing hospitalization and treatment.
[00:12:50.736 --> 00:12:57.101]  And from all over the world, they're reporting that either pills of steroids, not the type that
[00:12:59.261 --> 00:13:09.243]  Get your bag like Arnold Schwarzenegger, but the type that kill inflammation, corticotypic, either in pill form or inhaled, have basically a 100% rate.
[00:13:09.243 --> 00:13:12.823]  And guess who the UN and others are working with to suppress that?
[00:13:12.823 --> 00:13:14.004]  Big Tech.
[00:13:14.004 --> 00:13:17.444]  So again, talk about criminal activity, ladies and gentlemen.
[00:13:17.444 --> 00:13:21.705]  That's the way these systems operate.
[00:13:21.705 --> 00:13:24.145]  And it goes on and it continues from there.
[00:13:24.145 --> 00:13:25.866]  Here's the Washington Post headline.
[00:13:25.866 --> 00:13:27.046]  Most people infected
[00:13:28.070 --> 00:13:31.352]  In Providence Town, COVID outbreak, we're vaccinated, CDC study shows.
[00:13:31.352 --> 00:13:36.414]  There's your God, The Washington Post, telling you that.
[00:13:36.414 --> 00:13:38.695]  But it gets worse.
[00:13:38.695 --> 00:13:54.743]  We've been here this entire time, for a year and a half, telling you these vaccines weren't vaccines, that they were frankenshots, they were GMO, that they wouldn't work, that they'd lower your immunity next time, that they would make you sick, and that Bill Gates is on record saying he wants to depopulate the Earth.
[00:13:55.419 --> 00:14:02.760]  And we had all these scientists on specifically warning you, and showed you clips of hundreds of prominent scientists and researchers coming out.
[00:14:02.760 --> 00:14:10.642]  Like the former head scientist at Pfizer, and the Nobel Prize winner for the discovery of HIV, and the head EU advisor Wolfgang Woodard.
[00:14:10.642 --> 00:14:14.403]  Those are just known names I've been telling you for a year and a half.
[00:14:14.403 --> 00:14:18.264]  Now they have the Dean of the Baylor Medical School coming out saying it.
[00:14:18.264 --> 00:14:19.544]  I have her on video.
[00:14:19.544 --> 00:14:20.184]  That's coming up.
[00:14:21.179 --> 00:14:37.448]  I have more than 30 clips of the heads of universities, the heads of major scientific institutions in the United States, in England, in Ireland, and I got plenty from Germany, he's just in German, and I got plenty from France, and all over the world, saying the same thing.
[00:14:37.448 --> 00:14:43.711]  This is going to kill millions and millions and millions and millions of people, and it doesn't protect you, and they knew it.
[00:14:47.412 --> 00:14:49.174]  But it still just got pushed forward.
[00:14:49.174 --> 00:14:51.395]  People warned you, and it still happened.
[00:14:51.395 --> 00:14:53.577]  So the question is, why did the globalists do this?
[00:14:53.577 --> 00:14:57.000]  Knowing it was going to come out, they did it.
[00:14:57.000 --> 00:14:59.462]  We have to war game every angle of this during the break.
[00:14:59.462 --> 00:15:03.105]  We'll see if I can fix the overhead shot.
[00:15:03.105 --> 00:15:07.469]  So I can actually show you all this, or I can work with the crew, maybe, to get it on the computer in there for you.
[00:15:07.469 --> 00:15:10.131]  But I want to show everybody this tonight.
[00:15:10.131 --> 00:15:11.091]  I want you to see this.
[00:15:11.091 --> 00:15:12.172]  I want you to understand this.
[00:15:12.172 --> 00:15:13.273]  And I want you to see the U.S.
[00:15:13.273 --> 00:15:16.356]  Patent Office documents where
[00:15:17.290 --> 00:15:30.561]  Fauci and Bill Gates and others from Chapel Hill, North Carolina at Bioweapons Lab sent all the ingredients and how to make this virus that they would own and control to the Wuhan lab to develop it and put it together.
[00:15:30.561 --> 00:15:38.668]  So we've got all of this coming up tonight and then the really big news, the British official government agency responding to bio threats
[00:15:40.575 --> 00:15:50.405]  Has come out, ladies and gentlemen, and said mutants from the vaccinated may create a super strain that they believe will kill 2.6 plus billion people.
[00:15:50.405 --> 00:15:51.186]  That's the headline.
[00:15:51.186 --> 00:15:53.568]  Infowars.com.
[00:15:53.568 --> 00:15:54.489]  Freeworldnews.tv.
[00:15:59.785 --> 00:16:03.487]  As we predicted, the globalists are now launching a new lockdown.
[00:16:03.487 --> 00:16:12.053]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death, and it's caused massive supply chain problems across the western world.
[00:16:12.981 --> 00:16:19.667]  Ladies and gentlemen, now is the time for you to get high-quality, storable food that's ready to ship while you still can at 2020 prices.
[00:16:19.667 --> 00:16:23.171]  We have the biggest, best company in the United States as our supplier.
[00:16:23.171 --> 00:16:25.613]  Their entire catalog is at InfoWareStore.com.
[00:16:25.613 --> 00:16:30.918]  You get an additional 10% off at InfoWareStore.com, but only for one more week.
[00:16:30.918 --> 00:16:32.860]  They've told us you can extend it one more week, Alex.
[00:16:33.380 --> 00:16:34.400]  But that's it.
[00:16:34.400 --> 00:16:36.801]  They won't do this sale again until November.
[00:16:36.801 --> 00:16:39.022]  And then the food prices go up in 2022.
[00:16:39.022 --> 00:16:41.003]  This is insurance you can eat.
[00:16:41.003 --> 00:16:42.263]  It's the highest quality.
[00:16:42.263 --> 00:16:43.464]  Hundreds of high-quality foods.
[00:16:43.464 --> 00:16:45.145]  Three-month, six-month year supplies.
[00:16:45.145 --> 00:16:51.587]  All ready for you at InfoWarsTore.com or call toll-free, 888-253-3139.
[00:16:51.587 --> 00:16:53.428]  Again, InfoWarsTore.com.
[00:16:53.428 --> 00:16:55.228]  10% off on high-quality, storable food.
[00:16:55.228 --> 00:16:56.029]  Ready to ship.
[00:16:56.029 --> 00:16:57.809]  But it ends in just one week.
[00:16:57.809 --> 00:16:59.470]  So take action now while you still can.
[00:16:59.910 --> 00:17:08.075]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go and what we do.
[00:17:08.075 --> 00:17:16.840]  But because they have great cameras and great recording systems and great ways to communicate, I still have one because this Trojan horse, this Promethean Fire, has a lot of power.
[00:17:16.840 --> 00:17:23.824]  But when I'm not using it, I lock it up in a high-quality Faraday cage, a privacy pocket, at InfoWarsTore.com.
[00:17:23.824 --> 00:17:26.425]  We finally got them back in stock, the highest rated.
[00:17:26.425 --> 00:17:28.867]  They fit almost all types of Androids and iPhones.
[00:17:29.287 --> 00:17:29.827]  I think?
[00:18:00.969 --> 00:18:07.055]  Hello, I'm Mike Lindell and I'm coming to you with the most important commercial that I've ever done.
[00:18:07.055 --> 00:18:14.563]  All of you know what my pillow and myself have gone through in the last five months in my efforts to bring the truth forward.
[00:18:14.563 --> 00:18:16.865]  Well, it's all come down to this.
[00:18:16.865 --> 00:18:20.389]  I'm having a cyber symposium on August 10th, 11th and 12th.
[00:18:22.367 --> 00:18:30.534]  This historical event will be live streamed 72 hours straight on my new platform FrankSpeech.com.
[00:18:30.534 --> 00:18:36.438]  You can help by getting everybody you know to go to FrankSpeech.com now.
[00:18:36.438 --> 00:18:47.167]  To help support this cyber symposium event, I am offering some of the best prices ever on my pillow products, but they're only offered at FrankSpeech.com.
[00:18:47.167 --> 00:18:48.368]  Thank you and God bless.
[00:18:49.208 --> 00:19:01.176]  Go to frankspeech.com and enter promo code ALEX or call 800-675-4614 and use promo code ALEX.
[00:19:01.176 --> 00:19:03.257]  The biosecurity state is here.
[00:19:03.257 --> 00:19:09.961]  It's an anti-human eugenics operation, training us that humans are dirty, bad and evil.
[00:19:09.961 --> 00:19:12.123]  The corrupt puppet Prime Minister of Canada
[00:19:13.010 --> 00:19:31.657]  Who says he admires the communist dictatorship of Xi Jinping and wishes to make Canada's fame has announced that they're buying vaccines for every person in the country all the way out to 2024 and that in 2024 you will again take two shots and he says it'll be whatever Pfizer cooks up and wants to put in your body.
[00:19:32.401 --> 00:19:34.182]  This is the Rockefeller Foundation.
[00:19:34.182 --> 00:19:36.283]  They developed this whole plan with Bill Gates.
[00:19:36.283 --> 00:19:39.104]  They're now implementing it, and now they've announced that U.S.
[00:19:39.104 --> 00:19:41.645]  policy is set by the private Rockefeller Foundation.
[00:19:41.645 --> 00:19:51.290]  Of course, the Rockefeller Foundation, by the 30s, was the main funder of Adolf, A. Louis Hitler, and the eugenics at Cold Springs Harbor that trained the Kaiser Wilhelm Institute in Germany.
[00:19:51.290 --> 00:19:53.371]  And bull wars will continue to set fast.
[00:19:53.371 --> 00:19:53.891]  They fight this.
[00:19:53.891 --> 00:19:55.372]  I don't know how long we can.
[00:19:55.372 --> 00:19:56.752]  The enemy's coming for us all now.
[00:19:56.752 --> 00:19:58.353]  God bless and good luck.
[00:19:58.353 --> 00:19:59.894]  I would, again, get right with God right now.
[00:20:03.331 --> 00:20:21.525]  You're listening to the Alex Jones Show.
[00:20:21.525 --> 00:20:24.268]  Waging war on corruption.
[00:20:24.268 --> 00:20:25.869]  It's Alex Jones.
[00:20:25.869 --> 00:20:29.312]  Coming to you live from the front lines of the Infowar.
[00:20:31.202 --> 00:20:35.606]  Alright, it's the worst of times, but it's also the best of times at the same time.
[00:20:35.606 --> 00:20:38.048]  Horrible things are happening.
[00:20:38.048 --> 00:20:39.950]  Incredible tyranny is taking place.
[00:20:39.950 --> 00:20:45.014]  Massive censorship of top scientists and top medical doctors.
[00:20:45.014 --> 00:20:50.798]  And victims of these poison vaccines are being carried out by big tech.
[00:20:50.798 --> 00:20:54.441]  Who themselves are heavily invested in big pharma and vice versa.
[00:20:54.441 --> 00:20:59.726]  And you've got the controlled corporate media that's biggest sponsor is the big pharmaceutical companies.
[00:21:00.447 --> 00:21:14.191]  And then you ask yourself, why would they then roll out extremely tested vaccines on other animals and humans in other trials previously with coronaviruses targeting the spike protein?
[00:21:14.191 --> 00:21:19.133]  And why in all the studies should they say, don't give it to humans, it'll kill them?
[00:21:19.133 --> 00:21:21.754]  Because they've got to attack us sometime, they've got to depopulate us.
[00:21:22.651 --> 00:21:41.973]  And they've got to make us sick so it sucks everything out of the economy, so that as the economy collapses, they pose as the saviors, the big megabanks, who have endless currency, because they just make it out of nothing, so that when the society collapses, they give us universal basic income, and then they control the dwindling resources and completely win.
[00:21:43.129 --> 00:21:51.931]  That's in the book written early last year by Klaus Schwab who calls for depopulating the earth with David Rockefeller and of course his protege Bill Gates.
[00:21:51.931 --> 00:21:56.212]  This is the battle plan that is now being executed.
[00:21:56.212 --> 00:22:02.674]  This is like Caesar writing letters home when he was in Germania and Gaul for 15 years, conquering it.
[00:22:02.674 --> 00:22:04.694]  Letters back to the Senate about what he'd done.
[00:22:04.694 --> 00:22:08.455]  This is like one of the first letters Caesar sent back to
[00:22:09.600 --> 00:22:11.440]  To the Senate to tell them how great he was.
[00:22:11.440 --> 00:22:18.502]  This is Klaus Schwab bragging how they're executing us in live time and bringing in world government and depopulating us and everything.
[00:22:18.502 --> 00:22:21.843]  That's a wartime letter.
[00:22:21.843 --> 00:22:37.346]  This is a battle plan funded by the Rockefeller Foundation in 1974, the culmination of a decade-long research process with the man who later became the White House science czar for eight years under Barack Hussein Obama.
[00:22:39.568 --> 00:22:48.555]  How to sterilize you, how to poison you, and how to use that to break down society, and how medical tyranny is the way to take over because people trust the medical system.
[00:22:48.555 --> 00:22:54.419]  So if world government, the UN, and big corporations poses the medical system, they could conquer the world.
[00:22:54.419 --> 00:23:02.145]  Ecoscience, population, resources, environment, John P. Holdren.
[00:23:02.145 --> 00:23:06.208]  Another depopulationist, Paul Ehrlich and Annie Ehrlich, his wife.
[00:23:10.632 --> 00:23:11.793]  Might want to read it.
[00:23:11.793 --> 00:23:13.774]  Oh!
[00:23:13.774 --> 00:23:16.896]  There's another one you might want to read from two months ago.
[00:23:16.896 --> 00:23:23.141]  The new terrorism plan under our puppet president says anyone questioning lockdowns is a terrorist.
[00:23:23.141 --> 00:23:23.981]  Oh!
[00:23:23.981 --> 00:23:25.903]  And now he's saying new lockdowns may be needed.
[00:23:25.903 --> 00:23:30.606]  Funny how that works.
[00:23:30.606 --> 00:23:39.132]  And when you read Spar's pandemic 2025-2028, put out by John Hopkins with all the UN and Bill Gates funding,
[00:23:39.944 --> 00:23:56.499]  It's set in the year 2025, 2028, that's supposed to be 2020, 2023, and it describes everything they're doing in lifetime, just like Operation Lockstep, and even how they're going to burn some public health officials and act like it's all a big accident that they killed billions of you.
[00:23:56.499 --> 00:24:04.166]  They've got it all planned out.
[00:24:04.166 --> 00:24:05.447]  And you're like, they're going to get destroyed.
[00:24:05.447 --> 00:24:06.187]  They don't care.
[00:24:06.187 --> 00:24:06.788]  They want to kill.
[00:24:10.552 --> 00:24:12.534]  They want to kill.
[00:24:12.534 --> 00:24:19.800]  So, our overhead shot every once in a while, maybe twice a year, one of these wireless cameras seizes up, it just did last segment, but they've got it back up and running.
[00:24:19.800 --> 00:24:27.107]  Let me show you those articles if you're a TV viewer, radio listeners, you can find these easily, just write down what I say and you'll go find them.
[00:24:27.107 --> 00:24:32.852]  CDC releases study showing three-fourths of Delta cases are among the vaccinated.
[00:24:32.852 --> 00:24:34.954]  It says masks are the answer, even though it does nothing.
[00:24:36.337 --> 00:24:43.724]  And they go on to say that the majority of the people sick and the majority dying have had the shot.
[00:24:43.724 --> 00:24:45.365]  Isn't that a big news story?
[00:24:45.365 --> 00:24:52.331]  And that's out of just an area of Massachusetts, but I showed you out of Finland, the exact same numbers.
[00:24:52.331 --> 00:24:59.338]  In fact, this is 76% of the people 44 to 58 that were there.
[00:24:59.338 --> 00:25:01.800]  And it goes on to say all the deaths were vaccinated.
[00:25:05.806 --> 00:25:09.028]  In this study, it's two-thirds of the infections and deaths.
[00:25:09.028 --> 00:25:09.248]  67 occurred.
[00:25:09.248 --> 00:25:10.309]  There's one here where it's 100%.
[00:25:10.309 --> 00:25:12.630]  Let me just show you those numbers.
[00:25:12.630 --> 00:25:13.751]  Again, here's out of Israel.
[00:25:13.751 --> 00:25:25.677]  Six million people studied the biggest study ever on a coronavirus, and they found that the vast majority, again, same thing, had been inoculated, and the vast majority dying aren't.
[00:25:25.677 --> 00:25:28.019]  And they're suppressing all the different miracle drugs and the rest of it.
[00:25:28.019 --> 00:25:29.239]  Big articles on that.
[00:25:29.239 --> 00:25:33.822]  Can't have you suppress it with something like ivermectin or things like the steroid
[00:25:36.647 --> 00:25:40.851]  Dimexamethazone.
[00:25:40.851 --> 00:25:43.113]  And again, here's the Washington Post for those that don't know.
[00:25:43.113 --> 00:25:44.114]  Here's your God.
[00:25:44.114 --> 00:25:52.161]  Most people infected in Providencetown COVID outbreak were vaccinated, CDC study shows.
[00:25:52.161 --> 00:25:55.423]  Now let's get to the really ultra massive news.
[00:25:55.423 --> 00:25:56.725]  Oops!
[00:25:56.725 --> 00:26:01.669]  FDA accidentally reveals a list of COVID vaccine side effects, including
[00:26:03.152 --> 00:26:07.594]  Microcardiitis, something like a heart attack, autoimmune disease, and death.
[00:26:07.594 --> 00:26:09.835]  And this was from last year.
[00:26:09.835 --> 00:26:14.597]  Turns out a staffer didn't like what had happened, so they left the slide in.
[00:26:14.597 --> 00:26:23.060]  Which, by the way, they already admitted previously, it's why they wouldn't approve it, that these type of vaccines cause this.
[00:26:23.060 --> 00:26:30.283]  I'm going to show you top doctors around the world coming out, including now the Dean of the Baylor Medical School.
[00:26:32.546 --> 00:26:35.147]  That's a pretty prestigious medical school.
[00:26:35.147 --> 00:26:45.210]  They worked, by the way, on the UT study, the UT initiative on rats given vaccine for spike protein, where 80-something percent of the rats died.
[00:26:45.210 --> 00:26:45.891]  That's coming up.
[00:26:45.891 --> 00:26:49.592]  I mean, do you realize that they know all about this?
[00:26:49.592 --> 00:26:52.273]  So a lot of this is cover the ass time.
[00:26:52.273 --> 00:26:59.355]  That's why, I mean, it's a who's who of elite scientists saying this is insane and basically everybody that's taking the shot is going to be an invalid.
[00:26:59.355 --> 00:27:01.256]  If they're lucky, a lot of you are going to be dead.
[00:27:02.438 --> 00:27:07.620]  So now they're getting ready to start giving you, for the rest of your life, I guess, blood thinners and other stuff?
[00:27:07.620 --> 00:27:11.421]  I mean, they have really hurt you bad.
[00:27:11.421 --> 00:27:13.161]  And you're like, that'll collapse society.
[00:27:13.161 --> 00:27:15.962]  That's what the globalists want.
[00:27:15.962 --> 00:27:17.203]  They don't care what happens to Joe Biden.
[00:27:17.203 --> 00:27:20.584]  They don't care what happens to... They want to bring down civilization.
[00:27:20.584 --> 00:27:22.024]  They want a post-industrial world.
[00:27:22.024 --> 00:27:22.824]  How do you do it?
[00:27:22.824 --> 00:27:25.205]  You kill billions of people and you make billions of people sick.
