[00:00.000 --> 00:12.800]  Big Brother, mainstream media. Government cover-ups. You want answers? Well, so does he.
[04:20.800 --> 04:24.800]  The end of the dollar is the World Reserve Currency. That's the London Telegraph.
[04:24.800 --> 04:32.800]  The last Friday's Christian Science Monitor that's important to remind you of is hard currency on its way out, introducing the new virtual world currency.
[04:32.800 --> 04:40.800]  Bloomberg reports the Fed will announce at least $500 billion of U.S. bond buys, so they're now monetizing the debt.
[04:40.800 --> 04:46.800]  That's what Zimbabwe did, Weimar Republic, Germany, Argentina in 2000, 2001.
[04:46.800 --> 04:54.800]  We know where this road leads. We'll be breaking that down as well and taking a lot of your phone calls. Stay with us. We'll be right back.
[05:00.800 --> 05:08.800]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history.
[05:08.800 --> 05:13.800]  As we're finishing off this agenda, we'll be pulling the rug from underneath the Americans at home.
[05:13.800 --> 05:19.800]  We've turned an endless influence on our president and Congress, and they really are calling the shots.
[05:19.800 --> 05:24.800]  I think it's incumbent upon all of us as American citizens to pay attention.
[05:24.800 --> 05:34.800]  Full of the Republic identifies the enemies of our nation. The criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[05:34.800 --> 05:40.800]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches, and the Congress is saying, who do we make the checkout to?
[05:40.800 --> 05:47.800]  Today seems like nobody does care, and right now in Washington, D.C., we have seen a fall of the Republic.
[05:47.800 --> 06:10.800]  Get your copy of Full of the Republic on DVD at infowars.com or watch it online right now in super high quality at prisonplanet.tv.
[06:17.800 --> 06:26.800]  We've begun their long expected journey to the moon. In addition to converting your shrinking dollars into gold and silver, you should consider a food savings account from eFoodsDirect.
[06:26.800 --> 06:34.800]  They both make fabulous investments. Food is our greatest dependency, and we know it will be more precious than any financial resource.
[06:34.800 --> 06:39.800]  You and your family need food to survive a crisis, and you can't eat paper, stocks, or metals.
[06:39.800 --> 06:48.800]  Alex has been urging you to invest in delicious, easy-fix meals to enjoy now or save for long term. This will freeze the cost of your food while you can still afford it.
[06:48.800 --> 07:10.800]  Get your copy of Full of the Republic on DVD at infowars.com or watch it online right now in super high quality at prisonplanet.tv.
[07:18.800 --> 07:29.800]  This is the existence of a secret network of FEMA camps, now being expanded nationwide. This documentary exposes how the continuity of government program has established an old powerful shadow state.
[07:29.800 --> 07:33.800]  Police State 4 chronicles the sickening depths to which our Republic has fallen.
[07:33.800 --> 07:43.800]  Prepare to enter the secret of world of emergency dictatorship, body scanners, sound cameras, citizen spies, staged terror and cameras on every street corner.
[07:43.800 --> 07:50.800]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here.
[07:50.800 --> 08:04.800]  Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[08:04.800 --> 08:16.800]  Big Brother, mainstream media, government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN Radio Network.
[08:16.800 --> 08:23.800]  And now, live from Austin, Texas, Alex Jones.
[08:23.800 --> 08:35.800]  We have parishes coming up in about 25 minutes from now for black box voting to break down the evidence of election fraud going on around the country and even some people that have been indicted for it in places like Florida.
[08:35.800 --> 08:42.800]  We're going to get into the economy. We're going to get into big developments in places like France and the UK.
[08:42.800 --> 08:55.800]  France and UK plan unprecedented military cooperation, basically merging their militaries, a lot of strange things going on and happening around the world right now.
[08:55.800 --> 09:06.800]  But let me first just get into this big stack of election news and obviously we'll be here tomorrow knowing a lot more after this historic November 2nd, Super Tuesday.
[09:06.800 --> 09:19.800]  Let's go over it right now. Revival of...
[09:19.800 --> 09:26.800]  Well, this is a Wall Street Journal article that says it shows major signals of historic era in US politics.
[09:26.800 --> 09:35.800]  And there's a problem with this article. It says voters this week look to set to do something not seen since the early 1950s.
[09:35.800 --> 09:40.800]  Alst a substantial number of sitting house lawmakers for the third election in a row.
[09:40.800 --> 09:50.800]  And the Wall Street Journal goes on to say this will be the biggest political realignment in 80 years and it says Republicans are voting in record numbers.
[09:50.800 --> 09:55.800]  But most of these people are not establishment Rhino type Republicans.
[09:55.800 --> 10:02.800]  They are individuals who are angry at the entire political system and are demanding change.
[10:02.800 --> 10:12.800]  Similar to what we saw with Obama, a lot of people who never voted or who don't vote frequently going and voting for Obama in 2008.
[10:12.800 --> 10:16.800]  Now two years ago today and sweeping him into office.
[10:16.800 --> 10:23.800]  And you notice that within just six months his approval rating began to plunge to the lowest of any president at that point.
[10:23.800 --> 10:29.800]  It continues to plunge two years in because people realize that it's business as usual.
[10:29.800 --> 10:38.800]  And this is accelerating now with Republicans as they can take control of the house and maybe even the Senate will find out by tomorrow.
[10:38.800 --> 10:44.800]  As all of this begins to basically become more clear.
[10:44.800 --> 10:52.800]  If the Republicans don't immediately deliver on repealing Obamacare getting rid of NAFTA and GATT cutting taxes.
[10:52.800 --> 11:01.800]  You are going to see the political realignment manifest itself by completely damaging the Republican and Democratic parties.
[11:01.800 --> 11:08.800]  And you're going to see the trend that we see beginning to emerge in places like Colorado with former Congressman Tom Tan Credo.
[11:08.800 --> 11:17.800]  Now in most polls two to five points ahead of the other challengers including the Republican and the Democrat.
[11:17.800 --> 11:26.800]  And he's backed of course by the Constitution Party something set up by G. Edward Griffin and Aaron Russo 20 something years ago.
[11:26.800 --> 11:32.800]  So you see that illustrated right there with Colorado and other states.
[11:32.800 --> 11:38.800]  People are going for the anti-establishment Democrats in the primaries that we saw in the last four months.
[11:38.800 --> 11:41.800]  They're going for the anti-establishment Republicans in the primaries.
[11:41.800 --> 11:47.800]  When Dick Cheney comes out and endorses the Republican running against Rand Paul suddenly Rand Paul gets a surge.
[11:47.800 --> 11:53.800]  When Bill Clinton comes out and endorses Democrats against Republicans in Florida, Kentucky and other states.
[11:53.800 --> 11:59.800]  Boom there's a huge surge for those that Bill Clinton is campaigning against.
[11:59.800 --> 12:08.800]  That's because anything that has a Republican flavor to it or a mainline Democratic flavor to it is dead on arrival.
[12:08.800 --> 12:17.800]  And listening to the ads here in Texas for mainline Republicans and Democrats on radio and TV they're saying I'm anti-establishment.
[12:17.800 --> 12:24.800]  I'm pro Tea Party. I wear a gun in my boot. You know I want to fight the New World Order.
[12:24.800 --> 12:37.800]  And nowhere is this attempted Republican establishment takeover of the Tea Party more evident than what we see going on and happening.
[12:37.800 --> 12:41.800]  Big time with Rick Perry.
[12:41.800 --> 12:48.800]  Rick Perry is a guy that supported attempted forced inoculations of the deadly vaccine Gardasil for the Papillomavirus.
[12:48.800 --> 12:57.800]  He's the guy that went to Bilderberg Group three years ago and was basically given the go ahead to run for president in 2012.
[12:57.800 --> 13:03.800]  He's the gentleman who tried to ram through the North American Union trans-Texas corridor.
[13:03.800 --> 13:10.800]  He's the guy who has done so many horrible globalist type things.
[13:10.800 --> 13:15.800]  But he talks about how he shot a coyote in Westlake neighborhood in the middle of the city.
[13:15.800 --> 13:21.800]  He talks about how he wants Texas to secede and then later said it was just a joke.
[13:21.800 --> 13:32.800]  It's all rhetoric but the positive news here is we don't have Republican candidates or Republican talk show host making fun of people
[13:32.800 --> 13:37.800]  that talk about global banking cartels and the private Federal Reserve.
[13:37.800 --> 13:41.800]  We don't see them making fun of people that want to shut down the borders.
[13:41.800 --> 13:44.800]  We don't see them making fun of anti-globalist.
[13:44.800 --> 13:47.800]  We now see them being forced to embrace it.
[13:47.800 --> 13:53.800]  So even though in a lot of cases it's political camouflage and it is a fraud,
[13:53.800 --> 14:00.800]  people who are now putting them back in office are going to become completely enraged and even more awake
[14:00.800 --> 14:03.800]  when they don't deliver.
[14:03.800 --> 14:10.800]  But those that do deliver, like Tom Tancredo, like Rand Paul, like Michelle Bachman
[14:10.800 --> 14:19.800]  and many other people who aren't perfect but are light years ahead of establishment Republican rhinos and establishment Democrats,
[14:19.800 --> 14:26.800]  they will then be positioned for leadership going into 2012 and beyond.
[14:26.800 --> 14:32.800]  We also have the states rights movement on fire and no amount of states terrorism,
[14:32.800 --> 14:36.800]  no amount of setting up militias to try to scare the public is going to work.
[14:36.800 --> 14:43.800]  And that's why there's a key article out today by Paul Joseph Watson at prisonplanet.com and infowars.com
[14:43.800 --> 14:49.800]  that is so important for all of our great activist listeners to get and to get out to everyone they know
[14:49.800 --> 14:56.800]  because it breaks down with just stunning clarity, crystal clear focus,
[14:56.800 --> 15:02.800]  how important it is that Ron Paul run for president and how he has a very good chance of winning.
[15:02.800 --> 15:04.800]  He's popular with mainline Republicans now.
[15:04.800 --> 15:12.800]  He's won most of the major straw polls, like the key CPAC poll at the big Republican convention earlier this year
[15:12.800 --> 15:20.800]  and last year when he came in second place then, he is hardcore patriot.
[15:20.800 --> 15:23.800]  He has a perfect voting record.
[15:23.800 --> 15:27.800]  I totally agree with all of his positions and policies.
[15:27.800 --> 15:31.800]  I don't with Rans, but still a lot of that I'm going to tell you.
[15:31.800 --> 15:35.800]  I can tell you on the day of the election is political posturing.
[15:35.800 --> 15:43.800]  I'm just going to leave it at that because he's just like his dad.
[15:43.800 --> 15:45.800]  I'm just going to leave it at that.
[15:45.800 --> 15:54.800]  But the issue here is that the awakening is on and we're not going to defeat the globalist overnight.
[15:54.800 --> 16:00.800]  And I was reading on infowars.com this morning some of the comments in Paul Joseph Watson's article
[16:00.800 --> 16:05.800]  and some of the other articles that we've written or posted dealing with voting and the election
[16:05.800 --> 16:07.800]  with people saying you're a bunch of idiots.
[16:07.800 --> 16:08.800]  Voting doesn't do anything.
[16:08.800 --> 16:10.800]  Voting is a complete failure.
[16:10.800 --> 16:12.800]  You're an idiot.
[16:12.800 --> 16:14.800]  Well, look, there is election fraud.
[16:14.800 --> 16:15.800]  There are problems.
[16:15.800 --> 16:21.800]  The big mega corporations spend billions of dollars every election on trying to buy off the candidates
[16:21.800 --> 16:24.800]  or trying to get their candidates to the forefront.
[16:24.800 --> 16:27.800]  But we're in a fight with these people.
[16:27.800 --> 16:31.800]  By voting, we expose the election fraud in the sectors where it's evident.
[16:31.800 --> 16:33.800]  It's not going on everywhere.
[16:33.800 --> 16:34.800]  People go to prison.
[16:34.800 --> 16:36.800]  People get in trouble for it.
[16:36.800 --> 16:38.800]  You have to keep fighting.
[16:38.800 --> 16:44.800]  By supporting patriot candidates, we begin to get our people in to be watchdogs,
[16:44.800 --> 16:48.800]  to have a bully pulpit, to be able to talk about real issues,
[16:48.800 --> 16:51.800]  and to position ourselves into the future.
[16:51.800 --> 16:54.800]  I mean, look at Ron Paul 20 years ago.
[16:54.800 --> 16:59.800]  He couldn't get one co-sponsor in Congress for his audit, the Fed Bill.
[16:59.800 --> 17:01.800]  This year, it passed the House.
[17:01.800 --> 17:03.800]  It was derailed and butchered in the Senate.
[17:03.800 --> 17:08.800]  But still, something came out of it.
[17:08.800 --> 17:16.800]  Look at the fact that for the first time in modern history, the puppets are being ignored
[17:16.800 --> 17:20.800]  and people are looking at the strings that lead up to the puppet master.
[17:20.800 --> 17:24.800]  That's why in the major think tank reports, and what Zbigniew Brzezinski has said and others,
[17:24.800 --> 17:28.800]  they are so scared, they are so concerned in trying to accelerate their program
[17:28.800 --> 17:32.800]  because they know the public is now awake.
[17:32.800 --> 17:34.800]  Now, when you wake up, you've got to figure out where you are.
[17:34.800 --> 17:36.800]  You've got to figure out what's going on.
[17:36.800 --> 17:40.800]  But the good news here is we're not called kooks anymore.
[17:40.800 --> 17:41.800]  Oh, sure.
[17:41.800 --> 17:45.800]  Media Matters and George Soros and MSNBC try to do it.
[17:45.800 --> 17:57.800]  But MSNBC during prime time has less listeners than a major syndicated radio show.
[17:57.800 --> 17:59.800]  It's a joke.
[17:59.800 --> 18:03.800]  And so they can't be the arbiters of reality anymore.
[18:03.800 --> 18:07.800]  They can't sit there and tell us we're kooks, we're lunatics, we're nuts
[18:07.800 --> 18:09.800]  because we talk about these real issues.
[18:09.800 --> 18:11.800]  They are the kooks now.
[18:11.800 --> 18:14.800]  People see that they're the ones out of touch.
[18:14.800 --> 18:19.800]  They remember this radio show and Ron Paul and countless other Patriot Talk Show hosts
[18:19.800 --> 18:25.800]  and leaders talking about the real issues, talking about what Glass-Steagall was going to do
[18:25.800 --> 18:27.800]  and thousands of other issues.
[18:27.800 --> 18:31.800]  They remember us a year and a half ago telling you that they were saving the naked body images.
[18:31.800 --> 18:32.800]  Now it's admitted they were.
[18:32.800 --> 18:36.800]  They remember this show 10, 11, 12 years ago with medical doctors on and chemists
[18:36.800 --> 18:40.800]  and toxicologists about bisphenol A and other chemicals in plastics,
[18:40.800 --> 18:43.800]  reducing fertility in men, giving women breast cancer.
[18:43.800 --> 18:45.800]  Now it's mainstream news.
[18:45.800 --> 18:48.800]  They remember us talking about sodium fluoride and bone cancer.
[18:48.800 --> 18:49.800]  Now it's mainstream news.
[18:49.800 --> 18:54.800]  They remember us talking about NAFTA and GATT was going to destroy our economy and our industrial base.
[18:54.800 --> 18:56.800]  Now it's no one can deny it.
[18:56.800 --> 19:00.800]  They heard us talk about China was going to become the biggest owner of our debt,
[19:00.800 --> 19:02.800]  how the Federal Reserve had teamed up with them to do this,
[19:02.800 --> 19:04.800]  how the Panama Canal had been given away,
[19:04.800 --> 19:07.800]  how the globalists were encircling and bankrupting the nation.
[19:07.800 --> 19:10.800]  Now it's admitted we told the truth.
[19:10.800 --> 19:17.800]  We had the common sense and we didn't care if we got made fun of and laughed at and demonized
[19:17.800 --> 19:20.800]  and if the media tried to claim we were pushing violence when we weren't
[19:20.800 --> 19:27.800]  because we knew that the truth, an ounce of truth can stand up against a million pounds of lies.
[19:27.800 --> 19:33.800]  Truth cuts through lies and we've been there planting the seeds over and over again,
[19:33.800 --> 19:38.800]  reaching out to people who laughed at us, but now they're not laughing.
[19:38.800 --> 19:44.800]  And so we've got a real chance, but this defeatist attitude of, oh, I don't vote, it doesn't matter.
[19:44.800 --> 19:49.800]  I tend to agree with you that in most presidential elections it doesn't matter because they buy both candidates.
[19:49.800 --> 19:54.800]  But we're coming up to one in 2012 with Ron Paul and he won't be able to fix everything,
[19:54.800 --> 19:59.800]  but it's another major move showing that we're the mainstream.
[19:59.800 --> 20:03.800]  In a coming apart world, you need something to keep it tied together.
[20:03.800 --> 20:05.800]  That something is Atwood Rope,
[20:05.800 --> 20:10.800]  the highest quality rope made in the USA from exotic braids for military, rescue,
[20:10.800 --> 20:13.800]  arborist, shipyards, tow line or boating.
[20:13.800 --> 20:17.800]  Quality rope at affordable prices you and your customers can depend on.
[20:17.800 --> 20:20.800]  Find a dealer or shop online at atwoodrope.net.
[20:20.800 --> 20:25.800]  Enter promo code radio to receive 100 feet of 550 paracord free with purchase.
[20:25.800 --> 20:29.800]  Atwood Rope, working to keep the world tied together.
[20:29.800 --> 20:30.800]  Hi, this is Ted Anderson.
[20:30.800 --> 20:34.800]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[20:34.800 --> 20:40.800]  They've been available since 1986 yet the financial industry won't recognize the value of gold for your retirement.
[20:40.800 --> 20:44.800]  Gold is outperform paper investments yet no word about IRAs.
[20:44.800 --> 20:49.800]  If you would like to have gold for your retirement call 800-686-2237.
[20:49.800 --> 20:54.800]  Don't get left behind by rising inflation in low returns call 800-686-2237.
[20:54.800 --> 20:59.800]  Secure your future and call 1-800-686-2237.
[20:59.800 --> 21:03.800]  You may be arrested and or subject to other police action.
[21:03.800 --> 21:05.800]  Tyranny is here.
[21:05.800 --> 21:09.800]  The grim future foretold in 1984 has become reality.
[21:09.800 --> 21:11.800]  It really says that the state is God.
[21:11.800 --> 21:17.800]  The United States is now recognized globally as one of the most oppressive police states on earth.
[21:17.800 --> 21:23.800]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[21:23.800 --> 21:29.800]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[21:29.800 --> 21:33.800]  Police state 4 chronicles the sickening depths to which our republic has fallen.
[21:33.800 --> 21:38.800]  Prepare to enter the secret of world of emergency dictatorship.
[21:38.800 --> 21:44.800]  Body scammers, sound cameras, citizen spies, staged terror and cameras on every street corner.
[21:44.800 --> 21:47.800]  It's only the beginning of the New World Order's hellish plan.
[21:47.800 --> 21:50.800]  The police state isn't coming. It's here.
[21:50.800 --> 21:58.800]  Secure your copy today at infowars.com or see it online in the highest quality at prismplanet.tv.
[21:58.800 --> 22:02.800]  Have you ever felt like the United States government knows way too much about your financial affairs?
[22:02.800 --> 22:08.800]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[22:08.800 --> 22:14.800]  It makes me wonder if the U.S. citizen will ever again have the right to life, liberty and the pursuit of happiness.
[22:14.800 --> 22:20.800]  Unfortunately, with the Drug and Money Laundering Act, the IRS revenue ruling 6045 of 1984,
[22:20.800 --> 22:24.800]  and the Trading with the Enemy Act and Franklin D. Roosevelt's executive order of 1933,
[22:24.800 --> 22:28.800]  some precious metal holdings are subject to government intervention.
[22:28.800 --> 22:34.800]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[22:34.800 --> 22:37.800]  Whether if you have any intention of trading with Midas Resources or not,
[22:37.800 --> 22:40.800]  I have instructed my representatives to give this report out free.
[22:40.800 --> 22:44.800]  Call for your free copy at 1-800-686-2237.
[22:44.800 --> 22:47.800]  When investing, always proceed with caution.
[22:47.800 --> 22:50.800]  Again, call 1-800-686-2237.
[22:50.800 --> 22:53.800]  Exercise your legal right to trade metals privately.
[22:53.800 --> 22:57.800]  1-800-686-2237.
[23:24.800 --> 23:31.800]  To learn more and to order your very own Excalibur Dehydrator, visit drying123.com
[23:31.800 --> 23:36.800]  and see how the Excalibur Dehydrator can help you preserve your favorite foods.
[23:36.800 --> 23:41.800]  Mention coupon code GCN and receive a free book on how to preserve your foods.
[23:41.800 --> 23:47.800]  Again, that's D-R-Y-I-N-G-123.com, drying123.com
[23:47.800 --> 23:53.800]  or call 1-800-875-4254.
[23:53.800 --> 23:57.800]  That's 1-800-875-4254 today.
[24:11.800 --> 24:15.800]  In our 2007 film Endgame, we end the documentary
[24:15.800 --> 24:19.800]  Bullhorning the Governor's Mansion with Rick Perry inside of it.
[24:19.800 --> 24:23.800]  That was right before he moved out of the Governor's Mansion.
[24:23.800 --> 24:27.800]  And now he's got his book coming out, fed up.
[24:27.800 --> 24:30.800]  He's talking about how he wants to battle the New World Order.
[24:30.800 --> 24:33.800]  Meanwhile, he's hanging out at the Bilderberg Group.
[24:33.800 --> 24:39.800]  But you notice, we said he's getting ready to run for president coming up in 2012 in my film Endgame.
[24:39.800 --> 24:46.800]  And you watch, it's going to be Rick Perry, probably with Sarah Palin as vice president.
[24:46.800 --> 24:51.800]  Mark my words, you heard it here first.
[24:51.800 --> 24:55.800]  That is in the cards at the top of the deck.
[24:55.800 --> 24:59.800]  Rick Perry with Sarah Palin, a powerhouse ticket.
[24:59.800 --> 25:03.800]  And you've got Sarah Palin who says all the right things, does all the right things,
[25:03.800 --> 25:07.800]  except for fear mongering, for fake terror, and more wars.
[25:07.800 --> 25:09.800]  Which is the neocon aspect.
[25:09.800 --> 25:12.800]  I mean, she's doing the right thing, endorsing Rand Paul.
[25:12.800 --> 25:16.800]  She's doing the right thing, endorsing Tom Tancredo above the Republican candidate.
[25:16.800 --> 25:21.800]  And Tom Tancredo is set to win in all the major polls unless there's election fraud.
[25:21.800 --> 25:25.800]  Harry Reid is set to lose against Sharon Angle unless there's election fraud.
[25:25.800 --> 25:28.800]  And now they're saying, oh, because of all the allegations of election fraud,
[25:28.800 --> 25:32.800]  we may not find out until December.
[25:32.800 --> 25:36.800]  But mark my words, that's why I waited on this Tea Party film.
[25:36.800 --> 25:39.800]  I was going to mainly make it about Glenn Beck and the media,
[25:39.800 --> 25:42.800]  but I'm going to really make it about the different Republican candidates.
[25:42.800 --> 25:45.800]  Mitt Romney, General Petraeus, they're in the cards.
[25:45.800 --> 25:49.800]  Mitt Romney and Petraeus, maybe together, maybe separate.
[25:49.800 --> 25:52.800]  But the powerhouse ticket.
[25:52.800 --> 25:55.800]  And I already saw this coming several years ago.
[25:55.800 --> 25:58.800]  But now it's being talked about by the Texas Monthly.
[25:58.800 --> 26:01.800]  It's being talked about by the local analyst.
[26:01.800 --> 26:04.800]  Rick Perry told the AP yesterday.
[26:04.800 --> 26:10.800]  He said, don't be surprised if I only serve a year or two as governor in his four-year term.
[26:10.800 --> 26:16.800]  If he does serve a full term, it'll be 14 years or the longest serving Texas governor in history.
[26:16.800 --> 26:17.800]  He is positioned.
[26:17.800 --> 26:18.800]  He's got the book.
[26:18.800 --> 26:20.800]  He's got the book tour.
[26:20.800 --> 26:21.800]  He's launching.
[26:21.800 --> 26:25.800]  He'll probably announce he's running for president the next six to 10 months.
[26:25.800 --> 26:42.800]  And then Sarah Hot Mama Palin is going to be VP again up against Hillary Clinton.
[26:42.800 --> 26:44.800]  Probably running for president.
[26:44.800 --> 26:46.800]  And then that'll be the new novelty.
[26:46.800 --> 26:48.800]  Oh, do you want Hillary as president, the first woman president?
[26:48.800 --> 26:50.800]  And a lot of women will get into it.
[26:50.800 --> 26:52.800]  Oh, we'll have change if it's a woman.
[26:52.800 --> 26:56.800]  Oh, yeah, a woman who headed up the White House 11 years ago when they got rid of Glass-Steagall.
[26:56.800 --> 27:03.800]  I love Democrats always talking about how it's Republicans that caused the economic collapse.
[27:03.800 --> 27:04.800]  Well, that's true.
[27:04.800 --> 27:13.800]  One wing on the bird, the right wing, is the Republican leadership desperately trying to keep control of their party.
[27:13.800 --> 27:20.800]  But the other wing of this system is the Democrats and Republicans.
[27:20.800 --> 27:27.800]  And now the American people are trying to come in and take control of the system again from the establishment.
[27:27.800 --> 27:38.800]  And so many people are staying focused on the national elections when the real power and the real checkmate to all of this is at the state level.
[27:38.800 --> 27:41.800]  So we need to start having the discussion here on air.
[27:41.800 --> 27:48.800]  Are Republicans and libertarians, are you all going to go to sleep now when the Republicans win the House?
[27:48.800 --> 27:51.800]  Are you going to go along with whatever the Republicans do?
[27:51.800 --> 27:56.800]  Because at least they're better than Obama and the Democrats and, you know, they're fighting with the Democrats.
[27:56.800 --> 28:03.800]  And so people kind of turn their thinking process off and go along with whatever the Republicans are doing,
[28:03.800 --> 28:07.800]  because Republicans will feel like they're part of the power structure.
[28:07.800 --> 28:13.800]  I don't think that's going to happen because the economic implosion, the depression we're entering, is so bad.
[28:13.800 --> 28:22.800]  That has a way of getting people to think straight, to get their minds straight, to get their heads screwed on, facing forward.
[28:22.800 --> 28:29.800]  So are Republicans and libertarians and Tea Party people, are they going to go back to sleep when the Republicans take the House?
[28:29.800 --> 28:32.800]  Maybe even the Senate if there's not elections run?
[28:32.800 --> 28:35.800]  Will you go back to sleep again?
[28:35.800 --> 28:40.800]  Because your team, you know, wins the World Series or wins the Super Bowl.
[28:40.800 --> 28:47.800]  Or are you going to continue to move, to take back the states and get more patriotic candidates elected?
[28:47.800 --> 28:54.800]  If you go back two years ago, right when Obama got elected, Republicans and Democrats were being shut down at town halls everywhere.
[28:54.800 --> 28:57.800]  And we're going to go back to that.
[28:57.800 --> 29:03.800]  I believe that despite the fact that the mainstream media is going to try to re-energize the left-right paradigm,
[29:03.800 --> 29:11.800]  that you're going to see the fact that Republicans and Democrats are going to be sharing power now, that you're going to see an anti-incumbency
[29:11.800 --> 29:16.800]  and an anti-Republican Democrat fervor accelerate, the key words accelerate,
[29:16.800 --> 29:22.800]  and dwarf what we're seeing with people like Tom Tancredo set to win in Colorado.
[29:22.800 --> 29:26.800]  Unless there's election fraud today, which no doubt there probably is.
[29:26.800 --> 29:34.800]  Does it matter? Just the fact that a third-party candidate out of nowhere is about to become governor,
[29:34.800 --> 29:39.800]  or has a good shot at it, shows how deep this political realignment is.
[29:39.800 --> 29:43.800]  And all the political analysts, even mainstream analysts, admit this is the case.
[29:43.800 --> 29:46.800]  We're going to look at election fraud straight ahead with Bev Harris.
[29:46.800 --> 29:49.800]  Then we'll start looking at races around the country, and your phone call. Stay with us.
[29:49.800 --> 29:53.800]  We're on the march. The Empire's on the run.
[29:53.800 --> 29:56.800]  Alex Jones and the GCN Radio Network
[29:59.800 --> 30:03.800]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[30:03.800 --> 30:07.800]  Not detergents, but good old-fashioned pure soap made by the Calvin Soap Company,
[30:07.800 --> 30:09.800]  a family-owned and operated American company.
[30:09.800 --> 30:17.800]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, air, laundry, and dishes.
[30:17.800 --> 30:22.800]  There is nothing like these factory direct, big-money-saving triple-concentrated soaps anywhere.
[30:22.800 --> 30:27.800]  Get a free, detailed catalog by calling 800-340-7091,
[30:27.800 --> 30:31.800]  or see them online at 5starsoap.com or infowars.com.
