[00:01:09.073 --> 00:01:09.973]  Okay, welcome back.
[00:05:50.227 --> 00:05:55.612]  In the three acts of the film, we cover the police state in New York, not my view, but the sound cannons.
[00:05:56.332 --> 00:05:57.373]  Oh yeah, it's all there.
[00:05:57.373 --> 00:06:01.375]  Oh look, folks, you'll see the acoustic weapons right there in the streets.
[00:06:01.375 --> 00:06:02.715]  This is not a joke.
[00:06:02.715 --> 00:06:06.977]  Well, everything that I called in on your broadcast... I was just going to say that.
[00:06:06.977 --> 00:06:11.480]  You were on the program twice, live, and I really appreciate that because you were so tired.
[00:06:11.480 --> 00:06:14.181]  But come on, folks, you've got to see this stuff.
[00:06:14.181 --> 00:06:15.061]  It's there.
[00:06:15.061 --> 00:06:16.342]  It's not a joke.
[00:06:16.342 --> 00:06:21.545]  It's what they're using on the alleged terrorists overseas, but they're also using on Americans.
[00:06:21.545 --> 00:06:24.046]  They're using it right on the folks you'll see in the video.
[00:06:24.526 --> 00:06:28.708]  And it shows, of course, the people being put in the, uh... Oh, the Bureau 57.
[00:06:28.708 --> 00:06:34.130]  Yeah, the asbestos-laden, scum-condemned building where these people were actually consigned.
[00:06:34.130 --> 00:06:39.533]  And literally some of them are probably going to become damaged for life with asbestos and the rest of it.
[00:06:39.533 --> 00:06:42.954]  Well, being, of course, run by Bechtel.
[00:06:42.954 --> 00:06:50.218]  And then we show the hover blimps of a police threatening to arrest us every day for no reason with congressional press passes anywhere in the city.
[00:06:50.218 --> 00:06:52.078]  But that's just the first thirty-five minutes.
[00:06:52.078 --> 00:06:52.639]  Then we spend an hour
[00:06:53.819 --> 00:07:03.467]  On 9-11, with all the latest information, A through Z, showing how the globalists carried out the attack, showing all the evidence, masses of it.
[00:07:03.467 --> 00:07:08.852]  Then we spend a whole other hour on who the globalists are, what their driving ideology is.
[00:07:08.852 --> 00:07:13.756]  I also want to salute you for the way
[00:07:15.467 --> 00:07:17.128]  You disposed of Michael Moore.
[00:07:33.286 --> 00:07:38.229]  And this case can be made that what he did was called damage control.
[00:07:38.229 --> 00:07:39.690]  I don't know the truth of the matter.
[00:07:39.690 --> 00:07:41.411]  Maybe the guy didn't want to go any further.
[00:07:41.411 --> 00:07:44.433]  Maybe he felt in his mind, gee, if I go any further, nobody will believe me at all.
[00:07:44.433 --> 00:07:51.638]  But regardless, he ignored 95% of the real evidence of complicity and involvement.
[00:07:51.638 --> 00:07:54.160]  And by doing that, oh, now Bush is just an idiot.
[00:07:55.010 --> 00:07:56.291]  No, no, no, no.
[00:07:56.291 --> 00:07:59.955]  Bush is a minion of the people that carried out 9-11.
[00:07:59.955 --> 00:08:04.298]  See, nothing to do with damage control for those that haven't figured this out yet.
[00:08:04.298 --> 00:08:07.841]  No, they poked fun at Bush and made him a clown, a jerk, an idiot, and all the rest of it.
[00:08:07.841 --> 00:08:09.543]  Bush is not the issue.
[00:08:09.543 --> 00:08:10.503]  No, he's not.
[00:08:10.503 --> 00:08:11.745]  No, he's the front man.
[00:08:11.745 --> 00:08:12.765]  He's the window dressing.
[00:08:12.765 --> 00:08:13.906]  He's the eye wash.
[00:08:13.906 --> 00:08:15.628]  He's the latex mask.
[00:08:16.334 --> 00:08:25.781]  But by the time Moore's done with it, it's just Bush screwed up, he's a fool, and he totally ignores the hundreds of pieces of evidence that only point towards government involvement.
[00:08:25.781 --> 00:08:28.062]  Michael Moore did, by the way, you didn't do anything, Mike.
[00:08:28.062 --> 00:08:29.804]  Michael Moore did it to himself.
[00:08:29.804 --> 00:08:34.367]  All you did was hold up the mirror and let everyone look into it and see what reality he was flashing.
[00:08:34.367 --> 00:08:39.991]  Well, also, you know, I went to New York and I said, even before I went there, I told you this on the broadcast,
[00:08:41.118 --> 00:08:46.423]  And I said on my own little show, I said, I'm going there to organically show what happens.
[00:08:46.423 --> 00:08:53.930]  You know, it's kind of like the old movie where the person looks in different picture windows and, you know, sees something different or the
[00:08:55.277 --> 00:09:00.781]  Dickens' story of a Christmas carol where he gets visited by the three ghosts.
[00:09:00.781 --> 00:09:02.382]  I mean, that's the analogy.
[00:09:02.382 --> 00:09:05.844]  I just went and here's David Gergen and he won't talk about the rituals.
[00:09:05.844 --> 00:09:09.587]  Here's Michael Moore and his bodyguards are shoving me around for no reason.
[00:09:09.587 --> 00:09:14.910]  And here's the police, they're acting like thugs and smashing cameras for no reason.
[00:09:14.910 --> 00:09:17.432]  So basically, I said, I want to go to New York.
[00:09:17.432 --> 00:09:18.533]  I know it's going to be important.
[00:09:19.233 --> 00:09:27.775]  I went there wanting to talk to people at Ground Zero to make a 9-11 film, but then it turned into a police state film, a cult film, a Nazi film.
[00:09:27.775 --> 00:09:30.276]  It's three documentaries in one.
[00:09:30.276 --> 00:09:38.598]  And so, whatever we ran into there, that's basically what went into the film, and it was just organically chronicling what happened.
[00:09:38.598 --> 00:09:39.599]  But here's more.
[00:09:39.599 --> 00:09:46.220]  He ducks in front of a demonstration for like 20 minutes for the photo op, leading the crowd.
[00:09:46.220 --> 00:09:48.241]  Then he ducks into this taco shop,
[00:09:48.880 --> 00:09:49.621]  Ugly people.
[00:09:49.621 --> 00:09:50.161]  They're thugs.
[00:10:04.452 --> 00:10:08.937]  And this is everything, the point is, is that this is everything he claimed he was always fighting.
[00:10:08.937 --> 00:10:10.199]  He was the guy outside.
[00:10:10.199 --> 00:10:11.861]  He was the guy being thrown out.
[00:10:11.861 --> 00:10:14.424]  He was the guy fighting the guys on the corporate jets.
[00:10:14.424 --> 00:10:25.016]  And then now here he is, with his bodyguards, while I'm at the window videotaping him through the window, being very polite, coming over and shoving on me, lying to me.
[00:10:25.756 --> 00:10:30.138]  You name it, and we were going to give Moore a chance to respond to the questions.
[00:10:30.138 --> 00:10:37.960]  I, of course, shoved a camera in his face as I was being pushed by the bodyguards when he tried to leave, and just said, why didn't you talk about NORAD standing down?
[00:10:37.960 --> 00:10:42.082]  Why didn't you talk about, you know, all the real 9-11 issues, the drills?
[00:10:42.082 --> 00:10:45.683]  And he says on camera, because that would be un-American.
[00:10:45.683 --> 00:10:47.624]  He said that would be un-American.
[00:10:47.624 --> 00:10:49.764]  Now, was he being facetious?
[00:10:49.764 --> 00:10:51.145]  You know, I'd like to think he was.
[00:10:52.657 --> 00:10:55.318]  I know that Michael Moore got a copy of Road to Tyranny.
[00:10:55.318 --> 00:10:56.158]  Oh, sure he did.
[00:10:56.158 --> 00:10:58.599]  Long before... I mean, I talked to the guy that gave it to him.
[00:10:58.599 --> 00:11:00.940]  Long before he even made Fahrenheit.
[00:11:00.940 --> 00:11:03.021]  And I was hoping, I was supporting the film.
[00:11:03.021 --> 00:11:04.681]  I was saying, great, go see it.
[00:11:04.681 --> 00:11:06.822]  I mean, it's not that I have sour grapes here.
[00:11:06.822 --> 00:11:10.023]  It's that once the film came out, it helped the globalists.
[00:11:10.023 --> 00:11:12.124]  It didn't help the truth movement.
[00:11:12.124 --> 00:11:12.564]  Exactly.
[00:11:12.564 --> 00:11:13.144]  I know.
[00:11:13.144 --> 00:11:14.925]  I said so when I saw it here.
[00:11:14.925 --> 00:11:15.565]  All right.
[00:11:15.565 --> 00:11:16.286]  Stand by.
[00:11:16.286 --> 00:11:17.026]  We'll pause.
[00:11:17.026 --> 00:11:19.127]  Jeff Rantz with Alex Jones.
[00:11:19.127 --> 00:11:19.707]  Back in just a minute.
[00:11:23.917 --> 00:11:24.417]  I don't think so.
[00:12:02.157 --> 00:12:03.518]  Oxygen.
[00:12:03.518 --> 00:12:14.843]  It's nature's oldest therapy, and plays an essential role in destroying viruses, bacteria, mold, yeast, and fungus, and keeping the human body healthy and strong.
[00:12:14.843 --> 00:12:21.846]  Now, you can give your body and your immune system a mega-boost of disease-fighting oxygen with all-natural Oxy-C.
[00:12:22.566 --> 00:12:34.275]  With so many people now leading a sedentary indoor lifestyle, most are in a chronic state of oxygen deprivation, which sets up a perfect environment for disease, general fatigue, and a host of other symptoms.
[00:12:34.275 --> 00:12:37.637]  Oxy-C is yours in simple, convenient capsules.
[00:12:37.637 --> 00:12:39.678]  Nothing to mix, nothing to hassle with.
[00:12:39.678 --> 00:12:41.640]  Take it with juice or water anytime.
[00:12:42.020 --> 00:12:43.781]  Feel a cold or flu approaching?
[00:12:43.781 --> 00:12:45.821]  Have no energy or spark anymore?
[00:12:45.821 --> 00:12:50.543]  Try all-natural Oxy-C and prepare to be amazed.
[00:12:50.543 --> 00:12:55.404]  Oxy-C is only available from New Earth Health Solutions at Rents.com.
[00:12:55.404 --> 00:13:00.085]  Look for the New Earth banner at Rents.com.
[00:13:00.085 --> 00:13:05.967]  Finally, for millions of Americans at risk with high cholesterol, there's Liquid Quell, doctor recommended.
[00:13:21.721 --> 00:13:23.082]  Okay, right back at Alex Jones.
[00:13:23.082 --> 00:13:27.725]  There was so much in the production, Alex, so much of it ugly.
[00:13:27.725 --> 00:13:30.988]  It was appalling to me.
[00:13:30.988 --> 00:13:40.294]  And the size of the demonstration that was completely obliterated, obscured, ignored by the mainstream media was huge.
[00:13:40.294 --> 00:13:42.175]  I don't know how many people, tens of thousands?
[00:13:42.175 --> 00:13:42.896]  It was huge!
[00:13:42.896 --> 00:13:44.357]  And it didn't get any coverage, of course.
[00:13:46.557 --> 00:13:56.822]  I went up in the Empire States Building at one time on that first day, that Sunday when it kicked off, and there were, as I described on your program, about five streets wide.
[00:13:57.802 --> 00:14:01.184]  Some of the trails going back over a mile.
[00:14:01.184 --> 00:14:05.125]  Local news said 400 plus thousand at one time.
[00:14:05.125 --> 00:14:05.946]  Easily that amount.
[00:14:05.946 --> 00:14:08.247]  National news said 100,000.
[00:14:08.247 --> 00:14:10.508]  And would only focus on the freaks.
[00:14:10.508 --> 00:14:12.589]  Who were few and far between.
[00:14:12.589 --> 00:14:16.431]  They weren't even the minority of people, but that's what the media did.
[00:14:16.431 --> 00:14:22.473]  They would focus on right wing and left wing kooks and idiots to try to marginalize the people that were there.
[00:14:22.473 --> 00:14:23.694]  There were a lot of families there.
[00:14:23.694 --> 00:14:25.455]  A lot of really angry people.
[00:14:25.455 --> 00:14:25.895]  And also,
[00:14:26.811 --> 00:14:29.301]  National News kept saying how much New Yorkers loved it.
[00:14:30.245 --> 00:14:41.068]  Literally 95% of New Yorkers we talk to, even who are Republicans, thought it was horrible to bring it there and to use 9-11 as a poster child for more of a police state.
[00:14:41.068 --> 00:14:46.550]  But talking to taxi drivers, and we interview them in the film, briefly at the first, we go, how many people are in the city?
[00:14:46.550 --> 00:14:49.010]  And they say between 80 and 90% had left.
[00:14:49.010 --> 00:14:52.711]  And I've been to New York a few times and never seen it that empty.
[00:14:52.711 --> 00:14:58.213]  I mean, you'd have five, ten cabs, no exaggeration, pulling up at once, trying to pick you up.
[00:15:00.241 --> 00:15:02.902]  Well, the point was made quite clear.
[00:15:02.902 --> 00:15:05.002]  It was amazing.
[00:15:05.002 --> 00:15:09.783]  But the majority of the film, again, the heart of the film is 9-11, as you saw.
[00:15:09.783 --> 00:15:11.263]  And we lay it out.
[00:15:11.263 --> 00:15:17.785]  I mean, we go A to Z, the evidence of prior knowledge, the evidence of involvement, the evidence of the cover-up.
[00:15:17.785 --> 00:15:28.567]  We go right through it, and then we start talking to locals, and all the people who heard it on the radio when they said they were going to blow up Building 7, all the firefighters that were told to get out of the building, all the police.
[00:15:29.447 --> 00:15:31.290]  People who were told don't go to work that day.
[00:15:31.290 --> 00:15:32.031]  Right.
[00:15:32.031 --> 00:15:36.357]  I mean, it's not just the Zogby poll showing people think the government's involved.
[00:15:36.357 --> 00:15:37.839]  It's not just the CNN poll.
[00:15:37.839 --> 00:15:38.740]  It's not just all that.
[00:15:38.740 --> 00:15:41.244]  Then we show the people on the streets saying the same thing.
[00:15:42.412 --> 00:15:44.252]  Total corroboration.
[00:15:44.252 --> 00:15:46.513]  Well, I really appreciate your kind words about the film.
[00:15:46.513 --> 00:15:48.174]  It is my best film.
[00:15:48.174 --> 00:15:50.174]  It dwarfs my other videos.
[00:15:50.174 --> 00:15:51.874]  I spent more time on it.
[00:15:51.874 --> 00:15:53.855]  I spent a month before I left.
[00:15:53.855 --> 00:15:58.196]  I spent five, six months when I got back making the film.
[00:15:58.196 --> 00:16:00.877]  And I really do hope that people will get a copy of it.
[00:16:00.877 --> 00:16:02.737]  I hope they will make copies of it.
[00:16:02.737 --> 00:16:05.738]  Because all I want to do is get this out to people.
[00:16:05.738 --> 00:16:09.339]  Well, again, I would urge you to address it as three
[00:16:10.089 --> 00:16:11.431]  Documentaries in one.
[00:16:11.431 --> 00:16:14.914]  The panorama of it is enormous.
[00:16:14.914 --> 00:16:19.740]  And folks, for those of you who really like Alex Jones, and there are millions of you,
[00:16:20.348 --> 00:16:23.549]  If you haven't seen him in video before, you're going to love it.
[00:16:23.549 --> 00:16:27.490]  You get to spend two and a half, three hours with Alex Jones.
[00:16:27.490 --> 00:16:28.150]  I'm serious.
[00:16:28.150 --> 00:16:41.793]  It's like you're right in the house, in the room, because your ability to project your passion, your sincerity, your spontaneity, and your intellectual, your enormous intellectual grasp of what's happening and to put it into simple terms
[00:16:42.233 --> 00:16:47.295]  Not simple-minded, but simple terms to show people, and then you back it up with what's in the documentary.
[00:16:47.295 --> 00:16:49.156]  I've not seen anything like it.
[00:16:49.156 --> 00:16:52.538]  It's just an enormous achievement, and I really commend you.
[00:16:52.538 --> 00:16:53.478]  Well, I appreciate it, Jeff.
[00:16:53.478 --> 00:17:06.784]  Since you started the broadcast with a plug, people can go to InfoWars.com or PrisonPlanet.com via the Safe, Secure Shopping Cart, an order of VHS or DVD, and they can also call toll-free to get one at 1-888-422-4222.
[00:17:09.660 --> 00:17:10.441]  We're good to go.
[00:17:26.133 --> 00:17:28.174]  Hundreds of my weekly TV shows.
[00:17:28.174 --> 00:17:29.415]  Every week they're posted.
[00:17:29.415 --> 00:17:32.817]  All my best audio interviews interview with you.
[00:17:32.817 --> 00:17:35.158]  We're kind enough to come on last Wednesday for an hour and a half.
[00:17:35.158 --> 00:17:35.678]  You're welcome.
[00:17:35.678 --> 00:17:36.839]  I'm the world's worst guest.
[00:17:36.839 --> 00:17:38.220]  That's ridiculous.
[00:17:38.220 --> 00:17:40.061]  People are begging for you to come back.
[00:17:40.061 --> 00:17:41.902]  And it's all there at PrisonPlanet.tv.
[00:17:43.536 --> 00:17:53.904]  Well, please, for what it's worth, all of you, I think, listening, I can say safely, are repulsed by talking heads.
[00:17:53.904 --> 00:18:09.757]  You get these phony pretty boy, pretty girls out in the field, whatever, anchormen, anchorwomen, and they've got their little notes, or they've got their little traveling teleprompter, and they're looking right in the camera, right at you, but they're reading on a screen you can't see, and they're just reading a script that they've written, or that has been written for them by a producer,
[00:18:10.497 --> 00:18:15.278]  Alex Jones speaks to you from his mind and his heart.
[00:18:15.278 --> 00:18:16.719]  It is all extemporaneous.
[00:18:16.719 --> 00:18:17.839]  It is not rehearsed.
[00:18:17.839 --> 00:18:20.580]  It is off the top of his head, just like you hear it now.
[00:18:20.580 --> 00:18:28.122]  And for me, a 12-year veteran of television news and television production as an Anchorman News Director, to see somebody that gifted,
[00:18:28.749 --> 00:18:48.846]  And that caring about what he is doing, or she may be doing, to deliver it like that was enormously... It gave me a great deal of hope that there's still honest people out there who will sit down and talk to you, man-to-man, man-to-woman, straight to your face, without rehearsal, without notes, without any of the other crap.
[00:18:48.846 --> 00:18:51.148]  Alex knows his stuff.
[00:18:52.443 --> 00:18:57.087]  You've got to stop, Jeff, but I mean, all I did basically... I'm telling you the truth, Alex.
[00:18:57.087 --> 00:18:58.909]  Listen, I'm not BSing anybody.
[00:18:58.909 --> 00:18:59.509]  Oh, no, no, no.
[00:18:59.509 --> 00:19:00.430]  I mean, it's very nice of you.
[00:19:00.430 --> 00:19:14.402]  I mean, all I did was, as I said earlier, organically go show people what was happening, talk to the people, and that's what I don't think they get, Jeff, is that, you know, being a talk radio, we really are, you know, going with what we believe and the evidence we have.
[00:19:14.402 --> 00:19:18.546]  With TV, if you watch 60 seconds, it might be an hour of crafting.
[00:19:18.846 --> 00:19:19.286]  Correct.
[00:19:19.286 --> 00:19:23.827]  And it looks like it's so sincere and so real, and they practice and go to school.
[00:19:23.827 --> 00:19:25.567]  That's why I walked away from it.
[00:19:25.567 --> 00:19:27.408]  It's a fraud.
[00:19:27.408 --> 00:19:31.769]  There's so much more to project this, this genuineness.
[00:19:31.769 --> 00:19:34.249]  But frankly, the people are seeing through it.
[00:19:34.249 --> 00:19:40.131]  That's why Rents.com gets millions and millions and millions of visitors each month, because they want that sincerity.
[00:19:40.131 --> 00:19:42.831]  And sincerely, folks, it's not just our sincerity.
[00:19:42.831 --> 00:19:44.532]  Then we back it up with all the facts.
[00:19:44.532 --> 00:19:46.392]  And yet, it's a very dark film.
[00:19:47.132 --> 00:19:49.653]  It's a very scary film.
[00:19:49.653 --> 00:19:55.936]  It's a very painful film, but it's better to know the facts than to not know them, and so in a way it's healing.
[00:19:55.936 --> 00:19:57.396]  Always said the same thing.
[00:19:57.396 --> 00:20:00.357]  I'd rather know than not to know, no matter how bad the news is.
[00:20:00.357 --> 00:20:01.138]  Thank you.
[00:20:01.138 --> 00:20:09.481]  And for those of you who don't want to know, that's fine too, but we're here to tell you that it's a different world than the mainstream hacks and liars and phonies would have you believe.
[00:20:09.481 --> 00:20:11.262]  Back in just a minute with Alex Jones.
[00:21:19.027 --> 00:21:21.948]  I gotta tell you, there's something that just came across my desk.
[00:21:21.948 --> 00:21:23.548]  Scientific American.
[00:21:23.548 --> 00:21:25.169]  You know, it's a legendary magazine.
[00:21:25.169 --> 00:21:32.712]  It's got a pretty good reputation, a staunch supporter of good science, reasonable science, sometimes excellent articles.
[00:21:32.712 --> 00:21:36.393]  Well, there's a guy who's written an article on Scientific American.
[00:21:36.393 --> 00:21:39.354]  Michael Shermer.
[00:21:39.354 --> 00:21:40.335]  Remember that name?
[00:21:40.335 --> 00:21:45.977]  If I'm not mistaken, he was on this program once, and right in the middle of his presentation, completely
[00:21:47.242 --> 00:21:52.846]  dissed Roswell and said it was a fraud and nothing ever happened there and I was I was rather speechless.
[00:21:52.846 --> 00:21:56.289]  But anyway, he's got an article in Scientific American.
[00:21:56.289 --> 00:21:58.290]  Here's a quote from it.
[00:21:58.290 --> 00:22:00.392]  You're going to like this one.
[00:22:00.392 --> 00:22:14.962]  The mistaken belief that a handful, a handful, you know, two or three, of unexplained anomalies can undermine a well-established theory lies at the heart of all conspiratorial thinking.
[00:22:15.615 --> 00:22:22.599]  As well as creationism, holocaust denial, and the various crank theories of physics.
[00:22:22.599 --> 00:22:29.563]  All the evidence for a 9-11 conspiracy falls under the rubric of this fallacy.
[00:22:29.563 --> 00:22:32.125]  End quote.
[00:22:32.125 --> 00:22:34.306]  An article in Scientific American, the June issue.
[00:22:34.306 --> 00:22:35.667]  Let me just read a little bit more here.
[00:22:35.667 --> 00:22:38.269]  See if this rings a bell, Alex.
[00:22:38.269 --> 00:22:43.532]  Noted French left-wing activist Thierry Maissan's 9-11 conspiracy book
[00:22:44.694 --> 00:22:47.356]  A best-seller in 2002.
[00:22:47.356 --> 00:22:52.820]  But I never imagined such an appalling deception would ever find a voice in America.
[00:22:52.820 --> 00:23:11.034]  At a recent public lecture, I was button-holed by a Michael Moore wannabe filmmaker who breathlessly explained that 9-11 was orchestrated by Bush, Cheney, Rumsfeld and the Central Intelligence Agency as part of their plan for global domination and a new world order.
[00:23:14.085 --> 00:23:16.128]  Sound familiar?
[00:23:16.128 --> 00:23:22.576]  Wasn't you, but somebody else apparently trying to make a dent in this guy and explain to him that, hey, you're wrong.
[00:23:24.562 --> 00:23:26.923]  Well, I don't hear any science there, Jeff.
[00:23:26.923 --> 00:23:29.443]  I don't hear any facts there.
[00:23:29.443 --> 00:23:33.465]  Well, look, they've tried to ignore us for three and a half years.
[00:23:33.465 --> 00:23:34.805]  Now they're panicking.
[00:23:48.473 --> 00:23:50.114]  Because, again, you have a CNN poll.
[00:23:50.114 --> 00:23:54.435]  90% of Americans believe the government had prior knowledge and allowed it to happen.
[00:23:54.435 --> 00:23:55.115]  Zogby poll, 50%.
[00:23:55.115 --> 00:23:58.096]  They're panicking.
[00:23:58.096 --> 00:24:01.217]  They know that the rabbit's out of the bag.
[00:24:01.217 --> 00:24:04.358]  The trick has been exposed.
[00:24:04.358 --> 00:24:08.940]  And I would just say to them, OK, sir, we have 600 pieces of evidence.
[00:24:08.940 --> 00:24:09.920]  Let's go over them.
[00:24:10.797 --> 00:24:13.761]  Did you know that NORAB was ordered to stand down by Dick Cheney?
[00:24:13.761 --> 00:24:14.962]  Here's the admission.
[00:24:14.962 --> 00:24:24.173]  Did you know three months before they took the power from the generals to shoot down planes that they'd had since NORAB was set up and gave it over to only Dick Cheney?
[00:24:24.173 --> 00:24:27.678]  Did you know that public officials were warned not to fly the night before?
[00:24:28.519 --> 00:24:30.441]  Many, by the way, many of them.
[00:24:30.441 --> 00:24:31.903]  Not just Willie Brown, many others.
[00:24:46.460 --> 00:24:48.061]  He didn't want to hear it.
[00:25:16.800 --> 00:25:33.464]  I was on the radio last night on a syndicated show for two hours with this counter-terrorism expert from the Pentagon, and by the end of it he was basically crying.
[00:25:33.464 --> 00:25:35.405]  All he had was emotion.
[00:25:35.405 --> 00:25:37.045]  I totally cleaned his clock.
[00:25:37.045 --> 00:25:38.626]  Every caller but one.
[00:25:40.114 --> 00:25:41.055]  Agreed with me.
[00:25:41.055 --> 00:25:43.297]  He was totally panicking.
[00:25:43.297 --> 00:25:44.678]  I would go over facts and evidence.
[00:25:44.678 --> 00:25:46.760]  I would say, what about Operation Northwoods?
[00:25:46.760 --> 00:25:47.580]  The official U.S.
[00:25:47.580 --> 00:25:49.021]  government plan to carry out 9-11?
[00:25:49.021 --> 00:25:51.183]  Did he even admit that he ever heard of it?
