[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[00:07:20.613 --> 00:07:22.574]  And so now they tell me,
[00:07:23.677 --> 00:07:25.499]  We're gonna kill your ass, we're putting you in prison.
[00:07:25.499 --> 00:07:29.021]  And they're trying right now, and I'm just like, okay, you'll still be losers!
[00:07:29.021 --> 00:07:34.206]  Led by the Crypt Keeper, Nancy Pelosi, and Hillary, and all these other insane weirdos?
[00:07:34.206 --> 00:07:37.829]  And Gigi Ping?
[00:07:37.829 --> 00:07:47.457]  And we're in martial law, we all have to take forced inoculations with the evil elf, Bill Gates, hopping around giving speeches about depopulation, and I'm supposed to trust him, wanting to give me a vaccine?
[00:07:47.457 --> 00:07:48.878]  Okay, fine!
[00:07:48.878 --> 00:07:49.979]  You can destroy Alex Jones.
[00:07:51.765 --> 00:07:54.509]  All you'll do is water the Tree of Liberty.
[00:07:54.509 --> 00:07:56.192]  But that is what Thomas Jefferson said.
[00:07:56.192 --> 00:08:03.522]  It's got to be watered with the blood of patriots like Colonels William, Bear, and Travis.
[00:08:03.522 --> 00:08:04.063]  And tyrants.
[00:08:07.242 --> 00:08:14.109]  The thing about water and trees with Patriot's blood is, it just seems to create a harvest of blood for Tyrus.
[00:08:14.109 --> 00:08:18.894]  And that's why, in the final equation, I'm not worried, because I'm right where I'm supposed to be.
[00:08:18.894 --> 00:08:21.697]  Opposing you.
[00:08:21.697 --> 00:08:28.183]  So for myself, the rest of humanity, to all you globalists, you're losers, you're gonna fail.
[00:08:28.183 --> 00:08:30.886]  Humanity's awakening, and you're gonna burn in hell.
[00:08:49.870 --> 00:08:52.751]  April 27th on this Monday edition.
[00:08:52.751 --> 00:08:57.832]  It is now in perfect 2020 crisp clarity.
[00:08:57.832 --> 00:09:00.612]  6D HD.
[00:09:00.612 --> 00:09:05.933]  This is a public world government takeover of what's left of the Western world.
[00:09:05.933 --> 00:09:09.854]  The communist Chinese model is officially being adopted.
[00:09:09.854 --> 00:09:12.215]  You will have an ID to buy and sell.
[00:09:12.215 --> 00:09:13.375]  You will have the mark of the beast.
[00:09:14.625 --> 00:09:26.650]  And computers controlled by eugenicists, bioethics boards that are anti-human will control all facets of your life, not just medical decisions.
[00:09:26.650 --> 00:09:39.135]  It came out that Senior Sinai, one of the most respected hospitals in the world, it's definitely in the top five, is doing light therapy and knocking out COVID-19, snaking tubes down into the lungs.
[00:09:40.199 --> 00:09:42.086]  With fiber optics.
[00:09:42.086 --> 00:09:44.494]  Their Twitter has been banned and their YouTube has been banned.
[00:09:45.509 --> 00:09:47.030]  And the company promoting it has been banned.
[00:09:47.030 --> 00:09:54.757]  Senior Sinai is now fake news, according to Twitter, because it backs up what the president said.
[00:09:54.757 --> 00:10:06.607]  And of course, they're doing zinc therapy, intravenously, vitamin C therapy, mainline medical doctors, and they're now SWAT teaming them, the FBI, as even those places are authorized to do that.
[00:10:06.607 --> 00:10:08.989]  They do not want you to know that there's any hope.
[00:10:08.989 --> 00:10:12.171]  They want to force you into the vaccine and the digital ID that comes with it.
[00:10:13.593 --> 00:10:25.021]  Every day without looking, I see 6, 7, 8, 9, 10 medical doctors from the United States alone, male, female, you name it, coming out and saying, we run hospitals, we run clinics.
[00:10:25.021 --> 00:10:27.623]  And we are seeing this being basically a hoax.
[00:10:27.623 --> 00:10:29.804]  I'm going to play a special report on that in a moment.
[00:10:29.804 --> 00:10:41.653]  When we come back, even USA Today did a fact check story and said, is it true that hospitals get paid way more for a COVID-19 patient than to stick them on a ventilator, which kills them?
[00:10:42.634 --> 00:10:43.475]  And it's true.
[00:10:43.475 --> 00:10:47.658]  That's why they've cleared the hospitals out to make more money.
[00:10:47.658 --> 00:10:51.000]  If you've ever had a cold virus or a flu virus, you test false positive.
[00:10:51.000 --> 00:10:52.181]  That's now confirmed.
[00:10:52.181 --> 00:10:53.402]  The test kits were contaminated.
[00:10:53.402 --> 00:10:56.904]  They give you COVID-19, both the Chinese and the CDC ones.
[00:10:56.904 --> 00:10:58.946]  It's all happening.
[00:10:58.946 --> 00:11:02.108]  And the globalists are panicking.
[00:11:02.108 --> 00:11:04.530]  They do not know what to do.
[00:11:06.465 --> 00:11:11.073]  Because this is their main push, their giant hoax, and it got people going for a while.
[00:11:11.073 --> 00:11:15.540]  As Mark Twain said, a lie goes halfway around the world before the truth can put its pants on.
[00:11:15.540 --> 00:11:20.929]  But the truth's put its pants on, its shirt on, its shoes on, and it's loaded itself into a rocket.
[00:11:22.398 --> 00:11:32.204]  And it's going to catch up with the lie that's already gone halfway around the world because its feet may be fast, but the truth, once it gets in the rocket, goes up into orbit and broadcasts the truth worldwide.
[00:11:32.204 --> 00:11:33.684]  That's what we're doing together.
[00:11:33.684 --> 00:11:38.967]  When you amplify this broadcast, you are literally saving lives and the entire future of the world.
[00:11:38.967 --> 00:11:43.070]  They are trying to attack and arrest and destroy everyone that tells the truth.
[00:11:43.750 --> 00:11:46.693]  The president is under coup attack right now in the greatest danger ever.
[00:11:46.693 --> 00:11:48.455]  This is coup attempt four.
[00:11:48.455 --> 00:11:50.296]  I'll break it all down on the other side.
[00:11:50.296 --> 00:11:54.680]  But first, here's an excerpt of the press conference with these doctors that's gone mega viral.
[00:11:54.680 --> 00:11:55.021]  Here it is.
[00:11:56.579 --> 00:12:13.746]  After testing thousands of people in their county for COVID-19, doctors Dan Erickson and Artin Massini, owners of Accelerated Urgent Care in Bakersfield, California, held a press conference to share their data along with official CDC data.
[00:12:14.626 --> 00:12:23.808]  Dr. Erickson reported that hospitals in California have become empty as a result of allotting all resources to the COVID-19 pandemic.
[00:12:23.808 --> 00:12:34.471]  The hospitals, their ICUs are empty, essentially, and they're shutting down floors, they're furloughing patients, they're furloughing doctors, because we just don't have the volume.
[00:12:34.471 --> 00:12:38.972]  So we're busy with paperwork for COVID, and we're all focusing on COVID.
[00:12:39.372 --> 00:12:43.015]  He then went over the COVID-19 numbers for the state of California.
[00:12:43.015 --> 00:12:44.936]  We've seen 1,227 deaths in the state of California.
[00:12:44.936 --> 00:12:48.179]  That means you have a 0.03 chance of dying from COVID-19 in the state of California.
[00:12:48.179 --> 00:12:48.780]  And for the state of New York?
[00:12:48.780 --> 00:12:53.203]  19,410 out of 19 million people, which is a 0.1% chance of dying from COVID in the state of New York.
[00:13:03.271 --> 00:13:06.134]  And then compared these numbers to the seasonal flu in 2017.
[00:13:06.134 --> 00:13:10.378]  45 million total cases in 2017 with about 62,000 deaths or a 0.13 chance of death from flu in the United States.
[00:13:10.378 --> 00:13:12.020]  So the lethality of COVID-19 is much less.
[00:13:22.210 --> 00:13:29.797]  He then went on to report what is happening as a result of the shutdown and millions of hard-working people losing their jobs.
[00:13:29.797 --> 00:13:33.200]  Child molestation is increasing at a severe rate.
[00:13:33.200 --> 00:13:38.625]  We could go over multiple cases of children who have been molested due to angry,
[00:13:39.666 --> 00:13:43.647]  Family members who are intoxicated, who are home, who have no paycheck.
[00:13:43.647 --> 00:13:45.428]  These things last a lifetime.
[00:13:45.428 --> 00:13:47.449]  This isn't about a seasonal flu.
[00:13:47.449 --> 00:13:52.730]  These are things that will follow these people and affect them in a negative fashion for their life.
[00:13:52.730 --> 00:13:59.413]  And these are for me talking to ERs, talking to my doctors, and talking to people across the country and finding out what they're seeing.
[00:13:59.413 --> 00:14:03.454]  Spousal abuse, alcoholism, anxiety, depression, suicide.
[00:14:03.974 --> 00:14:15.258]  One of the most interesting moments of the press conference was when Dr. Erickson went on to explain the immune complex and how our immune system regularly adapts to our environment.
[00:14:15.258 --> 00:14:19.020]  The immune system is built by exposure to antigens, viruses, bacteria.
[00:14:19.640 --> 00:14:28.723]  When you're a little child crawling on the ground, putting stuff in your mouth, viruses and bacteria come in, you form an antigen-antibody complex, you form IgG, IgM.
[00:14:28.723 --> 00:14:30.423]  This is how your immune system is built.
[00:14:30.423 --> 00:14:38.406]  When you take human beings and you say, go into your house, clean all your counters, lice all them down, you're going to kill 99% of viruses and bacteria.
[00:14:38.406 --> 00:14:40.227]  Wear a mask, don't go outside.
[00:14:40.227 --> 00:14:42.087]  What does that do to our immune system?
[00:14:42.087 --> 00:14:43.708]  Our immune system is used to touching.
[00:14:44.928 --> 00:14:49.011]  We share bacteria, staphylococcal, streptococcal bacteria, viruses.
[00:14:49.011 --> 00:14:51.853]  We develop an immune response daily to this stuff.
[00:14:51.853 --> 00:14:55.815]  When you take that away from me, my immune system drops.
[00:14:55.815 --> 00:14:58.917]  As I shelter in place, my immune system drops.
[00:14:58.917 --> 00:15:01.099]  You keep me there for months, it drops more.
[00:15:01.099 --> 00:15:03.500]  Sheltering in place decreases your immune system.
[00:15:03.500 --> 00:15:09.104]  And then as we all come out of shelter in place with a lower immune system and start trading viruses and bacteria, what do you think is going to happen?
[00:15:09.904 --> 00:15:16.947]  Disease is going to spike and then you've got disease spike amongst the hospital system with furloughed doctors and nurses.
[00:15:16.947 --> 00:15:24.171]  Dr. Erickson reported that he has been in contact with leading physicians throughout California and that they are all in agreement.
[00:15:24.171 --> 00:15:29.233]  And I've been working with some of the leaders and I've talked to, you know, the head of the CDPH.
[00:15:29.233 --> 00:15:34.576]  I've gotten their opinion on this and a lot of the leaders in Sacramento and we're all in agreement.
[00:15:35.416 --> 00:15:43.567]  But we need to have Governor Newsom in agreement with us to lift this ban because the data is showing us it's time to lift.
[00:15:43.567 --> 00:15:46.491]  So if we don't lift, what is the reason?
[00:15:46.491 --> 00:15:48.534]  For InfoWars.com, this is Greg Reese.
[00:15:56.941 --> 00:15:58.202]  Maybe not today.
[00:15:58.202 --> 00:15:59.483]  Maybe not tomorrow.
[00:15:59.483 --> 00:16:03.226]  But soon, you'll need a plan and place to survive.
[00:16:03.226 --> 00:16:04.307]  Forget bunkers.
[00:16:04.307 --> 00:16:06.149]  You're not a live underground gopher.
[00:16:06.149 --> 00:16:07.850]  You need Survivalist Camps.
[00:16:07.850 --> 00:16:15.657]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:16:15.657 --> 00:16:16.657]  Bold statement?
[00:16:16.657 --> 00:16:17.658]  You bet.
[00:16:17.658 --> 00:16:20.140]  See them now at survivalistcamps.com.
[00:16:20.140 --> 00:16:22.342]  That's survivalistcamps.com.
[00:16:22.342 --> 00:16:25.505]  Trust your family's survival to survivalistcamps.com.
[00:16:27.418 --> 00:16:30.000]  This is a Corona crisis self-reliance alert.
[00:16:30.000 --> 00:16:38.528]  If you're worried about the power grid in the current crisis and want to generate your own supply of off-the-grid electrical power, just in case, pay close attention.
[00:16:38.528 --> 00:16:39.529]  Here's why.
[00:16:39.529 --> 00:16:44.034]  A limited supply of solar backup generators will be available again in the next two weeks.
[00:16:44.514 --> 00:16:50.421]  These emergency backup systems provide life-saving electrical backup power when you get off the grid.
[00:16:50.421 --> 00:16:59.693]  And unlike gas generators, these solar generators run quietly, emit no fumes, and produce an endless supply of free electricity from the sun.
[00:16:59.693 --> 00:17:01.495]  Dangerous weather, social unrest,
[00:17:01.815 --> 00:17:09.641]  Or overloaded grids this summer will not be a problem if you go to MySolarBackup.com and get your solar backup generator.
[00:17:09.641 --> 00:17:14.906]  We regret that supplies are limited and only available on a first come first serve basis.
[00:17:14.906 --> 00:17:17.808]  Check availability at MySolarBackup.com.
[00:17:17.808 --> 00:17:20.470]  Never suffer painful power outages again.
[00:17:20.470 --> 00:17:22.712]  Go to MySolarBackup.com.
[00:17:22.712 --> 00:17:24.774]  That's MySolarBackup.com.
[00:17:26.058 --> 00:17:27.939]  Fully cooked, ready to eat bacon.
[00:17:27.939 --> 00:17:31.180]  I'm talking thick, meaty, center cut, presidential bacon.
[00:17:31.180 --> 00:17:32.780]  Savory and delicious.
[00:17:32.780 --> 00:17:35.621]  I buy some, I use some, I store some.
[00:17:35.621 --> 00:17:36.261]  Awesome.
[00:17:36.261 --> 00:17:39.362]  No refrigeration needed with a 10 year shelf life.
[00:17:39.362 --> 00:17:40.923]  NASA PAC technology.
[00:17:40.923 --> 00:17:41.543]  Bacon.
[00:17:41.543 --> 00:17:45.705]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[00:17:45.705 --> 00:17:47.125]  Or warm and serve.
[00:17:47.125 --> 00:17:49.166]  Life saving, ready to eat bacon.
[00:17:49.166 --> 00:17:51.126]  10 year shelf life bacon.
[00:17:51.126 --> 00:17:53.907]  Ships free at fully cooked bacon dot com.
[00:17:53.907 --> 00:17:55.528]  Fully cooked bacon dot com.
[00:17:57.870 --> 00:18:02.693]  Ten weeks ago, I began to tell listeners that they needed to get high quality, storable food.
[00:18:02.693 --> 00:18:13.880]  Not because of the virus, but because of the crises and the economic shutdown it would cause because the globalists were planning to hold America hostage and run a blockade through the blue cities and blue states.
[00:18:14.640 --> 00:18:19.061]  Now that prediction has come true, because the globalists are running an operation.
[00:18:19.061 --> 00:18:21.022]  It's not predictions.
[00:18:21.022 --> 00:18:23.303]  We have their battle plans.
[00:18:23.303 --> 00:18:31.565]  So, going back more than eight weeks ago, all major storable food companies were sold out, except My Patriot Supply, because they're the biggest and we're pre-positioned.
[00:18:31.565 --> 00:18:39.588]  When it got to the point that they had so many orders coming in that they wouldn't be able to fulfill them in a timely manner, they stopped taking orders until they got caught back up.
[00:18:39.588 --> 00:18:39.728]  Well,
[00:18:40.248 --> 00:18:41.208]  Now they're caught back up.
[00:18:41.208 --> 00:18:45.030]  They've got high-quality storable food in stock, ready to be packaged and shipped to you.
[00:18:45.030 --> 00:18:53.573]  Get your orders in now at InfoWarStore.com to go right at the head of the queue and get delivered to you as fast as possible and from the InfoWar.
[00:18:53.573 --> 00:18:56.014]  Get your storable food now at InfoWarStore.com.
[00:18:56.874 --> 00:19:04.385]  One of our best selling products is Living Defense, and it's been sold out for over four months because it's hard to source the ingredients that are organic.
[00:19:04.385 --> 00:19:07.089]  We've got a limited supply right now, but it's selling out fast.
[00:19:07.089 --> 00:19:10.574]  And I want those of you that haven't experienced Living Defense to get it for yourself.
[00:19:10.574 --> 00:19:12.016]  Here's just part of one testimonial.
[00:19:12.236 --> 00:19:14.900]  Look, in January 2016, I went in a hospital.
[00:19:14.900 --> 00:19:18.425]  I went in a VA hospital out here in Boise and I was in there until June.
[00:19:18.425 --> 00:19:27.698]  And one of the only things that got me through that ordeal was listening to InfoWars three hours a day and I kept hearing Dr. Group and all you guys talking about living defense.
[00:19:27.698 --> 00:19:28.660]  Let me tell you something, man.
[00:19:28.780 --> 00:19:35.524]  You had an internal digestive problem and I suffered with it for about five or six years and the doctors, they tried every test.
[00:19:35.524 --> 00:19:37.025]  Nobody could figure out what it is.
[00:19:37.025 --> 00:19:41.008]  And then every day when I kept hearing you and Dr. Group and those commercials, I said, you know what?
[00:19:41.008 --> 00:19:43.209]  I'm going to get me some of that freaking Living Defense.
[00:19:43.209 --> 00:19:48.092]  Now, I wasn't supposed to have any nutritions because they don't want you to have it, but I ordered it, had it shipped to me.
[00:19:48.092 --> 00:19:48.633]  I got it.
[00:19:48.633 --> 00:19:49.854]  I hid it from the nurses.
[00:19:49.854 --> 00:19:50.894]  I started taking it.
[00:19:50.894 --> 00:19:52.956]  Man, that stuff changed my life.
[00:19:52.956 --> 00:19:53.896]  It saved my life.
[00:19:53.896 --> 00:19:56.598]  Alex Jones and InfoWars saved my life.
[00:20:00.686 --> 00:20:03.291]  You're listening to the Alex Jones Show!
[00:20:09.011 --> 00:20:14.255]  From the front lines of the Information War, it's Alex Jones.
[00:20:14.255 --> 00:20:15.556]  Alright, folks.
[00:20:33.243 --> 00:20:37.205]  I'm just going to lay this out right now, because it needs to be done.
[00:20:37.205 --> 00:20:45.810]  And I can explain to the viewers and listeners one of the reasons you see him full wars demonize and attack so much, and how we know President Trump's for real.
[00:20:45.810 --> 00:20:51.673]  And the fact that he's for real is one of his great strengths, but it's also one of his weaknesses because he's not a swamp creature.
[00:20:51.673 --> 00:20:59.237]  So let me try to explain this from my own 100% documented spectrum right now.
[00:21:04.707 --> 00:21:08.251]  You know, I'll go to rebroadcast for a while and then I'll do this.
[00:21:08.251 --> 00:21:12.695]  It's just too big to sit here and even cover.
[00:21:12.695 --> 00:21:13.456]  God help us.
[00:21:13.456 --> 00:21:19.542]  Just God help this country.
[00:21:19.542 --> 00:21:23.386]  So incredibly obvious how the criminals have taken over and what they've launched and what they've done.
[00:21:31.564 --> 00:21:49.118]  We just sit here watching the country dismantled, and tens of millions starting to starve to death all over the world, and the very criminals that launched the virus and cooked it up have been caught red-handed, think the crimes are so huge we'll never be able to admit them to ourselves.
[00:21:49.118 --> 00:21:58.285]  But do you just think we got up here weeks ago and laid out that they get four to five to ten times the money if they say you're a COVID-19 patient?
[00:21:59.824 --> 00:22:03.205]  That the aid packages were already prepared before this ever got released.
[00:22:03.205 --> 00:22:05.745]  So that Trump would sign off on it not knowing what he was doing.
[00:22:05.745 --> 00:22:10.166]  And so it would deliver money to certain big pharma companies.
[00:22:10.166 --> 00:22:12.126]  And create as much death as possible.
[00:22:12.126 --> 00:22:15.567]  This is a decades long planned operation.
[00:22:15.567 --> 00:22:21.168]  They were planning to launch when their person was in power and when they had their ducks in a row.
[00:22:21.168 --> 00:22:23.649]  This is a takeover.
[00:22:23.649 --> 00:22:25.209]  This is deadly serious.
[00:22:31.598 --> 00:22:40.307]  Let's go to the V for Vendetta piece because, again, this is in popular culture, how a government would get into power, how it would release a bioweapon, how it would use it for total control.
[00:22:40.307 --> 00:22:53.620]  But this is the shadow government, the NIH, the bureaucracy, the CHICOMs, the globalists that already had America, that are starting to get kicked out, that were going to use this plan for total control over us and to roll out the cashless society and total
[00:22:54.975 --> 00:23:02.560]  System of surveillance once they had full control over the government, but instead they're using it to throw the government out.
[00:23:02.560 --> 00:23:10.946]  That's why they're trying to discredit Trump at every front, trying to make the collapse as bad as possible because this is their planned takedown.
[00:23:10.946 --> 00:23:24.455]  And movies like Fever Vendetta absolutely document what's actually happened in history and other governments before using manufactured crises and then posing as the very saviors in that operation, but
[00:23:26.187 --> 00:23:35.493]  Just the magnitude of USA Today having to admit, okay, it's true.
[00:23:35.493 --> 00:23:45.459]  Now they make you read four pages until they get to the part where they go, yes, it's true.
[00:23:46.800 --> 00:23:47.360]  Fact check.
[00:23:47.360 --> 00:23:51.562]  Hospitals get paid more in patients listed as COVID-19 on ventilators.
[00:23:51.562 --> 00:23:53.663]  And then it says Snopes says it's not true.
[00:23:53.663 --> 00:23:56.164]  Snopes and media matters are God.
[00:23:56.164 --> 00:24:07.549]  But they explain how it's reasonable for three more pages that yes, they get way more money if somebody has COVID-19.
[00:24:07.549 --> 00:24:11.611]  But that ties into the empty hospitals.
[00:24:11.611 --> 00:24:12.752]  That ties into all of it.
[00:24:12.752 --> 00:24:13.532]  We're going to be doing it.
[00:24:18.581 --> 00:24:24.624]  Coming up, and I mean, folks, this is life or death here, okay?
[00:24:24.624 --> 00:24:32.109]  This is a coup against America, a coup against the world, a coup against common sense.
[00:24:32.109 --> 00:24:41.474]  And it's happening right now.
[00:24:41.474 --> 00:24:43.355]  So let's go ahead and go to the V for Vendetta piece, here it is.
[00:24:44.991 --> 00:24:46.493]  You have information for us?
[00:24:46.493 --> 00:24:48.194]  No, you already have the information.
[00:24:48.194 --> 00:24:50.156]  All the names and dates are inside your head.
[00:24:50.156 --> 00:24:52.679]  What you want, what you really need, is a story.
[00:24:52.679 --> 00:24:55.882]  A story can be true or false.
[00:24:55.882 --> 00:24:59.606]  I leave such judgements to you, Inspector.
[00:24:59.606 --> 00:25:05.212]  Our story begins, as these stories often do, with a young up-and-coming politician.
[00:25:06.474 --> 00:25:10.718]  He's a deeply religious man and a member of the Conservative Party.
[00:25:10.718 --> 00:25:14.882]  He's completely single-minded and has no regard for the political process.
[00:25:14.882 --> 00:25:20.227]  The more power he attains, the more obvious his zealotry and the more aggressive his supporters become.
[00:25:20.227 --> 00:25:27.313]  Eventually, his party launches a special project in the name of national security.
