[00:00.000 --> 00:16.640]  Defending the Republic from enemies, foreign, and domestic, it's Alex Jones.
[05:21.640 --> 05:26.640]  and I've been warning you for many years that they would use a global viral crisis to click,
[05:26.640 --> 05:30.640]  put us in the cage, and then roll out the robot takeover.
[05:30.640 --> 05:37.640]  This is just the beta test. China is moving out of beta and into operational control.
[05:37.640 --> 05:44.640]  In just a few years, we will be under full globalist control, forced inoculations, total surveillance,
[05:44.640 --> 05:50.640]  and we're all being taught that we are obsolete. The term they use is non-essential.
[05:50.640 --> 06:16.640]  This is not some dystopian novel. This is reality. This is the New World Order. This is Satanism.
[06:20.640 --> 06:40.640]  Ladies and gentlemen, last night, San Antonio passed a completely 180-degree
[06:40.640 --> 06:44.640]  opposite of the Constitution, Bill of Rights, and Common Sense Law,
[06:44.640 --> 06:51.640]  saying that if you say Chinese virus, you will be arrested and put into prison.
[06:51.640 --> 06:57.640]  They also said anything the ADL deems as bad is arrestable,
[06:57.640 --> 07:03.640]  so we now have the ADL ruling San Antonio and most other blue cities with the reign of terror.
[07:03.640 --> 07:07.640]  We have Sasha Barrico and last year at the ADL, I guess early this year,
[07:07.640 --> 07:16.640]  saying that anyone that says the UN wants replacement migration as third world populations to overtake the first world,
[07:16.640 --> 07:22.640]  which is an official UN plan on their website, should be arrested.
[07:22.640 --> 07:27.640]  He called for anyone that engages in thought crime to serve 10-year hard labor prison sentences,
[07:27.640 --> 07:33.640]  so he is literally our ruling commissar, very horrific, and just over the top,
[07:33.640 --> 07:38.640]  Trump has come out and called out the human scum that tried to entrap and set up General Flynn
[07:38.640 --> 07:44.640]  and then threatened his son if he wouldn't give a false guilty plea.
[07:44.640 --> 07:49.640]  That's all come out. A Comey is scrabbling around trying to rally the deep state moles
[07:49.640 --> 07:54.640]  to continue to try to overthrow Trump in a tweet he put out.
[07:54.640 --> 08:00.640]  Trump is taking control of the operation where they're trying to destroy the economy
[08:00.640 --> 08:05.640]  and is now ignoring the NIH, which is run by the WHO, which is a very good move
[08:05.640 --> 08:09.640]  and we should all be celebrating that, but will he be successful? Is it too late?
[08:09.640 --> 08:13.640]  Buchanan is calling it his pivot and saying that it's very FDR-ish.
[08:13.640 --> 08:16.640]  We're going to cover it all coming up.
[08:16.640 --> 08:21.640]  But first, a powerful report that just went live at Bandot Video, the pseudoscience of vaccines,
[08:21.640 --> 08:27.640]  Big Pharma's final solution, and again, this is a very powerful report.
[08:27.640 --> 08:32.640]  Only way the dog hunts is if you share this on your email with friends and family,
[08:32.640 --> 08:36.640]  on your text message, word of mouth, Facebook and Twitter.
[08:36.640 --> 08:41.640]  If you want to defeat these people and we're very close to being able to defeat their whole hoax,
[08:41.640 --> 08:44.640]  then now is maximum effort. Here it is.
[08:44.640 --> 08:52.640]  In 1796, Edward Jenner extracted a small sample of an infected child's smallpox postule
[08:52.640 --> 08:58.640]  and injected it into a young healthy boy. He then gave the boy a large dose of smallpox
[08:58.640 --> 09:01.640]  and the boy remained healthy.
[09:01.640 --> 09:07.640]  Jenner concluded that the risky treatment had granted the child miraculous immunity.
[09:07.640 --> 09:10.640]  But that's how the immune system works already.
[09:10.640 --> 09:13.640]  So what granted the child immunity?
[09:13.640 --> 09:19.640]  His healthy immune system or the injection of foreign infectious tissue?
[09:19.640 --> 09:22.640]  The science is not conclusive.
[09:22.640 --> 09:31.640]  Smallpox spread as a result of European colonization and it slowed as herd immunity set in.
[09:31.640 --> 09:36.640]  This timeline coincides with the introduction of the smallpox vaccine.
[09:36.640 --> 09:40.640]  Was it the vaccine or was it natural herd immunity?
[09:40.640 --> 09:45.640]  In some cases, the smallpox vaccine resulted in immunity.
[09:45.640 --> 09:52.640]  In others, it resulted in death. It also created smallpox outbreaks where there were none.
[09:52.640 --> 09:59.640]  The 1902 Biologics Control Act classified vaccines as biologics.
[09:59.640 --> 10:07.640]  This allowed the US government a loophole to bypass stringent testing and fast track vaccines.
[10:07.640 --> 10:12.640]  Ever since then, vaccines get approved once they produce antibodies.
[10:12.640 --> 10:21.640]  And to this day, the efficacy tests are done on the general population after the vaccines are distributed to the public.
[10:21.640 --> 10:26.640]  The Nazis were experimenting with vaccines on the German people.
[10:26.640 --> 10:32.640]  And the US decreed this to be a war crime when they signed the Nuremberg Charter after the war.
[10:32.640 --> 10:40.640]  And yet, the practice of experimenting on the public with dangerous vaccines continues to grow in America.
[10:40.640 --> 10:45.640]  In April of 1955, known today as the Cutter Incident,
[10:45.640 --> 10:54.640]  more than 200,000 healthy children in the USA received a polio vaccine that resulted in 40,000 cases of polio,
[10:54.640 --> 10:58.640]  leaving 200 children with paralysis and killing 10.
[10:58.640 --> 11:04.640]  Today, the majority of polio is caused by the polio vaccine.
[11:04.640 --> 11:16.640]  By the 1980s, vaccine manufacturers were losing money due to the amount of lawsuits they were paying out to victims of death and disease caused by vaccines.
[11:16.640 --> 11:23.640]  It was well understood that negative reactions and fatality were unavoidable consequences of vaccines.
[11:23.640 --> 11:27.640]  And so they were given legal liability protection.
[11:27.640 --> 11:37.640]  In 1986, the National Childhood Vaccine Injury Act was passed by Congress to protect vaccine manufacturers from private lawsuits
[11:37.640 --> 11:43.640]  and to create a fund to compensate victims of vaccine damage and death.
[11:43.640 --> 11:50.640]  In legal theory, vaccines are recognized as being unavoidably unsafe.
[11:50.640 --> 12:00.640]  After the NCVIA passed, there was zero consequence to the vaccine manufacturers if their products killed or harmed the public.
[12:00.640 --> 12:04.640]  This created a gold rush for vaccine companies.
[12:04.640 --> 12:12.640]  A new vaccine accepted onto the CDC schedule is worth about a billion dollars a year for the manufacturer.
[12:12.640 --> 12:21.640]  In the early 1980s, children received three vaccines. In the decades following the implementation of the NCVIA,
[12:21.640 --> 12:28.640]  the CDC has increased their childhood vaccine schedule to almost six dozen doses.
[12:28.640 --> 12:37.640]  During this same timeline, diseases began spiking, such as peanut allergies, asthma, eczema, and autism.
[12:37.640 --> 12:46.640]  But because these possible outcomes are listed on the manufacturer's insert, the vaccine companies can never be found liable.
[12:46.640 --> 12:53.640]  Studies have shown that the DTP vaccine is killing more people than the disease it was intended to prevent.
[12:53.640 --> 12:57.640]  But the vaccine companies are not liable.
[12:57.640 --> 13:07.640]  The four companies that produce the 72 scheduled vaccines — Merck, Pfizer, Sanofi Pasteur, and GlaxoSmithKline —
[13:07.640 --> 13:14.640]  are all convicted of felony crimes involving falsifying science and defrauding regulators,
[13:14.640 --> 13:17.640]  and killing hundreds of thousands of people.
[13:17.640 --> 13:24.640]  And yet, they continue to make billions off of selling their experimental mandatory vaccines.
[13:24.640 --> 13:32.640]  These same companies are also earning hundreds of billions of dollars by selling medications to treat all the emerging illnesses
[13:32.640 --> 13:36.640]  that have appeared since the increased vaccination schedule.
[13:36.640 --> 13:41.640]  The U.S. has some of the highest infant mortality rates in the world.
[13:41.640 --> 13:51.640]  Scientific studies have shown a direct correlation between infant mortality rates and the amount of vaccines mandated to children.
[13:51.640 --> 13:55.640]  The more doses mandated, the more children died.
[13:55.640 --> 14:04.640]  The United States ranks the highest for the amount of experimental doses of children's vaccines mandated to the public.
[14:04.640 --> 14:10.640]  And the third leading cause of death in America is due to medical errors.
[14:10.640 --> 14:16.640]  Is this science denial? Or is this science?
[14:16.640 --> 14:24.640]  Starting in 2016, Bill Gates invested millions into vaccine manufacturer Moderna.
[14:24.640 --> 14:34.640]  With zero profit and no significant clinical data, Moderna went public in 2018, valued at $7.5 billion.
[14:34.640 --> 14:48.640]  In late 2019, Moderna's stocks were falling by 30%, but was soon propped up by Anthony Fauci's NIH to develop a new experimental mRNA vaccine.
[14:48.640 --> 14:58.640]  Traditional vaccines are made up of small doses of a disease-causing organism introduced into the body to provoke an immune system response.
[14:58.640 --> 15:07.640]  mRNA vaccines trick the body into producing some of the vital proteins itself by rewriting the DNA inside a cell.
[15:07.640 --> 15:11.640]  They have never before been implemented.
[15:11.640 --> 15:16.640]  Even though the coronavirus is turning out to be less dangerous than the seasonal flu,
[15:16.640 --> 15:27.640]  the NIH is working with Bill Gates to vaccinate the entire global population with a new experimental type of vaccine that will rewrite our DNA.
[15:27.640 --> 15:34.640]  And no matter how dangerous it turns out to be, Big Pharma will only continue to thrive.
[15:34.640 --> 15:37.640]  For Infowars.com, this is Greg Ries.
[15:37.640 --> 15:45.640]  That's right, folks. And Bill Gates is already pushing for liability protection worldwide for the DNA vaccine that reprograms your body.
[15:45.640 --> 15:55.640]  And you know it's a trojan horse. The full report that you should share if you want to live seriously is the pseudoscience of vaccines, Big Pharma's final solution at band.video.
[15:55.640 --> 15:57.640]  You are only hope.
[15:57.640 --> 16:01.640]  Ten weeks ago, I began to tell listeners that they needed to get high-quality, storeable food.
[16:01.640 --> 16:06.640]  Not because of the virus, but because of the crises and the economic shutdown.
[16:06.640 --> 16:13.640]  It would cause, because the globalists were planning to hold America hostage and run a blockade through the blue cities and blue states.
[16:13.640 --> 16:18.640]  Now that prediction has come true because the globalists are running an operation.
[16:18.640 --> 16:22.640]  It's not predictions. We have their battle plans.
[16:22.640 --> 16:30.640]  So, going back more than eight weeks ago, all major storeable food companies were sold out, except my Patreon supply, because they're the biggest of a preposition.
[16:30.640 --> 16:36.640]  But it got to the point that they had so many orders coming in that they wouldn't be able to fulfill them in a timely manner.
[16:36.640 --> 16:38.640]  They stopped taking orders till they got caught back up.
[16:38.640 --> 16:44.640]  Well, now they're caught back up. They got high-quality, storeable food in stock, ready to be packaged and shipped to you.
[16:44.640 --> 16:52.640]  Get your orders in now at infowarstore.com to go right at the head of the queue and get delivered to you as fast as possible and from the employer.
[16:52.640 --> 17:15.640]  You're storeable food now at infowarstore.com.
[17:23.640 --> 17:32.640]  The country closed along with the help of the blue cities and blue states all the time blaming Trump and capitalism and Americanism for the depression it creates.
[17:32.640 --> 17:39.640]  If America is that stupid, we deserve what happens to us, but as for me, I'm not sitting here and I'm not taking it.
[17:39.640 --> 17:45.640]  It's all the nanny state and the peer pressure that they're the good people keeping everybody safe, but that's not what they're doing.
[17:45.640 --> 17:55.640]  They are pulling America up by its roots and irrevocably damaging our savings, our health, our whole world, and committing millions of third-world people to death.
[18:16.640 --> 18:23.640]  President Trump is betting on America.
[18:23.640 --> 18:38.640]  Pat Buchanan has an article out saying President Trump's strategic pivot is like FDR saying the only thing we have to fear is fear itself.
[18:38.640 --> 18:55.640]  Well, Trump's betting that you're not cowards, that you're not idiots, that you're not fools, and that when you were told, hey, lock yourselves down so that there's hospital beds for a couple weeks, you're like, sure, that sounds reasonable.
[18:55.640 --> 19:06.640]  You didn't do it out of fear, you did it out of wanting to help, but when you saw it wasn't about hospital beds and the hospitals were empty and they were attributing every death out there from heart attacks, cancer, pneumonia,
[19:06.640 --> 19:21.640]  shark attack, automobile accident, gunshot wound, drowning, to COVID-19, which is now confirmed by Fauci.
[19:21.640 --> 19:37.640]  And they said, oh, we're never closing, and now 200 Hollywood stars along with a bunch of billionaires say, oh, it's good for the earth, never reopen, and it's a death sentence, 135 million extra starved to death, 30 million starved to death right now, you won't admit.
[19:37.640 --> 19:48.640]  And that Hobson's choice, that false dichotomy, that catch-22 that, oh, every death that happens is Trump's fault and is your fault if you don't stay in your house and wear your mask.
[19:48.640 --> 19:53.640]  When our economy shuts down in the first world, the third world dies, and that's a fact.
[19:53.640 --> 19:57.640]  And so Trump is betting on the American people.
[19:57.640 --> 20:02.640]  You know, I'm not a fan of Franklin Delano Roosevelt and some of his socialist policies.
[20:02.640 --> 20:05.640]  I understand the country was in a collapse, and that's what they did.
[20:05.640 --> 20:15.640]  But when he said, the only thing we have to fear is fear itself, that was true then, and he'd see you more true now.
[20:15.640 --> 20:19.640]  Because we were fighting Hitler and the Japanese, and they were formidable.
[20:19.640 --> 20:25.640]  This thing isn't even as strong as the flu, but it's the vaccine that you should be scared of.
[20:25.640 --> 20:30.640]  That's why it's man-made, so this deep state can own it.
[20:30.640 --> 20:39.640]  Here's what Roosevelt had to say in December of 1941.
[20:39.640 --> 20:49.640]  This is a day of national consecration, and I am certain that on this day my fellow Americans
[20:49.640 --> 20:58.640]  expect that on my induction into the presidency, I will address them with a candor and a decision
[20:58.640 --> 21:02.640]  which the present situation of our people impels.
[21:02.640 --> 21:14.640]  So first of all, let me assert my firm belief that the only thing we have to fear is fear itself.
[21:14.640 --> 21:21.640]  And of course he said that at the beginning of his inauguration when he was coming into the middle of the Depression
[21:21.640 --> 21:31.640]  and he said it again in 1941, the day after the Japanese attacked Pearl Harbor.
[21:31.640 --> 21:39.640]  Now, President Trump understands this, and that's why when you're going down the hiking bike trail like I do almost every morning
[21:39.640 --> 21:44.640]  and people are 15 feet away and they get up against the bushes, you just say come on, it's not even as bad as the flu,
[21:44.640 --> 21:47.640]  it's killing the third world, just stop it.
[21:47.640 --> 21:53.640]  And I might go by 30 people before one person does that, but I go over and start having a conversation with them.
[21:53.640 --> 21:57.640]  And a lot of times they go ahead and listen.
[21:57.640 --> 22:02.640]  Sometimes they say F.U. Alex because they're usually a leftist. They're almost always a guy in a pink or green shirt.
[22:02.640 --> 22:04.640]  I think it's pink or green shirts, but you know what I mean?
[22:04.640 --> 22:11.640]  They're just into how they're gracious and they're good and I'm bad and they understand it's for the greater good.
[22:11.640 --> 22:15.640]  No, the greater good is not like a bunch of cowards.
[22:15.640 --> 22:19.640]  And of course you should take vitamin D3 all the time. You should take zinc all the time.
[22:19.640 --> 22:23.640]  Of course you should take vitamin B12 all the time.
[22:23.640 --> 22:27.640]  They're all essential. You die without them.
[22:27.640 --> 22:31.640]  How do you die? Your immune system shuts down and a regular cold or flu kills your ass.
[22:31.640 --> 22:39.640]  Why do you think old folks die? Their stomachs, their guts don't absorb things anymore.
[22:39.640 --> 22:43.640]  But I digress.
[22:43.640 --> 22:49.640]  People should get prepared in case Trump isn't successful because a lot of actuaries show.
[22:49.640 --> 22:54.640]  Even I said this last week, I said this will take decades to recover from just in the actuaries.
[22:54.640 --> 23:01.640]  And J.P. Morgan came out today and said 10 to 12 years for U.S. economy to return to where it was.
[23:01.640 --> 23:07.640]  Now I believe with confidence people getting back in the economy, we could stop that,
[23:07.640 --> 23:12.640]  but not if it doesn't happen quickly because what they're finding is here in Austin and other cities,
[23:12.640 --> 23:15.640]  I don't need to read statistics and others, but I went and looked it up. It's true.
[23:15.640 --> 23:19.640]  When the restaurants opened up, people didn't come, folks.
[23:19.640 --> 23:23.640]  And when they asked and wanted to go, I just feel like I'm not helping if I do.
[23:23.640 --> 23:29.640]  They're not even scared of the virus. They just feel like shame because you wear the cone of shame, the mask.
[23:29.640 --> 23:33.640]  And when you go to the stores, they boss you around and stuff at the big box stores.
[23:33.640 --> 23:36.640]  You know, they're the only ones we're allowed to go now.
[23:36.640 --> 23:43.640]  So they're already in just a few months, what 56 days, 57 days, we're habituated not to go to mom and pops
[23:43.640 --> 23:50.640]  and to go to Walmart, Target or other big stores and be bossed around by minimum wage jerks.
[23:50.640 --> 23:52.640]  So here's the headlines.
[23:52.640 --> 23:54.640]  Trump Titans Grip.
[23:54.640 --> 23:58.640]  Oh, the NIH and WHO are unelected. The WHO calls the shots.
[23:58.640 --> 24:04.640]  How about WHO tries to keep its grip around the U.S. economy when the Chinese economy is already open?
[24:04.640 --> 24:10.640]  Trump Titans his grip on coronavirus information as he pushes to restart the economy.
[24:10.640 --> 24:19.640]  Trump Titans his grip that dictator AP Trump administration buries detailed CDC advice on reopening.
[24:19.640 --> 24:25.640]  And he sidelines this scum. Now, he knows how bad they are.
[24:25.640 --> 24:28.640]  The president didn't even know about Bill Gates and eugenics and his dad.
[24:28.640 --> 24:31.640]  The whole thing he does now. He does.
[24:31.640 --> 24:36.640]  Media matters is so pissed with their Nazi collaborator patron.
[24:36.640 --> 24:38.640]  Soros, this is all coming out.
[24:38.640 --> 24:42.640]  Yeah, burns your ass down again.
[24:42.640 --> 24:45.640]  So, politically, they'll say, Joe's is running to burn us down.
[24:45.640 --> 24:48.640]  No, I meant burned your lie down.
[24:48.640 --> 24:53.640]  Because your lie may go halfway around the world where truth puts its pants on as Dwayne said.
[24:53.640 --> 25:00.640]  But once it gets its laser eyeballs on you, nothing can stop it.
[25:00.640 --> 25:11.640]  Because the very same NIH that gets its walking orders from the WHO is the same crew of miscreants and knuckle-draggers
[25:11.640 --> 25:19.640]  and scallywags that told you it was going to be 50 times the death rate and then 30 times the death rate and then 20 times the rate.
[25:19.640 --> 25:24.640]  They said, oh, if you lock everything down, you know, the curve will be up here with 2 million dead.
[25:24.640 --> 25:26.640]  But if you don't lock it down, it's 5 million dead.
[25:26.640 --> 25:33.640]  Well, if you lock it down, it'll be a million dead. All of it lies on purpose. All of it directed with extra money.
[25:33.640 --> 25:37.640]  What is it? 50-something thousand dollars.
[25:37.640 --> 25:44.640]  $53,000 total to say somebody's a COVID patient and then snake a tube down their throat.
[25:44.640 --> 25:49.640]  Whatever it is, 13,000 to say they're a COVID patient, 39,000 in a bunch of other funding.
[25:49.640 --> 25:59.640]  It's insane. A bounty on your head to get you in that spotter's web in those blue city hospitals where there is mafioso as it gets,
[25:59.640 --> 26:02.640]  but they're a guild in their scrubs so they're above the law.
[26:02.640 --> 26:07.640]  Most doctors aren't evil. They're speaking out and they get silenced.
[26:07.640 --> 26:11.640]  Most nurses aren't evil, but let me tell you, they follow their orders in those hospitals.
[26:11.640 --> 26:16.640]  Medical systems are dictatorial because you're in a stressful situation.
[26:16.640 --> 26:21.640]  People aren't arguing with you in those situations, but that's why it's prime for corruption.
[26:21.640 --> 26:28.640]  We're going to go to break and come back with one of the folks that works with General Flynn with him at the Defense Intelligence Agency.
[26:28.640 --> 26:35.640]  They're now out of the Defense Intelligence Agency and in the American Intelligence Agency called We the People.
[26:35.640 --> 26:39.640]  And he's going to give us his take on what's happened and where the general goes next.
[26:39.640 --> 26:43.640]  He's going on offense. And please don't forget, hope for the best, prepare for the worst.
[26:43.640 --> 26:48.640]  You can still get high-quality, durable food at infowarstore.com for the election, the civil unrest,
[26:48.640 --> 26:51.640]  all the stuff they're trying, the race war they're trying to start.
[26:51.640 --> 26:54.640]  Get your durable food now at infowarstore.com while you still can.
[26:54.640 --> 26:57.640]  The lockdown is permanent dictatorship.
[26:57.640 --> 27:03.640]  The lockdown is designed to have the public accept their basic rights being suspended
[27:03.640 --> 27:11.640]  and a global medical tyranny led by the WHO and the Bill and Melinda Gates Foundation in full control.
[27:11.640 --> 27:15.640]  Many will submit through fear. Others will be bought off.
[27:15.640 --> 27:21.640]  But in the end, the globalists admit they're building a post-human world.
[27:21.640 --> 27:27.640]  And now that we're inside the cage, it's going to move very, very quickly into its endgame.
[27:27.640 --> 27:35.640]  Submission to this is a form of living death and committing the next generation and our own generation
[27:35.640 --> 27:41.640]  to a living hell that cannot be imagined until you're actually experiencing this.
[27:41.640 --> 27:46.640]  This is your dignity, your soul, your future being poured inside out.
[27:46.640 --> 27:53.640]  This is a scientific dictatorship to in full control of humanity for its own selfless, disgusting power trip.
[27:53.640 --> 27:59.640]  One of the best nutrients nature has provided, beetroot, has been used for hundreds of years in natural medicine.
[27:59.640 --> 28:04.640]  Now you can experience the power of this ingredient today with basso bead from infowarstore.
[28:04.640 --> 28:10.640]  If you're guaranteed to be the next addition to your daily routine, basso bead is the most concentrated liquid bead extract on the market.
[28:10.640 --> 28:19.640]  Fully utilizing the heart-healthy nitrates and antioxidants to support your mind and body, basso bead is great for anyone looking to support healthy living or athletic performance.
[28:19.640 --> 28:24.640]  So check out one of the most incredible ingredients today with basso bead from infowarstore.
[28:24.640 --> 28:28.640]  It's time to take a new healthier approach to one of your most basic needs.
[28:28.640 --> 28:35.640]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the infowarstore crew use every day for the purest water possible.
[28:35.640 --> 28:39.640]  You can start cleaning the toxins from your water for clean, healthy and delicious drinking water.
[28:39.640 --> 28:46.640]  Perfect for preppers or anyone concerned with the healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[28:46.640 --> 28:50.640]  This groundbreaking, gravity-fed water filtration system is like no other.
[28:50.640 --> 28:54.640]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[28:54.640 --> 29:00.640]  It doesn't matter how hard I want to fight. If others, human beings, don't resonate with what I'm saying.
[29:00.640 --> 29:05.640]  If you don't spread the word, if you don't buy the products to fund our operation, the dog doesn't hunt.
[29:05.640 --> 29:12.640]  But you get that. You are patriots. You are people that live and work in the real world of a race, color, creed and understand what's happening.
[29:12.640 --> 29:18.640]  And that's why when you call in and thank me for what I've done, it's really a sick joke. Thank you for what you've done.
[29:18.640 --> 29:23.640]  We're all of this together. We believe in the rights of the unborn. We believe in families. We believe in the right to self-defense.
[29:23.640 --> 29:28.640]  We believe in capitalism, America and Jesus Christ, number one. And we believe in free speech.
[29:28.640 --> 29:35.640]  And so the fact that you shop with us and the fact that you spread the word about what we're doing does everything in the world.
[29:35.640 --> 29:42.640]  That's why I salute you and I thank you continually because the globalists thought they'd have this whole planet sewn up by now.
[29:42.640 --> 29:48.640]  They thought they'd be in charge. They thought they would have won. But they didn't count on you and I and others coming together.
[29:48.640 --> 29:53.640]  So God bless you all.
[30:19.640 --> 30:28.640]  Well, President Trump came out yesterday and called Comey and the criminal leftist Soros Kabbal inside the FBI
[30:28.640 --> 30:34.640]  trying to overthrow the election of 2016, knowing President Trump was innocent of any Russian collusion,
[30:34.640 --> 30:42.640]  knowing that General Flynn was a loyal war hero and an American patriot who got into the military to defend this country.
[30:42.640 --> 30:48.640]  Trump called him human scum. Here's the President.
[30:48.640 --> 30:55.640]  If your reaction to some breaking news, the Justice Department has decided to dismiss the case against Michael Flynn. Are you aware of that?
[30:55.640 --> 31:04.640]  I didn't know that was happening at this moment. I felt it was going to happen just by watching and seeing like everybody else does.
[31:04.640 --> 31:17.640]  He was an innocent man. He is a great gentleman. He was targeted by the Obama administration and he was targeted in order to try and take down a president.
[31:17.640 --> 31:24.640]  And what they've done is a disgrace and I hope a big price is going to be paid. A big price should be paid.
[31:24.640 --> 31:27.640]  There's never been anything like this in the history of our country.
[31:27.640 --> 31:34.640]  What they did, what the Obama administration did is unprecedented. It's never happened.
[31:34.640 --> 31:38.640]  The thing like this has never happened before in the history of our country.
[31:38.640 --> 31:45.640]  And I hope a lot of people are going to pay a big price because they're dishonest, crooked people. They're scum and I say it a lot.
[31:45.640 --> 31:49.640]  They're scum. They're human scum. This should never have happened in this country.
[31:49.640 --> 31:54.640]  A duly elected president and they went after him by going after fine people.
[31:54.640 --> 32:02.640]  And those fine people said, no, I'm not going to lie. I can't lie. He's not the only one. There are many of them.
[32:02.640 --> 32:08.640]  And they all said, I can't lie. They could have said something like, oh, make up a lie.
[32:08.640 --> 32:13.640]  Trump loves somebody or something or some country.
[32:13.640 --> 32:18.640]  And they said, oh, you wouldn't have any problem. That's what they were trying to do.
[32:18.640 --> 32:24.640]  And it's a disgrace. The Obama administration, Justice Department was a disgrace.
[32:24.640 --> 32:32.640]  And they got caught. They got caught. Very dishonest people. But much more than this. It's treason. It's treason.
[32:32.640 --> 32:38.640]  So now we have an article up on info wars.com. Now that Michael Flynn is free,
[32:38.640 --> 32:43.640]  Trump may be tempted to push the Russia gate and punish the Russia gate conspirators.
[32:43.640 --> 32:48.640]  But now Comey has come out directing their stay behind networks of moles still in the DOJ.
[32:48.640 --> 32:54.640]  He says the DOJ has lost its way. But career people, please stay because America needs you.
[32:54.640 --> 32:57.640]  The country's hungry for honest, confident leaders.
