[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[11:13.000 --> 11:29.000]  And he said, look, the plan would be to paint up US patrol boats to look like Iranian patrol boats and have them do a mock or real attack on a US aircraft carrier frigate or destroyer there near the Strait of Hormuz to get us into Iran.
[11:29.000 --> 11:45.000]  A year later, McGovern said this five years ago, a year later, it came out in major newspapers and magazines, New York Times, but also Seymour Hersh, Pulitzer Prize winner, New York Magazine, The New Yorker.
[11:45.000 --> 11:54.000]  It was in The New Yorker came out and said that plan had actually been green lighted by Cheney and they'd already painted the boats up, but then Bush killed it.
[11:54.000 --> 12:05.000]  So and then Cheney just wrote a book saying he wanted to hit Iran and got stopped. So when you understand the duplicity and how they get us into wars, we would have already been in this war with Iran.
[12:05.000 --> 12:14.000]  If the head of sent com hadn't said Admiral Fallon said, no, I'm not doing this. And so we're very close to an Iran strike.
[12:14.000 --> 12:25.000]  Well, and I've had other people on they said not two weeks, Alex, they said it could be a couple months, but they're not going to want to hit during once the main winner has begun. Regardless, regardless, I just read to you the New York Times.
[12:25.000 --> 12:36.000]  I just read to you the Washington Times. I got a stack of others we're going to get to the stars are aligning for and Iran attack.
[12:36.000 --> 12:53.000]  And then on top of it, ladies and gentlemen, I have family who's been deployed to Kuwait. I have other sources. Once I learned that information, the family always doesn't make a secret of where they're going or what they're doing, just innumerable tours in combat zones, innumerable.
[12:53.000 --> 13:11.000]  I mean, people think seven tours is a lot. Try try 15 or something. I mean, it's ridiculous. And they would not say and I'm and got a little grumpy about even being asked. And then I was talking Tuesday flying in the Austin Police Department can verify this if they want the fellow's name.
[13:11.000 --> 13:27.000]  I was flying into the Austin airport from a shooting another season of a couple episodes of Jesse Ventura show conspiracy theory. I was flying back in from Vegas where we were out there at some rocket bases and stuff and I was up in the front row right next to this Air Force officer.
[13:27.000 --> 13:46.000]  And he was flying back with the flag and the body out of the plane of the Southwest Airlines flight of his dead friend who died in an improvised explosives device attack in Iraq a few weeks before. And I was talking to him and I brought all this up and he said, Well,
[13:46.000 --> 13:59.000]  you're absolutely know what you're talking about. Israel's going to hit him and we're going to back him. And he knew I told him I was a radio host and everything. He said that's no secret. He said, you know, and by the way, well,
[13:59.000 --> 14:18.000]  then we lay the reason I say police know about it. They have water cannon spraying the plane they had all these police cars and motorcycles and we all got off you know to respect the person as they were the vet the dead veteran as they were brought off in their flag drape coffin and everything else and
[14:18.000 --> 14:38.000]  I meant to look that up. A Fort Hood burial Wednesday of soldier killed by IED Air Force MP killed an IED attack in Iraq. I wanted to actually get the guy's name. The fellow told me on the plane in the in the two and a half hour flight but obviously I wasn't sitting there taking notes.
[14:38.000 --> 14:52.000]  My point is I've talked off record to six different military officers now. I've talked on record to all these high powered people. You've seen all the other folks on the news saying this is moving into the green light.
[14:52.000 --> 15:09.000]  And they would have already probably hit Iran is the word I had Steve Pachennick former black ops commander for the State Department and directed CIA and Pentagon Special Forces operations overthrows of governments type Steve Pachennick and you'll see him overthrowing major
[15:09.000 --> 15:26.000]  governments one after the other. He came on and said yes they've green lighted an attack on Iran. But it's because that hoax that that used car salesman was going to recall this havoc and kill the Saudi ambassador because that hoax got exposed as a hoax.
[15:26.000 --> 15:44.000]  Now the system sitting there cooking up the next hoax. But Israel and I just read to you with Netanyahu's telling people that he's intended to go ahead and hit Iran. And it won't be like when they hit Syria and blew up one primitive secret research laboratory.
[15:44.000 --> 15:58.000]  I mean Iran has got these things dug in more than a tick on a hound dog. All right the really big news straight ahead on the euro what's happening there. Ron Paul wins both tallies at GOP Strupple.
[15:58.000 --> 16:10.000]  I've got some incredible psychological warfare news. This is Alex Jones with five good reasons you should consider buying a solar power generator. Number one new climate legislation could easily double or triple your electric bill.
[16:10.000 --> 16:21.000]  Number two our new energies are wants to control how much power your electric company allows you to have. It's true. Total government control of electricity in the name of smart grid technology is coming.
[16:21.000 --> 16:33.000]  Number three in some areas of the country the power grid is dangerously overloaded and now new socialist legislation is only compounding the problem. Number four dangerous weather is always a threat to local grids.
[16:33.000 --> 16:45.000]  Over a year thousands of families lose their power from weather related onages. Number five a solar power generator provides powerful backup insurance and peace of mind. Folks I really believe in the solar power generators offered by solutions from science.
[16:45.000 --> 17:01.000]  One of my oldest sponsors. You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember the government doesn't own the sun so go to mysolarbackup.com or call 1-877-327-0365.
[17:01.000 --> 17:13.000]  When you're out on the road the last place you want to be is on the road. But if the unfortunate happens you'll be glad you were wearing diamond gussets.
[17:13.000 --> 17:34.000]  There's a place down in Tennessee where they make blue diamond gusset jeans. They so pride in every stitch guarantee you love the way they fit. They put a diamond gusset in the crotch where you need it most.
[17:34.000 --> 17:53.000]  Blue diamond gussets got it. Others don't. We turn jeans inside out. Diamond gusset jeans. Made in the USA with unparalleled quality. Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[17:53.000 --> 18:00.000]  Order yours at gusset.com. Diamond gusset jeans got it. Others don't.
[18:00.000 --> 18:05.000]  You may be arrested and or subject to other police action.
[18:05.000 --> 18:10.000]  Terany is here. The grim future foretold in 1984 has become reality.
[18:10.000 --> 18:12.000]  It really says that the state is God.
[18:12.000 --> 18:18.000]  The United States is now recognized globally as one of the most impressive police states on earth.
[18:18.000 --> 18:31.000]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide. This documentary exposes how the continuity of government program has established an old powerful shadow state.
[18:31.000 --> 18:49.000]  State 4 chronicles the sickening depths to which our republic has fallen. Prepare to enter the secretive world of emergency dictatorship, body scammers, sound cameras, citizen spies, staged terror and cameras on every street corner. It's only the beginning of the New World Order's hellish plan.
[18:49.000 --> 19:00.000]  The police state isn't coming. It's here. Secure your copy today at infowars.com or see it online in the highest quality at prismplanet.tv.
[19:00.000 --> 19:15.000]  You can bet your life on eFoodsDirect. Alex has told you about the amazing, great tasting, long-term, storable food from eFoodsDirect and how a food savings account is your best insurance against natural disasters, job loss and high food costs.
[19:15.000 --> 19:22.000]  But did you know that this dehydrated food also protects you against foodborne contaminants like E. coli and salmonella?
[19:22.000 --> 19:33.000]  Those poisonous critters can't live in low-moisture food from eFoodsDirect. Ask for the Alex Fall Special. The Fall Special is a 24-day supply of food in a convenient, portable container.
[19:33.000 --> 20:01.000]  A $259 value for only $199 saves $60 on 160 servings of the best food on the planet. Call 800-409-5633 and ask for the Alex Fall Special and go to eFoodsDirect.com slash Alex. Call 24 hours, 800-409-5633 or eFoodsDirect.com slash Alex. You can bet your life on eFoodsDirect.
[20:01.000 --> 20:11.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:31.000 --> 20:51.000]  Striders, the builders, these are our people. Who are they? They are the dark armies. The dark, murdering armies use only honor as atrocities.
[20:51.000 --> 21:07.000]  The answer to 1984 is 1776. You're listening to the Alex Jones Show.
[21:07.000 --> 21:25.000]  I would just like to point out to long-time listeners, new listeners, and first-time listeners, you can check the facts on this. It's like John Wayne would say, no brag, just fact. This is the number one alternative radio slash internet system in the world.
[21:25.000 --> 21:39.000]  Number one in alternative films, number one in every category, number one, number one, number one, and growing exponentially, quite a responsibility.
[21:39.000 --> 21:57.000]  And it's important that I remember that myself from time to time and go back over some of the basics for all the new listeners that are tuning in. And we also need to open the phones up today. We'll do that coming up in the next segment. I'll give the number out. Then we'll start getting to your calls before this hour has ended.
[21:57.000 --> 22:06.000]  I tend, I want to warn you, I tend to follow the classic talk radio model in some respects but not in many others.
[22:06.000 --> 22:10.000]  I tend to not, at the start of the show, hype up everything that's coming up.
[22:10.000 --> 22:17.000]  I tend to do the opposite. I tend to just mention a few stories that are important and then build.
[22:17.000 --> 22:25.000]  Because I get ready for the show and then the first story I launch into, I have a tendency to spend most of the time on that and then not get the others.
[22:25.000 --> 22:37.000]  In the interest of actually just letting you know some of the stuff here in front of me that I will try to get back into and break down with more detail, ATF Gunwalker Update, Eric Holder to testify on Fast and Furious, CBS News.
[22:37.000 --> 22:53.000]  Also, we aired clips from C-SPAN earlier in the week where Ms. Napolitano, the head of Homeland Security, admitted two years ago they were running this program and then later testified before Congress that she hadn't and we just went and got the videos and pointed it out.
[22:53.000 --> 23:04.000]  In fact, the videos online just type in, Janet Napolitano caught in perjury on Fast and Furious and we did that as a radio report earlier in the week and a info-originally news.
[23:04.000 --> 23:10.000]  And it's right there, 100%. As I told you a year ago, we caught them in the press conferences.
[23:10.000 --> 23:18.000]  We knew they were going to blame the Second Amendment for the stuff in Mexico years ago because they were having the press conferences.
[23:18.000 --> 23:25.000]  And I had sources that they were shipping the guns into Mexico, like Celica Steel and others, DEA agent.
[23:25.000 --> 23:35.000]  And now it's all there. And I told you Bush was involved. And what did Issa come out a week ago and say, Bush is involved.
[23:35.000 --> 23:46.000]  This goes back to Bush. Of course it does. It goes back to Iran-Contra. It goes back to coffins flying back from Vietnam full of heroin.
[23:46.000 --> 23:54.000]  The big banks run America. They don't care about our sovereignty. They use our military. They use our entire system.
[23:54.000 --> 24:02.000]  They made drugs illegal so they could jack up the prices of them and arrest their competition. Wake up. Wake up.
[24:02.000 --> 24:08.000]  In fact, we may have new listeners who won't believe it. Just type in Issa Bush involved in gun-running scandal.
[24:08.000 --> 24:16.000]  Just show them Fox News and AP. Show them by that. If you hear me talk and you're a radio listener, just put it into a search engine, what I say.
[24:16.000 --> 24:21.000]  Or if you're watching at PrismPlanet.tv, you can see us show it to you.
[24:21.000 --> 24:27.000]  Here's another one from Associated Press. House panel, Mesa Pina, White House documents.
[24:27.000 --> 24:36.000]  Well, we already have Operation Gun Runner and FF, Fast and Furious, in their press conferences in 2009.
[24:36.000 --> 24:45.000]  In 2010, I mean, Holder came down to South Texas and gave multiple speeches in Brownsville.
[24:45.000 --> 25:00.000]  And then he went over to El Paso in the middle of 2009, blaming the Second Amendment for our problems and mentioning Project Gun Runner as his proof to try to ban semi-automatics in America.
[25:00.000 --> 25:06.000]  And then he gets up there and says he knows nothing about it when he's given stinkin' press conferences and we got the stinkin' video.
[25:06.000 --> 25:16.000]  And we got the stinkin' video of Napolitano. Why won't Issa hammer them? They should all be arrested right now because it'll bring up Bush.
[25:16.000 --> 25:24.000]  There it is. Issa acknowledges gun probes similar. Not a den of Cold to Fast and Furious under Bush. Yeah, it wasn't called that.
[25:24.000 --> 25:33.000]  But the Sena Loa documents came out in federal court. They're allowed to bring cocaine in, U.S. government ships and the weapons, directly to them.
[25:33.000 --> 25:40.000]  And what source is that out of? Because in that browser it doesn't show me. Is that CBS or is that Fox?
[25:40.000 --> 25:47.000]  Back it all the way out so I can see the header. It's Fox. Back it all the way out so viewers can see the header. Okay, there it's Fox.
[25:47.000 --> 25:51.000]  They'll think we made it up and want to see the header. Folks, type that in yourself and go find it.
[25:51.000 --> 26:04.000]  Now, thank you. That said, we have this news here. You've heard all these Democratic senators called for the return of the fairness doctrine to restrict free speech on talk radio.
[26:04.000 --> 26:18.000]  And the FCC has said if they do expand it would be into the Internet. So it's fair that I not have cutting analysis and historical gravitas and actually tell it like it is.
[26:18.000 --> 26:24.000]  I would have to fumble around and only cover mainstream media and regurgitate.
[26:24.000 --> 26:36.000]  That wouldn't be fair if I read a federal court document where they declared national security six months ago and admitted the U.S. government ships in narcotics and arms the cartels to kill each other to keep prices up.
[26:36.000 --> 26:42.000]  That's how I knew all this. That's how I knew Bush was involved because it's in the stinking federal documents.
[26:42.000 --> 26:54.000]  Let's see. Oh, no, we can't have that. You see they're panicking. And so we Google on Monday put out his transparency report and it turns out in 2010 because they always put this stuff out close to a year late.
[26:54.000 --> 27:02.000]  The federal government requested that quote feds order YouTube to remove video for containing government criticism.
[27:02.000 --> 27:17.000]  And of course we broke that on Tuesday and Wednesday. But then AP and others found out found articles you can pull up because there's literally thousands of these where local police would order them to take down video that showed quote police brutality.
[27:17.000 --> 27:21.000]  Oh, but here's CNET News. That's a division of CBS.
[27:21.000 --> 27:35.000]  So this isn't some reactionary group that actually knows what they're talking about. It's the dinosaur establishment finally figuring it out. As we told you months ago, this is the U.S. version of the secret UN treaty leaked a year ago that Obama doesn't want public.
[27:35.000 --> 27:45.000]  That openly says no judge, no jury, any corporation or any foreign government can order your website taken down or blocked. It's DNS for any reason.
[27:45.000 --> 27:55.000]  And here's the CBS News headline. Representative, we're going to get them on, Lofgren. Copyright bill is the end of the Internet.
[27:55.000 --> 28:07.000]  It is. Representative Joe Lofgren, California Democrat, whose district includes the heart of Silicon Valley is preparing to lead a congressional opposition to the new Stop Online Piracy Act.
[28:07.000 --> 28:17.000]  Because there's no judge, no jury, no due process. They just say your words are and you're gone. And then they're going to have an Internet ID where you put an Internet ID on when you get online to track you.
[28:17.000 --> 28:27.000]  Then if you're bad, they ban your ID. Now you can't use the Internet. The equivalent of being put in a Nazi ghetto in 1937 financially.
[28:27.000 --> 28:42.000]  The anti-piracy legislation introduced yesterday and the House representatives to applause of lobbyists for Hollywood and other large content holders is designed to make a ledged copyright infringer's website, sometimes called rogue websites, virtually disappear from the Internet.
[28:42.000 --> 28:52.000]  I'm still reviewing legislation, but from what I've already read, this would mean an end to the Internet as we know it. Yeah, well, the end of due process as we know it. They're already doing this.
[28:52.000 --> 28:59.000]  You'll see them shut down 50,000 websites to shut down one without a court order. Now the really big news is coming up. Stay with us.
[29:22.000 --> 29:32.000]  Tonight you see he predicted the collapse of GM, Panny May, Freddie Mac, and America's biggest mall owner, General Growth Properties. In fact, Barron's called his work a dire prophecy.
[29:32.000 --> 29:41.000]  Recently he created a video which you can watch online for free, detailing his biggest and most important prediction yet, and it's a real eye-opener. I can't stress this enough.
[29:41.000 --> 29:53.000]  But at least watch this free video online today. He explains everything you need to know, including simple steps you can take to protect yourself. You can find the video at www.endofamerica3.com. That's end of America.
[29:53.000 --> 30:01.000]  The number three.com. Watch the free video at www.endofamerica3.com. That's end ofamerica3.com.
[30:01.000 --> 30:12.000]  Alex Jones here with vital information concerning our nation's fragile food supply. Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[30:12.000 --> 30:22.000]  Number one, study the past. History really does repeat itself. Number two, learn to spot the dangerous food shortage trends.
[30:22.000 --> 30:34.000]  Number three, take decisive action. A perfect storm is brewing, or a global food crisis. That's why I'm telling everyone to read the new book, Rising Prices Empty Shelves.
[30:34.000 --> 30:46.000]  Warning signs that trigger the deadliest famines in history. Don't get caught unprepared when the crisis hits. This book is only available at risingpricesemptyshelves.com.
[30:46.000 --> 31:00.000]  You'll also get a free copy of supermarket survival, how to cut your grocery bills in half. Again, that website is risingpricesemptyshelves.com. That's risingpricesemptyshelves.com.
[31:00.000 --> 31:09.000]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history.
[31:09.000 --> 31:14.000]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[31:14.000 --> 31:20.000]  They've turned a tremendous influence on our president in Congress, and they really are calling the shots.
[31:20.000 --> 31:25.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[31:25.000 --> 31:35.000]  Full of the Republic identifies the enemies of our nation, the criminal off-short cartel held bent on destroying sovereignty and on its ashes constructing world government.
[31:35.000 --> 31:41.000]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches, and the Congress is saying, who do we make the check out to?
[31:41.000 --> 31:48.000]  Today seems like nobody does care, and right now in Washington, D.C., we have seen a fall of the Republic.
[31:48.000 --> 32:12.000]  Get your copy of Full of the Republic on DVD at infowars.com or watch it online right now at superhighqualityatprisonplanet.tv.
[32:19.000 --> 32:30.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[32:30.000 --> 32:40.000]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless-cloyal silver with the Silver Lungs Generator.
[32:40.000 --> 32:53.000]  Very easy to follow, step-by-step instructions are provided, making production fast and simple. Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[32:53.000 --> 33:11.000]  That's www.silverlungs.com.
[33:23.000 --> 33:41.000]  All right, ladies and gentlemen, we are back live. I'm going to have open phones in the second hour.
[33:41.000 --> 33:48.000]  We're all set to get into the EU debt woes the last two or three years. Oh, after they got the five trillion more.
[33:48.000 --> 34:00.000]  Yeah, 1.4 trillion leveraged out to five trillion on a hundred billion that resos. Oh, that was just the excuse for the megabanks to fully destroy the sovereignty left in Europe.
[34:00.000 --> 34:09.000]  Also, the moves to strike Iran and to strike Assad's Syria. The nationwide crackdown on Occupy Wall Street has begun. Why is that?
[34:09.000 --> 34:14.000]  Because the Democrats kicked this thing off. We're unable to fully control it and occupy it.
[34:14.000 --> 34:19.000]  We co-opt it. So now the rubber-bulleting people in the face from Oakland, California to Denver.
[34:19.000 --> 34:25.000]  And I've seen, I've got incredible video coming up. We have time to get to it. People just blood pouring out of them for no reason.
[34:25.000 --> 34:31.000]  And this is like China or something. And it's not that I even agree with all the Occupy Wall Street people and their calls for socialism.
[34:31.000 --> 34:37.000]  It doesn't matter what their view is. This is America. You don't, you don't shotgun them at two feet away and almost kill people.
[34:37.000 --> 34:47.000]  Some of them are in comas. They've been shot in the head. And I see cops online and Drudge was linked to an article that had people commenting, making jokes about it.
[34:47.000 --> 34:51.000]  Okay, well, folks are going to make a joke about taking your pension fund.
[34:51.000 --> 34:57.000]  You know, look, if all of our rights aren't protected, none of our rights are. I mean, have people figured this out yet?
[34:57.000 --> 35:04.000]  When somebody gets their rights run over, it's not funny, even if you or I don't agree with them.
[35:04.000 --> 35:18.000]  Because when somebody else's rights gets run over, that creates a precedent for it to happen to us or our wives, our children, our grandparents, our husbands, our brothers, our sisters, our pastors.
[35:18.000 --> 35:33.000]  This is wrong. Now, I had actually seen this video before because we bought a bunch of National Archive footage years ago, but I happen to come back across it this weekend doing research on psychological warfare.
[35:33.000 --> 35:38.000]  I was looking for one of the newer psychological warfare training videos in its entirety.
[35:38.000 --> 35:43.000]  I was only sent a demo of it a few years ago, Department of Defense.
[35:43.000 --> 35:59.000]  And I found one from 1968 and its field manual video number or projector number is United States Army presents TF 333972 1968.
[35:59.000 --> 36:10.000]  And I watched this Friday night and spent much of Saturday researching it, much of today researching it to my wife chagrin, because it.
[36:10.000 --> 36:14.000]  If a photo can tell a thousand words.
[36:14.000 --> 36:19.000]  If a picture can tell a thousand words, what does 25 minutes of video tell?
[36:19.000 --> 36:24.000]  And I don't have time here today to air all of this.
[36:24.000 --> 36:32.000]  But this was shown to Syop officers in all the branches of the military.
[36:32.000 --> 36:40.000]  Mainly for the Vietnam War, but it's shot in an Eastern European style country called host nation.
[36:40.000 --> 36:45.000]  And they're fighting communist in this Syops once classified.
[36:45.000 --> 36:55.000]  This was declassified in the 80s film that I'm about to play the audio up for radio listeners present planet TV viewers will be able to see it and I'm going to get this posted up on info wars as well.
[36:55.000 --> 36:58.000]  So people can look at it everybody.
[36:58.000 --> 37:12.000]  And I'm not going to play the whole thing, but they're talking about internal defense is this this psychological warfare video manual.
[37:12.000 --> 37:19.000]  It is a film that accompanies the actual physical manual that's much thicker and I actually have a copy of it.
[37:19.000 --> 37:21.000]  Read it many years ago.
[37:21.000 --> 37:23.000]  Bought it a gun show.
[37:23.000 --> 37:32.000]  But the point is that what you're about to hear is for a country that's occupied.
[37:32.000 --> 37:41.000]  Checkpoints people being searched surveillance psychological warfare, the government always broadcasting information about how it cares about you.
[37:41.000 --> 37:50.000]  They don't really care about you when that at nauseam how to brush your teeth how to trick or treat how to do this how to do that.
[37:50.000 --> 38:01.000]  They're treating you like you're a low grade moron on all these radio and TV PSA announcements that are government and the news itself is that and it creates the perception that government loves you.
[38:01.000 --> 38:05.000]  And now they got telescreens at 9000 location saying title on your neighbor.
[38:05.000 --> 38:07.000]  Don't trust anybody but the government.
[38:07.000 --> 38:09.000]  It creates this fear and perception.
[38:09.000 --> 38:17.000]  Now, everything in this psychological warfare manual about to play the video addendum to it or counterpart.
[38:17.000 --> 38:25.000]  Again, this is supposedly an occupied Eastern European country fighting Soviet advances or Vietnam.
[38:25.000 --> 38:32.000]  But this country if you can see the video of the film looks like 16 millimeter, maybe even 35.
[38:32.000 --> 38:38.000]  The point is, it's shot in what looks like a Eastern European country.
[38:38.000 --> 38:40.000]  And it's talking about going after Joe Sixpack.
[38:40.000 --> 38:44.000]  How do you get his mind?
[38:44.000 --> 38:45.000]  How do you get control of him?
[38:45.000 --> 38:47.000]  How do you control a society?
[38:47.000 --> 38:48.000]  And it gets into the checkpoints.
[38:48.000 --> 38:50.000]  It gets into the searches.
[38:50.000 --> 38:51.000]  It gets into the propaganda.
[38:51.000 --> 38:53.000]  It gets into all the control.
