[00:00:24.144 --> 00:00:28.127]  Blast off!
[00:09:24.778 --> 00:09:26.579]  Mixed with hot water.
[00:09:26.579 --> 00:09:31.183]  And I find my chi as I host the Alex Jones Show.
[00:09:31.183 --> 00:09:32.865]  It's magic.
[00:09:32.865 --> 00:09:37.428]  It's TurboForce from InfoWarsStore.com.
[00:09:37.428 --> 00:09:38.949]  All right.
[00:09:38.949 --> 00:09:45.715]  So, now that I've got that taken care of, you can get your TurboForce at InfoWarsStore.com.
[00:09:45.715 --> 00:09:48.817]  Experience the rush of energy for yourself.
[00:09:53.444 --> 00:10:18.972]  This is really complex, because my goal is to, to put it widely, change the world, but to put it specifically, is to awaken people and to just open one mind
[00:10:20.100 --> 00:10:24.766]  Open one mind's eye, open one third eye, awaken one individual at a time.
[00:10:24.766 --> 00:10:35.420]  So, when that is the goal, when that is the mission, there's different tactics and things that you do to accomplish that.
[00:10:37.833 --> 00:10:51.504]  And so, for example, going out today as a Bernie supporter to the Democrat offices so they could kick me out and throw me under the bus just to prove how the Democrats hate Bernie and he's about to get thrown under the bus by the Democrats again, how Democrats don't care about their voters.
[00:10:51.504 --> 00:10:52.464]  That's just one example.
[00:10:52.464 --> 00:10:53.345]  We'll air that later.
[00:10:53.345 --> 00:10:57.688]  But what's happening right now with Ilhan Omar is another example.
[00:10:57.688 --> 00:11:04.253]  Because I don't like Ilhan Omar.
[00:11:04.253 --> 00:11:04.794]  She's a snake.
[00:11:06.707 --> 00:11:09.830]  And I don't think she has good intentions for the West.
[00:11:09.830 --> 00:11:12.212]  And for America.
[00:11:12.212 --> 00:11:16.215]  And yes, I'm not Islamophobic.
[00:11:16.215 --> 00:11:19.778]  I'm not worried about radical Islam because of 9-11.
[00:11:19.778 --> 00:11:26.283]  No, I'm worried about radical Islam because of everything that's happened since 9-11.
[00:11:26.283 --> 00:11:29.326]  I'm worried about Muslims that want to come to the West
[00:11:30.313 --> 00:11:45.506]  After seeing the Middle East destroyed for the last 20 years, and do a little destruction of their own, like an individual in Maryland, Islamic terrorists behind planned Maryland truck attack wanted to kill as many non-Muslims as possible.
[00:11:45.506 --> 00:11:46.988]  The story is at Infowars.com.
[00:11:46.988 --> 00:11:54.254]  You're not hearing too much about that, Islamic jihadist, are you?
[00:11:54.254 --> 00:11:55.175]  But here's the twist.
[00:11:58.200 --> 00:12:01.902]  I don't believe the official narrative of 9-11.
[00:12:01.902 --> 00:12:04.564]  Not one bit.
[00:12:04.564 --> 00:12:08.026]  Osama Bin Laden was a boogeyman.
[00:12:08.026 --> 00:12:14.290]  Radical Islamic terror was a boogeyman that's now become a self-fulfilling prophecy.
[00:12:14.290 --> 00:12:20.614]  So yeah, when you gaslight radical Islam, then it becomes a threat.
[00:12:20.614 --> 00:12:22.695]  When you let it in, it becomes a threat.
[00:12:27.383 --> 00:12:35.328]  But so, then there's Ilhan Omar, who's like both sides of the coin.
[00:12:35.328 --> 00:12:40.671]  On one hand, in fact, let's play the clip so that we can have better context here.
[00:12:40.671 --> 00:12:49.276]  Listen to what Ilhan Omar said at a Muslim event this week.
[00:12:49.276 --> 00:12:56.580]  Care was founded after 9-11 because they recognized that some people did something
[00:12:57.449 --> 00:13:02.731]  And that all of us, we're starting to lose access to our civil liberties.
[00:13:02.731 --> 00:13:05.132]  Let me translate what she's actually saying to her crowd.
[00:13:05.132 --> 00:13:10.254]  Jews did 9-11, and now Islam, or Muslims, are losing their civil liberties.
[00:13:10.254 --> 00:13:12.775]  That's what she's actually saying.
[00:13:12.775 --> 00:13:20.757]  Now she doesn't say that, because she can't say that, but her audience knows what she means.
[00:13:20.757 --> 00:13:22.758]  Now the average American doesn't know what she means.
[00:13:22.758 --> 00:13:24.459]  The average American hears that and says, wow.
[00:13:25.458 --> 00:13:34.923]  Here's a radical Muslim who doesn't believe 9-11 happened, or who doesn't believe the official narrative of 9-11.
[00:13:34.923 --> 00:13:35.683]  Well, yeah!
[00:13:35.683 --> 00:13:37.744]  We were lied to about 9-11!
[00:13:37.744 --> 00:13:38.484]  That's true!
[00:13:38.484 --> 00:13:45.308]  It doesn't take much research to learn that the official narrative of 9-11 is a bunch of bull hickey.
[00:13:45.308 --> 00:13:47.209]  Oh!
[00:13:47.209 --> 00:13:53.272]  The biggest structure fire, the biggest skyscrapers, the only skyscrapers at that time to ever come down from a fire,
[00:13:54.258 --> 00:13:57.761]  You had molten lava sitting at the base of the tower for two years.
[00:13:57.761 --> 00:14:01.043]  That's never happened before or again.
[00:14:01.043 --> 00:14:06.067]  But magically, the passports were preserved perfectly on top of the rubble.
[00:14:06.067 --> 00:14:08.950]  Oh yes, because that's how the world works.
[00:14:08.950 --> 00:14:12.873]  And that plane crash in Pennsylvania, where there wasn't a plane.
[00:14:12.873 --> 00:14:21.220]  And that plane crash in... on the Pentagon, where again, you can't find a plane.
[00:14:24.525 --> 00:14:32.649]  So, Ilhan Omar is right to insinuate that we've been lied to about 9-11.
[00:14:32.649 --> 00:14:35.250]  Absolutely.
[00:14:35.250 --> 00:14:41.934]  But now, as an American, I have to realize what's happening on a larger issue.
[00:14:41.934 --> 00:14:44.215]  And again, this is what I've seen coming.
[00:14:44.215 --> 00:14:51.518]  The clash of civilizations, the clash of cultures between Jews and Muslims is now in the West, ladies and gentlemen.
[00:14:51.518 --> 00:14:52.179]  And guess what?
[00:14:53.277 --> 00:15:00.340]  You, the average American that has nothing to do with Jews or nothing to do with Muslims, guess what?
[00:15:00.340 --> 00:15:02.401]  You're going to get tied up into it.
[00:15:02.401 --> 00:15:15.828]  Because you're going to be walking in Maryland one day and some radical Muslim is going to come up behind you in a truck and run you down.
[00:15:15.828 --> 00:15:18.969]  Again, the story is at Infowars.com.
[00:15:18.969 --> 00:15:21.831]  A radical Islamic terrorist was planning
[00:15:23.109 --> 00:15:27.113]  A truck attack in Maryland to kill as many non-Muslims as possible.
[00:15:27.113 --> 00:15:27.874]  Why?
[00:15:27.874 --> 00:15:35.902]  Because people like Ilhan Omar are here saying Muslims are losing their civil liberties because 9-11 was a lie.
[00:15:37.139 --> 00:15:40.420]  And in a certain aspect, she's right.
[00:15:40.420 --> 00:15:47.502]  But as an American, I see what comes on the other side of her approach to this, and I lose my civil liberties.
[00:15:47.502 --> 00:15:50.223]  Because I've already lost my civil liberties, you see?
[00:15:50.223 --> 00:15:54.745]  I get groped in an anal probe every time I want to fly now, thanks to 9-11.
[00:15:54.745 --> 00:15:57.206]  So we all lost our civil liberties on 9-11.
[00:15:57.206 --> 00:15:58.526]  Let's all figure out what happened.
[00:15:59.514 --> 00:16:00.775]  Maybe not today.
[00:16:00.775 --> 00:16:02.075]  Maybe not tomorrow.
[00:16:02.075 --> 00:16:05.817]  But soon, you'll need a plan and place to survive.
[00:16:05.817 --> 00:16:06.897]  Forget bunkers.
[00:16:06.897 --> 00:16:08.718]  You're not a live underground gopher.
[00:16:08.718 --> 00:16:10.419]  You need Survivalist Camps.
[00:16:10.419 --> 00:16:18.222]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:16:18.222 --> 00:16:19.223]  Bold statement?
[00:16:19.223 --> 00:16:20.223]  You bet.
[00:16:20.223 --> 00:16:22.704]  See them now at survivalistcamps.com.
[00:16:22.704 --> 00:16:24.925]  That's survivalistcamps.com.
[00:16:24.925 --> 00:16:27.707]  Trust your family's survival to survivalistcamps.com.
[00:16:29.409 --> 00:16:31.370]  Heart disease is on the rise.
[00:16:31.370 --> 00:16:36.693]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:16:36.693 --> 00:16:38.274]  But the symptoms are there.
[00:16:38.274 --> 00:16:46.639]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:16:46.639 --> 00:16:52.323]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:16:52.483 --> 00:16:54.305]  My blood pressure has normalized.
[00:16:54.305 --> 00:16:56.588]  My diabetes has totally improved.
[00:16:56.588 --> 00:17:00.993]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:00.993 --> 00:17:03.176]  I recommend Heart and Body Extract to everyone.
[00:17:03.176 --> 00:17:11.006]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:11.206 --> 00:17:13.629]  Order your two-month supply today by calling 866-295-5305.
[00:17:13.629 --> 00:17:14.350]  That's 866-295-5305.
[00:17:14.350 --> 00:17:15.752]  Or order online at hbextract.com.
[00:17:15.752 --> 00:17:17.655]  Heart and Body Extract, 866-295-5305.
[00:17:17.655 --> 00:17:18.556]  Or hbextract.com.
[00:17:28.490 --> 00:17:34.832]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:17:34.832 --> 00:17:37.873]  George Washington had warned us against foreign wars.
[00:17:37.873 --> 00:17:43.795]  The United States of Empire shows that World Wars I and II left England broken.
[00:17:43.795 --> 00:17:47.576]  Its former colony, the U.S., had to save the empire.
[00:17:47.576 --> 00:17:48.857]  Was there ever a vote?
[00:17:48.857 --> 00:17:49.857]  Who do we fight for?
[00:17:49.857 --> 00:17:56.399]  The deep state began with World War I. The United States of Empire by James Dunn.
[00:17:56.399 --> 00:17:57.820]  Available at Amazon Books.
[00:18:01.010 --> 00:18:05.714]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:05.714 --> 00:18:16.142]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:18:17.043 --> 00:18:21.845]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:18:21.845 --> 00:18:30.249]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:18:30.249 --> 00:18:37.972]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:18:37.972 --> 00:18:39.933]  Wake up refreshed and take on the day.
[00:18:40.393 --> 00:18:48.341]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:18:48.341 --> 00:18:52.024]  Get the sleep you deserve and experience the power of knockout.
[00:18:52.024 --> 00:18:56.409]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:18:56.409 --> 00:18:57.970]  That's InfoWarsLife.com
[00:19:00.137 --> 00:19:02.098]  Frank in North Carolina, thanks for holding so long.
[00:19:02.098 --> 00:19:02.818]  Go ahead.
[00:19:02.818 --> 00:19:05.019]  Yeah, Alex, I just have to say something, man.
[00:19:05.019 --> 00:19:08.881]  It seems like every time I turn on your broadcast, you're bragging.
[00:19:08.881 --> 00:19:10.322]  It just gets old, man.
[00:19:10.322 --> 00:19:12.723]  I'm gonna shut you down right now, okay?
[00:19:12.723 --> 00:19:15.044]  We're taking calls about your nomination.
[00:19:15.044 --> 00:19:19.066]  Do you understand they're having congressional hearings trying to shut us down?
[00:19:19.066 --> 00:19:20.427]  Do you understand?
[00:19:20.427 --> 00:19:21.488]  I'm ringing the alarm.
[00:19:22.368 --> 00:19:25.049]  If that was happening to anybody else, I'd be freaked out.
[00:19:25.049 --> 00:19:26.409]  I mean, what's it gonna take?
[00:19:26.409 --> 00:19:27.509]  Us being shut down?
[00:19:27.509 --> 00:19:29.009]  Is that what you want, Frank?
[00:19:29.009 --> 00:19:30.069]  You know what, Alex?
[00:19:30.069 --> 00:19:31.170]  Put him on pause again.
[00:19:31.170 --> 00:19:32.270]  Hey, Frank!
[00:19:32.270 --> 00:19:37.931]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:19:37.931 --> 00:19:42.452]  As much begging as I do, we can barely pay the bills and grow in the face of this.
[00:19:42.452 --> 00:19:45.592]  I'm not gonna just stop growth and let them start pushing us backwards.
[00:19:45.592 --> 00:19:46.052]  You understand?
[00:19:46.052 --> 00:19:47.693]  I need your help, Frank!
[00:19:47.693 --> 00:19:48.813]  I need your help, Frank!
[00:19:49.813 --> 00:19:55.420]  Go to Infowarsstore.com right now and help fund the InfoWars!
[00:19:55.420 --> 00:19:56.141]  Do you understand?
[00:19:56.141 --> 00:19:57.783]  I need your help, Frank!
[00:19:57.783 --> 00:20:02.809]  Free Press needs your help, Frank!
[00:20:02.809 --> 00:20:05.472]  You're listening to the Alex Jones Show.
[00:20:18.918 --> 00:20:25.965]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[00:20:25.965 --> 00:20:31.990]  And now, your host, Owen Troyer.
[00:20:31.990 --> 00:20:36.915]  This is a real difficult one, ladies and gentlemen.
[00:20:36.915 --> 00:20:38.036]  Because right now,
[00:20:39.566 --> 00:20:51.763]  The clash of cultures between Jews and Muslims is hitting the West, hitting America, which is a Christian nation, mind you.
[00:20:51.763 --> 00:20:55.809]  And so, now Christian families in this Christian nation
[00:20:56.764 --> 00:21:04.690]  Are about to have their lives impacted and their lives changed because of the clash of civilizations between Jews and Muslims.
[00:21:04.690 --> 00:21:06.571]  That's where this is headed.
[00:21:06.571 --> 00:21:14.117]  We've already had multiple... You're already having multiple radical Islamic terror attacks.
[00:21:14.117 --> 00:21:22.103]  Not just happening in Europe, but in the West.
[00:21:22.103 --> 00:21:23.824]  Obviously it all goes back to 9-11 though.
[00:21:26.004 --> 00:21:27.305]  Where we were lied to.
[00:21:27.305 --> 00:21:30.367]  We were lied into war.
[00:21:30.367 --> 00:21:52.480]  And what we were told happened was a bill of goods to send us into the Middle East to destabilize, enrich a bunch of people, bring in central banks, bring in regime change, control the new oil pipelines.
[00:21:52.480 --> 00:21:53.601]  It's pretty much all on record.
[00:21:53.601 --> 00:21:54.181]  It's all a joke.
[00:21:54.181 --> 00:21:55.022]  They do movies about it.
[00:21:56.491 --> 00:21:58.812]  So yeah, guess what?
[00:21:58.812 --> 00:22:06.015]  Then Obama gets elected, continues to bomb the Middle East for eight more years, more countries.
[00:22:06.015 --> 00:22:12.038]  You don't think those people want to kill the ones they feel are responsible?
[00:22:12.038 --> 00:22:17.620]  Whether they think it's Jews or whether they think it's Americans?
[00:22:17.620 --> 00:22:24.083]  And so, we have another radical terror threat just in Maryland.
[00:22:25.427 --> 00:22:35.254]  Islamic terrorists behind planned Maryland truck attack wanted to kill as many non-Muslims as possible.
[00:22:35.254 --> 00:22:35.755]  Now again...
[00:22:36.633 --> 00:22:42.618]  I'm going to play this clip one more time, and then I'm going to bury this issue, and maybe we bring it up later with phone calls.
[00:22:42.618 --> 00:22:49.404]  But listen to what Ilhan Omar said, and actually, I think this was actually a couple weeks ago at an Islamic event.
[00:22:49.404 --> 00:22:57.371]  Listen to what she says, because this is so key, and we have to face this as Americans now, before it gets worse, folks.
[00:22:57.371 --> 00:22:59.232]  Here's what Ilhan Omar said about 9-11.
[00:22:59.232 --> 00:23:04.096]  Care was founded after 9-11.
[00:23:05.968 --> 00:23:15.012]  Because they recognize that some people did something and that all of us were starting to lose access to our civil liberty.
[00:23:15.012 --> 00:23:17.693]  She means Muslims.
[00:23:17.693 --> 00:23:23.896]  And they now are bringing that war to the West, to America.
[00:23:23.896 --> 00:23:25.377]  So you better wake up, America!
[00:23:26.513 --> 00:23:37.258]  We better figure out what the hell happened on 9-11 or that's going to be used to bring the clash of civilizations from the Middle East with Jews and Muslims right here to your backyard.
[00:23:37.258 --> 00:23:41.560]  So if that's what you want, keep burying your head in the sand.
[00:23:41.560 --> 00:23:46.662]  But now all day long, all we're going to see is people pointing fingers at Ilhan Omar,
[00:23:47.742 --> 00:23:49.563]  People saying she's anti-Semitic.
[00:23:49.563 --> 00:23:51.525]  How about anti-Americans?
[00:23:51.525 --> 00:23:54.668]  Can we do something about all the anti-Americans in our government?
[00:23:54.668 --> 00:23:59.331]  I'm sick and damn tired of hearing about anti-Semites!
[00:23:59.331 --> 00:24:00.853]  How about anti-Americans?
[00:24:00.853 --> 00:24:05.376]  I'm American!
[00:24:05.376 --> 00:24:06.137]  And this is just like...
[00:24:11.451 --> 00:24:16.414]  But this is what you're going to hear, back and forth, tit for tat, Jew, Muslim, Jew, Muslim.
[00:24:16.414 --> 00:24:19.196]  Ilhan Omar says Stephen Miller's a white nationalist.
[00:24:19.196 --> 00:24:20.597]  I think Stephen Miller's a great American.
[00:24:20.597 --> 00:24:24.640]  I think what he's doing for this country is great.
[00:24:24.640 --> 00:24:27.482]  Oh, but see, he's Jewish.
[00:24:27.482 --> 00:24:34.587]  And so these radical Muslims hate him.
[00:24:34.587 --> 00:24:35.828]  They blame the Jews for everything.
[00:24:35.828 --> 00:24:36.629]  They blame the Jews for 9-11.
[00:24:39.124 --> 00:24:42.827]  Which then destabilized the Middle East with American intervention.
[00:24:42.827 --> 00:24:44.669]  They blame it all on the Jews.
[00:24:44.669 --> 00:24:48.191]  Do you know America has more Jews in it than any other country?
[00:24:48.191 --> 00:24:49.172]  Yeah.
[00:24:49.172 --> 00:24:50.513]  See what's going on, folks?
[00:24:50.513 --> 00:24:52.635]  You better wake up.
[00:24:52.635 --> 00:24:57.899]  So, Ilhan Omar's right to insinuate that we were lied to about 9-11.
[00:24:57.899 --> 00:25:03.824]  We better make sure we're right in our response to what she says.
[00:25:03.824 --> 00:25:07.267]  Now, folks, here's the deal.
[00:25:07.267 --> 00:25:07.948]  It's because
[00:25:09.969 --> 00:25:15.653]  The way we approach and disseminate information is why we get banned and censored on such a mass scale.
[00:25:15.653 --> 00:25:22.638]  It's because we talk about inside jobs, it's because we talk about conspiracies, it's because we talk about government cover-ups.
[00:25:22.638 --> 00:25:26.280]  Who told you Russian collusion was all fake from the very beginning?
[00:25:26.280 --> 00:25:30.784]  Who told you they were going to plan something like the fake Russian collusion narrative the night Trump was elected?
[00:25:30.784 --> 00:25:32.445]  InfoWarf did.
[00:25:32.445 --> 00:25:36.608]  Now I could go on and on and sit here and talk about how InfoWarf is tomorrow's news today, but
[00:25:37.785 --> 00:25:41.370]  If you've been listening long enough, you already know that.
[00:25:41.370 --> 00:25:48.280]  But what you might not know is that we are the most censored news organization in the world, definitely in America.
[00:25:48.280 --> 00:25:50.784]  And I kind of have to laugh, and it's...
[00:25:52.742 --> 00:26:15.238]  I don't know what's behind the humor I get from this, but, you know, every day you're seeing new conservatives get banned off YouTube, other conservatives get banned off Facebook, and this, that, or the other thing, and they make a big fuss about it, and I just kind of sit here and sip on my tea with my pinky raised, like, oh.
[00:26:15.238 --> 00:26:17.279]  Oh, you've been banned now, have you?
[00:26:17.279 --> 00:26:18.900]  Oh!
