[00:00.000 --> 00:30.000]  Infowars, tomorrow's news today.
[11:32.000 --> 11:40.000]  And this time the State Department's telling the truth because they know because they've lured Russia into this.
[11:40.000 --> 11:42.000]  And that's who I really blame at the end of the day.
[11:42.000 --> 11:44.000]  And I don't like what Putin's done either.
[11:44.000 --> 11:48.000]  And as Putin gets more cornered and as Putin gets under more heat.
[11:49.000 --> 11:58.000]  And as it at home, the hardliners and the mainline Russian population wants total war, he knows he'll be removed if he doesn't escalate.
[11:58.000 --> 12:02.000]  And so the more the West doubles down, the more he doubles down.
[12:02.000 --> 12:15.000]  And there's not much more room for doubling down as we move towards tactical nuclear war, which almost every analyst agrees, if the tactical nuclear war happens, then the full on will happen.
[12:15.000 --> 12:20.000]  And the Pentagon's like, well, we're warning Russia against using nuclear weapons, but we'll probably contain it.
[12:20.000 --> 12:23.000]  We'll nuke them back, but it'll just be in that area.
[12:23.000 --> 12:25.000]  It's not just going to be in that area.
[12:25.000 --> 12:31.000]  Just the way this proxy war has escalated to the edge of nuclear war.
[12:31.000 --> 12:38.000]  If there's tactical nuclear war, I believe there'll be a full on nuclear war.
[12:39.000 --> 12:41.000]  So, you know where tomorrow's news today.
[12:41.000 --> 12:45.000]  I don't want to be proven right about this, and I'm not saying we're going to have nuclear war.
[12:45.000 --> 12:52.000]  It's like saying to an alcoholic, if you keep drinking two bottles of Jack Daniels a day, you'll probably get liver failure.
[12:52.000 --> 12:56.000]  And you go to the doctor and they tell you, hey, you got fatty liver and you know, you need to stop.
[12:56.000 --> 12:58.000]  You need to go to rehab or it's going to kill you.
[12:58.000 --> 13:01.000]  Now, it's going to kill you in a month or a year or five years.
[13:01.000 --> 13:03.000]  You don't know that you don't know.
[13:03.000 --> 13:11.000]  But drinking two bottles of Jack Daniels a day or two bottles of whatever it is, is not a good idea.
[13:11.000 --> 13:19.000]  And if you're using the liver failure analogy, what's going on in Russia is 10 bottles of Jack Daniels a year.
[13:19.000 --> 13:23.000]  A day, excuse me, 10 bottles of Jack Daniels a day.
[13:23.000 --> 13:26.000]  Nobody can survive that if it doesn't stop.
[13:26.000 --> 13:29.000]  Stop drinking the 10 bottles of Jack Daniels a day.
[13:29.000 --> 13:32.000]  Stop it, stop it, stop it.
[13:32.000 --> 13:36.000]  And so, yeah, we reached a point of desperation there.
[13:36.000 --> 13:46.000]  You know, the Democrat Party law firm that's suing all the major gun makers and involved in the Uvalde lawsuits now and that's had the rigged courts against us.
[13:46.000 --> 13:51.000]  They would sit there looking at me confident and really not worried about them and what they're doing.
[13:51.000 --> 13:55.000]  Well, they were lying about me and threatening me and trying to destroy me.
[13:55.000 --> 13:59.000]  And so they blew up when they were questioning me and made fools of themselves.
[13:59.000 --> 14:07.000]  Even Mainline Media agreed because they couldn't get why I didn't care that they were there lying about me and accusing me because I'm thinking about nuclear war.
[14:07.000 --> 14:12.000]  While they're sitting there talking to me, just making stuff up, I'm just going, man, I'm worried about my family.
[14:12.000 --> 14:16.000]  Man, I think this is going to go to nuclear war. Don't you care, Mr. Jones? Don't you care?
[14:16.000 --> 14:20.000]  All these people are attacking you. All these people. Mr. Jones, why don't you care?
[14:20.000 --> 14:24.000]  And they would sit there during the breaks looking at me, just shaking their heads because you're idiots.
[14:24.000 --> 14:26.000]  That's why.
[14:26.000 --> 14:33.000]  And when the nuclear bombs start dropping, you'll remember this, dumbasses.
[14:33.000 --> 14:37.000]  Do you have any idea how we have a tiger by the tail here?
[14:37.000 --> 14:43.000]  I can barely control myself right now.
[14:43.000 --> 14:47.000]  To not get in my Winnebago and leave.
[14:47.000 --> 14:51.000]  But I'm not doing it because I promise to stay here and I believe we have a chance stopping this.
[14:51.000 --> 14:56.000]  And I've sworn not to give up. I will stay here until the power goes off.
[14:56.000 --> 15:03.000]  They may do a cyber attack long before the nuclear war and blame the Russians for that. That's in the cards, too.
[15:03.000 --> 15:05.000]  So.
[15:05.000 --> 15:11.000]  I only tell you that to tell you where I'm at. I have to override my.
[15:11.000 --> 15:14.000]  Paternal instincts.
[15:14.000 --> 15:19.000]  And I look at my five year old daughter that I'd die for any moment.
[15:19.000 --> 15:27.000]  And I have to sit there and watch her play in the backyard in her sandbox with her Barbie dolls and her dump trucks.
[15:27.000 --> 15:35.000]  And I have to just sit there and just pray to God somehow we can avert this because we're already at war with Russia right now.
[15:35.000 --> 15:38.000]  Ladies and gentlemen, right now.
[15:38.000 --> 15:40.000]  Right now.
[15:40.000 --> 15:43.000]  In Europe.
[15:43.000 --> 15:46.000]  This is happening now.
[15:47.000 --> 15:52.000]  And we're so used to things being normal with the normalcy bias.
[15:52.000 --> 15:58.000]  They even though the inflation is double power prices, even though it's done all this, people just still think, oh, come on, Alex, it's not that bad.
[15:58.000 --> 16:04.000]  Well, the mainline Pentagon analysts believe 50 50 chance Russia starts using nukes.
[16:04.000 --> 16:07.000]  Say that again. 50 50 chance.
[16:07.000 --> 16:11.000]  I agree with that analysis. Russia starts using nukes.
[16:12.000 --> 16:20.000]  Now, the global is to push us to the edge of Armageddon to create total destabilization where everybody just gives up on life.
[16:20.000 --> 16:25.000]  And so that's another reason I'm not going to give up on life is there's a very good chance.
[16:25.000 --> 16:32.000]  If we create a big enough buzz, if you the heart of the resistance, the tip of the spear, the vanguard.
[16:32.000 --> 16:36.000]  Make a big enough peaceful noise.
[16:37.000 --> 16:40.000]  The civil disobedience, whatever you got to do.
[16:40.000 --> 16:44.000]  We can stop this together.
[16:48.000 --> 16:52.000]  Well, like I said, I am strongly considering.
[16:52.000 --> 16:57.000]  Not even going and defending myself in the Sandy Hook show trial.
[16:58.000 --> 17:08.000]  Because they called me last time, I don't have to go the next time I had to go to be interrogated by them on their, you know, their their first half the trial that ends early next week.
[17:08.000 --> 17:14.000]  And then supposedly however long the, quote, defense hands tied can can sit up there and talk about stuff.
[17:14.000 --> 17:19.000]  And it's like, why do I even care if they get one hundred million dollar judgment?
[17:19.000 --> 17:22.000]  I don't have two million dollars.
[17:23.000 --> 17:27.000]  Does it matter? And that's the thing. Football doesn't matter.
[17:27.000 --> 17:31.000]  Acting cool and polishing your sports car doesn't matter.
[17:31.000 --> 17:36.000]  What matters is getting right with God and stopping nuclear war.
[17:38.000 --> 17:44.000]  Hopefully things deescalate the next few days and I'll go and I'll do it. I'll be on the stand, but it doesn't matter.
[17:44.000 --> 17:49.000]  And it's because we put all these things in front of us that don't matter.
[17:50.000 --> 17:55.000]  That we're going to lose everything.
[17:57.000 --> 18:00.000]  Absolutely lose everything.
[18:02.000 --> 18:07.000]  So I want to hit the factual information here in a minute, but there's so much of this September 24th talk out there.
[18:07.000 --> 18:12.000]  No, I don't believe today is the day the stock market crashes. I don't believe the day is the day the nuclear war starts.
[18:12.000 --> 18:14.000]  And it's like this Q stuff.
[18:14.000 --> 18:23.000]  People always focus on some nebulous number for astrology instead of real meat and potatoes, mobilize Russian troops.
[18:23.000 --> 18:31.000]  Openly threatening nuclear war saying I'm not bluffing with one of the largest nuclear arsenals, probably the second largest, maybe the largest on earth, Vladimir Putin.
[18:31.000 --> 18:35.000]  I mean, that's a real leader. That's by leader. I mean, that's a real country.
[18:35.000 --> 18:39.000]  That's a real nuclear arsenal. That's a real threat.
[18:40.000 --> 18:43.000]  It's like Klaus Schwab. The New World Order is real.
[18:44.000 --> 18:47.000]  It's a real thing.
[18:48.000 --> 18:54.000]  And people still focus on the esoteric.
[18:54.000 --> 18:59.000]  And then when bad stuff happens, oh, look, the stock market crashed four days after.
[18:59.000 --> 19:01.000]  It probably will this week. A lot of experts believe.
[19:01.000 --> 19:04.000]  Even further, it already crashed last week, but they think it will crash next week.
[19:04.000 --> 19:10.000]  Oh, see, it's real because a bunch of people made a big thing about a date.
[19:11.000 --> 19:20.000]  No, it was the overthrow of the elected government eight years ago in Ukraine and putting weapons on the Russian border and NATO moving heavy weapons in.
[19:20.000 --> 19:26.000]  That's what caused this. Not crystal balls, not Ouija boards, not tarot decks.
[19:27.000 --> 19:34.000]  And I'm not attacking people that are into all this, but the mystical is your is your Holy Spirit connection to God and discernment.
[19:35.000 --> 19:40.000]  It's not all the two stuff. It's not all the old let's go to Dealey Plaza and JFK Jr. is going to meet us there.
[19:40.000 --> 19:46.000]  I mean, no, no, no, no. And then people focus on that instead of the real issues.
[19:49.000 --> 19:52.000]  There's a short clip and the guy makes some good points, but.
[19:53.000 --> 19:56.000]  And it's open for discussion, but it's not the heart of the matter.
[19:56.000 --> 20:00.000]  Major event on Jewish year. Here it is.
[20:01.000 --> 20:10.000]  Every seven years on the exact end day of the Shemitah, which is the exact end day of basically the Jewish year, every seven years,
[20:12.000 --> 20:19.000]  there's usually a major market collapse and it's actually usually on the exact day.
[20:20.000 --> 20:25.000]  This is a Shemitah year and it actually ends on September 26th, which is a Monday.
[20:25.000 --> 20:29.000]  So I've definitely said to keep your eyes on that date.
[20:30.000 --> 20:33.000]  But here's when I saw this, I was like, what?
[20:34.000 --> 20:36.000]  It's a German politician.
[20:36.000 --> 20:48.000]  And even more interesting, on top of the German politician saying September 24th is going to be like a day that everyone on earth will remember.
[20:49.000 --> 20:58.000]  The Vatican has told the German politicians that it's going to be like a day that everyone on earth will remember.
[20:58.000 --> 21:14.000]  The Vatican has told all of its people that whatever funds they have across the world to send them all back to the Vatican by September 30th, which is like four days after the end of the Shemitah.
[21:14.000 --> 21:26.000]  And of course, when they tell people this, you know, you don't just wire billions of dollars on like September 29th when the when the pope told you to have it back there by the 30th, right?
[21:27.000 --> 21:30.000]  You probably do it a few days before and they probably mentioned that to them.
[21:31.000 --> 21:33.000]  So the Vatican seems to know something's going on.
[21:33.000 --> 21:44.000]  So something like these birds flying by, blackbirds, black clouds, something ominous seems to be on the horizon.
[21:45.000 --> 21:47.000]  Then he adds something silly to the end of it.
[21:48.000 --> 21:52.000]  So all those things are real Vatican saying, send back the money, all that.
[21:53.000 --> 21:55.000]  And then they just put a date on it as if that's what caused it.
[21:55.000 --> 22:01.000]  No, the war, the great reset, the collapsing borders, all these major governments are calling their money back in.
[22:02.000 --> 22:13.000]  We reported on this a couple of weeks ago that thousands of major concerts, hundreds of the biggest in country music, hip hop, rock and roll have all canceled the next four months.
[22:14.000 --> 22:15.000]  Around the country and around the world.
[22:16.000 --> 22:19.000]  But how about globalist elites or even in the news moving the southern hemisphere?
[22:19.000 --> 22:22.000]  I've had meetings with some of them off record about the whole Russia situation.
[22:23.000 --> 22:24.000]  I told you this months ago.
[22:25.000 --> 22:28.000]  They've been moving and looking to move everything to the southern hemisphere.
[22:29.000 --> 22:32.000]  Most of the Google founders are now hiding out in the South Pacific.
[22:33.000 --> 22:34.000]  That's all real stuff.
[22:36.000 --> 22:37.000]  Not the schmica.
[22:39.000 --> 22:43.000]  And I'm not poo-pooing that globalists don't do things on weird dates.
[22:43.000 --> 22:45.000]  And there aren't people that are into the occult and mysticism.
[22:46.000 --> 22:53.000]  All I'm saying is this is front and center, the Russian mobilization, the Russia threatening nuclear war, Putin saying I'm not bluffing.
[22:54.000 --> 22:55.000]  That's a real thing.
[22:58.000 --> 23:01.000]  And you don't stop it by obsessing on a date.
[23:02.000 --> 23:04.000]  You stop it by getting involved and by saying no.
[23:04.000 --> 23:07.000]  Because God gives us free will to decide the outcome.
[23:08.000 --> 23:09.000]  We are given free will.
[23:14.000 --> 23:18.000]  New nuclear threats raise risk of cornered Putin.
[23:19.000 --> 23:20.000]  ABC News.
[23:21.000 --> 23:24.000]  U.S. has privately warned Russia against using nuclear weapons in Ukraine for several months.
[23:25.000 --> 23:26.000]  Yeah, CNN.
[23:26.000 --> 23:29.000]  Germany joins Poland and Baltics in push for harsher Russian sanctions.
[23:30.000 --> 23:31.000]  Yeah, that'll make things better.
[23:32.000 --> 23:33.000]  Only hurts Europe more.
[23:34.000 --> 23:36.000]  Americans in Russia-Ukraine prisoner swap.
[23:37.000 --> 23:38.000]  Wondered if death was near.
[23:39.000 --> 23:41.000]  Missile strikes in Ukraine's cities as call-up causes chaos in Russia.
[23:42.000 --> 23:45.000]  Putin's draft draws resistance in Russia's far-flung regions.
[23:47.000 --> 23:48.000]  Donald Trump says, stop it.
[23:49.000 --> 23:50.000]  He says, stop it.
[23:50.000 --> 23:53.000]  Putin's draft draws resistance in Russia's far-flung regions.
[23:55.000 --> 23:58.000]  Donald Trump says stupid Biden administration could trigger World War III.
[23:59.000 --> 24:00.000]  Absolutely.
[24:01.000 --> 24:03.000]  That's what he threatened, I mean, Trump warned they would do.
[24:04.000 --> 24:09.000]  Poland begins handing out ionized pills on fresh fears of Ukraine nuclear plant meltdown.
[24:10.000 --> 24:13.000]  Putin's mobilization of 300,000, it says thousands.
[24:14.000 --> 24:16.000]  More troops unlikely to resolve basic problems in Ukraine.
[24:17.000 --> 24:18.000]  NBC News.
[24:18.000 --> 24:26.000]  And it just goes on and on and on with what's happening in Russia.
[24:31.000 --> 24:35.000]  Now, tomorrow on the Sunday show, I think I'm going to go ahead and host all four hours.
[24:36.000 --> 24:42.000]  We have Dr. Judy Mikovits with all the big developments with the COVID narrative collapsing and the new numbers coming out in studio with us.
[24:43.000 --> 24:45.000]  She did a great job with Owen, who also did a great job on Friday.
[24:45.000 --> 24:50.000]  And I'm going to take your calls tomorrow on this subject, but she'll be almost one hour.
[24:51.000 --> 24:52.000]  I'm going to go ahead and just host all four hours.
[24:53.000 --> 24:54.000]  I've been gone, I want to be on air.
[24:55.000 --> 24:56.000]  Such an important time.
[24:57.000 --> 25:02.000]  Again, I've been on a razor's edge, not even defending any of this Sandy Hook stuff because it's all rigged anyways and it's not going to matter.
[25:03.000 --> 25:10.000]  I mean, folks, the globalists are making their move and only being aware that they're the ones dissolving the borders,
[25:10.000 --> 25:13.000]  evolving the currency, cutting off the pipelines, destroying the energy infrastructure.
[25:14.000 --> 25:23.000]  Launching all these Armageddon operations, launching the GMO, launching the 5G, launching the deadly COVID, launching the deadly vaccine, response to it.
[25:24.000 --> 25:26.000]  But we got to really get they're the enemy.
[25:27.000 --> 25:28.000]  We got to really get they're out to get us.
[25:29.000 --> 25:31.000]  The country's under siege and they're attacking every other country.
[25:32.000 --> 25:33.000]  They're attacking the human infrastructure.
[25:34.000 --> 25:38.000]  And everybody, I don't care if you're gay, straight, old, young, black, white, liberal, conservative.
[25:38.000 --> 25:40.000]  We all get roped into fighting with each other.
[25:41.000 --> 25:45.000]  But you're delusional if you think Klaus Schwab and Bill Gates and the New World Order love you.
[25:46.000 --> 25:49.000]  And they completely run the Democratic Party and most the Republican Party.
[25:50.000 --> 25:56.000]  Ted Cruz has come out and supported big tech, merging with big media and having total immunity.
[25:57.000 --> 25:58.000]  It's a horrible person.
[25:59.000 --> 26:02.000]  Right here at the end of the line, folks, he supports World War III, by the way, in Ukraine.
[26:03.000 --> 26:06.000]  He really now uncloaks and shows you the horrible person he always was.
[26:06.000 --> 26:12.000]  I tried to hope that he was an opportunist and went against Trump and all that because he just wanted power.
[26:13.000 --> 26:17.000]  But I hope that, you know, in the end, he care about his family, but he doesn't care.
[26:18.000 --> 26:23.000]  He is a Goldman Sachs operative who is as bad as they get.
[26:24.000 --> 26:27.000]  Just like Crenshaw and just like the rest of the scum.
[26:28.000 --> 26:29.000]  Shame on him.
[26:30.000 --> 26:31.000]  Shame on him.
[26:32.000 --> 26:35.000]  He's worse than Beto O'Rourke because Beto at least tells you what he's going to do so you can stand against him.
[26:36.000 --> 26:38.000]  He doesn't knife you in the back like a wolf in sheep's clothing.
[26:41.000 --> 26:45.000]  So this is a crippling economic attack.
[26:48.000 --> 26:54.000]  Now, I've got a lot of really other important news that ties into all this I want to cover after we play a special report here in a moment.
[26:55.000 --> 26:58.000]  Robert Barnes joins us in about 33 minutes from now.
[26:59.000 --> 27:05.000]  This is a special Saturday emergency commercial free show.
[27:06.000 --> 27:09.000]  And I say that we're not running the regular breaks for our radio and TV stations.
[27:10.000 --> 27:15.000]  We're going to just air news reports and things here when we do go to break while we get guests on and things like that.
[27:16.000 --> 27:17.000]  They're very, very important.
[27:18.000 --> 27:21.000]  But I will just throw this out there. And look, as things are so bad now, I get it. I understand.
[27:22.000 --> 27:25.000]  But we need to push to stop the New World Order. We need to try to stay on air.
[27:25.000 --> 27:32.000]  Infowars is, again, on the verge of insolvency. God just keeps it that way where we are treading water right now.
[27:33.000 --> 27:36.000]  And I want to keep strong and stay on air with our whole crew and all our shows.
[27:37.000 --> 27:41.000]  And I don't want to implode and let the enemy win. We have our most important missions ever to carry out.
[27:42.000 --> 27:45.000]  I want to thank those of you that purchased the products. I want to thank those of you that supported us.
[27:46.000 --> 27:50.000]  People think bankruptcy means you're closing your doors. There's dozens of different types of bankruptcies.
[27:51.000 --> 27:53.000]  We're not closing our doors. They're trying to close our doors.
[27:53.000 --> 27:59.000]  So I went into bankruptcy to prove in these courts that I don't have all this extra money to go under that scrutiny.
[28:00.000 --> 28:05.000]  And a lot of people see that and they go, oh, you're closing your doors.
[28:06.000 --> 28:10.000]  Now, Chapter 5 is emergency reorganization where you show you're having trouble paying your bills,
[28:11.000 --> 28:18.000]  but then you go into reorganization where it sets the benchmark for how much money you actually have so we can stay on air, continue to operate,
[28:18.000 --> 28:26.000]  and also show to the state courts and everybody else when they claim I have $400 million like they falsely did in the Texas show trial four weeks ago,
[28:27.000 --> 28:34.000]  we can show certified all the stuff that it's just a lie and then that allows info wars,
