[00:00:16.081 --> 00:00:18.103]  Awesome!
[00:01:15.483 --> 00:01:15.703]  I love you!
[00:01:15.703 --> 00:01:15.963]  I love you!
[00:01:15.963 --> 00:01:16.403]  I love you!
[00:01:16.403 --> 00:01:16.783]  I love you!
[00:01:16.783 --> 00:01:17.083]  I love you!
[00:01:17.083 --> 00:01:17.583]  I love you!
[00:01:17.583 --> 00:01:17.983]  I love you!
[00:01:17.983 --> 00:01:18.443]  I love you!
[00:01:18.443 --> 00:01:18.904]  I love you!
[00:01:18.904 --> 00:01:19.184]  I love you!
[00:01:19.184 --> 00:01:19.604]  I love you!
[00:01:19.604 --> 00:01:19.824]  I love you!
[00:01:19.824 --> 00:01:20.204]  I love you!
[00:01:20.204 --> 00:01:20.724]  I love you!
[00:01:20.724 --> 00:01:21.064]  I love you!
[00:01:21.064 --> 00:01:21.664]  I love you!
[00:01:21.664 --> 00:01:21.904]  I love you!
[00:01:21.904 --> 00:01:22.605]  I love you!
[00:01:22.605 --> 00:01:22.845]  I love you!
[00:01:22.845 --> 00:01:23.105]  I love you!
[00:01:23.105 --> 00:01:23.965]  I love you!
[00:01:23.965 --> 00:01:24.225]  I love you!
[00:01:24.225 --> 00:01:24.585]  I love you!
[00:01:24.585 --> 00:01:24.925]  I love you!
[00:01:24.925 --> 00:01:25.185]  I love you!
[00:01:25.185 --> 00:01:25.685]  I love you!
[00:01:25.685 --> 00:01:26.226]  I love you!
[00:01:26.226 --> 00:01:26.586]  I love you!
[00:01:26.586 --> 00:01:27.026]  I love you!
[00:01:27.026 --> 00:01:27.466]  I love you!
[00:01:27.466 --> 00:01:27.826]  I love you!
[00:01:27.826 --> 00:01:28.046]  I love you!
[00:01:28.046 --> 00:01:28.426]  I love you!
[00:01:28.426 --> 00:01:29.246]  I love you!
[00:01:29.246 --> 00:01:29.807]  I love you!
[00:01:29.807 --> 00:01:30.107]  I love you!
[00:01:30.107 --> 00:01:30.607]  I love you!
[00:01:30.607 --> 00:01:30.927]  I love you!
[00:01:30.927 --> 00:01:31.427]  I love you!
[00:01:31.427 --> 00:01:31.727]  I love you!
[00:01:31.727 --> 00:01:32.187]  I love you!
[00:01:32.187 --> 00:01:32.547]  I love you!
[00:01:32.547 --> 00:01:32.947]  I love you!
[00:01:32.947 --> 00:01:33.548]  I love you!
[00:01:33.548 --> 00:01:33.988]  I love you!
[00:01:33.988 --> 00:01:34.508]  I love you!
[00:01:34.508 --> 00:01:34.988]  I love you
[00:01:36.291 --> 00:01:38.595]  Wait, I gotta get the InfoWars info.
[00:01:38.595 --> 00:01:39.796]  Is that safe?
[00:01:39.796 --> 00:01:41.179]  Oh yeah, InfoWars!
[00:01:41.179 --> 00:01:43.242]  Is that us, Caitlin?
[00:01:43.242 --> 00:01:44.524]  InfoWars, what's up?
[00:01:48.880 --> 00:01:50.661]  Free Alex Jones!
[00:01:50.661 --> 00:02:03.694]  We appreciate all the work that Alex does, and all Americans do, and I think it's just a shame and a travesty for Facebook, Twitter, and the banks, and I mean, we're living in a fascist country.
[00:02:07.814 --> 00:02:22.701]  I would love to meet Alex Jones.
[00:02:22.701 --> 00:02:26.523]  What would you say to him?
[00:02:26.523 --> 00:02:28.283]  What would I say to Alex Jones?
[00:02:28.283 --> 00:02:30.845]  Where does he come up with his ideas?
[00:02:30.845 --> 00:02:35.667]  Because he honestly says the weirdest things, but some of it does make sense, if you really think about it.
[00:02:36.247 --> 00:02:37.708]  I absolutely love InfoWars.
[00:02:37.708 --> 00:02:39.789]  I've been watching for like 11, 12 years.
[00:02:39.789 --> 00:02:40.989]  You guys are awesome.
[00:02:40.989 --> 00:02:42.170]  Thank you.
[00:02:42.170 --> 00:02:44.030]  He's still there.
[00:02:44.030 --> 00:02:45.111]  Go to InfoWars.com.
[00:02:45.111 --> 00:02:47.672]  You can watch his live show on his website.
[00:02:47.672 --> 00:02:49.052]  Oh, I miss him so much.
[00:02:49.052 --> 00:02:52.114]  I used to watch him every Tuesday night, so I don't know what happened to him.
[00:02:52.114 --> 00:02:56.435]  Go to InfoWars.com and click on where it says Radio Show and you can watch him every day.
[00:02:56.435 --> 00:02:57.816]  Okay, cool.
[00:02:57.816 --> 00:03:00.657]  We just want to say, hey Alex, wish you were here with us.
[00:03:00.657 --> 00:03:02.558]  Deplorables, come on brother.
[00:03:07.003 --> 00:03:18.349]  InfoWars presents the David Knight Show, the Alex Jones Show, and the War Room with Owen Troyer.
[00:03:18.349 --> 00:03:21.591]  InfoWars.com forward slash show.
[00:03:21.591 --> 00:03:27.194]  Matt Bracken, former Navy SEAL, best-selling author, is a really smart guy.
[00:03:27.194 --> 00:03:29.375]  He'll be hosting the fourth hour today.
[00:03:29.375 --> 00:03:34.558]  Remember when he was on last week when the tankers got blown up and sunk in the Persian Gulf?
[00:03:36.992 --> 00:03:41.376]  And I said, the doctrine is nuclear attack will be launched on Iran, fire and fury.
[00:03:41.376 --> 00:03:42.998]  And he said, no, no, that's off the table.
[00:03:42.998 --> 00:03:46.881]  You see, that's why he'd be like a master sergeant.
[00:03:46.881 --> 00:03:47.522]  I'd be a general.
[00:03:47.522 --> 00:03:53.067]  Because I'd done my research and already knew about this before it was even declassified.
[00:03:53.866 --> 00:03:54.226]  U.S.
[00:03:54.226 --> 00:03:58.708]  first strike on Russia, Iran, you name it, with nuclear weapons.
[00:03:58.708 --> 00:04:02.749]  The Dr. Strangelove policy from the 1960s brought back.
[00:04:02.749 --> 00:04:06.531]  This is actually changed under Obama, under Hillary's advice.
[00:04:06.531 --> 00:04:09.332]  I got that from high-level folks involved with the nuclear weapons.
[00:04:09.332 --> 00:04:10.752]  I've told you that on air.
[00:04:10.752 --> 00:04:12.453]  Iran has nuclear weapons, by the way.
[00:04:12.453 --> 00:04:13.694]  I told you that on air.
[00:04:13.694 --> 00:04:15.034]  Saudi Arabia has nuclear weapons.
[00:04:15.034 --> 00:04:16.915]  This is all confirmed now.
[00:04:16.915 --> 00:04:17.515]  And here it is.
[00:04:17.515 --> 00:04:19.416]  They released this on June 11th.
[00:04:20.526 --> 00:04:23.149]  They pulled it two days later and reclassified it.
[00:04:23.149 --> 00:04:25.371]  Here it is, the classified document.
[00:04:25.371 --> 00:04:28.113]  Nuclear Operations Manual.
[00:04:28.113 --> 00:04:29.415]  We have a right to know about this.
[00:04:29.415 --> 00:04:30.315]  I already know about it.
[00:04:30.315 --> 00:04:32.177]  I'm going to tell you all about it.
[00:04:32.177 --> 00:04:33.699]  Now why is that important?
[00:04:33.699 --> 00:04:35.941]  The Iranians admit to shooting down a U.S.
[00:04:35.941 --> 00:04:37.002]  Navy drone.
[00:04:37.002 --> 00:04:40.505]  Trump is vowing retaliation, saying Iran made a very big mistake.
[00:04:40.505 --> 00:04:42.667]  It's a broadcast you might not want to miss today.
[00:04:43.588 --> 00:04:44.349]  I'm Alex Jones.
[00:04:44.349 --> 00:04:45.930]  This is the InfoWars.
[00:04:45.930 --> 00:04:47.331]  InfoWars.com.
[00:04:47.331 --> 00:04:48.772]  NewsWars.com.
[00:04:48.772 --> 00:04:50.413]  Tomorrow's news today.
[00:04:50.413 --> 00:04:52.514]  We are the real wildcard.
[00:04:52.514 --> 00:04:54.976]  We're the real Ace of Spades.
[00:04:54.976 --> 00:04:56.457]  Fighting for America.
[00:04:56.457 --> 00:04:57.537]  Fighting for free.
[00:04:57.537 --> 00:04:58.218]  Fighting for you.
[00:05:05.038 --> 00:05:15.292]  So the InfoWars model is a self-fulfilling, self-supporting structure that is promoting free press and free speech by people getting together and supporting one another and sustaining one another.
[00:05:15.572 --> 00:05:16.092]  We're good to go.
[00:05:34.870 --> 00:05:44.053]  And it's all because the audience spends their whatever it is, whether it's $5 or $50 a month on products that they like and that they want that actually compete with the corporate-driven model.
[00:05:44.053 --> 00:05:52.636]  And the ability to do that and at the same time support press, support speech, support letting the audience choose what news they want to see and what views they want to hold.
[00:05:52.636 --> 00:05:55.958]  And it's the ultimate American democratic expression and experiment.
[00:05:55.958 --> 00:05:59.339]  And it is the celebration of free press and free speech with free markets.
[00:06:06.503 --> 00:06:10.366]  I'm standing up against those that are destroying this country as we speak!
[00:06:10.366 --> 00:06:12.348]  And why am I fired up?
[00:06:12.348 --> 00:06:13.909]  Because this is war!
[00:06:13.909 --> 00:06:17.652]  Absolute, unabated, total war against our nation!
[00:06:19.033 --> 00:06:19.693]  We bring life.
[00:06:19.693 --> 00:06:21.314]  We bring death.
[00:06:21.314 --> 00:06:22.235]  We are men.
[00:06:22.235 --> 00:06:23.175]  We are women.
[00:06:23.175 --> 00:06:24.316]  We are the humans.
[00:06:24.316 --> 00:06:25.417]  We are the planet.
[00:06:25.417 --> 00:06:26.817]  We are God's creation.
[00:06:26.817 --> 00:06:29.259]  We are the future.
[00:06:29.259 --> 00:06:30.600]  Not you!
[00:06:30.600 --> 00:06:31.040]  Death!
[00:06:31.040 --> 00:06:31.500]  Death!
[00:06:31.500 --> 00:06:35.342]  Coming to you live from the front lines of the InfoWar.
[00:06:35.342 --> 00:06:36.463]  We don't fear death!
[00:06:36.883 --> 00:06:48.132]  It's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:06:48.132 --> 00:06:50.414]  You better believe you got one!
[00:07:10.663 --> 00:07:14.706]  Infowars, the most banned network in the world.
[00:07:14.706 --> 00:07:17.548]  Death!
[00:07:17.548 --> 00:07:20.230]  Waging war on corruption.
[00:07:20.230 --> 00:07:34.700]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:07:34.700 --> 00:07:38.423]  Well, to say we've got an important broadcast today would be putting it lightly.
[00:07:57.495 --> 00:08:03.956]  If you're a TV viewer, you can see what I have in my hands.
[00:08:03.956 --> 00:08:08.797]  Joint Publication 3-72 Nuclear Operations.
[00:08:08.797 --> 00:08:11.858]  New Doctrine, June 11, 2019.
[00:08:11.858 --> 00:08:23.740]  For first strike, preemptive nuclear war on Iran, Russia, and China.
[00:08:23.740 --> 00:08:24.300]  First strike.
[00:08:25.768 --> 00:08:32.471]  The quote, winnable nuclear war, complete psychotic madness.
[00:08:32.471 --> 00:08:34.452]  End of the world.
[00:08:34.452 --> 00:08:44.756]  Now what do you think Putin was talking about the day after this was released when he said he warned of the end of the world and insanity and saying the U.S.
[00:08:44.756 --> 00:08:46.877]  doesn't even talk to us now.
[00:08:46.877 --> 00:08:54.140]  Trump is so paralyzed by the neocons calling a Russian agent that no one even talks to the Russians over the red phone now.
[00:08:55.179 --> 00:08:56.879]  There's no discussion.
[00:08:56.879 --> 00:09:03.641]  There's some joint military discussion, but at the highest levels, it's paralyzed.
[00:09:03.641 --> 00:09:05.661]  And the neocons are running wild.
[00:09:05.661 --> 00:09:20.445]  You know, I read in the news, but I don't believe leftist news most of the time, that Tucker Carlson proudly warned Trump not to launch war with Iran, and that he's one of the only people talking to the President lengthy amounts every day
[00:09:21.718 --> 00:09:23.899]  Well, I knew that Tucker talked to the President quite a bit.
[00:09:23.899 --> 00:09:36.263]  I confirmed last night, and I'll leave it at that, that Tucker Carlson and a couple other people, I confirmed from two people, very close to Tucker, about as close as you can get, maybe his wife gets closer.
[00:09:36.263 --> 00:09:48.286]  The point is, is that, is that they are fighting, as we speak, battling in the President's ear.
[00:09:48.286 --> 00:09:50.047]  And the left is kind of pissed!
[00:09:51.684 --> 00:09:55.426]  Their news article's kinda pissed, you know.
[00:09:55.426 --> 00:09:59.628]  If you go to the Daily Beast article, it's got graphics and things making fun of Tucker.
[00:09:59.628 --> 00:10:01.209]  Hey, man!
[00:10:01.209 --> 00:10:03.351]  Don't get in the way of nuclear war!
[00:10:03.351 --> 00:10:07.713]  Damn conservative piece of filth.
[00:10:07.713 --> 00:10:17.358]  Tucker's also gotten documents that the Koch brothers have been targeting nationalists and patriots for censorship of conservatives and censorship of yours truly.
[00:10:17.358 --> 00:10:18.239]  That's who's behind it.
[00:10:19.935 --> 00:10:20.455]  Yep.
[00:10:20.455 --> 00:10:24.978]  You know, I love how the left always said, Oh, Jones is secretly funded by the Koch brothers.
[00:10:24.978 --> 00:10:35.963]  I even had a few former employees literally behave like schizophrenics to my face and go, I know you're really getting funding from the Koch brothers.
[00:10:35.963 --> 00:10:38.024]  And I'm like, the Koch brothers used to be Democrats.
[00:10:38.024 --> 00:10:42.186]  They gave more money to Democrats overall than Republicans and they want open borders.
[00:10:42.186 --> 00:10:46.989]  I'm not funded by the Koch brothers or anybody except the listeners.
[00:10:48.598 --> 00:10:53.162]  The point is, is that he's got a powerful report on that.
[00:10:53.162 --> 00:10:55.845]  I have an overflow of news.
[00:10:55.845 --> 00:11:05.134]  We have exclusive information from inside the NXIVM cult and its conviction and so much more today.
[00:11:05.134 --> 00:11:11.400]  But this is such a big deal on the nuclear weapons doctrine and how it ties into the US drone being shot down.
[00:11:13.038 --> 00:11:25.780]  Over the Strait of Hormuz and what Iran's doing and the double set of diplomacy where you've got the neocons and the Democrats basically trying to set Trump up in Iran.
[00:11:25.780 --> 00:11:32.661]  And the Iranians are acting very, very, very bold right now.
[00:11:32.661 --> 00:11:34.842]  Like they know something we don't know.
[00:11:34.842 --> 00:11:37.402]  Well, I've figured out what's going on.
[00:11:37.402 --> 00:11:39.963]  So I'm going to wait till the start of the next hour.
[00:11:39.963 --> 00:11:41.203]  And then I'm going to get to all this.
[00:11:42.233 --> 00:11:56.685]  Because I have Roger Stone coming on, breaking his silence for the second time, not on the gag order or his court case, but on the NXIVM cult, which he got blamed with saying, oh, Roger Stone spoke to him a few times, he's part of it.
[00:11:56.685 --> 00:11:59.107]  They had a subcompany try to hire him.
[00:11:59.107 --> 00:12:02.771]  He got in there like a week or so and said, this is a cult, and got out.
[00:12:02.771 --> 00:12:05.453]  He said that here two years ago.
[00:12:05.453 --> 00:12:07.415]  Turns out in the court documents, he was a target.
[00:12:08.326 --> 00:12:14.448]  Of them trying to get at Trump and others and of course obviously yours truly.
[00:12:14.448 --> 00:12:15.728]  And Hillary was involved.
[00:12:15.728 --> 00:12:18.429]  This is all a giant blackmailing scam.
[00:12:18.429 --> 00:12:21.810]  So that's going to be at the bottom of the hour.
[00:12:21.810 --> 00:12:27.512]  He'll be popping in with us here in about 20 minutes.
[00:12:27.512 --> 00:12:32.553]  But the situation with the president
[00:12:33.871 --> 00:12:39.533]  Where he literally only has a couple people telling him, don't listen to Bolton.
[00:12:39.533 --> 00:12:44.254]  And sadly Pompeo is becoming more neoconnish.
[00:12:44.254 --> 00:12:46.215]  And I like Pompeo.
[00:12:46.215 --> 00:12:50.096]  But Bolton is a psychotic.
[00:12:50.096 --> 00:12:54.537]  From the mold of Richard Perle and all the rest of these people.
[00:12:54.537 --> 00:12:58.959]  And Trump is being walked into a setup here.
[00:12:58.959 --> 00:13:01.820]  The Iranians have made double deals before with elements of the Deep State.
[00:13:01.820 --> 00:13:02.840]  They did it against Jimmy Carter.
[00:13:05.066 --> 00:13:08.988]  They have pulled these scams before and there are wheels within wheels.
[00:13:08.988 --> 00:13:14.231]  Like I wanted to go into Venezuela to remove the dictator because thousands are dying a week.
[00:13:14.231 --> 00:13:25.917]  But I said we can't because you can't trust the neocons working with the deep state operatives inside the government to set up our troops and set Trump up in an operation a la Bay of Pigs.
[00:13:28.527 --> 00:13:30.208]  Like with Kennedy.
[00:13:30.208 --> 00:13:32.228]  And so that's why we're in so much trouble.
[00:13:32.228 --> 00:13:40.090]  Iran downs drone ready for war.
[00:13:40.090 --> 00:13:41.591]  Deep fake photo?
[00:13:41.591 --> 00:13:43.231]  Putin warns USA.
[00:13:43.231 --> 00:13:46.152]  That's the headlines right now.
[00:13:46.152 --> 00:13:50.414]  And the Pentagon's saying that it's a fake video.
[00:13:50.414 --> 00:13:57.896]  They're saying that it was shot down over the Strait of Hormuz, the predator drone, not over Iranian land and airspace.
[00:13:59.048 --> 00:14:01.791]  Service-to-Air Missile taking that down.
[00:14:01.791 --> 00:14:07.036]  And again, the video's posted up on Infowars.com and Newswars.com.
[00:14:07.036 --> 00:14:11.220]  The Iranian government news agency, Press TV, has released that.
[00:14:11.220 --> 00:14:14.022]  Iran accused of using fake photo to prove U.S.
[00:14:14.022 --> 00:14:16.765]  drone was over its territory as U.S.
[00:14:16.765 --> 00:14:19.407]  slams unprovoked attack.
[00:14:19.407 --> 00:14:22.390]  Trump says they've made a very big mistake.
[00:14:22.390 --> 00:14:23.952]  Iran made a very big mistake, close quote.
[00:14:25.734 --> 00:14:30.076]  Putin's now warning the United States that this could escalate into a wider war.
[00:14:30.076 --> 00:14:33.137]  And I'm going to cover that when we come back from break for one segment.
[00:14:33.137 --> 00:14:34.237]  I'm going to really dive into it.
[00:14:34.237 --> 00:14:40.960]  Then I'm going to get into this new nuclear first strike doctrine that's just biblical in its evil and its craziness.
[00:14:41.980 --> 00:14:51.083]  And it's neoconnishness, and it's just total losing the moral high ground, begging other countries to strike us first.
[00:14:51.083 --> 00:14:52.823]  That's exactly what Joel Skousen has been saying.
[00:14:52.823 --> 00:15:01.526]  The globalists have been trying to maneuver for a long, long, long, long time.
[00:15:01.526 --> 00:15:07.187]  So that is all coming up.
[00:15:07.187 --> 00:15:08.608]  So when we return, we'll break it all down.
[00:15:09.960 --> 00:15:11.980]  Please do not forget that we are listener supported.
[00:15:11.980 --> 00:15:13.581]  Without you, we will not be here.
[00:15:13.581 --> 00:15:20.783]  You saw the earlier video at the start of the show where we go to these Trump rallies and 70% of people go, we love Alex Jones, we love InfoWars.
[00:15:20.783 --> 00:15:22.663]  We wish he was still on air.
[00:15:22.663 --> 00:15:25.684]  As the news announced, I was off air.
[00:15:25.684 --> 00:15:29.605]  Off all these dozens and dozens of platforms and people believe it.
[00:15:29.605 --> 00:15:33.165]  And they don't go to InfoWars.com or NewsWars.com.
[00:15:33.165 --> 00:15:35.146]  But you are the smartest part of the audience.
[00:15:36.770 --> 00:15:37.951]  And you know how to get the word out.
[00:15:37.951 --> 00:15:40.092]  So without you, they'll win.
[00:15:40.092 --> 00:15:41.552]  You take action, we will win.
[00:15:41.552 --> 00:15:43.393]  Newswars.com.
[00:15:43.393 --> 00:15:44.414]  Infowars.com.
[00:15:44.414 --> 00:15:50.176]  We are alive and well and stronger than ever in many ways because we've got the most hardcore audience ever.
[00:15:50.176 --> 00:15:53.738]  But we need to expand out to others who don't know the full score.
[00:15:53.738 --> 00:15:55.379]  So tell everyone you know today.
[00:15:55.379 --> 00:15:57.140]  Infowars.com lives.
[00:15:57.140 --> 00:15:57.700]  Pass it on.
[00:15:59.969 --> 00:16:11.013]  When you have a pain in the neck, a real pain in the neck, back, shoulder, or legs, you now have two convenient choices to get fast relief without taking another pill.
[00:16:11.013 --> 00:16:16.815]  Because now, Sunny Bay heating wraps and pillows are available at both Amazon and Walmart.
[00:16:16.815 --> 00:16:17.456]  Yes!
[00:16:17.456 --> 00:16:23.338]  See Sunny Bay's four and a half to five star customer reviews on Amazon.com or Walmart.com.
[00:16:23.698 --> 00:16:32.123]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support where and when you need it.
[00:16:32.123 --> 00:16:41.168]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing, hot or cold therapy to help treat temporary or chronic pain.
[00:16:41.168 --> 00:16:44.389]  And the best part, Sunny Bay quality products start at under $20.
[00:16:45.410 --> 00:16:53.435]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[00:16:53.435 --> 00:16:54.216]  It's easy.
[00:16:54.216 --> 00:16:58.859]  Click Amazon or Wal-Mart and search today for Sunny Bay.
[00:16:58.859 --> 00:17:01.521]  Hunters, anglers, campers and survivalists.
[00:17:01.521 --> 00:17:02.622]  Get back to nature.
[00:17:02.622 --> 00:17:09.926]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:17:09.926 --> 00:17:12.708]  Slingbow products are compact and models start from just $17.98.
[00:17:13.829 --> 00:17:16.893]  They're perfect for your bug out bag or storing in your vehicle.
[00:17:16.893 --> 00:17:21.058]  Give yourself and your loved ones the excitement and tradition of Slingbow.
[00:17:21.058 --> 00:17:25.624]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:17:25.624 --> 00:17:28.267]  Feel the thrill only at Slingbow.com
[00:17:28.928 --> 00:17:30.149]  Hi, I'm Dan Pilla.
[00:17:30.149 --> 00:17:34.070]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:17:34.070 --> 00:17:35.611]  I sued the IRS and won.
[00:17:35.611 --> 00:17:38.572]  I beat the IRS then, and I've been beating them ever since.
[00:17:38.572 --> 00:17:44.134]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:17:44.134 --> 00:17:45.335]  I can help you, too.
[00:17:45.335 --> 00:17:48.276]  If you owe taxes you can't pay, don't wait another day.
[00:17:48.276 --> 00:17:50.497]  There's no such thing as a hopeless tax case.
[00:17:50.497 --> 00:17:54.939]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[00:17:54.939 --> 00:17:57.220]  That's danpilla.com, danpilla.com.
[00:18:01.027 --> 00:18:05.733]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:05.733 --> 00:18:16.165]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:18:17.046 --> 00:18:21.871]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:18:21.871 --> 00:18:30.280]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:18:30.280 --> 00:18:37.988]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:18:37.988 --> 00:18:39.950]  Wake up refreshed and take on the day.
[00:18:40.410 --> 00:18:48.355]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:18:48.355 --> 00:18:52.038]  Get the sleep you deserve and experience the power of knockout.
[00:18:52.038 --> 00:18:56.400]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:18:56.400 --> 00:18:58.201]  That's InfoWarsLife.com
[00:19:00.441 --> 00:19:02.402]  Briefly, folks, please do not forget.
[00:19:02.402 --> 00:19:03.583]  This is the maximum alert.
[00:19:03.583 --> 00:19:04.744]  We wouldn't be here without you.
[00:19:04.744 --> 00:19:06.145]  I thank you for your support and your help.
[00:19:06.145 --> 00:19:09.287]  We're going to be steadfast in this fight, but we need financial support.
[00:19:09.287 --> 00:19:12.429]  And we're going to put up more prominent donate buttons at InfoWarsTore.com.
[00:19:12.429 --> 00:19:14.310]  You want to just give us straight donations.
[00:19:14.310 --> 00:19:14.851]  There's a P.O.
[00:19:14.851 --> 00:19:16.092]  box if you want to mail us a check.
[00:19:16.092 --> 00:19:17.893]  We will put it into the fight against these globalists.
[00:19:17.893 --> 00:19:19.374]  We need money to fight back.
[00:19:19.514 --> 00:19:22.196]  And to let them know we're taking action and to defend ourselves.
[00:19:22.196 --> 00:19:25.078]  InfoWarsStore.com is the main page.
[00:19:25.078 --> 00:19:26.499]  We have a huge sale going.
[00:19:26.499 --> 00:19:27.600]  Save InfoWars.
[00:19:27.600 --> 00:19:28.560]  Super special.
[00:19:28.560 --> 00:19:30.062]  Emergency special.
[00:19:30.062 --> 00:19:30.442]  50% off.
[00:19:30.442 --> 00:19:32.844]  All InfoWars best-selling live products.
[00:19:32.844 --> 00:19:33.724]  All of them.
[00:19:33.724 --> 00:19:33.944]  50% off.
[00:19:33.944 --> 00:19:35.105]  That's Super Mel Vitality.
[00:19:35.105 --> 00:19:36.186]  Survival Shield X2.
[00:19:36.186 --> 00:19:37.047]  Now back in stock.
[00:19:37.047 --> 00:19:38.127]  RainForce Plus.
[00:19:38.127 --> 00:19:38.928]  TurboForce.
[00:19:38.928 --> 00:19:40.349]  Body's Ultimate Turmeric Formula.
[00:19:40.549 --> 00:19:43.091]  You're listening to the Alex Jones Show!
[00:20:54.571 --> 00:21:03.395]  Ladies and gentlemen, Alex Jones back live here broadcasting worldwide on this Thursday, June 20th, 2019.
[00:21:03.395 --> 00:21:05.816]  Worldwide broadcast.
[00:21:05.816 --> 00:21:06.496]  Asked if the U.S.
[00:21:06.496 --> 00:21:09.157]  will strike Iran, this is just out.
[00:21:09.157 --> 00:21:11.658]  Just breaking, it's on Infowars.com.
[00:21:11.658 --> 00:21:13.779]  NBC News, CNBC as well is reporting it.
[00:21:15.695 --> 00:21:16.295]  Asked if the U.S.
[00:21:16.295 --> 00:21:20.058]  will strike Iran, Trump says you'll soon find out.
[00:21:20.058 --> 00:21:25.101]  President Trump said just minutes ago that he's going to hold a press conference.
[00:21:25.101 --> 00:21:26.662]  You'll soon find out whether the U.S.
[00:21:26.662 --> 00:21:31.085]  will strike Iran as tensions between the two countries ratcheted up.
[00:21:31.085 --> 00:21:31.265]  U.S.
[00:21:31.265 --> 00:21:38.330]  officials said earlier in the day that an Iranian missile had shot down an American drone over the Strait of Hormuz.
[00:21:38.330 --> 00:21:40.832]  Iran claimed the drone was above its territory.
[00:21:40.832 --> 00:21:44.314]  Trump tweeted that Iran made a big mistake earlier today.
[00:21:44.314 --> 00:21:45.255]  This is breaking news.
[00:21:47.077 --> 00:22:00.558]  We had the live feeds up on satellite at the White House, so as soon as the President comes out to make an announcement, we'll obviously, we're going to be watching that very closely, we'll obviously cut right to that as this unfolds.
[00:22:02.059 --> 00:22:06.664]  I know President Trump told Tucker Carlson that, you know, don't worry, nothing's going to happen with Iran right now.
[00:22:06.664 --> 00:22:08.286]  He wants to make a peace deal.
[00:22:08.286 --> 00:22:21.241]  But you have Kerry and the Democrats and the neocons back-channeling, manipulating Iran, telling them to sink ships in the Strait of Hormuz, telling them to be violent towards Trump, and then he'll back down so the nuclear deal can continue on.
