[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[03:59.000 --> 04:04.000]  This ties into the whole Tommy Robinson situation. We got big developments on that front.
[04:04.000 --> 04:07.000]  But the latest one is it's now two prong.
[04:07.000 --> 04:17.000]  They're just moving into collusion that we're against Hillary and the Democrats and there was a conspiracy in the election against her.
[04:17.000 --> 04:23.000]  And these FBI agents know it's all a fraud. They've just been told to create this narrative.
[04:23.000 --> 04:29.000]  Now I'm not even scared of being arrested or set up. This is their death row politically.
[04:29.000 --> 04:35.000]  But it shows how dangerous they are and how psychotic and how out of control this breakaway state is.
[04:35.000 --> 04:38.000]  This rogue government. So this country's no thick of it.
[04:38.000 --> 04:41.000]  But even Lewis Farrakhan has come out and supported the president.
[04:41.000 --> 04:45.000]  We're going to play that clip and talk about why it's so critical.
[04:45.000 --> 04:47.000]  And so much more. We're going to connect all the dots.
[04:47.000 --> 04:50.000]  This is undoubtedly probably the most important broadcast ever.
[04:50.000 --> 04:55.000]  I say that now every few months. But this is it. These things are getting more serious as we go along.
[04:55.000 --> 04:59.000]  We are live. However you're watching, tell folks to tune in and spread those links.
[04:59.000 --> 05:00.000]  It's an info war.
[05:00.000 --> 05:04.000]  Our team is always looking for new ways to improve our products.
[05:04.000 --> 05:11.000]  That's why we've created the newest version of a fan favorite formula, the real Red Pill Plus.
[05:11.000 --> 05:15.000]  The real Red Pill Plus contains the powerful Pregnant alone formula.
[05:15.000 --> 05:24.000]  Now with an added energy boost. Now you can support your heart, brain and aging process with an added natural energy boost.
[05:24.000 --> 05:32.000]  The proprietary energy blend includes powerful ingredients like green tea extract, your bimate leaf extract and more.
[05:32.000 --> 05:36.000]  Paired with the powerful ingredients in the original real Red Pill formula.
[05:36.000 --> 05:42.000]  The real Red Pill has just what you need to support your body while getting the pick me up to get you through the day.
[05:42.000 --> 05:48.000]  The real Red Pill Plus is a powerful investment into the future of your mind and body.
[05:48.000 --> 05:51.000]  Don't miss out on the all new upgrade to your favorite product.
[05:51.000 --> 05:56.000]  Head to infowarstore.com and get the real Red Pill Plus today.
[05:56.000 --> 06:00.000]  Get real Red Pill Plus now at 50% off.
[06:00.000 --> 06:16.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the info war.
[06:16.000 --> 06:42.000]  It has been said that incredible times, perilous times, dangerous times, tumultuous times are what make men.
[06:42.000 --> 06:51.000]  Many historians have made that point that it's not so much even the individual, but it's the circumstances that make them great when they make the right decision.
[06:51.000 --> 07:01.000]  And I am quite frankly very, very proud at a fundamental level, not in a worldly, proudly way, but just proud that I've at least stood up to the tyrants,
[07:01.000 --> 07:14.000]  been effective against them and stood up to their attacks and quite frankly that they've opened up such mega massive attacks against us, the free press, really only illustrates how right I was 23 years ago when I first got on air.
[07:14.000 --> 07:28.000]  And the fact that quite frankly, the only way I was wrong was not realizing just how evil our adversaries were, that the places I was incorrect was underestimating just how bad the rot was, just how vicious they are.
[07:28.000 --> 07:36.000]  I've started seeing bumper stickers all over Austin, I even shot some video yesterday of middle class looking white people.
[07:36.000 --> 07:47.000]  It's white people. I've seen eight different cars. I've got video twice with a pentagram saying hashtag resist hashtag in a local resistance group.
[07:47.000 --> 07:49.000]  So they're they're decloaking right now.
[07:49.000 --> 07:58.000]  Communist marches all over devil worshipers coming out of the woodwork. I mean, boom pentagram, resist, take out Trump, take out Jones, take us out.
[07:58.000 --> 08:10.000]  They are uncloaking. Hundreds of thousands of Irish liberals got on airplanes to fly back who were expats, but hadn't get up to citizenship to vote to kill babies.
[08:10.000 --> 08:18.000]  This is a sacrament and a religion of these people. The demonic evil is spreading. Let me give you the big announcements.
[08:18.000 --> 08:20.000]  It's now 12 people.
[08:20.000 --> 08:28.000]  Well, Caputo, you know, well known all over national news. He came on Monday and said the FBI was particularly targeting in force.
[08:28.000 --> 08:40.000]  We've now talked to others and they have specifically said that we know Jones is the mastermind with Roger Stone running the entire conspiracy with which he leaks in the election.
[08:40.000 --> 08:50.000]  And these people are like army officers, lawyers, campaign people, car drivers that have never even met me or know me.
[08:50.000 --> 09:02.000]  And the FBI is like, we're going to get you if you don't say Jones is the mastermind. I mean, I can't believe the government's even that criminal myself.
[09:02.000 --> 09:11.000]  And I talked to an army officer who's going to be coming on next segment and they said, we know you go to Austin. We know you're in the room with Jones.
[09:11.000 --> 09:18.000]  When you make those calls, we know you're cooked all this up. We, you know, we understand blah, blah, blah. This is reach the next level.
[09:18.000 --> 09:23.000]  So just like Tommy Robinson came on here a few months ago and he said, my time's limited. They're getting ready to put me in prison.
[09:23.000 --> 09:28.000]  They've told me they're going to kill me in prison. He's in prison. The judge ordered it be secret.
[09:28.000 --> 09:34.000]  There are demonstrations from Australia to Germany. I hear some are coming today here in the U.S.
[09:34.000 --> 09:44.000]  Activist journalists had exposed massive pedophile rings, simply went out and reported that there was a grooming trial going on.
[09:44.000 --> 09:48.000]  And so now he's disappeared. Here's what Katie Hopkins had to say.
[09:48.000 --> 09:58.000]  Lest we forget in this particular trial, 29 accused, 170 charges, 18 girls, one just 11 years old.
[09:58.000 --> 10:08.000]  Where was swift justice when our girls lay bleeding? That's just one mass gang rape in case where it turns out the police and government have been documented as protecting it for years.
[10:08.000 --> 10:13.000]  Tommy was the first person to expose this. Then Katie Hopkins, she had to basically leave the country over it.
[10:13.000 --> 10:18.000]  They'll arrest you for even reporting this. And even Fox is reported.
[10:18.000 --> 10:26.000]  It is illegal to report that there's even a trial. And it's illegal to say Tommy Robinson has even disappeared.
[10:26.000 --> 10:35.000]  This all ties in. And we had the exclusive yesterday with his manager, the guy that's really helped take Tommy to the next level with equipment, editing, all of it.
[10:35.000 --> 10:44.000]  Mr. Robert's son, not Robinson, Mr. Robertson, he's to give us an update today or tomorrow. We have more exclusive intel on that coming up of him in prison.
[10:44.000 --> 10:54.000]  He has not been attacked yet. They have put him in an area where he is not in solitary confinement, but he is in the corner of the prison and is basically being protected.
[10:54.000 --> 11:04.000]  Well, of course, they know if he gets killed now, like they tried the last few times, they put him in prison where they beat him almost half to death and try to throw bleach on him.
[11:04.000 --> 11:15.000]  You know, the asset attack, all of that he survived. Now they got him in an area where he won't get killed because that would really blow up in their face.
[11:15.000 --> 11:23.000]  Thousands and thousands and thousands march, climb the gates at 10 downing all over the place. The media had some reports, then that got delisted.
[11:23.000 --> 11:26.000]  It's called delisted.
[11:26.000 --> 11:37.000]  To denotice, means delisted, for national security. It's not even a court order now. It's national security to protect the pedophiles because they deny this was happening and now it's all breaking.
[11:37.000 --> 11:43.000]  But the Islamic groups are protected in some of their cultures, not all Islamic culture, but some of the Pakistan, some of the North Africa.
[11:43.000 --> 11:48.000]  They sell people into slavery. North Africa is selling folks into slavery right now.
[11:48.000 --> 11:59.000]  Women are being sold in cages. Black people are being sold in cages again because we learned the slave trade from certain Arab slave traders 500 years ago, the transatlantic slave trade.
[11:59.000 --> 12:07.000]  So they got a big problem. The left does because Hillary helped do all this. Now it's unfolding and now folks are understanding what's happening.
[12:07.000 --> 12:11.000]  So all this is going to tie together when we come back from break.
[12:11.000 --> 12:20.000]  Lewis Faircott knows what's going on. Rand Paul's in on the loop. Lewis Faircott invited me to his home two years ago.
[12:20.000 --> 12:28.000]  He told me, he said, I like Trump overall. I believe he means change. I believe he's an anomaly. I believe the establishment is out to get him.
[12:28.000 --> 12:34.000]  And he said, but then he even said some of that on tape. No media coverage because it didn't fit the narrative.
[12:34.000 --> 12:41.000]  Well, I saw the information Saturday, tweeted it out, it's been picked up, right? Bart Rudd's reports picked it up.
[12:41.000 --> 12:51.000]  Lewis Faircott gave him a backhanded compliment so they won't be destroyed like Kanye or like they attempted, admitting that he's really helping black people and the average American.
[12:51.000 --> 13:01.000]  Because that's where this is going. And if Farrakhan flips on the left and the rest of the folks follow Kanye's example, the globalists are done.
[13:01.000 --> 13:12.000]  Because just like they use the Islamic vote as a block for socialism and globalism in Europe, even 10% Islam wins all the elections because it throws it to whatever party sides with them.
[13:12.000 --> 13:23.000]  The black votes 90 plus percent historically for the Democrats, they lose that. They lose every election. The whole country goes red.
[13:23.000 --> 13:31.000]  And Farrakhan knows the truth. I've had three hour discussions with him and the leadership of the nation of Islam.
[13:31.000 --> 13:38.000]  And they wanted to keep talking. I wasn't rude. I'd been up since five in the morning and it was like 11 at night. I said, sir, I've got to go.
[13:38.000 --> 13:44.000]  And then he is about to be back up and I've just been under such globalist attack. I haven't been able to even leave Austin.
[13:44.000 --> 13:55.000]  I do want to be with Farrakhan because they cut out a context. What he says, I don't endorse all of it, but the guy really is smart. I mean, he's mega smart, incredibly eloquent.
[13:55.000 --> 14:06.000]  And I think in his age has really like wine has gotten better. And I didn't say much when he was talking because the guy knows what he's talking about. Historically, you name it, that he is an anomaly.
[14:06.000 --> 14:14.000]  And so he gets Trump as an anomaly. And when Lewis Farrakhan comes out and starts endorsing Trump, we're going to play that clip coming up. You know its seismic change.
[14:14.000 --> 14:24.000]  So you've got globalists trying to stop the Korean peace deal. That's coming back like we said it would. We've got everything happening right now.
[14:24.000 --> 14:31.000]  You've got people being arrested for exposing pedophile rings because these Islamic groups are delivering it to the British aristocracy.
[14:31.000 --> 14:43.000]  They just create the holding cells basically. They create the reservoirs, the stables. The Islamic term would be the harems of the little kids.
[14:43.000 --> 14:51.000]  And then the British aristocracy are the ones having sex with them. And that's now broke the last month. That's why the British government said no more.
[14:51.000 --> 15:03.000]  They are shutting it all down. So we're not just attacking Islam here. It's evil groups hunger for this throughout history to corrupt people. It's a form of Satanism to destroy the youth.
[15:03.000 --> 15:12.000]  Abortion is a form of Satanism. It's all about killing the life force, stealing it, snuffing out a future. This is the true Aleister Crowley crap we face.
[15:12.000 --> 15:21.000]  You look at John Podesta, these top Democrats, Jay-Z, they all on record practice, Crowley and magic. We are fighting devil worshipers.
[15:21.000 --> 15:28.000]  I told you about the Nexium cult and Obama and all of them, six months before it broke.
[15:28.000 --> 15:36.000]  Nothing post said how dare Jones claim top Democrats are torturing women and branding them in cults. I knew all about it. I didn't want to be the first and get sued.
[15:36.000 --> 15:48.000]  I know a lot more. That's why they're scared. And the man joining us on the other side, an army officer, who soon will reveal his identity, has been visited and basically raided by the FBI.
[15:48.000 --> 15:59.000]  The FBI is raiding people, grabbing their phones, grabbing their computers and saying, you're going to say Alex Jones and Roger Stone are the masterminds for Trump. It's incredible.
[15:59.000 --> 16:09.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you? I've defended people from the IRS for over 30 years. I've helped thousands and I can help you too.
[16:09.000 --> 16:17.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case. Call 800-34-NO-TAX to finally get free of IRS debt.
[16:17.000 --> 16:29.000]  With the IRS's new programs, there's never been a better time to solve your problem. Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[16:48.000 --> 17:02.000]  I tried other brands, but I came back to my sunshine.
[17:02.000 --> 17:07.000]  For the best hot or cold pain relief, get the best. Get a Sunny Bay heating pad.
[17:07.000 --> 17:12.000]  Sometimes life can be a pain in the neck, or back, or shoulder.
[17:12.000 --> 17:21.000]  And the best relief for that pain is a Sunny Bay heating pad. Did you know that the American College of Physicians said that one of the best ways to treat muscle pain is heat therapy?
[17:21.000 --> 17:31.000]  Sunny Bay heating pads are handmade with high quality, can be used at home or at work, and have a lifetime 100% positive rating on both Amazon and Etsy.
[17:31.000 --> 17:32.000]  Why take another pill?
[17:32.000 --> 17:36.000]  Many people use our Sunny Bay heating pads alone and got rid of the neck pain.
[17:36.000 --> 17:41.000]  Long distance travel or long hours in front of a computer can take its toll on your body.
[17:41.000 --> 17:44.000]  Our homegrown small business tries to help people just like us.
[17:44.000 --> 17:49.000]  That's why we design and test our handmade products with great care before we introduce them to the public.
[17:49.000 --> 17:57.000]  You can easily find Sunny Bay heating pads on Amazon. Just go to amazon.com and search for Sunny Bay heating pads.
[18:02.000 --> 18:08.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[18:08.000 --> 18:12.000]  where the Chiapas farmers have spent years perfecting their techniques.
[18:12.000 --> 18:17.000]  Based off hundreds of years of traditional techniques and perfect conditions,
[18:17.000 --> 18:23.000]  we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[18:23.000 --> 18:29.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[18:29.000 --> 18:34.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:34.000 --> 18:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:45.000]  You can even choose to start your morning healthier with the immune support blend,
[18:45.000 --> 18:49.000]  infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 18:51.000]  It's time to take care of your morning routine.
[18:51.000 --> 18:58.000]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[18:58.000 --> 19:02.000]  Guaranteeing your food independence is a crucial part of prepping.
[19:02.000 --> 19:07.000]  Between debt crisis, natural disasters, or even simple power outages,
[19:07.000 --> 19:10.000]  having a supply of storable meals is crucial.
[19:10.000 --> 19:13.000]  With infowarstore's life-selects storable food,
[19:13.000 --> 19:17.000]  you can make sure you and your family are ready for any emergency.
[19:17.000 --> 19:22.000]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year,
[19:22.000 --> 19:28.000]  there's no better place to look for healthy, easy, and incredible meals,
[19:28.000 --> 19:35.000]  including meals such as traveler's stew, homestyle potato soup, and a variety of other meals for breakfast, lunch, and dinner.
[19:35.000 --> 19:40.000]  Infowarstore's life-selects storable food will help you eat comfortably in a time of need.
[19:40.000 --> 19:42.000]  They even work great for camping.
[19:42.000 --> 19:49.000]  Simply pack a 72-hour kit to go and you have easy to cook and transport food for you and your loved one's trip.
[19:49.000 --> 19:52.000]  Don't be caught surprised by an emergency.
[19:52.000 --> 19:55.000]  Make sure you're stocked up today with all the food you need
[19:55.000 --> 19:59.000]  for an affordable price with Infowarstore's life-selects storable foods.
[19:59.000 --> 20:27.000]  You're listening to the Alex Jones Show.
[20:27.000 --> 20:33.000]  If you are receiving this transmission, you are the Resistance.
[20:33.000 --> 20:43.000]  Live from the InfoWars.com studios, it's Alex Jones.
[20:43.000 --> 20:47.000]  All across the world on this Memorial Day weekend,
[20:47.000 --> 20:53.000]  people are battling authoritarian, leftist governments that are arresting them
[20:53.000 --> 20:56.000]  for even saying they don't want open borders to radical Islam.
[20:56.000 --> 21:02.000]  Tommy Robinson, who 11 years ago first exposed massive child kidnapping sex rings
[21:02.000 --> 21:06.000]  that were going on right next door to his tanning salon,
[21:06.000 --> 21:09.000]  has spent years in prison, been tortured, attacked.
[21:09.000 --> 21:14.000]  He's back in jail for covering, just saying a trial was happening.
[21:14.000 --> 21:20.000]  Lest we forget, 29 accused, 170 charges, 18 girls, one just 11 years old.
[21:20.000 --> 21:23.000]  Where was Swift Justice when our girls lay bleeding?
[21:23.000 --> 21:27.000]  A judge has ordered no coverage of it.
[21:27.000 --> 21:36.000]  In the UK, hundreds of articles, BBC, Sky Television, that's Fox, removed it.
[21:36.000 --> 21:38.000]  Unbelievable.
[21:38.000 --> 21:44.000]  And then Tommy Robinson, incredible courage.
[21:44.000 --> 21:47.000]  He said, privately in on there, he said, anytime I'm scared even though I have kids,
[21:47.000 --> 21:50.000]  he really took my house, everything from me.
[21:50.000 --> 21:54.000]  He said, I think about those little kids crying when I would see the men putting them in cars
[21:54.000 --> 21:57.000]  with other men to be taken away to be raped.
[21:57.000 --> 22:00.000]  Every time he saw them, he sat there for a year.
[22:00.000 --> 22:04.000]  So he started physically fighting them and calling the police demanding,
[22:04.000 --> 22:06.000]  look, they're loading children in cars.
[22:06.000 --> 22:09.000]  He went and found their parents, they were all poor white people.
[22:09.000 --> 22:14.000]  And they said, we're, they'll take our kids if we stop them.
[22:14.000 --> 22:16.000]  The CPS will.
[22:16.000 --> 22:20.000]  You imagine a movie like that and all of it's come out.
[22:20.000 --> 22:22.000]  All of it's been documented.
[22:22.000 --> 22:23.000]  Tommy wasn't a hero.
[22:23.000 --> 22:24.000]  He's not even a big guy.
[22:24.000 --> 22:29.000]  It's like five eight, but he kicks the butt of like six, seven, eight anti for guys at one time
[22:29.000 --> 22:32.000]  because he's got right on his side when they physically attack him.
[22:32.000 --> 22:38.000]  And now he's in a prison and people are angry and they're protesting all over the western world
[22:38.000 --> 22:44.000]  because finally the straw has broken the camel's back.
[22:44.000 --> 22:47.000]  And the pedophile rings that run the British government, the Vatican, all of it.
[22:47.000 --> 22:48.000]  It's all coming out.
[22:48.000 --> 22:50.000]  The deputy published being tried for pedophilia right now.
[22:50.000 --> 22:54.000]  A hundred plus traffic children, just like we see here.
[22:54.000 --> 22:58.000]  Just like this case.
[22:58.000 --> 23:01.000]  This is the cult we're facing and it's going down and it's scared.
[23:01.000 --> 23:04.000]  So I'm honored to be sued by Hillary and the globalists and all the lies.
[23:04.000 --> 23:08.000]  I'm honored to have 300,000 plus articles against me the last two and a half years.
[23:08.000 --> 23:12.000]  I'm honored to have them because I know they're the bad guys and I'm standing against them.
[23:12.000 --> 23:21.000]  That said, I have now talked to four or five of the 13 people that the FBI has in some cases
[23:21.000 --> 23:25.000]  raided their offices, grabbed them off airplanes, grabbed them out of a parking lot.
[23:25.000 --> 23:29.000]  And they're about to go out on a boat to go fishing after day and Sarasota, Florida,
[23:29.000 --> 23:34.000]  about to talk to that man for the rest of the hour than Roger Stone's joining us saying,
[23:34.000 --> 23:36.000]  Oh, you're a mastermind.
[23:36.000 --> 23:38.000]  Alex Jones is with Roger Stone.
[23:38.000 --> 23:40.000]  You're all coordinating with each other.
[23:40.000 --> 23:44.000]  Even though I've never had Zach here, Zach's been calling in for a year and a half.
[23:44.000 --> 23:48.000]  When he laid out stuff that I got from the hostage rescue team about the Islamists
[23:48.000 --> 23:50.000]  and the three women in the hotel room and all the rest of it.
[23:50.000 --> 23:51.000]  It's now confirmed.
[23:51.000 --> 23:53.000]  There were at least the police reports yesterday.
[23:53.000 --> 23:57.000]  Laura Loomer reported on it for dangerous.com.
[23:57.000 --> 24:01.000]  When he started saying stuff that I was told not to even say on air,
[24:01.000 --> 24:04.000]  but my sources, I only gave out part of it.
[24:04.000 --> 24:06.000]  I knew he was for real.
[24:06.000 --> 24:07.000]  Then he said, yeah, I'm for real.
[24:07.000 --> 24:08.000]  Here's my real name.
[24:08.000 --> 24:11.000]  Army officer, been in the news for six, seven, eight years.
[24:11.000 --> 24:16.000]  People figured out who he was on DSQ, Deep State Q.
[24:16.000 --> 24:18.000]  So they've added him, but tried to twist it.
[24:18.000 --> 24:22.000]  The FBI has already gotten him twice before threatening not to come on.
[24:22.000 --> 24:24.000]  He got his lawyers yesterday.
[24:24.000 --> 24:25.000]  Lawyers came in.
[24:25.000 --> 24:27.000]  He's a prominent guy.
[24:27.000 --> 24:32.000]  And look, he's not supposed to say anything because they say, oh, you're non-disclosure as this persona
[24:32.000 --> 24:36.000]  that you were involved in and psyops for the U.S. military domestically.
[24:36.000 --> 24:38.000]  Well, he's not getting into those psyops.
[24:38.000 --> 24:39.000]  It doesn't get into it with me.
[24:39.000 --> 24:41.000]  I don't know how all that works.
[24:41.000 --> 24:45.000]  He's doing this because we're down to the wire as a citizen.
[24:45.000 --> 24:50.000]  He's now been grabbed by the FBI to then be threatened to lie about me.
[24:50.000 --> 24:51.000]  He got in their face.
[24:51.000 --> 24:55.000]  So he's going to lay it all out for you right now.
[24:55.000 --> 24:57.000]  But I want to spend a few minutes before we do in the next two segments,
[24:57.000 --> 25:00.000]  Zach commending your courage, appreciate what you're doing,
[25:00.000 --> 25:03.000]  coming up against the Deep State, everybody else.
[25:03.000 --> 25:06.000]  And soon you'll reveal your full name that they already know,
[25:06.000 --> 25:09.000]  the Globalist Office already know, they're already after you everywhere.
[25:09.000 --> 25:14.000]  Just into the climate we're in, Farrakhan basically coming out and endorsing Trump in a backhanded move.
[25:14.000 --> 25:18.000]  He told me personally he knew the truth but didn't know how to broach it to people.
[25:18.000 --> 25:21.000]  I had dinner with him, hung out with him all day.
[25:21.000 --> 25:22.000]  I mean, I already broke that years ago.
[25:22.000 --> 25:25.000]  We have the video, but no one will cover it because it doesn't fit the narrative.
[25:25.000 --> 25:27.000]  Rand Paul, all of this.
[25:27.000 --> 25:28.000]  Trump's for real.
[25:28.000 --> 25:29.000]  He's a pragmatist.
[25:29.000 --> 25:30.000]  He's not out to get America.
[25:30.000 --> 25:34.000]  We got a few minutes to break, but just how big is the historic moment we're at?
[25:34.000 --> 25:36.000]  As you told me this morning, you're dead right.
[25:36.000 --> 25:39.000]  All the crimes of the Deep State, the criminal cabal that's been in control,
[25:39.000 --> 25:42.000]  they're fighting for their lives right now and it's getting crazy.
[25:42.000 --> 25:51.000]  Because again, 13 people raided by the FBI in association with Info Wars.
[25:51.000 --> 25:53.000]  Info Wars being one of the main topics.
[25:53.000 --> 25:56.000]  And Zach, other than Mike Caputo came on Monday,
[25:56.000 --> 25:58.000]  is the only person that has the will to come on.
[25:58.000 --> 26:00.000]  I'm in the others, but Zach, we appreciate you.
[26:00.000 --> 26:03.000]  Go ahead.
[26:03.000 --> 26:13.000]  Could we imagine a world where Lewis Farrakhan and Allie Jones provide reason?
[26:13.000 --> 26:16.000]  How could that be?
[26:16.000 --> 26:18.000]  How could that be?
[26:18.000 --> 26:27.000]  Because we're dealing with an FBI in the DOJ that is so raw, that is so out of control.
[26:27.000 --> 26:33.000]  The same DOJ and FBI that pulled me off the boat that questioned me for four hours.
[26:33.000 --> 26:38.000]  And put Alex Jones at the center of the questioning.
[26:38.000 --> 26:39.000]  How could that be?
[26:39.000 --> 26:41.000]  Alex, you know you're not a mastermind.
[26:41.000 --> 26:48.000]  You know you're not doing anything, but in their own world, it's Alex Jones
[26:48.000 --> 26:52.000]  at the center of the entire cabal.
[26:52.000 --> 26:55.000]  It's Alex Jones that reached out and talked to Roger Stone.
[26:55.000 --> 26:57.000]  It's Alex Jones who won the election.
[26:57.000 --> 27:00.000]  It's Alex Jones who talked to Zach.
[27:00.000 --> 27:03.000]  It's Alex Jones who made everything happen.
[27:03.000 --> 27:05.000]  How dare you?
[27:05.000 --> 27:06.000]  How dare you?
[27:06.000 --> 27:07.000]  And how dare you?
[27:07.000 --> 27:11.000]  And I'm talking to the FBI agents right now who I talked to.
[27:11.000 --> 27:16.000]  If you want me, if you really want me, and we're in a fist fight, I'll slap you in the mouth.
[27:16.000 --> 27:20.000]  And if you're ready to put shots down range, let's get it.
[27:20.000 --> 27:22.000]  Because I'm not having it.
[27:22.000 --> 27:25.000]  It's so problematic.
[27:25.000 --> 27:29.000]  Are we going to sit here and act like Libya didn't happen?
[27:29.000 --> 27:31.000]  9-11 didn't happen.
[27:31.000 --> 27:33.000]  Vegas didn't happen.
[27:33.000 --> 27:35.000]  You picked the wrong one.
[27:35.000 --> 27:40.000]  The conspiracy crescendo has erupted.
[27:40.000 --> 27:41.000]  Period.
[27:41.000 --> 27:43.000]  And now it's on our shoulders.
[27:43.000 --> 27:51.000]  9-11, Vegas, Libya.
[27:51.000 --> 27:55.000]  And I'm pausing on purpose.
[27:55.000 --> 27:57.000]  It has to come to fruition.
[27:57.000 --> 27:59.000]  And I will prove it.
[27:59.000 --> 28:03.000]  And if you're trying to out me, we'll see how it works.
[28:03.000 --> 28:05.000]  Period.
[28:05.000 --> 28:10.000]  Well, we'll get into much as you can with the FBI, not as your position working in the government.
[28:10.000 --> 28:11.000]  I'll tire it up. I'm sorry.
[28:11.000 --> 28:12.000]  No, I understand.
[28:12.000 --> 28:14.000]  We're not going to get into your position in the government.
[28:14.000 --> 28:15.000]  Anything classified.
[28:15.000 --> 28:17.000]  We're just going to get into what the FBI is doing, what they're saying.
[28:17.000 --> 28:18.000]  And it's not the FBI.
[28:18.000 --> 28:22.000]  This is the rogue, as you said, criminal elements that are mad dog out of control.
[28:22.000 --> 28:26.000]  The left chose me to demonize Trump during the election, elevated me to a higher level.
[28:26.000 --> 28:34.000]  They now believe their own BS and think that I and Roger Stone, they're not sure who, run everything.
[28:34.000 --> 28:36.000]  When I talk to Trump, he just says, good job, Alex.
[28:36.000 --> 28:38.000]  Let me tell your wife how great she is.
[28:38.000 --> 28:39.000]  It's ridiculous.
[28:39.000 --> 28:42.000]  Trump is running the operation.
[28:42.000 --> 28:45.000]  Top generals are involved.
[28:45.000 --> 28:48.000]  You mean to list their names? You moron FBI agents?
[28:48.000 --> 28:49.000]  It's not General Flynn.
[28:49.000 --> 28:55.000]  He was sent in on a mission by the former head of the National Security Council, by others.
[28:55.000 --> 29:24.000]  We'll be right back. Stay with us.
[29:26.000 --> 29:31.000]  You have been lied to.
