[00:00:00.250 --> 00:00:00.350]  What?
[00:01:29.938 --> 00:01:32.060]  Publisher says Ron Paul is truly dangerous.
[00:01:33.826 --> 00:01:40.469]  We've got Krauthammer, who's an embarrassing person, coming out and talking about embarrassing candidates.
[00:01:40.469 --> 00:01:42.910]  Ron Paul is embarrassing them.
[00:01:42.910 --> 00:01:44.771]  He's against all the corporate welfare.
[00:01:44.771 --> 00:01:49.433]  He actually doesn't want to be, you know, he wants to keep the Constitution and not have military on the streets.
[00:01:49.433 --> 00:01:56.096]  Oh, but like the New York Times, others say, it's kooky that Ron Paul's worried about troops on the streets, even as they set up checkpoints all over the country.
[00:01:57.406 --> 00:02:00.387]  Local newspapers are reporting, oh, there's military checkpoints.
[00:02:00.387 --> 00:02:04.569]  Oh, drones are tracking citizens now in North Dakota.
[00:02:04.569 --> 00:02:08.351]  But it's still kooky.
[00:02:08.351 --> 00:02:21.437]  It is, and I don't think I can be explained by anything that the president has done in a positive way, syndicated columnist Krauthammer.
[00:02:21.437 --> 00:02:22.398]  I'm sorry, I couldn't hear you.
[00:02:23.593 --> 00:02:24.654]  Oh, wonderful.
[00:02:24.654 --> 00:02:26.656]  Hey, Governor Ventura!
[00:02:26.656 --> 00:02:28.538]  I appreciate you calling in.
[00:02:28.538 --> 00:02:31.261]  I know we talked yesterday and you said you'd pop in for 10 minutes.
[00:02:31.261 --> 00:02:32.562]  Good to talk to you.
[00:02:32.562 --> 00:02:34.083]  Oh, it's good to talk to you, Alex.
[00:02:34.083 --> 00:02:35.365]  How's it going?
[00:02:35.365 --> 00:02:36.205]  It's going great.
[00:02:36.205 --> 00:02:40.570]  We're about to go to break and come back, and I appreciate you giving us 10 minutes when I twisted your arm yesterday.
[00:02:40.570 --> 00:02:46.776]  I know you weren't sure when you could call in, but I wanted to get into Ron Paul with you since we were talking about him yesterday on the phone.
[00:02:47.389 --> 00:02:51.695]  Well, well, why don't you go to break like you're supposed to and come back and we'll talk Ron Paul.
[00:02:51.695 --> 00:02:52.856]  Oh, absolutely, and I'll tell you why.
[00:03:03.630 --> 00:03:13.673]  He's the only candidate out there, including President Obama, who naturally is going to represent the Democrats, of course, and all of these Republican candidates.
[00:03:13.673 --> 00:03:16.933]  He's the only candidate that is anti-war.
[00:03:16.933 --> 00:03:28.496]  And this country better wake up to the fact that we've... You know, Alex, I'm 60 years old now, and we have been at war for over half of my life.
[00:03:28.496 --> 00:03:30.197]  And they act like it's bizarre,
[00:03:32.768 --> 00:03:35.591]  Newt Gingrich says he's out of mainstream.
[00:03:35.591 --> 00:03:37.273]  This guy's out of touch.
[00:03:37.273 --> 00:03:41.798]  Well, if he is, then we are a country of war.
[00:03:41.798 --> 00:03:43.079]  But I don't believe so.
[00:03:43.079 --> 00:03:46.803]  I believe there's an underlying unrest in this country right now.
[00:03:46.803 --> 00:03:48.064]  That we're tired of war.
[00:03:48.064 --> 00:03:49.566]  We're sick of it.
[00:03:49.566 --> 00:03:55.252]  And I guarantee you, pretty much, if any of these other guys get elected, you're gonna see a war with Iran.
[00:03:56.894 --> 00:04:01.615]  Oh, you're right, and I want you to repeat all this, recap it, and expand on it.
[00:04:01.615 --> 00:04:03.496]  This is about the heart and soul of America.
[00:04:03.496 --> 00:04:07.737]  Another preemptive war, lying and saying another country has nukes.
[00:04:07.737 --> 00:04:19.221]  It's a total replay of what we saw with Iraq, and Ron Paul is just talking total common sense, and they're acting like that's bizarre, kind of like somebody, I guess, in 1939, if you criticize Hitler.
[00:04:20.621 --> 00:04:30.653]  I can't believe, I watched the debate and it was interesting a couple weeks ago where he got into a battle with Michelle Bachmann and Ron Paul made a great statement.
[00:04:30.653 --> 00:04:36.180]  He said, imagine where would we be today had John F. Kennedy not talked to us.
[00:04:40.726 --> 00:04:44.027]  Let's start over right there, Governor.
[00:04:44.027 --> 00:04:48.088]  We've only got him for 10 minutes on the other side.
[00:04:48.088 --> 00:04:52.469]  We really appreciate him joining us today.
[00:04:52.469 --> 00:04:53.249]  Surprise guest.
[00:05:01.195 --> 00:05:02.897]  Hi folks, this is Alex Jones.
[00:05:02.897 --> 00:05:08.204]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:05:08.204 --> 00:05:09.747]  Saving means to make money.
[00:05:09.747 --> 00:05:18.538]  The Calvin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:05:19.259 --> 00:05:26.805]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:26.805 --> 00:05:34.812]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:34.812 --> 00:05:40.036]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:05:40.036 --> 00:05:42.198]  Getting a free catalog is easy by calling 800-340-7091.
[00:05:44.960 --> 00:05:48.183]  Or see Calvin on the web at FiveStarSoap.com.
[00:05:48.183 --> 00:05:50.545]  Take charge of your health now by calling 800-340-7091.
[00:05:50.545 --> 00:05:52.687]  Or see Calvin on the web at FiveStarSoap.com.
[00:06:05.947 --> 00:06:07.649]  Mainstream media.
[00:06:07.649 --> 00:06:08.871]  Government cover-ups.
[00:06:08.871 --> 00:06:10.253]  You want answers?
[00:06:10.253 --> 00:06:12.537]  Well, so does he.
[00:06:12.537 --> 00:06:16.743]  He's Alex Jones on the GCN Radio Network.
[00:06:16.743 --> 00:06:20.849]  And now, live from Austin, Texas, Alex Jones.
[00:06:22.148 --> 00:06:25.911]  All right, joining us for one segment is Governor Jesse Ventura.
[00:06:25.911 --> 00:06:29.033]  He's getting ready to go down to Mexico, so he's in a hurry.
[00:06:29.033 --> 00:06:36.699]  But I was talking to him privately yesterday about what's happening in the world, trying to find out if he's going to be running for Libertarian.
[00:06:36.699 --> 00:06:39.040]  And he just wanted to talk about Ron Paul.
[00:06:39.040 --> 00:06:42.183]  So he's here to talk about Ron Paul in this one segment.
[00:06:42.183 --> 00:06:49.168]  And then Dr. Doug Rockey joins us, former Minnesota governor, host of the hit TV show on TruTV, conspiracy theory, best-selling author.
[00:06:50.190 --> 00:06:53.661]  Jesse Ventura joins us for one segment.
[00:06:53.661 --> 00:06:55.948]  Governor, we have both parties...
[00:06:56.963 --> 00:07:09.333]  Hundreds of publications, New York Times, CBS Nightly News, all attacking Ron Paul and saying he's nuts because he doesn't want to attack more countries with made-up WMD stories.
[00:07:09.333 --> 00:07:14.898]  They openly have gotten rid of posse comitatus and are announcing secret arrest of citizens with the NDAA.
[00:07:14.898 --> 00:07:19.642]  They're in the news saying it's insane that he doesn't want troops on the streets.
[00:07:19.642 --> 00:07:20.903]  All of this is happening.
[00:07:21.423 --> 00:07:23.345]  Well, it's as simple as this, I think.
[00:07:23.345 --> 00:07:26.187]  If people truly are looking for an attempt at change in this country, changing who we are,
[00:07:45.725 --> 00:07:46.327]  I don't know.
[00:07:57.691 --> 00:07:58.792]  We're good to go.
[00:08:31.213 --> 00:08:33.415]  And I think about it for a minute.
[00:08:33.415 --> 00:08:34.756]  I'm 60 years old now.
[00:08:34.756 --> 00:08:35.937]  I was born in 1951.
[00:08:35.937 --> 00:08:39.801]  And this country has been at war for its life.
[00:08:57.023 --> 00:09:01.287]  Over 30 years of those 60 years we've been at war.
[00:09:01.287 --> 00:09:07.592]  And if you look at the other candidates, Ron Paul served in the Navy during the Cuban Missile.
[00:09:07.592 --> 00:09:10.854]  But you look at the other candidates, did any of them ever serve?
[00:09:10.854 --> 00:09:14.137]  Did any of them ever put their butts on the line?
[00:09:14.137 --> 00:09:16.699]  Did they ever go in the military?
[00:09:16.699 --> 00:09:17.400]  I don't think so.
[00:09:17.400 --> 00:09:20.102]  You know, I don't know for sure, but I don't
[00:09:21.334 --> 00:09:33.916]  I'd love to see the military backgrounds of Gingrich, and of the guy from Massachusetts, Romney, and you know, right on down the line with all of them.
[00:09:33.916 --> 00:09:41.598]  And the point of the matter is, they call Ron Paul's foreign policy scary, I call our foreign policy scary.
[00:09:41.598 --> 00:09:43.318]  What it's on right now.
[00:09:43.318 --> 00:09:50.099]  Because all we do is go to war, one after another after another, and I'm one of the people, being a veteran who says,
[00:09:52.182 --> 00:09:55.645]  Well, polls show that upwards of 70% of Americans are against all of this.
[00:09:55.645 --> 00:10:02.650]  The troops give more money to Ron Paul than all of the Republican candidates combined and Obama combined.
[00:10:02.650 --> 00:10:06.973]  And the media spins it and says, Ron Paul disgraces the troops.
[00:10:06.973 --> 00:10:08.394]  The troops don't like Ron Paul.
[00:10:08.394 --> 00:10:10.816]  It's all a hoax.
[00:10:10.816 --> 00:10:20.103]  And more and more, the so-called mainstream media is being exposed as a bunch of political prostitutes who are losing all their readers and viewers.
[00:10:22.028 --> 00:10:30.255]  I mean, if you look at how they avoid talking about Dr. Paul, he can be leading in the polls and they don't do in-depth stories on him.
[00:10:30.255 --> 00:10:31.696]  Nothing like that.
[00:10:38.933 --> 00:10:40.014]  We're good to go.
[00:11:06.425 --> 00:11:13.535]  We seem to be living... If you don't do it our way, well then our way will be we will wage war on you.
[00:11:13.535 --> 00:11:17.500]  I mean, look what they're doing in this little strip of ocean over there.
[00:11:17.500 --> 00:11:20.324]  Iran's threatening to block it off, and the U.S.
[00:11:20.324 --> 00:11:22.767]  has already threatened if Iran does that, we're gonna
[00:11:25.175 --> 00:11:26.255]  And look what's happening.
[00:11:26.255 --> 00:11:35.698]  Iran, who imports 50 plus percent of its gasoline, they don't have the refineries, it's been announced they're going to shut that off to them, devastating them.
[00:11:35.698 --> 00:11:39.700]  And they say, OK, if you shut us off, we'll shut off our territorial waters.
[00:11:39.700 --> 00:11:40.520]  So yesterday,
[00:11:41.380 --> 00:11:42.200]  They sent a U.S.
[00:11:42.200 --> 00:11:52.524]  aircraft carrier through the giant Iranian drill as a provocation, and the Pentagon has said, if you block it, we will attack you.
[00:11:52.524 --> 00:11:58.325]  But the West, as Ron Paul has said, is already putting these sanctions on and blockades.
[00:11:58.325 --> 00:12:00.786]  You're a Navy guy, and Ron Paul's pointed it out.
[00:12:00.786 --> 00:12:03.547]  That is an act of war right there, a blockade.
[00:12:03.547 --> 00:12:07.628]  Absolutely, and what it does is people go back in history.
[00:12:07.628 --> 00:12:09.549]  We did the same thing to Japan.
[00:12:10.589 --> 00:12:12.451]  They blockaded Japan.
[00:12:12.451 --> 00:12:19.557]  They stopped all, you know, a total blockade in the country of Japan, which forced Japan truly to then attack us.
[00:12:19.557 --> 00:12:21.599]  They were left with two choices.
[00:12:21.599 --> 00:12:23.661]  Surrender or attack.
[00:12:23.661 --> 00:12:25.243]  Japan chose the latter.
[00:12:25.243 --> 00:12:27.885]  They chose to attack us at Pearl Harbor.
[00:12:27.885 --> 00:12:31.849]  But a lot of people forget we forced their hand at Pearl Harbor by the blockade.
[00:12:36.261 --> 00:12:53.561]  We're blockading them, we're forcing their hand, and all of these candidates just wait and hope that Iran will do something, that Iran will respond, so that then they can all stand up there and say, see, we told you, all the problems of the world are because of Iran.
[00:12:54.897 --> 00:12:56.898]  Yeah, now we're getting them.
[00:12:56.898 --> 00:13:02.381]  Meanwhile, our government, as you know, has overthrown them at least two times, evidence of a third as well.
[00:13:02.381 --> 00:13:13.226]  Shifting gears here, because it's the top of Drudge Report right now, Kelly Clarkson, the American Idol winner, which is about as big as it gets nowadays in America, says she loves Ron Paul.
[00:13:13.226 --> 00:13:18.929]  It's a big deal when prominent celebrities, not just governors, that's even more important, endorse Ron Paul.
[00:13:18.929 --> 00:13:21.410]  I haven't seen any news where they've been, you know,
[00:13:22.550 --> 00:13:29.011]  Given your support to Ron Paul, do you want to publicly state, Governor Ventura, that you are endorsing Ron Paul?
[00:13:29.011 --> 00:13:30.632]  Absolutely!
[00:13:30.632 --> 00:13:38.293]  I mean, I'm an independent, and I don't, you know, get involved with either political party, because I despise both of them.
[00:13:38.293 --> 00:13:48.075]  But out of all the candidates out there in these two major parties right now, that's the President with the Democrats, and there's seven or eight Republicans, whoever they all are.
[00:13:48.075 --> 00:13:49.836]  I mean, I know who they are, but why list them?
[00:13:51.636 --> 00:13:51.716]  Yes.
[00:14:19.850 --> 00:14:29.137]  What a dangerous precedent where both political party leadership say, anybody who could ever potentially be a threat, we've got to preemptively attack them.
[00:14:29.137 --> 00:14:30.618]  That's what Hitler said.
[00:14:30.618 --> 00:14:38.804]  He said, I've got to attack France and I've got to attack Poland and I've got to attack England and the Russians because they might attack us.
[00:14:38.804 --> 00:14:40.766]  I mean, that's what tyrants always say.
[00:14:57.158 --> 00:15:01.802]  Listen, he fears that we could attack them at any moment because he kicked our ex on.
[00:15:01.802 --> 00:15:06.807]  Well, what if Hugo Chavez went and got one of these unmanned drones?
[00:15:06.807 --> 00:15:15.675]  And what if Hugo Chavez flew that unmanned drone over United States airspace seeking to get intelligence about our war machine?
[00:15:15.675 --> 00:15:18.297]  And what if that drone crashed in our country?
[00:15:18.297 --> 00:15:21.920]  I would like to pose the question to every one of these
[00:15:23.424 --> 00:15:27.506]  Oh, well they would probably actually say attack the country, the Iranians.
[00:16:01.457 --> 00:16:05.481]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:16:05.481 --> 00:16:08.724]  This is our last chance to not relive history.
[00:16:08.724 --> 00:16:13.528]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:16:13.528 --> 00:16:19.914]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:16:19.914 --> 00:16:22.157]  I think it's incumbent upon all of us
[00:16:22.697 --> 00:16:24.178]  Tim Geithner, Bernanke, they're arsonists!
[00:16:24.178 --> 00:16:25.278]  They're asking for more matches!
[00:16:25.278 --> 00:16:27.700]  And the Congress is saying, who do we make the check out to?
[00:16:41.607 --> 00:16:45.969]  Today seems like nobody does care and right now in Washington D.C.
[00:16:45.969 --> 00:16:48.871]  we have seen a fall of the Republic.
[00:16:48.871 --> 00:16:57.995]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:17:00.140 --> 00:17:01.701]  Hi, this is Alex Jones.
[00:17:01.701 --> 00:17:08.007]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:17:08.007 --> 00:17:12.051]  So now is the time to express the holiday spirit more than ever.
[00:17:12.051 --> 00:17:15.634]  Consider helping those you love with the most important gift.
[00:17:15.634 --> 00:17:20.858]  A supply of delicious, easy to fix, and very storable foods from eFoodsDirect.com.
[00:17:21.619 --> 00:17:34.303]  Their Holiday Gift and Family Pack start at $99 for a 16-day supply, while their 5-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:17:34.303 --> 00:17:40.185]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[00:17:40.185 --> 00:17:42.426]  Call eFoods today at 800-409-5633 or visit them online.
[00:17:46.167 --> 00:17:50.052]  At efoodsdirect.com forward slash Alex to find the special.
[00:17:50.052 --> 00:17:56.379]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:17:56.379 --> 00:17:58.742]  You can bet your life on efoods direct.
[00:18:01.075 --> 00:18:02.776]  Hi folks, this is Alex Jones.
[00:18:02.776 --> 00:18:08.078]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:18:08.078 --> 00:18:09.618]  Saving means to make money.
[00:18:09.618 --> 00:18:18.402]  The Calvin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:18:19.142 --> 00:18:26.684]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:18:26.684 --> 00:18:34.685]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:18:34.685 --> 00:18:39.906]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:18:39.906 --> 00:18:42.066]  Getting a free catalog is easy by calling 800-340-7091.
[00:18:44.847 --> 00:18:48.073]  Or see Calvin on the web at FiveStarSoap.com.
[00:18:48.073 --> 00:18:50.437]  Take charge of your health now by calling 800-340-7091.
[00:18:50.437 --> 00:18:52.561]  Or see Calvin on the web at FiveStarSoap.com.
[00:18:59.721 --> 00:19:01.022]  Hi, this is Alex Jones.
[00:19:01.022 --> 00:19:06.629]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:19:06.629 --> 00:19:11.634]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:19:11.634 --> 00:19:16.680]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[00:19:17.200 --> 00:19:22.427]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:19:22.427 --> 00:19:29.555]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:19:29.555 --> 00:19:30.676]  And here's the best part.
[00:19:30.676 --> 00:19:37.044]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:19:37.344 --> 00:19:40.526]  So visit them today at survivalseedbank.com.
[00:19:40.526 --> 00:19:42.747]  That's survivalseedbank.com.
[00:19:42.747 --> 00:19:43.608]  Or give them a call at 877-327-0365.
[00:19:43.608 --> 00:19:43.848]  That's 877-327-0365.
[00:19:43.848 --> 00:19:47.330]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:19:47.330 --> 00:19:49.071]  This is Alex Jones for survivalseedbank.com.
[00:20:01.092 --> 00:20:04.675]  Coast to coast, direct from Austin.
[00:20:04.675 --> 00:20:08.498]  You're listening to the Alex Jones Broadcasting Network.
[00:20:08.498 --> 00:20:17.786]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:20:17.786 --> 00:20:20.348]  You're listening to the Alex Jones Show!
[00:20:28.263 --> 00:20:37.533]  The entire architecture of the COG system is pointed at legitimate constitutional government, the states, the governors, the general public.
[00:20:37.533 --> 00:20:43.619]  You see drones being activated against rural communities in North Dakota for cows on their property.
[00:20:43.619 --> 00:20:49.145]  You see state reps and governors calling for military to be on the streets of Illinois and
[00:20:51.343 --> 00:20:58.667]  Louisiana, it's all happening right now because the world economy is preparing to implode.
[00:20:58.667 --> 00:21:19.500]  It's all part of an organized program that we warned you about 12, 13 years ago when they got rid of Glass-Steagall to sell derivatives to the planet, get the planet to tie into that fraudulent debt and then implode the legitimate governments of this world and fold them into a private corporate banking cartel system that the technocrats and the kleptocrats call the New World Order.
[00:21:20.399 --> 00:21:40.274]  Now, you'll know that two weeks ago, we were sent by state employees documents that were public, but no one had pointed them out, with Kellogg, Brown and Root, who'd been given the contracts, according to Wall Street Journal in 2006, the contracts to build giant FEMA camps for emergencies across America.
[00:21:42.364 --> 00:21:54.597]  Then we got new documents a few weeks ago that they were now getting on 72-hour notice local teams ready of subcontractors to man them on a 72-hour notice or three-day notice.
[00:21:55.717 --> 00:22:08.468]  Then expanding from that point, we received more documents that the Department of Defense was involved, and that FEMA was basically orchestrating the entire operation.
[00:22:08.468 --> 00:22:12.651]  Then today, a frequent caller who gets through on the radio, Angie...
[00:22:14.012 --> 00:22:32.765]  In the Carolinas called and I talked to her off air and she said no, you know, my husband You know works for the Department of Defense, you know, that's why we keep pulling this stuff out to you This is on the official federal government websites for contractors and you need to understand it's it's got blue Group designations.
[00:22:32.765 --> 00:22:36.907]  I went wait up in urban warfare Operations, it's blue and red in Afghanistan.
[00:22:36.907 --> 00:22:39.449]  It's blue and red and they weren't transponders.
[00:22:39.449 --> 00:22:40.330]  He's like that's right.
[00:22:40.330 --> 00:22:42.431]  Here's the document I'm emailing it to you.
[00:22:42.431 --> 00:22:43.032]  It's public
[00:22:43.952 --> 00:22:49.334]  And we went and pulled it up, and sure enough, I recognized everything in there from the drills I've been to.
[00:22:49.334 --> 00:22:52.215]  First one was in 1999.
[00:22:52.215 --> 00:22:57.376]  And the Marines even let us in there in Oakland to their situation area in a big tent.
[00:22:57.376 --> 00:23:01.658]  And it had the red group fighting the blue group, who were the militias.
[00:23:01.658 --> 00:23:07.020]  And then I went in where they were doing interrogations of actors who were playing the part of U.S.
[00:23:07.020 --> 00:23:07.540]  citizens.
[00:23:07.540 --> 00:23:10.621]  And they would ask, where'd you get the weapons?
[00:23:11.281 --> 00:23:11.662]  I don't
[00:23:26.795 --> 00:23:35.224]  Drones and helicopters with pilots with opiate knockout gases in plans to knock out whole cities during insurrection.
[00:23:35.224 --> 00:23:36.545]  And you can pull this up.
[00:23:36.545 --> 00:23:42.411]  The Sunshine Project was threatened and the government said, you know, remove that or we'll come after you.
[00:23:42.411 --> 00:23:44.012]  It was accidentally declassified.
[00:23:44.012 --> 00:23:45.854]  I mean, this is the type of stuff I learned.
[00:23:45.854 --> 00:23:47.896]  And I'm like, we got to warn people.
[00:23:47.896 --> 00:23:49.077]  Now, that said,
[00:23:50.086 --> 00:24:02.658]  We went ahead and talked to Angie Offair and then talked to her husband and I was telling him, sir, we probably don't want to use your name because you work as a civil servant, a former Navy veteran, in the Department of Defense in...
[00:24:04.116 --> 00:24:07.239]  Some pretty highly classified areas and he didn't get any of that with us.
[00:24:07.239 --> 00:24:09.542]  And he said, no, I want to have my name public.
[00:24:09.542 --> 00:24:13.966]  This country is in so much trouble that this stuff's all public.
[00:24:13.966 --> 00:24:16.869]  It's just you don't, people don't know where to look.
[00:24:16.869 --> 00:24:21.033]  That I'm going to go ahead and use my full name and I'm going to go ahead and speak out here because
[00:24:22.134 --> 00:24:24.776]  America's all on the line right now.
[00:24:24.776 --> 00:24:29.699]  I mean, this is really creepy stuff when they're openly passing the NDAA signal arrest U.S.
[00:24:29.699 --> 00:24:30.179]  citizens.
[00:24:30.179 --> 00:24:31.360]  It was on the news today.
[00:24:31.360 --> 00:24:32.921]  They're saying they'll kill U.S.
[00:24:32.921 --> 00:24:34.222]  citizens if they want.
[00:24:34.222 --> 00:24:35.363]  Obama says he'll kill U.S.
[00:24:35.363 --> 00:24:36.684]  citizens in America.
[00:24:36.684 --> 00:24:38.445]  In fact, that was on C-SPAN a few nights ago.
[00:24:38.445 --> 00:24:39.706]  We've got that video.
[00:24:39.706 --> 00:24:41.607]  It's overwhelming what's happening.
[00:24:41.607 --> 00:24:47.791]  And now all over the news, they're saying use the military on the streets to protect the American people.
[00:24:47.791 --> 00:24:49.312]  They're selling us on this.
[00:24:49.312 --> 00:24:51.434]  The TSA is now running checkpoints on highways.
[00:24:52.254 --> 00:24:56.880]  This is classical martial law, as Ron Paul said last Tuesday on my radio show.
[00:24:56.880 --> 00:25:01.246]  The NDAA, the National Defense Authorization Act, is martial law.
[00:25:01.246 --> 00:25:07.414]  So, Joe Joseph works for the Department of Defense in some very highly classified areas.
[00:25:08.135 --> 00:25:12.216]  And Space Enabled Warfare, but we'll leave it at that, because that's all he can say.
[00:25:12.216 --> 00:25:17.557]  And he basically wants to warn the public about what's open intelligence of what's happening.
[00:25:17.557 --> 00:25:23.018]  And he also told me off-air, and he's going to repeat it, a lot of people in the military and Defense Department are awake.
[00:25:23.018 --> 00:25:24.719]  These are good people, by and large.
[00:25:24.719 --> 00:25:34.121]  That's why 70-plus percent of all donations to Republicans and to Obama in this race and the last are to Ron Paul, because they know Ron Paul's telling the truth.
[00:25:34.761 --> 00:25:35.302]  They know.
[00:25:35.302 --> 00:25:41.890]  They had a Bloomberg article two weeks ago, headline, pay this man money so he can fire you.
[00:25:41.890 --> 00:25:44.593]  Was the joke headline, because he says he'll cut government.
[00:25:44.593 --> 00:25:45.955]  The people in government realize.
[00:25:46.992 --> 00:25:48.754]  You've got to get rid of this cancer.
[00:25:48.754 --> 00:25:51.916]  They'd rather be homeless than let this tyranny go through.
[00:25:51.916 --> 00:26:03.506]  So joining us is Joe Joseph, Department of Defense civil servant, to break down the National Continuity Program, NCP program, mission support activities, which is unprecedented.
[00:26:03.506 --> 00:26:07.709]  We have our article that is at InfoWars.com that just went up minutes ago.
[00:26:09.311 --> 00:26:14.438]  Going through all of this that I'll give you the title of right now.
[00:26:14.438 --> 00:26:16.421]  It's military to designate U.S.
[00:26:16.421 --> 00:26:19.606]  citizens as enemies during collapse.
[00:26:19.606 --> 00:26:25.133]  FEMA continuity of government plan prep total takeover of society, dispatching military.
[00:26:25.774 --> 00:26:26.535]  I'm glad to be here, Alex.
[00:26:26.535 --> 00:26:26.695]  Well,
[00:26:51.863 --> 00:27:00.672]  As a civil servant, everybody takes an oath no matter what level of service that you provide to the country.
[00:27:00.672 --> 00:27:07.059]  And it's the same oath that the president takes all the way down to active duty military.
[00:27:07.059 --> 00:27:10.682]  And when you take that oath to support and defend the Constitution,
[00:27:11.750 --> 00:27:15.232]  You're supposed to take it seriously, I guess you could say.
[00:27:15.232 --> 00:27:24.458]  So with that said, it's my duty to provide the people, who are my boss, with information to make them aware.
[00:27:24.458 --> 00:27:30.642]  Because an informed public can really make a difference, but they have to do something.
[00:27:30.642 --> 00:27:37.426]  They can't sit on their hands and just sit there and let this stuff happen, and that's gone on for far too long.
[00:27:37.426 --> 00:27:40.088]  So hopefully, by giving this information out,
[00:27:40.968 --> 00:27:44.873]  We can raise some awareness and get people angry.
[00:27:44.873 --> 00:27:46.314]  And that's really what needs to happen.
[00:27:46.314 --> 00:27:48.056]  I mean, people need to get angry.
[00:27:48.056 --> 00:27:51.360]  We need to see civil disobedience.
[00:27:51.360 --> 00:27:52.461]  You don't have to consent.
[00:27:52.461 --> 00:27:55.044]  Silence is consent in the eyes of the law.
[00:27:55.044 --> 00:27:57.747]  And that's the biggest thing that people need to understand.
[00:27:57.747 --> 00:27:59.830]  Don't be silent anymore.
