[00:00.000 --> 00:17.000]  Big Brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[13:56.000 --> 14:01.000]  He just continues to accomplish things that seem impossible.
[14:01.000 --> 14:03.000]  Now, an interesting ripple in that.
[14:03.000 --> 14:05.000]  There's actually a couple here we're going to get to.
[14:05.000 --> 14:10.000]  Trump sends fewer Mexicans home despite deportation talk.
[14:10.000 --> 14:17.000]  So actually, and I'm wondering where the liberals are going to be on this because Trump hates Mexicans.
[14:17.000 --> 14:18.000]  That's what they say.
[14:18.000 --> 14:20.000]  Trump wants to send all the Mexicans back to Mexico.
[14:20.000 --> 14:26.000]  That's what the Democrat ads would run on TV saying if you're a Mexican, he wants to deport you.
[14:26.000 --> 14:32.000]  And then sadly, people who are actually from Mexico believe that and then they get scared even though it's fake news.
[14:32.000 --> 14:37.000]  So I'm just going to wait, and I'll probably wait till I'm dead.
[14:37.000 --> 14:46.000]  I'm just going to wait until the liberal media excoriates President Obama for deporting more Mexicans than President Trump.
[14:46.000 --> 14:51.000]  I mean, after all, if President Trump's rhetoric against Mexicans is so offensive,
[14:51.000 --> 14:58.000]  President Hezbollah's deportation of them you would think would be tenfold as offensive.
[14:58.000 --> 15:06.000]  But no, I'll be waiting until I die for the liberal media to actually cover any subject fair.
[15:06.000 --> 15:14.000]  Meanwhile, number of officers killed in the line of duty hit second lowest in more than 50 years.
[15:14.000 --> 15:23.000]  Oh, is that because we have a president that doesn't go on national platforms and diss the police and rile up more hatred towards police?
[15:23.000 --> 15:24.000]  I don't know.
[15:24.000 --> 15:28.000]  That could be the case, but just another stat.
[15:28.000 --> 15:37.000]  And it's good news, even for the people out there that hate police, I mean, you would think that you'd want less people getting shot and killed and hate and hate and anger.
[15:37.000 --> 15:41.000]  But maybe that's what fills your heart, so that story might actually upset you.
[15:41.000 --> 15:44.000]  On the other side, we're going to hear from David Knight.
[15:44.000 --> 15:45.000]  This is a classic.
[15:45.000 --> 16:00.000]  It's a wonderful lie about big banks in the United States, and it's got a little Christmas touch to it just to trigger the liberals.
[16:00.000 --> 16:01.000]  Hello, Mr. Anderson.
[16:01.000 --> 16:05.000]  The NSA has noticed how much time you spend on conservative news sites.
[16:05.000 --> 16:09.000]  We have no choice but to consider you a domestic terrorist.
[16:09.000 --> 16:16.000]  Tired of your Internet activity being monitored by Big Brother, get virtualshield.com, the world's easiest to use virtual private network.
[16:16.000 --> 16:20.000]  Browse the web anonymously, leaving pesky advertisers and spies in the dust.
[16:20.000 --> 16:22.000]  Get started today at virtualshield.com.
[16:22.000 --> 16:25.000]  Take advantage of our free 30-day trial, virtualshield.com.
[16:25.000 --> 16:27.000]  You have the right to remain private.
[16:27.000 --> 16:28.000]  Excuse me, sir.
[16:28.000 --> 16:31.000]  Could you please take a picture of my family and me with my cell phone?
[16:31.000 --> 16:33.000]  Sure, Mrs. Anderson.
[16:33.000 --> 16:35.000]  Smile for the camera.
[16:35.000 --> 16:39.000]  Too bad hackers never get proper permission to access your cell phone or computer camera.
[16:39.000 --> 16:42.000]  Anyone is or could be susceptible to illegal spying.
[16:42.000 --> 16:49.000]  That's why virtualshield.com has developed Identisafe, a new security software that blocks camera and microphone access from unwanted spies.
[16:49.000 --> 16:51.000]  Get started today at virtualshield.com.
[16:51.000 --> 16:55.000]  Take advantage of our free 30-day trial, virtualshield.com.
[16:55.000 --> 16:58.000]  You have the right to remain private.
[16:58.000 --> 17:09.000]  The answer to being in control of your own health care is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[17:09.000 --> 17:16.000]  Individual share amounts begin at $107 a month and $347 for families. Choose from three health sharing programs.
[17:16.000 --> 17:19.000]  Holistic treatments may be eligible for sharing. See guidelines.
[17:19.000 --> 17:23.000]  Discount programs available for dental, vision, and pharmacy.
[17:23.000 --> 17:28.000]  Go to libertyoncall.org. That's libertyoncall.org.
[17:53.000 --> 17:58.000]  Only at www.catiarmor.com
[18:23.000 --> 18:28.000]  www.catiarmor.com
[18:53.000 --> 19:04.000]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[19:04.000 --> 19:15.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[19:15.000 --> 19:24.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness.
[19:24.000 --> 19:28.000]  But with the rapid speed of life, we need to be able to keep up the pace.
[19:28.000 --> 19:36.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[19:36.000 --> 19:38.000]  Wake up refreshed and take on the day.
[19:38.000 --> 19:46.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[19:46.000 --> 19:50.000]  Get the sleep you deserve and experience the power of knockout.
[19:50.000 --> 20:09.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[20:20.000 --> 20:29.000]  Over the last 100 years, the Federal Reserve has created bubbles and burst them, enslaved us with debt, and destroyed our purchasing power through inflation.
[20:29.000 --> 20:33.000]  Yes, it's been a wonderful lie for the bankers.
[20:33.000 --> 20:41.000]  There are striking parallels in Frank Capra's It's a Wonderful Life to the Lies and tricks that real bankers use to create the Federal Reserve.
[20:41.000 --> 20:50.000]  Human nature doesn't change, and the greedy elite of 1913 and 2013 look and act a lot like Potter, the banker in the movie.
[20:50.000 --> 20:57.000]  And many Americans are left like George Bailey, staring into the abyss as their dreams collapse and they face financial ruin.
[20:57.000 --> 21:01.000]  Do we live in a country that looks a lot more like Pottersville than Bedford Falls?
[21:01.000 --> 21:06.000]  What does Frank Capra's film show us about how we got here and how we can get out?
[21:06.000 --> 21:14.000]  When the Federal Reserve was created two days before Christmas 100 years ago, it was a culmination of six years of fraud, fear, and manipulation.
[21:14.000 --> 21:18.000]  I've never really seen one, but that's got all the earmarks of being a run.
[21:18.000 --> 21:28.000]  The panic of 1907 was used to shape public support for the Fed. The panic was triggered by rumors that two major banks were about to become insolvent, just as we see in the movie.
[21:28.000 --> 21:37.000]  George, there is a rumor around town that you've closed your doors, is that true? I am going all out to help in this crisis.
[21:37.000 --> 21:47.000]  I have just guaranteed the bank sufficient funds to meet their needs. They will close up for a week and then reopen.
[21:47.000 --> 21:49.000]  Just took over the bank.
[21:49.000 --> 22:00.000]  I may lose a fortune, but I am willing to guarantee your people too. Just tell them to bring their shares over here and I will pay 50 cents on the dollar.
[22:00.000 --> 22:02.000]  Or you never miss a trick, do you Potter?
[22:02.000 --> 22:10.000]  Unfortunately, J.P. Morgan got away with a deception and was able to shut down competitors and snapped up assets at fire cell prices.
[22:10.000 --> 22:20.000]  Now, take during the Depression, for instance. You and I were the only ones that kept our heads. You saved the building in the lawn, and I saved all the rest.
[22:20.000 --> 22:23.000]  Yes, well, most people say you stole all the rest.
[22:23.000 --> 22:26.000]  The envious ones say that, George. That sucks.
[22:26.000 --> 22:36.000]  Charles Lindbergh Sr. warned people at the time of the creation of the Federal Reserve that it would not stop boom and bust cycles, but would actually create them in order to benefit its private owners.
[22:36.000 --> 22:46.000]  That's what he said. To cause high prices, all the Federal Reserve board will do will be to lower the re-discount rate, producing an expansion of credit and a rising stock market.
[22:46.000 --> 22:52.000]  Then, when businessmen are adjusted to these conditions, it can check prosperity and mid-career by arbitrarily raising the rate of interest.
[22:52.000 --> 23:00.000]  It can cause a pendulum of rising and falling market to swing gently back and forth, or cause violent fluctuations by greater rate variation.
[23:00.000 --> 23:08.000]  In either case, it will possess inside information as to the financial conditions and advanced knowledge of the coming change, either up or down.
[23:08.000 --> 23:15.000]  This is the strangest, most dangerous advantage ever placed in the hands of a special privileged class by any government that ever existed.
[23:15.000 --> 23:22.000]  The system is private, conducted for the sole purpose of obtaining the greatest possible profits from the use of other people's money.
[23:22.000 --> 23:27.000]  They know in advance when to create panics to their advantage, and they know when to stop panicking.
[23:27.000 --> 23:32.000]  Inflation and deflation work equally well for them when they control the finance.
[23:32.000 --> 23:37.000]  As we see in the movie, not all lending institutions have the same motivations.
[23:37.000 --> 23:47.000]  Now, you take this loan here, it's an ambitious, you know, that fellow that sits around all day on his brains in his taxi, you know.
[23:47.000 --> 23:57.000]  I happen to know the bank turned down this loan, but he comes here and we're building him a house worth $5,000.
[23:57.000 --> 23:58.000]  Why?
[23:58.000 --> 24:05.000]  Well, I have a lot, Mr. Potter. You have all the papers there as salary insurance. I can personally vouch for his character.
[24:05.000 --> 24:06.000]  Friend of yours?
[24:06.000 --> 24:07.000]  Yes, sir.
[24:07.000 --> 24:13.000]  You see, if you shoot pool with some employee here, you can come and borrow money.
[24:13.000 --> 24:21.000]  What does that get us? A discontented, lazy rabble instead of a thrifty working class?
[24:21.000 --> 24:29.000]  As a former FDIC chair said, all too often the large banks use their models and their algorithms, and if you don't fit in their boxes, you don't get the loan.
[24:29.000 --> 24:35.000]  And Dodd-Frank legislation is tying the hands of small lenders, shutting out buyers and shutting down lenders.
[24:35.000 --> 24:38.000]  Today there are fewer lenders than at any time the government has kept records.
[24:38.000 --> 24:42.000]  10,000 banks disappeared between 1984 and 2011.
[24:42.000 --> 24:49.000]  This town needs this measly one-horse institution if only to have some place where people can come without crawling to Potter.
[24:49.000 --> 24:50.000]  Wow.
[24:50.000 --> 24:57.000]  In the movie, George gets to see what happens to the small town if Potter didn't have competition from credit unions and smaller lenders.
[24:57.000 --> 24:58.000]  If it hadn't been for you...
[24:58.000 --> 25:01.000]  Yeah, if it hadn't been for me, everybody would be a lot better off.
[25:01.000 --> 25:03.000]  My wife and my kids and my friends and my...
[25:03.000 --> 25:06.000]  Look, little fella, why don't you go out and haunt somebody else?
[25:06.000 --> 25:11.000]  Yeah, so you still think killing yourself would make everyone feel happier, right?
[25:11.000 --> 25:15.000]  Well, I don't know. I guess you're right.
[25:15.000 --> 25:19.000]  It's supposed to have been better if I'd never been born at all.
[25:19.000 --> 25:24.000]  Potter'sville, the only businesses thriving are vice. People are angry.
[25:24.000 --> 25:28.000]  The town is filled with signs like, keep moving, keep off the grass.
[25:28.000 --> 25:33.000]  Bert the cop actually shoots at George when he's running away and is no threat to anyone.
[25:33.000 --> 25:35.000]  Stand back!
[25:35.000 --> 25:42.000]  Everyone is a renter. No one has a stake.
[25:42.000 --> 25:45.000]  Now you're an army bishop and you live in Bailey Park with your wife and kid.
[25:45.000 --> 25:48.000]  Look, Bud, what's the idea? I live in a shack in Pottersville.
[25:48.000 --> 25:52.000]  My wife ran away three years ago and took the kid and I ain't never seen you before in my life, see?
[25:52.000 --> 25:57.000]  Private property and everyone having a stake is the antidote to Potter'sville.
[25:57.000 --> 26:01.000]  Here, you're all businessmen here. Don't it make them better citizens? Doesn't it make them better customers?
[26:01.000 --> 26:08.000]  But whether it's the Trans-Pacific Partnership or a global carbon tax, the global elite don't see you as a stakeholder.
[26:08.000 --> 26:12.000]  They want to turn us all into serfs and treat us like cattle.
[26:12.000 --> 26:19.000]  Just remember this, Mr. Potter, that this rabble you're talking about, they do most of the working and paying and living and dying in this community.
[26:19.000 --> 26:24.000]  Well, is it too much to have them work and pay and live and die in a couple of decent rooms and a bath?
[26:24.000 --> 26:32.000]  Anyway, my father didn't think so. People were human beings to him, but to you, a warped, frustrated old man, they're cattle.
[26:32.000 --> 26:35.000]  Well, in my book, he died a much richer man than you'll ever be.
[26:35.000 --> 26:39.000]  I'm not interested in your book. I'm talking about the building and loans.
[26:39.000 --> 26:43.000]  I know very well what you're talking about. You're talking about something you can't get your fingers on.
[26:43.000 --> 26:49.000]  Speaking of riches, do you find the salary amounts amusing when Potter tries to buy George off?
[26:49.000 --> 26:58.000]  Look at your size. Young man, 27, 28, married, make me say 40 a week.
[26:58.000 --> 26:59.000]  Forty-five.
[26:59.000 --> 27:11.000]  Forty-five. Forty-five. George, I'll start you out at $20,000 a year.
[27:11.000 --> 27:14.000]  $20,000 a year.
[27:14.000 --> 27:25.000]  You wouldn't mind living in the nicest house in town, buying your wife a lot of fine clothes, a couple of business trips to New York a year, maybe once in a while Europe.
[27:25.000 --> 27:28.000]  You wouldn't mind that, would you, John? Would I?
[27:28.000 --> 27:34.000]  Even if George had saved a lot of his $20,000 salary, would it have bought much a couple of decades later?
[27:34.000 --> 27:43.000]  By even the government's very conservative estimate of inflation, the dollar has lost 90% of its value since 1947 when the movie was made.
[27:43.000 --> 27:49.000]  This deliberate inflation is devastating to anyone trying to accumulate wealth through hard work and saving.
[27:49.000 --> 27:57.000]  So what is the answer to all the George Bailey's out there 100 years after the government gave control of our money supply to private bankers like Potter?
[27:57.000 --> 28:02.000]  Well, Potter had more money than he could spend, but would any of you want to be Potter?
[28:02.000 --> 28:07.000]  You sit around here and you spin your little webs and you think the whole world revolves around you and your money.
[28:07.000 --> 28:14.000]  Listen, Mr. Potter, in the whole vast configuration of things, I'd say you were nothing but a scurvy little spider.
[28:14.000 --> 28:22.000]  George Bailey finally sees how rich his own life is as he sees the fruits of relationship, honesty, and compassion.
[28:22.000 --> 28:31.000]  Hey! Hi, Christmas, Mr. Potter! Happy New Year to you! In jail! Go on home, they're waiting for you.
[28:31.000 --> 28:36.000]  And if the public can awaken to the lies of the Federal Reserve, if it could even be audited...
[28:36.000 --> 28:39.000]  Wow! Hello, Mr. Banking Taminer!
[28:39.000 --> 28:46.000]  It would be a huge step to breaking the chains of enslave all of us, but ultimately it is God that changed his minds and changed his hearts.
[28:46.000 --> 28:52.000]  God hates oppression, and we can and should confidently pray that he will stop it.
[28:52.000 --> 28:57.000]  I owe everything to George Bailey. Help.
[28:57.000 --> 29:01.000]  Hey, Daniel Brieman. Why new manna, Stormy Foods?
[29:01.000 --> 29:06.000]  We believe in freedom. America needs strong, independent families to endure what's ahead.
[29:06.000 --> 29:11.000]  And we take this charge seriously. We got options, organic, no gluten, without the chemicals.
[29:11.000 --> 29:17.000]  Great taste and value. New Manna is a no-lose investment for your family's food independence.
[29:17.000 --> 29:21.000]  Get your new manna today. Call 888-590-7075.
[29:21.000 --> 29:27.000]  888-590-7075. Online discounts available at www.powerprepper.com.
[29:27.000 --> 29:31.000]  Want revenge on the common housefly?
[29:31.000 --> 29:35.000]  Well, after 10,000 years, someone has finally come up with a better way.
[29:35.000 --> 29:41.000]  The Bug Assault, a miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[29:41.000 --> 29:46.000]  Non-toxic and no batteries required. So much fun. You'll forget you have a wife and kids.
[29:46.000 --> 29:54.000]  $39.95 and free economy shipping. Use discount code GCN and get an extra 10% off your purchase at bugassault.com.
[29:54.000 --> 29:59.000]  Fire your Flice Water. Get your Bug Assault today.
[30:24.000 --> 30:30.000]  Brain Force Plus is the next generation of advanced neural activation and new tropics.
[30:30.000 --> 30:38.000]  And now we've added a brand new ingredient called Black Pepper Fruit Extract that gives you an added kick.
[30:38.000 --> 30:45.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers
[30:45.000 --> 30:51.000]  that will allow you to flip the switch and supercharge your state of mind.
[30:51.000 --> 30:59.000]  It's the real deal. Brain Force Plus. Secure your bottle right now at infowarstore.com.
[30:59.000 --> 31:08.000]  We have developed with the top firms in the United States powerful 50 billion live organism probiotic fluorolife
[31:08.000 --> 31:13.000]  that is so critical to having a healthy gut and a healthy life.
[31:13.000 --> 31:17.000]  And it has changed my life and so many other people's lives.
[31:17.000 --> 31:23.000]  Another part is a compound like Mycos EX that has all these key ingredients of organic herbs and other systems
[31:23.000 --> 31:26.000]  that are known to break down this garbage in the body.
[31:26.000 --> 31:31.000]  That's why as we go through Christmas and now into the new year, we're extending the free shipping
[31:31.000 --> 31:36.000]  and 50% off on all our bestselling items while supplies last.
[31:36.000 --> 31:43.000]  You can also get the two products together and get them at 50% off when you combo them.
[31:43.000 --> 31:49.000]  So popular, sold out for more than six months. Now back in stock for limited time at infowarstore.com
[31:49.000 --> 31:54.000]  infowarslife.com or by calling toll free, triple A 253 139.
[31:59.000 --> 32:03.000]  Fuel your body with Carnivore, the new digestive enzyme product by InfoWarsLife.
[32:03.000 --> 32:08.000]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients
[32:08.000 --> 32:11.000]  by breaking down foods into easily absorbable components.
[32:11.000 --> 32:16.000]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[32:16.000 --> 32:23.000]  Digestive enzyme production declines as we age. Carnivore is filled with digestive enzymes like those naturally present in the body.
[32:23.000 --> 32:26.000]  Enjoy the full potential of protein rich foods again.
[32:26.000 --> 32:31.000]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort
[32:31.000 --> 32:33.000]  commonly associated with high meat diets.
[32:33.000 --> 32:39.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids,
[32:39.000 --> 32:42.000]  the building blocks to your muscles.
[32:42.000 --> 32:46.000]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates
[32:46.000 --> 32:49.000]  so you can fully digest all types of meals.
[32:49.000 --> 32:53.000]  Don't let a meal go to waste. Use Carnivore by InfoWarsLife.
[32:53.000 --> 33:10.000]  Head to InfoWarsLife.com and secure your bottle now. That's InfoWarsLife.com.
[33:10.000 --> 33:29.000]  Waging war on corruption is Alex Jones coming to you live from the front lines of the InfoWarsLife.
[33:29.000 --> 33:38.000]  Alex Jones out today, Owen Troyer in and President Trump's ratings up
[33:38.000 --> 33:45.000]  despite pretty much nothing but negative press, lies, disinformation.
