[00:00.000 --> 00:29.000]  It's Super Bowl 51, we're going to be telling you who the winner is before we get to it.
[04:05.000 --> 04:13.000]  battling the Al-Qaeda globalist forces that John McCain and Hillary and all the rest up and turned loose to the Middle East and into Africa.
[04:13.000 --> 04:17.000]  How presidential is that personally meeting the family?
[04:17.000 --> 04:20.000]  And there's optimism and the globalists are trying to kill that optimism.
[04:20.000 --> 04:25.000]  And now he's over delivering at breakneck speed as they say in a session.
[04:25.000 --> 04:32.000]  Because his will, his name, his family, his honor, his treasure is bound to America and the planet succeeding.
[04:32.000 --> 04:34.000]  And that's what it is when you believe in humanity.
[04:34.000 --> 04:37.000]  It's exhausting, but it's exhilarating and it's empowering.
[04:37.000 --> 04:42.000]  All these inbred elites were given their power hereditarily, third, fourth, fifth, sixth generation.
[04:42.000 --> 04:49.000]  So they don't understand that and they just look down on everybody and want to make everybody poor so they can manage them and control them.
[04:49.000 --> 04:51.000]  With Trump, he's fully in.
[04:51.000 --> 04:56.000]  He has merged his essence with the Republic and restoring things.
[04:56.000 --> 05:25.000]  And so that's why Trump will not betray you.
[05:25.000 --> 05:29.000]  The terrorist was shot five times in the stomach and is currently in critical condition.
[05:29.000 --> 05:33.000]  He was also said to have paint bombs and a backpack he was carrying.
[05:33.000 --> 05:37.000]  Another man was arrested at the scene, but it's not yet known if he is linked to the attack.
[05:37.000 --> 05:42.000]  A spokesman for the French Interior Ministry said the identity and nationality of the suspects are unknown.
[05:42.000 --> 05:49.000]  A building in Paris was raided by police in connection with the attack, which has been labeled terrorist in nature by the French prime minister.
[05:49.000 --> 05:52.000]  Donald Trump tweeted about the attack, urging Americans to get smart.
[05:52.000 --> 05:56.000]  That's right. We don't want the terror that's descended upon Europe to make its way here.
[05:56.000 --> 06:00.000]  The President of France, François Hollande, praised security for the quick response.
[06:00.000 --> 06:05.000]  I bet you did. They may have saved lives, but I doubt they saved your job.
[06:05.000 --> 06:31.000]  This is Owen Schreuer for Infowars.com.
[06:31.000 --> 06:35.000]  This is an awful lot about blowing up the White House.
[06:35.000 --> 06:46.000]  Huge nationwide protests erupted once again on President Donald Trump's second weekend in office.
[06:46.000 --> 07:02.000]  When you open your heart to patriotism, there is no room for prejudice.
[07:02.000 --> 07:07.000]  And most importantly, we will be protected by God.
[07:07.000 --> 07:23.000]  From the floodlines of the Infowars, it's Alex Jones.
[07:23.000 --> 07:42.000]  So there's Donald Trump saying, unify everybody, race, religion, creed, under America and freedom and prosperity, and you have the leftist all over mainstream news, including CNN hosts saying, poor white people, when it shows them being pulled out of their cars and beaten, just because they're white,
[07:42.000 --> 07:55.000]  and when they won't let speakers speak at Berkeley and women are beaten and men are beaten and cars are burned up, the media, including the dean of the school and the lawmakers in California say, this is good.
[07:55.000 --> 07:58.000]  We're going to get violent.
[07:58.000 --> 08:14.000]  Robert De Niro goes on the view and says, I want to punch Donald Trump in the face because he's a bully and you got to fight bullies like a bully. No, Donald Trump's not a bully. The globalists have completely bullied this country into submission and now we're standing up.
[08:14.000 --> 08:18.000]  More than 100 nations have travel bans on countries.
[08:18.000 --> 08:24.000]  Japan has travel bans on the very Muslim countries and more that Trump put in.
[08:24.000 --> 08:29.000]  Because they know people coming in unvetted from Somalia are very, very dangerous.
[08:29.000 --> 08:34.000]  Somalia is not a failed civilization, it was never a civilization.
[08:34.000 --> 08:39.000]  Hundreds of major publications every week are calling for Donald Trump's murder.
[08:39.000 --> 08:47.000]  Republican and Democrat appointed judges that are globalist controlled are trying to block him, simply saying, we can have borders.
[08:47.000 --> 08:55.000]  You know, another federal court just as high said that what Trump's doing is under the Constitution under law.
[08:55.000 --> 09:03.000]  But that got ignored in the night circuit out of San Francisco said, we didn't get the information in Trump's brief.
[09:03.000 --> 09:09.000]  So it's overturned until we get more info it's on hold.
[09:09.000 --> 09:15.000]  But the public doesn't know about law, do they just hear, oh, the horrible, horrible Trump.
[09:15.000 --> 09:18.000]  Even though he's just enforcing an Obama law.
[09:18.000 --> 09:26.000]  This is the bureaucracy, the Republican Party, the Democratic Party, the Saudi Arabians, the communist Chinese, the whole world, Hollywood.
[09:26.000 --> 09:30.000]  Everybody ganged up against America and Donald Trump.
[09:30.000 --> 09:32.000]  But something's happening.
[09:32.000 --> 09:40.000]  As Trump starts to bring jobs back, as Trump moves to cut taxes, as Trump moves to get banks to make small business loans, something that hadn't been done in 10 years.
[09:40.000 --> 09:46.000]  There's been a consolidation on purpose to make you poor by both parties. It's an admitted plan, as that happens.
[09:46.000 --> 09:51.000]  The grassroots of every color who are all the same race, humanity.
[09:51.000 --> 09:56.000]  All bleed red blood are waking up and the poll numbers show him going straight up.
[09:56.000 --> 10:01.000]  He was at 41 before the election with skewed numbers. Now he's up at 60.
[10:01.000 --> 10:07.000]  And they're panicking because those are even polls targeting key demographics they believe will show low numbers for Trump.
[10:07.000 --> 10:12.000]  His real numbers are above 70 right now. Remember, I told you that during the election and it was true.
[10:12.000 --> 10:15.000]  Because there are internal polls you can get.
[10:15.000 --> 10:19.000]  But when you go to major pollsters now, they're so controlled, they will not give you a public poll.
[10:19.000 --> 10:25.000]  It's under contract that you can set the parameters of that are actually fair.
[10:25.000 --> 10:29.000]  And the demographics you want pulled that are fair, they have their methodology.
[10:29.000 --> 10:34.000]  So the fix was in and that's now come out. I told you the fix was in with polls.
[10:34.000 --> 10:46.000]  So the fix was in, but even in their cooked polls, he's 19 points up in Rasmussen and Pew and Gallup and so many others.
[10:46.000 --> 10:51.000]  This is very exciting. That's the real news. So much to cover today.
[10:51.000 --> 10:56.000]  First, let's go to another powerful John Bowne report that's up on infowars.com.
[10:56.000 --> 11:00.000]  We have more poll watching reports as well. We're going to be premiering.
[11:00.000 --> 11:04.000]  This is National Security Endangered by Soros Motivated Judge.
[11:04.000 --> 11:12.000]  Again, Soros and the EU want total open borders. Germany's taken 3 million quote migrants, 80% military aged men.
[11:12.000 --> 11:17.000]  They're only taking more and more and more and more and they're murdering, killing, stabbing.
[11:17.000 --> 11:23.000]  And when Germans criticize that they get arrested, it's a total takeover plan to bring in third world populations.
[11:23.000 --> 11:28.000]  The central banks control and they make it look bad to want to stop that flow.
[11:28.000 --> 11:32.000]  A country can't decide who can come in and who can't.
[11:32.000 --> 11:38.000]  You want to get into Australia, you've got to jump through a bunch of hoops and have a bunch of money and improve that you're coming there with skills.
[11:38.000 --> 11:43.000]  You've got to have a couple million dollars and major skills they want to get into Switzerland.
[11:43.000 --> 11:54.000]  But other countries, France turns back. I've been flying into England before to cover Bilderberg and watch Canadian citizens that are supposedly part of the realm,
[11:54.000 --> 11:59.000]  the Commonwealth turned back because they're activists in front of my eyeballs.
[11:59.000 --> 12:09.000]  No criminal record. But again, they play on the haters. Oh my God, he wanted to stop these portal sweeties from Sudan that's waging war against the Christians of the south.
[12:09.000 --> 12:15.000]  It's in a civil war. Oh, we're not taking people unvetted from a civil war zone.
[12:15.000 --> 12:20.000]  But when you fly as a citizen, you get asked questions.
[12:20.000 --> 12:25.000]  No questions, folks. They're not allowed to turn you back with fake ID.
[12:25.000 --> 12:32.000]  That's what Obama did. We take these refugees under a UN program and they decide who comes in. Let's go to John Bounds report.
[12:32.000 --> 12:46.000]  Seattle Washington federal judge James Robart based his judgment of the Trump administration's decision to follow through with a travel ban of seven Muslim countries as not rationally based.
[12:46.000 --> 12:54.000]  However, this purported logical judge was quoted by CNBC as stating Black Lives Matter.
[12:54.000 --> 13:05.000]  In August of 2016, Breitbart reported that the Black Lives Matter movement was funded by the U.S. National Security Public Enemy Number One, George Soros.
[13:05.000 --> 13:17.000]  In a detailed 69-page Open Society report on the agenda of an Open Society U.S. programs board meeting held in New York October 1st to October 2nd, 2015,
[13:17.000 --> 13:23.000]  a portion of the Soros-funded agenda read recognizing the need for strategic assistance.
[13:23.000 --> 13:37.000]  The U.S. programs board approved 650,000 in Opportunities Fund support to invest in technical assistance and support for the groups at the core of the burgeoning Black Lives Matter movement.
[13:37.000 --> 13:47.000]  Furthermore, Soros' shaping of Black Lives Matter was used to alter the 2016 elections, oddly never mentioned by the Democrats,
[13:47.000 --> 13:54.000]  and their zeal to vaguely and solely blame the Russians as a hacked Open Society document stated,
[13:54.000 --> 14:02.000]  Leaders of Black Lives Matter and the movement for Black Lives worked to influence candidate platforms during the 2016 primary season.
[14:02.000 --> 14:15.000]  This came alongside the recent acknowledgement by political strategists that African-American voters may be much more pivotal to the 2016 general election than previously forecasted.
[14:15.000 --> 14:19.000]  President Trump responded to Judge Robart in a tweet stating,
[14:19.000 --> 14:29.000]  What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into the U.S.?
[14:29.000 --> 14:38.000]  I don't work over in the United States. I work overseas and I'm currently in Iraq, which is one of the countries that run the list.
[14:38.000 --> 14:45.000]  And there's been a lot of discussion about the executive order. Obviously, in the United States, there's a lot going on.
[14:45.000 --> 14:50.000]  And over here, there's a lot going on as well. Just a lot of things you all don't see.
[14:50.000 --> 14:58.000]  My simple question was, as an American, if I went out in town right now, would I be welcome?
[14:58.000 --> 15:02.000]  And they instantly said, absolutely not. You would not be welcome.
[15:02.000 --> 15:17.000]  And I said, okay, so what would happen if I went out in town? And they said the locals would snatch me up and kill me within an hour.
[15:17.000 --> 15:23.000]  I'd be tortured first and after they were done torturing me, I'd probably be beheaded.
[15:23.000 --> 15:29.000]  It would go on video for everybody to see as an example.
[15:29.000 --> 15:35.000]  And so I already knew this was going to happen, but I wanted to hear it from them.
[15:35.000 --> 15:42.000]  And the point of it is, the point I'm trying to make is, this is the local populace that would do this.
[15:42.000 --> 15:50.000]  This isn't ISIS. This isn't Al Qaeda. This isn't the PMU. This isn't a militia from the Iranians or anything like that.
[15:50.000 --> 15:56.000]  This is the local populace that would do this. My question to them was pretty simple then after that.
[15:56.000 --> 16:02.000]  If you would do this to me in your country, why would I let you in my country?
[16:02.000 --> 16:04.000]  Because all this means to me is that-
[16:04.000 --> 16:08.000]  That's right. We'll be back. Full reports on infowars.com. Stay with us. Massive coverage coming up.
[16:08.000 --> 16:12.000]  You developed Living Defense for us. It took you over a year to do it. Why is this so good?
[16:12.000 --> 16:17.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[16:17.000 --> 16:23.000]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system,
[16:23.000 --> 16:31.000]  but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[16:31.000 --> 16:37.000]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere.
[16:37.000 --> 16:39.000]  These are all parasites.
[16:39.000 --> 16:41.000]  Tell us about all the stuff I said. There's so many things that are in it.
[16:41.000 --> 16:46.000]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[16:46.000 --> 16:49.000]  I recommend doing a parasite cleanse at least twice a year.
[16:49.000 --> 16:53.000]  All right. Well, I'm glad we've got something back in because I'm going back on it today.
[16:53.000 --> 16:55.000]  It just came back in yesterday, Living Defense, infowarslife.com.
[16:55.000 --> 16:59.000]  And folks, you can't lose full of stuff that's great for your body, period.
[16:59.000 --> 17:04.000]  And you support the broadcast, infowarslife.com. Thank you, Dr. Group, from the Global Healing Center.
[17:04.000 --> 17:33.000]  Thank you so much for all your work, sir, on this great product.
[17:34.000 --> 18:00.000]  Thank you so much.
[18:00.000 --> 18:07.000]  Thank you so much.
[18:30.000 --> 18:56.000]  Thank you so much.
[18:56.000 --> 19:08.000]  Thank you so much.
[19:26.000 --> 19:51.000]  Thank you so much.
[19:51.000 --> 20:12.000]  Thank you so much.
[20:12.000 --> 20:22.000]  You're listening to the Alex Jones show.
[20:22.000 --> 20:35.000]  We are on the march. The empire is on the run. Alex Jones and the GCN radio network.
[20:35.000 --> 20:45.000]  So you have a temporary ban for 90 days on people coming in from seven nations out of almost 200 countries who were unvetted.
[20:45.000 --> 20:50.000]  Something previous presidents have done or similar things they've done.
[20:50.000 --> 20:54.000]  And the media hypes it that it's going to cause the stock market to go down.
[20:54.000 --> 21:02.000]  So the stock market had gained $1,200 plus billion. It's now lost a little bit of $100 billion.
[21:02.000 --> 21:08.000]  But the media is saying, see, the economy is going down. It's all over. Yay.
[21:08.000 --> 21:15.000]  Isn't that wonderful? But what they're not telling you is it's central banks around the world are now starting to raise interest rates.
[21:15.000 --> 21:20.000]  They came out when Trump got elected and they said, okay, we're just going to raise interest rates.
[21:20.000 --> 21:30.000]  That'll kill this nationalistic movement in the UK and the United States and Germany and Austria and Australia and areas of Italy.
[21:30.000 --> 21:33.000]  It's just all over. Spain, you name it.
[21:33.000 --> 21:40.000]  So the globalists for almost 10 years, 9 years, have been giving themselves 0% interest,
[21:40.000 --> 21:45.000]  not to mention bank or bailouts that are just trillions of dollars to themselves, that taxpayers have to back up.
[21:45.000 --> 21:50.000]  So they plunged the economy, then we have to back up their bad debts and then they turn around and take the money.
[21:50.000 --> 21:54.000]  We've loaned them and loaned it back to us at incredible interest.
[21:54.000 --> 22:03.000]  And so the first thing Trump did when he got in, just 16 days ago, he's only had like 10 working days, but he's been working all 16.
[22:03.000 --> 22:09.000]  The first thing he did was to come in and say, let's start moving with banking regulations.
[22:09.000 --> 22:17.000]  Let me get my Treasury Secretary in there. They have totally blocked all the money being given to small businesses and the individuals.
[22:17.000 --> 22:24.000]  Lending has just been shut off ever since the interest went to zero because why should the banks do that? They're the first handlers of the money.
[22:24.000 --> 22:27.000]  So they get it at zero, but only select megabanks.
[22:27.000 --> 22:39.000]  Trump said, no sir, we're going to give 0% interest to the little banks, the local banks, the regional banks, the private banks, the banks that aren't part of the insider groups.
[22:39.000 --> 22:43.000]  Not just the six big ones, not just a bunch of foreign banks.
[22:43.000 --> 22:48.000]  We're going to give 0%.
[22:48.000 --> 22:59.000]  And Trump's pressuring the Federal Reserve right now that is a consortium of private banks, but as an intergovernmental meeting group, it's just kind of the counsel of the private banks.
[22:59.000 --> 23:04.000]  He's pressuring them to keep it low. Not that's even good overall, generally.
[23:04.000 --> 23:09.000]  We need some interest, so people that save and invest make money.
[23:09.000 --> 23:19.000]  But while America and the world is in this long depression slash recession for the average person, it's time for Main Street to get a bubble.
[23:19.000 --> 23:25.000]  Because when Main Street gets a bubble, you actually get a bridge built. You actually get a business built. You actually get some jobs.
[23:25.000 --> 23:34.000]  You actually get some money saved. You actually get some cars bought, some restaurants visited, some haircuts paid for, some new clothes, a new coat, some new shoes.
[23:34.000 --> 23:46.000]  Yes, these are dangerous bubbles, but they already created a mega bubble nobody can get out of unless we get the average person out of the bubble, because that's where you are able to rebuild an economy.
[23:46.000 --> 23:51.000]  But without getting some money to those people, it's not going to happen. This is 101 economics.
[23:51.000 --> 23:58.000]  Trump should be a superstar, loved by the general public or the average poor person.
[23:58.000 --> 24:08.000]  But the average poor person is a Democratic supporter, especially on the east and west coast, and they just really think all their prosperity comes from the government.
[24:08.000 --> 24:17.000]  They don't even care the stock market stuff because they don't own stock. They don't understand that those businesses are hiring a lot of times based off how their stock's doing.
[24:17.000 --> 24:25.000]  So there's danger in the Trump euphoria. There's danger in a bubble. There's danger in him betting on he can supercharge things, but here's the deal.
[24:25.000 --> 24:34.000]  The danger of not doing it is a guaranteed ongoing worldwide recession slash depression that's meant to consolidate total control and pick winners and losers.
[24:34.000 --> 24:44.000]  So I've been hammering on this for nine years, having economists after economists on. You've heard Ron Paul, big pessimist for every politician. He says, quote, a week ago,
[24:44.000 --> 24:56.000]  Donald Trump's doing a great job on the economy. I think it's too little too late, but he's doing a fantastic. He pulled the club up a fantastic job.
[24:56.000 --> 25:11.000]  Paul is one of the least complimenting people out there. Okay. He's very, very not mechanical, but he's just very, very dedicated to just being very, very machine like.
[25:11.000 --> 25:20.000]  There's the headline exclusive. Ron Paul says Trump is trying to stop global collapse. Folks, it's because he is. Listen, listen, I'm a smart guy.
[25:20.000 --> 25:29.000]  I'm going to be okay during a global collapse. Okay. So many people are self-centered, though. They're like, well, I don't care, you know, if the general public, you know, gets hurt in this.
[25:29.000 --> 25:32.000]  And of course, I'll get hurt as well.
[25:32.000 --> 25:43.000]  But what's really going to hurt me is seeing my fellow Americans and others really going bankrupt, being on the street or living 10 people to a small house and not getting enough food.
[25:43.000 --> 25:50.000]  And I've seen this played out this globalist program over and over again in other countries. They have an admitted blueprint.
[25:50.000 --> 26:07.000]  In 2002, Joseph Sticklets, who'd won the Nobel Prize twice, wants for economics, left the World Bank as our chief economist, and he said, I will not be part of the criminal activity taking place and trying to make the public poor.
[26:07.000 --> 26:14.000]  Magically, thousands of pages got leaked right after he quit. He says it isn't him. He's put on the show seven or eight times.
[26:14.000 --> 26:20.000]  He says it's not him, but regardless, somebody leaked it. And you got to go read them.
[26:20.000 --> 26:28.000]  Greg Powell's got the documents, published it to the BBC's credit back there. The BBC's almost completely worthless now. They did some good even back then, 2002.
[26:28.000 --> 26:37.000]  And it was the plan of the IMF and World Bank, again, international meeting houses of megabanks. They're just the front groups, governmental name.
[26:37.000 --> 26:52.000]  It's the International Federal Reserve, basically, deciding to implode now the first world and make us debt slaves, kill the engines of production, the engines of liberty, the engines of upper mobility, and have a giant consolidation for political control.
[26:52.000 --> 27:04.000]  And even the liberal, Sticklets, he's a big liberal. I disagree with him on lots of issues. He still had a soul and cared about poor people and working people, the middle class.
[27:04.000 --> 27:12.000]  I mean, we don't want just a bunch of billionaires and trillionaire globalists that then rule on, like, mountaintops that are all high tech and have electricity.
[27:12.000 --> 27:19.000]  We're down here, like, it's just Chichestu's Romania or Venezuela and don't have electricity most of the time and have kids starving in the streets.
[27:19.000 --> 27:25.000]  But that's the management tool of the globalist. That's what we're headed into.
[27:25.000 --> 27:42.000]  Meanwhile, Donald Trump, and by the way, a major federal judge at the same level as the other judge came out in a ruling, and Trump pointed this out in his weekly address yesterday, and ruled for Trump and said,
[27:42.000 --> 27:53.000]  absolutely, the President has the right to block certain countries, certainly for short periods of time, and Congress has the right to pass laws, and there are laws on the books, and gave this big ruling.
[27:53.000 --> 28:01.000]  And then the Ninth Circuit doesn't look at his ruling, looks at another judge's ruling. It's a big Soros guy pointed by George W. Bush.
[28:01.000 --> 28:08.000]  They're like, oh, look, he's appointed by George W. Oh, a Republican. The Republicans are our biggest problem.
[28:08.000 --> 28:25.000]  I mean, use your heads, ladies and gentlemen, and says, oh, no proof was given in the White House filing to us because the circuit judge that they picked, other circuit judges, not just one ruled for Trump,
[28:25.000 --> 28:40.000]  the circuit judge, they then cherry pick, gives his briefing, Trump puts his in, they go, oh, not enough information when they already had and under law are supposed to look at other comparable rulings by the same level of judges that was already on record.
[28:40.000 --> 28:50.000]  And Trump's brief mentioned that, but they just ignored it and said the President doesn't have the power to control who comes to the border.
[28:50.000 --> 29:03.000]  Obama opened the borders up completely and let all those people coming out of Latin America in places with TB and syphilis and everything else you can imagine.
[29:03.000 --> 29:08.000]  The plague has been coming in leprosy.
[29:08.000 --> 29:21.000]  It's not just our water we need to filter. It's not just our food that needs to be cleaned. It's the air we're breathing, especially for our children. The artificial particulates, the chemicals is absolutely weighing down our immune systems.
[29:21.000 --> 29:30.000]  The same team based right here in America that brought you the Alexa pure groundbreaking water filtration systems have now developed Alexa pure breeze.
[29:30.000 --> 29:45.000]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children, to the best job you can to purify your air. The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[29:45.000 --> 29:47.000]  The general public doesn't.
[29:47.000 --> 30:02.000]  The Alexa pure breeze will be a steal at $300, $400, $500. One of these systems can keep 800 square feet incredibly clean. This is a system I'm personally putting in throughout my house replacing older, more expensive filters that didn't do as good a job.
[30:02.000 --> 30:09.000]  Find out why this system is so revolutionary today at infowarstore.com.
[30:09.000 --> 30:20.000]  National Defense Labs and Citizen Armor has given info wars the exclusive on distributing to the American people the true next generation in body armor.
[30:20.000 --> 30:34.000]  Basically what we're bringing to the info wars team is a new line of dynamic, lightweight body armor. It is lighter, more flexible, easier to wear, more comfortable and stronger than anything else on the market.
[30:34.000 --> 30:41.000]  We show when you talk to people that have been using this actually testing for years, people that currently attested for us, they didn't just say outstanding, what they really say about them.
[30:41.000 --> 30:47.000]  They want to know how do they get it, where do they find it. A lot of my law enforcement official buddies want to know the same thing.
[30:47.000 --> 30:51.000]  The backpack body armor is only $200.
[30:51.000 --> 30:56.000]  I mean it's unbelievable, it's a quarter inch thick, it's got a 20 year warranty, it's waterproof, you can wear it, it's comfortable.
[30:56.000 --> 30:58.000]  And we shot everything you can imagine of it.
[30:58.000 --> 31:09.000]  Again, fund the info wars, kit the game changing, nanotech tubes, it's a win-win. $200, go check out all their different products at infowarstore.com, it's amazing.
[31:29.000 --> 31:35.000]  Like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others.
[31:35.000 --> 31:37.000]  Deep cleanse doesn't hold back.
[31:37.000 --> 31:46.000]  Instead of buying five, six or even seven different cleansing products, we use decades old scientific research to put together the Rolls Royce of all in one cleansing.
[31:46.000 --> 31:53.000]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietary spider x herbal processing technique.
[31:53.000 --> 31:59.000]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[31:59.000 --> 32:04.000]  If you wish to find deep cleanse and experience the all in one cleansing, visit infowarslife.com.
[32:04.000 --> 32:09.000]  That's infowarslife.com or call 888-253-3139.
[32:09.000 --> 32:19.000]  We're selling a product DNA force that is the very best nutraceutical that we can produce about a group you took years for you to develop DNA force for us.
[32:19.000 --> 32:24.000]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[32:24.000 --> 32:30.000]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[32:30.000 --> 32:34.000]  Telomeres are the little cups on the end of our chromosomes.
[32:34.000 --> 32:36.000]  And when it runs out, you start dying.
[32:36.000 --> 32:40.000]  We chose the PQQ because it has over 175 different clinical trials.
[32:40.000 --> 32:43.000]  It's one of the most effective substances in the world.
[32:43.000 --> 32:45.000]  It works like an antioxidant.
[32:45.000 --> 32:48.000]  It works to repair nerve growth factor.
[32:48.000 --> 32:50.000]  So this is a formula to deliver the maximum amount.
[32:50.000 --> 32:51.000]  It's in powder form.
[32:51.000 --> 32:54.000]  We have so many five-star reviews.
[32:54.000 --> 32:55.000]  I take this.
[32:55.000 --> 32:57.000]  This is the product that I take.
[32:57.000 --> 32:59.000]  infowarslife.com and the profit we make.
[32:59.000 --> 33:00.000]  We fight the globalists.
[33:00.000 --> 33:01.000]  We fight the new world order.
[33:01.000 --> 33:19.000]  Secure your DNA force today at infowarslife.com or call toll-free 888-253-3139.
[33:19.000 --> 33:34.000]  Resistance to tyrants is obedience to God.
[33:34.000 --> 33:45.000]  It's Alex Jones.
[33:45.000 --> 33:50.000]  All of them doing open satanic rituals.
[33:50.000 --> 33:57.500]  It's part of the spirit cooking, part of the Aleister Crowley events at Podesta and other
[33:57.500 --> 33:59.020]  menions in New York.
[33:59.020 --> 34:02.100]  The high priestess admits these are real rituals she's doing.
[34:02.100 --> 34:07.000]  Old lady Gaga loves to go to those.
[34:07.000 --> 34:10.000]  She's going to be ruling over everyone on top of the stadium.
[34:10.000 --> 34:14.160]  On top the stadium reportedly in Houston where we've got Owen shroyer and the rest of our crew
[34:14.960 --> 34:17.760]  Down there reporting. He'll be popping in towards the end of the next hour
[34:18.320 --> 34:20.320]  Roger stones popping in with a lot of new developments
[34:21.280 --> 34:27.920]  Inside the trump administration, but a lot of people are gonna ask me. Hey, why are you even here on sunday when the super bowl's on?
[34:28.480 --> 34:30.960]  I could care less about the Atlanta
[34:32.160 --> 34:34.160]  What are they the Atlanta what?
[34:34.240 --> 34:36.160]  seriously, I'm having
[34:36.160 --> 34:37.600]  Falcons
[34:37.600 --> 34:39.520]  the Falcons
[34:39.520 --> 34:46.400]  And the new england patriots because I know this has all been built up and designed so that men put their normal male energies
[34:46.960 --> 34:50.240]  Into watching a bunch of other overpaid spoiled rotten men
[34:50.880 --> 34:52.880]  Involved themselves in what is proto?
[34:53.760 --> 34:55.760]  virtual reality
[34:55.840 --> 34:57.840]  sports is the original
[34:58.560 --> 35:00.560]  simulation
[35:00.560 --> 35:07.200]  Of business and family and war and life sports is mainly war type competition carried out
[35:07.200 --> 35:09.200]  It's like my cat
[35:09.440 --> 35:11.440]  Grab a fake
[35:12.160 --> 35:17.840]  Mouse on the end of a string and I drag it along and the cat chases it the cat loves doing it because it has instincts to do it
[35:18.000 --> 35:20.000]  But it's not a real mouse
[35:21.120 --> 35:23.120]  By the way, my daughter's seen a mouse
[35:23.600 --> 35:29.120]  In the kitchen. I've never seen it and the guys the other day my cat walks up with the little mouse little gray mouse in its mouth
[35:29.120 --> 35:33.520]  Kind of sad, but the problem is he actually got a real mouse this time. She's got a toy on the end of a stick
[35:33.520 --> 35:39.440]  It's like a mouse. He'll chase it around crazy for hours. He'll chase laser pointers. You name it
[35:41.360 --> 35:43.200]  So will the dog
