[00:00.000 --> 00:12.480]  We are on the March the Empire is on the run Alex Jones and the GCN radio network
[11:11.820 --> 11:18.180]  We're winning there. I mean, there's hundreds of points or the ATF now whistle blows on fast and furious and whistle blows
[11:19.540 --> 11:24.540]  publicly on the stand down that went on and the SWAT teams go public on the stand down
[11:25.220 --> 11:27.540]  that happened at the Naval yard shooting and
[11:27.540 --> 11:35.820]  Now there's whistle blowers about the government funding al-Qaeda inside special forces and whistle blowers about the assassination of 23
[11:36.100 --> 11:42.140]  SIL team six members to cover up that there was no bin Laden raid. It was all fake. They killed an old guy
[11:42.460 --> 11:44.460]  That's now by the way in the news. I
[11:45.140 --> 11:48.880]  Forgot that he was in the news Friday not just Seymour Hirsch two-time
[11:50.420 --> 11:53.180]  Winner of the Pulitzer prize going public and
[11:53.180 --> 12:00.580]  And saying that from all his intelligence and sources the entire bin Laden raid was fake never happened a hundred percent lie
[12:01.220 --> 12:07.480]  That was in the London Guardian info wars calm Roger port calm carried it and then we talked to sigh Hirsch Friday
[12:08.180 --> 12:15.180]  We said man, you said you'd come on ten years ago five years ago and we contacted him and emailed back and said hey
[12:15.980 --> 12:17.980]  I've done enough
[12:17.980 --> 12:25.460]  You guys keep doing what you're doing. I don't want to self-immolate myself if I go any further. I'm dead
[12:26.100 --> 12:31.980]  You need to say don't talk about it. I think that's tomorrow. We're doing news article on that email sigh Hirsch
[12:32.540 --> 12:35.180]  I'm not going to get into our conversations behind the scenes or anything
[12:35.180 --> 12:40.420]  But usually the emails I've seen that's how we communicate. It's you know, by the way, this is off record
[12:40.420 --> 12:45.820]  This is not off record. He said I've done enough. I think I don't want to self-immolate kill myself
[12:45.820 --> 12:50.700]  Because he's the type of guy they'll go after you know, they killed Hastings from the rolling stone
[12:50.700 --> 12:56.700]  I mean that's on that's documented up one side and down the other because he was about to expose the domestic death
[12:56.700 --> 13:05.740]  Squads is the intel that I had. Oh, but I'm sorry. It's too late. It's up on drugs report calm right now on the left-hand side
[13:07.260 --> 13:13.840]  From the Associated Press and info wars calm a piece on the top info wars calm is under it
[13:13.840 --> 13:22.800]  Reporters to reveal US assassination program including domestically. Oh Michael Hastings car blew up
[13:22.800 --> 13:26.000]  But Greenwald and others are still gonna go you're gonna blow them up, too
[13:26.560 --> 13:29.720]  Are their cars gonna blow up driving down? You can't kill us all
[13:30.120 --> 13:35.920]  See that's the thing about the human spirit just like the Alamo. You kill a couple people. It doesn't intimidate folks
[13:36.520 --> 13:38.760]  Historically it actually makes people stand up
[13:38.760 --> 13:44.800]  The truth is humans really aren't cowards at the end of the day. There were lazy and we're in denial
[13:46.640 --> 13:51.000]  But the globalists had soft power now they're having to use raw power I
[13:51.640 --> 13:55.080]  Mean if they strike me down, which I'm not looking forward to I pray it doesn't happen
[13:55.720 --> 13:59.320]  You think that's gonna wake people up. It's not gonna intimidate people. I will assure you
[13:59.920 --> 14:01.920]  You think they want me as a martyr?
[14:01.920 --> 14:09.760]  Haha boy, then everybody's gonna look at what I've said and find out I'm dead on in the bullseye about 95% of the time
[14:09.760 --> 14:13.000]  Oh, we make mistakes, but we're not trying to lie to you here
[14:13.000 --> 14:17.400]  We're trying to tell you the truth and we're gonna do that when we come back and take your calls on what's really in the government shutdown
[14:17.400 --> 14:19.760]  Who's really behind it? What's really an Obamacare?
[14:20.560 --> 14:27.120]  And how that's why Obama didn't want to blink and wants it there to be a shutdown so then they can later sabotage Obamacare
[14:27.120 --> 14:33.720]  Because the truth is it's so unpopular. They want to blame it on Republicans so it never gets fully implemented instead of it getting
[14:33.840 --> 14:40.840]  Implemented and politically wrecking the collectivist forever because this bill is so bad and so corrupt and had so many
[14:41.720 --> 14:43.720]  special interest in it
[14:43.720 --> 14:47.160]  3,000 page bill 10,600 plus page writers
[14:47.160 --> 14:49.640]  It's got so many groups paying
[14:50.160 --> 14:56.200]  Like a slot machine or like a like a vending machine in Congress that it's all conflicting and so criminal and
[14:56.200 --> 14:59.920]  Exempts all these big groups that there's no way to implement it
[15:00.680 --> 15:02.600]  So maybe Mitch McConnell's right
[15:02.600 --> 15:07.400]  Maybe the Republicans should let it be implemented because I had this epiphany today when I was jogging
[15:07.840 --> 15:12.000]  Really looking at all the angles when all that bloods pump into your brain is like your brain works better
[15:12.000 --> 15:15.600]  I don't know what it is like it's like being on a drug, you know about two miles into it
[15:15.720 --> 15:21.000]  The point is is that it hit me wait a minute. Maybe Mitch McConnell's right. Maybe we let it go through
[15:21.000 --> 15:26.880]  Filibuster it like Ted Cruz, you know didn't everything so that people know what's in it
[15:26.880 --> 15:31.120]  But then okay, we tried to beat it you get it and let's let them try to implement it
[15:34.320 --> 15:35.360]  Yeah
[15:35.360 --> 15:42.200]  Yeah, the boots of the American people and the free humanity that's awakening are gonna walk all over the new world order
[15:42.200 --> 15:45.720]  Let's let Nancy Sinatra take us out of here crank it up
[15:45.720 --> 15:53.200]  We'll be back and give out the phone number and break down Obama death panel care. I'm Alex Jones. I love freedom
[15:53.200 --> 15:55.200]  What about you stay with us?
[16:00.160 --> 16:06.720]  The world is discovering the power of medicinal silver to fight against life-threatening pathogens and as a result
[16:07.200 --> 16:12.600]  Dozens of silver solutions have emerged you can even make your own colloidal silver at home in your garage
[16:12.600 --> 16:16.120]  How do you know which solution is the safest and most effective?
[16:16.960 --> 16:25.000]  Supernatural silver is a new patented technology that is made using 10,000 volts of AC current this technology is so powerful
[16:25.000 --> 16:27.000]  It must be made in a laboratory
[16:27.400 --> 16:32.560]  Colloidal and ionic silvers use a charge of only 110 volts of DC current making
[16:32.880 --> 16:38.160]  Supernatural silver hundreds of times more effective against viruses bacteria and fungus
[16:38.160 --> 16:46.080]  Supernatural silver liquid can be used internally and our silver gel can be used topically to find out more information on how
[16:46.440 --> 16:54.600]  Supernatural silver can help you win the war against deadly pathogens. Go to Supernatural silver comms. That's Supernatural silver comms
[16:54.800 --> 16:59.080]  Use the promo code safe for 20% off and like us on Facebook
[16:59.560 --> 17:05.520]  My friends Alex Jones here to tell you about some of the most important information concerning you and your family's health
[17:05.520 --> 17:12.200]  Radiation levels have more than doubled in the last 60 years in the northern hemisphere from all of the nuclear testing and radiological
[17:12.480 --> 17:16.240]  Accidents radioactive contamination is now in most of the food supply
[17:16.240 --> 17:24.520]  There's only two ways to avoid this move south of the equator or properly protect your thyroid with nascent iodine looking to protect my family
[17:24.520 --> 17:31.880]  I've done deep research nascent iodine is the purest cleanest absolute best form of iodine to protect yourself and your family
[17:31.880 --> 17:40.640]  It's made right here in the USA completely non-gmo. I searched out the best quality and now have developed a double strength form of nascent iodine
[17:41.080 --> 17:50.040]  Exclusively available at infowarslife.com nascent iodine is on record as one of the only safe ways to detox from fluoride poisoning
[17:50.240 --> 17:57.600]  Survival shield nascent iodine secure your super high quality nascent iodine today at infowarslife.com
[17:57.600 --> 17:59.600]  That's infowarslife.com
[17:59.600 --> 18:06.160]  Introducing pro one all of your filtration in one system portable on the go no more
[18:06.160 --> 18:10.120]  Do you have two or three filters to just reduce sodium fluoride?
[18:10.120 --> 18:18.120]  You have a system that cuts out the sodium fluoride and up to 95 percent of hydrofluorosalic acid advanced manufacturing technology
[18:18.120 --> 18:27.200]  Combined silver impregnated white ceramic with new aqua medics advanced media for removal of fluoride and other heavy metals all in one filter element
[18:27.200 --> 18:33.560]  It is the only one that does it and out of the gates. We have it discounted at 10% off with promo code water
[18:33.560 --> 18:40.160]  This is the only system that in one unit helps reduce or remove pesticides herbicides
[18:40.640 --> 18:41.560]  chloramines
[18:41.560 --> 18:48.760]  Ammonia and chlorine hydrofluorosalic acid the most common form of fluoride not covered by other fluoride filter brands and
[18:48.960 --> 18:54.800]  Sodium hexafluorosilicate get your pro pure with a new pro one filters a day at infowarstore.com
[18:54.800 --> 18:59.160]  Or by calling 888-253-3139
[18:59.720 --> 19:07.800]  Calben soap company can save you thousands of dollars and give you good old-fashioned real soap that is triple concentrated and
[19:07.880 --> 19:12.560]  Made from the highest quality vegetable and coconut oils see them on the web
[19:13.320 --> 19:16.560]  WWW dot five star soap dot com or call
[19:16.960 --> 19:24.200]  1800 340 7091 for a free catalog and buy American made products order the sampler a
[19:24.200 --> 19:29.360]  One to two month supply or get a one to two year supply of soaps for all your cleaning needs
[19:29.480 --> 19:32.760]  You're getting soap products twice as good as what you're using now
[19:33.000 --> 19:38.240]  This is an amazing deal, and you will love the way real soap makes your skin feel call
[19:38.560 --> 19:42.120]  1800 340 7091 or visit
[19:42.680 --> 19:49.440]  WWW dot five star soap dot com Alex and his staff have used these earth-friendly pure soaps for years
[19:49.720 --> 19:51.720]  See them on the web
[19:51.720 --> 19:54.840]  WWW dot five star soap dot com or call
[19:55.200 --> 19:59.120]  1800 340 7091 for a catalog
[20:01.040 --> 20:07.800]  Coast to coast direct from Austin you're listening to the Alex Jones broadcasting network
[20:12.720 --> 20:15.200]  Crashing through the lies and disinformation
[20:15.880 --> 20:20.480]  It's Alex Jones on the GCN radio network
[20:20.480 --> 20:28.120]  Waging war on corruption. You're hearing the Sunday live at transmission. We're back weekdays 11 a.m. To 2 p.m.
[20:28.720 --> 20:37.040]  Central standard time the websites are in a full wars dot com backup prison planet dot com nightly news info wars news
[20:37.320 --> 20:39.840]  Dot com or prison planet dot TV and
[20:40.920 --> 20:45.320]  In the next hour, I've got massive international news missing nuclear weapons
[20:45.320 --> 20:53.480]  Daily mail reporting on second command of countries nuclear arsenal suspended told you stuff's going on. We're gonna be getting into that
[20:54.360 --> 20:58.720]  We're gonna get into secret assassination teams not just globally, but in the US as well
[20:58.800 --> 21:01.720]  That's set to be broken by the London Guardian star reporter
[21:03.080 --> 21:09.400]  Mr. Greenwald that's up on drudge report comm via AP be sure and check that on the left-hand side of drudge report comm
[21:09.400 --> 21:12.960]  That's all coming up in the next hour. Let me give you the number so in the next segment
[21:12.960 --> 21:19.240]  We can get your take on Obamacare. I mean, I know what's in it. I've scanned over it. I understand health care
[21:19.240 --> 21:21.360]  I've looked at it. It is the biggest screw job
[21:21.360 --> 21:25.280]  I could imagine and it's so bad the corruptive overdone it here
[21:25.280 --> 21:32.480]  It's so bad. It will be there undoing if it's implemented and I've been of the perspective that if it does get implemented
[21:32.920 --> 21:36.240]  They'll just collapse the entire health care system and go pure socialist
[21:36.240 --> 21:43.160]  But then the greedy private insurance companies that want to administer it along with the foreign banks that control them are
[21:45.120 --> 21:48.120]  Are not gonna want to have it fully nationalized down the road
[21:48.120 --> 21:54.000]  So it's going to be a giant train wreck. So maybe Mitch McConnell's right saying it's horrible
[21:54.120 --> 21:59.280]  He said this last Thursday let it go into place. It'll destroy those that wrote it
[21:59.800 --> 22:05.840]  But then I think but that's incredibly immoral to let the disaster happen. It's almost like a false flag
[22:05.840 --> 22:10.840]  Letting them get it through but we haven't let them get it through. We've done everything we can and
[22:11.360 --> 22:13.560]  Now they're they're going to shut the government down
[22:13.640 --> 22:20.560]  The Republican House has funded the entire government funded social security the military Medicare Medicaid food stamps
[22:20.800 --> 22:22.280]  HUD
[22:22.280 --> 22:24.800]  Everything everything is funded everything everything
[22:25.480 --> 22:30.440]  Which in itself is immoral because the whole country's 17 trillion in debt. It's unsustainable
[22:30.440 --> 22:36.360]  You notice we've doubled the debt in the last five years what we had in the first two hundred and thirty years
[22:36.360 --> 22:40.920]  And then it's going to double again. So that's immoral, but they did fund it
[22:41.920 --> 22:47.000]  And the media is going they shut the government down. It's going to shut down in a couple days
[22:47.040 --> 22:51.880]  We've only got a couple days total fraud, but give me your take on it
[22:51.880 --> 22:55.040]  Do we now just sit back? I guess we can't stop it or
[22:56.000 --> 22:58.560]  Will the who will win the showdown of
[22:58.560 --> 23:04.920]  The shutdown the Republicans are on the side of right even though the old blue blood establishment
[23:05.800 --> 23:08.920]  Republicans wrote this bill 10 years ago with Mitt Romney
[23:09.800 --> 23:14.120]  The insurance companies wrote this and I'm not saying all insurance companies are bad
[23:14.120 --> 23:20.480]  They're all crooks, but the corrupt ones wrote this to make people buy their care to lower the quality of it
[23:20.480 --> 23:23.880]  It's why on average on average the top 10
[23:23.880 --> 23:28.720]  Don Salazar did an article on this for info wars comm on Friday on average
[23:29.080 --> 23:35.000]  on average as we average the 10 together the 10 top on their own graphs right off the
[23:36.360 --> 23:41.920]  New York Stock Exchange they had over a 90% increase in their stock a
[23:42.360 --> 23:49.080]  almost a doubling in the last three years since Obamacare got passed just in anticipation of the
[23:50.080 --> 23:51.640]  rape room
[23:51.640 --> 23:58.880]  Heard about Saddam and his rape rooms. Well, this is a financial rape room for you and your family premiums doubling already
[23:59.000 --> 24:03.080]  Set to double on that by 2015. I mean this is
[24:05.000 --> 24:10.240]  Unbelievable I cannot believe how bad it is how sneaky it is how deceptive it is
[24:10.280 --> 24:14.320]  But why not foreign banks run the country've already stolen tens of trillions of banker bailouts
[24:15.360 --> 24:19.120]  Warren Buffett the biggest recipient of it all that's McClatchy newspapers
[24:19.120 --> 24:23.040]  Just type in Warren Buffett biggest recipient of banker bailout
[24:23.760 --> 24:31.400]  Lobbies to raise taxes on the middle class to get more banker bailout money when he's tax exempt and guess what 15 years ago on record
[24:31.400 --> 24:36.000]  He spearheaded writing legislation to exempt the offshore billionaires
[24:37.520 --> 24:43.760]  Oh man, I mean you talk about a scam. This is beautiful. So here's a toll-free number
[24:43.760 --> 24:50.480]  Now there is the headline I'm from McClatchy as I said Buffett champion of bailout is also its leading beneficiary boom
[24:50.480 --> 24:53.560]  And what that's from 2009 everybody?
[24:54.240 --> 24:56.000]  So there you go
[24:56.000 --> 25:00.880]  That's from Charles Pfeiffer if you want to go read it. Just give you a little bit of facts there. It's kind of what I do
[25:00.880 --> 25:07.600]  I'm sorry. I just it's outrageous how these liars count on people being totally uninformed so they can get away with all this crime
[25:07.600 --> 25:09.600]  Here's the toll-free number to join us
[25:09.600 --> 25:15.480]  It's eight seven seven seven eight nine Alex. That's eight seven seven seven eight nine two five three nine
[25:15.480 --> 25:19.960]  If you are an Obama supporter, and you are a government health care supporter
[25:19.960 --> 25:24.980]  I understand that you rank a lot of fluoride have a low IQ probably weren't breastfed. I'm not being mean
[25:25.360 --> 25:30.920]  Tie your shoelaces is a big challenge. I'm not being mean. Let me just give you the number slowly so you can call in
[25:30.920 --> 25:37.720]  Are you ready for it? It's one eight seven seven well actually with a new common core two plus two could equal
[25:37.720 --> 25:44.280]  Five so I could give out a wrong number and they could get into the show under under new government training
[25:44.800 --> 25:49.620]  Of course, that won't work like that in the real world. I'm folks. I'm being an extremist. I'm sorry
[25:49.720 --> 25:55.560]  Can I just give the number out wrong and they can get on like two plus two equals five then couldn't you then if I say give
[25:55.560 --> 25:58.320]  Out the last number wrong shouldn't they be able to get a hold of me?
[25:59.440 --> 26:03.040]  Let me get the number out wrong on air for you. That's how you like it here
[26:03.040 --> 26:03.560]  Let me give it now
[26:03.560 --> 26:08.840]  I'm gonna give to you right folks woman don't want some innocent person being called by thousand people eight seven seven seven eight nine
[26:09.040 --> 26:12.760]  Two five three nine four Obama supporters. Here's the number eight
[26:14.000 --> 26:15.440]  seven
[26:15.440 --> 26:16.920]  seven
[26:16.920 --> 26:18.920]  seven eight nine
[26:19.760 --> 26:21.760]  two five
[26:22.440 --> 26:24.440]  three nine
[26:25.000 --> 26:30.320]  Just pick up that Obama phone you got and call me and tell me how I'm wrong. Tell me how I'm bad
[26:30.320 --> 26:34.600]  Tell me I need more fluoride to be like you soon. I'll be like you. I'm not trying to be me
[26:34.600 --> 26:40.240]  Actually, we have some smarter folks call in who really believe they want to help poor people and really believe all the bull
[26:41.120 --> 26:44.800]  They're not even dumb. They're just gullible and I've been gullible before too
[26:44.800 --> 26:48.560]  But it's time to not be gullible anymore. So when we come back, I want to talk to you
[26:48.560 --> 26:54.640]  But here is our my good buddy Rand Paul on the all-seeing CBS today
[26:54.640 --> 26:59.840]  Breaking down the truth that it's Obama shut in the government down not those against his
[27:00.640 --> 27:02.640]  Gang rape care or whatever it's called. Here it is
[27:02.640 --> 27:07.800]  I think there's really a problem with limiting people's choices and we should continue to have this debate
[27:07.880 --> 27:13.280]  But it's the president who's refusing to come to the negotiating table. We've been offering
[27:13.280 --> 27:18.680]  We've now offered a new compromise our new compromise is not getting rid of his signature achievement
[27:18.680 --> 27:23.520]  But delaying it to make sure that it doesn't totally destroy the insurance market in our country
[27:23.520 --> 27:27.640]  It's there. Let me just ask you this. Is there a way out of this?
[27:28.680 --> 27:32.560]  Democrats are not going to go along with with postponing health care
[27:33.080 --> 27:37.360]  You don't have the votes to override a veto. Is there is there a third way?
[27:37.360 --> 27:44.840]  Is there some way to prevent the government from having to shut down and putting 800,000 federal?
[27:44.840 --> 27:50.160]  Yeah, he goes on and calls for a conference committee. All right. I want to play one more clip as I mentioned this earlier
[27:50.160 --> 27:54.620]  Here's Harry Reid a week and a half ago saying the Tea Party is running the country
[27:56.280 --> 28:04.000]  But they were anarchist because they did not believe in government in any level and they acknowledge it the Peter Pete Tea Party kind of hides that
[28:04.680 --> 28:08.840]  They don't say it were against government. That's what it all amounts to they're not they're not
[28:09.520 --> 28:11.520]  doing physically
[28:11.560 --> 28:16.160]  Destructive things to buildings and people but they directly but they are doing everything
[28:16.160 --> 28:21.040]  They can to throw a monkey wrench into any form of government whether it's this local
[28:22.040 --> 28:28.840]  Whether it's whether it's state or federal government. That's what it's all about and so anything they can do
[28:29.720 --> 28:33.960]  To throw a monkey wrench in the wheels of government. They're happy doing that
[28:34.200 --> 28:38.920]  And I'm sorry to say my friend from Oklahoma is helping them. Maybe not directly
[28:38.920 --> 28:40.920]  Well, we come back. We'll play the part where he says
