[00:00.000 --> 00:20.000]  Music
[04:10.000 --> 04:12.000]  I'm going to feed him boiled chicken manure.
[04:12.000 --> 04:14.000]  She said, no, you won't.
[04:14.000 --> 04:16.000]  But she snuck and gave him Hindu tea,
[04:16.000 --> 04:18.000]  which had all the natural immunities.
[04:18.000 --> 04:21.000]  And he never really got sick again.
[04:21.000 --> 04:23.000]  So that's why they're now doing transfusions
[04:23.000 --> 04:27.000]  of people's fecal matter that have the right bacteria
[04:27.000 --> 04:30.000]  into other people that don't, who've taken too many antibiotics.
[04:30.000 --> 04:32.000]  It's crazy, folks, but it's all real.
[04:32.000 --> 04:34.000]  And the system knows this.
[04:34.000 --> 04:35.000]  They're removing our immune system.
[04:35.000 --> 04:38.000]  And the studies already show these mRNA vaccines
[04:38.000 --> 04:40.000]  either turn off your immune system
[04:40.000 --> 04:42.000]  and make you have an allergic response to any cold virus,
[04:42.000 --> 04:44.000]  or it turns it way up.
[04:44.000 --> 04:47.000]  And now you see what Wolfgang Wodarg and the EU experts
[04:47.000 --> 04:49.000]  warned about is now happening everywhere.
[04:49.000 --> 04:51.000]  They're now covering up deaths, by the way, from the vaccine.
[04:51.000 --> 04:53.000]  That's all coming up in 60 seconds.
[04:53.000 --> 04:55.000]  So, folks, tune in right now.
[04:58.000 --> 05:00.000]  This message is not for our regular listeners
[05:00.000 --> 05:03.000]  who are informed and understand about the value
[05:03.000 --> 05:06.000]  of essential vitamins and minerals,
[05:06.000 --> 05:09.000]  meaning if you don't have them, you die long term.
[05:09.000 --> 05:10.000]  It's for new listeners.
[05:10.000 --> 05:12.000]  The power structure works around the clock
[05:12.000 --> 05:14.000]  to kind of debilitate you and try to make you sickly.
[05:14.000 --> 05:17.000]  Please research, because this is life and death,
[05:17.000 --> 05:19.000]  vitamins that are essential
[05:19.000 --> 05:21.000]  and minerals that are essential.
[05:21.000 --> 05:23.000]  Just type that into a search engine.
[05:23.000 --> 05:25.000]  You will see the top universities, CDC,
[05:25.000 --> 05:26.000]  all of them telling you this,
[05:26.000 --> 05:28.000]  but you won't see this on the nightly news
[05:28.000 --> 05:31.000]  because they don't want you at the big pharma companies
[05:31.000 --> 05:34.000]  to understand how to protect yourself
[05:34.000 --> 05:36.000]  to a great extent from what's going on in the world
[05:36.000 --> 05:38.000]  on a routine basis.
[05:38.000 --> 05:40.000]  We now have Back in Stock, Winner's Son,
[05:40.000 --> 05:43.000]  the highest quality vitamin D3 with vitamin K
[05:43.000 --> 05:45.000]  for your body's immune system, Back in Stock,
[05:45.000 --> 05:47.000]  sold out for months.
[05:47.000 --> 05:50.000]  It is essential, it is vital, and it is 50% off,
[05:50.000 --> 05:52.000]  so you have no excuse but to get it for yourself
[05:52.000 --> 05:53.000]  and your family.
[05:53.000 --> 05:55.000]  Winner's Son, Back in Stock, 50% off
[05:55.000 --> 06:16.000]  at infowarstore.com.
[06:16.000 --> 06:19.000]  We are now 22 days out from the inauguration
[06:19.000 --> 06:21.000]  of either Joe Biden, the Communist Chinese agent,
[06:21.000 --> 06:23.000]  or the rightful winner in the biggest landslide
[06:23.000 --> 06:26.000]  and political realignment in modern U.S. history,
[06:26.000 --> 06:28.000]  Donald John Trump.
[06:28.000 --> 06:30.000]  You can debate whether you should have done this
[06:30.000 --> 06:33.000]  pardon or should have done this emergency bill.
[06:33.000 --> 06:35.000]  That's all deck chairs in the Titanic.
[06:35.000 --> 06:38.000]  What matters is we reelected him,
[06:38.000 --> 06:40.000]  and the Globals are coming in trying to steal
[06:40.000 --> 06:42.000]  this election from us.
[06:42.000 --> 06:44.000]  Now, I know some incredible information
[06:44.000 --> 06:47.000]  that I am not at liberty to tell you,
[06:47.000 --> 06:50.000]  but I am at liberty to just give you a hint,
[06:50.000 --> 06:52.000]  which I don't think is too hard.
[06:52.000 --> 06:57.000]  As Trump said, January 6th will be wild in D.C.
[06:57.000 --> 06:59.000]  Well, it will be wild.
[06:59.000 --> 07:03.000]  And I can tell you the twilight zone nature of all of this
[07:03.000 --> 07:05.000]  went up to a whole new level yesterday,
[07:05.000 --> 07:07.000]  and I'll leave it at that.
[07:07.000 --> 07:09.000]  Trump knew about the first rally in D.C.
[07:09.000 --> 07:12.000]  He didn't know about the second one, got real upset.
[07:12.000 --> 07:15.000]  Said I would have been there if he had known
[07:15.000 --> 07:19.000]  that I flew over for like an hour in his helicopter.
[07:19.000 --> 07:22.000]  And, well, let's just say you're going to want to go to D.C.
[07:22.000 --> 07:24.000]  on the 6th.
[07:24.000 --> 07:27.000]  It will show the globalists we know Trump early won.
[07:27.000 --> 07:29.000]  And it will begin the process one way or another
[07:29.000 --> 07:32.000]  of removing the globalist puppet, Joe Biden.
[07:32.000 --> 07:36.000]  I mean by impeachment or keeping him from getting in
[07:36.000 --> 07:40.000]  on the 20th.
[07:40.000 --> 07:43.000]  The last thing I want is for Joe Biden to have a hair
[07:43.000 --> 07:47.000]  on his degenerate head, his evil chai-kong had hurt,
[07:47.000 --> 07:49.000]  because that will turn him into a martyr.
[07:49.000 --> 07:51.000]  And I go back to this.
[07:51.000 --> 07:53.000]  The media still, thousands of articles.
[07:53.000 --> 07:55.000]  Arrest Jones, he said, killed Joe Biden.
[07:55.000 --> 07:56.000]  Oh, where's the secret service?
[07:56.000 --> 07:57.000]  They didn't come talk to me.
[07:57.000 --> 07:59.000]  Because they watched the whole speech.
[07:59.000 --> 08:01.000]  And the media edited it.
[08:01.000 --> 08:05.000]  I said, I don't know if he's going to get it in 30-something
[08:05.000 --> 08:07.000]  days back at the time.
[08:07.000 --> 08:10.000]  Or I don't know if he's going to get impeached,
[08:10.000 --> 08:12.000]  but we're going to remove him one way or another.
[08:12.000 --> 08:14.000]  Well, they just took the club and he's saying,
[08:14.000 --> 08:15.000]  we're moving one way or another.
[08:15.000 --> 08:17.000]  And said, that's a death threat.
[08:17.000 --> 08:20.000]  Compared to them saying they're going to kill Trump everywhere.
[08:20.000 --> 08:23.000]  The former head of the CIA assassination squad said,
[08:23.000 --> 08:27.000]  the government's going to kill this guy.
[08:27.000 --> 08:29.000]  That's like if a convicted child molester says,
[08:29.000 --> 08:30.000]  I'm going to come rape your kid.
[08:30.000 --> 08:32.000]  You get in trouble because you're a convicted child molester.
[08:32.000 --> 08:35.000]  When you're the former guy that ran the CIA death squads,
[08:35.000 --> 08:38.000]  he says, the guys at Foggy Bottom are going to kill Trump.
[08:38.000 --> 08:42.000]  That's a very serious threat.
[08:42.000 --> 08:46.000]  And I consulted with the Secret Service and demanded that they do
[08:46.000 --> 08:47.000]  something about him.
[08:47.000 --> 08:50.000]  And the little word is, he got to visit.
[08:50.000 --> 08:53.000]  So that's who you go after, people that actually have a history
[08:53.000 --> 08:55.000]  of this type of behavior.
[08:55.000 --> 08:58.000]  The CIA has a history of killing US presidents and I'm sick
[08:58.000 --> 09:01.000]  and tired of it.
[09:01.000 --> 09:04.000]  OK, let me just kind of calmly explain this.
[09:04.000 --> 09:08.000]  I got prepared for yesterday's show for several days.
[09:08.000 --> 09:11.000]  And then I got so upset after looking at all the news and
[09:11.000 --> 09:15.000]  evidence and over preparing that I was in such a nasty move when
[09:15.000 --> 09:18.000]  I started the show yesterday that I just didn't cover it.
[09:18.000 --> 09:21.000]  And let me explain why.
[09:21.000 --> 09:24.000]  Most of this info I've already looked at five or six times.
[09:24.000 --> 09:26.000]  Then I add new info to it.
[09:26.000 --> 09:27.000]  And it's so ridiculous.
[09:27.000 --> 09:28.000]  It's so fraudulent.
[09:28.000 --> 09:32.000]  It's so transparent.
[09:32.000 --> 09:36.000]  It's like watching someone stick their arm in a garbage disposal
[09:36.000 --> 09:39.000]  and say, I heard on TV if I flip the switch,
[09:39.000 --> 09:42.000]  it's going to massage my fingers.
[09:42.000 --> 09:43.000]  You go, let me show you what it does.
[09:43.000 --> 09:45.000]  And you stick a carrot in it and it cuts it up.
[09:45.000 --> 09:47.000]  You go, don't stick your hand in that.
[09:47.000 --> 09:48.000]  They go, I'm doing it.
[09:48.000 --> 09:49.000]  You're a liar.
[09:49.000 --> 09:54.000]  Stick their hand on and cut their fingers off.
[09:54.000 --> 09:56.000]  I mean, use whatever analogy you want.
[09:56.000 --> 09:58.000]  But like, don't jump off that cliff.
[09:58.000 --> 09:59.000]  You'll die.
[09:59.000 --> 10:03.000]  And it's a thousand foot cliff.
[10:03.000 --> 10:05.000]  This is open and shut.
[10:05.000 --> 10:07.000]  We have all the proof.
[10:07.000 --> 10:09.000]  And we know the further we go down this rat hole,
[10:09.000 --> 10:11.000]  the further we let the system drag us,
[10:11.000 --> 10:13.000]  the worse it's going to get.
[10:13.000 --> 10:15.000]  And they've committed this mass crime against humanity
[10:15.000 --> 10:18.000]  with the lockdown and the COVID hoax and all of it
[10:18.000 --> 10:21.000]  because they've not gotten in trouble for their past activities
[10:21.000 --> 10:25.000]  and now they are extremely, extremely arrogant.
[10:25.000 --> 10:28.000]  And they've got all these minions that feel like
[10:28.000 --> 10:30.000]  they're doing a good job that are going along with all this,
[10:30.000 --> 10:33.000]  not knowing they're aiding in their own destruction.
[10:33.000 --> 10:36.000]  So let me just tell you what we've got coming up today.
[10:36.000 --> 10:42.000]  The news I had yesterday that then dovetails
[10:42.000 --> 10:45.000]  and augments with the news I've got today.
[10:45.000 --> 10:49.000]  And then I've got a call to action for everybody
[10:49.000 --> 10:51.000]  that is not even civil disobedience.
[10:51.000 --> 10:54.000]  It's just citizen journalism.
[10:54.000 --> 10:56.000]  If you want to stop these new world order people
[10:56.000 --> 10:58.000]  dead in their tracks.
[10:58.000 --> 11:01.000]  But let me show you just the COVID stacks.
[11:01.000 --> 11:04.000]  One is from yesterday, three are from today.
[11:04.000 --> 11:08.000]  So I have four stacks right here, four COVID stacks.
[11:08.000 --> 11:10.000]  Now look at this stat.
[11:10.000 --> 11:13.000]  WHO, bigger pandemic than COVID is coming.
[11:13.000 --> 11:16.000]  You can talk an hour about that, how it's all pre-programmed.
[11:16.000 --> 11:18.000]  We can show you how it's pre-programmed.
[11:18.000 --> 11:21.000]  We can even show you documents where they admit this is a simulation
[11:21.000 --> 11:24.000]  for the real one that they're about to launch.
[11:24.000 --> 11:26.000]  And then I have Bill Gates admitting it.
[11:26.000 --> 11:28.000]  And you go, why does he admit it?
[11:28.000 --> 11:32.000]  Why in every cartoon does a supervillain brag?
[11:32.000 --> 11:34.000]  That's criminology. They brag.
[11:34.000 --> 11:38.000]  The real pleasure is throwing it in your face.
[11:38.000 --> 11:40.000]  In fact, I'm told the globalists thought I was funny
[11:40.000 --> 11:42.000]  until Trump got elected.
[11:42.000 --> 11:44.000]  They thought, oh, we love Jones.
[11:44.000 --> 11:46.000]  He tells them what we're doing to them.
[11:46.000 --> 11:48.000]  My show was a big entertainment for them.
[11:48.000 --> 11:50.000]  It's not so entertaining now.
[11:50.000 --> 11:53.000]  But that's how these people operate.
[11:53.000 --> 11:55.000]  So let's continue.
[11:55.000 --> 11:57.000]  This is just one stack.
[11:57.000 --> 12:01.000]  Whistleblower, globalists planning more lockdowns
[12:01.000 --> 12:05.000]  to usher in universal basic income.
[12:05.000 --> 12:07.000]  This is a whistleblower in government.
[12:07.000 --> 12:08.000]  We don't need a whistleblower.
[12:08.000 --> 12:09.000]  We have the damn public documents.
[12:09.000 --> 12:14.000]  Klaus Schwab and Justin Trudeau and all of them admit it.
[12:14.000 --> 12:17.000]  UK researchers, China's COVID response
[12:17.000 --> 12:20.000]  will make them world's biggest economy in 2028.
[12:20.000 --> 12:21.000]  That's the whole spin.
[12:21.000 --> 12:23.000]  The headline is China responded right.
[12:23.000 --> 12:25.000]  They're totally open. We'll never be open.
[12:25.000 --> 12:27.000]  So they're going to run the world in just a few years.
[12:27.000 --> 12:29.000]  That's the whole setup.
[12:29.000 --> 12:31.000]  Print me some of those headlines.
[12:31.000 --> 12:33.000]  I meant to cover it this weekend when I came in and did reports.
[12:33.000 --> 12:35.000]  So just type in China to replace
[12:35.000 --> 12:37.000]  US's world's biggest economy, 2028,
[12:37.000 --> 12:39.000]  like Bloomberg Reuters, all that.
[12:39.000 --> 12:42.000]  I'm showing you what some of the stacks are.
[12:42.000 --> 12:44.000]  Scientists grab a determined mutant strain
[12:44.000 --> 12:46.000]  of coronavirus will deepen pandemic.
[12:46.000 --> 12:48.000]  I have scanned over or read all of these,
[12:48.000 --> 12:51.000]  and they all tie together. This is just one stack.
[12:51.000 --> 12:53.000]  Now, this admits world government.
[12:53.000 --> 12:55.000]  This admits this was just a lockdown drill.
[12:55.000 --> 12:57.000]  The real depopulation weapons are coming.
[12:57.000 --> 13:01.000]  By submitting, you guarantee they roll out COVID 2.0.
[13:01.000 --> 13:03.000]  And I don't just have their own documents.
[13:03.000 --> 13:05.000]  I have Bill Gates saying it, and I'll play that for you.
[13:05.000 --> 13:07.000]  That's pretty important, huh?
[13:07.000 --> 13:09.000]  Pretty upsetting, too.
[13:09.000 --> 13:12.000]  Let's move on to the other stack.
[13:12.000 --> 13:17.000]  LA County hospitals reached the breaking point.
[13:17.000 --> 13:19.000]  Turnaway ambulances.
[13:19.000 --> 13:22.000]  So I went to the National Hospital Association
[13:22.000 --> 13:25.000]  in accordance with the CDC's own maps
[13:25.000 --> 13:29.000]  and gave up to the date COVID tracking numbers
[13:29.000 --> 13:31.000]  for the hospitals.
[13:31.000 --> 13:33.000]  And it's a total lie, and it's a total fraud.
[13:33.000 --> 13:36.000]  What they do is they'll designate five beds
[13:36.000 --> 13:38.000]  in a hospital for COVID.
[13:38.000 --> 13:40.000]  And then when those beds go over,
[13:40.000 --> 13:43.000]  they go, oh, my God, we're at 100% capacity
[13:43.000 --> 13:45.000]  manipulating the statistics
[13:45.000 --> 13:47.000]  when many of the hospitals are still completely empty.
[13:47.000 --> 13:50.000]  Some, like the big emergency hospitals
[13:50.000 --> 13:52.000]  are already overwhelmed, are turning people away.
[13:52.000 --> 13:54.000]  They do routinely.
[13:54.000 --> 13:56.000]  I was in an LA event once, and one of our crew members
[13:56.000 --> 13:59.000]  had violent food poisoning.
[13:59.000 --> 14:01.000]  And we took them to the emergency room,
[14:01.000 --> 14:03.000]  and they turned him away,
[14:03.000 --> 14:06.000]  even though we were having to carry him.
[14:06.000 --> 14:08.000]  And he was vomiting everywhere.
[14:08.000 --> 14:09.000]  Now, that was 10, 12 years ago.
[14:09.000 --> 14:11.000]  I was 14 years ago.
[14:11.000 --> 14:14.000]  So again, they're like, oh, we're turning people away.
[14:14.000 --> 14:18.000]  Well, that's like saying one restaurant is full,
[14:18.000 --> 14:20.000]  but there's 10 more next door that aren't.
[14:20.000 --> 14:22.000]  That's how they statistically manipulated.
[14:22.000 --> 14:25.000]  But I'm just going to tell you that.
[14:25.000 --> 14:27.000]  We're going to show you where you can go directly
[14:27.000 --> 14:29.000]  into the CDC's own numbers
[14:29.000 --> 14:31.000]  and see what every hospital in your town or city has,
[14:31.000 --> 14:33.000]  because the COVID cases are all reported,
[14:33.000 --> 14:36.000]  because they're all incentivized to call it COVID to get money.
[14:36.000 --> 14:39.000]  And most of these people don't even need to be in the hospital.
[14:39.000 --> 14:43.000]  But Travis County is at, as of last night,
[14:43.000 --> 14:47.000]  9% COVID capacity.
[14:47.000 --> 14:52.000]  There are 77 people
[14:52.000 --> 14:55.000]  in hospitals in Austin, in Travis County,
[14:55.000 --> 14:57.000]  that supposedly have COVID.
[14:57.000 --> 14:59.000]  We're talking millions of people,
[14:59.000 --> 15:03.000]  77 in the hospital,
[15:03.000 --> 15:06.000]  and they're having a death maybe once a week.
[15:06.000 --> 15:08.000]  I mean, you can go look at the numbers for yourself.
[15:08.000 --> 15:10.000]  I'll show you where you can go look at it.
[15:10.000 --> 15:13.000]  And even see it in an even NPR,
[15:13.000 --> 15:16.000]  they link to it going, oh my gosh, epidemic,
[15:16.000 --> 15:18.000]  everything's shut down, hospitals overwhelmed.
[15:18.000 --> 15:20.000]  Look at the statistics here.
[15:20.000 --> 15:21.000]  It's a confidence game.
[15:21.000 --> 15:23.000]  They know no one goes and actually looks at the statistics.
[15:23.000 --> 15:25.000]  Maybe one out of a thousand.
[15:25.000 --> 15:26.000]  We did.
[15:26.000 --> 15:29.000]  It's like saying, there's a giant monster in that building,
[15:29.000 --> 15:30.000]  but don't go in there.
[15:30.000 --> 15:33.000]  You go in there, there's nothing there.
[15:33.000 --> 15:35.000]  So we've all got to go out of these hospitals
[15:35.000 --> 15:36.000]  and just show this.
[15:36.000 --> 15:38.000]  I mean, I already know how many are there.
[15:38.000 --> 15:40.000]  I'll go to these hospitals that have empty parking lots.
[15:40.000 --> 15:42.000]  You can look at the CDC's own number
[15:42.000 --> 15:45.000]  and go there, five patients in that hospital with COVID.
[15:45.000 --> 15:48.000]  Meanwhile, they're on the news in like gas masks and spaces.
[15:48.000 --> 15:49.000]  We're all dying.
[15:49.000 --> 15:50.000]  There's dead everywhere.
[15:50.000 --> 15:52.000]  There's dead bodies everywhere inside.
[15:52.000 --> 15:54.000]  You can look at the hospital and see no one's died
[15:54.000 --> 15:55.000]  a month in there from COVID.
[15:55.000 --> 16:24.000]  Total fraud.
[16:26.000 --> 16:31.000]  그러니까.
[16:31.000 --> 16:33.000]  The red dot video.
[16:33.000 --> 16:35.000]  The resistance Scott video.
[16:35.000 --> 16:39.000]  They're trying to block us because the truth is powerful
[16:39.000 --> 16:40.000]  and can defeat them.
[16:40.000 --> 16:41.000]  So the new URL that links right to Band-Aid video
[16:41.000 --> 16:41.000]  and all of our videos and all of our documentaries
[16:41.000 --> 16:45.000]  and all the special reports and all the suppressed information
[16:45.000 --> 16:50.000]  is at the resistance.video Share the link
[16:50.000 --> 16:52.000]  the resistance.video The resistance.video
[16:52.000 --> 16:53.000]  and all the robust information is at the resistance.video
[16:53.000 --> 16:56.640]  The resistance dot video, the resistance dot video.
[16:56.640 --> 17:00.320]  The year 2021 is almost here.
[17:00.320 --> 17:03.960]  And so we're launching our new year's specials right now.
[17:03.960 --> 17:05.480]  We've got two different big sales.
[17:05.480 --> 17:08.840]  We've got Supermobile Vitality Turbo Force and Ultra 12,
[17:08.840 --> 17:12.680]  part of the New Year's Resolution Energize Pack, 40% off.
[17:12.680 --> 17:15.080]  And we've got Bodies, Vaso Beats and Knockout,
[17:15.080 --> 17:17.640]  part of the New Year's Resolution Revitalize Pack
[17:17.640 --> 17:18.800]  at 40% off.
[17:18.800 --> 17:21.320]  But if you get both of these packs together,
[17:21.320 --> 17:24.080]  they are 60% off with free shipping
[17:24.080 --> 17:27.200]  and double Patriot points, the best deal ever.
[17:27.200 --> 17:28.720]  I wanna thank you all for your support
[17:28.720 --> 17:31.520]  and encourage you to go to infowarstore.com today
[17:31.520 --> 17:32.640]  and take advantage of this.
[17:32.640 --> 17:35.360]  And you can't lose because it funds the Info War.
[17:35.360 --> 17:37.600]  Again, get the great products at infowarstore.com
[17:37.600 --> 17:40.560]  and fund the Second American Revolution worldwide
[17:40.560 --> 17:42.760]  at a time that it's more critical than ever.
[17:42.760 --> 17:45.800]  Again, the year 2021 is here
[17:45.800 --> 17:47.600]  and I am committed to you to fight
[17:47.600 --> 17:49.320]  against the globalist harder than ever.
[17:49.320 --> 17:52.200]  So thank you so much for keeping Info Wars in the fight.
[17:52.200 --> 17:54.320]  Light your support, we couldn't do any of it.
[17:59.120 --> 18:02.120]  You're listening to the Alex Jones Show.
[18:07.960 --> 18:12.840]  Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey,
[18:12.840 --> 18:17.600]  Lord, I can't change.
[18:17.600 --> 18:22.600]  Don't you fly, I'm free, oh, yeah.
[18:33.360 --> 18:35.200]  All right, if you just joined us, ladies and gentlemen,
[18:35.200 --> 18:36.960]  the next segment, I'm gonna show you
[18:36.960 --> 18:38.800]  from the CDC's own website.
[18:40.000 --> 18:41.520]  I'm gonna show you from NPR,
[18:41.520 --> 18:43.080]  I'm gonna show you from CNN,
[18:43.080 --> 18:46.960]  links they send to the official data of the hospitals
[18:46.960 --> 18:49.200]  in every county and every city in America.
[18:49.200 --> 18:51.640]  And I'm gonna show you local news
[18:51.640 --> 18:54.640]  saying they're gonna declare martial law basically
[18:54.640 --> 18:56.480]  and have nighttime curfews
[18:56.480 --> 18:58.800]  and close all small businesses again.
[19:00.200 --> 19:02.720]  Notice it never ends, the problem never ends
[19:02.720 --> 19:05.080]  because the hospitals are all full of COVID
[19:05.080 --> 19:08.280]  and there's mass infection, but not mass death
[19:08.280 --> 19:09.880]  because they're upping the amount of tests
[19:09.880 --> 19:11.440]  that are being done.
[19:11.440 --> 19:13.240]  And basically almost everybody that gets tested,
[19:13.240 --> 19:16.680]  they say have it because the inventor of the PCR test said,
[19:16.680 --> 19:18.400]  you can set it for whatever you want
[19:18.400 --> 19:20.680]  and even federal and international courts have said,
[19:20.680 --> 19:22.720]  it is a fraud and not admissible
[19:22.720 --> 19:26.360]  and the New York Times says 96% are false positive.
[19:28.080 --> 19:30.800]  Unbelievable, but now this little computer,
[19:30.800 --> 19:34.880]  this little black box can say you can't get on an airplane,
[19:34.880 --> 19:36.480]  can't have a job, can't live your life
[19:36.480 --> 19:38.040]  and then you gotta take a vaccine
[19:38.040 --> 19:39.720]  with the head of the WHO.
[19:39.720 --> 19:42.240]  Now, it's doesn't even protect you from COVID,
[19:42.240 --> 19:45.640]  it doesn't even protect you from sharing it
[19:45.640 --> 19:47.320]  and spreading it.
[19:47.320 --> 19:51.080]  This is a witch hunt based on hysteria,
[19:51.080 --> 19:52.440]  based on chicken little behavior.
[19:52.440 --> 19:56.220]  It's a chicken little meets the Salem witch trials.
[19:57.280 --> 19:58.400]  It's coming up next segment.
[19:58.400 --> 20:02.080]  And I could sit here and do drum beats,
[20:02.080 --> 20:03.960]  I could sit here and pull my hair out.
[20:03.960 --> 20:07.840]  I mean, I could sit here, this is the total proof
[20:07.840 --> 20:11.000]  that once you wear a mask for six, eight, nine, 10 months,
[20:11.000 --> 20:12.320]  once you've virtue signal,
[20:12.320 --> 20:14.840]  once you decide you're a hero,
[20:14.840 --> 20:17.920]  you go along with and you go along with the contact tracing
[20:17.920 --> 20:20.840]  and the tracker apps and the medical IDs
[20:20.840 --> 20:22.960]  and the force inoculations that the corporations
[20:22.960 --> 20:25.680]  are all gonna force us through corporate governance to do.
[20:25.680 --> 20:28.440]  That's what world government is, is corporate governance.
[20:30.600 --> 20:33.120]  But the good news is even Marco Rubio
[20:33.120 --> 20:34.440]  has come out against all this,
[20:34.440 --> 20:36.800]  saying it's a power grab and a lie
[20:36.800 --> 20:38.620]  and elites taking over.
[20:38.620 --> 20:40.420]  Marco Rubio sticks his finger in the air
[20:40.420 --> 20:41.600]  and goes the way it blows.
[20:41.600 --> 20:46.120]  When Rubio says no to this, it means his constituents
