[00:00.000 --> 00:22.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[32:48.000 --> 32:53.000]  Boost, protect and adapt with cell force from InfoWare's Life.
[32:53.000 --> 33:21.000]  Head to infowarslife.com or call 1-888-253-3139.
[33:21.000 --> 33:25.000]  All from Lines of the Information War.
[33:25.000 --> 33:32.000]  It's Alex Jones.
[33:32.000 --> 33:39.000]  Ladies and gentlemen, we are back live. Again, thank you so much for joining us on this Wednesday edition.
[33:39.000 --> 33:51.000]  I want to write out of the gates here before I get into the latest situation with the deep state trying to kill the recovery and take Donald Trump out of office and then federalize the elections.
[33:51.000 --> 33:53.000]  We'll never really have another free election again after that.
[33:53.000 --> 34:04.000]  Before I do that, I wanted to just play this clip again. I normally play clips two days in a row, but the president talking about the Democrats obstructing our recovery really ought to get us.
[34:04.000 --> 34:09.000]  And the fact that they are really engaged in treason because it's one thing to have your political views.
[34:09.000 --> 34:22.000]  It's another thing to try to overthrow the American system and have a revolution against it and bring in the failed system that all these other countries have had, but that helps the elites that crave total control.
[34:22.000 --> 34:28.000]  The people that want cults of power. So here is the president.
[34:28.000 --> 34:38.000]  I said you have the lowest black unemployment in the history of our country. It was like, it was a game. You know, they play games.
[34:38.000 --> 34:48.000]  They were told don't even make a facial movement. And I'm talking about you have the lowest Hispanic unemployment in the history of our country.
[34:48.000 --> 34:58.000]  This isn't me said this is the charts, the polls. We have the lowest in the history of our country, dead silence, not a smile.
[34:58.000 --> 35:04.000]  In fact, there was one guy when I said the lowest African American unemployment.
[35:04.000 --> 35:17.000]  He was sort of clapping like, who was that guy? He's a nice guy. I think he was a reverend and he was I wouldn't say it was exactly a rousing, but he he was putting his hands together.
[35:17.000 --> 35:27.000]  And I want to find out who he is. I'm going to send him a letter of thank you. And he was probably severely reprimanded. Don't you think Rob? I think so because he was the only one.
[35:27.000 --> 35:37.000]  So that means they would rather see Trump do badly. Okay, then our country do well. That's what it means. It's very selfish.
[35:37.000 --> 35:48.000]  And it got to a point where I really didn't even want to look too much during the speech over to that side because honestly, it was bad energy.
[35:48.000 --> 35:59.000]  No, it was bad energy. You're up there. You've got half the room going totally crazy wild. They loved everything. They want to do something great for our country.
[35:59.000 --> 36:13.000]  And you have the other side, even on positive news, really positive news like that. They were like death and un-American, un-American.
[36:13.000 --> 36:21.000]  Somebody said treasonous. I mean, yeah, I guess why not? Can we call that treason? Why not?
[36:21.000 --> 36:32.000]  I mean, they certainly didn't love our country very much, but you look at that and it's really very, very sad.
[36:32.000 --> 36:41.000]  So we have to keep it going because this country is turning and it's turning much faster. And I said I'm going to do it, but it's happening faster than I thought.
[36:41.000 --> 36:51.000]  And they are really, really angry and I can feel their anger that they don't have this country in a total stranglehold anymore.
[36:51.000 --> 36:59.000]  Speaking of stranglehold, before I get into the latest FBI fiasco, we'll get into the Dow Jones. It's up 200 points today.
[36:59.000 --> 37:12.000]  The Democrats are trying to force a vote on the Dreamers. They want total capitulation, completely wide open borders, the State Department under the control of the United Nations as it already was until Obama got out of office.
[37:12.000 --> 37:26.000]  They want that system set back up. They want to basically have the U.S. under the U.N.'s refugee control system where it was dictating the State Department who was let in and it was vetting who could be let in,
[37:26.000 --> 37:38.000]  including people on Interpol terror watch list. Because remember, in Sweden, in Germany, in France, in Belgium, in the Netherlands, but particularly in the United Kingdom, it's been back on the news this week,
[37:38.000 --> 37:58.000]  they are bringing in hundreds, it was 400, just last month, the British News was reporting, 400 plus former jihad fighters who'd invaded Syria and they're now coming back into England because they either previously lived there
[37:58.000 --> 38:08.000]  or are being allowed in, even though they are admitted ISIS members and they're bringing in free housing and welfare and all these goodies, Paul Watson covered this yesterday,
[38:08.000 --> 38:23.000]  and pensioners are being thrown out of their government housing and being told to move in with their children to make room and they are doing all sorts of other horrible things.
[38:23.000 --> 38:35.000]  And of course, that's a whole other report on 400 British ISIS jihadists returning. There's a whole other article about 400 plus just completely unvetted, many of which are ISIS fighters.
[38:35.000 --> 38:45.000]  That's a whole separate headline they found. Wow, just so many, I can't even keep track of it anymore. So it just shows the total commitment to destroy the West and make it unlivable.
[38:45.000 --> 38:55.000]  So speaking of tyranny and speaking of treason, aren't you glad you don't live under the unelected European Union that no one knows how it just appeared?
[38:55.000 --> 39:03.000]  Well, actually we do, but the general public doesn't in the UK or Europe, they're learning about it thanks to independence parties that are taking over.
[39:03.000 --> 39:15.000]  In 1947, they had the Treaty of London that agreed to steal concessions and for a treaty on basically rebuilding Europe's steel industry and that would have the governments work together.
[39:15.000 --> 39:26.000]  Off of that body, they began to transfer power to it so that when politicians left or lost office, they had been good traders to France or Germany or England.
[39:26.000 --> 39:34.000]  They would then get a position on those corporate boards that were paid for by the big robber barons.
[39:34.000 --> 39:46.000]  And so from 47 with the Treaty of London, then in 56, they had the Treaty of Rome that really created the European Union, the European Economic Community.
[39:46.000 --> 39:58.000]  And then in 2000, they just suddenly announced, we're the EU, yay, and fireworks and the countries, none of them voted to enter it.
[39:58.000 --> 40:02.000]  And so they finally went, well, then let's vote to get out.
[40:02.000 --> 40:06.000]  That was the Brexit and they're still trying to get the face sucker off.
[40:06.000 --> 40:16.000]  But isn't that illustrative of how did Junker, the grandson of the head Nazis, how his dad was a top Nazi?
[40:16.000 --> 40:18.000]  How is Junker suddenly running everything?
[40:18.000 --> 40:20.000]  Well, because he's a top Nazi and that's what they do.
[40:20.000 --> 40:24.000]  They run things just like Soros.
[40:24.000 --> 40:26.000]  They're like, man, you killed thousands of your fellow Jews.
[40:26.000 --> 40:27.000]  You're a good guy.
[40:27.000 --> 40:29.000]  We're going to hire you to help run the New World Order.
[40:29.000 --> 40:31.000]  He's like Hail Hydra.
[40:31.000 --> 40:33.000]  This is never about Hitler.
[40:33.000 --> 40:35.000]  It's all about power and pure evil.
[40:35.000 --> 40:37.000]  Oh, yeah.
[40:37.000 --> 40:39.000]  Oh, yeah.
[40:39.000 --> 40:41.000]  Bezos is the richest guy in the world.
[40:41.000 --> 40:45.000]  No, Junker and people like him, no one knows.
[40:45.000 --> 40:50.000]  Okay, but Junker owns Luxembourg, the richest country per capita in the world.
[40:50.000 --> 40:52.000]  The most elite tax haven on the planet.
[40:52.000 --> 40:56.000]  Junker owns it.
[40:56.000 --> 40:57.000]  Why?
[40:57.000 --> 40:59.000]  Because his grandfather had Baradriper jumping and taking over.
[40:59.000 --> 41:04.000]  So that's why he told Trump,
[41:04.000 --> 41:07.000]  we will defeat you a year ago.
[41:07.000 --> 41:08.000]  Well, guess what?
[41:08.000 --> 41:11.000]  You got your ass handed to you, smiley face.
[41:11.000 --> 41:14.000]  That big old buzzard knows you got sticking in our business.
[41:14.000 --> 41:17.000]  So here's a new article on newswars.com from them,
[41:17.000 --> 41:21.000]  that secret EU army we first reported on 10 years ago.
[41:21.000 --> 41:24.000]  They've made it public last year and now they're announcing,
[41:24.000 --> 41:28.000]  if you try to leave, we'll roll in.
[41:28.000 --> 41:32.000]  EU threatens force against countries refusing migrants.
[41:32.000 --> 41:33.000]  That's right.
[41:33.000 --> 41:35.000]  If you don't let the Muslim invaders come in,
[41:35.000 --> 41:38.000]  80 plus percent military aged men will use force.
[41:38.000 --> 41:42.000]  They already are threatening a million to 100,000,
