[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[09:06.000 --> 09:22.000]  Now they're saying we need more and more shots. Now they're saying we've got to have all over the United States and leftist control areas like New York City and all of California papers to go to the grocery store, biomedical papers to be able to go to the bar or a restaurant or get your hair cut.
[09:22.000 --> 09:29.000]  And they're threatening to arrest and attack stores and businesses that don't register every customer that comes in.
[09:29.000 --> 09:40.000]  This is admitted by the IMF and World Bank and the private banks that own it. The tool to put in a surveillance global carbon tax grid that tracks and traces all your movements.
[09:40.000 --> 10:01.000]  And Klaus Schwab said five years ago, the end game is an implantable microchip and now Forbes and 60 Minutes and KTLA and hundreds of channels are, oh, there are microchips and they're going to track you for your COVID and you won't have to have a phone anymore to prove you're not diseased.
[10:01.000 --> 10:19.000]  And all of this, again, is based on the fraudulent PCR test. So we are in an amazing moment right now in world history where you have megacorporations that created the United Nations pushing a world ID, a world tracking system beyond any dystopic movie.
[10:19.000 --> 10:32.000]  All the old science fiction movies, you have to scan your hand or scan a chip or scan a phone to buy and sell. This is here. And right now is their globalist revolution trying to impose this on us.
[10:32.000 --> 10:49.000]  So that's why this audience of really informed people is so key because we form the brain trust that is developing the research, the understanding of the globalist takeover to be able to reach out to others and mobilize them to understand what we're facing.
[10:49.000 --> 11:04.000]  A lot of people that are accepting these deadly shots and accepting the internet passports and the social credit scores and the vaccine passports really believe it's about stopping COVID. They really believe it's about, hey, just do this, just comply and you'll get your freedom back.
[11:04.000 --> 11:15.000]  But you notice when you do take the vaccine, they suddenly say it doesn't work and you need more. You still got to wear a mask, still got to show vaccine pass because once they get you trapped in their system, you are a slave.
[11:15.000 --> 11:27.000]  This is simple history. And for those of us that understand that, we can't get mad at people that are dumbed down. They're domesticated. They've lived in freedom so long they've never experienced tyranny so they don't understand what's happening.
[11:27.000 --> 11:39.000]  And that's why this Attorney General, Eric Schmidt, is so important. He's even more hardcore than the governor of Florida who's become a major leader. And the governor of Texas is finally standing up and fighting back.
[11:39.000 --> 11:52.000]  And we need to see more of this from everyone. But before governors and attorney generals and others are going to lead, we're going to have to lead in our homes, in our businesses, in our churches, in our lives.
[11:52.000 --> 12:03.000]  When we see things that are wrong, we're going to have to speak up and say no because it's been our passive stance that has allowed these tyrants to bring in these systems of total control.
[12:03.000 --> 12:11.000]  And so our silence is really a complicit green light for these tyrants to bring in this nightmare system.
[12:11.000 --> 12:19.000]  If you wonder why things have gotten so Orwellian, so Twilight Zone, it's because good people haven't been standing up and saying no.
[12:19.000 --> 12:31.000]  And so the left and all the weird cults and organizations that have signed on to it, the pedophiles, the rest of it, are like a fish that's taken a line and taken a hook and are just running with it, dragging us along with them.
[12:31.000 --> 12:37.000]  So it's not till we stand up and pull back and say no, the things are going to get better. But we're seeing more good things happening.
[12:37.000 --> 12:44.000]  Here's an article from Kelly McBrane on infowords.com, underage sex changes labeled child abuse in Texas.
[12:44.000 --> 13:00.000]  The Texas Department of Family Health and Human Services that runs the CPS and sets the policy said, trying to convince someone under 18 to cut their genitals off or take chemicals to block their normal human processing is the delinquency of minors.
[13:00.000 --> 13:11.000]  It is like trying to be a pedophile and have sex with them or trying to give them liquor or drugs. It's the exact same thing, probably even worse than trying to give them drugs to just get them high.
[13:11.000 --> 13:19.000]  That's still bad. This is drugs that irrevocably change their body and stunt their development. So major huge victory there.
[13:19.000 --> 13:25.000]  And there's so many other big victories as well. We're going to be covering here on the show today.
[13:25.000 --> 13:30.000]  Owen's coming up next segment, but I'm going to be back with more victories, a whole raft of them later.
[13:30.000 --> 13:37.000]  So it's been said by Mark Twain that a lie goes halfway around the world before the truth puts its pants on.
[13:37.000 --> 13:42.000]  But that once the truth puts its pants on, it kicks the lie in the ass.
[13:42.000 --> 13:49.000]  Here's another big one, video. Child cries in Latin America as she's held down, injected with COVID facts against her will.
[13:49.000 --> 13:56.000]  And that's the same system now coming here to America. So get that video and share it with others.
[13:56.000 --> 14:07.000]  So much more is coming up today. And Owen Schreuer later in the hour is going to play a KXAN local TV report that's as hardcore as we are, which is great.
[14:07.000 --> 14:18.000]  More good news, showing the illegals all stacked up like cordwood and cages who are COVID positive being shipped to places like Austin, Texas, where info wars is based.
[14:18.000 --> 14:27.000]  Meanwhile, Joe Biden, Kamala Harris, and the head of ICE are saying illegals cannot carry COVID. They actually said that.
[14:27.000 --> 14:32.000]  They said there is no COVID problem with the illegals. There's only a COVID problem with you.
[14:32.000 --> 14:35.000]  Freedom is not a spectator sport. We're going to break.
[14:35.000 --> 14:46.000]  But I'm asking everyone watching to tell everyone, you know, listen to the local AM and FM station, local TV station, spread the word and spread the links from freeworldnews.tv and the links from infowars.com forward slash show.
[14:46.000 --> 14:51.000]  That's how we override the sensors. You've been doing a great job. Now let's take it to the next level for total victory.
[14:56.000 --> 15:03.000]  The answer to 1984 is 1776.
[15:03.000 --> 15:24.000]  Info wars has been banned, arrested, attacked and threatened because we are effective.
[15:24.000 --> 15:33.000]  The great awakening is here. Go to banned.video, download the videos and share.
[15:33.000 --> 15:43.000]  Support the information war at infowarstore.com and never give up the fight.
[15:43.000 --> 16:05.000]  If you're concerned about the power grid and want to generate your own supply of off grid electricity, this will be the most important message you'll hear this year.
[16:05.000 --> 16:15.000]  Here's why we now have a small number of solar generators back in stock. These emergency backup systems provide life saving backup power when you need it most.
[16:15.000 --> 16:24.000]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes and produce an endless supply of free electricity from the sun.
[16:24.000 --> 16:33.000]  Whether it's wildfires, dangerous weather, power grid issues or just getting off the grid, you'll never have to suffer through painful power outages again.
[16:33.000 --> 16:39.000]  Even better, all this week radio listeners get over $700 in free off the grid bonuses too.
[16:39.000 --> 16:45.000]  Go to mysolarbackup.com to learn more and check availability. That's mysolarbackup.com.
[16:45.000 --> 16:56.000]  Look for the free report, crisis cooling, how to make absolutely sure your meat, milk and medicines stay safe and cool in any power outage. Yours free at mysolarbackup.com.
[16:56.000 --> 17:05.000]  Hey everybody, if you've ever thought about heirloom beans as a storable survival food, I've got great news. In fact, I'll bet it's the best news you've heard in a while.
[17:05.000 --> 17:20.000]  Here's the thing, we've just received a fresh batch of gourmet heirloom beans, survival soup beans. These beans are gorgeous, highly nutritious and above all with no hesitation whatsoever, the best tasting beans in the entire world.
[17:20.000 --> 17:31.000]  The best part? We've dropped the price by 33% this week for listeners who know higher food prices are coming and want an inflation hedge you can actually eat if you want to, gets even better.
[17:31.000 --> 17:43.000]  With your permission and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world, period.
[17:43.000 --> 17:58.000]  Go to soupbeansurvival.com that's soupbeansurvival.com and discover the real reason we're giving this unusual superfood away at soupbeansurvival.com that's soupbeansurvival.com.
[17:58.000 --> 18:13.000]  So when I first started taking survival soup, basically I was 275 pounds, I was overweight, I had brain fog like you wouldn't believe, I was barely holding onto a jaw and I heard Dr. Group on your show and I listened to it. So the first one I got was the original survival soup, the X1.
[18:13.000 --> 18:27.000]  And it worked pretty good. And then shortly thereafter you came out with that stew, you know, with a deep burn source, you know, and I got really excited about that so I took it. And man, in two weeks I went from brain fog to like literally like my brain was enlightened.
[18:27.000 --> 18:39.000]  You know, I could think again, I could connect with people again. And over the course of the next couple of years I got my health back and I religiously take basically all of your supplements. They're all absolutely amazing supplements.
[18:39.000 --> 18:47.000]  The one I like recently is knockout literally like if you want to sleep, just take it. It's amazing. It works. But anyway, so the point is we have to get ourselves clean.
[18:47.000 --> 18:53.000]  We have to break free of the globalist system. And the only way to do that is to take our own health into our own hands.
[18:53.000 --> 19:10.000]  Beautifully said, brother. I thank you so much for your call and Godspeed.
[19:23.000 --> 19:48.000]  Thank you so much for your support.
[19:48.000 --> 20:04.000]  You're listening to the Alex Jones show.
[20:18.000 --> 20:43.000]  What's going on?
[20:43.000 --> 20:52.000]  Can I help you with something?
[20:52.000 --> 20:59.000]  Ladies and gentlemen, again, thank you for joining us on this live original Friday the 13th broadcast.
[20:59.000 --> 21:14.000]  The globalist are seizing control of every major nation on earth that is under United Nations control with the fear of the COVID virus, which again is a problem they can never defeat because you cannot defeat the common cold.
[21:14.000 --> 21:29.000]  They can have a fancy variant of it so they can have corporate ownership of a new kind miric virus based as a major foundational platform on the coronavirus, but it's now the vaccine itself.
[21:29.000 --> 21:45.000]  The main line scientific journals that is causing the vast majority of illnesses and illnesses that are COVID like serious monies are exploding across the planet. Almost everyone I know has either been sick or has family that's sick.
[21:45.000 --> 22:00.000]  And again, they're calling it COVID, but really it is prion crystals. And now they were attempting to place major roadblocks with internal checkpoints inside the United States, just as they're doing in the UK and Europe.
[22:00.000 --> 22:20.000]  They're calling it HR490 to direct the Secretary of Homeland Security to ensure that any individual traveling on a flight that departs from or arrives in an airport inside the United States or a territory United States is fully vaccinated against COVID-19 and for the purposes.
[22:20.000 --> 22:35.000]  So again, it's always about a global medicalizing. On the back of that, they're going to have the global carbon tax system through the smartphones that track everything you do. This is all on record from Clout Schwab.
[22:35.000 --> 22:56.000]  And you can rightly say who died and made Clout Schwab God. Well, he was the former director of the United Nations sustainability project and a Bilderberg group minion. And so he is the spokesperson for the corporate arm of global governance that works through the United Nations.
[22:56.000 --> 23:06.000]  Imagine this system where everything they say is alive. This is not a vaccination. This is not the classic 500-year-old technology of giving you a small part of something so you learn how to defeat it.
[23:06.000 --> 23:19.000]  This is a gene therapy, which they said was 100% to stop COVID. Now they say, well, it's 80%, 60%, 40%, 30%, sorry, you've got to take new shots every few months for the rest of your lives.
[23:19.000 --> 23:30.000]  That was always in the corporate perspectives. That's in the patents. That's in the Bill Gates documents. We covered this all 18 and 19 months ago.
[23:30.000 --> 23:38.000]  And now, thank God, America and the world's waking up because everybody is, I mean, I've been sent this 100 times the last few days. We've covered it, but still people aren't aware of it.
[23:38.000 --> 23:49.000]  And when they do learn about it, they freak out. And you should freak out. It's the Holy Grail of Control, HR 4980, Homeland Security setting up roadblocks.
[23:49.000 --> 24:04.000]  I want to show you some footage here that a man shot in the United States a few years ago. He was driving through the road at night and came across people that were trying to car jack him that had set up cones in the middle of the road.
[24:04.000 --> 24:23.000]  When he saw that they were obviously going for a weapon to try to stop him, he drove through the illegal checkpoint. And this whole UN globalist big farm of power grab through the mainstream media, through big tech censoring is the same thing as people setting up the illegal checkpoint on the side of the highway.
[24:23.000 --> 24:30.000]  Here's that footage.
[24:30.000 --> 24:42.000]  What's going on? Can I help you with something?
[24:42.000 --> 24:59.000]  So when you start seeing all of this for what it is, just an old fashioned hijacking of the media, of big tech, through the big banks, through academia, and through blue state cities and blue state states and other globalist controlled countries around the world, you see it for what it is.
[24:59.000 --> 25:17.000]  An absolute total power grab. Classical C to remember the Texas border is completely wide open border patrol estimated us that by fiscal year in October 31, there will be up to 10 million illegals that have crossed just in to the Texas sector.
[25:17.000 --> 25:29.000]  This is directly from whistleblowers. They've already stopped millions of millions and they're only catching one in four and then being ordered to release them without even having COVID testing, which again shows this is all a fraud.
[25:29.000 --> 25:38.000]  The globalists know they're not going to stop people getting sick. That's the whole point. The vaccine is not a vaccine. It makes your body grow prions inside of it.
[25:38.000 --> 25:55.000]  To illustrate this with a real life example of how this is a high set checkpoint. Here's some more footage out of Europe out of France, namely from a few years ago, they've now brought an estimated 8 million quote migrants who are really Islamic invaders into Europe.
[25:55.000 --> 26:17.000]  And here they are cutting down a tree and placing on a highway to get into a truck and to rob. And then here's some footage also in France of individuals hijacking trucks and jumping on them to go into the underground tunnel or the channel into the UK where the UK government also does not deport them.
[26:17.000 --> 26:33.000]  So remember that this is all replacement migration by the United Nations and by the globalists in your face in a major takeover. You don't wake up to it and say no to the pincer attack where they shut down the third world, collapse the third world.
[26:33.000 --> 26:47.000]  The people start starving to death. The United Nations organizes them into refugee camps, gives them the debit cards, gives them the airplane tickets, gives them the Zodiac boat rides, and then literally brings them in as a client group to set up no-go zone, Islamic ghettos,
[26:47.000 --> 27:07.000]  where prostitution, drug dealing, and everything else takes place to, again, collapse Western civilization. The Agenda 2030 being run by Klaus Schwab is an admitted planetary collapse plan to collapse the third world, the first world, and then to only let high-tech city-state reservations operate above the law,
[27:07.000 --> 27:17.000]  tax-free with all the life-assisted technologies or more as we live as slaves either outside of those controlled high-tech zones or within them as digital biometric slaves.
[27:17.000 --> 27:28.000]  You're probably saying I saw that in the Hunger Games movie or the Hunger Games book. Yes, that is people imitating the globalist plan in a fictional book that is not the UN imitating Hunger Games.
[27:28.000 --> 27:37.000]  Those plans have been put down by the United Nations since the 60s and we are now actually living in the operational phase of them launching this system.
[27:37.000 --> 27:49.000]  They developed the computers and all the technology on record to bring in this world government control system and to make sure that handheld computers, they set this back in the 60s, the inventor of the Internet did, would then be directed by the Internet
[27:49.000 --> 28:02.000]  watching you in live time or giving them a type of omnipresence control and that's why you've got to get upset, you've got to get fired up, you've got to say no and reject this entire project of the COVID-19 fear mongering because it's an endless emergency,
[28:02.000 --> 28:11.000]  a permanent emergency that is never meant to end and until you realize it's all a giant fraud and a problem they created that now can never be fixed,
[28:11.000 --> 28:23.000]  they will continue to pose as the saviors and take over society and civilization only a full understanding of the new world order global government paradigm project and the fact that this is 21st century war can free us.
[28:23.000 --> 28:29.000]  What did he just say?
[28:29.000 --> 28:36.000]  He said there's a storm coming in.
[28:36.000 --> 28:38.000]  I know.
[28:38.000 --> 28:42.000]  We told you what was going to happen and it did.
[28:42.000 --> 29:08.000]  Now we're telling you what's coming and.video.video.
[29:08.000 --> 29:13.000]  It's that immune system health can literally be the difference between life and death.
[29:13.000 --> 29:15.000]  You probably already believe that.
[29:15.000 --> 29:16.000]  I certainly do.
[29:16.000 --> 29:17.000]  So here's the thing.
[29:17.000 --> 29:26.000]  I wanted to get past the craziness and find out which plant based substances actually have studies that demonstrate some efficacy in immune support.
[29:26.000 --> 29:31.000]  Now you'll have to sign a waiver, but you can check out what I've discovered at strongerdefense.com.
[29:31.000 --> 29:33.000]  No cures or treatments there.
[29:33.000 --> 29:42.000]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called immune 10 X.
[29:42.000 --> 29:50.000]  In the best part, you can go to the stronger defense website right now and claim your own supply of immune 10 X without paying anything today.
[29:50.000 --> 29:51.000]  Crazy, right?
[29:51.000 --> 29:55.000]  Learn more about this unusual limited time offer at strongerdefense.com.
[29:55.000 --> 29:58.000]  That's strongerdefense.com.
[29:58.000 --> 30:00.000]  Gerald in South Carolina.
[30:00.000 --> 30:03.000]  You're on the air trying to move quicker. Hey Alex, welcome.
[30:03.000 --> 30:09.000]  Would like to say first off, thanks for being the voice of reason in amongst all this stupidity wanted to warn people.
[30:09.000 --> 30:11.000]  I've been trying to get a hold of you for a year.
[30:11.000 --> 30:12.000]  Okay.
[30:12.000 --> 30:18.000]  I'm a double amputee and I have bacteria infection on my lung that'll never go away.
[30:18.000 --> 30:20.000]  Living defense saved my life.
[30:20.000 --> 30:24.000]  They had me on antibiotics for two years that almost killed me.
[30:24.000 --> 30:26.000]  Living defense brought me back.
[30:26.000 --> 30:30.000]  Just quote from the Bible. Jesus is saying as to where we are right now.
[30:30.000 --> 30:33.000]  This is Matthew 24 verse nine.
[30:33.000 --> 30:42.000]  Then they shall deliver you up to be afflicted and shall kill you and you shall be hated of all nations for my name's sake.
[30:42.000 --> 30:47.000]  And then shall many be offended and shall betray one another and shall hate one another.
[30:47.000 --> 30:49.000]  That's right where we're at brother.
[30:49.000 --> 30:57.000]  And that's because God's name is on the founding of this country no matter what they say and that's why the enemy hates it because God created this country.
[31:19.000 --> 31:37.000]  When you go to mypillow.com use promo code Alex get the very best deals he's got 66% off up to that on shoes and beds and sheets and towels and pillows.
[31:37.000 --> 31:41.000]  The list goes on and on made right here in America 360 wins.
[31:41.000 --> 31:51.000]  Go to mypillow.com promo code Alex for the best discounts out there. I think profit shares with us and helps fund the info war and continue to shop at infowarstore.com.
[31:51.000 --> 32:12.000]  We're sponsored by patriots like you and we're thankful and we will never back down to the globalist. So thank you so much for your support.
[32:21.000 --> 32:25.000]  Hello, my name is Joe. A product specifically designed to establish a healthy septic system.
[32:25.000 --> 32:30.000]  Bio septic pro contains live microorganisms not traditional enzymes like its competitors.
[32:30.000 --> 32:41.000]  This stuff lives in your septic system. It's really like probiotics for your septic tank and is at least 100 times more effective than similar microbial products due to its revolutionary patented delivery system.
[32:41.000 --> 32:52.000]  Bio septic pro contains no chemical ingredients and no genetically modified organisms. Visit the bio pros dot com today and protect your septic system. That's the bio pros dot com.
[32:52.000 --> 33:01.000]  This is for anaerobic septic tanks and the job it does is unparalleled the bio pros dot com.
[33:01.000 --> 33:29.000]  You're listening to the Alex Jones show.
[33:29.000 --> 33:40.000]  All right, my friends, thank you again so much for joining us on this live original Friday, the 13th. It is 1133 central standard time about the hand of a ton over to the rest of the broadcast.
[33:40.000 --> 33:54.000]  The great Owen Troyer. We have a bunch of very important guests coming up today as well. I just wanted to reiterate to everyone out there listening, you are the core of the brain trust and the resistance worldwide to this anti human post industrial world.
[33:54.000 --> 34:00.000]  I salute you and I thank you for your support and I beg you for your sake, my sake and our children's sake and humanity's sake.
[34:00.000 --> 34:08.000]  And because it's God's will that you spread the word about what's really happening like never before because the enemy is out in the open and they're just getting started.
[34:08.000 --> 34:19.000]  As I've said a thousand times submission to tyranny is eternal destruction and death and humiliation and betrayal resistance is obedience to God to quote Thomas Jefferson.
[34:19.000 --> 34:27.000]  So resistance to tyrants is obedience to God. When the government fears the people there is liberty when the people for the government there is tyranny.
[34:27.000 --> 34:38.000]  And this is not our government. This is an illegitimate world corporate UN takeover and we need to rally behind people like the attorney general of Missouri and our governor in Texas is getting better again.
[34:38.000 --> 34:49.000]  Great. And the governor of Florida and others and say no and get them like Senator Paul to come out and expose that it's a UN corporate world government power grab.
[34:49.000 --> 34:56.000]  Notice they for decades said that doesn't exist. Don't talk about it. You're a cook if you do. So when they rolled it out people wouldn't respond to the attack.
[34:56.000 --> 35:04.000]  It's very simple. But the gaslighting isn't working. This is all Claus Schwab Bill Gates agenda 2030. It's out in the open.
[35:04.000 --> 35:11.000]  There are quotes are there. Their admissions are there. This is a crisis that's engineered that never goes away until they go to prison.
[35:11.000 --> 35:23.000]  Australia is literally under martial law. So is many areas of Europe. But then Sweden has zero covid deaths and is totally fine because they're not taking the vaccine in high levels.
[35:23.000 --> 35:32.000]  It's incredible folks. It's now confirmed that the vaccine is in the vaccine is causing almost all the illness and death and is now causing real shedding and real sickness everywhere.
[35:32.000 --> 35:38.000]  And there's no way to escape it except through good health and sunshine and clean water. And there's a lot of scientists we have coming on the show.
[35:38.000 --> 35:46.000]  We had one on yesterday. Top scientists on ways to cleanse your body and detoxify. We're going to be talking more about that because for anything the enemy throws at us.
[35:46.000 --> 35:49.000]  God has given us things to fight back. All right.
[35:49.000 --> 36:03.000]  I want to show your text over please now go to free world news dot TV ban dot video info words dot com. However you want to share the link and share that link on Twitter on Facebook on YouTube word of mouth your email your text message
[36:03.000 --> 36:09.000]  and tell folks about those local stations and support those local stations are listening to they are precious.
[36:09.000 --> 36:16.000]  Now I want to show you on the special Friday 13th global transmission from deep in the heart of Texas takes over.
[36:16.000 --> 36:19.000]  Thank you Alex.
[36:19.000 --> 36:25.000]  And we are now live inside the Info Wars World headquarters in Austin Texas.
[36:25.000 --> 36:35.000]  And I'm on Shroyer with you till two o'clock and then who is hosting the fourth hour today guys.
[36:35.000 --> 36:47.000]  Stu Peters with breakthrough news will be hosting the fourth hour of the Alex Jones show and then I'll be back with a ton of other news that I'm just holding off on till I host the war room three to six p.m.
[36:47.000 --> 36:54.000]  And I've got great guests coming up them as well but before I do get into this news that I have here on my desk.
[36:54.000 --> 37:01.000]  And Robert Barnes joins me in the next hour.
[37:01.000 --> 37:09.000]  I want to well let's start with more of the kind of comical spectrum of this and then get to the serious side of it.
[37:09.000 --> 37:12.000]  One of the crew members handed me.
[37:12.000 --> 37:18.000]  I've never heard of Stephen King's book called the stand.
[37:18.000 --> 37:25.000]  But it was first published in 1978 and the plot centers on a pandemic of weaponized.
[37:25.000 --> 37:31.000]  A weaponized strain of influenza that kills the entire world population.
[37:31.000 --> 37:43.000]  A few survivors united in groups establish a new social system and engage in confrontation with one another and it goes on comes out of a laboratory to biological weapon.
[37:43.000 --> 37:54.000]  Everybody has to go into lockdown and so the plot that the globalist plot the secret elite criminal cabal secret society.
