[00:00:00.349 --> 00:00:07.716]  Bill Moyers with his show NOW, which is I guess more of an intellectual pursuit program.
[00:05:09.123 --> 00:05:12.764]  I mean, this is the total takeover of our society.
[00:05:12.764 --> 00:05:21.247]  It's a pretty chilling document, and again, you know, I'm kind of, you know, one of the reactions here was, you know,
[00:05:21.792 --> 00:05:22.252]  Yeah, I think so.
[00:05:33.268 --> 00:05:39.855]  If you wanted to write a bill that would convince everybody that you represent a danger to civil liberties, this is the bill you'd draft.
[00:05:39.855 --> 00:05:50.906]  Well, even professors that were pro-Ashcroft and pro-Bush, Turley, said that they should all be impeached and removed in the LA Times.
[00:05:50.906 --> 00:05:52.368]  This is martial law.
[00:05:52.368 --> 00:05:54.390]  Camps for Citizens was the headline.
[00:05:55.330 --> 00:05:57.571]  Ashcroft's Hellish Camps was the actual headline.
[00:05:57.571 --> 00:05:58.611]  You probably saw that.
[00:05:58.611 --> 00:06:00.952]  I know Moyers put a link to that.
[00:06:00.952 --> 00:06:07.494]  I mean, look, sir, I, years ago, went and videotaped the Marines training to put Americans in camps.
[00:06:07.494 --> 00:06:11.455]  They had role players screaming, I'm an American, not to camp, and now it's in the L.A.
[00:06:11.455 --> 00:06:14.156]  Times, and now you get a hold of this document.
[00:06:14.156 --> 00:06:17.657]  Does this show... I mean, people say, well, maybe they leaked this to get us ready for it.
[00:06:17.657 --> 00:06:18.597]  I really don't think so.
[00:06:18.597 --> 00:06:20.757]  This is so bad and so damning.
[00:06:20.757 --> 00:06:22.578]  They would want to do this after another attack.
[00:06:23.258 --> 00:06:28.060]  I think that a lot of people in government, as I've talked to them, are really getting sick of this.
[00:06:28.060 --> 00:06:35.502]  And I would guess you got it from the military, or the IRS, or the INS, because I know that they were given secret copies as well.
[00:06:35.502 --> 00:06:38.323]  I know you can't tell us where the document came from.
[00:06:38.323 --> 00:06:46.425]  Can you tell us judicial, or from the bureaucracy, or from the executive, or from the legislative?
[00:06:46.425 --> 00:06:47.966]  What branch did this come to you from?
[00:06:49.070 --> 00:07:03.476]  Well, you know, I really don't feel comfortable saying which branch of the government it came from, but I will say, though, that our reading of the intention of the person that gave it to us was that they were concerned about it.
[00:07:03.476 --> 00:07:15.441]  Somebody on the inside, who's involved in some of these processes of coming up with legislation, who got wind of it, was very concerned when they saw the draft.
[00:07:15.441 --> 00:07:16.982]  I don't think this was a question of
[00:07:17.785 --> 00:07:22.787]  Floating this as a trial balloon and the first steps.
[00:07:22.787 --> 00:07:29.469]  I mean, I think this was much more a question of somebody being a whistleblower and trying to alert the American people.
[00:07:29.469 --> 00:07:32.049]  Well, I agree with you, because this is only going to hurt them.
[00:07:32.049 --> 00:07:35.230]  I mean, they passed it secretly last time.
[00:07:35.230 --> 00:07:37.611]  That's on the record, New York Times.
[00:07:37.611 --> 00:07:43.733]  They passed it secretly last time, wouldn't let people read it, so they certainly don't want us having months out the actual bill.
[00:07:45.297 --> 00:07:48.219]  I would say that's a fair characterization.
[00:07:48.219 --> 00:07:51.682]  And you know, with the first Patriot, I mean, there wasn't even a hearing in the Senate.
[00:07:51.682 --> 00:08:05.253]  I mean, you know, this very controversial bill went through, and you know, and the fact that this was held so close to the vest so long, and you know, if it weren't for our source, you know, we wouldn't know about it at all.
[00:08:05.253 --> 00:08:09.117]  I mean, I think that's a fairly troubling, you know, I mean,
[00:08:10.246 --> 00:08:22.010]  I think there are people in the various branches of the government who do care about the rule of law and protecting our civil liberties, but the question is, does the administration feel the same way?
[00:08:22.010 --> 00:08:31.614]  Bill Allison, Managing Editor of the Center for Public Integrity website, publicintegrity.org, link to it on infowars.com or on PBS's website, Drudge also has a link.
[00:08:32.775 --> 00:08:43.825]  Also, I noticed in Homeland Security Act that just passed last year that it says no whistleblower protection for even sexual harassment, embezzlement, corruption, government information.
[00:08:43.825 --> 00:08:46.107]  They're trying to head this off at the pass.
[00:08:46.107 --> 00:08:48.409]  Whoever leaked this is at great risk.
[00:08:48.409 --> 00:08:55.275]  They can be designated as a terrorist and are Homeland Security for simply blowing the whistle here.
[00:08:55.275 --> 00:08:56.356]  Had you thought about that?
[00:08:57.583 --> 00:09:07.671]  Well, I mean, I'm not sure if I mean, I'm not sure they can be designated a terrorist, but you know, but you're right, there are efforts to weaken whistleblower protections.
[00:09:07.671 --> 00:09:19.101]  Beyond that, just the whole freedom of information, which is kind of the lifeblood of an organization like ours, or, you know, reporters for the New York Times, Washington Post, or, you know, any paper out there.
[00:09:19.101 --> 00:09:25.466]  You know, being able to get access to information from the government is crucial.
[00:09:26.729 --> 00:09:34.035]  Especially in our system where we have an open, consensual government, but the only way to grade the government is if you know what they're doing.
[00:09:34.035 --> 00:09:43.461]  And this administration, I think there were something like 300 attempts to curtail Freedom of Information Act requests after September 11th.
[00:09:43.461 --> 00:09:45.103]  Are they mad at your organization?
[00:09:45.103 --> 00:09:49.726]  Have you gotten their feedback on what their view of this release is?
[00:09:50.755 --> 00:10:00.486]  I have not heard anything back directly from them beyond what we heard Friday afternoon after we initially released it.
[00:10:00.486 --> 00:10:03.230]  I suspect they're not very happy with us.
[00:10:03.230 --> 00:10:07.114]  Well, absolutely, and at first they tried to deny it and then had to admit it.
[00:10:07.114 --> 00:10:11.359]  What about Section 501, expatriation of terrorists?
[00:10:12.003 --> 00:10:28.788]  And it just says that if they can infer from conduct, thus stripping of your citizenship, which is an enemy combatant designation you've written for engaging, and it says this in the legislation, engaging in lawful activities can end up getting you stripped.
[00:10:28.788 --> 00:10:33.429]  And then there's another section about not letting anyone know who's been grabbed by the government.
[00:10:33.429 --> 00:10:37.971]  I mean, that's right out of the internal GRU or Stasi of East Germany.
[00:10:37.971 --> 00:10:38.331]  Right.
[00:10:38.331 --> 00:10:40.952]  And these are taken together.
[00:10:42.051 --> 00:10:44.513]  By themselves I think they're frightening.
[00:10:44.513 --> 00:11:06.689]  Taken together it's really, you know, the idea that you could be taken off the street and because you signed a petition or because you, you know, gave money to a group that was, you know, that you thought was perfectly legitimate was, you know, or say the charitable arm of a group that has some ties to terrorism, you know, directly or indirectly.
[00:11:07.740 --> 00:11:14.105]  Uh, but you know, but your intentions were certainly noble and had nothing to do with, uh, you know, killing people.
[00:11:14.105 --> 00:11:23.974]  Yeah, the idea that you could be considered a non-citizen and held, uh, without, you know, the government releasing where you are and holding you indefinitely.
[00:11:23.974 --> 00:11:26.876]  Well, this says that they won't even tell anybody they've grabbed you.
[00:11:26.876 --> 00:11:27.797]  And also,
[00:11:29.296 --> 00:11:35.297]  You know, looking at these definitions, they don't even have to grab you for giving money to a terrorist group.
[00:11:35.297 --> 00:11:39.758]  It's that they think you might have, or you've done things that might support.
[00:11:39.758 --> 00:11:44.659]  You know, let's say you've spoken out for Palestinians, and that's considered a terrorist group.
[00:11:44.659 --> 00:11:45.819]  Hamas, or whatever.
[00:11:45.819 --> 00:11:48.400]  I mean, this is insane.
[00:11:48.400 --> 00:11:51.640]  Because I've read the whole thing, I'm sure you have too, and you're right.
[00:11:51.640 --> 00:11:53.601]  Taken in its whole body, it's even worse.
[00:11:54.884 --> 00:12:15.923]  I mean, it's giving a tremendous amount of power to the executive branch and to, you know, and the flip side is, you know, whether you're right-wing or left-wing, I mean, if you're, you know, there are any number of people who might be considering, for example, you know, we all heard about the militias and law-abiding people who
[00:12:17.253 --> 00:12:23.176]  Let's say that they're strong proponents of the Second Amendment, you know, could they be considered belonging to a terrorist organization?
[00:12:23.176 --> 00:12:26.778]  You know, I was about to get into that, and that's an incredible point, Bill Allison.
[00:12:26.778 --> 00:12:31.980]  I can send you, or you can do a LexisNexis search, I know you have that.
[00:12:31.980 --> 00:12:37.963]  Washington Times had a headline, Constitutional Terrorist, and I have the training manual that FEMA and FBI use.
[00:12:37.963 --> 00:12:42.565]  I have video of them in Kansas City teaching a group of police that, quote, quote,
[00:12:43.419 --> 00:12:45.781]  The Founding Fathers were terrorists.
[00:12:45.781 --> 00:12:47.222]  They're enemies of the federal government.
[00:12:47.222 --> 00:12:50.284]  This mindset and their training manual says U.S.
[00:12:50.284 --> 00:12:53.566]  defenders of the Constitution are terrorists.
[00:12:53.566 --> 00:12:55.627]  It lists gun owners as terrorists.
[00:12:55.627 --> 00:13:01.171]  It lists homeschooling in Megiddo, the belief in a New World Order conspiracy theory, as a terrorist.
[00:13:01.171 --> 00:13:05.073]  So they're now setting up these definitions and protocols.
[00:13:05.073 --> 00:13:07.115]  Were you aware of that?
[00:13:07.115 --> 00:13:10.317]  I do remember hearing something about if you
[00:13:12.648 --> 00:13:19.770]  Federal agents being told that somebody who's carrying around a copy of the Declaration of Independence... It says that, yes.
[00:13:19.770 --> 00:13:22.031]  And again, obviously it's atrocious.
[00:13:22.031 --> 00:13:28.892]  I mean, if you think about the important documents in the history of humanity, certainly the Declaration of Independence is up there.
[00:13:28.892 --> 00:13:35.034]  It says, if you pull somebody over and they make, quote, frequent references to the U.S.
[00:13:35.034 --> 00:13:38.294]  Constitution, call the anti-terrorism hotline immediately.
[00:13:38.294 --> 00:13:40.275]  The police have sworn an oath to it!
[00:13:42.996 --> 00:13:51.901]  It's, I mean, again, it's a fairly frightening thing and you wonder, you know, we all know we have this government.
[00:13:51.901 --> 00:14:00.045]  We would like to believe that the government is, you know, lives by the principles under which it was founded and you have to ask whether that's the case.
[00:14:01.403 --> 00:14:11.966]  Well, Bill Allison, Managing Editor for the Center for Public Integrity, dropped a bombshell, information bombshell, that really is shaking the foundations of the police state.
[00:14:11.966 --> 00:14:16.568]  Bill Moyers, Friday night, and their website is publicintegrity.org.
[00:14:16.568 --> 00:14:20.529]  Bill, all I can say is, you know, last few questions, where is this going?
[00:14:20.529 --> 00:14:28.071]  Will this stop them from being able to pass it, or will they just say, see, we told you so, when the next terror attack takes place, they're doing nothing to stop?
[00:14:28.931 --> 00:14:50.474]  Well, you know, God forbid there should be another terrorist attack, but I would like to think that having gotten this out there, and you know, there are people on the Hill who will hopefully study this document, and if they do try to propose anything like this, the opponents of this kind of legislation and the people who care about civil liberties will stand up and be counted, and that's, you know, the best we can hope for.
[00:14:51.940 --> 00:14:58.304]  And to get a big grassroots movement going to take some time out to find out exactly what's happening because... Well, that too.
[00:14:58.304 --> 00:15:00.086]  Nothing's as important as that.
[00:15:00.086 --> 00:15:03.648]  Anything else, Bill?
[00:15:03.648 --> 00:15:16.697]  No, I can't think of anything else to add except that, again, regarding the grassroots movement, if our web traffic is any indication of this, and now it's all over the web,
[00:15:17.392 --> 00:15:20.293]  Which, you know, we're certainly happy for to put the information out there.
[00:15:20.293 --> 00:15:23.854]  But, you know, I think that people are really concerned about this.
[00:15:23.854 --> 00:15:30.216]  And, you know, the feedback we've been getting has been nearly crashing our servers, so... Well, if they read the bill, they're going to have a heart attack.
[00:15:30.216 --> 00:15:32.677]  Bill Allison, thank you for joining us, and God bless you.
[00:15:32.677 --> 00:15:33.518]  Keep the good work up.
[00:15:33.518 --> 00:15:34.498]  Oh, well, thank you so much.
[00:15:34.498 --> 00:15:35.438]  Thanks for having me on.
[00:15:35.438 --> 00:15:35.978]  Take care.
[00:15:35.978 --> 00:15:41.960]  I'm going to come back and read some of the subsections to you, and then analysis in the third hour, and more calls.
[00:15:41.960 --> 00:15:42.901]  Everybody stay right there.
[00:15:42.901 --> 00:15:43.281]  We'll be back.
