[00:00:04.497 --> 00:00:06.372]  Mechanism, not globalism!
[00:02:07.302 --> 00:02:10.003]  We're here to suck your guts out!
[00:02:10.003 --> 00:02:16.048]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:02:37.297 --> 00:02:42.240]  And which Republican candidate has the best chance of winning the general election?
[00:02:42.240 --> 00:02:52.168]  Of the declared ones, right now, Donald Trump.
[00:02:52.168 --> 00:02:57.072]  Obama will go down as perhaps the worst president in the history of the United States!
[00:02:57.072 --> 00:02:57.933]  Exclamation point.
[00:02:58.991 --> 00:03:02.532]  At real Donald Trump.
[00:03:02.532 --> 00:03:04.933]  At real Donald Trump.
[00:03:04.933 --> 00:03:07.474]  At least I will go down as a president.
[00:03:19.352 --> 00:03:21.053]  You're awake, by the way.
[00:03:21.053 --> 00:03:23.055]  You're not having a terrible, terrible dream.
[00:03:23.055 --> 00:03:25.937]  Also, you're not dead and you haven't gone to hell.
[00:03:25.937 --> 00:03:26.878]  This is your life now.
[00:03:26.878 --> 00:03:27.879]  This is our election now.
[00:03:27.879 --> 00:03:28.500]  This is us.
[00:03:28.500 --> 00:03:29.861]  This is our country.
[00:03:29.861 --> 00:03:30.141]  It's real.
[00:03:40.085 --> 00:03:42.367]  Fix this s*** right now!
[00:03:42.367 --> 00:03:45.271]  He wants to cut my taxes to zero!
[00:03:45.271 --> 00:03:48.594]  In her lifetime, she deserves to be the next female president.
[00:03:48.594 --> 00:03:51.857]  That's what he's supposed to be.
[00:03:51.857 --> 00:03:52.698]  Spirit cooking!
[00:03:52.698 --> 00:03:55.021]  Why can't we ever have a wife?
[00:03:55.021 --> 00:03:55.441]  It's horrible!
[00:04:01.613 --> 00:04:08.715]  We found a female H3Lex in Austin, they actually do that.
[00:04:30.373 --> 00:04:30.593]  President!
[00:04:30.593 --> 00:04:30.833]  President!
[00:04:30.833 --> 00:04:31.053]  President!
[00:04:31.053 --> 00:04:31.273]  President!
[00:04:31.273 --> 00:04:31.474]  President!
[00:04:31.474 --> 00:04:32.014]  President!
[00:04:32.014 --> 00:04:32.314]  President!
[00:04:32.314 --> 00:04:32.514]  President!
[00:04:32.514 --> 00:04:32.714]  President!
[00:04:32.714 --> 00:04:32.914]  President!
[00:04:32.914 --> 00:04:33.154]  President!
[00:04:33.154 --> 00:04:33.374]  President!
[00:04:33.374 --> 00:04:33.594]  President!
[00:04:33.594 --> 00:04:33.835]  President!
[00:04:33.835 --> 00:04:34.115]  President!
[00:04:34.115 --> 00:04:34.315]  President!
[00:04:34.315 --> 00:04:34.575]  President!
[00:04:34.575 --> 00:04:34.835]  President!
[00:04:34.835 --> 00:04:35.035]  President!
[00:04:35.035 --> 00:04:35.275]  President!
[00:04:35.275 --> 00:04:35.495]  President!
[00:04:35.495 --> 00:04:35.695]  President!
[00:04:35.695 --> 00:04:35.896]  President!
[00:04:35.896 --> 00:04:36.276]  President!
[00:04:36.276 --> 00:04:36.496]  President!
[00:04:36.496 --> 00:04:36.736]  President!
[00:04:36.736 --> 00:04:36.956]  President!
[00:04:36.956 --> 00:04:37.176]  President!
[00:04:37.176 --> 00:04:37.456]  President!
[00:04:37.456 --> 00:04:37.716]  President!
[00:04:37.716 --> 00:04:37.936]  President!
[00:04:37.936 --> 00:04:38.157]  President!
[00:04:38.157 --> 00:04:38.437]  President!
[00:04:38.437 --> 00:04:38.637]  President!
[00:04:38.637 --> 00:04:38.857]  President!
[00:04:38.857 --> 00:04:39.097]  President!
[00:04:39.097 --> 00:04:39.357]  President!
[00:04:39.357 --> 00:04:39.597]  President!
[00:04:39.597 --> 00:04:39.917]  President!
[00:04:39.917 --> 00:04:40.137]  President!
[00:04:40.137 --> 00:04:40.418]  President!
[00:04:40.418 --> 00:04:40.778]  President!
[00:04:40.778 --> 00:04:41.038]  President!
[00:04:41.038 --> 00:04:41.458]  President!
[00:04:41.458 --> 00:04:41.658]  President!
[00:04:41.658 --> 00:04:41.878]  President!
[00:04:41.878 --> 00:04:42.098]  President!
[00:04:42.098 --> 00:04:42.298]  President!
[00:04:42.298 --> 00:04:42.498]  President!
[00:04:42.498 --> 00:04:42.719]  President!
[00:04:42.719 --> 00:04:42.979]  President!
[00:04:42.979 --> 00:04:43.219]  President!
[00:04:43.219 --> 00:04:43.519]  President!
[00:04:43.519 --> 00:04:44.019]  President!
[00:04:44.019 --> 00:04:44.239]  President!
[00:04:44.239 --> 00:04:44.439]  President!
[00:04:44.439 --> 00:04:44.639]  President!
[00:04:44.639 --> 00:04:44.840]  President!
[00:04:44.840 --> 00:04:45.060]  President!
[00:04:45.060 --> 00:04:45.260]  President!
[00:04:45.260 --> 00:04:45.480]  President!
[00:04:45.480 --> 00:04:45.780]  President!
[00:04:45.780 --> 00:04:46.140]  President!
[00:04:46.140 --> 00:04:46.360]  President!
[00:04:46.360 --> 00:04:46.560]  President!
[00:04:46.560 --> 00:04:46.860]  President!
[00:04:46.860 --> 00:04:47.141]  President!
[00:04:47.141 --> 00:04:47.381]  President!
[00:04:47.381 --> 00:04:47.601]  President!
[00:04:47.601 --> 00:04:47.841]  President!
[00:04:47.841 --> 00:04:48.061]  President!
[00:04:48.061 --> 00:04:48.261]  President!
[00:04:48.261 --> 00:04:48.541]  President!
[00:04:48.541 --> 00:04:49.081]  President!
[00:04:49.081 --> 00:04:49.282]  President!
[00:04:49.282 --> 00:04:49.542]  President!
[00:04:49.542 --> 00:04:49.922]  President!
[00:04:49.922 --> 00:04:50.302]  President!
[00:04:50.302 --> 00:04:50.502]  President!
[00:04:50.502 --> 00:04:50.742]  President!
[00:04:50.742 --> 00:04:50.982]  President!
[00:04:50.982 --> 00:04:51.282]  President!
[00:04:51.282 --> 00:04:51.723]  President!
[00:04:51.723 --> 00:04:51.943]  President!
[00:04:51.943 --> 00:04:52.183]  President!
[00:04:52.183 --> 00:04:52.383]  President!
[00:04:52.383 --> 00:04:52.603]  President!
[00:04:52.603 --> 00:04:52.923]  President!
[00:04:52.923 --> 00:04:53.243]  President!
[00:04:53.243 --> 00:04:53.563]  President!
[00:04:53.563 --> 00:04:53.824]  President!
[00:04:53.824 --> 00:04:54.024]  President!
[00:04:54.024 --> 00:04:54.464]  President!
[00:04:54.464 --> 00:04:54.704]  President!
[00:04:54.704 --> 00:04:54.904]  President!
[00:04:54.904 --> 00:04:55.124]  President!
[00:04:55.124 --> 00:04:55.404]  President!
[00:04:55.404 --> 00:04:55.664]  President!
[00:04:55.664 --> 00:04:55.864]  President!
[00:04:55.864 --> 00:04:56.065]  President!
[00:04:56.065 --> 00:04:56.305]  President!
[00:04:56.305 --> 00:04:56.525]  President!
[00:04:56.525 --> 00:04:56.745]  President!
[00:04:56.745 --> 00:04:56.945]  President!
[00:04:56.945 --> 00:04:57.145]  President!
[00:04:57.145 --> 00:04:57.545]  President!
[00:04:57.545 --> 00:04:57.845]  President!
[00:04:57.845 --> 00:04:58.085]  President!
[00:04:58.085 --> 00:04:58.306]  President!
[00:04:58.306 --> 00:04:58.686]  President!
[00:04:58.686 --> 00:04:58.906]  President!
[00:04:58.906 --> 00:04:59.106]  President!
[00:05:00.126 --> 00:05:08.618]  During CNN's election night coverage, former Obama advisor Van Jones argued that the 2016 election was a white lash against a changing country.
[00:05:08.618 --> 00:05:12.162]  It's a white lash against a black president, in part, he said.
[00:05:12.162 --> 00:05:16.028]  Not shocking, CNN is still race-baiting, even though it's clearly over for them.
[00:05:16.288 --> 00:05:19.151]  The uphill battle Trump will face, however, is just beginning.
[00:05:19.151 --> 00:05:21.554]  Clinton supporters are staging civil unrest.
[00:05:21.554 --> 00:05:24.417]  We've seen this in parts of the country like Oregon and California.
[00:05:24.417 --> 00:05:30.945]  And more than 100 protesters gathered in Oakland, California this morning attempting to block freeways and at least one was hit by a car.
[00:05:31.305 --> 00:05:35.886]  Protesters were also seen in masks outside a Trump supporters party in San Francisco.
[00:05:35.886 --> 00:05:42.287]  Clinton supporters were filmed marching through Portland, Oregon shouting expletive Donald Trump and setting fire to the U.S.
[00:05:42.287 --> 00:05:42.887]  flag.
[00:05:42.887 --> 00:05:47.148]  This news comes as death threats against Donald Trump flood social media.
[00:05:47.148 --> 00:05:50.548]  Well, can we count on the liberal media in this country to whine?
[00:05:50.548 --> 00:05:54.489]  Refusing to accept Trump's victory as they hashtag, I'm still with her.
[00:05:54.489 --> 00:05:56.629]  Hey, accept it in the spirit of tolerance.
[00:05:56.629 --> 00:05:59.330]  I'm Margaret Hale reporting for InfoWars.com.
[00:05:59.690 --> 00:06:02.933]  Do you ever wonder what happened to America?
[00:06:02.933 --> 00:06:07.017]  Because of what we did on this day, change has come to America.
[00:06:07.017 --> 00:06:09.660]  Something's wrong, and we all know it.
[00:06:09.660 --> 00:06:12.503]  I'm Charlie Daniels, and I'm here to tell you about it.
[00:06:12.503 --> 00:06:16.026]  The nation has been hijacked by international forces.
[00:06:16.026 --> 00:06:17.708]  Bent on global governance.
[00:06:18.168 --> 00:06:24.455]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[00:06:24.455 --> 00:06:30.721]  God was in school, morality had a future, and beef was for supper.
[00:06:30.721 --> 00:06:33.304]  Revelation, dawn of global government.
[00:06:33.664 --> 00:06:34.845]  We're the solution.
[00:06:34.845 --> 00:06:35.766]  Americans.
[00:06:35.766 --> 00:06:37.347]  Ain't nothing more to it than that.
[00:06:37.347 --> 00:06:42.731]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[00:06:42.731 --> 00:06:44.552]  Theatrical screenings on demand.
[00:06:44.552 --> 00:06:45.973]  DVDs now available.
[00:06:45.973 --> 00:06:49.896]  Wanna shed some tears over the red, white, and blue?
[00:06:49.896 --> 00:06:52.718]  Revelation, the movie, dot info.
[00:06:52.718 --> 00:06:55.500]  Americans need to see this film.
[00:06:55.500 --> 00:06:58.162]  Revelation, the movie, dot info.
[00:06:58.162 --> 00:06:59.043]  Let's fix it.
[00:06:59.443 --> 00:07:05.985]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:07:05.985 --> 00:07:09.206]  Dr. Grip, it took years for you to develop DNA Force for us.
[00:07:09.206 --> 00:07:14.788]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:07:14.788 --> 00:07:20.910]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:07:20.910 --> 00:07:24.191]  Telomeres are the little cups on the end of our chromosomes.
[00:07:24.191 --> 00:07:25.631]  And when it runs out, you start dying.
[00:07:25.851 --> 00:07:30.173]  We chose the PQQ because it has over 175 different clinical trials.
[00:07:30.173 --> 00:07:33.115]  It's one of the most effective substances in the world.
[00:07:33.115 --> 00:07:34.776]  It works like an antioxidant.
[00:07:34.776 --> 00:07:38.218]  It works to repair nerve growth factor.
[00:07:38.218 --> 00:07:40.819]  So this is a formula to deliver the maximum amount.
[00:07:40.819 --> 00:07:41.880]  It's in powder form.
[00:07:41.880 --> 00:07:44.741]  We have so many five-star reviews.
[00:07:44.741 --> 00:07:45.462]  I take this.
[00:07:45.462 --> 00:07:47.283]  This is the product that I take.
[00:07:47.283 --> 00:07:49.264]  Infowarslife.com and the profit we make.
[00:07:50.064 --> 00:07:50.865]  We fight the Globals.
[00:07:50.865 --> 00:07:52.026]  We fight the New World Order.
[00:07:52.026 --> 00:07:56.111]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:08:13.032 --> 00:08:19.656]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:19.656 --> 00:08:26.139]  To be clear, Tuesday night into Wednesday morning, I did celebrate on air.
[00:08:26.139 --> 00:08:30.702]  And yesterday, after I had about two and a half hours of sleep, I did celebrate on air.
[00:08:30.702 --> 00:08:40.808]  But I said, look, just as night follows day, George Soros and the globalists are going to go into high gear, and they're going to launch riots all over the country, and they're going to intensify this racial division
[00:08:42.190 --> 00:08:43.871]  Crap!
[00:08:43.871 --> 00:08:48.715]  And we need to really get on the offense about this and get very, very aggressive.
[00:08:48.715 --> 00:08:57.901]  Because it is outrageous how criminal this is to literally have the paid buses that come in with the white graduate student agitators.
[00:08:57.901 --> 00:08:58.482]  And it's true.
[00:08:58.482 --> 00:09:00.263]  They're all white, basically.
[00:09:00.263 --> 00:09:02.345]  We have it on video all over the United States.
[00:09:02.345 --> 00:09:05.487]  My crew has got it themselves in more than 15 cities.
[00:09:05.487 --> 00:09:06.748]  We've done whole pieces on it.
[00:09:07.890 --> 00:09:11.372]  And they're the ones saying, deck the halls with dead cops.
[00:09:11.372 --> 00:09:13.993]  They're the ones saying all this crap.
[00:09:13.993 --> 00:09:23.118]  And you have professional government-funded and corporate-funded, university-funded agitators that are leading mobs of idiots.
[00:09:23.118 --> 00:09:25.960]  And it is absolutely seditious.
[00:09:25.960 --> 00:09:27.140]  This is not free speech.
[00:09:27.140 --> 00:09:30.422]  And I'm not saying shut down the general public's speech.
[00:09:30.422 --> 00:09:37.106]  I'm saying when you have paid agitators of multinational groups that have been banned in countries all over the world,
[00:09:38.462 --> 00:09:50.286]  The State Department got caught sending these people into Russia to try to overthrow Russia, and they would have press conferences on C-SPAN and CNN, and they would admit, we're trying to overthrow Russia.
[00:09:50.286 --> 00:09:52.047]  I mean, no wonder Russia's upset with the United States.
[00:09:52.047 --> 00:09:57.208]  This is a multinational global system trying to overthrow us and trying to overthrow Russia.
[00:09:57.208 --> 00:09:58.969]  That's why there's this solidarity, folks.
[00:09:58.969 --> 00:10:00.790]  We're in World War IV.
[00:10:00.790 --> 00:10:03.931]  It's an economic, psychological warfare operation.
[00:10:03.931 --> 00:10:04.831]  You have to understand something.
[00:10:07.076 --> 00:10:08.436]  This is not my opinion.
[00:10:08.436 --> 00:10:11.817]  This is from the textbooks, from the battle plans.
[00:10:11.817 --> 00:10:16.278]  I want to explain something to the leftists and their minions and all the rest of you, okay?
[00:10:16.278 --> 00:10:18.698]  Number one, you're not leftists.
[00:10:18.698 --> 00:10:33.841]  Number two, you are absolutely nothing but useful idiots, manipulated with a corporate template that's basically identical worldwide and that's used to destabilize countries and destroy a middle class so that people are permanently poor and stupid and under globalist control.
[00:10:33.841 --> 00:10:35.361]  This is their admitted plan.
[00:10:36.465 --> 00:10:38.827]  Under the Royal Commission in 1949.
[00:10:38.827 --> 00:10:41.129]  And everything after that is a regurgitation.
[00:10:41.129 --> 00:10:43.110]  Cloward and Piven.
[00:10:43.110 --> 00:10:51.777]  Just all of this stuff where they admit, we want you austere, we want you not having anything, so we can permanently control you.
[00:10:51.777 --> 00:10:54.439]  In Tragedy and Hope, Carol Quigley writes about this.
[00:10:54.439 --> 00:10:59.804]  In a book, a secret book, for the State Department and CIA that was later published.
[00:10:59.804 --> 00:11:00.945]  None of this is my opinion.
[00:11:02.426 --> 00:11:08.692]  The media is continuing to freak out saying, oh my God, the President of the United States follows Alex Jones' worldview.
[00:11:08.692 --> 00:11:11.155]  No, that's not what's happening.
[00:11:11.155 --> 00:11:17.321]  As much as I'd love to say that Donald Trump's getting his information from me, maybe 10% of it.
[00:11:17.321 --> 00:11:17.621]  He's not.
[00:11:18.447 --> 00:11:21.208]  He's getting it from top generals.
[00:11:21.208 --> 00:11:23.808]  He's getting it from top people in banking.
[00:11:23.808 --> 00:11:27.789]  Because, folks, if you actually read globalist publications, they admit all this.
[00:11:27.789 --> 00:11:30.390]  They just put their spin on it that it's good.
[00:11:30.390 --> 00:11:36.911]  So the reason people are so frightened hearing Donald Trump like the mouth of Alex Jones is it's not.
[00:11:36.911 --> 00:11:42.493]  I'm the first person nationally to actually break all this down and roll out how it really works.
[00:11:42.493 --> 00:11:44.313]  This isn't my perspective on things.
[00:11:46.445 --> 00:11:57.075]  The Globalist is selling this soft, stupid, race division, sex division, nanny state, political correctness, garbage.
[00:11:57.075 --> 00:12:08.926]  And they're selling a system of more student loans and more debt and more, you know, payday loan facilities and more rental centers and more permanent renter class.
[00:12:08.926 --> 00:12:09.686]  That's their admission.
[00:12:10.632 --> 00:12:16.456]  Huge screw jobs where you pay more for a 200 square foot apartment than you do for a 1,000 foot because the city passes a law.
[00:12:16.456 --> 00:12:17.096]  They've done it now.
[00:12:17.096 --> 00:12:20.959]  Eight different major cities, Austin's one of them, to rip you off.
[00:12:20.959 --> 00:12:22.720]  But they go, look, it's liberal.
[00:12:22.720 --> 00:12:24.341]  We just screwed you.
[00:12:24.341 --> 00:12:25.462]  Hardcore.
[00:12:25.462 --> 00:12:26.262]  You're like, thank you.
[00:12:26.262 --> 00:12:30.765]  It's trendy to live in a coffin and pay more than 1,000 foot square.
[00:12:30.765 --> 00:12:34.288]  They have you paying more for a jail cell than a normal size decent apartment.
[00:12:36.192 --> 00:12:37.272]  That's one microcosm.
[00:12:37.272 --> 00:12:40.293]  They are there to screw you to the wall.
[00:12:40.293 --> 00:12:47.815]  And in WikiLeaks, they're foaming at the mouth about how much they hate you and how stupid you are and how they want to make you poor and keep you in the dark.
[00:12:47.815 --> 00:12:50.456]  That fundamentally pisses Donald Trump off.
[00:12:50.456 --> 00:12:51.696]  It fundamentally pisses me off.
[00:12:51.696 --> 00:12:53.377]  So listen, I don't deserve the credit.
[00:12:53.377 --> 00:12:56.157]  Everybody's trying to give it to me right now.
[00:12:56.157 --> 00:13:00.238]  We have the credit for having energy and knowing humanity could win and turn the tide.
[00:13:00.238 --> 00:13:01.579]  And we're just beginning to do that.
[00:13:01.579 --> 00:13:02.399]  But you know who gets the credit?
[00:13:03.888 --> 00:13:13.033]  People from the Renaissance, 500 years ago, we are all just rediscovering the better parts of civilization.
[00:13:13.033 --> 00:13:22.257]  We're now discovering the real engine of growth and prosperity and independence and diversity and freedom and true liberalism.
[00:13:22.257 --> 00:13:23.998]  What we have been fighting is the counterfeit.
[00:13:23.998 --> 00:13:31.722]  So if you look at what Trump's doing, you look at what Trump's saying and what he's promoting, he's promoting 90% of the time, he does some stuff I don't like,
[00:13:33.373 --> 00:13:40.095]  The Renaissance, the New Enlightenment, freedom, free market, everything that made us great, innovation.
[00:13:40.095 --> 00:13:42.096]  That's what's happening.
[00:13:42.096 --> 00:14:00.943]  And they're selling this whole disease narrative and they're delusional, all buying into this cult mentality in the major media, in the major corporations, in these major systems, that they really believe delusionally that they were invincible and they were unstoppable.
[00:14:02.142 --> 00:14:04.523]  But they don't even have a culture to push.
[00:14:04.523 --> 00:14:07.424]  Globalism doesn't want you to have any type of culture.
[00:14:07.424 --> 00:14:14.367]  Well, an empty culture of infighting, and being alone, and hating everyone, and not having a family, and not having a tribe...
[00:14:17.423 --> 00:14:20.966]  That's never going to sell up against the American system.
[00:14:20.966 --> 00:14:39.802]  And that's why, for the last 240 plus years, it has been the main design of every major corporate imperial empire, from the British East India Company to the British Empire itself, and then modern inculcations, the economic progeny of those systems,
[00:14:41.823 --> 00:14:50.839]  To shut it down and create a worldwide monopoly control grid owned by less than six major combines.
[00:14:50.839 --> 00:14:52.061]  And that's what they admit they're building.
[00:14:54.349 --> 00:14:58.113]  And you have these poor little leftists, who if you ask them, well, are you for TPP?
[00:14:58.113 --> 00:15:00.034]  If they know what it is, they'll say no.
[00:15:00.034 --> 00:15:02.477]  Well, Trump's against it too, but Hillary's for it.
[00:15:02.477 --> 00:15:04.338]  They're not living in the real world.
[00:15:04.338 --> 00:15:06.601]  They go to their university.
[00:15:06.601 --> 00:15:14.088]  They have the little change agent graduate student who's been handling them since the day they got off the bus with zits on their face and are scared at college.
[00:15:14.648 --> 00:15:17.249]  They go, come on here into this area.
[00:15:17.249 --> 00:15:20.530]  You know, there's a lot of racists here and a lot of rape here and a lot of bad things.
[00:15:20.530 --> 00:15:22.511]  You need to be scared.
[00:15:22.511 --> 00:15:25.612]  You're literally being marched into a cult.
[00:15:25.612 --> 00:15:28.053]  And then they inflict you.
[00:15:28.053 --> 00:15:29.014]  They inflict you.
[00:15:30.905 --> 00:15:31.686]  With mental illness.
[00:15:31.686 --> 00:15:33.868]  They inflict you with a chip on your shoulder.
[00:15:33.868 --> 00:15:38.793]  And then you've got the arrogant frat, you know, people that hate the frat next door to them.
[00:15:38.793 --> 00:15:40.735]  And there's some racism going on there.
[00:15:40.735 --> 00:15:44.158]  And then the more you fight with them, the more they fight with you and then hate you.
[00:15:44.158 --> 00:15:47.842]  And now we've all been balkanized like a big prison.
[00:15:47.842 --> 00:15:49.604]  Everybody put in their little areas.
[00:15:49.604 --> 00:15:51.706]  And now we can all be manipulated and controlled.
[00:15:51.706 --> 00:15:53.828]  And that's where this whole thing is going.
[00:15:57.907 --> 00:16:05.894]  So, if the mainstream media wants to know why they have 6% trust rates, and that was before this election, it's because you have no credibility.
[00:16:05.894 --> 00:16:12.079]  Your polls were all fake, you got caught with your pants down, we've been proven right in spades.
[00:16:12.079 --> 00:16:12.840]  Ladies and gentlemen,
[00:16:14.286 --> 00:16:16.608]  I talked to folks across the political spectrum.
[00:16:16.608 --> 00:16:17.869]  I've talked to heavy hitters.
[00:16:17.869 --> 00:16:19.491]  I was checking every day.
[00:16:19.491 --> 00:16:25.716]  Trump was ahead at the end of the RNC in July by almost 20 points in every major poll.
[00:16:25.716 --> 00:16:27.578]  The elite were crapping themselves.
[00:16:27.578 --> 00:16:32.262]  So they started adding 20, 30, 40 points, remember, to those polls to make Hillary look like she was ahead.
[00:16:32.262 --> 00:16:36.025]  That closed it some of the public because of the perception he was losing big.
[00:16:36.025 --> 00:16:39.448]  But only to about 10 points.
[00:16:39.448 --> 00:16:40.089]  Remember how many times?
[00:16:40.089 --> 00:16:41.010]  I told you this hundreds of times.
[00:16:42.022 --> 00:16:49.624]  The New York Times and others make big jokes and go, Alex claims there's these internal polls and he always falls back on them.
[00:16:49.624 --> 00:16:54.985]  Yes, there were real polls done where they just didn't add 20% more Democrats and Trump was always winning.
[00:16:54.985 --> 00:16:57.206]  And now you see the exact numbers I told you.
[00:16:57.206 --> 00:16:58.786]  In fact, he would have won even bigger.
[00:16:58.786 --> 00:17:03.427]  He had a landslide, sea change electoral win.
[00:17:03.427 --> 00:17:05.568]  He did not have that when it came to popular vote.
[00:17:05.568 --> 00:17:06.988]  But if you go into the states,
[00:17:07.915 --> 00:17:16.481]  We had Bev Harris, the big Democrat on yesterday, top elections expert, she said clearly they stole it from Trump in, and then she listed, what was it, five states.
[00:17:16.481 --> 00:17:29.350]  Because it would have been a hammer blow of biblical proportions, probably the biggest landslide in this country's history, if they wouldn't have stolen all those different counties.
[00:17:29.350 --> 00:17:31.171]  So ladies and gentlemen, that's what happened here.
[00:17:34.994 --> 00:17:40.498]  We're sitting here on the verge of the globalist counter-strike, which is going to be economic.
[00:17:40.498 --> 00:17:47.304]  I know he's there saying, build the wall, he's going to meet with the White House today and then meet with Republican leaders who will try to, you know, tell them to get in line.
[00:17:47.304 --> 00:17:56.011]  It's going to be a battle between the will of Donald J. Trump and these people, and we have to be behind Trump in his constitutional agenda and support him.
[00:17:56.011 --> 00:18:02.977]  Because they're always going to put the narrative out, he can't control himself, he doesn't know what he's doing, oh it's his fault the stock market fell, on and on and on.
[00:18:02.977 --> 00:18:04.338]  Notice the stock market's actually up right now.
[00:18:05.385 --> 00:18:09.574]  And Wall Street, the general traders were chanting, lock her up.
[00:18:09.574 --> 00:18:12.020]  We're gonna play that after this break.
[00:18:12.020 --> 00:18:14.084]  Because the general Wall Street gets it.
[00:18:14.084 --> 00:18:15.587]  It's the big mega Wall Street.
[00:18:16.693 --> 00:18:29.848]  Only four or five big firms that control most of the show and they've been consolidating control over banking and over stocks and over everything else making it harder for little guys and middle-sized guys and even big guys who aren't part of the inside club to operate.
[00:18:29.848 --> 00:18:36.816]  So there's a lot of different revolutionary forces here that if you look at the globalist structure
[00:18:38.322 --> 00:18:53.034]  We have a very good chance of turning this around, but this is a total culture war, not the one they want to have where it's your black or your white or your Hispanic or your Asian, but a culture war over, do you want lower taxes?
[00:18:53.034 --> 00:18:54.395]  Do you want more prosperity?
[00:18:54.395 --> 00:18:58.018]  Do you want the American system or do you want Venezuela or North Korea?
[00:18:58.018 --> 00:19:01.981]  Because historically, despite what your professors and change agents are telling you,
[00:19:05.100 --> 00:19:07.240]  This system never delivers to you.
[00:19:07.240 --> 00:19:10.101]  It only delivers to those that want a monopoly.
[00:19:10.101 --> 00:19:11.601]  We've got a bunch of clips I want to play today.
[00:19:11.601 --> 00:19:15.182]  A lot of guests coming on the broadcast as well.
[00:19:15.182 --> 00:19:18.263]  Such a historic time to obviously be alive.
[00:19:18.263 --> 00:19:27.685]  But it's painful to see not just Van Jones Tuesday night coining the term, but now it's been picked up all over the networks that this was a white lash.
[00:19:27.685 --> 00:19:28.905]  Actually, I have the numbers right here.
[00:19:28.905 --> 00:19:32.066]  Trump did better than Romney among Hispanics and blacks massively.
[00:19:33.291 --> 00:19:33.871]  Massively.
[00:19:33.871 --> 00:19:38.534]  See, that's folks who actually ever got to hear him speak.
[00:19:38.534 --> 00:19:43.958]  Or who have real jobs and live in the real world and aren't just college students.
[00:19:43.958 --> 00:19:46.860]  Or Bernie Sanders supporters who aren't living in the real world.
[00:19:46.860 --> 00:19:55.125]  That's what they're scared of, because if he can unify everybody and bring everybody into the Tea Party movement, it's game over for the globalists, folks, because this will spread worldwide.
[00:19:55.125 --> 00:19:58.247]  Again, America will become the leader of promoting true freedom.
[00:20:00.003 --> 00:20:01.204]  Charlie Daniels.
[00:20:01.204 --> 00:20:02.964]  He's always defended the Second Amendment.
