[00:00:06.913 --> 00:00:07.954]  Hello, my friends.
[00:14:55.157 --> 00:14:57.079]  The industry publications say this.
[00:14:57.079 --> 00:15:00.602]  They release video of it at industry expos.
[00:15:00.602 --> 00:15:02.844]  And it looks right through your walls, four feet of concrete.
[00:15:02.844 --> 00:15:10.150]  It's meant for the military, and you having sex with your wife on the toilet, the shower, eating a bowl of Cheerios.
[00:15:10.150 --> 00:15:11.111]  We live in glass houses.
[00:15:13.177 --> 00:15:16.999]  Now, that's far worse than what Winston was going through.
[00:15:16.999 --> 00:15:23.021]  In 1984, he could step aside from the telescreen and have some privacy.
[00:15:23.021 --> 00:15:25.642]  You go, well, we don't have TVs watching us.
[00:15:25.642 --> 00:15:26.383]  Oh, really?
[00:15:26.383 --> 00:15:37.188]  If a television just can visually see you, that isn't, in truth, as bad as it digitally recording what you watch and what you do and adding up a psychological score on you.
[00:15:37.188 --> 00:15:42.610]  A detail, your inner secrets, your mind, off of what you watch and the decisions you make.
[00:15:44.201 --> 00:15:48.042]  You know, they can give you a 600-question psychological test and find out what type of person you are.
[00:15:48.042 --> 00:15:53.663]  What about the hundreds of thousands of choices you make a month in your four hours of TV a day, the average American?
[00:15:53.663 --> 00:16:00.365]  Four and a half for a child, under 15, three and a quarter for adults.
[00:16:00.365 --> 00:16:11.367]  Your cell phone since 2001 has a satellite tracker, not GPS, a tracker beacon triangulated by the cell towers, which are GPS, by law, years before it's set up.
[00:16:15.254 --> 00:16:26.605]  And they've now admitted, oh, by the way, the federal law said that these microphones in them, that even if the phone's turned off, it'll not light up, it'll just covertly listen to you.
[00:16:26.605 --> 00:16:28.386]  Oh, and by the way, OnStar does that too.
[00:16:28.386 --> 00:16:29.628]  I told you about that years ago.
[00:16:29.628 --> 00:16:33.491]  Now the FBI's been sued over it, using it without warrants to listen to people.
[00:16:33.491 --> 00:16:34.152]  It's a listening device.
[00:16:35.202 --> 00:16:42.204]  A few years ago, I saw GM and Ford come out with an MSNBC article and say, 35 children died this summer when their parents left them in the car.
[00:16:42.204 --> 00:16:43.844]  You're not for children dying, are you?
[00:16:43.844 --> 00:17:02.868]  Well, we're going to put, in the next few years, we're able to, I think by 2006, we'll see if they do it, we're going to put a little infrared camera in the car, that if the car rises above a certain temperature, and the pressure pads pick up that a person's in the car, it'll automatically dial the police and the new emergency centers they've built everywhere,
[00:17:04.187 --> 00:17:06.274]  We'll dial in and they'll watch you.
[00:17:06.274 --> 00:17:09.766]  But it's just so those 35 children don't die.
[00:17:09.766 --> 00:17:10.790]  It's always a good reason.
[00:17:11.442 --> 00:17:22.790]  Of course, I told you years ago that the command centers are for the cameras to be fed through them, the National Guard, the police to be based, all federalizing, tracking the cell phones, tracking all the cameras that they said were for traffic.
[00:17:22.790 --> 00:17:27.274]  And now, every week, Homeland Security to use local emergency systems.
[00:17:27.274 --> 00:17:33.118]  They're going to put the CIA and local military in with the local police and local emergency managers to help you.
[00:17:33.118 --> 00:17:38.582]  Those cameras that were put in for traffic on the roads and even neighborhoods will now be used with face scanning systems.
[00:17:39.324 --> 00:17:39.925]  So it's far worse than 1984.
[00:17:39.925 --> 00:17:41.806]  In 1984, they didn't have info babes going,
[00:17:55.985 --> 00:17:57.246]  Hi, this is Fox Television.
[00:17:57.246 --> 00:17:58.726]  Every child needs a microchip.
[00:17:58.726 --> 00:18:00.567]  We've got the CEO on for Applied Digital.
[00:18:00.567 --> 00:18:02.408]  Why don't you come up with this fabulous idea?
[00:18:02.408 --> 00:18:03.728]  How do my children get one?
[00:18:03.728 --> 00:18:05.889]  I mean, they're literally on TV doing that.
[00:18:05.889 --> 00:18:15.894]  And I said, folks, the Army War College says they're going to move to make all the mentally ill, they say one in six boys is now mentally ill, forcing them all on Ritalin and Prozac, one in ten girls.
[00:18:15.894 --> 00:18:18.355]  Now they're even saying it, within days of it.
[00:18:18.875 --> 00:18:23.519]  We may have to force people to take a brain implant to make them feel better.
[00:18:23.519 --> 00:18:25.341]  It's like a science fiction horror movie.
[00:18:25.341 --> 00:18:28.444]  Once you've got the implant, it's all going to feel a lot better.
[00:18:28.444 --> 00:18:33.008]  But since it's the news and the system, people are going, well, sounds pretty good, actually.
[00:18:33.008 --> 00:18:35.711]  I've talked to people on the street, yeah.
[00:18:35.711 --> 00:18:37.152]  In fact, you don't believe me on that?
[00:18:37.152 --> 00:18:37.792]  Panel O.K.'
[00:18:37.732 --> 00:18:39.374]  's implant to fight depression.
[00:18:40.421 --> 00:18:42.742]  And it hooks into your nerve, into your brain.
[00:18:42.742 --> 00:18:45.023]  It's a small little system.
[00:18:45.023 --> 00:18:47.044]  I even have a photo on the website.
[00:18:47.044 --> 00:18:49.746]  This is out of the Washington Post.
[00:18:49.746 --> 00:18:52.407]  Panel OK's implant to fight depression.
[00:18:52.407 --> 00:18:53.608]  You might zoom in a bit, Mike.
[00:18:53.608 --> 00:18:54.348]  Come in and zoom in a bit.
[00:18:54.348 --> 00:18:56.049]  I'm sorry.
[00:18:56.049 --> 00:19:03.073]  And it says, uh, a surgical implant that stimulates the brain, should get government approval for the treat chronic depression.
[00:19:03.073 --> 00:19:07.735]  Again, you're not for the 35 children a year dying in hot cars, and we've got to watch you with infrared cameras.
[00:19:08.982 --> 00:19:13.003]  They only dial in to watch if there's a problem.
[00:19:13.003 --> 00:19:18.224]  And again, this depression, you must put your child on Ritalin or we'll take them from you.
[00:19:18.224 --> 00:19:20.685]  This is the brave new world.
[00:19:20.685 --> 00:19:23.646]  Young mammals aren't supposed to jump around and be aggressive.
[00:19:23.646 --> 00:19:26.706]  Of course, every other mammal species does that, but humans are different.
[00:19:26.706 --> 00:19:31.387]  You're to submit and have black circles around your eyes and take your brain implant.
[00:19:31.387 --> 00:19:33.708]  Folks, this is so, so chilling.
[00:19:36.033 --> 00:19:39.016]  Now, again, I remember reading the Army War College reports years ago.
[00:19:39.016 --> 00:19:55.411]  They said, we're going to sell this to the people as trendy to the young people, security for old people and for prisoners, and for convenience to the young urban workers or the yuppies.
[00:19:56.408 --> 00:19:57.968]  I mean, I've posted them.
[00:19:57.968 --> 00:19:59.169]  I've shown them here.
[00:19:59.169 --> 00:19:59.769]  I've posted them.
[00:19:59.769 --> 00:20:01.089]  They're on the site.
[00:20:01.089 --> 00:20:04.670]  Weird Pentagon documents about the hive mind.
[00:20:04.670 --> 00:20:06.050]  Actually, it won't be what weapons we have.
[00:20:06.050 --> 00:20:08.011]  It's what drugs our soldiers are on.
[00:20:08.011 --> 00:20:11.032]  We'll be dosing the entire population with amnesiacs.
[00:20:11.032 --> 00:20:13.612]  There's a discussion of putting Prozac in the water supply.
[00:20:13.612 --> 00:20:14.973]  I have AP reports.
[00:20:14.973 --> 00:20:16.553]  You know, just, oh, it's no big deal.
[00:20:16.553 --> 00:20:17.693]  I'm wearing a suit.
[00:20:17.693 --> 00:20:19.934]  I'm the expert.
[00:20:19.934 --> 00:20:22.995]  Once you've got the brain implant, there won't be any more pain.
[00:20:22.995 --> 00:20:24.055]  You'll be one of us soon.
[00:20:25.174 --> 00:20:26.675]  Here's a picture of it.
[00:20:26.675 --> 00:20:29.697]  A little handheld thing that goes down a wire to your side.
[00:20:29.697 --> 00:20:32.960]  It's just like what Philip K. Dick talked about.
[00:20:32.960 --> 00:20:35.681]  Philip K. Dick heard about it from Aldous Huxley, who was there.
[00:20:35.681 --> 00:20:38.644]  And it's the little port.
[00:20:38.644 --> 00:20:42.006]  And you just plug into the little port.
[00:20:42.006 --> 00:20:47.149]  And this is posted on InfoWars.com, but it's a Seattle Times article.
[00:20:47.149 --> 00:20:51.392]  Federal experts endorse anti-depression brain implant.
[00:20:53.180 --> 00:20:56.901]  It's just a, don't worry, it's just a port.
[00:20:56.901 --> 00:21:01.563]  They put some wires in through surgery up into the nerves of the brain and then just a little plug.
[00:21:01.563 --> 00:21:09.445]  And then, ooh, the new Xboxes, guaranteed, I've said this, within 10 years the Xboxes and the Playstations, they're going to be interactive.
[00:21:09.445 --> 00:21:11.065]  Dad, please let me get the implant.
[00:21:11.065 --> 00:21:13.226]  I can go into Special Forces if I do it.
[00:21:13.226 --> 00:21:13.986]  Sign the waiver.
[00:21:13.986 --> 00:21:16.127]  You've got to go into training when you're 12, Dad.
[00:21:16.127 --> 00:21:18.088]  I don't know, son, but it's so radical.
[00:21:18.088 --> 00:21:19.408]  All the movie stars have got it.
[00:21:20.054 --> 00:21:24.515]  See, we're all, through films like The Matrix, all of it, we're being conditioned that it's normal.
[00:21:24.515 --> 00:21:26.276]  Even the good guys plug in.
[00:21:26.276 --> 00:21:30.918]  But it's not a big plug, it's a little, just a tiny wire.
[00:21:30.918 --> 00:21:32.478]  Oh, freedom!
[00:21:32.478 --> 00:21:37.720]  And of course, it can give you unlimited pleasure if you're a good little global.
[00:21:37.720 --> 00:21:39.160]  Come on, people!
[00:21:39.160 --> 00:21:42.021]  It's right here!
[00:21:42.021 --> 00:21:44.302]  Christian Science Monitor, Washington Post,
[00:21:45.726 --> 00:21:47.927]  June 16th, Seattle Times.
[00:21:47.927 --> 00:21:52.510]  These are all on InfoWars.com, PrisonPlanet.tv, and PrisonPlanet.com.
[00:21:52.510 --> 00:21:54.031]  So there's your 1984.
[00:21:54.031 --> 00:21:55.172]  Light years ahead of it.
[00:21:55.172 --> 00:21:58.894]  An amalgamation of what Aldous Huxley talked about.
[00:21:58.894 --> 00:22:00.775]  Of 1984 and Brave New World.
[00:22:00.775 --> 00:22:05.238]  Because both men have been inside the government, and this is what they said the planners were pushing for.
[00:22:05.238 --> 00:22:08.680]  And he said he thinks Orwell misjudged the level of just, you know,
[00:22:11.119 --> 00:22:16.531]  Brute wickedness, but that he estimated, but that Huxley underestimated how much of that would succeed.
[00:22:16.531 --> 00:22:17.934]  It was really an amalgamation of the two.
[00:22:18.931 --> 00:22:23.094]  And here we have it, a secret prisoner, Associated Press.
[00:22:23.094 --> 00:22:29.938]  Oh, there's all these people in secret camps, not just the camps we heard about, with the rape and torture of women and children to get people to talk.
[00:22:29.938 --> 00:22:36.563]  And 70 to 90 percent of those arrested at checkpoints, totally innocent, had committed no crimes, just stopped at checkpoints.
[00:22:36.563 --> 00:22:39.245]  Well, they cut our man's head off, so we've got to cut their heads off.
[00:22:39.245 --> 00:22:40.025]  Innocent people?
[00:22:40.025 --> 00:22:42.447]  Yeah, we've got to get tough.
[00:22:42.447 --> 00:22:46.970]  Five years ago in America, you wouldn't hear anybody say, if you criticize the government, you should be arrested.
[00:22:48.007 --> 00:22:59.373]  But a wicked beatnik of the 60s who wanted camps, who wanted re-education centers, couldn't win as a leftist servant of the elite, so he became a right-winger.
[00:22:59.373 --> 00:23:08.718]  Mr. Weiner, Michael Weiner, known as Michael Savage, got on the air in the last three years and said, anybody that disagrees with the government, put them in a camp, they're aiding terrorists.
[00:23:08.718 --> 00:23:13.981]  And he got on MSNBC and the other neocons picked up on it when he got away with it.
[00:23:13.981 --> 00:23:17.343]  And I mean, anybody that disagrees with the government aids terrorists.
[00:23:17.898 --> 00:23:20.700]  No matter what disagreement it is, they must be put in forced labor camps.
[00:23:20.700 --> 00:23:22.921]  They actually say this every day.
[00:23:22.921 --> 00:23:28.344]  And Alan Dershowitz gets up and goes, yeah, forced torture is good, secret arrest is good.
[00:23:28.344 --> 00:23:29.845]  I'm a liberal lawyer.
[00:23:29.845 --> 00:23:33.507]  And he even comes out and criticizes Bush for torture when he's been at UT promoting torture.
[00:23:33.507 --> 00:23:41.192]  So, this is all going on, and then I'm walking down the hall with somebody I've known for eight, nine years, and he's like, yeah, you should be arrested.
[00:23:41.192 --> 00:23:42.833]  I think you should be arrested for sending the government behind 9-11.
[00:23:44.166 --> 00:23:44.767]  It's your opinion.
[00:23:44.767 --> 00:23:45.207]  I go, no.
[00:23:45.207 --> 00:23:46.568]  They warned the public officials not to fly.
[00:23:46.568 --> 00:23:47.909]  I bet a lot of it works for the CIA.
[00:23:47.909 --> 00:23:48.770]  Al Qaeda CIA.
[00:23:48.770 --> 00:23:49.430]  Let me give you evidence.
[00:23:49.430 --> 00:23:50.051]  No, I don't want to hear it.
[00:23:50.051 --> 00:23:51.032]  I don't want to talk to you.
[00:23:51.032 --> 00:23:55.435]  You should be arrested.
