[00:00.000 --> 00:16.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[07:23.000 --> 07:30.000]  Another national survey, half of students don't believe all speech is protected under the First Amendment.
[07:30.000 --> 07:37.000]  They're getting so close to ending free speech, they say if something hurts someone's feelings, you don't have that speech.
[07:37.000 --> 07:48.000]  Meanwhile, CBS drama The Good Fight has of course been tweeting out that they want to assassinate the president
[07:48.000 --> 07:54.000]  and they say anyone supporting the president is a Nazi and should be punched in the face.
[07:54.000 --> 08:03.000]  And it's happening all over the country mainstream corporate television in dramas and in fiction and in news
[08:03.000 --> 08:10.000]  saying attack people physically, the corporate press defends Antifa and then they lie and say that I'm calling for violence on the press.
[08:10.000 --> 08:15.000]  They show no proof and have me de-platformed. This is the criminal evil.
[08:15.000 --> 08:23.000]  Left-wing beer company tells customers to hit people over the heads with bricks if they're conservatives.
[08:23.000 --> 08:29.000]  They have left the tweet up, Twitter is defending it and they just say that's the way it is.
[08:29.000 --> 08:41.000]  They're going to hit you over the head with bricks. Also at Cannes Film Festival, sci-fi film poster features decapitated Donald Trump head in a MAGA hat.
[08:41.000 --> 08:50.000]  This is all foreshadowing of the 2020 election. Mass shootings, fire bombings, you name it, all against conservatives.
[08:50.000 --> 08:59.000]  But there'll be no media coverage when it happens. Delaware County Church vandalized with abortion rights graffiti
[08:59.000 --> 09:04.000]  and more churches are being burned down across Europe and the US by the thousands.
[09:04.000 --> 09:12.000]  Left activist attacked Nigel Farad. That's right.
[09:12.000 --> 09:17.000]  And now they're advocating acid attacks against Nigel Farad.
[09:17.000 --> 09:23.000]  Of course, they used to have acid attacks in Islamic favorite. Now they have up to seven a day in London alone.
[09:23.000 --> 09:34.000]  And now leftists are openly advocating and being authorized by Twitter to do so, throwing acid on this individual.
[09:34.000 --> 09:42.000]  Milkshakes are being thrown on conservatives and pro-Briggeders all over England and in Europe as well.
[09:42.000 --> 09:48.000]  And Burger King advertised that people should come there and get their milkshakes and assault people.
[09:48.000 --> 09:59.000]  Well, now they're saying let's throw acid on folks after Nigel Farad was doused in a milkshake yesterday.
[09:59.000 --> 10:03.000]  So that's how they started. Now they say let's do it with acid.
[10:03.000 --> 10:13.000]  And you saw yesterday Tommy Robinson viciously attacked with hundreds and hundreds of bricks by hordes of Islamists saying he isn't allowed to have free speech in England.
[10:13.000 --> 10:18.000]  And the police agreed and ended his authorized permanent rally.
[10:18.000 --> 10:25.000]  Continuing Buffalo Wild Wings employees on Twitter threatened to contaminate Trump supporters food by spitting in it.
[10:25.000 --> 10:30.000]  And they're so arrogant they posted openly to Twitter with their identities.
[10:30.000 --> 10:34.000]  That's all up on infowars.com and newswars.com.
[10:34.000 --> 10:45.000]  Al Jazeera gets Twitter to silence critics of its video implying Jews benefited from the Holocaust.
[10:45.000 --> 10:47.000]  It's a daily caller article.
[10:47.000 --> 10:54.000]  Report alleged Antioch church shooter aimed to kill 10 white churchgoers two years ago.
[10:54.000 --> 11:01.000]  But the media and government covered up that it was a racial attack by a black man on white people.
[11:01.000 --> 11:12.000]  Continuing Representative Ilhan Omar the two loudest Muslim women in the country are now in Congress and they both hate America.
[11:12.000 --> 11:16.000]  And they both shoot their mouths off by how much it sucks all day.
[11:16.000 --> 11:21.000]  But neither one will get the hell out and go back to hell holes like Somalia.
[11:21.000 --> 11:29.000]  Continuing leftist rage after New York Times reports the happiest of all lives are religious conservatives.
[11:29.000 --> 11:34.000]  Which is of course true in every study across the planet.
[11:34.000 --> 11:36.000]  You're not even supposed to have a family.
[11:36.000 --> 11:37.000]  You're not supposed to have children.
[11:37.000 --> 11:38.000]  You're not supposed to be happy.
[11:38.000 --> 11:40.000]  You're supposed to be depressed on Facebook.
[11:40.000 --> 11:44.000]  They admit it.
[11:44.000 --> 12:03.000]  Continuing we're going to go to break here in a few minutes and come back with four intent Americans embrace some form of socialism and what that bell weather really signifies the latest on China and the trade war that is unfolding there.
[12:03.000 --> 12:06.000]  I wanted to just stop though for a moment.
[12:06.000 --> 12:18.000]  And let listeners know that I want to thank you over the years for all your support and everything you've done to make this transmission possible.
[12:18.000 --> 12:37.000]  But we try to make it as easy as we can for you to support us by bringing you the very best products out there so that while you get good products that empower and make your life better and more interesting and more pleasurable.
[12:37.000 --> 12:48.000]  That you can also rest assured that you're helping fund individuals and organizations that are dedicated to taking the globalist on at point blank range and getting major results.
[12:48.000 --> 12:58.000]  That's why we're introducing a new sale that is very extensive and very, very good.
[12:58.000 --> 13:08.000]  We're introducing the info wars store dot com Memorial Day mega sale now is the most important time to support the info war.
[13:08.000 --> 13:14.000]  My friends there has never been a more critical time to take a stand in the fight for our Republic.
[13:14.000 --> 13:25.000]  Globalist censorship and attacks are at all time highs efforts shut down independent Liberty media ahead of their real takeover that's getting ready to happen a violent violent revolution against the family against Christians.
[13:25.000 --> 13:29.000]  I mean, it's it's it's lined up. It's ready in honor of Memorial Day.
[13:29.000 --> 13:43.000]  We are launching game changing specials and unveiling a brand new system for the total health and performance that has been in design and research and development for over a year.
[13:43.000 --> 13:57.000]  It's called the eight pack power stack, which combines all the most powerful health supplements for your routine in two easy to use packets.
[13:57.000 --> 14:16.000]  The crew has dubbed it the Swiss army knife of info wars life and nutraceuticals and it comes with an AM and PM packs so that you have what you need in the morning and what you need in the evening and it's very easy and portable and you don't forget to use it.
[14:16.000 --> 14:30.000]  And for a limited time, we're launching the eight pack power stack at 50% off out of the gates at info or store.com. In addition, we have unveiled other major specials at info or store.com.
[14:30.000 --> 14:35.000]  We've never done this, but I want you to experience it with all the fungus is in the environment.
[14:35.000 --> 14:46.000]  60% off extend a wise and micro zx plus 50% off eight pack power stack.
[14:46.000 --> 14:57.000]  Body's ultimate turmeric formula that is a huge special vitamin mineral fusion. It's so good for you, your children, you name it ultimate bone broth, super male vitality.
[14:57.000 --> 15:07.000]  40% off because it just got back in stock. Turbo force beyond energy drink beyond pre workout beyond post workout.
[15:07.000 --> 15:16.000]  Five different types of energy that are healthy and slow burn to hit at different times 10 hours really should call it 10 hour energy, but whatever.
[15:16.000 --> 15:23.000]  Turbo force on average last about 10 hours doesn't have the hangover that others do doesn't have the toxic additives.
[15:23.000 --> 15:27.000]  40% off turbo force.
[15:27.000 --> 15:31.000]  And we have chocolate and vanilla bars.
[15:31.000 --> 15:46.000]  Super silver wound gel all of it 40% off again the great protein bars are back in stock the peanut butter chocolate and the vanilla.
[15:46.000 --> 15:59.000]  Our back in stock right now at infowarstore.com and that's how you find the operation huge sales going right now be sure and check out the eight pack power stack.
[16:16.000 --> 16:23.000]  If you want to outlast any other RV or trailer bold statement, you bet. See him now at survivalistcamps.com.
[16:23.000 --> 16:46.000]  Trust your family survival to survivalistcamps.com.
[16:46.000 --> 16:52.000]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[16:52.000 --> 16:56.000]  My blood pressure has normalized my diabetes has totally improved.
[16:56.000 --> 17:01.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[17:01.000 --> 17:03.000]  I recommend heart and body extract to everyone.
[17:03.000 --> 17:11.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:11.000 --> 17:22.000]  Order your two month supply today by calling 866-295-5305 that's 866-295-5305 or order online hbextract.com.
[17:22.000 --> 17:49.000]  Heart and body extract 866-295-5305 or hbextract.com.
[17:49.000 --> 17:53.000]  Who do we fight for? The Deep State began with World War One.
[17:53.000 --> 18:00.000]  The United States of Empire by James Dunn available at Amazon Books.
[18:00.000 --> 18:08.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico
[18:08.000 --> 18:12.000]  where the Chiapas farmers have spent years perfecting their techniques
[18:12.000 --> 18:19.000]  based on hundreds of years of traditional techniques and perfect conditions.
[18:19.000 --> 18:24.000]  We've sourced only the best to provide you with our immune support and wake up America, Patriot Blend coffee.
[18:24.000 --> 18:30.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean.
[18:30.000 --> 18:35.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:35.000 --> 18:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:45.000]  You can even choose to start your morning healthier with the immune support blend,
[18:45.000 --> 18:49.000]  infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 18:52.000]  It's time to take care of your morning routine.
[18:52.000 --> 19:02.000]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:02.000 --> 19:07.000]  It's never been easy to figure out the essentials of a new supplement routine.
[19:07.000 --> 19:14.000]  That's why we created the 8-Pack PowerStack, your go-to option for the building blocks of a successful approach to supplementation.
[19:14.000 --> 19:22.000]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old info warriors alike.
[19:22.000 --> 19:29.000]  With the 8-Pack PowerStack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[19:29.000 --> 19:37.000]  Just take the wake up and work or rest and recover packs each day for quick, easy to use, and conveniently accessible formulas
[19:37.000 --> 19:43.000]  to help you reach your peak without the deep supplement knowledge, stacks of bottles, and complicated routine.
[19:43.000 --> 19:47.000]  Featuring 8 different formulas for a total take on your health and wellness,
[19:47.000 --> 19:52.000]  you can find what you like and get even more powerful versions in the store.
[19:52.000 --> 19:59.000]  Head to infowarstore.com and check out 8-Pack PowerStack today and jumpstart your supplement routine.
[20:22.000 --> 20:34.000]  I track the news, as everybody knows, I know the general public attends in this broadcast as well.
[20:34.000 --> 20:36.000]  You want to know what's going on.
[20:36.000 --> 20:42.000]  And the level of leftist media, but not just news, so-called entertainment,
[20:42.000 --> 20:50.000]  promoting violent attacks on nationalists, on conservatives, on Christians is exponential.
[20:50.000 --> 20:52.000]  And we know why.
[20:52.000 --> 20:56.000]  Here's a headline out of French news agency.
[20:56.000 --> 21:04.000]  EU leaders sound alarm over populist election threat.
[21:04.000 --> 21:08.000]  And that's because in polls, even in their skewed polls,
[21:08.000 --> 21:16.000]  45% of the seats look like they are going to be lost to the party that Nigel Farage has started a year and a half ago,
[21:16.000 --> 21:18.000]  the Brexit party.
[21:18.000 --> 21:22.000]  He left UKIP, and UKIP looks like it's going to get a bunch of seats.
[21:22.000 --> 21:30.000]  And so these are nationalist, kind of Barry Goldwater, Ron Paul, Alex Jones-esque type deals.
[21:30.000 --> 21:33.000]  And so they sound the alarm like it's illegal.
[21:33.000 --> 21:35.000]  Like, you can't have that.
[21:35.000 --> 21:37.000]  We're going to have open borders.
[21:37.000 --> 21:38.000]  We're going to have world government.
[21:38.000 --> 21:47.000]  We're going to have the EU bureaucracy be unelected and circumnavigate and override the elected parliament.
[21:47.000 --> 21:54.000]  And so that's why they said, three years ago, they said, if Hillary loses, it's the end of globalism.
[21:54.000 --> 21:59.000]  And now Hillary lost, and everywhere populist and nationalist are getting elected.
[21:59.000 --> 22:08.000]  And so big tech all over the world, from Latin America to Africa to Middle East to Europe to Eastern Europe to Russia to Asia,
[22:08.000 --> 22:13.000]  is attacking nationalist and populist candidates.
[22:13.000 --> 22:24.000]  The truth is, the globalist had been taking control of society and civilization with no opposition,
[22:24.000 --> 22:32.000]  except for, again, Ronald Reagan a little bit, Barry Goldwater, Ron Paul, Congressman Larry McDonald.
[22:32.000 --> 22:38.000]  And a lot of folks that did talk about this got shot, or they disappeared,
[22:38.000 --> 22:44.000]  or they got grabbed like Congressman Hanson and almost tortured to death by the IRS.
[22:44.000 --> 22:50.000]  So in the old days, you talked about this, you ended up in big trouble.
[22:50.000 --> 22:55.000]  Those of us nowadays, it's maybe hot coffee over the head, milkshake in the face,
[22:55.000 --> 23:02.000]  slap the back of the head, audited, deplatformed, called a white supremacist.
[23:02.000 --> 23:04.000]  And you know, that's not fun.
[23:04.000 --> 23:11.000]  Bank accounts taken away, but the difference is, it's on a mass scale now.
[23:11.000 --> 23:23.000]  Before they'd shoot Reagan and torture McDonald and disappear him and torture Hanson and say that Barry Goldwater was crazy.
[23:23.000 --> 23:27.000]  But now, they just unperson you.
[23:27.000 --> 23:38.000]  Look at some of these headlines that I'm going to be covering coming up. I mean, they're just pouring in, just pouring in.
[23:38.000 --> 23:48.000]  Dumbing down of America, SAT exams will now include adversity score.
[23:48.000 --> 23:58.000]  Developing Democrat Chairman of the House Oversight Committee and wife accused of mass paid a place candle.
[23:58.000 --> 24:05.000]  What if the Burger King milkshake tweet prompting violence was Chick-fil-A? Great question.
[24:05.000 --> 24:13.000]  8 in 10 Somali teams armed with hammers attacked by standards at East Bank Rail Station in Minnesota.
[24:13.000 --> 24:23.000]  Media, oddly quiet, they always are. I know folks that live up in Minnesota, GCN, the network that carries some of our programming, is up there.
[24:23.000 --> 24:30.000]  And everybody knows the Somalis don't assimilate and they attack a lot of people and kill a lot of people.
[24:30.000 --> 24:36.000]  And push little kids off balconies at the Mall of America and shoot women for no reason.
[24:36.000 --> 24:45.000]  And that's why I famously said, we love our Somalis. We love our Muslims too. Oh, they're so good. Oh, they're so sweet.
[24:45.000 --> 24:54.000]  I'm going to stab your daughter at the mall. Going to stab your wife, your son. Going to stab him with a butcher knife.
[24:54.000 --> 25:05.000]  And then the police chief is going to say, we love our Somalis. We love our Muslims too. Oh, they're so good. Oh, they're so sweet.
[25:05.000 --> 25:14.000]  Oh, they're so good. Oh, they're so sweet. Something like 80% are on welfare. Oh, we're so good. Oh, we're so sweet.
[25:14.000 --> 25:23.000]  We played that video yesterday where the filmmaker goes through Minneapolis, St. Paul and not one Somali will tell him that he wants to live in America.
[25:23.000 --> 25:28.000]  I want to live in Somalia. You're like, well, that doesn't make sense. You came here. You want to be here.
[25:28.000 --> 25:38.000]  But see, it's the double thing. It's like Ilhan, the arrogant she bleeds and oozes and the hate and the sliminess and the creepiness of it.
[25:38.000 --> 25:43.000]  I mean, women don't get to open their mouths in Somalia. They're lower than dog excrement.
[25:43.000 --> 25:52.000]  But here, she could pull up her skirt and just piss all over the Republic, piss all over the American flag, piss in all our faces with those evil beady eyes.
[25:52.000 --> 25:59.000]  That evil smile because she knows we're going to submit to her because she's better than us and she's going to feed on us.
[25:59.000 --> 26:05.000]  Her boys are going to beat your whiteheads in with hammers and the media's going to love it.
[26:05.000 --> 26:18.000]  Because our Somali's a sweet. Oh, that's a sweet. Oh, that's a sweet. Sweet, sweet, sweet.
[26:18.000 --> 26:25.000]  So thank you, Ilhan. You're so look at that fixed. It's so superior, so arrogant.
[26:25.000 --> 26:36.000]  Her country is in a country. It's a backwards road warrior hell pit where the main industry is piracy.
[26:36.000 --> 26:44.000]  And the next industry is slavery of non Somalis. And she knows business is going to be good.
[26:44.000 --> 26:51.000]  She's a criminal con artist, married her brother to bring him here than married other men.
[26:51.000 --> 27:00.000]  And she's going to sit up there with her inferiority complex and she is going to make you bow to her.
[27:00.000 --> 27:07.000]  It's awesome. She keeps laughing. She can't believe it. She can't believe the scams and the fraud that you know she's running right now.
[27:07.000 --> 27:11.000]  She can't believe how weak you are. She can't believe how she's praying on you.
[27:11.000 --> 27:17.000]  She can't believe how disingenuous she is. She cannot believe it. How much she loves it.
[27:17.000 --> 27:24.000]  Oh, but I haven't gotten to any of the stories yet. Sorry. We love our Somalis. We love our Muslims too.
[27:24.000 --> 27:30.000]  Oh, they're so good. Oh, they're so sweet.
[27:30.000 --> 27:36.000]  Thousands of churches burning in Europe. Oh, they're so sweet.
[27:36.000 --> 27:42.000]  Continuing, Republican Google engineer writes open letter about companies outrage mobs and witch hunts.
[27:42.000 --> 27:49.000]  Oh, US find Wall Street 20 billion over the last five years but collected only about half.
[27:49.000 --> 27:56.000]  The New York Times subsidiary rewrite scoop about Trump's EPA doesn't issue a correction.
[27:56.000 --> 28:00.000]  A huge number of North Korean women are sold into Chinese slavery.
[28:00.000 --> 28:10.000]  Report says, but it's okay because only white people can be evil. So if you've got five African countries selling people into slavery, it's okay.
[28:10.000 --> 28:16.000]  If you've got the Koreans selling their own people into slavery, it's okay. They're not white.
[28:16.000 --> 28:24.000]  Everyone who's not white is God. Everyone white is bad. You've got to learn leftist ideology here.
[28:24.000 --> 28:32.000]  Of course, isn't it really racist to not care if women are Asian, being sold to slavery or if the Chinese have killed 159 of their own people?
[28:32.000 --> 28:37.000]  Oh, no. Oh, no. Oh, no.
[28:37.000 --> 28:45.000]  When David Knight's wife one time in an abortion demonstration in the Antifa was at, she said, you know, I adopted a child.
[28:45.000 --> 28:49.000]  She goes, yeah, you're a little white pig. She goes, no, actually it was a Chinese.
[28:49.000 --> 28:55.000]  Oh, yeah, virtue signaling. It just be better to kill that baby.
[28:55.000 --> 29:20.000]  Kill babies. Kill babies. We have the moral high ground. Kill babies.
[29:20.000 --> 29:27.000]  It's a special IRS debt assistance program that could save you thousands, even tens of thousands if you qualify.
[29:27.000 --> 29:34.000]  Optima will immediately provide you with a team of professionals who will fight to protect you from the IRS, ensuring you get the best possible outcome.
[29:34.000 --> 29:38.000]  The Better Business Bureau has awarded them an A plus rating and you will too.
[29:38.000 --> 29:42.000]  So put the hard times behind you and call Optima today for a free consultation.
[29:42.000 --> 29:54.000]  Call 800-375-2577. 800-375-2577.
[29:54.000 --> 29:56.000]  Optima Tax Relief.
[29:56.000 --> 30:00.000]  Some restrictions apply for complete details. Please visit OptimaTaxRelief.com.
[30:00.000 --> 30:05.000]  Mike in New Jersey. You're on the air. Thanks for calling, Mike.
[30:05.000 --> 30:10.000]  You are the man, Alex. I'm so glad to be talking to you. I'm so excited. I'm such a big fan.
[30:10.000 --> 30:15.000]  I've been listening. I've been buying your products. I got to do a shout out for the bone broth.
[30:15.000 --> 30:20.000]  The bone broth. The bone broth. The bone broth. The bone broth. The bone broth.
[30:20.000 --> 30:25.000]  Tastes like, tastes like great milkshake. You know, if you just add it to milk.
[30:25.000 --> 30:31.000]  It tastes like oval theme. It tastes like oval theme. It tastes like oval theme. Like good.
[30:31.000 --> 30:37.000]  I feel great since I've been taking it. My daughter uses the bubble gum fluoride-free toothpaste.
[30:37.000 --> 30:42.000]  I'd use the SuperMail Vitality, a host of other products. So thank you so much for that as well.
[30:42.000 --> 30:46.000]  Brother, you're thanking me for buying the products and keeping us on air. I'm thanking you.
[30:46.000 --> 30:52.000]  But yes, this is the ultimate bone broth formula with the turmeric, the chocolate mushroom, the true bone broth.
[30:52.000 --> 30:54.000]  It is next level. It really is good. So thank you.
[30:54.000 --> 30:57.000]  I feel great since I've been taking it. Thank you.
[31:00.000 --> 31:06.000]  Everybody knows that supplements are amazing. That what God gave us from other nature is incredible.
[31:06.000 --> 31:11.000]  All of us supplements are the biggest growing industry in the world and the globalists are so upset.
[31:11.000 --> 31:15.000]  The problem is people forget to take them.
[31:15.000 --> 31:20.000]  And that's why the whole industry has moved towards packets that you take in the morning and you take at night.
[31:20.000 --> 31:27.000]  So we looked at that. We made the very best AM and PM packets out there with an incredible spectrum of 13 different capsules
[31:27.000 --> 31:31.000]  that you take in two servings a day that are game changing.
[31:31.000 --> 31:38.000]  And PM, total health and performance, eight pack power stack at infoworselife.com.
[31:38.000 --> 31:43.000]  Folks, check it out. It's 50% off for a limited time out of the gates.
[31:43.000 --> 31:46.000]  50% off on the eight pack power stack.
[31:46.000 --> 31:52.000]  50% off on our newest product at infoworselife.com, the eight pack power stack.
[31:52.000 --> 32:00.000]  50% off. We looked at the best selling products out there and we made it even better and we lowered the price.
[32:00.000 --> 32:08.000]  What you have witnessed is the biggest development in free speech in the western world's history.
[32:08.000 --> 32:12.000]  This is a digital, AI enforced gag order.
[32:12.000 --> 32:17.000]  Not to say the name Alex Jones, our infowors.com.
[32:22.000 --> 32:26.000]  This is Nazi Germany level. This is racketeering. This is cartels.
[32:26.000 --> 32:32.000]  Mr. President, we need your help. We need it now. You can take on big tech.
[32:32.000 --> 32:41.000]  They saw infowors as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[32:41.000 --> 32:49.000]  So they thought, first they come for Alex Jones, then when people say, okay, take him off the air, everyone else like Domino's would fall.
[32:49.000 --> 32:56.000]  The way to fight back is to support infowors now more than ever and make it a standard of freedom and free speech.
[32:56.000 --> 33:21.000]  If they believe they can take us down, they'll take everybody else down.
[33:26.000 --> 33:33.000]  When more of you need to know about these people, I go out and face this scum.
[33:33.000 --> 33:40.000]  They literally crawl out from under us. They have green-looking skin and they run around screaming,
[33:40.000 --> 33:47.000]  we love Satan, we want to eat babies. I have them on video.
[33:47.000 --> 33:51.000]  I kill my babies. I kill my kids.
[33:51.000 --> 33:58.000]  Hillary's in the creepy, weird, sick stuff, man. As we came, we saw, she died.
[33:58.000 --> 34:06.000]  She sleeps in the same room with that creepy, weird woman whose mother wears her foot over her head.
[34:06.000 --> 34:14.000]  That woman number one is ugly. Imagine how bad she smells, man.
[34:14.000 --> 34:23.000]  I'm told her and Obama just stink. Obama and Hillary both smell like sulfur.
[34:23.000 --> 34:30.000]  There's a guy on the radio who apparently trumps on his show frequently. He said, me and Hillary aren't demons.
[34:30.000 --> 34:33.000]  He said, we smell like sulfur. Ain't that something?
[34:33.000 --> 34:37.000]  I have never seen or smelled any woman like that, ever.
[34:37.000 --> 34:38.000]  People are telling me she smells.
[34:38.000 --> 34:45.000]  Who could not notice someone who smells that bad?
[35:08.000 --> 35:12.000]  Stop it. I'm so pissed.
[35:12.000 --> 35:20.000]  We're going to stab your daughter at the mall.
[35:20.000 --> 35:27.000]  We're going to stab your wife, your son.
[35:27.000 --> 35:34.000]  We're going to stab you with a butcher knife and then the police chief is going to say,
[35:34.000 --> 35:46.000]  We love our smileys. We love our muslims. Oh, they're so good. Oh, they're so sweet.
[35:46.000 --> 35:52.000]  I was watching Fox News I worked out this morning and they had the police chief on making excuses from that town of Minnesota.
[35:52.000 --> 35:56.000]  And they had the Fox News host. This is the fair and balance channel going.
[35:56.000 --> 36:12.000]  Donald Trump really stepped in at this time. He said it was a bombing before it had officially been called a bombing and Hillary's on him and she's got support.
[36:12.000 --> 36:27.000]  Crashing the lies and disinformation. Monday through Friday from 11 a.m. to 3 p.m. Central. Then I returned, of course, Sundays, 4 to 6 p.m. We have Owen Schreuer and the great job that he does.
[36:27.000 --> 36:31.000]  3 to 6 p.m. with the war room and of course David Knight knocking out of the park.
[36:31.000 --> 36:34.000]  Weekday mornings kicked off 11 a.m.
[36:34.000 --> 36:47.000]  Okay, and again, I'm not trying to target the poor little dear sweet Somalis, but they are an extremely tribal group that attacks all their neighboring African tribes and that doesn't work with or get along with anybody.
[36:47.000 --> 36:54.000]  It is known as the most piratical dangerous country in the world. They have no working government or system.
[36:54.000 --> 37:05.000]  And in Minneapolis, St. Paul, you have the leftist brain damaged population up there where you have attacks at basically racial attacks every day at the mall.
[37:05.000 --> 37:14.000]  Little babies being thrown off balconies, little white babies, families being attacked, robbed, stabbed, and the media tries to cover it up.
