whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:57.640 --> 00:02:03.720]   The latest US agents shoot tear gas at the migrants,
[00:02:03.720 --> 00:02:05.440]   that's the Washington Post whitewashing.
[00:02:05.440 --> 00:02:10.840]   Trump closes US border checkpoint at Tijuana as migrant caravan breaks
[00:02:10.840 --> 00:02:16.640]   through the fence, the migrant caravan that did not exist.
[00:02:16.640 --> 00:02:20.160]   Migrants enveloped in tear gas after heading towards the US,
[00:02:20.160 --> 00:02:23.720]   you mean violently throwing rocks at people and climbing over the fences.
[00:02:23.720 --> 00:02:27.400]   And once they get here, they have to be processed back into Mexico and
[00:02:27.400 --> 00:02:30.760]   the judges don't allow it in almost every area of the country,
[00:02:30.760 --> 00:02:33.520]   particularly California, where the Ninth Circuit and
[00:02:33.520 --> 00:02:36.560]   those other federal courts actively work against America.
[00:02:36.560 --> 00:02:40.040]   And that's why the UN and others are funding this.
[00:02:44.440 --> 00:02:50.760]   Now, this is such incredible treason, and we knew it was coming.
[00:02:50.760 --> 00:02:56.040]   And to watch the UN get US taxpayer money and set this up and
[00:02:56.040 --> 00:03:01.360]   fund this just like they did in Europe, over and over and over again,
[00:03:01.360 --> 00:03:02.480]   it makes my head spin.
[00:03:02.480 --> 00:03:07.400]   And then to have the media, the collaborator controlled corporate media,
[00:03:07.400 --> 00:03:11.640]   act like the United States is bad and Trump is bad, and
[00:03:11.640 --> 00:03:17.560]   our nation existing is bad, as they try to open up Central and
[00:03:17.560 --> 00:03:22.440]   South America to literally flood us by the tens of millions a year,
[00:03:22.440 --> 00:03:25.560]   just like Europe's being hit by the Islamists outside of North Africa and
[00:03:25.560 --> 00:03:29.800]   the Middle East, who then come in and literally go on welfare and
[00:03:29.800 --> 00:03:33.680]   are politically controlled by the globalists.
[00:03:33.680 --> 00:03:36.360]   And just the footage is so dramatic.
[00:03:36.360 --> 00:03:39.040]   If you're a radio listener, you've got to go to infowars.com.
[00:03:39.040 --> 00:03:43.480]   Jamie White has put up an article that's a big boil down of all of this.
[00:03:43.480 --> 00:03:48.440]   We have also sent out a live feed that's on the front page of
[00:03:48.440 --> 00:03:54.880]   infowars.com that is so incredibly critical that everyone get this live feed and
[00:03:54.880 --> 00:03:56.040]   share it with everyone you know.
[00:03:56.040 --> 00:03:59.600]   Red alert, UN funded migrant horde of violent criminals
[00:03:59.600 --> 00:04:04.880]   just broke through the US border.
[00:04:06.640 --> 00:04:09.960]   This is just unspeakable that this is going on.
[00:04:09.960 --> 00:04:13.200]   And it built up and it built up and it built up.
[00:04:13.200 --> 00:04:15.480]   And first they said, you've got a lot of men.
[00:04:15.480 --> 00:04:16.680]   They're nothing but children.
[00:04:16.680 --> 00:04:18.800]   No, they're almost all military age men, as you can see.
[00:04:18.800 --> 00:04:20.920]   They're watching on TV.
[00:04:20.920 --> 00:04:23.400]   And then they said, it doesn't exist.
[00:04:23.400 --> 00:04:24.240]   Trump's crazy.
[00:04:24.240 --> 00:04:25.760]   Alex Jones is crazy.
[00:04:25.760 --> 00:04:26.920]   Matt Drudge is crazy.
[00:04:26.920 --> 00:04:30.920]   This is truly next level.
[00:04:30.920 --> 00:04:35.680]   At this point, I am almost speechless because Trump's done everything he can,
[00:04:35.680 --> 00:04:39.640]   but under law, once these people get in here,
[00:04:39.640 --> 00:04:42.560]   they're then handed over to these traitor judges who let them stay.
[00:04:42.560 --> 00:04:45.720]   And that's why they know you get over that fence, you're in.
[00:04:45.720 --> 00:04:47.040]   Everything's free.
[00:04:47.040 --> 00:04:51.640]   Everything's taken care of until the country collapses like Venezuela.
[00:04:51.640 --> 00:04:54.760]   And they are breaking open all the borders of the planet and
[00:04:54.760 --> 00:04:57.560]   flooding the first world with the third world, but then they weaponize.
[00:04:57.560 --> 00:04:58.720]   America is under attack.
[00:04:58.720 --> 00:05:02.880]   >> Fueling your body is hard work.
[00:05:02.880 --> 00:05:07.400]   That's why we've introduced the InfoWars Life Daily Digestive Pack to help you
[00:05:07.400 --> 00:05:08.640]   fuel it right.
[00:05:08.640 --> 00:05:13.600]   Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and
[00:05:13.600 --> 00:05:17.080]   body and take advantage of the powerful nutrients you receive.
[00:05:17.080 --> 00:05:19.880]   There's no better way to power your body.
[00:05:19.880 --> 00:05:24.360]   FloraLife is a powerful probiotic supplement with 20 of the most potent
[00:05:24.360 --> 00:05:26.760]   clinically studied probiotic strains.
[00:05:26.760 --> 00:05:28.160]   When paired with Carnivore,
[00:05:28.160 --> 00:05:31.880]   our incredible enzyme formula that helps you break down nutrients,
[00:05:31.880 --> 00:05:36.000]   these formulas fuel your gut and your body to help you fight toxins and
[00:05:36.000 --> 00:05:37.880]   stay fueled all day.
[00:05:37.880 --> 00:05:42.080]   These incredible formulas can help keep your body in tip top shape in the fight
[00:05:42.080 --> 00:05:45.320]   against stress, age, and outside toxins.
[00:05:45.320 --> 00:05:48.040]   There's no better time to try FloraLife and
[00:05:48.040 --> 00:05:51.480]   Carnivore to see how well they can support your body.
[00:05:51.480 --> 00:05:55.280]   Don't miss out on the chance to fuel your body and support recovery.
[00:05:55.280 --> 00:05:58.640]   Try the InfoWars Life Daily Digestive Pack today.
[00:05:58.640 --> 00:06:05.640]   Waging war on corruption.
[00:06:05.640 --> 00:06:10.640]   It's Alex Jones coming to you live from the front lines of the InfoWars.
[00:06:11.640 --> 00:06:21.640]   [MUSIC]
[00:06:21.640 --> 00:06:39.040]   Ladies and gentlemen, we are live broadcasting worldwide.
[00:06:39.040 --> 00:06:44.480]   And this country is under military attack, economic attack,
[00:06:44.480 --> 00:06:46.400]   cultural attack, globalist attack.
[00:06:46.400 --> 00:06:49.560]   Our birthright of free speech is being annihilated.
[00:06:49.560 --> 00:06:56.080]   And as we speak, we have the live footage posted to InfoWars.com and
[00:06:56.080 --> 00:07:00.120]   NewsWars.com from the local TV affiliates.
[00:07:00.120 --> 00:07:03.960]   National News is saying, the Border Patrol's being mean and
[00:07:03.960 --> 00:07:08.000]   shooting at innocent migrants with tear gas.
[00:07:08.000 --> 00:07:11.960]   Even though they play the footage of people throwing rocks at the police,
[00:07:11.960 --> 00:07:14.960]   at the riot police, at the Border Patrol, at ICE.
[00:07:14.960 --> 00:07:22.400]   And their dramatic footage of the imaginary caravan that MSNBC and
[00:07:22.400 --> 00:07:26.840]   the Democratic Party and CNN said did not exist.
[00:07:26.840 --> 00:07:29.200]   They said Trump made it up.
[00:07:29.200 --> 00:07:33.760]   There is no migrant caravan that slammed into Mexico three and
[00:07:33.760 --> 00:07:35.480]   a half weeks ago.
[00:07:35.480 --> 00:07:37.320]   And that attacked police and even killed people.
[00:07:37.320 --> 00:07:41.960]   All that footage of those giant masses pouring through didn't happen.
[00:07:41.960 --> 00:07:45.280]   Let's roll for TV viewers some of the footage, and I'll describe it for
[00:07:45.280 --> 00:07:48.200]   radio listeners, of just 30 minutes ago.
[00:07:48.200 --> 00:07:51.000]   And it's ongoing, we've got live satellite feeds of this,
[00:07:51.000 --> 00:07:53.640]   of the people from the Mexico side, Tijuana.
[00:07:53.640 --> 00:08:01.320]   Running down the sand embankment and up and scaling the fence.
[00:08:01.320 --> 00:08:04.320]   And they're in to the United States.
[00:08:05.720 --> 00:08:10.760]   And this is ongoing, just like the footage you saw almost a month ago,
[00:08:10.760 --> 00:08:13.200]   in northern Guatemala and Honduras.
[00:08:13.200 --> 00:08:19.320]   As 50 plus thousand people in five different waves poured across.
[00:08:19.320 --> 00:08:22.000]   And let's slow that footage down if we can.
[00:08:22.000 --> 00:08:22.960]   What are they waving?
[00:08:22.960 --> 00:08:30.440]   Honduran flags, Venezuelan flags.
[00:08:31.640 --> 00:08:37.680]   Thousands of people pouring across and then scaling.
[00:08:37.680 --> 00:08:41.880]   I was watching CNN right before we went live and they said Trump's being mean to
[00:08:41.880 --> 00:08:44.560]   poor migrants, and they'd show some canned footage of a child.
[00:08:44.560 --> 00:08:49.080]   And then they would show people running up the embankments,
[00:08:49.080 --> 00:08:50.920]   climbing over and attacking police.
[00:08:50.920 --> 00:08:54.600]   But they would talk bad about the police saying that they had attacked them.
[00:08:54.600 --> 00:08:59.280]   This is the total spin, the total deception.
[00:08:59.280 --> 00:09:03.560]   It looks like something out of World War II with people storming beaches.
[00:09:03.560 --> 00:09:07.000]   And the same thing was started six years ago in Europe with the UN funding
[00:09:07.000 --> 00:09:09.520]   refugee centers in North Africa and the Middle East.
[00:09:09.520 --> 00:09:14.640]   Opening up migration routes through Syria into Turkey and
[00:09:14.640 --> 00:09:16.840]   then into Eastern Europe.
[00:09:16.840 --> 00:09:19.120]   Using Zodiac boats by the hundreds a day,
[00:09:19.120 --> 00:09:23.840]   bringing thousands of people in North Africa, paid for by US aid.
[00:09:23.840 --> 00:09:28.600]   Laundered through Soros' operations and shipped directly into Europe.
[00:09:28.600 --> 00:09:31.160]   And then they're used as political weapons.
[00:09:31.160 --> 00:09:36.120]   How incredible is it to see national news say,
[00:09:36.120 --> 00:09:40.440]   we've got to let the caravan in, they're all children.
[00:09:40.440 --> 00:09:44.800]   When they're 90 plus percent in Europe, it's 80% military age men coming in.
[00:09:44.800 --> 00:09:46.960]   And criminals, people waving foreign flags,
[00:09:46.960 --> 00:09:49.320]   they've been caught smuggling kidnapped children.
[00:09:49.320 --> 00:09:51.400]   And there's caravans showing up all the time.
[00:09:51.400 --> 00:09:57.600]   But these are huge caravans of tens of thousands, not hundreds.
[00:09:57.600 --> 00:10:02.480]   And they are publicly letting the world know that the border is open and
[00:10:02.480 --> 00:10:06.400]   that the UN can stage these staging grounds and bring these people up.
[00:10:06.400 --> 00:10:08.520]   And now, what do they always do?
[00:10:08.520 --> 00:10:10.520]   They hopscotch.
[00:10:10.520 --> 00:10:14.800]   Once they start off in one Middle Eastern country,
[00:10:14.800 --> 00:10:19.000]   they then send in a bunch of refugees there.
[00:10:19.000 --> 00:10:20.720]   That country can't handle it.
[00:10:20.720 --> 00:10:24.200]   The refugees mass on the border of the next country.
[00:10:24.200 --> 00:10:27.680]   The UN comes in, is brought into the nation that's already been invaded by
[00:10:27.680 --> 00:10:31.280]   the UN to handle the refugees, cuz that's their treaty.
[00:10:31.280 --> 00:10:32.880]   That's their supposed job.
[00:10:32.880 --> 00:10:36.120]   And then they exploit the people, train them,
[00:10:36.120 --> 00:10:39.240]   give them $1,000 debit cards for free.
[00:10:39.240 --> 00:10:43.160]   George Soros pays for it with US taxpayers' money, that's Reuters.
[00:10:43.160 --> 00:10:45.480]   And then they invade the next country.
[00:10:45.480 --> 00:10:48.000]   And then they mass in that country and rob and steal and
[00:10:48.000 --> 00:10:50.320]   crap in the street and sleep in the road.
[00:10:50.320 --> 00:10:53.560]   And so the UN then organizes the next refugee camp.
[00:10:53.560 --> 00:10:58.320]   And then you've gone all the way from Venezuela to San Diego in just one year.
[00:10:58.320 --> 00:11:05.520]   They started out a year ago at refugee camps in Venezuela, many of them.
[00:11:05.520 --> 00:11:06.840]   Then that collapsed.
[00:11:06.840 --> 00:11:12.160]   Then they move in to the next country, the next country.
[00:11:12.160 --> 00:11:16.160]   And now they're all the way up and they have breached.
[00:11:16.160 --> 00:11:22.640]   If you just tuned in, illegal alien horde has climbed the fences and
[00:11:22.640 --> 00:11:26.680]   has breached the United States and has made it over to the other side.
[00:11:26.680 --> 00:11:31.920]   They are making it into the United States,
[00:11:31.920 --> 00:11:34.640]   where they will then be loaded onto buses.
[00:11:34.640 --> 00:11:38.880]   And they will be taken to immigration and naturalization.
[00:11:38.880 --> 00:11:40.280]   They will overwhelm the system.
[00:11:40.280 --> 00:11:46.520]   The left will use taxpayer money with paid for lawyers to represent them.
[00:11:46.520 --> 00:11:48.760]   They will go into the first liberal judge,
[00:11:48.760 --> 00:11:50.720]   that's why they're invading California.
[00:11:51.720 --> 00:11:55.640]   And they will be released and on average, the wait for
[00:11:55.640 --> 00:12:01.000]   a deportation hearing is two plus years, some are as much as almost four.
[00:12:01.000 --> 00:12:06.640]   >> [LAUGH] >> So let's explain this right now.
[00:12:06.640 --> 00:12:09.880]   The UN and multinational corporations get US taxpayer money.
[00:12:09.880 --> 00:12:15.200]   They then implode nations like Venezuela and others.
[00:12:15.200 --> 00:12:18.640]   They then organize the worst of the worst, criminals, communists,
[00:12:18.640 --> 00:12:21.360]   socialists, bandits, human smugglers, you name it.
[00:12:21.360 --> 00:12:26.880]   And they begin setting up refugee centers as they move towards your nation.
[00:12:26.880 --> 00:12:32.840]   Then the vanguard hits, blows through your border defenses, breaks them down.
[00:12:32.840 --> 00:12:35.320]   That's broadcast worldwide.
[00:12:35.320 --> 00:12:40.400]   And then others show up at the refugee centers, set up thousands of miles south
[00:12:40.400 --> 00:12:45.520]   and begin to get their credit cards and their free food, and they are recruited.
[00:12:45.520 --> 00:12:47.600]   They are given debit cards.
[00:12:47.600 --> 00:12:48.480]   You can pull up Reuters.
[00:12:48.480 --> 00:12:51.080]   We sent this a couple months ago and the news said we were making it up.
[00:12:51.080 --> 00:12:54.000]   And we just pulled up from a year ago, Reuters,
[00:12:54.000 --> 00:12:58.280]   with George Soros bragging he gets US taxpayer money, billions.
[00:12:58.280 --> 00:13:01.160]   Through the State Department, they give it to Soros.
[00:13:01.160 --> 00:13:11.760]   He then pays per leg $1,000 with no name on the debit card, the cash card.
[00:13:11.760 --> 00:13:17.880]   $1,000 of US taxpayer money mainly.
[00:13:17.880 --> 00:13:19.720]   Others ship in as well.
[00:13:19.720 --> 00:13:21.520]   The Germans pay for it, all of them.
[00:13:21.520 --> 00:13:23.520]   That goes into the UN.
[00:13:23.520 --> 00:13:26.400]   It's given to these non-governmental organizations,
[00:13:26.400 --> 00:13:28.720]   these criminal military organizations.
[00:13:28.720 --> 00:13:32.040]   They then weaponize, brainwash the people, prepare them.
[00:13:32.040 --> 00:13:32.720]   They're smart.
[00:13:32.720 --> 00:13:35.040]   They don't give them $5,000, $10,000 to make the four or
[00:13:35.040 --> 00:13:37.680]   5,000 mile trek through seven, eight, nine countries.
[00:13:37.680 --> 00:13:42.600]   They say every leg you make it, you get a bag of food.
[00:13:42.600 --> 00:13:43.760]   You get any clothes you need.
[00:13:43.760 --> 00:13:45.960]   You can stay here a week, a month in the refugee center,
[00:13:47.000 --> 00:13:54.000]   the brainwashing center, and then you're given a $1,000 debit card.
[00:13:54.000 --> 00:13:57.360]   And that's why when they slammed into Tijuana three plus weeks ago,
[00:13:57.360 --> 00:14:02.080]   the mayor and others said we have jobs, we have a lot of factories here.
[00:14:02.080 --> 00:14:03.120]   They said we don't want those.
[00:14:03.120 --> 00:14:05.080]   We're here to conquer the US.
[00:14:05.080 --> 00:14:06.600]   Trump is Hitler.
[00:14:06.600 --> 00:14:09.400]   America sucks, but we're getting all the free crap.
[00:14:09.400 --> 00:14:12.200]   They are trained to hate the country and invade it.
[00:14:12.200 --> 00:14:15.360]   This is unbelievable.
[00:14:15.360 --> 00:14:18.600]   And we had our crew there weeks ago showing it, and
[00:14:18.600 --> 00:14:22.040]   the national news said it did not exist.
[00:14:22.040 --> 00:14:24.680]   That's how much they hate you.
[00:14:24.680 --> 00:14:26.960]   That's how stupid they think you are.
[00:14:26.960 --> 00:14:34.960]   So again, US border defenses have been breached as of November 25th,
[00:14:34.960 --> 00:14:41.880]   2018, as of about 1.30 Pacific time.
[00:14:41.880 --> 00:14:46.200]   330 Central, 230 Mountain, hundreds and hundreds and
[00:14:46.200 --> 00:14:50.600]   hundreds and hundreds of the tens of thousands now massing.
[00:14:50.600 --> 00:14:55.880]   Of all the different caravans converging on all militarily prepared,
[00:14:55.880 --> 00:15:00.120]   all coordinated, all given UN money from US taxpayers,
[00:15:00.120 --> 00:15:05.000]   all showing up with US aid bags to target one point on the border and
[00:15:05.000 --> 00:15:10.440]   overwhelm it, and they're gonna have little kids at the front of the PR,
[00:15:10.440 --> 00:15:14.840]   with the collaborator media taking photos, shooting video,
[00:15:14.840 --> 00:15:18.480]   saying it's all children here just wanting food.
[00:15:18.480 --> 00:15:19.880]   They're starving, and evil US forces have attacked them.
[00:15:19.880 --> 00:15:21.240]   The truth is they're throwing rocks.
[00:15:21.240 --> 00:15:22.680]   They're trying to stab people.
[00:15:22.680 --> 00:15:24.040]   They're physically attacking.
[00:15:24.040 --> 00:15:28.920]   They've now overrun US border defenses have been breached.
[00:15:28.920 --> 00:15:32.120]   And the collaborator media told you either they're all a bunch of innocent
[00:15:32.120 --> 00:15:35.560]   children, there's no men, or it doesn't exist.
[00:15:35.560 --> 00:15:37.680]   Exactly what an enemy military would do.
[00:15:37.680 --> 00:15:39.000]   This is not an assault.
[00:15:39.000 --> 00:15:39.960]   You're not under attack.
[00:15:39.960 --> 00:15:40.480]   Don't run.
[00:15:40.480 --> 00:15:41.480]   We are your friends.
[00:15:41.480 --> 00:15:42.840]   Lay down your arms.
[00:15:42.840 --> 00:15:44.200]   Resistance is futile.
[00:15:44.200 --> 00:15:47.320]   And this is just the beginning as Trump desperately tries to defend
[00:15:47.320 --> 00:15:49.800]   the sovereignty of our nation before we totally collapse.
[00:15:49.800 --> 00:15:53.120]   We've already got 35 million illegal aliens inside the country.
[00:15:53.120 --> 00:15:56.120]   And the globalist plan is the total collapse of the United States.
[00:15:56.120 --> 00:15:57.920]   Choose which side you're on, ladies and gentlemen.
[00:15:57.920 --> 00:16:02.920]   Please, whatever you do realize that we're all getting punched drunk to
[00:16:02.920 --> 00:16:03.680]   the censorship.
[00:16:03.680 --> 00:16:07.280]   And you saw 18 Twitter accounts, they say affiliated with InfoWars.
[00:16:07.280 --> 00:16:09.040]   Yeah, some of them are like little side accounts.
[00:16:09.040 --> 00:16:12.360]   They know we had like InfoWars store that just showed our products.
[00:16:12.360 --> 00:16:16.880]   They just banned them all yesterday in punishment that I be at a Trump rally and
[00:16:16.880 --> 00:16:19.080]   be mobbed by all these folks that loved us.
[00:16:19.080 --> 00:16:22.040]   Your excitement about America, your excitement about this broadcast is what
[00:16:22.040 --> 00:16:24.480]   brought the country and the world back from the brick.
[00:16:24.480 --> 00:16:28.400]   But the globalists now want to target where the resistance came from so
[00:16:28.400 --> 00:16:30.520]   that we're not pesky in the future.
[00:16:30.520 --> 00:16:33.560]   I want to be troublesome and pesky.
[00:16:33.560 --> 00:16:34.440]   I want to keep going.
[00:16:34.440 --> 00:16:38.480]   I want to make them do the ultimate, not just destroy us financially.
[00:16:38.480 --> 00:16:40.520]   I want to push all the way.
[00:16:40.520 --> 00:16:41.800]   I've committed to do that.
[00:16:41.800 --> 00:16:42.880]   I've prayed for that.
[00:16:42.880 --> 00:16:44.520]   And I've been told that's going to happen.
[00:16:44.520 --> 00:16:47.400]   But you've got to back us and I promise you this.
[00:16:47.400 --> 00:16:48.760]   I will never falter.
[00:16:48.760 --> 00:16:51.080]   I will never waver at the spiritual level.
[00:16:51.080 --> 00:16:52.040]   I physically will.
[00:16:52.040 --> 00:16:54.960]   But I give you my commitment if you financially support us,
[00:16:54.960 --> 00:16:59.240]   infowarsstore.com to give you my absolute total commitment.
[00:16:59.240 --> 00:17:01.800]   Monday through next Sunday,
[00:17:01.800 --> 00:17:06.760]   we are bringing back the biggest sales in our history.
[00:17:06.760 --> 00:17:11.040]   Black Friday Infowars store sale, free shipping and double Patriot points.
[00:17:11.040 --> 00:17:16.520]   Up to 50% off on storable food, super high quality, that is huge.
[00:17:16.520 --> 00:17:20.440]   All Infowars life supplements, 50% off.
[00:17:20.440 --> 00:17:25.320]   127 or 49% off Alexa Pure Pro,
[00:17:25.320 --> 00:17:29.280]   gravity fed filters, Alexa Pure Breeze, air filtration.
[00:17:29.280 --> 00:17:31.880]   Now at 40% off, that's right at loss leader.
[00:17:31.880 --> 00:17:33.040]   Again, to get rid of inventory.
[00:17:33.040 --> 00:17:35.280]   So take advantage of that, it's an amazing system.
[00:17:35.280 --> 00:17:37.720]   They're trying to shut down Infowars, they're trying to defund us.
[00:17:37.720 --> 00:17:40.400]   So I said, everything must go by the end of the year,
[00:17:40.400 --> 00:17:44.680]   so that we're at least have the cash to continue operating for a while.
[00:17:44.680 --> 00:17:49.800]   Infowarsstore.com, Infowarslife.com or 888-253-3139.
[00:17:49.800 --> 00:17:53.640]   Support the Infowar, get great products, get your Christmas shopping done early
[00:17:53.640 --> 00:17:56.160]   and battle the globalists, a total 360 win.
[00:17:56.160 --> 00:17:58.680]   Infowarsstore.com, I want to thank you all for your support.
[00:18:02.480 --> 00:18:06.840]   One of the most incredible cups of coffee can be found in the high mountains
[00:18:06.840 --> 00:18:10.200]   of southern Mexico, where the Chiapas farmers have spent years
[00:18:10.200 --> 00:18:12.000]   perfecting their techniques.
[00:18:12.000 --> 00:18:17.120]   Based on hundreds of years of traditional techniques and perfect conditions,
[00:18:17.120 --> 00:18:20.640]   we've sourced only the best to provide you with our immune support
[00:18:20.640 --> 00:18:23.400]   and wake up America, Patriot Blend coffee.
[00:18:23.400 --> 00:18:27.000]   Ancient Mayan knowledge is paired with the natural fertility of the land
[00:18:27.000 --> 00:18:29.360]   to generate the world's finest coffee beans.
[00:18:29.360 --> 00:18:33.480]   Carefully harvested and free of toxic chemicals used in big agricultural
[00:18:33.480 --> 00:18:38.840]   productions, Patriot Blend coffees have a smooth, bold flavor with great depth
[00:18:38.840 --> 00:18:40.920]   to give you just what you need in the morning.
[00:18:40.920 --> 00:18:44.520]   You can even choose to start your morning healthier with the immune support
[00:18:44.520 --> 00:18:49.040]   blend infused with a powerful blend to support your immune response and stamina.
[00:18:49.040 --> 00:18:51.560]   It's time to take care of your morning routine.
[00:18:51.560 --> 00:18:54.920]   Get a bag of Patriot Blend coffee to support the show while enhancing
[00:18:54.920 --> 00:18:57.560]   your morning routine at Infowarsstore.com.
[00:18:59.560 --> 00:19:02.360]   Infowars Life is launching its newest product.
[00:19:02.360 --> 00:19:04.360]   We're really, really proud of it.
[00:19:04.360 --> 00:19:08.240]   It's a best source prebiotic fiber.
[00:19:08.240 --> 00:19:13.640]   And it's got the very best concentrated fibers from berries and fruits
[00:19:13.640 --> 00:19:17.800]   and other compounds that have been known to be the very best for your body
[00:19:17.800 --> 00:19:19.840]   and for regularity and so much more.
[00:19:19.840 --> 00:19:24.040]   And it synergistically works with our 50 billion live active culture
[00:19:24.040 --> 00:19:28.040]   flora life as well as mycoZX that targets the yeast, the mold,
[00:19:28.040 --> 00:19:29.520]   and the funguses in the gut.
[00:19:29.520 --> 00:19:33.240]   So this is the time to take advantage of getting this new incredible fiber
[00:19:33.240 --> 00:19:35.320]   product and these other products.
[00:19:35.320 --> 00:19:38.520]   You get them separately or together and make really, really big savings
[00:19:38.520 --> 00:19:40.720]   and get high quality products at the same time.
[00:19:40.720 --> 00:19:42.960]   And I'm doing this to introduce these products to you.
[00:19:42.960 --> 00:19:46.200]   Bodies sold out in a month.
[00:19:46.200 --> 00:19:49.240]   Strongest concentrated turmeric formula we could come up with.
[00:19:49.240 --> 00:19:51.280]   It sold out for another month and a half.
[00:19:51.280 --> 00:19:54.520]   We sold it at 50% off till it sold out.
[00:19:54.520 --> 00:19:57.120]   And I think it's going to be the same way with this fiber.
[00:19:57.120 --> 00:20:00.120]   Get yours today in fullwarslife.com.
[00:20:00.120 --> 00:20:06.120]   You're listening to the Alex Jones Show.
[00:20:06.120 --> 00:20:09.120]   [MUSIC PLAYING]
[00:20:09.120 --> 00:20:26.600]   Live from the Infowars.com studios, it's Alex Jones.
[00:20:26.600 --> 00:20:35.600]   Ladies and gentlemen, I come to you with extremely grave news.
[00:20:35.600 --> 00:20:39.600]   The United States border has been completely overrun
[00:20:39.600 --> 00:20:46.400]   by paramilitary trained forces by the UN who are funded by US taxpayers.
[00:20:46.400 --> 00:20:50.600]   And the fate that Europe has seen, 15 million illegal aliens brought in
[00:20:50.600 --> 00:20:54.720]   by the UN in the last six years, is about to be duplicated here.
[00:20:54.720 --> 00:20:59.120]   The UN report itself says if they're successful breaking down
[00:20:59.120 --> 00:21:05.160]   the border with Central and South America, with the United States,
[00:21:05.160 --> 00:21:12.520]   that they plan to bring in 600 million people by 2050.
[00:21:12.520 --> 00:21:14.360]   I know that doesn't sound possible, does it,
[00:21:14.360 --> 00:21:20.480]   until you realize that by 2050, we're going to add 4 billion more people.
[00:21:20.480 --> 00:21:23.600]   Six plus billion are third world currently.
[00:21:23.600 --> 00:21:29.080]   600 million handpicked, brainwashed by leftist ideology,
[00:21:29.080 --> 00:21:32.600]   set up at UN camps in their collapsed third world countries,
[00:21:32.600 --> 00:21:35.040]   their communist countries like Venezuela,
[00:21:35.040 --> 00:21:41.640]   and then funded and marched up to the border to overrun border defenses
