[00:00:03.004 --> 00:00:04.945]  Big show.
[00:05:15.233 --> 00:05:16.554]  That's right, it's all in the article.
[00:05:16.554 --> 00:05:20.398]  Illinois EPA, pumpkins must be managed to protect human health by Kit Daniels.
[00:05:20.558 --> 00:05:26.780]  And in it, you can find a link to the actual nine-step process for local cities to collect pumpkins for composting.
[00:05:26.780 --> 00:05:27.761]  Here's step two.
[00:05:27.761 --> 00:05:34.683]  Pumpkins must not be accepted from other persons, including, but not limited to, owners and operators of rented or leased residences where pumpkins were used for decorative purposes.
[00:05:34.683 --> 00:05:38.325]  Commercial haulers and other commercial, industrial, agricultural, and government operations are entities.
[00:05:38.325 --> 00:05:39.605]  How are you going to figure that out?
[00:05:39.605 --> 00:05:40.265]  Step nine.
[00:05:40.265 --> 00:05:46.928]  The transfer and ultimate disposition of pumpkins received at the collection event must comply with the agency's approval, including all conditions contained in the approval.
[00:05:47.108 --> 00:05:49.230]  Do you have your TPS report cover sheet?
[00:05:49.230 --> 00:05:51.753]  Did you see the memo about this?
[00:05:51.753 --> 00:05:54.616]  If you don't, then you cannot compost pumpkins in Illinois!
[00:05:54.616 --> 00:05:55.437]  Okay.
[00:05:55.437 --> 00:05:58.580]  Rob Dury reporting for InfoWars.com and InfoWars Nightly News.
[00:05:58.580 --> 00:06:02.084]  When cells become toxic, they die early and aging sets in.
[00:06:02.084 --> 00:06:06.849]  No one has put together a formula that focuses directly on brain health, nerve growth factors,
[00:06:06.969 --> 00:06:07.329]  We're good.
[00:06:28.470 --> 00:06:29.591]  BrainForce is here.
[00:06:29.591 --> 00:06:31.791]  Ladies and gentlemen, I've been on this the last few months.
[00:06:31.791 --> 00:06:36.774]  You've probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[00:06:36.774 --> 00:06:38.474]  There's always hidden additives in your food.
[00:06:38.474 --> 00:06:40.075]  Even organic food has hidden additives.
[00:06:40.075 --> 00:06:43.557]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:06:43.557 --> 00:06:45.538]  Ultimately, we've all been dumbed down to some degree.
[00:06:45.538 --> 00:06:46.458]  It doesn't have stimulants.
[00:06:46.458 --> 00:06:47.658]  It doesn't have garbage in it.
[00:06:47.658 --> 00:06:49.639]  It has natural things that do it clean.
[00:06:49.639 --> 00:06:55.242]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:06:58.183 --> 00:06:58.763]  I want more candy!
[00:06:58.763 --> 00:07:00.084]  I want more video games!
[00:07:00.084 --> 00:07:00.625]  Why?
[00:07:00.625 --> 00:07:00.845]  Why?
[00:07:00.845 --> 00:07:01.005]  Why?
[00:07:28.103 --> 00:07:28.423]  I think so.
[00:08:10.177 --> 00:08:20.582]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:20.582 --> 00:08:25.364]  I tend to say this three or four times a week when the show starts, but it's true.
[00:08:25.364 --> 00:08:35.970]  The news just gets more intense, more revealing, more insane, more over-the-top, and then on the streets I see a mirror of the craziness.
[00:08:35.970 --> 00:08:38.271]  So it's not just media trying to be sensational,
[00:08:39.363 --> 00:08:50.546]  So many times there'll be incredible reports of just over-the-top stuff happening, but if it's what the establishment wants, they'll report it like it's a good thing.
[00:08:50.546 --> 00:08:56.508]  Child taken from parents because parents wouldn't let seven-year-old wear a dress.
[00:08:56.508 --> 00:08:57.568]  You know, stuff like that.
[00:08:57.568 --> 00:09:05.150]  Or, school gives children inoculations without parents' consent.
[00:09:05.150 --> 00:09:08.531]  Or, school watches children at home on their laptops.
[00:09:11.826 --> 00:09:15.187]  No one gets in trouble.
[00:09:15.187 --> 00:09:18.748]  And today, it is just completely over the top.
[00:09:18.748 --> 00:09:22.529]  There's a InfoWars.com story that's up on DrugsReport.com.
[00:09:22.529 --> 00:09:27.971]  Verizon begins scanning and censoring customer emails with political correctness.
[00:09:27.971 --> 00:09:39.494]  They read your emails with computers, NSA-style keyword, and then it won't let you send words that are politically incorrect or things it considers to be illegal.
[00:09:40.441 --> 00:09:50.043]  Now remember, this is the government systems interface with major phone company, controlling what you say and what you do.
[00:09:50.043 --> 00:10:06.946]  And remember, just last week, the Chinese government, Facebook and others came out and said they were looking at censoring your post in live time, not even letting you post it to be removed.
[00:10:08.095 --> 00:10:10.556]  Huge news, InfoWars.com.
[00:10:10.556 --> 00:10:13.297]  And it ties in with this Forbes article.
[00:10:13.297 --> 00:10:22.440]  Microsoft admits Windows 10 automatic spying cannot be stopped.
[00:10:22.440 --> 00:10:25.041]  And they just admit everything you do is being spied on.
[00:10:25.041 --> 00:10:25.881]  We're going to cover that.
[00:10:25.881 --> 00:10:28.122]  This is literally two articles
[00:10:29.278 --> 00:10:35.524]  Out of more than 150 stories I have, each one more insane than the next.
[00:10:35.524 --> 00:10:37.986]  Each one more revealing than the next.
[00:10:37.986 --> 00:10:40.188]  James O'Keefe is back with the Veritas Project.
[00:10:40.188 --> 00:10:42.691]  We're going to play this in just a few minutes.
[00:10:42.691 --> 00:10:54.102]  Not one, but two prestigious colleges caught saying, shred the Constitution, and acting like they found a 40-foot cobra in the school, and then actually shredding
[00:10:58.427 --> 00:11:00.028]  The document.
[00:11:00.028 --> 00:11:03.030]  We posted this yesterday on Infowars.com.
[00:11:03.030 --> 00:11:06.372]  World Net Daily's got their own article out today.
[00:11:06.372 --> 00:11:10.595]  College caught shredding Constitution in undercover video.
[00:11:10.595 --> 00:11:21.201]  And the reason O'Keefe did this is obviously all over the country, libertarian conservative groups try to hand out Constitutions, free ones, and they get arrested in many cases.
[00:11:21.201 --> 00:11:26.905]  And we have that famous video from squad car in Virginia from the year 2000 in my film Road to Tyranny.
[00:11:29.138 --> 00:11:42.549]  We put like six, seven minutes of it in the film, a three-hour film, for context, and there's a checkpoint, this woman with no criminal record, Navy veteran, they go, we want to search your car, and she goes, no, you can't do that without a warrant.
[00:11:42.549 --> 00:11:43.690]  I go, are you looking for a criminal?
[00:11:43.690 --> 00:11:46.513]  No, this is just a license check.
[00:11:46.513 --> 00:11:57.022]  So they take her out of the car, they go in the trunk, and they find a Patriot Games, a Steve Pachinick-slash-
[00:11:59.349 --> 00:12:02.731]  Tom Clancy movie.
[00:12:02.731 --> 00:12:09.236]  And the two state police start hyperventilating like they found a dead baby, a rotten baby.
[00:12:09.236 --> 00:12:11.217]  They did everything but throw up.
[00:12:11.217 --> 00:12:14.940]  And they go, we got a new Patriot, Patriot!
[00:12:14.940 --> 00:12:18.022]  And you're watching it and it's like Monty Python, but it's real.
[00:12:18.022 --> 00:12:22.846]  Then they find one of my videos.
[00:12:22.846 --> 00:12:25.107]  Police State 2000.
[00:12:25.107 --> 00:12:27.029]  Then they find a pocket constitution.
[00:12:28.837 --> 00:12:36.539]  And they start going, it's one of them, it's one of them, she's with an extremist group, is it like the Klan?
[00:12:36.539 --> 00:12:46.042]  And then the one in charge goes, that may be what she's talking about, her rights, she might be allowed to have that.
[00:12:46.042 --> 00:12:53.944]  I mean, whoa, these guys, in my view, probably had ADIQs, maybe, maybe.
[00:12:55.407 --> 00:13:01.052]  But they, and I'm serious, but they've been brought in and brainwashed to a level that was just insane.
[00:13:01.052 --> 00:13:07.497]  I mean, you show them a pocket constitution, it's like showing Count Dracula a giant silver cross at high noon.
[00:13:07.497 --> 00:13:11.640]  I mean, you're talking screaming with fear.
[00:13:11.640 --> 00:13:17.685]  And a normal person watches this and you're like, and then you see these videos all over the country.
[00:13:17.685 --> 00:13:20.968]  And again, it's progressive police who've been put through
[00:13:22.554 --> 00:13:24.235]  The Soviet-style brainwashing.
[00:13:24.235 --> 00:13:27.936]  Most police know what's going on on this subject and are not going along with it.
[00:13:27.936 --> 00:13:43.781]  Because for those that are already half-awake, being called into a meeting and having the Southern Poverty Law Center, ADL, badmouth the Founding Fathers and badmouth the Gadsden flag and badmouth gun ownership and badmouth veterans and Christians and evangelicals.
[00:13:43.781 --> 00:13:45.542]  We have all the training manuals.
[00:13:45.542 --> 00:13:46.922]  We're the ones that break most of them.
[00:13:46.922 --> 00:13:48.323]  We get sent them by law enforcement.
[00:13:49.397 --> 00:13:53.561]  By peace officers, and people didn't used to believe us when we get these documents.
[00:13:53.561 --> 00:13:56.244]  Now of course it's like, yeah, everybody knows that.
[00:13:56.244 --> 00:13:57.626]  And they sit there with a straight face.
[00:13:57.626 --> 00:14:05.253]  In fact, let me just cover this first before I get into all the other no's.
[00:14:05.253 --> 00:14:08.417]  College caught shredding Constitution in undercover video.
[00:14:09.494 --> 00:14:18.662]  James O'Keefe's latest undercover video shows professors at two prestigious private universities openly disparaging and in one case shredding the U.S.
[00:14:18.662 --> 00:14:20.044]  Constitution.
[00:14:20.044 --> 00:14:30.573]  Project Veritas O'Keefe undercover journalism unit sent a female journalist disguised as a student to Vassar College in New York and to Oberlin College in Oberlin, Ohio.
[00:14:31.394 --> 00:14:37.119]  She got comments and commitments from leadership at each to shred the Constitution.
[00:14:37.119 --> 00:14:43.183]  And in the case of Vassar, Project Veritas undercover camera actually captured the shredding.
[00:14:43.183 --> 00:14:52.431]  Kelly Grabb, Assistant Director of Equal Opportunity at Vassar College, was captured on video saying, yes, I think we have a shredder in the front office there.
[00:14:52.431 --> 00:14:53.992]  Do you want to do it with me?
[00:14:55.916 --> 00:14:57.116]  And the woman's very excited.
[00:14:57.116 --> 00:15:00.077]  This is a religious moment to desecrate it.
[00:15:00.077 --> 00:15:10.440]  The incident unfurls when the undercover TV journalist relates her personal story of being confronted on campus with someone handing out copies of the Constitution.
[00:15:10.440 --> 00:15:22.663]  Let's play about a minute and a half, the full unedited video of two different colleges foaming at the mouth like they again have seen... Well, I described it as a 14-foot cobra.
[00:15:23.353 --> 00:15:24.294]  40-foot cover.
[00:15:24.294 --> 00:15:39.552]  I mean, people act like a giant snake has come into their office and fanned open its head and fangs are out dripping with neurotoxin.
[00:15:39.552 --> 00:15:41.355]  This is mass mental illness.
[00:15:42.898 --> 00:15:45.000]  This is total breakdown of society.
[00:15:45.000 --> 00:15:46.702]  But remember, it's not an accident.
[00:15:46.702 --> 00:15:49.706]  Now the controlled left at the top wants to go, this is really screwy.
[00:15:49.706 --> 00:15:51.267]  This is weird political correctness.
[00:15:51.267 --> 00:15:53.009]  Gee, we're going to try to do something about it.
[00:15:53.009 --> 00:15:54.010]  Our plan is working perfectly.
[00:15:54.010 --> 00:15:56.713]  These people are total, total Soviets.
[00:15:56.713 --> 00:15:57.374]  Let's go to the clip.
[00:15:57.374 --> 00:15:58.916]  Here it is.
[00:15:58.916 --> 00:16:02.480]  They were handing the Constitution out on campus.
[00:16:07.615 --> 00:16:13.217]  I didn't think that this would happen, but I realized that the Constitution is kind of a trigger for me.
[00:16:13.217 --> 00:16:16.277]  Overall, I see it just as a really oppressive document.
[00:16:16.277 --> 00:16:21.239]  I mean, I don't, I'm like scared to walk around campus and see the Constitution.
[00:16:21.239 --> 00:16:21.559]  Um...
[00:16:38.962 --> 00:16:44.267]  Honestly, can we just like, is there like a shredder or something?
[00:16:44.267 --> 00:16:47.370]  I think it might be like really therapeutic to see that.
[00:16:47.370 --> 00:16:50.072]  I think we have a shredder in the front office there.
[00:16:50.072 --> 00:16:51.954]  Did you want to do it with me?
[00:16:51.954 --> 00:16:54.957]  Yeah, I could watch.
[00:16:54.957 --> 00:16:59.541]  The Constitution in everyday life causes people pain.
[00:16:59.541 --> 00:17:01.683]  Is there a shredder that I could use?
[00:17:01.683 --> 00:17:02.504]  A shredder?
[00:17:02.504 --> 00:17:02.724]  Yeah.
[00:17:15.942 --> 00:17:19.483]  And there she goes, she shreds the Constitution.
[00:17:19.483 --> 00:17:24.445]  Which obviously isn't perfect, but the Bill of Rights, Declaration of Independence are even better.
[00:17:24.445 --> 00:17:26.645]  And they're the best thing ever produced.
[00:17:26.645 --> 00:17:30.327]  Tyrants everywhere hate it, that's why they attack it constantly.
[00:17:30.327 --> 00:17:34.548]  Remember, read the Atlantic article, 28 pages, the coddling of the American mind.
[00:17:34.548 --> 00:17:40.610]  They admit that liberals, this is liberals, the top liberal publication probably in the country, after New Yorker or the New York Times.
[00:17:42.179 --> 00:17:52.502]  This is what the elitists read, admitting that their children and everyone they know are now denouncing them and are control freaks and basically have panic disorders when they see anything.
[00:17:52.502 --> 00:17:58.464]  Brown paper bags, complex words, any arguments.
[00:17:58.464 --> 00:18:01.185]  All they can do is just run around screaming in fear.
[00:18:01.185 --> 00:18:08.267]  And remember, conservative governors and legislatures in the South are banning the Confederate flag from state houses.
[00:18:08.267 --> 00:18:09.748]  They're removing the state flags.
[00:18:11.877 --> 00:18:24.868]  And they are pulling down statues, and they are arresting rednecks that drive around obnoxiously with rebel flags, and charging them with terrorism in Georgia.
[00:18:24.868 --> 00:18:29.191]  15 counts of terrorism for displaying the flag.
[00:18:29.191 --> 00:18:31.353]  With a straight face.
[00:18:31.353 --> 00:18:35.016]  Because a bunch of black people are at the park screaming, it's a threat, it's a threat!
[00:18:39.042 --> 00:19:02.667]  Now, meanwhile, we have a new video out of Salt Lake City the police say could be a hate crime and it's these drunk 20-somethings coming out of a Garth Brooks concert and a bunch of black guys come over to them with their little gangster white accomplices and start just beating them up because they have a rebel flag.
[00:19:04.927 --> 00:19:11.851]  And A, the only people wimpier than these white guys, the only people wimpier than these black guys are the white guys.
[00:19:11.851 --> 00:19:16.374]  I mean, you talk about pathetic, you talk about wimpy punches and bad kicks.
[00:19:16.374 --> 00:19:20.636]  I mean, I don't want to get in fights, but I almost dream of guys like this starting to fight with me.
[00:19:20.636 --> 00:19:27.921]  I mean, it would just be, I mean, it would be within 30 seconds they'd be crawling for their lives.
[00:19:27.921 --> 00:19:29.882]  And I mean crawling for their lives.
[00:19:30.999 --> 00:19:37.221]  I mean, it is just unbelievable to see how wimpy men are today.
[00:19:37.221 --> 00:19:41.163]  And, I mean, the white guys are just the most pathetic wimps I've ever seen.
[00:19:41.163 --> 00:19:44.644]  The black guys are like 2% less wimpy.
[00:19:44.644 --> 00:19:47.965]  I mean, this is truly pathetic.
[00:19:47.965 --> 00:19:53.147]  If that had been me, your head would have been ground to that concrete so fast, your brains would have been all over the pavement.
[00:19:53.147 --> 00:19:55.868]  You'd be lucky if you weren't on a respirator for the rest of your life.
[00:19:55.868 --> 00:19:56.469]  We'll be right back.
[00:19:56.469 --> 00:19:56.909]  Stay with us.
[00:20:01.448 --> 00:20:06.089]  Earthquake, floods, winter storms, prolonged power outages, or war.
[00:20:06.089 --> 00:20:10.370]  Each of us have had that moment when we recognize that we need to be better prepared.
[00:20:10.370 --> 00:20:11.751]  We typically do the same thing.
[00:20:11.751 --> 00:20:14.792]  We start with food storage, then we address the need for water.
[00:20:14.792 --> 00:20:16.992]  But have you considered heat storage?
[00:20:16.992 --> 00:20:19.213]  I'm talking about staying warm in the cold.
[00:20:19.213 --> 00:20:21.494]  Here are some things for you to consider.
[00:20:21.494 --> 00:20:23.134]  How will I keep my family warm?
[00:20:23.134 --> 00:20:25.615]  The standard answers are firewood, coal, or propane.
[00:20:25.615 --> 00:20:29.676]  But the problem with that, if you need to be on the move, is you can't take it with you.
[00:20:30.518 --> 00:20:31.619]  Another concern?
[00:20:31.619 --> 00:20:35.601]  There may come a time when you need to stay warm without smoke, like in times of war.
[00:20:35.601 --> 00:20:38.182]  There may even come a time when you can't burn fuel.
[00:20:38.182 --> 00:20:42.165]  The answers may be simpler and less costly than you think.
[00:20:42.165 --> 00:20:44.966]  For these answers, go to FortressClothing.com.
[00:20:44.966 --> 00:20:49.629]  Again, FortressClothing.com has the answers to your heat storage dilemma.
[00:20:49.629 --> 00:20:51.630]  Don't get stuck in the cold.
[00:20:51.630 --> 00:20:53.271]  FortressClothing.com.
[00:20:53.271 --> 00:20:54.612]  You'll never be cold again.
[00:20:58.699 --> 00:21:11.567]  Atmospheric aluminum, mercury exposure, estrogen toxins from plastics, microwaves from cell phones and smart meters, and low-quality foods, all combined to create conditions for the very high incidence of disease in our society.
[00:21:11.567 --> 00:21:20.072]  Now more than ever, we all need to be consuming those foods and herbs that epigenetically signal the cells of our body to produce energy, create proteins, and detoxify.
[00:21:20.072 --> 00:21:25.656]  When we properly support our bodies, then even in these toxic times, we can promote and achieve excellent health.
[00:21:26.076 --> 00:21:32.021]  One World Way is the first energetically encoded whey protein food derived from Amish pastured cows on the U.S.
[00:21:32.021 --> 00:21:32.601]  market.
[00:21:32.601 --> 00:21:36.144]  After three and a half years, we've heard miracles occur for so many people.
[00:21:36.144 --> 00:21:44.411]  One World Way has a track record of promoting detoxification, improvement in elimination, and improvements in energy, skin quality, and elimination of inflammation.
[00:21:44.451 --> 00:21:44.931]  I think so.
[00:21:58.297 --> 00:22:01.621]  My name is Bill Bonner, and I have an important message.
[00:22:01.621 --> 00:22:07.107]  Right now, the highest levels of government are struggling against an inevitable crisis.
[00:22:07.107 --> 00:22:09.390]  But they're about to lose control.
[00:22:09.390 --> 00:22:14.716]  When this happens, it will rip our country apart in ways you never imagined.
[00:22:14.716 --> 00:22:19.161]  From where we shop, to the doctors you visit, and the family you want to protect.
[00:22:19.281 --> 00:22:21.682]  Look, I've made predictions like this before.
[00:22:21.682 --> 00:22:25.525]  A few years ago, I warned that the housing prices would collapse.
[00:22:25.525 --> 00:22:30.048]  Before that, I warned that dot-com companies would crash, and they did.
[00:22:30.048 --> 00:22:33.169]  Those who listened had a chance to save themselves.
[00:22:33.169 --> 00:22:35.751]  But this has nothing to do with the stock market.
[00:22:35.751 --> 00:22:37.092]  This will affect us all.
[00:22:37.592 --> 00:22:42.336]  I've posted a free video at DollarDanger.com.
[00:22:42.336 --> 00:22:48.720]  Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[00:22:48.720 --> 00:22:54.845]  You can watch the video for free right now by going to DollarDanger.com.
[00:22:54.845 --> 00:22:56.826]  Again, that's DollarDanger.com.
[00:22:58.047 --> 00:23:06.150]  There are hundreds of silver products on the market today, but there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[00:23:06.150 --> 00:23:12.032]  Boost your immune system at a great price with our Silver Solution liquid, starting at $12.95 a bottle.
[00:23:12.032 --> 00:23:14.913]  Now available in regular and extra strength.
[00:23:14.913 --> 00:23:17.354]  That's half the price of the leading competitors.
[00:23:17.354 --> 00:23:23.155]  Call 844-USE-SILVER for your free catalog, or go to onesilversolution.com.
[00:23:23.155 --> 00:23:25.076]  Onesilversolution.com.
[00:23:25.076 --> 00:23:27.297]  There is only one silver solution.
[00:23:27.965 --> 00:23:32.866]  A revolution in body protection has arrived, only at FortressSurvivalLLC.com.
[00:23:32.866 --> 00:23:36.807]  Introducing the revolutionary, patented Level 3 Bulletproof Vest.
[00:23:36.807 --> 00:23:39.067]  100% Kevlar, 100% American made.
[00:23:39.067 --> 00:23:42.307]  Concealable, fully adjustable, and the lowest price on the market.
[00:23:42.307 --> 00:23:44.848]  Adult size, normally $289.99, now just $250.
[00:23:44.848 --> 00:23:47.928]  Kid size, normally $239.99, now just $200.
[00:23:47.928 --> 00:23:53.309]  Get affordable protection with a Level 3A Bulletproof Vest from FortressSurvivalLLC.com.
[00:23:53.309 --> 00:23:55.490]  For thou art my rock and my fortress.
[00:23:55.490 --> 00:23:55.830]  Psalm 313.
[00:24:01.786 --> 00:24:06.988]  So, College Class Reading Constitution Undercover Video.
[00:24:27.248 --> 00:24:29.270]  Even World Net Daily's headline isn't strong enough.
[00:24:29.270 --> 00:24:29.990]  Neither was ours.
[00:24:29.990 --> 00:24:35.894]  It's actually two colleges shred Constitution.
[00:24:35.894 --> 00:24:43.179]  They only catch it on video on one, but the college admits they did shred the Constitution at the other.
[00:24:43.179 --> 00:24:47.823]  Meanwhile, we've got mixed news on the whole tranny mania.
[00:24:49.127 --> 00:24:51.148]  Houston bathroom bill.
[00:24:51.148 --> 00:24:58.012]  Voters reject LGBT ordinance that men can go into women's bathrooms and that men can go into theirs.
[00:24:58.012 --> 00:25:02.794]  You have to build special bathrooms and all the rest of this.
[00:25:02.794 --> 00:25:09.958]  And you'll walk into a place to get your hair cut now and they'll be like, sorry we don't have transgender bathrooms yet but we will.
[00:25:10.754 --> 00:25:15.716]  And it's just like, it's like, hey, you know, there's a lot of stuff going on in the galaxy.
[00:25:15.716 --> 00:25:20.357]  NASA just came out with top physicists and said they believe that there are other parallel universes.
[00:25:20.357 --> 00:25:28.500]  You know, there are some other, it's just there are other things other than trannies, other than men in dresses.
[00:25:28.500 --> 00:25:38.244]  But Illinois District violated transgender students' right, says boys who think they're girls can go in the girls' locker rooms when they're changing clothes and take their clothes off with them.
[00:25:39.773 --> 00:25:41.274]  That's the New York Times.
[00:25:41.274 --> 00:25:43.636]  See, because they can get away with that, they can get away with anything.
[00:25:43.636 --> 00:25:45.758]  It's the collapse of civilization.
[00:25:45.758 --> 00:25:47.520]  It's the destruction of the family.
[00:25:47.520 --> 00:25:50.102]  It has nothing to do with somebody's sexual preference.
[00:25:50.102 --> 00:25:58.870]  It is about messing with everyone and making everyone adopt this particular lifestyle and prominent
[00:26:00.874 --> 00:26:14.317]  Feminist, lesbian, Camille Paglia, who's been writing for decades about the collapse of civilization and just the facts of life, that when you see massive attacks on men, massive attacks on family, it will be the collapse of civilization.
[00:26:14.317 --> 00:26:16.337]  But this is by design.
[00:26:16.337 --> 00:26:24.899]  Powerful article, CNS News reported on her article, Paglia, transgender mania is a symptom of the West's cultural collapse.
[00:26:24.899 --> 00:26:29.720]  Well, so is saying Germans can't drink beer at Oktoberfest because it offends the Muslims.
[00:26:31.531 --> 00:26:32.172]  I'm open.
[00:26:32.172 --> 00:26:33.515]  I'm not against Muslims.
[00:26:33.515 --> 00:26:38.324]  I want them to be able to have their life, as long as they don't infringe on mine.
[00:26:38.324 --> 00:26:43.172]  And a lot of Muslims don't want to infringe on our lifestyles, whatever they may be, conservative, liberal, libertarian.
[00:26:44.721 --> 00:26:49.464]  But they're being bullied and controlled by radical Islam that is becoming the dominant Islam.
[00:26:49.464 --> 00:26:53.926]  And there have been periods when Islam was totally about the sword, and periods when it wasn't.
[00:26:53.926 --> 00:26:56.107]  It's a very diverse history.
[00:26:56.107 --> 00:27:01.350]  But it was born out of the sword, and the Quran says it's about the sword.
[00:27:01.350 --> 00:27:03.852]  And the people try to deny this with political correctness.
[00:27:05.694 --> 00:27:06.495]  Paglia!
[00:27:06.495 --> 00:27:10.097]  Transgender mania is a symptom of the West's cultural collapse.
[00:27:10.097 --> 00:27:19.785]  Nothing better defines the decadence of the West to the jihadists than our toleration of open homosexuality and transgender mania now.
[00:27:20.657 --> 00:27:23.940]  Play that clip.
[00:27:23.940 --> 00:27:32.066]  Sex reassignment surgery, even today, with all of its advances, cannot, in fact, change anyone's sex.
[00:27:32.066 --> 00:27:38.491]  You can define yourself as a trans man or a trans woman as one of these new gradations along the scale.
[00:27:38.491 --> 00:27:45.136]  But ultimately, every single cell in the human body, the DNA in that cell remains coded for your biological birth.
[00:27:45.416 --> 00:27:51.960]  So there are a lot of lies being propagated at the present moment, which I think is not in anyone's best interest.
[00:27:51.960 --> 00:28:00.585]  What I'm concerned about is the popularity and the availability of sex reassignment surgery.
[00:28:00.585 --> 00:28:08.850]  So it's someone who doesn't feel that he or she belongs to the biological birth in gender.
[00:28:09.711 --> 00:28:12.314]  People are being encouraged to intervene in the process.
[00:28:12.314 --> 00:28:18.681]  Parents are now encouraged to subject the child to procedures that I think are a form of child abuse.
[00:28:18.681 --> 00:28:20.723]  Either the hormones to slow puberty.
[00:28:24.808 --> 00:28:27.069]  ...surgical manipulations, etc.
[00:28:27.069 --> 00:28:34.555]  I think that this is wrong, that people should wait until they're of an informed age of consent.
[00:28:34.555 --> 00:28:37.357]  Parents should not be doing this to their children.
[00:28:37.357 --> 00:28:43.222]  And I think that even in the teenage years, it's too soon to be making this leap.
[00:28:43.222 --> 00:28:45.824]  People change, people grow, and people adapt.
