[00:00:00.564 --> 00:00:01.257]  Say Alex Jones!
[00:05:30.309 --> 00:05:33.011]  Made right here in Central Texas.
[00:05:33.011 --> 00:05:36.655]  Our private label name is Rebel Zen.
[00:05:36.655 --> 00:05:42.240]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[00:05:42.240 --> 00:05:45.063]  It's based right here in Texas and we're giving it to you at 30% off.
[00:05:45.063 --> 00:05:46.184]  And here's what's even crazier.
[00:05:47.345 --> 00:05:48.826]  30% off of what they're selling it for.
[00:05:48.826 --> 00:05:52.089]  They're selling theirs for 30% off of what their competitors are.
[00:05:52.089 --> 00:05:56.454]  So this is the highest rated, already at the lowest price, now even a lower price.
[00:05:56.454 --> 00:05:57.234]  Rebels In.
[00:05:57.234 --> 00:05:59.597]  Get yours at InfoWareStore.com now!
[00:06:05.020 --> 00:06:13.022]  The year is 1995, and InfoWars launches the last of America's counter-globalist probes.
[00:06:13.022 --> 00:06:27.565]  In a freak mishap, InfoWars.com and Alex Jones are blown out of their trajectory into an orbit which freezes his life support systems, and returns Alex Jones to Earth 25 years later.
[00:06:27.565 --> 00:06:31.046]  Transdimensionally, over the space-time continuum, through full space.
[00:06:31.366 --> 00:06:35.708]  Where people are extremely lazy, the social engineers are there laughing.
[00:06:35.708 --> 00:06:40.510]  What we envisioned 100 years ago, 20 years ago, is now reality.
[00:06:40.510 --> 00:06:56.816]  While the society unravels, men run around totally frantic, not knowing how to be men, and women run around frantic, not knowing how to be women, and they don't understand that it's an animating contest of life, and that it's fulfilling to be informed, it's fulfilling to be involved, it's fulfilling.
[00:06:56.816 --> 00:06:57.916]  InfoWars.
[00:06:57.916 --> 00:06:59.097]  Tomorrow's News.
[00:06:59.097 --> 00:06:59.417]  Today.
[00:07:00.197 --> 00:07:11.746]  We interrupt this broadcast with a special report from the front lines of the Info War.
[00:07:11.746 --> 00:07:17.310]  Attempts have been made to neutralize the Info Warrior known as Alex Jones.
[00:07:17.310 --> 00:07:25.317]  Countless attacks have been witnessed and reported in an effort to bring him down.
[00:07:25.317 --> 00:07:29.100]  Alex Jones has been sighted on the battlefield fighting against the forces of evil.
[00:07:39.727 --> 00:07:45.670]  We're receiving reports that Alex Jones has broken through the front lines and is now heading toward the broadcast studio.
[00:07:45.670 --> 00:07:48.132]  All efforts to silence him have failed.
[00:07:48.132 --> 00:07:52.294]  Emerging victorious against the New World Order, here's your host, Alex Jones.
[00:07:52.294 --> 00:07:56.817]  Find the InfoWars transmission at InfoWars.com forward slash show.
[00:07:56.817 --> 00:07:59.959]  If you're receiving this transmission, you are the resistance.
[00:08:04.770 --> 00:08:07.432]  It's Wednesday, August 9th, 2023.
[00:08:07.432 --> 00:08:11.736]  I'm coming to you from Debenharta, Texas, Austin, from the Infowars News Center.
[00:08:11.736 --> 00:08:15.519]  We have an incredible transmission lined up today.
[00:08:15.519 --> 00:08:20.543]  The firebrand exposing the COVID emergency and hoax.
[00:08:20.543 --> 00:08:24.446]  Chris Skye in studio, third hour, hosting fourth hour.
[00:08:24.446 --> 00:08:27.028]  I'll be here for at least three hours.
[00:08:27.028 --> 00:08:32.792]  We're going to open the phones up today and cover the waterfront of news.
[00:08:32.792 --> 00:08:33.153]  All right.
[00:08:36.451 --> 00:08:37.492]  Where should we begin?
[00:08:37.492 --> 00:08:41.714]  Where should we start?
[00:08:41.714 --> 00:08:43.115]  Maybe first with this shirt.
[00:08:43.115 --> 00:08:46.796]  I got given a couple years ago, and I was too fat to wear it then.
[00:08:46.796 --> 00:08:50.098]  I've lost about 25 pounds, still a little too big, but I'm able to wear it.
[00:08:50.098 --> 00:08:53.600]  I wonder what message this shirt sends to the establishment.
[00:08:53.600 --> 00:08:57.722]  I wonder who gave me this shirt.
[00:08:57.722 --> 00:09:00.884]  I wonder who gave me this shirt in the New York Police Department.
[00:09:02.213 --> 00:09:03.334]  And they told me, you know, go ahead and wear it.
[00:09:03.334 --> 00:09:03.774]  We don't care.
[00:09:03.774 --> 00:09:06.496]  We want them to know that we're not with the system.
[00:09:06.496 --> 00:09:14.700]  Very high ranking individual gave me the New York SWAT team shirt and just a little message to the New World Order.
[00:09:14.700 --> 00:09:15.961]  We're just going to leave it at that.
[00:09:15.961 --> 00:09:20.023]  That you don't control the people you think control the American people.
[00:09:20.023 --> 00:09:20.804]  We're not criminals.
[00:09:20.804 --> 00:09:21.965]  We're trying to save the country.
[00:09:23.007 --> 00:09:24.988]  And most of the military and police know that.
[00:09:24.988 --> 00:09:26.629]  They're not our saviors.
[00:09:26.629 --> 00:09:27.450]  I'm not their savior.
[00:09:27.450 --> 00:09:31.192]  But together, with God working through us, we can save ourselves.
[00:09:31.192 --> 00:09:32.033]  Working together.
[00:09:32.033 --> 00:09:35.535]  Black, white, Hispanic, old, young, Asian, gay, straight.
[00:09:35.535 --> 00:09:38.777]  As long as you don't target children, we are all on the same team at the end of the day.
[00:09:38.777 --> 00:09:41.979]  But I gotta tell you, the devil's very real, and I would get close to God, folks.
[00:09:41.979 --> 00:09:44.741]  I'm not judging people, I'm just saying.
[00:09:44.741 --> 00:09:51.765]  Alright, I was sitting here, looking at all this incredible news we're gonna cover, and I was thinking, what's the most important thing I can say when I start the show?
[00:09:53.562 --> 00:10:02.369]  And it's this.
[00:10:02.369 --> 00:10:07.432]  We are veterans, all of us now, of biological warfare attack.
[00:10:07.432 --> 00:10:09.834]  We are veterans of psychological warfare attack.
[00:10:09.834 --> 00:10:12.636]  Pentagon admits it.
[00:10:12.636 --> 00:10:19.582]  We are veterans of radiological and electromagnetic attacks with the 5G and the rest of the spectrum.
[00:10:20.509 --> 00:10:24.331]  We are really victims of this, but we're going to be overcomers.
[00:10:24.331 --> 00:10:27.352]  But if you're under attack and don't know it, you're going to lose the war.
[00:10:27.352 --> 00:10:27.932]  What does G.I.
[00:10:27.932 --> 00:10:28.532]  Joe say?
[00:10:28.532 --> 00:10:30.833]  Knowing is half the battle.
[00:10:30.833 --> 00:10:46.440]  So we're under attack with the open borders, and the human smuggling, and the fentanyl, and the devaluation of the dollar, and the attack on the family, and the attack on children, sterilizing them, and 20 plus percent of the public on serotonin reuptake inhibitor, antipsychotics, and antidepressants eating people's brains and livers.
[00:10:48.168 --> 00:10:54.052]  We are under total, absolute assault.
[00:10:54.052 --> 00:10:56.414]  And it doesn't matter who you are.
[00:10:56.414 --> 00:11:07.341]  You could be a police officer, you could be a school teacher, you could be a trash collector, you could be a politician, you could be a musician, you could be a nurse.
[00:11:07.341 --> 00:11:15.907]  The New World Order is coming after you, and you can pretend it's not when your son has a heart attack and can't ever play basketball again, Bronny James.
[00:11:16.852 --> 00:11:19.634]  And that college made them take it.
[00:11:19.634 --> 00:11:21.955]  You can pretend this isn't affecting you.
[00:11:21.955 --> 00:11:26.037]  You can pretend the exploding crime and the inflation isn't affecting you.
[00:11:26.037 --> 00:11:28.639]  You can pretend the war in Ukraine isn't affecting you.
[00:11:28.639 --> 00:11:29.059]  But it is.
[00:11:29.059 --> 00:11:37.524]  You can pretend the hundreds of millions that are on the verge of starvation, more than 65 million extra that have starved to death, the UN estimates, and they ran the program to do it.
[00:11:38.715 --> 00:11:41.697]  The last three and a half years with the lockdowns and the rest of it.
[00:11:41.697 --> 00:11:45.179]  But that collapse of the third world will then be used to flood the first world.
[00:11:45.179 --> 00:11:48.260]  We've got a lot of news on that front.
[00:11:48.260 --> 00:11:51.042]  So you can pretend that you're not under attack.
[00:11:51.042 --> 00:11:52.643]  You can pretend everything's fine.
[00:11:52.643 --> 00:11:56.725]  You can pretend that the only universe that exists is Netflix.
[00:11:56.725 --> 00:12:01.428]  But at the end of the day, you will be impoverished if you're lucky and killed in most cases.
[00:12:02.421 --> 00:12:15.688]  And you can play along with the system and think if you submit to their global social score and their ESG's and their cashless society that you're somehow opting in so you'll be passed over by the system you'll be left alone.
[00:12:15.688 --> 00:12:24.332]  When it's you historically that lower the drawbridge to tyranny that the tyrants will eat first.
[00:12:24.332 --> 00:12:28.335]  And here's a great example of the war against humanity right here in front of me.
[00:12:28.335 --> 00:12:28.975]  Rand Paul
[00:12:30.928 --> 00:12:35.469]  Escalates fraud criminal referral.
[00:12:35.469 --> 00:12:39.711]  It's an Infowars.com article and it's got his official letter and him on TV talking about it.
[00:12:39.711 --> 00:12:52.515]  And it's a good headline, but I would have just said, Justice Department stonewall Senator Paul's call for criminal charges against Fauci.
[00:12:52.515 --> 00:12:56.796]  Fauci ran conferences called in support of gain of function, close quote.
[00:12:58.325 --> 00:13:00.846]  He's in the emails telling the top scientists in the U.S.
[00:13:00.846 --> 00:13:05.468]  and Europe, let's cover this up and tell them it didn't come out of the lab and cover up that we made it.
[00:13:05.468 --> 00:13:11.630]  He's on record producing the vaccine before they even released it, the so-called vaccine.
[00:13:11.630 --> 00:13:22.894]  He's on record then lying to Congress and saying that they don't even know what gain-of-function is and that Senator Paul is wrong and that it's not happening.
[00:13:22.894 --> 00:13:24.255]  He's caught dead to rights, not
[00:13:25.091 --> 00:13:28.893]  Lying like they said Roger Stone did in Congress, which he didn't.
[00:13:28.893 --> 00:13:33.155]  Saying he'd never talked to Julian Assange, which he hadn't.
[00:13:33.155 --> 00:13:34.636]  Julian Assange was all over TV then.
[00:13:34.636 --> 00:13:35.736]  We were trying to get him.
[00:13:35.736 --> 00:13:36.777]  I tried to get Roger to get him.
[00:13:36.777 --> 00:13:41.279]  He said, well, I talked to this guy, Credico, that knows he maybe he'll come on.
[00:13:41.279 --> 00:13:44.401]  Prison sentence for that.
[00:13:44.401 --> 00:13:45.661]  Saying he lied to Congress.
[00:13:45.661 --> 00:13:49.243]  He was in contact with him with no email, no witnesses, nothing.
[00:13:49.243 --> 00:13:50.764]  Assange said, I never talked to Roger Stone.
[00:13:52.364 --> 00:13:59.286]  How does it affect us if Roger did lie to Congress about that, which I can tell you, dead to rights, I was there, he didn't.
[00:13:59.286 --> 00:14:00.026]  Where's the crime?
[00:14:00.026 --> 00:14:00.867]  Where's the victim?
[00:14:00.867 --> 00:14:02.467]  Where's the person that's hurt?
[00:14:02.467 --> 00:14:14.911]  But in the case of Joe Biden and Obama and the globalists and all the things they've done to this country, just the human smuggling alone that they've authorized and green-lit, it's just staggering.
[00:14:14.911 --> 00:14:16.211]  And what have they done since then?
[00:14:16.211 --> 00:14:21.813]  Well, Obama, that's who runs the administration, the third administration of Obama, the placeholder is Biden,
[00:14:23.188 --> 00:14:29.491]  Didn't just continue the funding to the EcoHealth Alliance and the Wuhan Lab in Wuhan, China.
[00:14:29.491 --> 00:14:33.552]  He increased the funding.
[00:14:33.552 --> 00:14:49.999]  So, he's continuing the illegal research that was moved in 2015 when it became a big national issue, because scientists went public all over the news then, that Fauci was weaponizing SARS into COVID viruses, and that it was completely illegal.
[00:14:53.396 --> 00:14:59.038]  And then he gets up before Congress and says he knows nothing about it.
[00:14:59.038 --> 00:15:02.460]  Zero, zero, zero, zero.
[00:15:02.460 --> 00:15:18.206]  When he is on C-SPAN in 2017, 18, and 19, we played the clips at nauseam, saying, we're creating gain of function, there'll be a new virus out of China we use to blow up, that's a quote.
[00:15:18.206 --> 00:15:22.348]  The global regulatory systems based on our FDA, including here,
[00:15:23.342 --> 00:15:28.467]  Where it takes years to approve a drug or vaccine.
[00:15:28.467 --> 00:15:36.675]  So the big story here is, they're making more bioweapons, they're making bioweapons in Ukraine, they now admit they are.
[00:15:36.675 --> 00:15:46.785]  And the Justice Department won't even respond to Senator Paul, because they're a captured group at the top of complete criminals, endangering all of our lives, including their own lives.
[00:15:47.870 --> 00:15:54.295]  Again, morons, crazy people, no common sense, a bunch of yes-men and women, a plague on our country.
[00:15:54.295 --> 00:15:57.798]  They've made themselves the enemy of humanity and of themselves!
[00:15:57.798 --> 00:15:59.779]  No self-preservation.
[00:15:59.779 --> 00:16:16.372]  I beg you to think about how important your word of mouth is and you sharing the articles and sharing the videos and telling people, get the forbidden truth you're not supposed to find at InfoWars.com forward slash show and getting products at InfoWarsStore.com.
[00:16:16.812 --> 00:16:19.974]  We've got three amazing products in stock, ready to ship.
[00:16:19.974 --> 00:16:21.254]  Sold out for almost six months.
[00:16:21.254 --> 00:16:22.515]  Vitamin Mineral Fusion.
[00:16:22.515 --> 00:16:23.235]  So incredible.
[00:16:23.235 --> 00:16:24.516]  So good for your whole body.
[00:16:24.516 --> 00:16:29.479]  A one-stop shop for everything you need for vitamins, minerals, and key amino acids for your immune system and more.
[00:16:29.479 --> 00:16:30.779]  Back in stock.
[00:16:30.779 --> 00:16:31.280]  Discounted.
[00:16:31.960 --> 00:16:35.761]  Silver Bullet, 30 parts per million from the top lab in the country, probably by us.
[00:16:35.761 --> 00:16:37.842]  Discount at InfoWarStore.com.
[00:16:37.842 --> 00:16:40.723]  Nitric Boost to clean out your blood and make you healthier.
[00:16:40.723 --> 00:16:41.683]  It's in stock.
[00:16:41.683 --> 00:16:42.824]  Rave reviews.
[00:16:42.824 --> 00:16:44.344]  Top doctors say it's amazing.
[00:16:44.344 --> 00:16:46.565]  InfoWarStore.com.
[00:16:46.565 --> 00:16:47.866]  And that keeps us on air.
[00:16:47.866 --> 00:16:49.706]  Thank you so much for your support.
[00:16:49.706 --> 00:16:50.387]  Spread the word.
[00:16:50.387 --> 00:16:51.167]  Pray for the broadcast.
[00:16:51.167 --> 00:16:57.169]  And go now to InfoWarStore.com and get great products that keep the tip of the spear in the fight.
[00:17:00.316 --> 00:17:06.137]  We finally have our original best-selling colloidal silver back in stock.
[00:17:06.137 --> 00:17:15.699]  With the supply chain breakdowns and all the problems of the economy, we could not get the highest quality colloidal silver for almost three years back in stock.
[00:17:15.699 --> 00:17:16.779]  But now we've got it.
[00:17:16.779 --> 00:17:19.339]  30 parts per million from the top lab.
[00:17:19.339 --> 00:17:20.760]  We got a limited shipment.
[00:17:20.760 --> 00:17:22.440]  Hopefully we'll have a lot of it in the future.
[00:17:22.440 --> 00:17:28.501]  But if you want to experience and have in your medicine cabinet, have in your preparedness arsenal,
[00:17:29.201 --> 00:17:31.922]  High quality colloidal silver from the best manufacturer.
[00:17:31.922 --> 00:17:37.904]  We have it right now private labeled under the name Silver Bullet at InfoWarStore.com.
[00:17:37.904 --> 00:17:40.285]  Limited supply, 30% off.
[00:17:40.285 --> 00:17:43.226]  InfoWarStore.com Silver Bullet.
[00:17:43.226 --> 00:17:50.369]  Research colloidal silver, find out what a game changer it is, and then get yours at InfoWarStore.com.
[00:17:50.369 --> 00:17:52.890]  Silver Bullet, back in stock, 30% off.
[00:17:52.890 --> 00:17:54.151]  InfoWarStore.com.
[00:17:59.687 --> 00:18:04.109]  You're going to want to pay attention to what I'm about to say in the next 60 seconds.
[00:18:04.109 --> 00:18:09.331]  Two new incredible products are now available exclusively at mfullmorestore.com.
[00:18:09.331 --> 00:18:21.676]  They are both clones of national best-selling products from a major pharmaceutical slash supplement maker that are listeners and patriots that are allowing us to private label it at a lower price you'll find in stores.
[00:18:21.676 --> 00:18:24.858]  It's Joint Relief Max and Nerve Renew.
[00:18:25.658 --> 00:18:38.703]  Both of these have known documented natural compounds to lower pain and also make your nerves healthier which is one of the major reasons nerves get irritated and are more inductive to pain.
[00:18:38.703 --> 00:18:40.983]  There's major research behind this all.
[00:18:40.983 --> 00:18:45.065]  You need to get Joint Relief Max from InfoWarsMD and Nerve
[00:18:45.545 --> 00:18:49.567]  I talk a lot about the great successes InfoWars has had.
[00:18:49.567 --> 00:18:52.868]  I don't think anybody can deny it.
[00:18:52.868 --> 00:18:56.249]  And it is because of listeners and viewers supporting us.
[00:18:56.249 --> 00:19:03.512]  When we talk about the crew at InfoWars, the people behind the scenes, the researchers, the writers,
[00:19:15.461 --> 00:19:19.023]  They really have been the MVPs in this fight.
[00:19:19.023 --> 00:19:25.905]  And we look at Harrison Smith and Owen Schroeder and the hard work they engage in every day, five, six, seven days a week.
[00:19:25.905 --> 00:19:26.806]  It's really just incredible.
[00:19:27.825 --> 00:19:30.707]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:19:30.707 --> 00:19:37.273]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:19:37.273 --> 00:19:40.295]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[00:19:40.295 --> 00:19:47.361]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life.
[00:19:47.361 --> 00:19:48.542]  All at the same time, keep us on air.
[00:19:49.262 --> 00:19:53.526]  I know that less than 1% of our listeners actually go buy products at m4store.com.
[00:19:53.526 --> 00:19:58.491]  If just 1% more of you took action and went to m4store.com, our funding problems will be over.
[00:19:58.491 --> 00:20:01.234]  Please take action now.
[00:20:01.234 --> 00:20:07.120]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:23.308 --> 00:20:28.771]  Holy Diver, you've been down too long in the Midnight Sea.
[00:20:28.771 --> 00:20:34.615]  Oh, what's becoming of me?
[00:20:34.615 --> 00:20:39.798]  Holy Diver, you've been down too long in the Midnight Sea.
[00:20:39.798 --> 00:20:43.000]  Oh, what's becoming of me?
[00:20:43.000 --> 00:20:43.881]  Ride the Tiger!
[00:20:43.881 --> 00:20:46.802]  Ride the Tiger!
[00:20:46.802 --> 00:20:49.624]  You can see his stripes, but you know he's clean.
[00:20:50.280 --> 00:20:54.703]  Oh, don't you see what I mean?
[00:20:54.703 --> 00:20:57.125]  Gotta get away.
[00:20:57.125 --> 00:20:59.927]  Holy Diver!
[00:20:59.927 --> 00:21:07.752]  They asked Rodney Daines-Diaz what the song was about, and it was about Christ saving an alien species on another world.
[00:21:07.752 --> 00:21:10.414]  Black, shiny diamonds.
[00:21:10.414 --> 00:21:13.937]  Like the eyes of a cat in the black and blue.
[00:21:13.937 --> 00:21:18.000]  The funny thing is, since I was a teenager, I knew what the song meant.
[00:21:18.000 --> 00:21:19.281]  I knew it was a Christian song.
[00:21:20.840 --> 00:21:24.582]  You can hide in the sun till you see the light.
[00:21:24.582 --> 00:21:32.548]  Here's the best part of the song.
[00:21:32.548 --> 00:21:38.371]  Between the velvet lies.
[00:21:38.371 --> 00:21:44.895]  There's a truth as hard as steel.
[00:21:44.895 --> 00:21:48.197]  The vision.
[00:21:48.197 --> 00:21:48.337]  No.
[00:21:50.095 --> 00:21:52.157]  Life's a never ending wheel.
[00:21:52.157 --> 00:21:52.457]  Jump!
[00:21:52.457 --> 00:21:52.637]  Jump!
[00:21:52.637 --> 00:21:52.737]  Jump!
[00:21:52.737 --> 00:21:56.820]  No need to look so afraid.
[00:21:56.820 --> 00:22:00.183]  Alright ladies and gentlemen, let's get right to the big news.
[00:22:18.321 --> 00:22:32.211]  So we have this incredibly corrupt, evil, wicked, child-trafficking demon force who knows we're awake to them.
[00:22:32.211 --> 00:22:39.657]  They know their system is exposed, their engine of spiritual power is the destruction of children and their innocence.
[00:22:41.258 --> 00:22:46.419]  Desperately trying anything they can now to convince us that we're the criminals.
[00:22:46.419 --> 00:22:48.739]  Here's an incredible example from last week.
[00:22:48.739 --> 00:22:50.300]  I got so busy, never even covered it.
[00:22:50.300 --> 00:22:51.240]  Should have.
[00:22:51.240 --> 00:22:56.201]  I guess it broke Friday.
[00:22:56.201 --> 00:22:57.961]  The Sound of Freedom.
[00:22:57.961 --> 00:23:01.281]  Thousands of donors helped make the movie.
[00:23:01.281 --> 00:23:04.922]  One man gave $500.
[00:23:04.922 --> 00:23:09.883]  And then his girlfriend, who had a kid with a man,
[00:23:10.990 --> 00:23:23.557]  Reportedly took her child, that happens all the time in custody battles, most of the Amber Alerts you see is when some mom or dad runs off with a kid, you know, they get them for two days and then they run to another state and there's Amber Alerts and the rest of it.
[00:23:23.557 --> 00:23:27.159]  And they ran the headlines, ABC News, CNN.
[00:23:27.159 --> 00:23:31.221]  Major Sound of Freedom donor.
[00:23:31.221 --> 00:23:33.643]  Major producer.
