[00:00.000 --> 00:26.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[04:45.000 --> 04:57.000]  The age of contrived, organized, or exacerbated crisis is upon us and it's going into hyperspace. Stay with us in FullWars.com, PrismPlanet.com.
[05:16.000 --> 05:24.000]  I discovered a product being developed by Dr. Group. You now know it as Survival Shield, true nascent iodine that your body can really absorb.
[05:24.000 --> 05:35.000]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals and the results that I personally have had have been life changing.
[05:35.000 --> 05:40.000]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[05:40.000 --> 05:49.000]  This is innovating and the best part is it helps fund infowars.com, the radio show, the TV show, the whole media operation, promoting true libertarian ideas.
[05:49.000 --> 05:56.000]  For a limited time, experience the ancient power of Survival Shield X2. Take advantage of this unprecedented 30% off.
[05:56.000 --> 06:21.000]  Super Detox Special at infowarslife.com.
[06:21.000 --> 06:24.000]  There is a war. It's happening now.
[06:24.000 --> 06:37.000]  It will decide the fate of humanity. The time to choose sides has come. We are the resistance. We are the info war.
[06:37.000 --> 06:47.000]  Ladies and gentlemen, there is a war. It's happening now. It will affect the fate of humanity.
[06:47.000 --> 06:52.000]  You are the resistance. We are the resistance. We are the info war.
[06:52.000 --> 06:58.000]  Thank you for joining us on this Worldwide Sunday Transmission. I'm your host, Alex Jones.
[06:58.000 --> 07:05.000]  We're here every Sunday, 4 to 6 p.m. Central Standard Time, back weekdays, 11 a.m. to 2 p.m.
[07:05.000 --> 07:12.000]  Again, Central Standard Time, the news websites are infowars.com and prismplanet.com.
[07:12.000 --> 07:20.000]  And you can follow us, of course, on Twitter at realalexjones.
[07:20.000 --> 07:24.000]  This is an emergency transmission. Anyway, you slice it.
[07:24.000 --> 07:32.000]  Paul Joseph Watson will be joining us from London, England for the balance of the hour to break down the huge global developments with Ebola,
[07:32.000 --> 07:39.000]  the Ukraine crisis, IS or ISIS al-Qaeda forces killing over 300,000 people in the Middle East.
[07:39.000 --> 07:47.000]  That's accelerating the border being completely wide open and even mainstream news calling Obama a dictator.
[07:47.000 --> 07:53.000]  As he pledges to sign executive orders restricting the Second Amendment, it's all coming up today.
[07:53.000 --> 08:03.000]  Then investigative journalist John Rappaport will be popping in to focus in with us on Ebola and the pandemic that they've declared.
[08:03.000 --> 08:08.000]  Is it really a pandemic? Is it hype? I think it's a little bit of both.
[08:08.000 --> 08:17.000]  There's news behind the news, the story behind the story, or as Paul Harvey would say, the rest of the story.
[08:17.000 --> 08:20.000]  So that's coming up today.
[08:20.000 --> 08:25.000]  First off, this is undoubtedly the biggest outbreak of Ebola ever recorded.
[08:25.000 --> 08:38.000]  The Ebola virus transmitted from fruit bats in Africa to other mammals on the ground is basically becoming more powerful.
[08:38.000 --> 08:46.000]  Many experts believe there's some evidence that it was weaponized by Western governments when it first began to emerge in the last half century.
[08:46.000 --> 08:52.000]  But what we do know is this is important. It's beyond important.
[08:52.000 --> 09:05.000]  No government has ever knowingly or publicly transferred a currently infected.
[09:05.000 --> 09:12.000]  That means someone who can spread it individually into their nation.
[09:12.000 --> 09:23.000]  African countries have locked down their borders in the surrounding area in West Africa, Liberia, Sierra Leone, Nigeria. They're checking everyone coming off planes.
[09:23.000 --> 09:33.000]  But here in the United States, the southern border is completely wide open, and I interviewed the head of the Border Patrol Union just earlier this week.
[09:33.000 --> 09:43.000]  It's a record that people clearly sick with different type of jungle fevers that will kill your daughter in a hammer that make the flu look like child's play.
[09:43.000 --> 09:52.000]  It's why folks are scared to go to the third world is pouring in through the Mexican border out of Central and South America where a conduit has been opened,
[09:52.000 --> 09:59.000]  and they are loaded on aircraft or on buses and sent to the destination of their choosing. No screening.
[09:59.000 --> 10:03.000]  Now again, this is unprecedented, ladies and gentlemen.
[10:03.000 --> 10:13.000]  Now what's really unprecedented on top of that, the only thing that takes the cake on that craziness, is Germany.
[10:13.000 --> 10:21.000]  And now the United States. Germany has taken multiple infected individuals in the last five days into their hospitals.
[10:21.000 --> 10:32.000]  Ebola, people actively who can infect others. And the United States has already flown one U.S. doctor who was infected in to a mainline medical center in Atlanta.
[10:32.000 --> 10:39.000]  There's a big issue there, which we get to that. And another aid worker is set to be flown in.
[10:39.000 --> 10:48.000]  The planes already left Atlanta to get them. It'll be turning around in Africa tomorrow, and it'll be back from Liberia on Tuesday.
[10:48.000 --> 10:57.000]  And it sets the precedent now to start shipping, I guess, hundreds of Ebola infected individuals in the United States.
[10:57.000 --> 11:06.000]  Now there's a bunch of big red flag off the chart, death con type stuff there.
[11:06.000 --> 11:12.000]  Our government's never done this before, and it violates policy and law. A.
[11:12.000 --> 11:25.000]  We've got level four bio weapons treatment and development facilities under bio shield is 12 years old and other programs where they have underground labs that have special sensors, special airlocks,
[11:25.000 --> 11:32.000]  and that can be burned to the ground in a matter of seconds with fire bombs that are in them that destroy everything.
[11:32.000 --> 11:38.000]  They're underground with two rings of fences, machine gun nest and landmines.
[11:38.000 --> 11:45.000]  Okay, it's the same type of facility that nuclear bombs are kept in, but even more. Level four, look it up, containment.
[11:45.000 --> 11:54.000]  Now, just to show you how policies have changed, under bio shield that was passed in the law in 2002, tens of billions of dollars a year is a lot.
[11:54.000 --> 12:01.000]  To, quote, build bio weapons detection and treatment technologies, but it came out in the news it's really a way to get around bio weapons treaties,
[12:01.000 --> 12:06.000]  and to have the U.S. develop hardcore weaponized Ebola smallpox, you name it.
[12:06.000 --> 12:13.000]  To have it killing 91%, it kills 99%, and it's airborne. That's type of stuff they reportedly have developed at these labs.
[12:13.000 --> 12:17.000]  They've been in to work with weaponized Ebola smallpox, you name it.
[12:17.000 --> 12:27.000]  At level two facilities in places like Galveston, Texas, this has been in the news, at the University of Texas, with stuff that kills the majority of people that get it.
[12:27.000 --> 12:35.000]  In facilities hit by hurricanes that have been flooded. Look it up in the Houston Chronicle.
[12:35.000 --> 12:40.000]  Last hurricane went five, six years ago that hit Galveston. I made a big deal about it.
[12:40.000 --> 12:48.000]  So there's this new attitude of, oh, let's let them ship level four bio weapons in a FedEx truck, and then it crashed six years ago and it was a big news issue.
[12:48.000 --> 12:56.000]  Remember that, or, oh, let's put the way you designed human born mousepox that kills 97% of people, 98% of people.
[12:56.000 --> 13:05.000]  Let's just put out the biological genome of that so even a person with $100,000 in a biology degree in virology can make it.
[13:05.000 --> 13:16.000]  That was 10 years ago, it was a huge scandal. The FBI rightfully fought it for five years and failed, and five years ago it was published by U.S. and Australian universities
[13:16.000 --> 13:22.000]  how to create airborne human mousepox with a 97% or higher kill rate.
[13:22.000 --> 13:28.000]  See, I don't just give you, hey, what's Obama doing allowing, well, he didn't do it, well, the buck stops with him.
[13:28.000 --> 13:32.000]  He runs the CDC, he runs the borders, he runs things as a dictator now.
[13:32.000 --> 13:35.000]  Congress goes around playing golf all day.
[13:35.000 --> 13:42.000]  And who, okay, well, then I want to know this, who gave the order, who authorized, because I've been looking all weekend and can't find it,
[13:42.000 --> 13:53.000]  who authorized, clearly mutated, super powerful Ebola, not ready to say weaponized yet, into the United States, and it's not a level four facility.
[13:53.000 --> 14:02.000]  If it was a level four facility, and they had a person in a control pod or something, I know they have those, that was self-contained and everything,
[14:02.000 --> 14:05.000]  I would still say it was reckless, and I didn't want an investigation.
[14:05.000 --> 14:13.000]  They have shipped it, I've got the article right here, to the university, Emory University Hospital in Atlanta, a mainline hospital,
[14:13.000 --> 14:23.000]  and they say, don't worry, part of a wing is sealed off, part of a wing, part of a wing, part of a wing.
[14:23.000 --> 14:30.000]  Ladies and gentlemen, there's over 120 healthcare workers and doctors that we know of as of Friday,
[14:30.000 --> 14:36.000]  the latest numbers I got that already have Ebola, and over 40 of them have died, and the others are busy dying right now.
[14:36.000 --> 14:40.000]  Doctors in hospitals can't stop it from spreading.
[14:40.000 --> 14:50.000]  The hospitals can't stop MRSA and flesh-eating bacteria, and drug-resistant TB, and drug-resistant staff, and strep from spreading.
[14:50.000 --> 14:53.000]  I lost three family members this year from hospital infections.
[14:53.000 --> 15:03.000]  My great-uncle, my uncle, and my cousin in East Texas from these deadly immune bacteria or resistant bacteria.
[15:03.000 --> 15:11.000]  So let me tell you something, this is a crime, and this is out of control, and this is head-spinning nuts.
[15:11.000 --> 15:16.000]  Now, we can speculate all day, and we're going to have to today, because we don't know, why are they doing this?
[15:16.000 --> 15:19.000]  Are they just totally incompetent and insane in government?
[15:19.000 --> 15:24.000]  I don't think so. They have serious laws and policies in place saying they can't do this.
[15:24.000 --> 15:30.000]  Are they planning to release weaponized Ebola that a lot of globalists have talked about to reduce world population forcibly?
[15:30.000 --> 15:35.000]  Like University of Texas professor Eric Pionka that says he hopes Airborne Ebola is released to kill 90% of us.
[15:35.000 --> 15:38.000]  Remember that made national headlines a few years ago?
[15:38.000 --> 15:45.000]  Are there certain parties that just hope it naturally gets out in the Obama administration or elsewhere?
[15:45.000 --> 15:50.000]  Or are they wanting to get the blood of these people to make bio weapons? I don't know.
[15:50.000 --> 15:59.000]  But I know this, it's illegal, it's reckless, it's dangerous, and it fits right in with open borders and executive rule by the dictator.
[15:59.000 --> 16:01.000]  I can taste dirt in it.
[16:01.000 --> 16:03.000]  God knows what's in this.
[16:03.000 --> 16:07.000]  These people just sampled city of Austin tap water straight from the faucet.
[16:07.000 --> 16:13.000]  Next, we had them try a sample of tap water filtered through the Pro Pure G2.0 filtration system.
[16:13.000 --> 16:17.000]  Now one is better. Tastes like nothing. Yep, I know what good water tastes like. It's good water.
[16:17.000 --> 16:23.000]  Most tap water contains added substances like fluoride, chlorine, glyphosate, and many others.
[16:23.000 --> 16:30.000]  Studies prove that these substances are linked to an assortment of major health issues including tooth decay, lower IQ, and even cancer.
[16:30.000 --> 16:33.000]  It tastes like you're drinking out of the lake when you're drinking tap water.
[16:33.000 --> 16:41.000]  The Pro Pure G2.0 filtration system removes these deadly substances leaving only fresh tasting, deliciously clean water.
[16:41.000 --> 16:45.000]  Okay, this is very tasty. It's good water. It's refreshing. It's good.
[16:45.000 --> 16:53.000]  Go to infowarsstore.com today and get your free wire stand with the purchase of a Pro Pure Big Water Filtration System.
[16:53.000 --> 17:21.000]  Or call 1-888-253-3139.
[17:21.000 --> 17:26.000]  And it's entirely free of toxic artificial additives that are loaded into many products.
[17:26.000 --> 17:34.000]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a two ounce bottle and it's not recommended for extended continual use.
[17:34.000 --> 17:44.000]  This is not a low grade formula. We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver.
[17:44.000 --> 18:00.000]  Using electrical processes within a base of deionized water for your preparedness storage or your home kitchen, purchase your bottle of infowarslife.com Silver Bullet Colloidal Silver today and find other amazing supplements at infowarslife.com.
[18:00.000 --> 18:06.000]  Aging starts at the cellular level. When cells become toxic, they die early and aging sets in.
[18:06.000 --> 18:17.000]  In the past decade we have witnessed unparalleled scientific discoveries. During that period, key patented compounds have focused on mitochondrial growth, nerve growth and rejuvenation.
[18:17.000 --> 18:27.000]  But no one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time.
[18:27.000 --> 18:40.000]  We now have the synergistic solution. DNA Force, just one of the key compounds, BioPQQ is backed by major clinical studies and over 175 PubMed listed published studies.
[18:40.000 --> 18:48.000]  You want the best that's out there at the lowest price anywhere? The ultimate value, cutting edge, trailblazing game changer that also supports the InfoWars.
[18:48.000 --> 18:57.000]  For more information, visit infowarslife.com or call toll-free 888-253-3139.
[18:57.000 --> 19:21.000]  Hi, I'm Dr. Edward Groot. It took me 20 years of searching the globe to find the deposit of the highest purity iodine available. The new survival shield X2 is mined from 7 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[19:21.000 --> 19:39.000]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth. It's the strongest nascent iodine on the market today. It delivers 650 micrograms per drop.
[19:39.000 --> 19:50.000]  Experience the new formula. Experience the ancient purity. Shield your family. Survival Shield X2, available now at infowarslife.com.
[19:50.000 --> 19:58.000]  Visit infowarslife.com or call toll-free 888-253-3139.
[20:21.000 --> 20:24.000]  And the heart of the resistance.
[20:24.000 --> 20:25.000]  Rallying Patriots.
[20:25.000 --> 20:28.000]  Rallying Patriots worldwide.
[20:31.000 --> 20:34.000]  You're listening to the Alex Jones Show.
[20:34.000 --> 20:36.000]  Yes, sir, you are.
[20:36.000 --> 21:04.000]  Ladies and gentlemen, the federal government has lowered our southern borders where jihadis, radical Islamists, drug dealers, mules, criminals of every type fleeing justice from their other nations that they're relieving,
[21:04.000 --> 21:13.000]  drug-resistant TB, scabies, the flu.
[21:13.000 --> 21:18.000]  The list just goes on and on. The black plague has popped up in Colorado.
[21:18.000 --> 21:24.000]  The plague. You know the one that killed 30 to 40% of your Europe's population?
[21:24.000 --> 21:41.000]  That southern border is wide open while there is the biggest Ebola outbreak in world history happening right now in Africa.
[21:41.000 --> 21:50.000]  And Germany and the United States are flying medical workers back to not be treated on military ships where they previously would have been treated.
[21:50.000 --> 21:54.000]  That was the previous policy. I went and looked it up.
[21:54.000 --> 22:03.000]  They're now bringing them not to government weapons labs or bio weapons research labs where they could maybe safely contain it.
[22:03.000 --> 22:16.000]  They're bringing it to mainline hospitals in Germany and the United States like the Emory University Hospital in Atlanta.
[22:16.000 --> 22:27.000]  Ebola infected USA workers due to arrive at Emory University Hospital. That was Friday. The first one arrived Saturday and now they're saying more are going to arrive Tuesday.
[22:27.000 --> 22:36.000]  Second American with Ebola expected to arrive in U.S. ABC News. That's the latest.
[22:36.000 --> 22:45.000]  U.S. government seeking to test Ebola vaccine on humans. Ah, Reuters. Now we see what it's really all about.
[22:45.000 --> 22:50.000]  We have a new article out today on infowars.com by Kit Daniels.
[22:50.000 --> 22:56.000]  Obama brings Ebola into America after signing executive order to detain sick Americans.
[22:56.000 --> 23:01.000]  In fact, ask Kit to move these articles back to the top of infowars.com.
[23:01.000 --> 23:04.000]  They've rolled down to the bottom.
[23:04.000 --> 23:11.000]  And then we have an article from last week where Obama signed an executive order to allow detention of Americans with respiratory illnesses.
[23:11.000 --> 23:19.000]  And they say any sign of it, sneezing, coughing, you can be disappeared, even though that has nothing to do with Ebola, just a giant power grab.
[23:19.000 --> 23:28.000]  So this may just be hype, even though it's a real pandemic in Africa, to get on the books medical tyranny for forced inoculations for the flu, you name it.
[23:28.000 --> 23:35.000]  Even though they admit last year in California, AP, that the whooping cough vaccine caused an outbreak of it.
[23:35.000 --> 23:41.000]  Yeah, my grandmother, by the way, 89 years old, still sharp as a tack. I'm going to go interview her this week.
[23:41.000 --> 23:44.000]  I'd always heard this when I was a kid, but she was talking about it again the other day.
[23:44.000 --> 23:49.000]  Nobody she knew had the polio until she got the vaccine.
[23:49.000 --> 23:53.000]  A week later, she got paralyzed and almost died and was right by an iron lung.
[23:53.000 --> 23:55.000]  They almost put her in an iron lung.
[23:55.000 --> 24:03.000]  She's on crutches to this day, ate about half the nerves in her body, half the nerves in her muscles.
[24:03.000 --> 24:08.000]  Benny Grace Hammond was right here in Austin, Texas.
[24:08.000 --> 24:15.000]  A lot of folks know her, involved in a community church, you name it, for 60-something years.
[24:15.000 --> 24:19.000]  And she said, no, that gave me polio.
[24:19.000 --> 24:27.000]  And of course, we now know that over 100 million Americans were given cancer viruses that killed them according to the CDC in the first decade of the polio vaccine.
[24:27.000 --> 24:28.000]  Look it up.
[24:28.000 --> 24:31.000]  I'm going to do a special report this week on all the details.
[24:31.000 --> 24:35.000]  And that after they started giving the shot, it got worse.
[24:35.000 --> 24:38.000]  They wouldn't call it polio, though they would call it just paralysis.
[24:38.000 --> 24:45.000]  And then the last four or five years, you've seen the headline where the polio vaccine in Pakistan and Africa was causing it, but they don't call it polio.
[24:45.000 --> 24:47.000]  They call it paralysis.
[24:47.000 --> 24:50.000]  And they still give the live virus even though they're not supposed to.
[24:50.000 --> 24:54.000]  I was told that a few years ago about a medical doctor treating one of my children.
[24:54.000 --> 24:56.000]  Well-known pediatrician, he just retired.
[24:56.000 --> 24:58.000]  Probably one of the best known in Austin.
[24:58.000 --> 24:59.000]  I'll just leave it at that.
[24:59.000 --> 25:04.000]  He basically got me by the shirt and he said, you don't say who I am, but you can say I'm a medical doctor.
[25:04.000 --> 25:08.000]  I volunteer at these city clinics every year to vaccinate the kids and I'm not going to do it anymore.
[25:08.000 --> 25:09.000]  I go, why?
[25:09.000 --> 25:18.000]  And he goes, they're given East Austinites live illegal 1963 batch live virus H, what is it?
[25:18.000 --> 25:21.000]  HPV 40.
[25:21.000 --> 25:24.000]  And he said, I thought you were nuts, but it's all true.
[25:24.000 --> 25:29.000]  And he goes, and I'm not going to be doing this much longer.
[25:29.000 --> 25:34.000]  And I mean, I'm talking to a medical doctor with a huge practice with his eyes bugging out at me.
[25:34.000 --> 25:37.000]  I've probably been to him five, six times with well checks with my kids.
[25:37.000 --> 25:38.000]  I got three of them.
[25:38.000 --> 25:42.000]  And he just for a minute went ahead and just told me the truth.
[25:42.000 --> 25:45.000]  So see all these other doctors just want to play along with this.
[25:45.000 --> 25:47.000]  Paul Watson joins us for the balance of the hour.
[25:47.000 --> 25:52.000]  I haven't talked to Paul yet today, but he's one of the smartest people working at infowars.com.
[25:52.000 --> 25:56.000]  I'll say this, he understands the new world order just as much as I do.
[25:56.000 --> 26:02.000]  And I study this 18 hours a day and Paul always comes up with stunningly accurate angles.
[26:02.000 --> 26:04.000]  I'm still in the speculation phase.
[26:04.000 --> 26:05.000]  I just know what's going on.
[26:05.000 --> 26:08.000]  It's totally illegal, totally reckless, totally dangerous.
[26:08.000 --> 26:11.000]  Paul Watson will detail the next segment coming up.
[26:11.000 --> 26:19.000]  But first off, you're writing articles for prisonplanet.com and infowars.com and doing special news report videos there from our London studios.
[26:19.000 --> 26:22.000]  But so far, what does your gut tell you?
[26:22.000 --> 26:25.000]  I know they hyped up H1N1 five years ago that wasn't real.
[26:25.000 --> 26:28.000]  Rapaport's pointing out they could be hyping this, but I don't know.
[26:28.000 --> 26:33.000]  My gut tells me it's, there's some hype, but it's mainly spin.
[26:33.000 --> 26:40.000]  All the other crises that are breaking loose right now, the borders, al-Qaeda, overthrowing Ukraine, the dollar devaluation.
[26:40.000 --> 26:47.000]  I've been predicting just a month ago, people can find the clips that if I was the globalist, I'd pull some biological scare.
[26:47.000 --> 26:49.000]  And I'm on record listeners, you know that.
[26:49.000 --> 26:52.000]  Well, somebody will find the clip and put it on infowars.
[26:52.000 --> 26:56.000]  Paul, what is your gut so far to tell you this is?
[26:56.000 --> 27:00.000]  I think it's a real threat, Alex, because of the very fact that they're not hyping it.
[27:00.000 --> 27:08.000]  You know, before the swine flu outbreak in 2009, which in comparison to Ebola was basically useless.
[27:08.000 --> 27:14.000]  It had a 0.04% mortality rate compared to, you know, 90% for Ebola.
[27:14.000 --> 27:21.000]  But they fear mongered about that like it was the end of the world because they had the vaccine lined up beforehand.
[27:21.000 --> 27:29.000]  The pharmaceutical companies who were caught influencing the WHO and the governments, Wolfgang Wodog, exposed that.
[27:29.000 --> 27:31.000]  They had it lined up beforehand.
[27:31.000 --> 27:33.000]  They made millions and millions of dollars.
[27:33.000 --> 27:42.000]  And now this time around, it turned out that the FDA actually blocked an Ebola vaccine that was proven to work on humans just recently,
[27:42.000 --> 27:44.000]  just in the last couple of months.
[27:44.000 --> 27:48.000]  So they're actually blocking the vaccine, which could be the solution to this problem.
[27:48.000 --> 27:54.000]  So that's why I think it is a real threat simply because they're not hyping it.
[27:54.000 --> 27:55.000]  I agree with you.
[27:55.000 --> 27:57.000]  And again, I didn't know your view on this yet.
[27:57.000 --> 28:00.000]  I know you've still been collating.
[28:00.000 --> 28:01.000]  This is real.
[28:01.000 --> 28:02.000]  And I looked into it.
[28:02.000 --> 28:11.000]  I know you're working on an article for Monday on this, but they've never brought live Ebola with an infected communicable patient,
[28:11.000 --> 28:15.000]  a spreader, a vector, into a Western country.
[28:15.000 --> 28:19.000]  What in the hell is Germany and the U.S. doing?
[28:19.000 --> 28:24.000]  It's amazing, Alex, because I mean, you can look at these facilities online in hospitals.
[28:24.000 --> 28:29.000]  They're basically just beds surrounded by a transparent topoling screen.
[28:29.000 --> 28:30.000]  It's amazing.
[28:30.000 --> 28:35.000]  What concerns me is we know that governments have released viruses from labs before.
[28:35.000 --> 28:40.000]  Headline, foot-and-mouth virus released from government lab, 2001.
[28:40.000 --> 28:43.000]  This was from Port and Down, which is basically a military...
[28:43.000 --> 28:46.000]  Stay there. This is too huge. Stay there. That's BBC.
[28:46.000 --> 28:49.000]  Yeah, we're going to explain all the viruses that have been released from government labs before.
[28:49.000 --> 28:51.000]  Now they're putting them in regular hospitals.
[28:51.000 --> 28:55.000]  I mean, if it gets out, will Obama be held accountable?
[28:55.000 --> 28:57.000]  See, government's not ever held accountable anymore.
[28:57.000 --> 29:00.000]  So now they're just bringing Ebola in.
[29:00.000 --> 29:04.000]  City of Austin tap water versus filtered City of Austin tap water.
[29:04.000 --> 29:05.000]  I didn't taste dirt in it.
[29:05.000 --> 29:06.000]  God knows what's in there.
[29:06.000 --> 29:10.000]  These people just sampled City of Austin tap water straight from the faucet.
[29:10.000 --> 29:16.000]  Next, we had them try a sample of tap water filtered through the Cropure G2.0 filtration system.
[29:16.000 --> 29:17.000]  Now one is better.
[29:17.000 --> 29:18.000]  Tastes like nothing.
[29:18.000 --> 29:20.000]  Yep, I know what good water tastes like. It's good water.
[29:20.000 --> 29:26.000]  Most tap water contains added substances like fluoride, chlorine, glyphosate, and many others.
[29:26.000 --> 29:34.000]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lower IQ, and even cancer.
[29:34.000 --> 29:37.000]  It tastes like you're drinking out of the lake when you're in tap water.
[29:37.000 --> 29:45.000]  The Cropure G2.0 filtration system removes these deadly substances, leaving only fresh tasting, deliciously clean water.
[29:45.000 --> 29:46.000]  Okay, this is very tasty.
[29:46.000 --> 29:47.000]  It's good water.
[29:47.000 --> 29:48.000]  Refreshing.
[29:48.000 --> 29:49.000]  It's good.
[29:49.000 --> 29:51.000]  Go to infowarsstore.com today.
[29:51.000 --> 29:55.000]  Use promo code water and save 10% off your Cropure purchase.
[29:55.000 --> 30:00.000]  Or call 1-888-253-3139.
[30:00.000 --> 30:06.000]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[30:06.000 --> 30:10.000]  Most people know that iodine deficiency has been a crisis around the world.
[30:10.000 --> 30:15.000]  Iodine is key to so many of the body's functions, especially the thyroid.
[30:15.000 --> 30:18.000]  I discovered a product being developed by Dr. Group.
[30:18.000 --> 30:24.000]  You now know it as survival shield, true nascent iodine that your body can really absorb.
[30:24.000 --> 30:31.000]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth and deep earth crystals.
[30:31.000 --> 30:35.000]  And the results that I personally have had have been life changing.
[30:35.000 --> 30:40.000]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[30:40.000 --> 30:47.000]  This is innovating, and the best part is it helps fund infowars.com, the radio show, the TV show, the whole media operation,
[30:47.000 --> 30:49.000]  promoting true libertarian ideas.
[30:49.000 --> 30:53.000]  For a limited time, experience the ancient power of survival shield X2.
[30:53.000 --> 30:59.000]  Take advantage of this unprecedented 30% off super detox special at infowarslife.com.
[30:59.000 --> 31:02.000]  This is Alex Jones for infowarslife.com.
[31:02.000 --> 31:11.000]  The latest in preparedness is now here, an electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[31:11.000 --> 31:16.000]  Concentrated to 30 parts per million, and what has been dubbed the survival silver solution.
[31:16.000 --> 31:25.000]  The new infowars life silver bullet colloidal silver is the answer for you and your family, and it's entirely free of toxic artificial additives that are loaded into many products.
[31:25.000 --> 31:34.000]  The infowars life silver bullet silver is so powerful that it is concentrated into a two ounce bottle, and it's not recommended for extended continual use.
[31:34.000 --> 31:36.000]  This is not a low grade formula.
[31:36.000 --> 31:50.000]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water for your preparedness storage or your home kitchen.
[31:50.000 --> 32:17.000]  Purchase your bottle of infowarslife.com silver bullet colloidal silver today and find other amazing supplements at infowarslife.com.
[32:17.000 --> 32:22.000]  I just received my male vitality about three days ago and I must say that was good stuff.
