[00:00.000 --> 00:04.000]  You're listening to the Alex Jones show.
[08:38.000 --> 08:44.000]  I call this an information war, and it is, but information's a big word.
[08:44.000 --> 08:51.000]  If you look at mainstream media, it's hoax war. Every time they give us another Russia nothing burger,
[08:51.000 --> 08:57.000]  it doesn't matter how many internal videos we have from CNN or MSNBC admitting they know it's a fraud,
[08:57.000 --> 09:00.000]  they just continue to recycle the same old lies.
[09:00.000 --> 09:09.000]  Last night it's breaking Trump had a beauty pageant in Russia and shook hands with a Russian billionaire.
[09:09.000 --> 09:17.000]  Here's the photo. We saw that a year ago, last July, we saw that a month ago, we saw that yesterday.
[09:17.000 --> 09:22.000]  They just keep recycling the same six or seven nothing burgers.
[09:22.000 --> 09:32.000]  If we had Donald Trump Jr. talking about selling out US concessions on uranium for $30 million,
[09:32.000 --> 09:47.000]  or selling out missile secrets to China or Russia, I would say that we need to basically arrest him.
[09:47.000 --> 09:55.000]  But instead, ladies and gentlemen, Hillary Gates having illegal servers,
[09:55.000 --> 10:04.000]  deleting 30 plus thousand emails, meeting secretly with Putin, selling out to Gazprom and other big interests.
[10:04.000 --> 10:10.000]  But Russia buying off the Clintons is a very small piece of the tens of billions their foundation's gotten
[10:10.000 --> 10:19.000]  and the crimes they've committed from child sex trafficking to looting money that's given to charities.
[10:19.000 --> 10:25.000]  I mean, you name it, they've done it. Missile secrets to China, missile secrets to North Korea,
[10:25.000 --> 10:31.000]  nuclear reactors that can create a bomb, fissile material, that mainstream news type in,
[10:31.000 --> 10:37.000]  thank the Clintons for North Korea's nukes. I mean, that's even the New York Times.
[10:37.000 --> 10:43.000]  You're talking serious espionage, but they're globalists, they're selling everybody out.
[10:43.000 --> 10:49.000]  And as long as you're selling out all the nation states and screwing people over, the globalists are all for it.
[10:49.000 --> 10:58.000]  But the claims that he met for 15, 20 minutes with this Russian lawyer who it does turn out is sucked up with the Kremlin
[10:58.000 --> 11:07.000]  and who 4chan has now found and confirmed, we went to her Facebook and Twitter, it's true, this Russian lawyer
[11:07.000 --> 11:14.000]  that said she had dirt on Hillary but didn't, turns out 4chan, we're posting it to infowars.com right now,
[11:14.000 --> 11:21.000]  has been an anti-Trump rally, not once, but at least twice, out front Trump Tower,
[11:21.000 --> 11:28.000]  even holding up women with HAJIB signs, part of the George Soros funded operation.
[11:28.000 --> 11:32.000]  So is he a double agent, a triple agent? We don't know, but back over the weekend,
[11:32.000 --> 11:37.000]  Drudge had the headline, the first to make the point was Donald Jr. set up.
[11:37.000 --> 11:45.000]  There's these dozens and dozens of email exchanges and, you know, come see this, come see that, yeah, they got dirt on Hillary.
[11:45.000 --> 11:50.000]  And they spin the whole thing, like see, it's proof of the collusion.
[11:50.000 --> 11:57.000]  First, it was that the Russians had physically hacked the election and stolen it with bots and gotten into computers.
[11:57.000 --> 12:02.000]  They put Hollywood and the EU and the mainstream media and the Saudi Arabians and the Pope
[12:02.000 --> 12:07.000]  and the globalists were doing, ganging up on America, saying we couldn't have Trump.
[12:07.000 --> 12:10.000]  What they're guilty of, they accuse us of.
[12:10.000 --> 12:17.000]  But if Donald Jr. is reached out to by a Russian that says they have evidence of Hillary being a Russian agent,
[12:17.000 --> 12:26.000]  he would be derelict in his duty as a citizen, he would be a lazy slob, I think he would be complicit.
[12:26.000 --> 12:29.000]  If he didn't at least report it or go check it out.
[12:29.000 --> 12:34.000]  Now, what did the Washington Post think progress and all the Democratic Party outlets say yesterday?
[12:34.000 --> 12:41.000]  They spun what I said, what I said he deserves a medal for going out and investigating Russian spies,
[12:41.000 --> 12:46.000]  claiming that I said he was going to investigate her as a Russian spy, the Russian lawyer.
[12:46.000 --> 12:49.000]  No, I clearly said Hillary Clinton.
[12:49.000 --> 12:52.000]  Let's see, they want to make it sound like it makes no sense.
[12:52.000 --> 12:57.000]  Look, Jones has the funniest theory, he says that Trump Jr. was checking to make sure she wasn't a Russian spy.
[12:57.000 --> 13:02.000]  No, we know she was a Russian spy and we know she's been caught with the Russian ambassador
[13:02.000 --> 13:08.000]  and caught at Soros events and caught being a basic globalist.
[13:08.000 --> 13:11.000]  You don't think the Russians aren't infiltrated with those same people?
[13:11.000 --> 13:16.000]  Double players, triple players, double agents, triple agents.
[13:16.000 --> 13:22.000]  That's what the Washington Post and all of them have articles out about. The worst spin is from Alex Jones.
[13:22.000 --> 13:24.000]  Look how pathetic.
[13:24.000 --> 13:29.000]  Oh really, it's pathetic to say Hillary has Russia ties that are admitted even in the New York Times.
[13:29.000 --> 13:37.000]  Hillary's Russia problem, 30 plus million to give over a third of our uranium, making gas deals to sell us out.
[13:37.000 --> 13:45.000]  She's the one selling out our industry, selling out our infrastructure, selling out critical minerals, critical components.
[13:45.000 --> 13:50.000]  But Russia is a minor player as I've hammered.
[13:50.000 --> 14:02.000]  It's the Communist Chinese that are the ones that since the 70s have an official government plan to have their own people migrate here,
[14:02.000 --> 14:05.000]  leave their families there under Chinese control,
[14:05.000 --> 14:17.000]  and then keep a leash on the people that are here in the U.S. by their family members that are there.
[14:17.000 --> 14:21.000]  And I have a stack of news on that subject today.
[14:21.000 --> 14:29.000]  Chinese intelligence networks in the United States include 25,000 spies. It's way more than that.
[14:29.000 --> 14:36.000]  Report 25,000 Chinese spies embedded in the U.S. Bill Gertz, Chinese billionaire warrants America,
[14:36.000 --> 14:41.000]  China has 25,000 spies who are ready to destroy the United States.
[14:41.000 --> 14:46.000]  Max Slavo and of course Jamie White, writing for infowars.com.
[14:46.000 --> 14:52.000]  So that's all coming up. The real threats, the real issues.
[14:52.000 --> 15:01.000]  First I want to get to a clip of Donald Trump back on July 27th of last year, a little less than a year ago, 11 and a half months ago.
[15:01.000 --> 15:04.000]  And what did he say there?
[15:04.000 --> 15:12.000]  He didn't say it in some meeting for 15 minutes, 20 minutes with a Russian lawyer who promised to have dirt on Hillary, opposition research.
[15:12.000 --> 15:15.000]  He didn't have it some hallway. He didn't have it some banquet hall.
[15:15.000 --> 15:19.000]  He had it at a press conference.
[15:19.000 --> 15:26.000]  And he said, I've never met Putin. I don't have Russian interest. I know nothing about Russia, but I know this.
[15:26.000 --> 15:30.000]  I don't care who's got the emails. They're illegal. There's 30,000 of them.
[15:30.000 --> 15:37.000]  And I don't care who's got it, some guy in a basement or the Russians, if you can find them, release them.
[15:37.000 --> 15:40.000]  The media spun that he was saying, hack Hillary Russia.
[15:40.000 --> 15:43.000]  No, don't worry. She knew she was putting classified stuff on a server.
[15:43.000 --> 15:53.000]  She then had plausible deniability, like putting a briefcase under a park bench. Then the KGB comes in the 1972 and, you know, and picks up the micro fish.
[15:53.000 --> 16:00.000]  It's the same garbage. Oh, I actually left the plans in a McDonald's bag and then threw it in a trash can.
[16:00.000 --> 16:04.000]  And then that way, the FBI is there videotaping and are taking photos.
[16:04.000 --> 16:10.000]  Oh, you didn't know the Russians were going to come by and get that out of the trash.
[16:10.000 --> 16:14.000]  But they know we have a political memory of fighting the Russians.
[16:14.000 --> 16:29.000]  And so they play up on that when it was the Democrats who were always in bed with the Russians because they shared the socialist communist ideology with the Russians and basically have adopted it here long after the Russians got rid of it.
[16:29.000 --> 16:34.000]  They got rid of the disease partially, gave it to us.
[16:34.000 --> 16:40.000]  But in the beginning, the globalist and Goldman Sachs and JP Morgan gave it to them in 1917.
[16:40.000 --> 16:45.000]  So we gave them the disease. They got really sick and almost died. Tens of millions did.
[16:45.000 --> 16:55.000]  But it came back. It blew back like it always does. What comes around goes around karma. You reap what you sow.
[16:55.000 --> 17:00.000]  I hope you can find Hillary's missing emails. He said that openly.
[17:00.000 --> 17:08.000]  Oh, but see, Donald Jr. did in private what his father did publicly, the search for truth.
[17:08.000 --> 17:18.000]  Opposition research, the Democrats and this very Russian lawyer who we now have at George Soros events and Trump demonstrations, anti-Trump demonstrations.
[17:18.000 --> 17:32.000]  He's very lady. Now it turns out is connected to the Democrat Party think tank opposition research firm that produced the PP water sports piss gate.
[17:32.000 --> 17:36.000]  That's totally fake and people are being sued over.
[17:36.000 --> 17:40.000]  See how far that goes. See how it just gets worse and worse.
[17:40.000 --> 17:49.000]  He's involved with the group with the salacious steel dossier. London Independent is reporting.
[17:49.000 --> 17:57.000]  Fusion GPS. She's involved at Soros events. She's involved at protests against Trump.
[17:57.000 --> 18:02.000]  She's involved in all this garbage trying to manipulate political movements.
[18:02.000 --> 18:09.000]  The Russians are manipulating liberal movements. That's the movements they've always had success with.
[18:09.000 --> 18:12.000]  Trying to get purchased with conservative movements, but it's not working.
[18:12.000 --> 18:16.000]  Of course, the Russians are trying to play both sides. They don't know who's going to be in power.
[18:16.000 --> 18:20.000]  That was the Russian statement last year was we don't care who gets elected.
[18:20.000 --> 18:25.000]  The deep state still going to want war with us. Russia was right.
[18:25.000 --> 18:31.000]  But regardless, it's the communist Chinese that have penetrated us via the Clintons first and foremost.
[18:31.000 --> 18:37.000]  Now let's go ahead and play Trump doing in public what they're saying is the end of the world for Donald Jr.
[18:37.000 --> 18:41.000]  The only crime of Donald Jr. is not being more hardcore.
[18:41.000 --> 18:49.000]  The only crime is not speaking up and halfway apologizing on Sean Hannity last night saying he could have done it a little bit different looking back.
[18:49.000 --> 18:56.000]  No, day one, they should have said, you bet we're talking to the Russians about how you sold out our uranium and how you're a traitor.
[18:56.000 --> 19:00.000]  And when we get the evidence, we're going to put your ass in prison, Hillary. Here's Trump.
[19:00.000 --> 19:04.000]  It's just a total deflection, this whole thing with Russia.
[19:04.000 --> 19:09.000]  It is so farfetched. It's so ridiculous. Honestly, I wish I had that power.
[19:09.000 --> 19:14.000]  I'd love to have that power. But Russia has no respect for our country.
[19:14.000 --> 19:19.000]  And that's why if it is Russia, nobody even knows it's probably China.
[19:19.000 --> 19:22.000]  Or it could be somebody sitting in his bed.
[19:22.000 --> 19:29.000]  But it shows how weak we are. It shows how disrespected we are.
[19:29.000 --> 19:40.000]  A total sign, assuming it's Russia or China or one of the major countries and competitors, it's a total sign of disrespect for our country.
[19:40.000 --> 19:47.000]  Putin and the leaders throughout the world have no respect for our country anymore, and they certainly have no respect for our leader.
[19:47.000 --> 19:51.000]  So I know nothing about it. It's one of the most farfetched I've ever heard. Yes.
[19:51.000 --> 19:54.000]  What do I have to get involved with Putin for? I have nothing to do with Putin.
[19:54.000 --> 19:58.000]  I've never spoken to him. I don't know anything about him other than he will respect me.
[19:58.000 --> 20:07.000]  Russia, if you're listening, I hope you're able to find the 30,000 emails that are missing.
[20:07.000 --> 20:12.000]  I think you will probably be rewarded mightily by our press.
[20:12.000 --> 20:20.000]  So, Trump has the pure instincts of a thoroughbred, real McCoy, Americana, God-loving.
[20:20.000 --> 20:26.000]  You've done nothing wrong. You don't have the 30,000 emails. You're not in bed with the Russians.
[20:26.000 --> 20:33.000]  Hillary is in bed with their companies. Hillary is in bed with their weapons producers for the uranium, all of it.
[20:33.000 --> 20:37.000]  She's caught red-handed. The Podestas, all of them.
[20:37.000 --> 20:43.000]  Selling us out seven ways to Sunday. Obama kills the Russia investigation during the campaign,
[20:43.000 --> 20:48.000]  because he knows it leads to the Podesta brothers and Hillary and himself and George Soros,
[20:48.000 --> 20:53.000]  because they've all been screwing each other over and selling the country out.
[20:53.000 --> 20:56.000]  And so they're scared. Trump gets elected. What are they going to do?
[20:56.000 --> 21:00.000]  Double down with the Russian narrative, because they were always worried about the Russian narrative.
[21:00.000 --> 21:04.000]  They know what was in the emails. So in case it came out, they'd already put it on Trump.
[21:04.000 --> 21:07.000]  And then once he got in, they got even more scared, so they had to keep putting it on him.
[21:07.000 --> 21:12.000]  But there's Trump saying, if you have the emails, release the emails.
[21:12.000 --> 21:15.000]  I don't know who's got them. Probably China. Probably somebody in their basement.
[21:15.000 --> 21:19.000]  But whoever's got them, release them. The story is the illegal server.
[21:19.000 --> 21:24.000]  The story is the illegal emails. The story is the WikiLeaks emails with all the crimes they're committing
[21:24.000 --> 21:35.000]  and rigging the election and rigging the polls and rigging the debates and selling us out.
[21:35.000 --> 21:38.000]  So what do you do when your whole world's coming down?
[21:38.000 --> 21:42.000]  You just hoax it again and say, Trump's in bed with the Russians.
[21:42.000 --> 21:46.000]  And of course, as Paul Watson said, how do we know it's pure bull?
[21:46.000 --> 21:52.000]  They're saying we're funded and directed by the Russians at the Federal Elections Commission
[21:52.000 --> 21:54.000]  with no proof and that they want to have hearings.
[21:54.000 --> 22:02.000]  Oh, I bet you do. Please throw me in that briar patch. Please, please, please, please, please.
[22:02.000 --> 22:07.000]  I don't get one red stinking scent from the Ruskies.
[22:07.000 --> 22:12.000]  I get it from our audience and everybody knows it. What a load of crap.
[22:12.000 --> 22:16.000]  If the Russians are trying to make us Christian and pro-second amendment
[22:16.000 --> 22:21.000]  and cutting back the illegals coming across 60 plus percent now in just six and a half months
[22:21.000 --> 22:26.000]  and three trillion in the stock market and rebuilding our military and firing all these VA people
[22:26.000 --> 22:32.000]  and getting billionaires involved to make massive $100 million dollar donations into the VA
[22:32.000 --> 22:39.000]  and getting us out of the unelected TPP and getting us out of the carbon tax.
[22:39.000 --> 22:44.000]  I mean, if that's what the Russians are doing, wow, thank you, Mr. Putin.
[22:44.000 --> 22:50.000]  But it's not. It's ridiculous.
[22:50.000 --> 22:53.000]  But again, they're starving for anything.
[22:53.000 --> 22:56.000]  CNN's exposes a fraud. The Memors are destroying them.
[22:56.000 --> 23:03.000]  Their ratings go from almost nothing to just absolutely almost unreadable on the graph.
[23:03.000 --> 23:07.000]  And their answer is they've been waiting with this. Big question.
[23:07.000 --> 23:15.000]  How'd they get the whole email chain from both sides from Donald Trump Jr.
[23:15.000 --> 23:20.000]  Called the National Security Agency under Obama with a giant illegal dragnet
[23:20.000 --> 23:25.000]  spying on thousands of prominent people with lifetime real humans listening.
[23:25.000 --> 23:29.000]  Tens of millions have everything they do being recorded.
[23:29.000 --> 23:32.000]  I mean, Sheriff Arpaio's office, when they left,
[23:32.000 --> 23:37.000]  released just a snapshot of a few thousand public figures' names.
[23:37.000 --> 23:39.000]  Michael Savage, Alex Jones, Donald Trump.
[23:39.000 --> 23:43.000]  Let me tell you something. I never had the nerve to call his private apartment in Marlago,
[23:43.000 --> 23:50.000]  but I have the number. I've got the numbers at Trump Tower, not just the general number, the other one.
[23:50.000 --> 23:53.000]  Those are all numbers that were on that NSA thing.
[23:53.000 --> 24:00.000]  They had an office phone number that I had a landline that I only used for radio interviews that nobody else had.
[24:00.000 --> 24:07.000]  And that number said Alex Jones's office number. They even knew my private phone number.
[24:07.000 --> 24:13.000]  And this was six years ago under Obama in the middle of his administration.
[24:13.000 --> 24:17.000]  They're not listening to me to see if I'm a Rusky, folks.
[24:17.000 --> 24:26.000]  They're listening because they know I'm exposing their criminal activity.
[24:26.000 --> 24:30.000]  These people are sick.
[24:30.000 --> 24:35.000]  And they work for special interests that want to dominate and want to control America.
[24:35.000 --> 24:38.000]  We've been the biggest, baddest, freest country in the world.
[24:38.000 --> 24:42.000]  You control us. You control the world. They want to loot us. They want to rob us.
[24:42.000 --> 24:47.000]  And then they want to have us so poor and so stupid we can't resist, even politically.
[24:47.000 --> 24:52.000]  But all that's failing. And so everything they do is classical military to demoralize us.
[24:52.000 --> 25:01.000]  We're failing. We're losing. We're pathetic. It's all over.
[25:01.000 --> 25:06.000]  They've got all these illegal wiretaps going, all the spying. Those are the big scandals.
[25:06.000 --> 25:12.000]  It just came out yesterday that Comey perjured himself to Congress, even in the Hill newspaper reported it,
[25:12.000 --> 25:15.000]  and it was a classified memo he should have given the Attorney General.
[25:15.000 --> 25:25.000]  Those are real felonies just like Hillary's server that she used as a giant data dump to sell the country out.
[25:25.000 --> 25:30.000]  You don't just think the Office of Personnel Management hack of now 21 million U.S. government folks
[25:30.000 --> 25:36.000]  and the entire database of spies, agents, assets was given to the Chinese.
[25:36.000 --> 25:39.000]  You don't just think they got in and got all that in one database.
[25:39.000 --> 25:41.000]  It's not even supposed to be in one database.
[25:41.000 --> 25:49.000]  It was given to them as a sellout, just like the Panama Canal, just like 99% or 98% of Earth minerals.
[25:49.000 --> 25:54.000]  We've been sold out on purpose. We've been set up by the globalists.
[25:54.000 --> 25:58.000]  That's why Lloyd Blank find of Goldman Sachs sends out tweets going,
[25:58.000 --> 26:04.000]  How's your infrastructure week going? America's pathetic. I just got back from China. Amazing.
[26:04.000 --> 26:10.000]  Yeah, try whatever you want. And then Atlantic Monthly. The sun is setting on America.
[26:10.000 --> 26:14.000]  I want to play this two minute piece when we come back from break.
[26:14.000 --> 26:18.000]  Right now, powerful piece coming up that Mike Zimmerman put together.
[26:18.000 --> 26:23.000]  But before we do that, I want to play why he's really the criminal, why they really hate him.
[26:23.000 --> 26:28.000]  I have this clip of him last week in Poland. We should air every segment where he said,
[26:28.000 --> 26:31.000]  You'll never overthrow the West. You'll never defeat us.
[26:31.000 --> 26:35.000]  He's talking about radical Islam, globalism, because they're at war with it.
[26:35.000 --> 26:40.000]  The left's like, how racist of him, how evil. It's the globalist. It's Soros.
[26:40.000 --> 26:44.000]  It's the Islamists that say they're going to overthrow Christianity.
[26:44.000 --> 26:48.000]  They're going to overthrow our open free societies. They're going to not have tolerance.
[26:48.000 --> 26:54.000]  They're going to make us adopt their liberal, globalist, anti-human, anti-family garbage.
[26:54.000 --> 27:02.000]  They're the ones saying we're going to overthrow you in Atlantic Monthly and in the New York Times.
[27:02.000 --> 27:09.000]  Think about their America hate. I love how one of the things that happens routinely in the mountain public,
[27:09.000 --> 27:13.000]  if there's big crowds around, because it is minority of folks using white trendy yuppies.
[27:13.000 --> 27:19.000]  Last time I got caught on tape, I was like at the JW Marriott downtown interviewing Roger Stone in a hallway,
[27:19.000 --> 27:26.000]  and a guy walks by and goes, Traders! I go, excuse me? He goes, Yeah, you are for the Russians.
[27:26.000 --> 27:30.000]  And I go over, the guy's a big liberal. They hate America. They hate free market.
[27:30.000 --> 27:33.000]  They hate the Second Amendment. They hate everything we stand for.
[27:33.000 --> 27:42.000]  But then now they get to feel good and go, You traitors? Call me a traitor. Tell me how I'm a traitor.
[27:42.000 --> 27:49.000]  Tell me how I'm a traitor. Tell me how I'm garbage. Tell me how I'm a piece of filth.
[27:49.000 --> 27:55.000]  They just go, You're a Russian. Oh yeah, I'm a Russian. They're the globalists.
[27:55.000 --> 27:58.000]  They're the ones getting rid of the country. They're the ones overthrowing it.
[27:58.000 --> 28:03.000]  They're the ones conquering it. They're the ones that want austerity and a government that gives you welfare or corporate jobs.
[28:03.000 --> 28:06.000]  So if you don't play ball, they cut your money off.
[28:06.000 --> 28:12.000]  They're the people that want you owe in your soul to the company store, living on one big giant sharecropping plantation.
[28:12.000 --> 28:17.000]  Gulag Archipelago, Gulag Casino model.
[28:17.000 --> 28:24.000]  And they know it, and they can't stand your struggling lose that the American system is coming back from the brink of death
[28:24.000 --> 28:31.000]  and roaring back like a fiery phoenix and they're pissing their pants because they belong to the Little Weenie Club.
[28:31.000 --> 28:35.000]  They belong to the Mount America's Hadamawal Club.
[28:35.000 --> 28:43.000]  They want to get together and be part of a society that runs things instead of individuals that are part of the great animated contest.
[28:43.000 --> 28:47.000]  They don't want free societies. They want locked up, controlled societies.
[28:47.000 --> 28:52.000]  That's their spirit and Trump knows it and he says, You will never overthrow the West.
[28:52.000 --> 28:55.000]  You will never overthrow tolerance. You will never overthrow freedom.
[28:55.000 --> 29:04.000]  And they go, Yes, we will! In all the newspapers, declared enemies, declared traitors, declared scum.
[29:04.000 --> 29:10.000]  So let's play it like high noon to vampires. Here's what they hate because these words are true.
[29:10.000 --> 29:16.000]  These words are sunlight. These words certify him as real and you know a man by his enemies. Here it is.
[29:16.000 --> 29:26.000]  Just as Poland could not be broken, I declare today for the world to hear that the West will never, ever be broken.
[29:26.000 --> 29:34.000]  Our values will prevail. Our people will thrive and our civilization will triumph.
[29:34.000 --> 29:40.000]  And Russia has now dialed into the West, decided to go with the West because Russia is both the West and the East.
[29:40.000 --> 29:47.000]  Russia is now becoming Christian, paying people to have kids, not letting them sexualize children, arresting the pedophile rings.
[29:47.000 --> 29:52.000]  The world's life instinct is coming back. Now, when we return, powerful peace.
[29:52.000 --> 30:11.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:11.000 --> 30:22.000]  Here are some of its main exhibitors. Barack Obama. After running for president for the little guy, campaigning against big money, he got out of office and immediately became that which he campaigned against.
[30:22.000 --> 30:32.000]  Washington fat cats, multi-million dollar book deals, multi-million dollar mansions. Meanwhile, the little guy is looking for a new doctor or insurance plan they can afford because of the health care bill he lied about.
[30:32.000 --> 30:36.000]  Leonardo DiCaprio, a man committed to warning you about the perils of global warming.
[30:36.000 --> 30:42.000]  Right after he flies to you on his G-20 jet airplane, then cascades off into the great blue on a super yacht, George Clooney.
[30:42.000 --> 30:48.000]  A man who preaches open borders and tolerance, but could not tolerate the open borders of Europe, so move back to the United States.
[30:48.000 --> 30:58.000]  Bernie Sanders, the head commie who has been against millionaires and billionaires that has accept himself with his multiple houses and cars and with his wife under investigation for bank fraud.
[30:58.000 --> 31:03.000]  Don't fall victim to political fraud. Stay informed at infowars.com. This is Owen Schreuer.
[31:03.000 --> 31:10.000]  It's not just our water we need to filter. It's not just our food that needs to be cleaned. It's the air we're breathing, especially for our children.
[31:10.000 --> 31:16.000]  The artificial particulates of the chemicals is absolutely weighing down our immune systems.
[31:16.000 --> 31:25.000]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breeze.
[31:25.000 --> 31:33.000]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children, to the best job you can to purify your air.
