[00:00:18.849 --> 00:00:22.912]  Resistance to tyrants is obedience to God.
[00:03:28.902 --> 00:03:33.765]  And they're going to use this as a way to roll out that it's computers, so they're so fair.
[00:03:33.765 --> 00:03:41.410]  In fact, here's the headline, CNN, California launches investigation following stunning admission by Aetna medical director.
[00:03:41.410 --> 00:03:50.556]  Now here's the real news from CNN, getting occasionally right from what, earlier this year, the computer that decides if we live or die.
[00:03:52.827 --> 00:03:57.531]  You see, they started it out about nine years ago, strangely enough, when Obama got in.
[00:03:57.531 --> 00:03:58.952]  Said what you want about Bush.
[00:03:58.952 --> 00:04:00.393]  He didn't put that in.
[00:04:00.393 --> 00:04:07.518]  Where it's not even bioethics boards of doctors that decide who lives and dies with a mix of hospital or company administrators.
[00:04:07.518 --> 00:04:10.100]  But you've got to have a doctor signing off on the death warrant.
[00:04:10.100 --> 00:04:12.102]  It's the Thomas Watson computer.
[00:04:12.958 --> 00:04:16.541]  And you cannot make up the richness of that little sweetheart.
[00:04:16.541 --> 00:04:26.148]  Remember, they want major halls changed from Lynch Hall, even though in several cases it was liberals that donated money and the last name was the Irish name Lynch, because it sounds like lynching.
[00:04:26.148 --> 00:04:27.909]  That mental illness.
[00:04:27.909 --> 00:04:38.257]  But then you can have it called the Thomas Watson computer that decides who lives and dies when he invented the first computers to do the same thing in German death camps.
[00:04:38.257 --> 00:04:38.637]  On record!
[00:04:41.334 --> 00:04:46.097]  So see, people are scared the name Lynch has nothing to do with lynching.
[00:04:46.097 --> 00:04:52.401]  But oh, a computer's actually named after the guy that got the highest award in Nazi Germany?
[00:04:52.401 --> 00:04:56.023]  Thomas Watson, the creator of computers?
[00:04:56.023 --> 00:04:59.486]  And then a machine named after him carries out Nazi tactics against veterans.
[00:05:00.211 --> 00:05:04.614]  Fuel your body with Carnivore, the new digestive enzyme product by InfoWars Life.
[00:05:04.614 --> 00:05:12.719]  Digestive enzymes assist in the digestion process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[00:05:12.719 --> 00:05:18.002]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[00:05:18.002 --> 00:05:20.524]  Digestive enzyme production declines as we age.
[00:05:20.524 --> 00:05:24.746]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[00:05:24.746 --> 00:05:27.188]  Enjoy the full potential of protein-rich foods again.
[00:05:27.868 --> 00:05:35.111]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[00:05:35.111 --> 00:05:43.174]  Just one pill with every high-protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[00:05:43.174 --> 00:05:50.357]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates, so you can fully digest all types of meals.
[00:05:50.357 --> 00:05:51.817]  Don't let a meal go to waste.
[00:05:51.817 --> 00:05:53.638]  Use Carnivore by InfoWars Life.
[00:05:54.458 --> 00:05:57.920]  Head to Infowarslife.com and secure your model now.
[00:05:57.920 --> 00:06:09.886]  That's Infowarslife.com.
[00:06:09.886 --> 00:06:15.890]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:19.918 --> 00:06:22.059]  All right, you don't want to miss this broadcast.
[00:06:22.059 --> 00:06:29.744]  We've got tier one patriot operators who don't want to even get into what they've done and do in the military and for other organizations.
[00:06:29.744 --> 00:06:45.473]  Today when they come in, they're going to be here to talk about the Second Amendment and a lot more, but I'm going to try to get them to talk about what things will look like in their research view, not from a classified perspective of COG, but from just a citizen perspective with the left out there calling
[00:06:46.773 --> 00:06:48.855]  The big news is that Hezbollah out of Iran
[00:07:08.812 --> 00:07:10.213]  Has used the fact that the U.S.
[00:07:10.213 --> 00:07:20.179]  has begun to pull out of most areas of Syria to begin moving up to the border with Israel and has shot down one of their aircraft and had drones and other aircraft coming over their airspace.
[00:07:20.179 --> 00:07:23.762]  Israel has reasonably struck back against bases.
[00:07:24.833 --> 00:07:25.094]  I don't
[00:07:40.804 --> 00:07:43.005]  And that they'll do whatever they want, basically.
[00:07:43.005 --> 00:07:47.766]  Iran UAV that entered Israel airspace seems to be an American stealth knockoff.
[00:07:47.766 --> 00:07:49.286]  That is just some of the news.
[00:07:49.286 --> 00:07:54.368]  Meanwhile, billionaire George Soros has already donated billions to overthrow European sovereignty.
[00:07:54.368 --> 00:08:00.689]  And just last week he donated 500,000 pounds and now another 100,000 pounds to try and derail Brexit.
[00:08:00.689 --> 00:08:06.891]  American investor defies critics to take total spent on keeping UK and EU to over 500,000 pounds.
[00:08:08.843 --> 00:08:24.876]  And how is he, a weird Eastern European Nazi collaborator, involved in our politics, and involved in sovereign politics in the UK, and then he's the one funding this baloney that all of us that want US sovereignty or lower taxes are Russian agents?
[00:08:27.338 --> 00:08:28.739]  He is the communist.
[00:08:28.739 --> 00:08:34.364]  He has been the socialist, who of course is tax exempt and uses mega wealth to control people, as it always is.
[00:08:34.364 --> 00:08:35.365]  So that's simply incredible.
[00:08:35.365 --> 00:08:36.226]  We're going to be getting into that.
[00:08:36.226 --> 00:08:41.970]  Billionaires and athletes freeze as Winter Olympics have record low temperatures.
[00:08:41.970 --> 00:08:47.735]  Also, Vice airs documentary on black healing retreats for people who need a break from white people.
[00:08:47.735 --> 00:08:48.936]  I talked about this last week.
[00:08:48.936 --> 00:08:49.597]  We had the clips.
[00:08:49.597 --> 00:08:50.297]  We never got to them.
[00:08:50.297 --> 00:08:51.458]  Now it's a big national news story.
[00:08:51.458 --> 00:08:54.321]  But I'm going to air some of that in the third hour with Roger Stone.
[00:08:54.321 --> 00:08:55.121]  They actually say
[00:08:56.118 --> 00:08:59.581]  White people shouldn't have any rights and shouldn't be allowed to travel, and I don't like seeing them.
[00:08:59.581 --> 00:09:03.163]  And they go, well you leased this property for your black retreat from a white person.
[00:09:03.163 --> 00:09:05.005]  Well, that's okay.
[00:09:05.005 --> 00:09:12.810]  You talk about what the public schools and the media have done, turning some black people into beyond KKK.
[00:09:12.810 --> 00:09:17.794]  I mean, the KKK isn't calling for black people not being able to have passports or move around freely.
[00:09:17.794 --> 00:09:18.715]  It is truly
[00:09:20.109 --> 00:09:21.010]  Nazi-istic.
[00:09:21.010 --> 00:09:22.872]  The Nazis control where you can go and what you can do.
[00:09:22.872 --> 00:09:24.133]  It is unbelievable.
[00:09:24.133 --> 00:09:28.838]  But it's like the left saying, oh, we're getting all these people organized, these professors and MSNBC.
[00:09:28.838 --> 00:09:30.100]  We played the clips last week.
[00:09:30.100 --> 00:09:34.284]  We're going to block the military parade that Trump wants to have.
[00:09:34.284 --> 00:09:36.006]  Because he isn't going to invade New York.
[00:09:37.895 --> 00:09:38.795]  Or invade D.C.
[00:09:38.795 --> 00:09:40.096]  depending on where they have it.
[00:09:40.096 --> 00:09:42.057]  That's not troops invading, that's a parade.
[00:09:42.057 --> 00:09:43.278]  That's not Tiananmen Square.
[00:09:43.278 --> 00:09:54.584]  Tiananmen Square again was communists coming and attacking civil rights activists, protesters who were peacefully speaking out for free speech.
[00:09:54.584 --> 00:09:56.885]  Amazing.
[00:09:56.885 --> 00:10:02.268]  Bunch of communists and a bunch of socialists now saying, oh, we're going to lay in front of the tanks like the heroes at Tiananmen Square.
[00:10:03.482 --> 00:10:06.003]  You're the left on the campus trying to borrow free speech.
[00:10:06.003 --> 00:10:07.784]  You're the left trying to go after the veterans.
[00:10:07.784 --> 00:10:10.166]  You're the people saying we shouldn't be able to have a parade.
[00:10:10.166 --> 00:10:14.108]  And by the way, I think Trump should have a parade because the globalists don't want us to have one.
[00:10:14.108 --> 00:10:15.268]  I'm against a police state.
[00:10:15.268 --> 00:10:16.609]  I'm against martial law.
[00:10:16.609 --> 00:10:17.670]  I'm against civil war.
[00:10:17.670 --> 00:10:23.573]  It's the Democrats calling for a civil emergency, calling for martial law, calling for overthrowing the election.
[00:10:25.273 --> 00:10:34.528]  Calling for banning free speech and doing it at campuses all over the country as they admit they are, banning Halloween parties, banning costume parties, banning fiesta parties, banning everything!
[00:10:34.528 --> 00:10:36.552]  To have total control!
[00:10:38.027 --> 00:10:41.170]  They point their fingers at us and they say that we're the fascists.
[00:10:41.170 --> 00:10:41.871]  No.
[00:10:41.871 --> 00:10:57.126]  I support our military because our military is one of the most awake groups to the globalist threat and the globalists want to get control of our military to use it against us and it's key that we totally engage the military and wake the military up so they understand that duty and they understand it better than we do on average.
[00:10:57.126 --> 00:11:00.049]  That's why it's a natural ally with the American people is our military.
[00:11:00.509 --> 00:11:02.470]  And they want to drive a wedge there.
[00:11:02.470 --> 00:11:04.650]  They're the folks that love killing cops.
[00:11:04.650 --> 00:11:08.992]  They're the people that hate the military, that hate flyover country, that admittedly hate this nation.
[00:11:08.992 --> 00:11:20.415]  But now Hollywood are the ones telling you how all of us that are America firsters, all of us trying to take the sabotage controls off the country, trying to end the globalist sabotage, we're the traitors.
[00:11:20.415 --> 00:11:23.116]  Total bull.
[00:11:23.116 --> 00:11:27.657]  The Dow has jumped 307 points as stocks bounce back from their worst week in two years.
[00:11:27.657 --> 00:11:29.438]  We're going to get into all of that, but first,
[00:11:31.069 --> 00:11:39.872]  Little Stephen Bannon has proven himself to be a classic Benedict Arnold in the vein of Judas Iscariot or Brutus.
[00:11:39.872 --> 00:11:44.314]  Has slithered out and is giving interviews to CNN and others saying, hashtag me too.
[00:11:44.314 --> 00:11:45.795]  He thinks we'll bring Trump down.
[00:11:45.795 --> 00:11:47.956]  Oh, what a tactical genius you are.
[00:11:47.956 --> 00:11:49.256]  It was set up six months ago.
[00:11:49.256 --> 00:11:58.880]  The Democrats admitted that they were unpopular with women because of all the rape connections to the Clintons and the cover-ups and the Lolita Express and all the raping and the children and all the rest of it.
[00:11:59.878 --> 00:12:13.733]  So as a facelift, they started burning a few of their own and now he says women need to take charge of society, a classic globalist talking point by the big multinationals who want to use you as a wedge to further break up the country.
[00:12:14.266 --> 00:12:17.689]  Hitler said first you get the women, then you got the children, so follow the men.
[00:12:17.689 --> 00:12:20.231]  Hitler targeted women, told them they were in charge.
[00:12:20.231 --> 00:12:25.176]  So the whole issue here is that this is classical advertising.
[00:12:25.176 --> 00:12:27.058]  80% of advertising targets women.
[00:12:27.058 --> 00:12:34.464]  And he's playing into that whole leftist talking point saying this will bring down Trump, he believes, on his belly like a little
[00:12:35.285 --> 00:12:40.593]  Goblin creature dragging it like a little snake in front of them, hoping to be relevant again.
[00:12:40.593 --> 00:12:47.484]  Truly, truly sickening by the Hollywood screenwriter who posed as a patriot, but he was always a globalist leftist, we now learn.
[00:12:47.484 --> 00:12:48.085]  Let's go to that clip.
[00:12:48.951 --> 00:12:56.692]  The paperback release of the new book, you talk about watching the Golden Globe Awards with Steve Bannon, and you got his reaction to the red carpet protests supporting the MeToo movement.
[00:12:56.692 --> 00:13:02.514]  He said, quote, the anti-patriarchy is going to undo 10,000 years of recorded history.
[00:13:02.514 --> 00:13:04.254]  You watch, the time has come.
[00:13:04.254 --> 00:13:08.415]  Women are going to take charge of society, and they couldn't juxtapose a better villain than Trump.
[00:13:08.415 --> 00:13:09.795]  He is the patriarch.
[00:13:09.795 --> 00:13:12.015]  This is a definitional moment in the culture.
[00:13:12.015 --> 00:13:14.656]  It'll never be the same going forward.
[00:13:15.736 --> 00:13:34.633]  I think Bannon, despite all his flaws, is a pretty shrewd analyst of American politics and particularly American political anxieties, our national anxieties, and he recognized in those Golden Globe Awards that this was a movement that could potentially be an existential threat to Republicans, not just their majority in the House, but also to President Trump.
[00:13:34.813 --> 00:13:50.525]  And there's a wonderful, revealing moment of Freudian angst in this scene, as I described, Bannon, watching Oprah, where he says, look, if they were to roll out a guillotine right now, these ladies would chop off every set of balls in the room.
[00:13:51.145 --> 00:13:56.491]  Which is a blunt Bannon way of saying, essentially, this Me Too movement, they're coming for our manhood.
[00:13:56.491 --> 00:14:12.308]  And I think that expressed a lot of the anxieties that Bannon, that Trump, that people of that political persuasion have about this new rising movement of women, which is really a backlash to the man that Bannon calls the patriarch, Trump himself.
[00:14:12.728 --> 00:14:15.089]  Alright, let's decipher that complete, absolute bull.
[00:14:15.089 --> 00:14:20.551]  Remember, we told you, it was actually eight months ago, that the whole Me Too thing was a deal to bring down Trump.
[00:14:20.551 --> 00:14:21.091]  That was obvious.
[00:14:21.091 --> 00:14:22.912]  They now admit that that was.
[00:14:22.912 --> 00:14:26.033]  And Al Franken said, I shouldn't have resigned, because none of them are resigning.
[00:14:26.033 --> 00:14:29.214]  I shouldn't have been, you know, agreed to this to be the sacrificial lamb.
[00:14:29.214 --> 00:14:30.854]  So that's what's going on.
[00:14:30.854 --> 00:14:33.535]  What's happening is multinationals know they've taken the country over.
[00:14:33.535 --> 00:14:36.416]  They want to divide us from each other.
[00:14:36.416 --> 00:14:41.338]  Hillary was supposed to get in, and in any criticism, it wouldn't mean that you're racist like it was with Obama.
[00:14:42.938 --> 00:14:45.160]  Now is going to be your sexist and you don't like Hillary.
[00:14:45.160 --> 00:14:46.702]  And they're still going with that.
[00:14:46.702 --> 00:14:48.243]  She says that every time she opens her mouth.
[00:14:48.243 --> 00:14:52.387]  So, they're just still playing the very same playbook they had.
[00:14:52.387 --> 00:14:57.451]  That's why they had Law & Order and Homeland and all these shows already produced where there's a woman president.
[00:14:58.112 --> 00:14:59.373]  And now they try to assassinate her.
[00:14:59.373 --> 00:15:02.555]  She goes from being Hillary to now she's a bad Trump person.
[00:15:02.555 --> 00:15:07.798]  So all of this is propaganda just basting emotional people, men, women, you name it.
[00:15:07.798 --> 00:15:11.940]  And then men cucks are supposed to signal to women, oh, I know we're bad.
[00:15:11.940 --> 00:15:12.760]  You're in charge here.
[00:15:12.760 --> 00:15:15.802]  You go work and you bring me food and I'll sit her on the couch.
[00:15:15.802 --> 00:15:18.364]  And of course, she leaves you about a year because you're a cuck.
[00:15:19.284 --> 00:15:20.365]  I mean, it's amazing.
[00:15:20.365 --> 00:15:22.166]  That's not what women are looking for.
[00:15:22.166 --> 00:15:29.491]  And so, this is total fraud, this is scientific warfare, the attack on the family, all of it.
[00:15:29.491 --> 00:15:30.312]  And that's all that is.
[00:15:30.312 --> 00:15:31.933]  And now, the little cuck...
[00:15:33.487 --> 00:15:36.628]  Bannon is scared the women are coming to get my testicles.
[00:15:36.628 --> 00:15:37.308]  And that's the idea.
[00:15:37.308 --> 00:15:38.489]  They're always invoking violence.
[00:15:38.489 --> 00:15:39.689]  Hashtag kill Republicans.
[00:15:39.689 --> 00:15:41.510]  Women, chop men's genitals off.
[00:15:41.510 --> 00:15:42.290]  It's war.
[00:15:42.290 --> 00:15:44.590]  Guillotines, cut their heads off.
[00:15:44.590 --> 00:15:46.491]  It's all this violent rhetoric.
[00:15:46.491 --> 00:15:49.432]  Rob Reiner said, we're in the last battle of the Civil War.
[00:15:49.432 --> 00:15:50.452]  We were gliding in.
[00:15:50.452 --> 00:15:53.213]  We were going to screw America over and break its back forever.
[00:15:53.213 --> 00:15:56.554]  But America woke up before we finally slit its throat.
[00:15:56.554 --> 00:15:58.095]  And we can't let that happen, Hollywood.
[00:15:58.095 --> 00:15:58.995]  We will defeat America.
[00:15:59.790 --> 00:16:00.630]  This is Dan Pilla.
[00:16:00.630 --> 00:16:02.411]  Do you have the IRS money you can't pay?
[00:16:02.411 --> 00:16:04.052]  Are tax debts crippling you?
[00:16:04.052 --> 00:16:06.874]  I've defended people from the IRS for over 30 years.
[00:16:06.874 --> 00:16:09.175]  I've helped thousands and I can help you too.
[00:16:09.175 --> 00:16:13.678]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[00:16:13.678 --> 00:16:17.620]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:16:17.620 --> 00:16:21.402]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:16:21.402 --> 00:16:21.722]  Call 800-34-NO-TAX.
[00:16:21.722 --> 00:16:23.463]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:16:28.868 --> 00:16:33.992]  The answer to being in control of your own health care is freedom from insurance.
[00:16:33.992 --> 00:16:39.697]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:16:39.697 --> 00:16:44.901]  Individual share amounts begin at $107 a month and $347 for families.
[00:16:44.901 --> 00:16:46.842]  Choose from three health sharing programs.
[00:16:46.842 --> 00:16:49.224]  Holistic treatments may be eligible for sharing.
[00:16:49.224 --> 00:16:50.165]  See guidelines.
[00:16:50.165 --> 00:16:53.467]  Discount programs available for dental, vision, and pharmacy.
[00:16:53.467 --> 00:16:55.409]  Go to LibertyOnCall.org.
[00:16:55.409 --> 00:16:57.250]  That's LibertyOnCall.org.
[00:16:59.048 --> 00:17:01.010]  Heart disease is on the rise.
[00:17:01.010 --> 00:17:06.314]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:06.314 --> 00:17:07.916]  But the symptoms are there.
[00:17:07.916 --> 00:17:16.263]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:16.263 --> 00:17:21.968]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:22.128 --> 00:17:23.949]  My blood pressure has normalized.
[00:17:23.949 --> 00:17:26.230]  My diabetes has totally improved.
[00:17:26.230 --> 00:17:30.612]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:30.612 --> 00:17:32.813]  I recommend Heart and Body Extract to everyone.
[00:17:32.813 --> 00:17:40.657]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:40.697 --> 00:17:43.040]  Order your two-month supply today by calling 866-295-5305.
[00:17:43.040 --> 00:17:43.401]  That's 866-295-5305.
[00:17:43.401 --> 00:17:45.424]  Or order online at HBextract.com.
[00:17:45.424 --> 00:17:47.286]  Heart and Body Extract, 866-295-5305.
[00:17:47.286 --> 00:17:48.187]  Or HBextract.com.
[00:18:00.228 --> 00:18:09.316]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:18:09.316 --> 00:18:17.423]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:17.703 --> 00:18:22.584]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:22.584 --> 00:18:29.366]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:18:29.366 --> 00:18:36.548]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:18:36.548 --> 00:18:43.410]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:18:43.570 --> 00:18:48.053]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:18:48.053 --> 00:18:51.456]  Available in original or with our immune support infusion blend.
[00:18:51.456 --> 00:18:57.740]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:18:57.740 --> 00:19:00.282]  Available at InfoWarsLife.com.
[00:19:00.282 --> 00:19:03.744]  InfoWarsLife is bringing you a breakthrough in modern medicine.
[00:19:03.744 --> 00:19:08.868]  We have found extraordinary new natural way to help alleviate seasonal distress symptoms including
[00:19:09.508 --> 00:19:15.249]  Promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[00:19:15.249 --> 00:19:17.149]  This is pollen blood.
[00:19:17.149 --> 00:19:29.812]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucus production.
[00:19:29.812 --> 00:19:34.132]  They began studying the effects in published trials, in their published trials.
[00:19:34.132 --> 00:19:38.133]  Now we are introducing the fruit of the research, a fast-acting chewable tablet
[00:19:38.613 --> 00:19:48.696]  Just chew two tablets at the first sign of seasonal distress and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[00:19:48.696 --> 00:19:51.837]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[00:19:51.837 --> 00:19:55.939]  Available now at Infowarslife.com or by calling toll free.
[00:19:55.939 --> 00:19:56.179]  888-253-3139.
[00:19:56.179 --> 00:19:59.080]  You're listening to the Alex Jones Show.
[00:20:22.472 --> 00:20:37.826]  Live from the Infowars.com studios, it's Alex Jones.
[00:20:37.826 --> 00:20:39.988]  Ladies and gentlemen, we are back live.
[00:20:39.988 --> 00:20:41.309]  Thank you so much for joining us.
[00:20:41.309 --> 00:20:42.490]  I am your host Alex Jones.
[00:20:43.795 --> 00:20:57.132]  So, what if I told you that major insurance companies for more than a decade have been testing and now installing system-wide computers that serve as bioethics boards?
[00:20:58.356 --> 00:21:23.112]  Now, first they created bioethics boards in the last 60, 70 years as part of the eugenics movement in Western Europe, the UK, the US, Australia, New Zealand, Canada, you name it, where a board of physicians and then a board of physicians and hospital or corporate executives would decide who gets a liver transplant or who gets a cadaver transplant for an Achilles heel.
[00:21:23.112 --> 00:21:24.052]  Sounds reasonable.
[00:21:24.052 --> 00:21:25.753]  You're a big drinker, you're 65 years old,
[00:21:27.210 --> 00:21:31.632]  There's a young person who needs a liver who isn't a big drinker, not their fault, we're going to give you the liver first.
[00:21:31.632 --> 00:21:36.535]  But once you open that door up, now the computers can do whatever they want.
[00:21:36.535 --> 00:21:45.699]  That's the famous clip of Bill Gates saying, was it six, seven years ago, to the group of teachers, he said, if you don't give that old person that last year of care, you can hire ten teachers.
[00:21:45.699 --> 00:21:47.380]  Well, he knows that's a fraud.
[00:21:47.380 --> 00:21:48.901]  When you start cutting quality,
[00:21:50.362 --> 00:21:51.863]  Everything implodes.
[00:21:51.863 --> 00:21:54.845]  You always demand more quality in your civilization.
[00:21:54.845 --> 00:22:01.190]  And then that increases the level of service, the level of viability, the level of excellence.
[00:22:01.190 --> 00:22:03.972]  And a great example I use, this is well known by economists by the way, is
[00:22:05.956 --> 00:22:11.139]  Just 15 years ago, there were almost no nice theaters where you could eat dinner and have a drink.
[00:22:11.139 --> 00:22:19.784]  Alamo Draft House in Austin, Texas made it ubiquitous, launched it nationwide, and then suddenly, five years ago, every theater began converting except discount theaters.
[00:22:19.784 --> 00:22:28.369]  And now, all the old cruddy theaters have a full bar and big, huge, relaxing seats and are better than Alamo.
[00:22:28.369 --> 00:22:29.689]  That's what innovation is.
[00:22:29.689 --> 00:22:32.111]  But they teach you, in a zero-sum game,
[00:22:33.285 --> 00:22:38.408]  That the cake is only so big, that the pizza is only so big, and that we can't innovate our way out.
[00:22:38.408 --> 00:22:42.591]  So, there's been a bunch of big headlines out the last day.
[00:22:42.591 --> 00:22:52.117]  The big scandal is, CNN exclusive, California launches investigation following stunning admission by Aetna medical director.
[00:22:52.117 --> 00:22:57.461]  And the Aetna medical director came out and said, we don't look at the reports.
[00:22:58.513 --> 00:23:00.014]  And of course, they're setting everybody up.
[00:23:00.014 --> 00:23:04.396]  They said, we look forward to testifying in California and to Congress both about this.
[00:23:04.396 --> 00:23:05.857]  And of course, I knew what they were going to say.
[00:23:05.857 --> 00:23:08.099]  And that has already put out statements to their board.
[00:23:08.099 --> 00:23:10.120]  They put out statements to their shareholders.
[00:23:10.120 --> 00:23:13.762]  They're going fully to computers.
[00:23:13.762 --> 00:23:19.085]  And they're going to use this stunt to say, see, it's not a human deciding who lives and who dies.
[00:23:19.085 --> 00:23:23.788]  It's a computer so everybody can wash their hands like Pontius Pilate.
[00:23:25.373 --> 00:23:35.058]  And of course, where did it start that computers would decide how much you were fed, how much you were worked, and when you were finally either killed or starved to death?
[00:23:35.058 --> 00:23:39.060]  Oh, it was a place called Nazi Germany.
[00:23:39.060 --> 00:23:44.543]  And the top right-hand man of Adolf Hitler who received the highest award in Germany above Hitler.
[00:23:44.543 --> 00:23:46.164]  Look it up.
[00:23:46.164 --> 00:23:49.966]  Just type in Thomas Watson of IBM received the highest award from Hitler.
[00:23:49.966 --> 00:23:51.347]  There's photos of him receiving it.
[00:23:52.329 --> 00:23:56.773]  It's like some triple iron cross with double eagles and all that stuff.
[00:23:56.773 --> 00:24:10.283]  But what's key here is IBM leads, and at the VA, runs the Thomas Watson computers that are supposedly AI when it comes to making decisions.
